sagarbjálki	(handv.)langa stykkið á bogasag
stál	(byggiv.,handv.)ljósagrátt sera sterkt metal framleitt við at herða brætt jarn(nýttt.d.í maskinum, amboðum, bygningumo.s.fr.),leggja stál í jarn(t.d.í knívasmíði)[da.stål,en.steel]
stálbretti	(handv.) [da.mørtelbræt,en.hawk]
stáldragari	(byggiv.)dragari úr stáli[da.ståldrager (?)]
stálídnaður	ídnaður ið framleiðir stál
stálkonstruktión	(byggiv.)konstruktión av stáli[da.stålkonstruktion]
stállekt	(handv.)lekt av stáli[da.stållægte,en.steel lath (?)]
stálprofil	(rørsm.)konstruktiónseind av stáli við serstøkum tvørskurði[da.stålprofil,en.steel profile]
stálrás	(tøkni)rás av stáli[da.stålkanal,en.steel duct]
stálrist	(tøkni)rist av stáli[da.stålrist,en.wire mesh]
stálskip	(tøkni,skip.)skip smíðað úr stáli
stálskipabygging	(tøkni)skipabygging úr stáli
stálskrúva	(handv.)skrúva av stáli[da.stålskrue]
stálsperra	(húsasm.)sperra av stáli
stálstamma	(tøkni)stamma av stáli[da.stålstamme,en.steel carcass]
stáltangi	(tøkni)tangi av stáli[da.ståltank,en.steel tank]
stáltog	(skipasm.)tog úr stáli, veirur[da.ståltov,en.steel rope]
stáltráðarsag	(tøkni)sag at saga bein við[da.trådsav]
stáltráður	(handv.)tráður úr stáli (el.øðrum metali)(P|t.d.| nýttur til hegn)[da.ståltråd,en.(steel) wire]
stályvirbygningur	(tøkni)yvirbygningur av stáli[da.ståloverbygning,en.steel superstructure]
steðgireiðlag	(tøkni,ravm.)?reiðlag ið steðgar ravmagnsveiting[da.stoprelæ,en.stop relay]
steðgiskylda	skylda at steðga[da.stoppunkt,en.hold point]
steðgispoli	(tøkni) [da.stopspole,en.stop solenoid]
steinafrøði	(jarðfr.)vísindagrein um steinevni[da.mineralogi]
steinevni	(jarðfr.)steinslag (1)[da.mineralsk stof]
steingiboks	(tøkni) [da.spærreboks,en.barrier box]
steingilúka	(tøkni)lúka til at steingja fyri e-m við[da.afspærringsspjæld]
steingipláta	(tøkni)?pláta at steingja fyri e-m við[da.spærreplade,en.projecting block]
steingireiðlag	(tøkni)reiðlag til at steingja fyri e-m við[da.spærrerelæ,en.locking relay, latch relay]
steingiventilur	(rørsm.)ventilur ið verður snaraður fyri og frá[da.afspærringsventil,en.shutdown valve, lock-out valve, block valve]
steinhválv	(jarðfr.)jarðarskorpan og ovari parturin av kápuni (8)(um leið 100 km til tjúktar)[en.lithosphere]
steinkol	(jarðfr.)svart og hart kolagrýti við o.u. 80-85% kolevnisinnihaldi[da.stenkul]
steinolja	(evnafr.)1samnevni á føstum flótandiel.gasskendum kolvetni í undirgrundini2slag av olju nýttt.d.til lampur, petrolium
steinrenna	(jarðfr.)verða at steiniel.til stein
steinrenning	(jarðfr.)tað at steinrenna (1)el.e-t steinrunnið(t.d.dýrel.planta úr fortíðini),elstu steinrenningar eru av heilt einføldum verum[da.fossil]
steinseting	(byggiv.)1vegálegging við brúgvarsteinum2tað at leggja við steinum(P|t.d.| brúgv, veg P|o.tíl.|)[da.brolægning]
steinslag	1(jarðfr.)fastur einvorðin bygnaður av frumevnum (1) í jørðini(upprunaliga íkomin har),mineral,grótslag er samansett av fleiri steinsløgum[da.mineral]2slag av steini, grótslag
steinsmiðja	smiðja hjá steinsmiði
steinull	(húsasm.)ullarkent evni úr gróti til bjálvingar[da.stenuld,en.mineral wool]
stempul	(tøkni)(í motori)maskinlutur sum gongur upp og niður í strokki (sylindara)[da.stempel,en.piston]
stempulakkumulatorur	(alisfr.,tøkni)?akkumulatorur til stempul (í motori)[da.stempelakkumulator,en.piston accumulator]
stempulboltslega	(tøkni)krossboltslega[da.trunkleje]
stempulboltspinnur	(tøkni)krossboltspinnur[da.trunkpind]
stempuleind	(tøkni)?eind í stempli[da.stempelenhed,en.piston assembly]
stempulglíðari	(tøkni)stempulkrani[da.stempelglider]
stempulhamari	(tøkni)hamari nýttur at seta merkiel.tøl í við[da.stempelhammer]
stempulhøvd	(tøkni)?høvd á stempli[da.stempelhoved,en.piston head]
stempulkompressari	(byggiv.)kompressari til stempul í motori[da.stempelkompressor,en.reciprocating compressor]
stempulkrani	(tøkni), stempulglíðari[da.stempelglider]
stempulpakningur	(tøkni)?pakningur í motorstempli[da.stempelpakning,en.piston packing]
stempulpumpa	(tøkni)pumpa til motorstempul[da.stempelpumpe,en.piston pump, reciprocating pump]
stempulringur	(tøkni)(í bensinmotori)?ringur í stempli[da.stempelring,en.piston ring]
stempulskerari	(tøkni) [da.stempelskærer]
stempulskering	(tøkni) [da.stempelskæring,en.piston seizure]
stempulskjúrt	(tøkni)(í bensinmotori)[da.stempelskørt,en.piston skirt]
stempulslag	(tøkni)slag P|el.| duk frá stemplum í motori[da.stempelslag,en.plunger stroke]
stempulsmog	(tøkni)stempulventilur[da.stempelventil,en.ram preventer]
stempulstong	(tøkni)?stong á stempli[da.stempelstang, stødstang,en.piston rod]
stempulstýring	(tøkni)?stýring av stempli[da.stempelstyring,en.piston guide]
stempultetting	(tøkni)?tetting av stempli[da.stempeltætning,en.piston seal]
stempulventilur	(tøkni), stempulsmog[da.stempelventil,en.ram preventer]
sterkstreymsleidningur	(ravm.)leidningur til sterkstreym[da.stærkstrømsledning,en.medium tension distribution line]
sterkstreymsmálari	(ravm.)tól til at mála sterkstreym við[da.stærkstrømstester,en.high-voltage tester]
sterkstreymsspor	(ravm.)spor sum sterkstreymur verður leiddur ígjøgnum
sterkstreymur	(ravm.)ravmagnsstreymur við høgum spenningi (3);sbr.veikstreymur[da.stærkstrøm,en.power current]
stevnuávísi	(tøkni)ávísi ið vísir hvørja leið e-t stevnir[da.retningsindikator,en.direction indicator]
stevnuboring	(tøkni,oljuv.)?boring í ávísa ætt[da.retningsboring,en.directional drilling]
stevnufiltur	(tøkni) [da.retningsfilter,en.directional filter]
stevnuljós	(tøkni)(á akfari)blunkljós[da.blinklys,en.flasher (indicator)]
stevnumið	(oljuv.)framferðarháttur til at røkka e-m máli[da.strategi,en.strategy]
stevnustødd	(alisfr.)støddfrøðiligel.alisfrøðilig stødd ásett við longd og leið(lýst við ørv),vektur[da.vektor]
stevnuventilur	(tøkni) [da.retningsventil,en.directional control valve]
stig	1(alisfr.)máteind fyrit.d.hita, landafrøðiliga støðu, víddo.s.fr.(stytt°),í dag eru 17 stig í skugganum;Føroyar eru á 62 stigum norðurbreidd;vinkulin er 90 stig[da.grad,en.degree]2(ítr.)talvirði nýtt til at mátael.raðfesta liðel.einstakling í kapping
stigmarka	(teld.)býta upp eftir stigum, stigmerkja[da.skalere,en.?scale]
stigmát	(jarðfr.)háttur at máta settur upp í stig[da.skala]
stigmátari	(handv.)vinkulmátari[da.gradmåler,en.protractor]
stigmátssteinslag	(jarðfr.) [da.skalamineral]
stigmerkja	(teld.)stigmarka[da.skalere,en.?scale]
stikkari	(ravm.,tlm.)dós við beinum(vanl. tveimum)ytst á leidningi til at seta í stungudós(til at fáa streymsamband)[da.stik (?),en.point (?)]
stikkkontakt	(ravm.,tlm.)kontakt við holum til at seta stikkara 2 í, stungudós[da.stikkontakt,en.socket (outlet)]
stikkproppur	(ravm.)stunguproppur[da.stikprop,en.plug]
stikksag	(handv.)1handsag við smølum og framspískum blað(t.d.til at seta í borað hol),rottuhali (2)[da.stiksav,en.compass saw]2(ným.)maskinsag við smølum blað(t.d.til at seta í borað hol)3vanl.handsag við breiðum blað(avskorin framman)
stillaraventilur	(tøkni)ventilur á stillara[da.regulatorventil,en.governor valve]
stillari	(tøkni)tól, innrætting P|el.tíl.| sum stillar e-t(P|t.d.| ferð á maskinu, hita P|o.tíl.|)[da.regulator,en.controller, regulator]
stilliboltur	(tøkni)boltur at stilla e-t við[da.justeringsbolt,en.adjustment bolt]
stillieind	(tøkni)luteind til at stilla við[da.regulatorenhed,en.controller unit]
stillikrani	(tøkni)krani til at stilla við[da.reguleringshane]
stillilúka	(tøkni) [da.reguleringsspjæld, gasspjæld,en.throttle valve, balancing damper]
stilling	(tøkni)tað at áseta stigmátið á einum málitóli[da.kalibrering,en.calibration]
stillingarbrunnur	(tøkni) [da.kalibreringsbrønd,en.calibration well]
stillingareind	(tøkni) [da.kalibreringsenhed,en.meter prover]
stillingargass	(tøkni) [da.kalibreringsgas,en.calibration gas]
stillingarmannagongd	(tøkni) [da.kalibreringsprocedure,en.calibration procedure]
stillingarpumpa	(tøkni) [da.kalibreringspumpe,en.calibration pump]
stillingarreiðlag	(ravm.) [da.stillingsrelæ,en.positioner]
stillingarskipan	(tøkni) [da.kalibreringssystem,en.meter proving system]
stillingarupplýsing	(tøkni,oljuv.) [da.kalibreringsdata,en.calibration data]
stillingarútgerð	(tøkni) [da.kalibreringsudstyr,en.calibration equipment]
stilliskrúva	1(tøkni) [da.sætskrue,en.setscrew]2(tøkni)skrúva til at stilla skiftilykil, avbjálvingartongo.tíl.við[da.justeringsskrue,en.thumbscrew, adjustment screw]
stillistempul	(tøkni) [da.reguleringsstempel,en.adjusting piston]
stilliventilur	(rørsm.)ventilur til at stilla hitan við(á radiatori)[da.reguleringsventil,en.regulating valve, control valve]
stívilsi	1(evnafr.)slag av kolvætu(tekn(C6H10O5)n)2stívilsi (1) rørt út í vatn og nýtt at stíva klæði við
stjørnukopling	(tøkni) [da.stjernekobling,en.star connection]
stjørnuskrúva	(handv.)skrúva 1(1) við foyrum á kross[da.stjerneskrue]
stjørnuskrúvublað	(handv.)skrúvublað (1) til stjørnuskrúvu[da.stjerneskruetrækker,en.cross-point screwdriver, star screwdriver]
stongsilsventilur	(tøkni)ventilur ið steingir fyri e-m[da.afspærringsventil]
stoppikrani	(rørsm.)høvuðskrani[da.stophane,en.shutoff valve, stop cock]
stoypa	lata flótandi nøgd avt.d.metali, betongio.tíl.storkna í formi, betonga, sementa,stoypa hús upp(veggirnar til hús);stoypa knappar, ljóso.tíl.;sbr.stoyta
stoypiformur	(húsasm.,byggiv.)formur at stoypa í[da.støbeform,en.mould]
stoypijarn	(handv.)stoypt jarn[da.støbejern,en.cast iron]
stoyping	1tað at stoypa2tað ið stoypt er,nú hava vit tvær stoypingar eftir(tveir formar)
stoypisandur	(byggiv.)sandur nýttur til stoyping[da.formsand]
stoypistál	(handv.)?stál ið er stoypt[da.støbestål,en.cast steel]
stoypivirki	(byggiv.)virki har ið stoypt verður[da.støberi,en.foundry]
stoytbjølgur	(tøkni)(í bili)bjølgur (vanl. tveir) av nailoni goymdur framman(blæsist upp við ákoyring at verja fyri stoyti),stoytkoddi, luftkoddi[da.airbag,en.airbag]
stoytdoyvaraolja	(tøkni)olja í P|el.| til stoytdoyvara[da.støddæmperolie,en.snubber oil]
stoytdoyvari	(tøkni)útbúnaður í akfari ið bøtir fyri rørslum upp og niðurt.d.tá ið koyrt verður eftir ósløttum vegi[da.støddæmper,en.shock absorber]
stoytkoddi	(tøkni)stoytbjølgur[da.airbag,en.airbag]
stoytlisti	(handv.)listi til at taka ímóti stoyti[da.stødliste]
stoytpúta	(tøkni)útbúnaður til at minka um árin frá óynsktari ytri ávirkan[da.stødpude,en.slipper pad]
stoyttrin	(húsasm.)loddrøtt plátael.fjøl ímillum tvey trin[da.stødtrin]
stoytur	(ravm.)brádligt sansaárin av ravmagnsstreymi, ravmagnsstoytur[da.(elektrisk) stød,en.electric shock (?)]
stólpi	(húsasm.)stórur (viðar)bulur(vanl. ið ber e-m uppi),steyrur 1(1), stytta 1(1)[da.stolpe,en.stud]
stórskíggi	(teld.,tøkni)ovurstórur skíggi (2),fylgja við sjónvarpi á stórskíggja[da.storskærm,en.?big screen]
stórstavalás	(teld.)knappur nýttur til at læsa knappaborðið so at bert stórir bókstavir koma fram[da.?caps lock,en.caps lock]
stórtelda	(teld.)telda vanliga í teldumiðstøð við stórari arbeiðsorku og fleiri smærri teldum knýttum uppí[da.stordatamat,en.mainframe]
stórviður	(húsasm.)tjúkkur viðurt.d.stólpar, bjálkar, syllaro.tíl., stavlag, grindarlag,stórviðurin í húsinum[da.stolpeværk]
strandatilbúgving	tilbúgving fram við landi[da.kystberedskab]
strenda	1(alisfr.)tríhyrnt glas ið brýtur ljósgeislar, prisma (1)[da.prisme,en.prism]2(støddfr.)skap við javnfjarum og javntøkum endum og við trimumel.fleiri síðum, prisma (2)[da.prisme,en.prism]
strendukikari	(alisfr.)kikari við strendum (2)[da.prismekikkert,en.prism(atic) binoculars]
streymavbrótari	(tøkni)tól til at bróta streymveiting av við[da.strømafbryder,en.power control switch]
streymavmarkari	(tøkni)?útbúnaður ið avmarkar (og stillar?) streymveiting[da.strømbegrænser,en.current limiter]
streymavmarking	(tøkni)avmarking av ravmagnsstreymi[da.strømbegrænsning,en.current limitation]
streymávísi	(tøkni) [da.strømindikator,en.power indicator]
streymleidningur	(ravm.)leidningur ið leiðir streym[da.strømførende ledning,en.live wire]
streymlinja	(ravm.)linja til streym[da.strømlinie]
streymloysi	(ravm.)tað ongan streym (4) at hava, slit í ravmagnsstreymi,øll bygdin liggur í streymloysi[da.power failure]
streymmegi	(ravm.)flutt ravmagnsløðing hvørja tíðareind(máld í amperum)[da.strømkraft]
streymnet	(tøkni)net sum ravmagnsstreymur verður veittur ígjøgnum[da.strømnet,en.power grid]
streymnýtsla	(ravm.)tað at nýta streym[da.strømforbrug,en.power consumption]
streymrás	(ravm.)afturlatin rás av ravmagnsstreymi, streymrensl[da.strømkreds,en.circuit]
streymrensl	(ravm.)streymrás[da.strømkreds,en.circuit) [opið streymrensl[da.åben strømkreds]
streymskiftari	(ravm.)?tól ið býtir út streym[da.strømfordeler,en.distributor cap, controller]
streymslit	(ravm.)tað at ravmagnsveiting er slitin[da.strømsvigt,en.power failure]
streymslítari	(tøkni,ravm.)?tól ið brýtir av streymveiting[da.strømafbryder,en.power control switch]
streymsnælda	(alisfr.) [da.strømspole]
streymspennbroytil	(tøkni,ravm.)spennbroytil til ravmagnsstreym[da.strømtransformator,en.current transformer]
streymstoytur	(ravm.)ravmagnsstoytur[da.strømstød]
streymstyrki	(ravm.)streymmegi[da.strømkraft]
streymtalva	(ravm.)tól (býtis- P|el.| stillitalva) har ið ymsar greinir av leidningum møtast, skiftitalva[da.strøm(fordelings)tavle,en.switchboard]
streymtrokan	(ravm.)?tað at ravmagnsstreymur trokast saman[da.strømfortrængning]
streymur	(ravm.)ravmagnsstreymur,maskinan brúkar nógvan streym;streymurin er slitin[da.elektrisk strøm,en.current (?)]
streymvarnari	(tøkni,ravm.)tól ið varnast streym[da.strømdetektor,en.current detector]
streymveiting	(ravm.)ravmagnsveiting[da.strømforsyning,en.electricity transmission, electrical supply]
streymvendari	(ravm.)amboð til at skifta kós hjá ravmagnsstreymi í parti av leidninganetinum, heintil[da.strømvender,en.reversing switch]
strikiknappur	(teld.)(á knappaborði)knappur 1(3) at strika 1(3) við[da.slettetast,en.delete key]
strikmát	(handv.)strikumát
strikubeinur	(støddfr.)sum bein strika, linjubeinur(linear)
strikufjøl	linjál
strikukota	(teld.)grindil[da.stregkode,en.bar code]
strikumál	(handv.)strikumát[da.stregmål,en.marking gauge]
strikumát	(handv.)(hjá træsmiði)amboð til at gera beinar strikur við(t.d.javnfjart við ein kant at saga eftir),strikumál[da.stregmål,en.marking gauge]
strikumynd	(støddfr.)strika til at mynda broytiligt lutfall millum tvær støddir,strikumynd í krossskipan;sbr.stabbamynd[da.diagram,en.diagram]
strikusneis	linjál
strípukol	(jarðfr.)slag av stríputum føroyskum koli(broyskið og molnar skjótt)(durit);sbr.nýrakol[da.matkul]
strok	(jarðfr.)stroklinja,kolaflógvin gongur sum ein onnur grótflógv við sama halli og stroki[da.strøg]
strokkur	1(tøkni)sylindari (1)[da.cylinder,en.cylinder]2(støddfr.)sylindari (2)
stroklinja	(jarðfr.)mát millum hallandi fláir og sannael.hugsaða vatnskorpu, strok[da.strøglinie]
stroya	(handv.,sj.)lekt[da.lægte,en.lath]
strútur	(tøkni)lítið trongt rør til at leiða luftel.vætu ígjøgnum, dýsa[da.dyse,en.nozzle]
strýta	(støddfr.)runt skap ið gongur út í spísk, keyla[da.kegle,en.cone]
strýtustubbi	(støddfr.)strýta avskorin í erva, stývd strýta
studningur	1(peningaligur) stuðul (2), styrkur (2),søkja studning;fáa studning;veita studning til skipasmíð2e-t ið styðjarel.festir, stuðul (5)3(tá ið gingið verður upp í berg)tað at hin aftari styðjar hin fremra uppeftir(píkurin á stranganum verður stungin í buktina á lundabandinumel.í buksukvarðan á honum ið gongur upp)4uppgonga (í berg) við studningi (3)5hæddin ið maður í senn verður styðjaður upp við stranga6(á báti)kjølfesta 1, barlast,tit mugu hava væl av studningi í bátinum;báturin hevði góðan studning og tí kundu vit hava segl á;sms. t.d.bak-,barna-,blokk-,lestrar-,mjólkar-,rentu-,ríkis-
stuðlaberg	(jarðfr.)berg við steyrrættum stólpum, stabbagrót,stuðlaberg í Froðba[da.søjlebasalt]
stuðulsflati	(tøkni), ásetingarflati[da.understøtningsflade]
stungudós	(ravm.)stikkkontakt[da.stikkontakt,en.socket (outlet)]
stunguproppur	(ravm.), stikkproppur[da.stikprop,en.plug]
styrking	1tað at styrkja2(handv.)e-t ið styrkir(t.d.áslag)[da.armering (?),en.armament (?)]
styrkingarjarn	(byggiv.)jarn ið verður stoypt inn í betongkonstruktión(til at styrkja tað við),rundjarn[da.armeringsjern]
styrkingarstál	(byggiv.)stál nýtt til at styrkja byggikonstruktión við[da.armeringsstål]
styrkjari	1tól ið styrkir ljóð(t.d.í útvarpstóli, telefon, ljóðførio.tíl.)[da.forstærker,en.amplifier]2(ravm.)tól at styrkjat.d.spenning ella streym, magnari[da.forstærker,en.amplifier]
stýri	1(skip.)útbúnaður aftan á (sjó)fari til at stýra tí við, róður 2(1),(tilt.)standa fyri aftan stýrivera minni maður;(tilt.)sita við stavn og stýrivera høvuðsmaður (bæði á sjógv og landi)2(tøkni)hjólel.tíl.at snara(við hond)til at stýra fari, róður (3), ratt[da.rat,en.(steering) wheel]
stýriarmur	(tøkni)?armur til at stýra við[da.styrearm,en.racking arm]
stýriboð	(teld.)tað sum setur í gongd gerð P|el.| loyviliga gerð[da.kommando]
stýriboks	(tøkni)boks haðan stýrt verður[da.styreboks,en.pod]
stýriboltur	(tøkni)høvuðsboltur[da.styrebolt]
stýrieind	(teld.)búnaður sum stýrir eini P|el.| fleir boðrásum[da.styreenhed,en.controller (?)]
stýrigreiður	(tøkni)útbúnaður til at stýra við, róðurgreiður[da.styretøj,en.steering gear]
stýrihús	(tøkni)1(skip.)(á lítlum sjófari)húsel.skýli har ið stýrt verður2(á t.d. lastbili)rúm har stýrt verður
stýrikápil	(tøkni)kápil nýttur til at stýra við[da.styrekabel,en.control cable]
stýrikervi	(teld.)ritbúnaður sum stýrirt.d.forritum og inning teirra[da.operativsystem,en.operating system, OS]
stýrikringur	(tøkni) [da.styrekreds,en.control circuit]
stýrilið	(tøkni)?lið í stýriútbúnaði[da.styreled (?)]
stýriluft	(tøkni) [da.styreluft,en.pilot air]
stýriluftleidningur	(tøkni) [da.styreluftledning,en.control air line]
stýriluftventilur	(tøkni) [da.styreluftventil,en.pilot air valve]
stýrimaskina	(tøkni,skip.)maskina nýtt til at stýra við[da.styremaskine,en.steering gear]
stýrimotorur	(tøkni)motorur nýttur til at stýra við[da.styremotor,en.pilot motor]
stýringarfelt	(tøkni) [da.styringsfelt,en.control section]
stýringarforrit	(tøkni) [da.styringsprogram,en.executive task],(teld.)forrit sum skipar uppgávur og stjórnar inning av øðrum forritum í dátuviðgerðarkervi[da.styringsprogram,en.control program]
stýringarritbúnaður	(tøkni,teld.)ritbúnaður nýttur í stýringarforritum[da.styringssoftware,en.executive software]
stýripinnur	(tøkni)útbúnaður í P|t.d.| báti P|el.| flogfari nýttur til at stýra við[da.styrepind,en.dowel pin]
stýripultur	(tøkni,ravm.)stað við miðstøddum tólum haðan e-t verður stýrt[da.styrepult,en.controldesk]
stýrireiðlag	(tøkni) [da.styrerelæ,en.control relay]
stýriskinnari	(tøkni)skinnari til at stýra eftir[da.styreskinne,en.guide rail]
stýriskipan	1(tøkni) [da.styresystem,en.pilot system]2(teld.)grundliggjandi forrit í teldu ið gerst virkið tá ið teldan verður tendrað og sum stýrirforritunum í telduni[da.styresystem]
stýrispenningur	(tøkni,ravm.) [da.styrespænding,en.control voltage]
stýristempul	(tøkni) [da.styrestempel,en.control bushing]
stýristift	(tøkni) [da.styrestift]
stýristong	1(teld.)lítið handfang til at stýra ymsum atgerðum við(t.d.í telduspølum)[da.joystick,en.joy stick]2(tøkni)(í bili) [da.styrestang]
stýristreymsavbrótari	(ravm.)?avbrótari til stýristreym[da.styrestrømsafbryder (?)]
stýristreymsleiðari	(tøkni) [da.styrestrømsleder,en.control power wire]
stýristreymssikkring	(tøkni) [da.styrestrømssikring,en.pilot fuse]
stýristreymur	(tøkni,ravm.)ravmagnsstreymur ið stýrir P|el.| stillar eitt tól[da.styrestrøm,en.control power]
stýristyrkjari	(tøkni) [da.styringsforstærker,en.control amplifier]
stýrisúla	(tøkni), róðurstattur[da.styresøjle]
stýritalva	(ravm.) [da.styrepanel (?)]
stýritrýst	(tøkni) [da.styretryk,en.pilot pressure]
stýritrýstleidningur	(tøkni,ravm.) [da.styretrykledning,en.pilot line]
stýritrýstslanga	(tøkni) [da.styretrykslange,en.pilot hose]
stýritøppur	(tøkni) [da.styretap,en.lever pilot pin]
stýriútbúnaður	(tøkni)útbúnaður til at stýra við(P|t.d.| akfari)[da.styregrejer,en.steering gear]
stýriventilur	(tøkni) [da.styreventil,en.pilot valve]
stýrivongur	(tøkni) [da.styrevogn,en.dolly]
stødd	1tað hvussu stórt e-t er(t.d.hædd, longd, breidd, ummálo.tíl.)2(støddfr.)e-t (t.d.linja, flati, rúm) ið til ber at máta og/ella seta fram í tølum
støddarlutfall	(støddfr.)lutfall í stødd[da.størrelsesforhold,en.scale (?)]
støddarlýsing	(teld.)lýsing av støddum P|o.tíl.|[da.formatbeskrivelse]
støddarregla	(teld.) [da.formatlinie]
støddartilskilan	(teld.)tilskilan um støddir[da.formatspecifikation]
støddfrøði	(støddfr.)vísindi um tøl og skap[da.matematik,en.mathematics]
støddfrøðiligur	(støddfr.)viðv. støddfrøði[da.matematisk,en.mathematical]
støddfrøðingur	(støddfr.)ein ið er lærdur í støddfrøði[da.matematiker,en.mathematician]
støða1	1tað at standa, pláss har ið einel.e-t stendur,verkfalsfólkið hevði tikið støðu framman fyri tinghúsið(stillað seg);hann tók støðu í trappuni;teir báðir, sum byrsu høvdu, tóku støðu í durunum;geva seg til støðusteðga, verða standandi,alt kirkjufólkið hevði givið seg til støðu;eg standi mær eina illa støðu(standi fyri einki)2bátastøða,eftir at skipað var upp, varð báturin drigin og settur til luns í støðuna3fast tilhald,har var støðan hjá mær4skjól hjá seyði, pláss í haganum har seyður finnur sær skjól, ból (3),hetta var um veturin, seyðurin hevði tikið støðu;sbr.seyðastøða,snjóstøða (1)5standur, skil,støðan í landinum var hættislig;valið gav ikki heilt góða mynd av støðuni;hetta er støðan hjá føroyskum ídnaði og føroyskum skipasmíði;stjórnin kom í sera torføra støðu;hvussu er støðan?hvussu veit við, hvussu stendur til6áskoðan (í e-m máli), sjónarmið, støðutøka,taka støðu;teir vóru samdir um at standa saman og hava eina støðu7yrki, starv, embæti,havael.søkja um fasta støðu;sms. t.d.and-,eftir-,fíggjar-,fjar-,gleiv-,javn-,mál-,niður-,rang-,ser-,sjálv-,trong-,tví-,vanda-
støði	1tað ið e-t stendur á, grundstøði, undirstøði, grundarlag (2),leggja støði undir e-tfáa e-t í lag;hann legði støði undir útróðurin í Grønlandi;á heimligum støði(grund);har var eingin ivi, eingin himpran, alt lá fast, har var dygt støði undir øllum;máa støði undan (e-m)taka burtur undan, grava undan;við hesi avgerð verður støðið máað undan sáttmálanum2(húsasm.)staður ið húso.tíl.stendur á, húsastøði, grundstykki, grundir[da.fundament,en.foundation]
støðuávísi	(tøkni) [da.positionsindikator,en.position indicator]
støðuboripallur	(oljuv.)oljuboripallur fastur á einum stað[da.stationær platform,en.fixed platform]
støðubremsa	(tøkni)bremsa nýtt tá ið akfar stendur stilt[da.parkeringsbremse,en.parking brake]
støðulás	(tøkni) [da.positionslås,en.positioner lock]
støðuljós	(tøkni) [da.) [veikasta ljós á akfari(tendrað tá ið tað stendur stilt) [positionslys,en.parking light]
støðumuffa	(tøkni) [da.positionsmuffe,en.positioner collar]
støðumynd	(byggil.)tekning ið sýnir støðuna hjá bygningio.tíl.í lendinum[da.statisk billede]
støðuorka	(alisfr.)orka sum lutur hevur av støðu síni,móts.rørsluorka[da.potentiel energi]
støðuravmagn	(ravm.)ravløðing í luti(elvd av gnígging)[da.statisk elektricitet,en.static electricity]
støðureiðlag	(tøkni) [da.positionsrelæ, statusrelæ,en.positioner, status relay]
støðuskrúva	(tøkni) [da.positionsskrue,en.jacking screw]
støkking	(jarðfr.)sprunga,gilið fylgir einari støkking í basaltfláunum;støkkingar í jarðarskorpuni
suðurbreidd	(landafr.)breiddarstig sunnan fyri miðkringin,móts.norðurbreidd
suðurhálva	(landafr.)syðra heimshálva,móts.norðurhálva
suðurpólur	(landafr.)syðsta punkt á jørðini,móts.norðurpólur[da.sydpol,en.south pole]
sulfat	(evnafr.)salt av svávulsýru[da.sulfat,en.sulphate];sms.t.d.natrium-
sulfit	(evnafr.)evnafrøðiligt samband ímillum svávul og annað evni, serst. metal[da.sulfid,en.sulphide]
sundurskiljari	(tøkni,oljuv.)tól við sentrifugu brúkt til P|t.d.| at skilja róma frá mjólk[da.separator,en.separator]
súðtrøtt	(húsasm.)við tróðri løgdum umskaraðum, súðutróðrað
súðutróðrað	(húsasm.)súðtrøtt
súkklusmiður	smiður ið umvælir súkklur
súla	stólpi (1), stytta 1(1), stavur (2), pílari
súlufótur	(byggil.) [da.) [?fótur ið súla stendur á) [søjlefod,en.base of a column]
súluhøvur	(byggil.)?høvur á súlu[da.søjlehoved,en.capital (of a column)]
súluleggur	(byggil.)?leggur á súlu[da.søjleskaft]
súrevna	(evnafr.)lata (e-n) fáa súrevni, lata súrevni koma at (e-m)[da.oxidere]
súrevni	(evnafr.)loftevni uttan lit, lukt og smakk(frumevniðoxygenium, teknO, høvuðsevni í luft upptikið í blóðið gjøgnum andadráttin)[da.oxygen,en.oxygen]
súrevnisfløska	(evnafr.,tøkni)fløska við súrevni[da.iltflaske,en.oxygen bottle (?)]
súrevnismálari	(evnafr.)tól til at mála nøgd av súrevni við[da.oxygenmåler,en.oxygen meter]
súri	(evnafr.) [da.syrlighed]
súrleggja	(evnafr.)leggja (t.d.rut (2), slógvo.tíl.) í bing og haldbúgva viðt.d.(meyru)sýru[da.ensilere]
súrleiki	1tað at vera súrur (1)2(evnafr.)tað hvussu súrt e-t er,royndir hava verið gjørdar at máta súrleikan í fiski
súrløga	(evnafr.)e-t varðveitt við sýru(t.d.rut (2), slógvo.tíl.)[da.ensilage]
súrløgufóður	(evnafr.)súrløga (av ruti) nýtt sum alifiskafóður
súrløgutangi	(evnafr.)tangi til súrløgu
súrur	1við sýru í sær, súrnaður,mjólkin er súr2beiskur3(evnafr.)við eginleika av sýru 1(2),móts.lútkendur,vita, um ein væta er súr, hvørkislig ella lútkend4(um fólk)óblíður á at líta, ómildur í útsjónd,síggja súrur út5trupul, torførur, keðiligur,súrt arbeiði;eg havi mangan súran sopið av hennara ávum;sms. t.d.gall-,kol-,svávul-
svali	altan,húsfrúgvin stendur úti á svalanum;á einum av húsunum var svali[da.balkon]
svarðlag	(jarðfr.)jørðildi undir svørðinum
svávul	(evnafr.)gult ikki málmkent frumevni, brennisteinur(teknSt.e.Sulphur)[da.svovl,en.sulphur]
