o1	(málfr.)sjálvljóðsstavur (nevndur[o:])
orðkringur	orðfimur, lagorðaður, orðhagur, orðførur,orðkringur maður
orðkvettin	kvettin, kvettorðaður, bitutur,hann er so orðkvettin
orðkýtast	(Sa.)munnkýtast, deilast, keglast
orðkýtingur	(Sa.)munnkýtingur
orðleiða	1(bíbl.)bera fram, siga, mæla,orðleiða tað, ið fjalt hevur verið frá upphavi2(sj.)skendska, deila 2,at kunna standa so og orðleiða fólk;hon var illa orðleidd
orðleikur	orðaleikur (2),uppreisturin var vunnin við einum orðleiki
orðleypa	s53í osb.orðleypa segovtalael.ovsiga seg(siga e-t ið ikki átti at verið sagt),at eg skuldi orðleypa meg so;hon hevði altíð verið so orðleypandi(fitt í munninum)
orðleysur	uttan orð, ósagdur,ekki og iðran herja orðleys á hann;hjorðleystuttan at mæla orð,orðleyst tilbað eg tey
orðliður	(málfr.)liður í (samansettum) orði
orðloypin	orðhavin,hann var altíð nakað orðloypin
orðloysi	tað ikki at halda orðel.lyfti
orðloysingur	ein ið ikki heldur orðel.lyfti
orðlutur	(málfr.)partur av orði(kann bæði vera orð og avleiðsluending),í orðinum dagstovnur hava vit orðlutirnar dag+stovn
orðmikil	orðamikil
orðmynd	(málfr.)snið sum skrivað orð hevur(viðvíkjandi útsjónd, tali og raðfylgju á bókstøvunum),tað ræður um hjá børnum at læra seg orðmyndirnar
orðna	1fáa skil á, skipa, greiða,hetta er skjótt at orðna2geva øðrum boð(um at gera e-t),ráða (6),hon orðnar altíð(er so ráðarík)
orðníðingur	(mikil) orðloysingur
orðrómur	(bíbl.)orð (7), ámæli (2)
orðrót	(málfr.)rót (7) í orði
orðrættur	orðarættur;hjorðrætt,eg segði orðrætt frá tí(orðaraðið)
orðsending	boð (1), áheitan,nógv fólk kom til býin eftir orðsending frá Ólavi kongi
orðskiftast	skifta orð, kjakast, umrøða,teir stóðu og orðskiftust um viðurskiftini
orðskvaldur	orðaskvaldur
orðsnið	snið á orði, orðformur
orðsnildi	tað at duga hendinga væl at málbera seg, tungusnild,hennara ýlandi orðsnildi sló fólk sum við øks í høvdið
orðsnúgvin	snúgvin í orðum, orðkringur
orðsstaður	k14í osb.taka e-t í orðsstaðtaka e-t uppaftur, líta á e-t,tað er ikki takandi í orðsstað, tað hann sigur
orðstovnur	stovnur (5) í orði
orðstýrari	fundarstjóri
orðtak	1setningur(ofta í lagføstum sniði og t.d. við stavrími)ið endurgevur lívsroyndir, lýsir siðaregluro.tíl., orðatak, munnmæli,sum orðtakið sigur: "eingin veit á morgni at siga, hvar hann á kvøldi gistir";"tungur er tigandi róður" er annað orðtak2í osb.taka e-t í orðtaktaka e-t uppaftur, spjaðael.bera tíðindi,eg taki tað ikki í orðtak
orðtaka	(málfr.)velja og skriva orð úr teksti(at seta í orðasavnel.orðabók),orðtaka bók
orðtakast	skeldast, deilast
orðtal	hí osb.taka í orðtaltaka upp aftur, smetta,tak tað ikki í orðtal
orðtøka	(málfr.)tað at orðtaka
orgallur	skálkur, illmenni, bakbeist(Sv)
organ	(kvæð.)urga
organspípa	(kvæð.)urgupípa,har vóru trodnar organspípur
orgul	urga
orka1	1máttur, styrki, megi, kraft,leggja alla sína orku íel.á e-t(gera sítt ítasta);(kvæð.)hvørgin gat á orku spart2(alisfr.)máttur til vinnu,orkan í mati;vatnorka(t.d. til ravmagn)(energeia);sms. t.d.arbeiðs-,atom-,innan-,keyp-,kjarn-,røringar-,vatn-
orka2	vera menturel.førur fyri, megna, kunna, fáa,hann orkar ikki at eta upp;hann orkar ikki at tiga við tí longur;ikki orka meiravera mettur;hann róði alt tað, hann orkaði(var mentur);ikki orka1ikki megna(t.d. at ganga),hann orkaði ikki á støðna2ikki torgael.tola (e-t),eg orki ikki at síggja teg;ikki orka fyri e-mikki tolael.torga e-nel.e-t
orkestur	(tónl.)bólkur av tónleikarum ið spæla saman, tónleikabólkur,hornorkestur;symfoniorkestur
Orknoyggjar	oyggjaland millum Skotlands og Hetlands
orknoyingur	fólk íel.úr Orknoyggjum
orknoyskur	íel.úr Orknoyggjum
orkufrekur	ið krevurel.nýtir nógva orku,orkufrek framleiðsla
orkugerð	(alisfr.)tað at orka verður loystel.umgjørd
orkugevi	e-t ið gevur orku
orkugonga	(stb.)gonga (1) ið krevur nógva orku, hørð gonga;í osb. sumgangael.fara orkugongu(við miklan skund);brátt fór maður av húsi orkugongu á fjøllini at veita teim neyðstøddu dugnað
orkukelda	tað ið nýtt verður til at útvinna orku,olja og vindmegi sum orkukeldur
orkukreppa	kreppa av tí at trot er á orku
orkulind	lind 3 ið gevur orku, orkukelda, máttarlind
orkulítil	máttlítil, veikur, ússaligur, kraftaleysur (1), lítið til manna,konan føldi seg sjúka og orkulítla
orkuloysing	(alisfr.)tað at orka verður loyst, orkugerð
orkumál	(stjm.)málel.viðurskifti viðv. orku,landsstýrismaður í orkumálum
orkumálaráð	(stjm.)stjórnardeild ið hevur orkumál um hendur
orkumálaráðharri	(stjm.)ráðharri ið situr fyri orkumálum
orkumikil	sterkur, kraftamikil
orkunýtsla	(alisfr.)tað at nýta orku 1(2)
orkuráð	ráð (2) ið sær um orkumál
orkuríkur	1við nógvari orku, orkumikil2ágrýtin, virkisfúsur, raskur, framtøkur
orkusparandi	ið minkar um orkunýtslu(ít.d.ravmagni, upphiting og framleiðslu)
orkuspell	oyðsl við orku, spell av orku,tað hevur óivað elvt nógv orkuspell
orkustøð	støð 1(2) ið veitir orku, máttarstøð
orkutøkni	(alisfr.)tøkni viðv. orku
orkutørvur	tørvur á orku(t.d. olju, streymio.tíl.)
orkuverk	verk ið veitir orku, orkustøð
orlogsskip	(gl.,skip.)herskip
orlov	1heimfararloyvi, lov 1, frælsi,(kvæð.)orlov biðjum vær2farloyvi, fríloyvi(t.d. frá skúla, arbeiðio.tíl.)
ormaár	ár 2(1) við nógvum grasormi,kemur várskerpingur, er ormaár væntandi;árið fyri ormaárið
ormabit	(bíbl.)bit 1(1) av ormi,skaði av ormabiti
ormabotnur	(stb.)állabotnur
ormaeitur	eitur av ormum,ræðuligt ormaeitur
ormagarn	fínt spunnið garn,fínt sum ormagarneitrandi fínt spunnið
ormagras	(plfr.)eygnagras
ormalamb	lamb við bendilormi
ormasekkur	k31(sj.)í osb.tín ormasekkurtítt vittuggi(við barn ið t.d. ikki vil hava tað sum tí verður boðið)
ormasjúka	1(stb.)sjúka hjá seyðihelstskánormur2(lækn.)sjúkaserst.hjá børnum(elvd av ormi (5))
ormasjúkur	ringur av ormi,seyður var ofta ormasjúkur í oynni;barnið var illa plágað av ormi
ormatógv	eitrandi fínt tógv, ormagarn
ormaungi	(bíbl.)ungi hjá ormi,tykkara ormaungar, hvussu kunna tit tala tað, ið gott er, tá ið tit sjálvir eru óndir?
ormaveður	maðkaveður
ormetin	maðketin, maðkaboraður
ormstunguætt	(plfr.)ætt av leggstreingjagróplantum(Ophioglossaceae)
ormur	(dj.)1langt dýr av skriðdjóraætt, slanga 1(1)(Serpentes)2maðkur3ormvera hjá ávísum skordýrum4(fólktr.,kvæð.)dreki (1),Ormurin langi;sbr.lindormur,frænarormur5(lækn.)sníkur í innvølumserst.hjá børnum(Enterobius vermicularis),barnið hevur orm;sms. t.d.barna-,bendil-,búk-,døkk-,eitur-,høgg-,kopar-,korn-,liða-,silki-,skán-,tind-,vit-
ormvera	(dj.)skordýr á ungum menningarstigi,ormveran skiftir ham
orna	1vermast, hitna,tá ið ornað var inni, var liðið út um miðja nátt;(kvæð.)orna tók hans blóð;(flutt m.)nú var tað rættiliga farið at orna teirra millum(renna saman)2gerast illa við, verða illa heitin,orna um skallan;orna av skomm;eg bæði ornaði og rodnaði;hann ornaði við
orr	stinkandi evja
orra	(um evjuo.tíl.)gera 2(1), esja, rotna,flotkøstar og blárennur, sum standa og orra;(flutt m.)standa og orrastanda fyri einki, vera fyri
orragoggur	1(stb.)veðragjólingur2(flutt m.,niðr.)ein ið er argur at vinna neisur, skálkur,hatta er tann orragoggurin, ið er
orri	(fugl.)útl. fuglur skyldur rýpu(Tetrao tetrix)
orrusta	stríð, bardagi, træta, klandur, illstøða,vekja orrustuyppa klandur
orsak	(gl.,tlm.)orsøk
orsaka	1gera, elva, volda, birta í, vera atvold í (e-m),orsakað av e-mav tí at2fyrigeva, avsaka, umbera,orsaka e-ntaka útyvir við e-m;orsaka segbiðja um umbering
orsakan	(sj.)tað at orsaka (2), umbering, fyrigeving
orsakareykasetningur	(málfr.)sambindingareykasetningur ið lýsir orsøk til tað ið sagt er í yvirsetningi(t.d. við sambindingarorðunum "(av) tí at"),hann fær ikki komið, tí at hann er burturstaddur
orsaki	orsøk,hava orsaka at gremja seg
orsøk	gerð, støðao.tíl.ið veldur e-t annaðt.d.aðra hending, gerð, støðuo.tíl., grund (8), atvold,orsøkin til ólukkuna var ov nógv ferð;hon hevði góða orsøk at vera fegin;orsøk og virknaður;sms. t.d.aðal-,høvuðs-
ortur1	síyrkja
ortur2	borin upp á mál, orðaður,vera vælel.illa ortur1nýta vøkurel.ljót orð2tosa vælel.illa (um fólk), tosa við sómael.niðrandi (um fólk);vera undarliga orturnýta undarlig orðel.orðafelli;sms. t.d.ill-
orv	skaft á líggja;sms. t.d.líggja-,stutt-
os	sívær
osa	1rúka illa, hjara (1), deyma, slíma (1),lampanel.ljósið osar(slímar)2guva,ketilin stóð og osaði og var kókaður næstan tómur;potturin stendur og osar
osara	(gl.,stb.)okkara,sívær
o.s.fr.	stytting fyriog so framvegis
osi	dampur 1(2), guva, hjari, hjararoykur(serst. við steiking),slím(serst. frá lampuel.ljósi),osin rann niður eftir bróstinum;turka osan av rútunum
oskabásur	oskbásur,kúgvin stendur á oskabási
oskabjørn	(dj.)krabbadýr ið livir sum sníkur á fiski, grunnlús(Aegidae)
oskadralvi	ketilostur(Sv)
oskamjólk	(mjólk.)fyrsta málið undan kúgv eftir at hon hevur kálvað, rámjólk
oskasmør	smør av oskamjólk, rásmør,oskasmør varð hildið vera dygdarbetri enn annað heimasmør
oskbásur	k11í osb. sumkúgvin stendur á oskbásikúgvin er nýkálvað og mjólkar enn oskamjólk(t.e. átta dagar eftir kálving),taka kúgv á oskbásimjólka kúgv fyrstu tíðina eftir at hon hevur kálvað
oskramjólk	(stb.)oskamjólk
osonlag	(alisfr.,evnafr.)jaður av osoni í lofthavinum(verjir fyri útbláum geislum frá sólini)
oss	os, osum;sívær
ostabotnur	havbotnur við osti (2)
ostafarg	ostaformur, ostkista
ostaformur	træformur(lítil ferhyrntur kassi)til ostagerð, ostafarg, ostkista,ostaformur er útskorin bæði á lokinum og í botninum
ostagerð	tað at gera ost
ostahøvil	ostskeri
ostakoppur	(stb.)ostafarg
ostalak	tunt klæði at leggja innan um ostafarg
ostamjólk	(mjólk.)mjólk til ostagerð
ostaskerari	ostskeri
ostaskorpa	skorpa áel.av osti
ostatíggjund	(søg.)tíggjund av osti,smør- og ostatíggjundin vóru lagdar saman
ostbásur	(óregl.)->oskbásur
ostevni	(um mjólk)eggjahvítaevni ið stadnar tá ið mjólk verður loypt[en.casein]
ostflís	flís av osti
osthøvil	ostahøvil
ostkista	(gl.)ostaformur
ostra	(dj.)útl. skeldýr av lindýraætt(onnur skelin kúput, hin rættiliga fløt)(Ostrea)
ostruskel	skel av ostru
ostskeri	amboð at skera ost við, ostaskerari, ostahøvil
ostur	1føðievni úr ostevni og fiti(serst. havt sum viðskeri),kæsa ost(gera)2slag av stórum rundum svampi ið veksur á havbotninum(Geodia),tað var nógvur ostur, teir kalla, í trolinum;sbr.ostabotnur;sms. t.d.blak-,geitar-,ketil-,smelti-,smyrji-
osum	sívær
ota	førka (afturel.fram), føra, flyta, skumpa, troka,ota e-n út á sjógv;ota burtur;ota seg fram;ota seg undantaka seg aftur;ota seg inn á e-nganga á e-n;standa og otastikki tora at nærkast, aftra seg við at nærkast
otan	trokan,tað var ein otan av fólki framman fyri skivuna
o.tíl.	stytting fyriog tílíkt
otur	(dj.)súgdjór av marðarætt við fitjum(Lutra vulgaris)
oturskinn	skinn av otri,mín kjóli skal vera av oturskinn'(í tátti)
o.u.	stytting fyriokkurt um,t.e.um leið
ov	(nýtt sum áherðing, stundum eisini sum forskoyti á sagnorðum, lýsingarorðumo.tíl.)í meira lagi, heldur enn ikki, í (ov) stóran mun,ov mikiðheldur nógv, í meira lagi;ov mikið og ov lítið;ov tíðliga;ov seinur;ov ungur;ov gamal;teir vóru ov nógvir á báti;børnini komu ov seint í skúla í morgun;(kvæð.)ov seint vart tú nú á ferð
ovanfyri	(sj.)omanfyri
ovarbeiða	arbeiða meir enn evniel.orka loyvir, arbeiða av forverkum, overva seg,doktarin segði, at hann hevði ovarbeitt seg
ovarbeiði	tað at ovarbeiða,andsperri av ovarbeiði
ovari	1l miðstsum er longri uppi (av tveimum), hægri, evri,ovari vegur;ovari munnuryvirmunnur,hann hevði enn flestar tenninar í niðara munni, men næstan alt var burtur í ovara munni;ovara hæddin er útleigað2hj miðstlongri uppi(enn e-t annað),hægri,reiður høvdu vit einki sæð, kanska tey vóru ovari;teir sova í hópi báðir, Lokki ovari og risin fremri(innari, aftari);sbr.niðari
ovarla	(sj.)ovarlaga
ovarlaga	rættiliga høgt uppi,móts.niðarlaga,húsini standa ovarlaga í bygdini
ovarliga	ovarlaga
ovast	longst uppi, hægst, evst,móts.niðast,hevur tú ligið ovast(innastel.aftast í song)
ovastaloft	óinnrættað rúm yvir loftinum(til goymslu),hanabjálkaloft
ovasti	(herm.)hægsti yvirmaður í heri, heryvirmaður á serstøkum (høgum) stigi
ovastur	ið er longst uppi, hægstur, evstur,ovasta hæddin í húsinum;ovastur embætismaður;ovastur av læknunum er landslæknin
ovát	tað at eta ov mikið
ovbardur	ov mikið bardurel.flongdur,(orðt.)eingin biskupur er ovlærdur og eingin skúladrongur ovbardureingin fær ovmikið av tí ið tørvar(Sv);(orðt.)ikki er hundur ovbardurhin ólýdni verður ikki ovmikið agaður(Sv);sbr.hálvbardur
ovbeiðsla	tað at biðja ov stóra bøn 1(1), ov stórt krav
ovbit	tað at hagi er avbitinel.avetin,verður áhaldandi ovbit, kann vøksturin broytast fullkomiliga
ovboðið	meir enn ein er mentur(t.d. at gera, tolao.tíl.),ov nógv kravt, ógjørligt, ov mikið, ov nógv,hon hevði roynt at berjast ímóti, verið djørv, men nú var ovboðið;vera ovboðiðbera av, ganga av skriðuni;vera e-m ovboðiðvera út um tað ein orkar;honum var einki ovboðið;hann helt einki vera ovboðið(hættaði sær undir alt);hesi orðini hava verið honum, donskum manni, ovboðin;(orðt.)øllum er ovboðiðeingin megnar alt, mark er fyri øllum
ovbyrja	leggja ov mikið áel.fyri (e-n), díkja undir,ikki vildi hann ovbyrja tingið;ovbyrjaður1ovklyvjaður, undirdíktur,ovbyrjaður avel.við e-m (t.d.arbeiði);vit vóru ovbyrjað av gestum;hann hevði í fleiri dagar gingið ovbyrjaður av sorg og gremjan(tyngdur)2tarnaður, heldur tjúkkur og tungur á sær(og orkar ikki nóg vælt.d.at ganga)
ovbýldur	ovfólkaður,ovbýldur býarpartur
ovdirvi	hugmóð, stórlæti, dramblæti,eg haldi tað vera ovdirvi av tygum at tala um slíkt fyri mær
ovdjarvur	ov djarvurel.vágin, ovurdjarvur,hann læt ikki hesar ovdjørvu og harðrendu lærurnar hava seg av fótum
ovdrekka	drekka ov nógv(av rúsdrekka)
ovdrukkin	ið hevur drukkið ov nógv, deyðadrukkin, dýrandi fullur,hann varð ovdrukkin og datt av
ovdrykkja	tað at drekka ov nógv,ikki gonguførur av ovdrykkju
overva	ovmøða,overva segspreingja seg, arbeiða av forverkum;overvaðurútervaður, útlúgvaður
overvan	tað at overva (seg), sprongd, overving, yvirerving,overvan seinastu dagarnar hevði sett síni spor í andlitið á honum;andlig og kropslig overvan
overving	overvan,í ørviti av náttarvekri og overving
oveta	s72:oveta seg (av e-m)eta ov mikið, stóreta, eta seg yvir rygg
ovfara	gera ov nógv av(í orðumel.gerðum);í osb. sumhonum tyktist ovfarið(ov nógv avgjørt);hann tóktist at hava ovfarið(Sv)
ovfarakátur	ógvuliga kátur, í sera góðum lag, vælhýrdur, ovurkátur
ovfarakæti	tað at vera ovfarakátur, fárakæti,ovfarakæti var á ungdóminum
ovfarin	illa við, bilsin, forfardur, tikin á bóli, skelkaður,hann støkk aftur eftir hæli, so ovfarin var hann;tey vóru øll ovfarin og undraðust;teimum tókti ovfarið(ov nógv avgjørt);sbr.ovfara
ovfarni	tað at gerast ovfarin, bilsni, undran
ovfegin	ovurfegin,hin gamli varð mestsum ovfegin;eg var ovfegin til at fara á fjall
ovfermdur	við ov nógvum farmi, ov nógv fermdur,skipið er ovfermt
ovfiska	fiska meir enn stovnurin tolir
ovfisking	tað at fiska meir enn stovnurin tolir, ovveiða,fiskaloysi av ovfisking og veðurlagsbroytingum;fiskastovnarnir eru hóttir av ovfisking
ovfólkaður	við ov nógvum fólkiel.íbúgvum,landið er ovfólkað
ovframleiðsla	tað at framleiðsla er størri enn eftirspurningur,ovframleiðsla av olju fær prísin at lækka
ovfullur	1fyltur meir enn rúm er fyri, ovfyltur,báturin var ovfullur og sakk2deyðadrukkin, ovdrukkin,hann tømdi fleiri fløskur og legðist ovfullur
ovfylla	fylla meir enn rúmast,tveir bátar gingu burtur, teir høvdu ovfylt seg av fugli;ovfylla marknaðin við vørumlata vørur floyma yvir marknaðin
ovganga	s51í osb.ovganga segganga ov hart(og fáa innvortis mein av tí),hann er ein eldri maður og skilagóður, so hann ovgongur seg ikki
ovgiftur	ið fær ov nógv av e-m(og ikki fær løntel.víst virðing afturfyri),ikki gott at verða ovgiftur(fáa ov nógv í gávu);vit vóru mest sum ovgift av hesum dreingjunum, ið komu inn(fingu nóg mikið av teimum)
ovgjørt	l hí osb. sumikki var tað ovgjørtikki var ov nógv kravt,tað hevði ikki verið ovgjørt, um slíkt loyvi hevði verið givið
ovgonga	tað at ganga alt ov skjóttel.hart
ovgongd	gongd ið hevur overving við sær,bæði vóru tey pøst av ovgongd
ovgoyma	goyma ov leingi(t.d.so at spilla kemur í)
ovhita	hita meir enn gott er
ovhiting	tað at ovhita
ovkeypa	s2í osb.ovkeypa segkeypa ov dýrt
ovklyvjaður	undir ov tungari byrði, ovbyrjaður, tarnaður,kobbin er uppaftur meira ovklyvjaður av kroppinum enn menniskjan;børnini eru eisini ovklyvjað av grind
ovkóka	kóka ov nógv,eplini eru ovkókað
ovkyrktur	l5í osb. sumhann verður ovkyrktur av honumhann verður honum ein tungur kleppur (3)
ovlaða	laða (4) við ov nógvum farmi, ovfylla,teir høvdu ovlaðað seg, og báturin gekk burtur
ovlaðin	ov nógv laðin, ovfermdur,ovlaðin bátur
ovleiður	alt ov leiðiligur,gera e-m ovleittgera e-n leiddan og keddan
ovlýsa	lata fáa ov nógv ljós,ansið eftir ikki at ovlýsa filmin[da.overeksponere]
ovlærdur	ov mikið lærdur;sbr.ovbardur
ovmannaður	1við ov stórari manning,skipið var ikki ovmannað2ovfólkaður,roykstovan var ikki so ovmannað um náttina
ovmeta	meta ov mikiðel.høgt, gera av,ovmeta virðið í e-m;latið okkum ikki ovmeta týdning fundarins
ovmeting	tað at ovmeta
ovmetta	geva ov nógv at eta,tað nýtist ikki at ovmetta okkum av tí
ovmettur	alt ov mettur, steinmettur, steinstappaður
ovmikil	ov mikil,símikil
ovmøða	leggja ov nógv á (e-n), overva,árin ovmøddi røðaran
ovmøði	møði av overvan, maktarloysi, máttloysi,svímaður av ovmøði
ovna	(sj.)verma í bakarovni(sovorðið sum smittuvandi er av),bøkur og pappír úr húsinum hjá honum vórðu ovnað, eftir at hann var deyður av tuberklum
ovnastova	stova við ovni,sum í eini ovnastovuheitt og fjálgt inni;eis.(flutt m.)hetta er sum í eini ovnastovu(sagt um fjálgt bundnaturriklæði)
ovndyggur	ið tolir (nógvan) hita í ovni, eldfastur,ovndygt fat
ovnshurð	hurð á ovni
ovnsskuffa	skuffa í bakarovni(at bakael.steikja í),steikin stendur í ovnsskuffuni mitt á borðinum
ovnsverta	evni at sverta ovnar og komfýrar við
ovnur	1afturlatin eldstaður(til hitingar í húsumo.tíl.);sbr.komfýrur2hitaútbúnaður (við heitum vatni) sum er knýttur at miðstøðarhita, radiatorur3bakarovnur;sms. t.d.bræðingar-,kol-,olju-,rusk-,smelti-
ovnýtsla	tað at nýtael.brúka ov nógv, ótamd nýtsla, ovurnýtsla,ovnýtslan er fíggjað við lántøku og studningi;ovnýtsla av rúsdrekka er skaðilig fyri heilsuna
ovnørast	nørast ov nógv, fjølgast meir enn gott er,nátin kann fara at ovnørast, so at hann verður meira til skaða enn til gagns
ovrasin	ovrásin
ovrasni	tað at vera ovrasin
ovrásaður	ovrásin
ovrásin	ógvisligur, ódligur, busutur, óskoytin
ovrásni	tað at vera ovrásin, ovrasni
ovrendur	ið hevur so nógva ferð at hann fer framum ella útfyri har sum hann ætlaði at steðga,við tað at eg var ovrendur, kom eg móti eini song og datt endalangur í hana
ovrenna	s48:ovrenna segrenna ov hart
ovrokaður	við ov stórum roka, ovfyltur,nakað ovrokað borð var tað ikki
ovróður	ov harðurel.ov strangur róður
ovrógva	s33:ovrógva segrógva meirael.harðari enn ein orkar(og fáa mein av tí),hann hevði ovróð seg
ovsagt	l hí osb.tað er ikki ovsagttað er einki avgjørt at siga, tað er ikki ov mikið sagt
ovsiga	s70í osb.ovsiga seg1siga e-t ið betur var ósagt, gera ov nógv av í orð og tal,hon var ikki tann, sum ovsegði seg2vera mismæltur
ovsintur	(sj.)ovursintur
ovskipa	hava ov stóra skipan (4),ovskipa hagan
ovskipan	tað at hava ov stóra skipan (4) í haga, ov stór áseyðaskipan, ovurskipan,ovskipan veldur annaðhvørt hungur ella hagarán
ovsleip	overvan, sprongd(av kropsligum arbeiði),tað man bert vera ovsleip, ikki sjúka;avlagaður av gikt og ovsleipi
ovsleipaður	útslitin av hørðum arbeiði
ovslit	ovsleip
ovsova	s62í osb.ovsova seg1sova ov nógv2forsova seg, sova ov leingi
ovstaðin	ov mikið staðinel.búgvin,vínberini vóru ovstaðin og kroystust sundur í sekkinum;ovstaðið korn
ovsteikja	steikja ov nógv
ovsúpa	s40í osb.ovsúpa segsúpa ov nógv (av e-m);ovsúpa seg av góðari ertnasúpan
ovtaka	s60í osb.ovtaka segfáa mein av at lyfta tungt;(tilt.)letingi ovtekur seg
ovtala	talael.siga ov nógv;í osb.ovtala segkoma at siga ov nógv, orðleypa seg,sjálv hevði hon ikki ovtalað seg fyri nøkrum;e-m verður ovtalaðein kemur at siga ov nógv
ovtøvdur	ov nógv tøvdur,vaðmalið er so ovtøvt, at hetta er lykkjuskotið
ovur-	sera, ógvuliga, framúr,sms. t.d.-bágin,-bilsin,-bjartur,-djúpur,-feitur,-fínur,-góður,-heitur,-langur,-ljótur,-mettur,-ríkur,-smæðin,-sterkur,-svinnur,-tjúkkur,-tungur,-vakur,-vandin,-varin
ovuransur	sterk ávirkan ávís hending hevur á e-n[da.sensation]
ovurást	serligur kærleiki, inniligur tokki,sprottið úr ovurást
ovurbráður	(lækn.)óvanliga bráður,ovurbráð brunagerð[da.hyperakut]
ovurdirvi	ovurstórt dirvi
ovurdjarvur	ómetaliga djarvur, vágamikil,tveir ovurdjarvir smádreingir
ovurdrykkja	drykkjuskapur uttan hógv, ringur drykkjuskapur, ovdrykkja,mangt eitt heim er niðurbrotið av ovurdrykkju
ovurfegin	sera fegin, findarglaður, himmalfegin,ovurfegin uppi yvir e-m;hann er ovurfegin uppi yvir dálanum;ovurfegin um e-t
ovurfegni	tað at vera ovurfegin
ovurfeitur	óvanliga feitur, spikafeitur
ovurfisking	ovfisking, ovveiða,ovurfisking í føroyskum sjógvi orsakað av ov stórari veiðiorku
ovurfiti	óvanlig fiti
ovurgivin	býttisliga djarvur, ið við lítlum skili leggur nógv til
ovurglaður	í sera góðum hýri, findarfegin, himmalglaður,ovurglatt fuglalát
ovurgleði	tað at vera ovurglaður
ovurhonds	ógvuliga, øgiliga, ómetaliga, sera,ovurhonds stórur
ovurhugaður	yvirhugaður, sprækin, heitur (3),í ovurhugaðum stríði;ongantíð havi eg verið so ovurhugaður uppi í leikum
ovurhugaleysur	við ongum ovurhuga, líkasælur,ovurhugaleys kannan
ovurhugaloysi	tað at vera ovurhugaleysur
ovurhugi	1yvri, yvirhugi,gera e-t av ovurhuga(uttan fyrilit, í óðum verkum)2(ným.)ovurmikil kensla, brennandi áhugi[da.lidenskab]
ovurhýrur	(sálfr.,lækn.)óvanliga góður hýrur. órættvorðin kæti,við hvørt sinnistyngd, við hvørt ovurhýrur
ovurkast	(kvæð.)heiti á turriklæði,turriklæðið kallar hon ovurkast
ovurkátur	sera kátur, ovfarakátur
ovurkæti	tað at vera ovurkátur
ovurleiðari	(ravm.)evni sum leiðir ravmagnsstreym við ongari mótstøðu tá ið hitin fer niður um ávíst hitastig[en.superconductor]
ovurlond	(stb.)ovastu hús í eini bygd,niðan í ovurlondini;hann býr í ovurlondunum
ovurlættur	1íðin, hugagóður, ágrýtin,(tilt.)hin lati ber seg í hel, hin ovurlætti gongur seg í hel2sera lættur
ovurmaður	(kvæð.)yvirmaður (2),hvar vitið tær mín ovurmann?
ovurmaki	(kvæð.)ovurmaður
ovurmenni	maður ið skarar framúr, yvirmenni, frágerðarmaður
ovurmikil	ómetaliga stórur, ómetaligur, ovurstórur, øgiligur
ovurmorgin	kí osb.í ovurmorgindagin eftir morgindagin, um tveir dagar
ovurmóð	(bíbl.)hugmóð
ovurnógvur	í sera stórum tali, ovurhonds nógvur,tað hevur ovurnógv at týða(ómetaliga nógv)
ovurnýtsla	ovnýtsla,her er einki til ovurnýtslu
ovurnøgd	ómetaliga stór nøgd, ørgrynni, yvirnøgd,hann var ikki vanur við slíka ovurnøgd á borði
ovurprísur	ósámiligur prísur, okurprísur,teir seldu brennivín í loynisølu fyri ovurprís
ovurraskur	meira enn vanliga raskur, sera raskur,teir vóru allir tríggir ovurraskir menn
ovurrenta	ósámilig renta, okurrenta
ovurríkur	ógvuliga ríkur, steinríkur, fullríkur,hann kom til eina ovurríka konu at vera
ovursinni	tað at vera ovursintur, øði, reiði 1, hernaður (3),ganga kykur í ovursinni
ovursintur	frá sær sjálvum, spinnandi óður, í øðini, sansaleysur
ovurskipan	ovskipan
ovursterkur	ógvuliga sterkur, krútsterkur,dagurin stendur og glógvar sum ein ovursterk blá glæma(ógvuliga bjørt)
ovurstórur	ómetaliga stórur, ónatúrliga stórur, veldigur,ovurstórur salur;ovurstór tøl;Sahara er ein ovurstór sandoyða
ovurtal	ótal, ørgrynni,í ovurtalií sera stórum tali, í margatali
ovurundra	háundra, hávirða, hámeta,eg ovurundri teir og lofti við gleði hvørjum orði, teir siga
ovurundran	tað at ovurundra, hámeting, hávirðing, undranarhávirðing
ovurvaksin	ómetaliga stórur, risavaksin,ein ovurvaksin, dimmur kópur
ovurvakur	sera vakur, sjáldsama vakur, undurvakur,um varrarnar liggur eitt so ovurvakurt bros
ovurveður	ódnarveður, himmalódn,ikki ráðiligt at halda til sjós í hesum ovurveðrinum;hesir veiku lívsneistarnir stirðna í ovurveðrinum
ovurviðkvæmi	(lækn.)tað at vera ovurviðkvæmur
ovurviðkvæmur	(lækn.)ið ikki tolir ávís (føðslu)evniel.at koma í samband við ávís evni(allergia)
ovurvirkin	(sálfr.)ið er virknari enn vanligtel.gott er, óstýriligur[da.hyperaktiv]
ovvaksin	vaksin ov skjóttel.knappliga, avskapaður(t.d. um epli ið eru opin innan)
ovvágin	ið vágar (alt) ov nógv, ov vágamikil(Sv)
ovveiða	tað at veiða ov nógv, ránveiða, ovfisking
ovvekraður	ið hevur vakt ov leingi, útlúgvaður av ov lítlum svøvni, vekraður, yvirvekraður
ovvekur	tað at vera ovvekraður
