L	rómv. taltekn fyri 50
líknilsi	(bíbl.)søga søgd í myndarlíki, myndlig frásøgn við siðalagsligumel.trúarligum sannleikael.boðskapi, dømisøga(parabola),Jesu líknilsi;líknilsið um sáðmannin
líkning	1tað at líkna2tað at (á)líkna skatt, skattaútrokning3(støddfr.)opin útsøgn (2) sum fevnir um javnatekn(har ið virðið hjá einumel.fleiri ókendum skal finnast),líkning við tveimum ókendum
líkningarnevnd	kommununevnd ið arbeiðir við at álíkna skatt til land og kommunu
líkningarráð	ráð, stovnur (3) hjá landsfyrisitingini ið er hægsti myndugleiki viðv. skattaálíkning
líkningarvald	hægsti myndugleiki í álíkning av skatti
líksálmur	gravsálmur
líkskapur	tað at líkjast, líkleiki
líkskari	skari av fólki ið fylgir einum deyðum til jarðar, líkfylgi
líkskoðan	tað at skoðael.kanna lík(til at staðfesta deyða)
líkskoðari	(gl.)ein ið skoðar lík(til at staðfesta deyða)
líkskurður	(lækn.)tað at opa lík til at finna deyðaatvoldina(obductio)
líkst	lúkst
líkstaður	leiði(Sv)
líksteinur	gravsteinur,líksteinur hansara vísir, at hann doyði í 1511
líktala	tala 1 (í kirkju) yvir líki, jarð(ar)tala, avtala 2(2)
líktorn	(lækn.)lítil harður klumpur í húðiniserst.á fóti við spískum oddi inná(ið veldur pínu)
líktrá	(bíbl.)spitalskusjúka
líktráur	(bíbl.)spitalskur
líkur	1ið líkist (e-m), sum hevur líkskap (við), átøkur (1),hann er líkur honum;tað er teimum so líkt(annað var ikki væntandi);teir eru líkir í útsjónd;(speis.)tað er so líkttað ber til, tað var at vænta;tað er góðum so líkttíbetur;tað er illum líkt,síillur2ið tykist vera, trúligur, sannlíkur,tað er líkt tilútlit eru fyri (e-m);tað er ongum líkari, enn at ...tað er trúligt, at ...3ið sømir seg, hóskandi,tað var líkari fyri hana;var tað ikki líkari, at hesir pengar vórðu býttir út?;tað er ongum líkt, at ...(er ósømiligt, líkist ongum);líkt og ólíktalt møguligt, av øllum sløgum(oftast vánaligum);(orðt.)tað er ikki svínum líkt, ið er sínum líkt,sísvín (1);sms. t.d.á-,frá-,hátt-,javn-,mann-,ó-,sam-,tí-
líkvagnur	líkvognur
líkverja	klæði at lata hin deyða í áðrenn hann verður lagdur í kistuna
líkvognur	líkbilur
lím	evni til at festa lutir saman við,leggja lím í heysin á e-msláa e-n kaldan, drepa(sagt sum hóttan)
líma	festa við lími
límband	tunt plastband við lími á øðrumegin(til at hefta e-t saman við),klistriband
límbinda	(óregl.)->línbinda
líming	1tað at líma2límað skoyti,tað er losnað í límingini
límtræ	(handv.)bjálki, plátael.fjøl av samanlímaðum trælistum
límviður	(handv.)límtræ
lín	1(plfr.)slekt í línætt, hørur(Linum);sbr.villilín;(kvæð.)tann yngra kundi at spinna lín2klæði av líni (1), lørift, línklæði,sveipt í hvíta lín;(orðt.)út kemur innispunnið lín (el.tógv)tað kemur fyri ein dag sum roynt verður at fjala;sbr.tógv;sms. t.d.beyga-,háls-,høvuð-
lína1	1langt band við mongum íbundnum teymum og húkum á rað(til at fiska við),vera við línuroyna við línu;seta, draga línu2(bjarg.)langt tog at síga við, bjargalína,lata seg í línuna;lata seg úr línuni;draga eina línuvera samdir;sms. t.d.átjangarns-,bakka-,bóg-,dag-,dráttrar-,flot-,gággu-,gongu-,grunn-,kalva-,logg-
lína2	(stb.)seta líning á (plagg)
lína3	(sjóm.,sj.)royna við línu,bátarnir, ið vóru ytri, línaðu
lína4	lina 2(1),teir línaðu neyt í bát har
línbendil	(plfr.)slekt í neliksætt, skurva(Spergula);sbr.ekrulínbendil
línbind	(lækn.)bind (1) av líni
línbinda	(plfr.)slekt í krossblómuætt(Brassica);sbr.ekrulínbinda,rót (2)
líndúkur	línklæði
línendi	línuendi
línfræ	(plfr.)fræ av líni (1)(vanl. nýtt í bakstri)
línhattur	(gl.)slag av hatti hjá konufólki(Sv)
línhvítur	hvítur sum lín,línhvítt hár
líning	faldaðel.áseymað rond á klædnaplaggi(at styrkja við);sbr.kvarði
líningur	(stb.)líning
línklæði	klæði úr líni
línkyrtil	(bíbl.)kyrtil úr líni
línolja	olja vunnin úr frænum á línplantu
línoljudúkur	linolium
línplagg	línklæði
línskav	(gl.,lækn.)upptrevsaður lepi av línklæði at leggja á sár,línskav er lepi av línklæði, sum varð skavaður við knívi, so at hann ullaðist[da.charpi]
línskáp	(sj.)skáp til línklæði
línskjúrta	skjúrta úr líni
líntráður	1tráður úr líni,líntráð høvdu vit til rak2trillutráður
línuagn	agn at egna línu (1) við
línubátur	(skip.)báturel.skip ið roynir við línu
línubekkur	(bát.)leysur bekkur í framskutinum til línuna,línubekkur varð lagdur tvørtur um skutin, og so sat ein á toftubekki og egndi uppáaftur
línubrúk	fiskiskapur við línu
línubust	(sjóm.)bust ið reinsar øgn av línuhúkum(so hvørt sum drigið verður)
línudansari	fimleikari ið sýnir kynstur á spentari línu
línuendi	endi á línu
línufiskur	fiskur veiddur við línu
línuflot	flot (nú vanl.boya) á línu (1),fyrr nýttu teir kík til línuflot
línufloti	(sjóm.)floti ið veiðir við línu
línugrót	línusteinar
línuhúkur	húkur áel.til línu (1)
línukassi	kassi at hava línuna í, línutrog, línuleypur
línukíkur	kíkur nýttur sum boya á fiskilínu
línuklemma	(stb.)línutræ
línukoyril	línustubbi,hon hevði ein línukoyril í hondini at verja seg við
línuleið	leið 1(3) har ið roynt verður við línu (1),góð/vánalig línuleið
línuleypur	leypur at goyma fiskilínuna í, línutrog,(tilt.)sum fressur í línuleypi(um e-n ið er grammur eftir e-m)
línulongd	longd á línu
línumaður	maður ið roynir við línu (1)
línumeis	(stb.)línuleypur
línupartur	(bjarg.)partur av fonginum ið latin varð at halda línuna fyri,línuparturin fór aftur at landpartinum, tí landið átti línuna
línureiðskapur	reiðskapur til línuveiðu, lína (1)
línurenna	rennael.sloka sum fiskilínan rennur ígjøgnum(tá ið sett verður)
línurim	fjøl at gera línu (1) upp á(til at krøkja húkarnar á)
línuringur	einstakur ringur í kveylaðari línu
línuróður	tað at rógva út við línu (1),línuróðurin er byrjaður
línurulla	(bát.,skip.)rulla á stokkiel.lúnning sum línan liggur um meðan drigið verður
línuskip	(skip.)skip ið roynir við línu (1)
línuspæl	(sjóm.)spæl at draga línuna inn við
línustampur	stampur (3) at goyma fiskilínu í
línusteinur	steinur nýttur sum søkk á línu (1)
línustokkur	línutræ
línustubbi	stutt lína (1),teir settu bert nakrar línustubbar
línutrog	línuleypur
línutræ	træ til at heingja línu (1) upp á til turkingar, línustokkur
línuvandur	(um fisk)sum bert fæst á línu,fiskurin er línuvandur(tekur ikki snelluel.snøri);her fæst lítið við snøri, fiskurin er línuvandur
línuvarp	varp (2) á uppstandara á línu (1)
línuveiða	fiskiveiða fingin við línu (1),smálig línuveiða, hampilig garnaveiða
línætt	(plfr.)ætt av hulfræingum ið eru tvínælingar(Linaceae)
líradagur	26. august(tá ið menn fóru at draga líra),ikki varð tendrað undir bitanum fyrr enn líradagin
líradráttur	tað at draga líra
líradrýlur	(stb.)drýlur av so tíðliga stadnum korni at hann kann verða bakaður til líradagin
líragras	(plfr.)planta av líragrasætt, blákollur, lírakollur(Succisa pratensis)
líragrasætt	(plfr.)ætt av hulfræingum ið eru tvínælingar(Dipsacaceae)
líragørn	gørn av líra(gott seiðabergsagn)
lírahola	hola í jørðiniel.millum steinar har ið skrápur hevur reiður, skrápshola
lírahundur	hundur fyrr nýttur at taka lírar við,ágrýtin sum lírahundur
líraístur	ístur av líra(m.a. til ísturkøku)
lírakollur	(plfr.)líragras
lírakrókur	amboð at draga líra við
lírakøka	(stb.)líradrýlur
líralykt	lykt at taka líra við
líramariumessa	líradagur
lírasmoltur	feitt ið legst oman á løgin tá ið líri verður kókaður
líratíð	tíðin síðst í august tá ið líri verður drigin;sbr.líradagur
líraørindi	ørindi at kvøða líradagsmorgun,Inni liggur tú gráur í dúni, ofta tala vit um teg heima í túni, vit eru komnir at taka og ikki at keypa, ikki mást tú undan okkum í avkrókin leypa
líri	1(fugl.)ungin hjá skrápi(Puffinus puffinus),draga líra2(slang)lummafløska;sms. t.d.bjarga-,dimmi-,fjalla-
lísvýki	lívsýki
lít	1tað at gera mansverk, manslít,gera lít;hann heldur seg hava gjørt lít;børnini gera lít fyri matin;nú ger drongurin fulla lít(somu nyttu sum vaksið fólk);til lítar;við lítvæl og virðiliga2tað at líta á e-n, tað at vera lítargóður, álit,vit eiga at seta alla okkara lít til hansara;hava lít til e-n;tað er lít í honum
líta1	1hyggja, skoða(ávísan veg),líta aftur um seg;hann leit seg aftur um bak;líta at e-m;viðfs/hjlíta áhyggja at,fríður á at lítavakur í ásjón;vera at líta á sum ...vera at rokna sum ...;líta seg umhyggja uttan um seg;líta uppúr:hann lítur ikki uppúr(um e-n ið er hugagóður í sínum arbeiði);líta út (fyri, til)vera líkt til, tykjast,tað lítur væl út fyri, at fundurin kemur í lag;tað lítur einki (út) fyri, at bátarnir koma enn;tað leit út til, at menninir vistu ikki, hvat teir skuldu gera(var ongum líkari)lítast:Grani bæði beit og sló og leitst til ymsa kinna(vendi sær, hugdi ymsar vegir);lítst hann um so víða;lítast álíka 1, falla (6), dáma, líkjast á,mær lítst væl á hannel.tað;honum leitst væl á gentuna;sbr.líkjast 22(stb.)bera eyga við, síggja,teir vóru ongastaðni at líta;eg líti tað ongastaðni;eg leitaði eftir knívinum, men leit hann ongastaðni;geldseyðurin saknaðist, men ikki so mikið sum rovini litust aftur
líta2	hava álit (á e-m),lít á míni orðtrúgv mær;líta á e-n/e-t;teir, ið onga jørð áttu, høvdu bert sjógvin at líta á(at dúva upp á);líta e-m nakað tilel.líta e-m nakað upp í hendurhava álit á at ein ger tað hann er biðin,tað ið litið hevur verið honum upp í hendur, hevur hann trúliga gjørt;líta e-m (væl) tilhava álit á (e-m),handilsstjórin leit honum væl til;tað vóru ikki allir, ið litu honum so væl til(ið litu á hann);líta sær (nógv/lítið) til(ikki) halda seg til, (ikki) hava áræði,eg havi ikki litið mær til
lítargóðska	tað at vera lítargóður
lítargóður	1sum ein kann líta á, álítandi2ið kann gera lít
lítarleysur	1ið ein ikki kann líta á, óálítandi2latur, dovin
lítarligur1	(Suð.)sum lítil dugur er í, sum einki dugir, vánaligur, ódugnaligur, lorkutur,tað er lítarligt av honum ikki at kunna gera hetta frægari;hann er so lítarligur, at hann doyr fyrr í hungri, enn hann ger sær ein bita
lítarligur2	sum munar, munadyggur,lítarlig verja
lítarlítil	óálítandi
lítarloysi	1tað at vera lítarleysur2fólk ið ein ikki kann líta á, óálítandi fólk3fólk sum einki nyttar, ónytta
lítil	1ikki stórur (í vavi), undir miðalstødd, smáur,móts.stórur,lítli fingur,sílítlifingur;lítið hús;lítil maður;lítil á vøkstri;lítli/lítla mín;(blíðm.)lukka, vælsignað(ur), vinur mín;í lítlumí lítlan mun, í smáum,so breyt, og ikki í lítlum2eitt glas av brennivíni,fáa sær ein lítlan3heilt ungur, ikki vaksin,tá eg var lítil4(um tíð)ið varir stutt, ikki langur, skammur, stokkutur,ein lítil løta;lítla løtu seinni5ikki nógvur, smáligur,har var lítil fiskur;har hevur verið lítið til av torvi;tað er lítið av miklum,símikil;fyri lítið og lætt,sílættur (5);lítið og einki,síeingin (1);hon, olmussudýrið, hevur so lítið(hevur lítið vit)6eitt lítið1eitt lítið sindur, eitt vet,hjálp mær eitt lítið;tað lítla, eg kundi(tað sindrið)2fáa eitt lítið(barn, nýføðingur);gentan fekk eitt lítið3fáa (eitt) lítið(óvand.)hava samlegu7hj:lítiðikki nógv,lítið betri;ikki lítið bilsin(stórliga);tað er lítið fyri(lætt at útinna);tað mátti verið lítið fyri hann at lopið niður í bátin;lítið er um hann(óglaður, fáligur);hann væntaði sær lítið at koma aftur(neyvan);lítið klæddurilla klæddur, tunt ílatin;lítið vardi hann, at ...(ikki væntaði hann);sms. t.d.bein-,dirvis-,ela-,evur(s)-,lítar-,mót-,pinku-,ør-
lítillátaður	lítillátin
lítillátin	1ið heldur lítið um seg sjálvan, lítið framførur, eyðmjúkur,stillur og lítillátin í medferð;lýðin og lítillátin2(stb.)ið ger nakað sum ikki sømir seg, illgrundaður,tað var lítillátið av honum at gera tað(illa gjørt, óreint);so lítillátin er hann ikki, at hann legst á pengarnar3fastur á hondini, natin, gírigur, pírin,tú ert so lítillátin, at tú unnar ongum svart undan nagli
lítillátur	(bíbl.)lítillátin (1)
lítilleiki	tað at vera lítil, tað at e-t er lítið,kensla av lítilleika og einki at vera mentur
lítillæti	(bíbl.)tað at vera lítillátin, eyðmýkt
lítilmenni	smámenni, ómenni
lítilskøra	(plfr.)slag av skøru(Alchemilla minor)
lítilsligur	lítil, visaligur, neyðarsligur,móðirin stóð so lítilslig og veittraði;ógvuliga lítilsligur bátur
lítilsmeta	halda lítið um, metael.virða lítið, hava lítla virðing fyri,tit fara kortini ikki at lítilsmeta meg fyri tað?
lítilsverdur	lítið verdur, av ringum slag, vánaligur,tað, ið til er av koli, er lítilsvert
lítilsvirða	halda lítið um, spotta, háða, speireka
lítilsvirðing	tað at lítilsvirða
lítlabók	(Sumb.)Luthers lítla katekismus
lítlaføsta	(stb.)jólaføsta, advent
lítlasponn	(stb.)stuttasponn
lítlastrá	tól til at spola (1)el.spinna á, spolarokkur (2), borðrokkur
lítlasystir	yngrael.yngsta systir (hjá e-m)
lítlatá	minsta tá á fóti(næst jarkanum)
lítli	smádrongur,lítlin;lítlarnir
lítlibátur	(skip.)lítil skipsbátur, ritubátur,stóribátur var vanliga seksmannafar, og lítlibátur var vanliga tristur ella tommur
lítlibeiggi	yngriel.yngsti bróðir (hjá e-m)
lítlifingur	minsti fingur á hond(næst handarjaðri),aftastifingur, ytstifingur
lítliheili	(lívfr.)aftari og minni parturin av heilanum(cerebellum);sbr.stórheili
lítlingi	smádrongur, piltur
lítlipinnur	minni vísin á uriel.klokku
lítt	lítið, ikki nógv,(kvæð.)teir høgga títt, teir líva lítt(eira ongum);um tey komu at læna, fingu tey hvørki lítt ei stórt frá henni;(orðt.)legg lítt til lítt og ger tað títt, so verður tað mikið
lív	1tað at liva,móts.deyði,vera á lívi;taka við lívigerast livandi(tá ið kvinna fyrstu ferð kennir lív í fostri sínum);lívið er eittansein livir bert eina ferð;liggja e-m eftir lívinumvilja drepa e-n;koma aftur til lívsrakna við aftur, livna við aftur;hava lív og heilsu;eg skal koma at vitja teg, um eg havi lív og heilsu;eiga lívið í e-mhava æruna fyri at ein er á líviel.fær lívbjargað sær;leggja lívið við (fyri e-n)seta lív sítt í váða (fyri e-n annan);í lívi(um seyð)livandi,hann seldi alt í lívi;tað var lívið um at gera(var av lívsneyðugum týdningi);leggja lívið ákýta seg tað ein er mentur,tað var lagt lívið á at velta korn;láta lívdoyggja;(orðt.)fyrr trýtur lív enn leistar,síleistur;taka av líviavlíva, drepa;taka lívið av e-m;døma frá lívinumdøma til deyða;gera fyri lívi sínumgera lógarbrot og verða dømdur frá lívinum;nú stóð aftur til lívs hjá henninú mundi hon fara at koma fyri seg aftur, draga undan, hóra undan;tað stendur um lív(ið)(um e-n ið er í lívsvanda),tað stóð um lívið at koma fram(var ikki við mýkindum);eg seti ikki upp á líveg doyggi, eg dragi ikki undan;við líviá lívi, livandi,sjey komu við lívi á land;renna sum fyri lívinumrenna alt tað ein er mentur;lata e-n tiggja lívlata e-n sleppa við lívinum;fáa lívið av e-mavlíva, drepa;upp á lívið1av lívsins kreftum,hon dansaði upp á lívið2tað var upp á lívið at arbeiða har(mest sum lívshættisligt);(kvæð.)lív frá londum skiftalíða deyðan, doyggja;lívs1livandi, á lívi,teir komu lívs á land;(kvæð.)Margretu lýsi eg ríkið hálvt, kemur hon lívs til lond2alt lívið, alla ævi,(kvæð.)eg skal tæna Ólavi kongi lívs og allan aldur2lívstíð,alt lívið;eitt langt lív;hon hevur búð har alt lívið3tað hvussu ein livir, lívsháttur, levnað,liva sítt egna lív;eitt lív í fátækt;tað var ikki lív(ógvuliga strævið);tað verður einki lív hjá mær at balast í einingi4lívsumstøður,gott lív(fittligt og lættligt)5lívligt virksemi, gaman, stuttleiki, skemtan,yðjandi lív;hann fekk lív í øll, sum inni vóru;hann fær lív í, har hann kemur;har var lív og leikur6gløður at kyka við,tá vórðu hirðingartorvurnar lagdur at hava til lív morgunin eftir;biðja lívfara í annað hús at biðja um eldel.gløður at kyka við tá ið útkalt var7lítil eldur, fløvi(í komfýrinum),hav eitt lítið lív í, tí ein rái er inni her8kroppur, likam,við lív og sál;teir vóru sum lív og ein sál(góðir, samdir);av lívsins kreftumav allari makt9ikki eitt (livandi) líveinki livandi, eingin;góða lívið!góði vinur, lukka10undirlív (1),tvíburar vóru í lívi hennara11magi,leyst lívlívsýki;hart lívharður opningur,sbr.harðlívaður12(gl.)kjólalív,hon var í ullintum skjúrti og í lívi við høgum hálsi13(bát.)síða, miðjan á báti,báturin er vátur á lívið;vindurin lá á lívið;í vørðsluni stóðu bátarnir skorðaðir við lívskorðu, sum orðið sigur, um lívið á bátinum;sms. t.d.and-,bygdar-,felags-,foldar-,fólka-,guds-,heima-,jarðar-,kyns-,manna-,móður-,rukku-,sjó-,træla-,undir-,vinnu-
líva	1geva lívd(fyri vindi og óveðri),her lívir(er lívd);her lívir at kalla á hvørjari ætt;trø eru plantað til at líva fyri vindi;fyri at líva lendingini í vestanbrimi setti hann nakrar stórar varrarsteinar;líva álíva,norðan fyri gróthúsið lívdi hann á2(um klæði)verja fyri kulda, geva lívd, verma,(orðt.)tað lívir ikki meira enn Ísland lívir Føroyum(t.d. um plagg);(orðt.)tráður lívir trevlisjálvt eitt vánaligt plagg er betri enn einki3eira, skóna,líva særspara kreftir, letast, loyva sær,ikki lívdi hann sær, men arbeiddi eins og áður;tað var einki sum æt at líva sær í arbeiðinum;líva e-m við elli,síelli
-lívaður	sí t.d.harð-,lang-,seig-,tvílívað
lívakker	(flutt m.,sj.)bjarging, álit,tann hagaparturin hevur verið lívakkerið hjá hesum haganum(bjargaði seyðinum tí har var tátt)
lívbátur	(skip.)bjargingarbátur
lívbelti	bjargingarbelti
lívbjarga	vinna til lívsins uppihald,lívbjarga sær við (e-m);teir máttu leita aðrastaðni at lívbjarga sær og sínum
lívbjargari	ein ið hevur til arbeiðis at hava umsjón og at bjarga fólki frá at drukna í svimjihøll, á baðistrondo.tíl.
lívbjarging	1tað at hava nóg mikið til lívsins uppihald,tað er eingin lívbjarging í at velta eini kútøð2tað at bjarga lívinum,hastilig ferð á sjúkrahús kundi verið lívbjarging
lívborð	(sjóm.)borð (5), skipssíða ið vendir undan vindinum, læborð
lívbúni	(sjóm.)bjargingarbúni, flotbúni
lívd	tað at líva, e-t ið lívir, vernd (fyri vindi og veðri),bygdin lá í lívd;fáa lívd av landi;vindurin beykaði fannirnar saman aftur undir hvørjari lívd;(flutt m.)Gud er vár lívd
lívdagur	k42í osb. sumhann mundi ikki hava so mangar lívdagarnar(mundi ikki fara at liva leingi afturat)
lívdarblað	1(bókb.)oddablað2(plfr.)lítið fluskent blað sum situr undir fruktini á størum(ofta øðrvísi litt og vaksin enn leyvbløðini)
lívdargarður	garður ið veitir lívd, verjugarður
lívdargirðing	girðing (1) ið veitir(plantumo.tíl.)lívd
lívdargróður	gróður (trø, kjarr) sett niður at skýla øðrum gróðri
lívdarkápa	leyskápa
lívdarrunnur	runnur til lívdar øðrum gróðri,snjóber er góður lívdarrunnur
lívdarsigling	kv6eí osb.í lívdarsigling(konvoysiglingt.e.skip vard av herskipum í krígstíð)
lívdarskjøldur	(skaldsk.)skjøldur sum verjael.lívd,(flutt m.)hann saknaði mammu sína, sum hevði hildið lívdarskjøldur yvir honum
lívdartræ	træ sett niður at skýla øðrum gróðri
lívdjór	djór við góðum eginleikum ið ein elur avkom undan
lívdýr	lívdjór
lívevnafrøði	(evnafr.)vísindagrein um evnafrøði í livandi verum(biochemia)
lívevnafrøðiligur	viðv. lívevnafrøði
lívevnafrøðingur	ein ið er lærdur í lívevnafrøði
líveyskar	(bát.)stórt eyskar(m.a. nýtt tá ið nógvur sjógvur kemur í bátin)
lívfiskastøð	støð 1(2) har ið lívfiskur verður aldur,í Skopun verður arbeitt upp á eina lívfiskastøð, sum skal granska og ala sjúkufrítt smolt
lívfiskur	(fisk.)alifiskur at seta við,teir gera ílegukanningar av lívfiski av Føroyabanka og landgrunninum til at velja tann besta lívfiskin úr náttúruni og fyri at menna toskaaling í Føroyum
lívflýggj	(bát.)triðja borð (4) úr neðra
lívfóður	(bún.)so mikið fóður sum krevst at halda lív ít.d.seyði(ið svøltar í kava)
lívfrøði	(lívfr.)vísindi um bygnaðin hjá livandi verum og lívvirkisligu eyðkenni teirra(biologia)
lívfrøðiligur	(lívfr.)viðv. lívfrøði
lívfrøðingur	(lívfr.)ein ið er lærdur í lívfrøði
lívføddur	l18í osb. sumikki í mín lívfødda dagikki í mín livandi dag, aldri á ævini
lívføri	tað at vera lívførurel.førur fyri at liva,ov lítið lívføri, afturfarin lívshugur;(flutt m.)felagið hevur havt eitt vist lívføri
lívførleiki	lívføri,lívførleikin hjá fólkinum
lívførur	1ið er førur fyri at liva, mentur at livael.hóra undan,børnini vóru lítið lívfør og doyðu smá;hann tók tær avdeyðaær, ið ikki vóru lívførar2liviligur,um alla strondina, har sum annars var lívført, var nú púra svart3í osb.har var ikki lívført(eldsløkkingur, útkalt);útkalt var, og heldur ikki var lívført í teimum næstu húsunum
lívga	1geva lív, halda lív í,børnini ugga seg við, at summarið fór at lívga hann;(tilt.)prílurin bæði lívgar og drepur;lívgandi ljós2(um seyð)lata liva, seta við,geldseyðir vórðu sleptir upp og lívgaðir til brúdleyps;várveikan seyð er ofta fáfongt at lívga;eg fari at fáa mær eitt lamb at lívga(føða inni)3hjálpa, verja, hjúkla um,hon lívgaði systurbørnini væl, eftir at tey høvdu mist mammuna;kommunustýrið hevur at røkja skúlar og lívga tey fátæku4lívgast uppernast, livna upp,tá lívgaðist henda gamla upp
lívgagn	(lívfr.)yrkisgagn
lívgan	tað at lívga
lívgingarlamb	(Suð.)sleppingarlamb,gott/vánaligt lívgingarlamb
lívgóður	(um plagg)sum lívir væl, heitur
lívhagi	góður hagi har ið seyður livir væl,har er góður lívhagi;har er ikki lívhagi fyri seyð
lívhold	h flt3í osb.hava lívhold(um seyð)so mikið væl í holdum at kunna liva veturin, lívførur,ærin hevði lívhold, um 4 merkur vóru í henni;ær, sum hevði fullan munn, varð vanliga ikki tikin;tá ið hon handlaðist til 4-5 merkur, skuldi hon hava lívhold
lívhugur	lívshugur,fylgi av unglingum bragdandi av lívhugi
lívhválv	(lívfr.)tann partur av jørðini har ið lív trívst[da.biosfære]
-lívin	síó-
lívjarn	(á knívsblað)jarnið uttan á stálinum
lívkálvur	kálvur ið skal liva,móts.drápskálvur
lívkendur	lívligur, livandi,hon var gjørd av lættari og meira lívkendum tilfari enn fólk flest
lívkneppingur	(sj.)merlingur
lívkúgv	kúgv ið skal liva,móts.drápsneyt
lívkyn	(málfr.)natúrligt lívfrøðiligt kyn(sexus),móts.málkyn
lívlamb	(sj.)sleppingarlamb
lívlangur	ið varir alt lívið, ið er fyri lívið, ævilangur,lívlangt fongsul
lívlát	tað at láta lív, andlát, deyði
lívlátur	h13(sj.)í osb.liggja á lívlátriseta lívið í váða
lívlendi	lendi har ið seyður sleppur væl undan(gott bit, lívdo.tíl.),hallingin upp frá dalinum er lyngvaksin og tí betri lívlendi fyri seyð enn ætlandi kundi verið
lívlendur	ið liggur í lívd, veitir lívd,eitt lívlent stykki (í bønum);tað er so lívlent(veðurgott og við góðum gróðrarlíkindum);lívlendur hagilívlendi
lívleysur	deyður,hann skal vera lívleysur(skal doyggja);dømdur lívleysur;(orðt.)knívleysur maður er lívleysur
lívligur	fullur av lívi (5), sum lív er í, eyðkendur av rørslum og virksemi, sprækin, fýrin,lívligur og prátingarsamur;ein lívligur fundur
lívlíkur	líkur livandi veru,handtakið á stavinum var eitt lívlíkt hundshøvur
lívloysi	tað at vera lívleysur, deyði, andlát
lívlækni	(lækn.)persónligur lækni hjá tignarfólki
lívmikil	livandi, lívligur,eyguni vóru lívmikil;alskin og lívmikil;við lívmiklari rødd
lívmóðir	(lívfr.)yrkisgagn sum fostrið hjá kvinnum og kvenndýrum mennist og búnast í, móðir (2)
lívmóðurhálsur	(lívfr.)niðasti partur á lívmóðrini niður í móðurskeiðina
lívmóðurmunni	(lívfr.)opið á lívmóðurhálsinum
lívmús	tað at tað rykkir í vøddum á ávísum stað,(fólktr.)hann, ið varð prikaður í lívmúsina, skuldi doyggja
lívneppingur	(stb.)lamb sum er heldur lítið at sleppa
lívneyt	neyt ið skal liva,móts.drápsneyt
lívognarskapur	(søg.)tað at bóndi er bundin at harra sínum sum ófrælsur(skal gera tað ið verður álagt honum, hevur ikki loyvi at flyta burturo.tíl.)
lívrenta	slag av lívstrygging(útgoldin aftan á ávísan aldur)
lívrunnin	(evnafr.)ið stavar frá livandi verum (dýrum, plantum),øll tey evni, ið skapast í kyknuni, kallast lívrunnin evni, tí tey eru upprunnin av lívi;lívrunnið evnikolevnissamband í dýrum og plantum[en.organic]
lívsandi	(bíbl.)andi lívsins, lív, andadráttur,Guð skapaði mannin og blásti lívsanda í nasar hansara
lívsarvingi	(løgfr.)arvingi ættaður frá arvleggjara í beinari linju
lívsáskoðan	áskoðan um lívið og meiningina við tí, lívssjón
lívsbardagi	bardagi fyri lívinum
lívsbót	(gl.)bót fyri manndráp
lívsbragd	bragd (1)el.tekin um lív,tað var ikki øðrvísi, enn teir kendu lívsbragd í honum
lívsbreyð	tað ið ein hevur at liva av, arbeiði, yrki,lívsbreyð sítt høvdu teir á sjónum;vinna sær lívsbreyð;tað er einki lívsbreyð(at ganga burtur í haga);geva e-m lívsbreyð(tað ið einum nýtist)
lívsbræv	(søg.)bræv ið veitir fólkit.d.embæti fyri lívstíð,Ámundur Ólavsson fær lívsbræv frá kongi upp á biskupsdømið í Føroyum
lívsdagur	lívstíð, lív,allar lívsdagar mínar
lívsdirvi	dirviel.áræði at liva lívið,har bilaði lívsdirvi
lívseigur	sum livir leingi, sum ikki doyr lættliga
lívsevni(r)	lívføri, lívførleiki,hvussu slagið hevði verið til lívsevni(r), ullferð o.tíl.
lívseydna	tað at e-m gongst væl í lívinum, eydna í lívinum, eydnuríkt lív,høvdu øll arbeitt í felag, hevði lívseydnan nørst;hann hevði dripið lívseydnu hennara(gjørt hana eydnuleysa)
lívseyður	1seyður sum skal liva,móts.drápsseyður,í klipping verður doddurin skorin av øllum gimburlombum, ið best vóru skikkað til lívseyð2seyður ið er so væl fyri um heystið at hann er førur fyri at liva veturin av,tað stendur á lívseyðinum í ár í ólukkumáta
lívsfegin	lívsglaður
lívsfesti	(løgfr.)festi (2) ið ein situr við alt lívið
lívsfjarur	sum ikki er tilvitaður umel.áhugaður fyri sínum kringumstøðum, fremmandur fyri tí veruliga lívinum
lívsfjørður	mannalívið samanborið við ein fjørð(ið rógvið verður um),nú er hansara lívsfjørður rógvinnú er hann deyður
lívsfongsul	fongsulsrevsing fyri lívið
lívsfrískur	lívligur og fúsur, heilsugóður,nú eru tit farin, øll tit, ið vóru so vøkur og lívsfrísk;(skaldsk.)lívsfríska megi
lívsfróur	lívsglaður
lívsfrøi	lívsgleði
lívsfúsur	fullur av lívi og sum fegin vil liva lívið, lívsglaður
lívsførsla	lívsháttur
lívsgerð	ógerð revsað við deyða
lívsglaður	sum kennir gleði við lívinum, sum sýnir lívsgleði, lívsfegin, lívsfróur, lívskátur
lívsgleði	gleði um lívið, gleði um at livael.at vera til
lívsgrundarlag	grundarlag undir at fólk kunnu lívbjarga sær,havið og havsins ríkidømi er lívsgrundarlag føroyinga
