H	rómv. taltekn fyri 200
hond-	hand-
hondbóltsdómari	(ítr.)dómari (3) í hondbólti
hondbóltsdystur	(ítr.)dystur millum tvey hondbóltslið
hondbóltsleikari	(ítr.)ein ið leikar hondbólt
hondbóltur	(ítr.)bóltspæl spælt við hondunum
hondbremsa	(tøkni)bremsa til at røkja(spenna og loysa)við hond;sbr.fótbremsa
hondbrúsa	leys brúsa 1(2)(til at hava í hondini)
hondbundin	handbundin
hondjór	(dj.)kvenndjór
hondlisti	(húsasm.)listiel.bretti ovast á rekkverki(t.d. á trappu at halda sær í)
hondsápa	sápa serst. ætlað til handatvátt
hondtaska	lítil taska at bera í hondini
hondvask	(lítið) vask (2) til handatvátt
hondýr	(dj.)kvenndýr
honfiskur	1(fisk.)kvennfiskur2(sj.)honhvalur
hongdi	síheingja
hongeili	(óregl.)->horngeili
hongsl	(jarn)áslag (í tveimum pørtum) sum snýst um tøpp (stápil, stelling) og sum hurðar, lok, vindeyguo.tíl.eru fest í karmel.durastav við(so at tey fáast at ganga upp og aftur),leikindi, geipa, bakjørn,hurðin gongur á hongslum;tað ríkir í hongslunum;sms. t.d.træ-
hongur	síhanga
honhvalur	(dj.)hvalur av kvennkyni, honfiskur (2)
honk1	1bogi av træ, jarni, plastio.ø.á luti at berael.lyfta við,honk á bismarahandfang á snarinum, bjølla (2);draga honk(um tveir)sita við fótaspenni fót móti fóti og togast um band bundið í bukt(at vita hvør ið evnaligari er);(stb.)ganga undir honkganga undir arm;einar henkurketa, leinkja2(stb.)teyggja 1(2)3tað ið verður vundið í senn upp á noða áðrenn snarað verður á,abbi vant stór noður við tjúkkum honkum;ger ikki henkurnar so stórar!;hon smoyggir eina honk av noðanum;vint so væl í honk;noðað liggur væl á honk(rullar ikki um gólvið tá ið tvinnað verður)4(ným.,slang)pakki við seks ølfløskum[en.sixpack];sms. t.d.lykla-,put-
honk2	himpr, drál, ivi,nú skal einki honk vera longur;hann svaraði uttan honk(uttan at ivast, uttan himpr);tað kann einki honk vera um tað(eingin ivi, ikki tvær meiningar)
honka	vera jánkasligur, hálvavegna halda við,bara ikki honka - sig henni sannleikan uttan himpr;hann fór so smátt at honka(geva eftir);teir honka til báðar síður;honka eftir (e-m)hálvavegna samtykkja, ikki mótmæla, geva eftir,tú hevur honkað eftir øllum, hann kemur tvætlandi við;honka við:hann honkaði við(var jánkasligur, himpraðist)
honkasliga	(g)jánkasliga
honslag	kvennkyn, kvennslag
honum	síhann
hop	vón,so var einki hop eftir hjá honum;sms.mis-
hopa1	vóna,hopandi fer tað at ganga
hopa2	sbr.hopra
hopileysur	(tlm.)hopleysur
hopleysur	1vónleysur2(tlm.)ómøguligur, eiðasørur(um fólk)
hopp	lop,gera eitt hopp
hoppa	gera hopp(serst. við báðum fótum í senn uppfrá),leypa upp í loft,tá kom krákan hoppandi;hoppa sum svartstakkur á steini;á, hoppa tú!tig við tær!;(spæl)hoppa í bandi, hoppa (upp) um bandel.hoppa bandleypa upp um band sveiggjað í ring ymist yvir høvd og undir føtur;(flutt m.)hjartað hoppaði í bróstinum á honum(t.d. av frøi)
hoppaskjúrt	(stb.)lívlig smágenta;sbr.huppaskjúrt
hoppdertingur	ørvitisskøltur, ørvitisknokkur
hoppfyl	hoffyl
hoppiband	band at hoppa um;síhoppa
hoppiborg	útbúnaður(við luftfyltum gummi-el.plastikpútum)til at hoppa á
hoppikelda	flotkelda
hoppilodd	lodd við einum teymi og húki(at royna eftir reyðfiski við);sbr.skólpalodd,sperðlagreiður,sparðlakur (1)
hoppilogi	ein ið eldhugaður fer í holt við e-t (stórt) men skjótt gevst
hoppinifjas	(stb.)flogsut genta, klovfyl, hoffyl, flogsa,(hon er) eitt hoppinifjas
hoppsterta	(dj.)slag av veingjaleysum skordýri(skylt við fjørutrøll)(Collembola)
hopra	hopa 2, opra,hopra afturáel.ástíga afturá (av bilsni, hvøkkio.tíl.),konan kemur í dyrnar og hoprar afturá, stendur málleys og starir;hopra aftur eftir hælihopra afturá, hopa aftur eftir hæli;hopra undantaka seg undan, hopa undan,hann hoprar undan hvørjari lítlari mótstøðu
hor1	l óbí osb.hann er horhorarak;ísakalda horísakaldahor
hor2	(bíbl.)kynslig samvera uttan fyri hjúnalag, siðleyst kynslív, leysalevnað, siðloysi,tú mást ikki dríva hor
hora	1kvinna sum livir í siðloysi, skøkja, púta 12(sjóm.,skemt.)brosma
horarak	ógvuliga rak 2, deyðarak, diddarak, kaldarak, karrak, tussarak
horast	liva siðleyst,teir horaðust við henni
hordómur	(bíbl.)hor 2
horfikin	(bíbl.)sum hevur hug at dríva hor
horfikjast	(bíbl.)vilja dríva hor
horfikni	(bíbl.)hugur til hor
horgitin	gitin í hordómi
horkallur	maður ið livir í siðloysi, horubukkur, pútusveinur
horkona	(bíbl.)hora (1)
horkonugarður	(kvæð.)hús hjá horkonu
horkonusonur	(kvæð.)sonur horkonu, pútusonur
hormon	(lívfr.)evni gjørt í kertlum og sum ført út í blóðið stýrir vøkstri, evnaskifti, kynsbúningo.ø.
horn	1(dj.)spískur vøkstur úr hørðum tilfari á høvdi á summum djórum,alt varð bundið, sum horn hevði, uttan tey veðurlombini, sum skuldu verða slept til brundseyðir;(um seyð)leypa á hornunumfáa hornalop;(flutt m.)fara at spíska horninigerast ólagaligur, styggja fólk frá sær;sum knívur á hørðum horniágrýtin,hann lá á mær sum knívur á hørðum horni at fáa pengarnar;(tilt.)vera (e-m) hart horn at telgjavera hart hoyggj at draga, vera torvunnin;(tilt.)vera harður í horn at takavera harður at stríðast ímóti;(tilt.)jú eldri bukkurin er, stívari verða hornini,síbukkur (1);(tilt.)jú eldri bukkurin er, harðari verður hornið(um gamlan mann ið er óður eftir konufólki);(tilt.)hava bæði horn og hala(verða hildin at) vera illur í sær;(tilt.)hava bæði horn og kløurvera ringur at koma í ósemju við, vera ilskur;(seyðamark)hálvt frá horniskorið mitt niður í oyrað og útúr aftureftir;(seyðamark)fjøður við horn,sífjøður (6)2(tónl.)slag av blásturljóðføri(uppr. gjørt úr horni),blása í horn;(kvæð.)blás í hornið Ólivant í Runsival;(kvæð.)onkuntíð á Blálondum leikti betur í horni3ávaringartól í akfari(gevur snjalt ljóð frá sær)4bogin lutur á telefon(at tala og lurta í),taka hornið av;leggja hornið á;bíða við, eg leggi hornið frá mær;hann treiv eftir horninum5drykkjuhorn(djórahorn el. úr øðrum tilfari),(kvæð.)drekka teir úr sínum horni6(á fleygastong)stangarhorn,ganga at horni1flyta hond um hond at stangarhorninum(til at taka fuglin úr netinum)2(skemt.)vera illa gonguførur, vingla(t.d. av fyllskapi)7annar spíski endin á mánanum stutt fyriel.eftir tendring,fugloyingar søgdu, at tá ið hornini á mánanum vóru spísk - tað visti kulda í8(stn.)1e-t ið stendur framúr, hvast enni, spískur toppur,Uppi á Horni;(kvæð.)Hornið Háa2krókur t.d. á bøgarði, garðshorn,í Horni9(dj.,fisk.)svimji- og stýrilimur á bakinum á hvaliel.rygginum á ávísum fiskasløgum,bøkslini eru smá, hornið heldur stórt(um døgling);hornið er vanskapað, mest sum ein stórur døttur á bakinum(á avgusti);slættibøka hevur einki horn10(dj.)kampur 1(2.1)(á ávísum ryggleysum dýrum),hornini á fliðuel.snigli11(plfr.)fingur (3) á hvonn, bein (3), stig (7)12(lívfr.)deytt tilfar sumt.d.horn (1) er úr,negl á fólki eru úr horni13staður har ið tvær síður møtast (bæði innan og uttan)(vanl.90°),húsahorn,gøtuhorn;horn á fótbóltsvølli;hon sat uppi í horninum(krókinum);hornið á kirkjugarðinum;(tilt.)eitt í horn(i), annað í sorn(i),sísornur;skjótastel.fara úr hornigerast skeivur, skeiklast(um t.d. leyp),skotin úr horni sum rossleypur;sbr.hornaskotin14(støddfr.)vinkul,spískt horn;gævt horn15vel, flíggj (2)16lítið hveitibreyð bogið og spískt til endarnar;sms. t.d.bit-,bukka-,drykkju-,garðs-,geilar-,gøtu-,heraðs-,krút-,lambs-,neyta-,sjónar-,skó-,snús-,stangar-,toku-,vað-,veðra-,ær(s)-
horna	(ítr.)hornaspark, hornakast
hornabiti	(stb.,sj.)hornabítur,í osb. sumhann er eingin hornabiti(lagaligur, góður at hava við at gera)
hornabítur	(Suð.)ein ið bítur frá sær, bitvargur,hann er eingin hornabítur(lagaligur, spakførur)
hornabjølgur	(gl.)roðhít at hava horn í(hjá dreingjum at spæla við)
hornaborð	(húsasm.)borð (4) á húsahorni(uttan á klædninginum)
hornabrosma	(fisk.)slag av brosmu(Ciliata mustela)
hornaður	í osb. sumvæl hornaður(um veðr)við vøkrum og prúðum hornum
hornaflagg	(ítr.)(á fótbóltsvølli)flagg ið vísir hvar ið hornið er
hornagestur	1gestur ið er ikki vælkomin, illa sæddur gestur,so fær hann krakk og verður hornagestur2(flutt m.)haturfuglur,eg havi verið hornagestur í lívinum allar mínar dagar(havi verið forfjónaður, einki hevur vignast fyri mær)
hornakast	(ítr.)(í hondbólti)kast (1) úr horni (13) hjá mótpartinum
hornaklingra	veðurlambshorn sett saman í ring(til spæl hjá børnum),stiklael.beita hornaklingru;hatta bóltar (rullar) sum ein hornaklingra(um eitt ið illa dettur)
hornakringla	(sj.,stb.)hornaklingra(RJ Royvið99)
hornalag	stuðlar (5)(t.d. á lykt)
hornalamb	(sj.)veðurlamb
hornalinja	(støddfr.)linja horn úr horni á ferhyrningi[da.diagonal]
Hornalond	(kvæð.)ímyndað fjarskotin lond,hann er komin úr Hornalonum(langvegis frá);(tilt.)her er sum hjá trøllunum í Hornalondum(sagt tá ið nógv fólk vóru í húsi)
hornalop	1(um seyð og neyt)tað at tað loypur á hornunum(so at ringur sæst eftir),lop (4),hornalopið frá brundtíðini gevur altíð stóra lægd, har ið hornið er tunt;kúgv ger eitt hornalop fyri hvønn kálvin2(um ross)lop (4) á hógvi(serst. av sjúku)
hornamark	mark á horni (13)(á t.d. grundstykki),so eru øll hornamarkini sett
hornamál	mál av longdini horn úr horni (13),taka hornamálini(t.d. á húsagrund)
hornaringur	(stb.)hornaklingra
hornarót	hornrót,niðri við hornarøturnar
hornaseyður	1veðurlamb gelt um heystið(til at sleppa í feitilendi),tað skuldi manndómur til at taka slíkan hornaseyð á brattlendi2veðrur3heystlamb4seyður við hornum, horningur,móts.ærseyður
hornaskáp	hornskáp
hornaskotin	skotin úr horni, ikki rætthyrntur, vindskur
hornasofa	vinkulskapað sofa(til at seta í horn (13))
hornasopi	(gl.,stb.)lítil sopi av rámjólk gníggjaður niður í horngarðin á kvígu(skuldi hjálpa til at hon varð heilvorðin aftur)
hornaspark	(ítr.)(í fótbólti)spark úr horni inn fyri málið hjá mótpartinum(tá ið mótspælari hevur sent bóltin út um sína egnu baklinju)
hornaspæl	(stb.)tað at tarvur og kúgv hornast
hornast	(stb.)(um neyt)stangast í kætiel.spølni,var tað tarvur og kúgv, ið hornaðust, róptu tey tað hornaspæl
hornasteinur	1(húsasm.)grundarsteinur undir húsahorni, hornsteinur2(flutt m.)grundarlag, støði
hornastólpi	(sj.)hornstavur
hornasúpan	súpan við røstum hornaslóum til bót
hornatøk	h flt5í osb.vera í hornatøkumtakast á hondum, handberast, berjast,teir vóru í verstu hornatøkum;harður í hornatøkumharður í horn at taka;hava (e-n) í hornatøkumtosa illa um, spilla út, bakbíta;taka e-n í hornatøkumtaka e-n við hørðum, verja seg fyri álopi frá e-m
hornatøkur	(stb.)hornatøk,komael.fara í hornatøkur við e-n
hornatølum	sbr.hornatøk
hornaviti	viti sum úr ymsum hornum (14) (t.e.vinklum) lýsir við ymsum litum
hornband	h8(um kúgv)standa í hornbandi(við tjóðrinum bundnum um horninií staðin fyri við grímu)
hornblásari	(tónl.)ein ið blæsur í horn (2)
hornblástrarlið	(tónl.)ljómlið við hornblásarum, hornorkestur
hornblástur	(tónl.)1tað at blása í horn2ljóð frá hornblástri (1)
hornbrillur	brillur við umgerð av horniel.líkum evni
hornfiskur	(fisk.)langt mjátt fiskaslag(Belone belone)
horngarður	1(á neyti)ryggur millum hornini, hornrøð,kláa kúnni aftan fyri horngarðin2(á veðri)sera vøkur horn,hatta eru einir øgiligir horngarðar
horngeil1	(fisk.,stb.)kombikk (1), beinmurtur, hvasssíl
horngeil2	(stb.)svørt strika (uttanvert) á hvítum horni,hvítt lamb er eyðkent av horngeilini;sbr.geil (6)
horngeili	(stb.)horngeil,(tilt.)hatta er skikkað sum eitt horngeili(sagt um eitt ússaliga klænt fólk)
horngeir	(fisk.,stb.)horngeil 1, horngeili
hornhaki	(sj.)pinnagrev
hornheld	held (1) úr veðurlambshorni
hornhinna	(lívfr.)glær hinna framman á eyganum(cornea)
hornhólkur	hólkur úr veðurlambshorni(t.d. um endan á slitnum áralummi el. niðast á leypsstuðli)
hornhúni	húni úr veðurlambshorni(t.d. á dyllu)
hornhøvil	(sj.)stavnhøvil
horningur	seyður við hornum;sbr.breið-
hornkelvi	(Suð.)spónalag
hornkendur	líkur horni (í harðleika),hornkend húð;undir ilini verður húðin hørð og hornkend
hornklombur	klombur (4) við hornum (14)[ ],í hornklombrum;sbr.bugklombur,klovaklombur,oddklombur
hornknappur	knappur 1(1) úr horni (1)
hornorkestur	(tónl.)hornblástrarlið
hornrót	rót (4) á horni (1),hann tók um hornrøturnar á kúnni;brundurin má hava sámiliga langt millum eygu og hornrøtur
hornrúm	rúm í horni (á húsi)
hornrættur	rætthyrntur, vinkulrættur(t.e. sum myndar 90°)
hornrøð	(stb.)horngarður(á neyti)
hornskarpur	skarpur sum horn (1),húðarskógvarnir eru hornskarpir;í hornskørpum roðbuksum;teir komu hornskarpur aftur av útróðri(krøktir, púra sørir)
hornskáp	(tríhyrnt) skáp at seta í horn (13), hornaskáp
hornskeið	skeið úr neytahorni
hornslíðrar	slíðrar úr neytahorni
hornspónur	spónur úr neytahorni,træskeið hevur langt skaft, hornspónur stutt
hornsrót	hornrót,gimar seyður, so luktar hornsrótin
hornstavur	(húsasm.)stavur (2) í húsahorni, hornastólpi;(flutt m.,Sa.)tað hevur altíð verið ein rotin hornstavur millum húsini(træta, ósemja);stakkalin, verður tað tú, sum brýtur hornstavin millum húsini?(fært semju í lag)
hornsteinur	hornasteinur
hornsvøvil	svøvil av veðurlambshorni, held (2)
hornugla	(fugl.)ugla við hornlíkum fjaðratoppum á høvdinum, kattugla(Asio otus)
hornutur	(um seyð og neyt)við hornum,móts.kollutur,summar ær eru hornutar;vanliga eru veðrarnir hornutir og ærnar kollutar;ein hornut, mønuhvít kúgv
hornvegur	horn, krókur,í osb. sumhon kastaði tað yvir í hornvegin;"hvat hevur tú gjørt við hosuna?" "hon man vera har í hornvegnum"(onkustaðni í horninum)
horrað	horræ
horræ	1(sj.)ræ av kríatúri ið deytt er í raki, deyðarað2kríatúr sum er sera rak(serst. um seyð),hatta er sum eitt horræ;hatta horræið er ikki etandi;eitt køggut horræ við longuskorti(um rak konufólk)
hors	1(kvæð.)ross,horsið fríða2tápulingur(Sv)
horubukkur	(niðr.)horkallur
horva	1venda (ávísan veg),hælurin horvir móti seingini;dyrnar áttu altíð at horva móti kirkjugarðinum;nú liggja tey í kirkjugarðinum, og eg horvi skjótt tann vegin eisini;horva uppel.niður;hann horvdi seg burtur(vendi sær burtur)2halla, skráa,horva undan(um veg)liggja undan brekku, halla undan;horva ímóti(um veg)liggja ímóti brekku
horvin	síhvørva
hos	í osb.hurðin stendur á hosi(á gloppi)(Sv)
hosa1	1vanl.langleggjað fótarplagg(til mannfólk),einar hosur, tvinnar hosur;(tilt.)(tað gongur) sum fótur í hosu,sífótur2(niðr.)ónytta, bloyta, manseiti, ómenni,hann er eingin hosa(eingin bløka)3(á bismara)merki fyri 3/4 mørk (t.e.tað ið ein hosa vigar), hosuprikkur,noðað vigar ikki meir enn eina hosu;tað liggur millum hálvmørk og hosu,sbr.par,langapar;sms. t.d.hálv-,jóla-,lang-,leista-,olju-,par-,puls-,rak-,roð-,stak-,stivla-,vrak-,økla-
hosa2	liggja leysliga uttan umel.aftur at, hosja, bjølga,terrin var so sterkur, at flagið var farið at hosa uppfrá;veltan hosaði(sagt tá ið moldin rivnaði og stórar sprungur komu í av skerpingi);klæðini hosa(eru ov víð)
hosaður	staddur við hosur,væl/illa hosaður;neyðar óvitarnir eru so illa hosaðir og eiga so lítið at skifta á sær
hosianna	(bíbl.)dýrd veri Guði
hosja	(stb.)vera ov víður, bjølga, hosa 2,hetta hosjar uttan á honum(um ov víð klæði);blaðslíðrarnir hosja útfrá
hosnamaður	(søg.)hosutakari(við kongliga handil)
hosnapar	(gl.)einar hosur (úr grovum tógvi);sbr.parhosa
hosnastova	kv1e(søg.)hosnastovanrúm í kgl. handli har ið hosur, troyggjuro.a.varð innlatið(til útflutnings)
hosnatógv	(gl.)hosutógv
hosnatráður	ullintur tráður,einfaldur hosnatráður
hospital	sjúkrahús
host	einstakt átak av hosta,stutt, kikkandi host
hosta	anda út við stórum trýsti(at loysa slím, dust o.a. úr andaleiðini),hosta og harka;hosta í kík,síkíkur;sbr.gorpa (2);sms. t.d.nagg-
hostagras	(plfr.)hostajavni(soð av hostagrasi hevur verið nýtt fyri hosta)
hostajavni	(plfr.)slekt í javnaætt, hostagras(Huperzia),áttraðaður hostajavni(H. selago)
hostan	áhaldandi hosti,tá var hostan og froys á henni
hostaríð	(lækn.)ríð av hosta,ein hostaríð kom á hann
hostasevja	(lækn.)sevja ið linnar hosta
hosti	tað at hosta,harður hosti;sms. t.d.hoy-,kik-,nagg-,tubbaks-
hosuband	(virkaðel.vovið) band at knýta um hosu undir knænum(at halda henni uppi),hosubondini fingurbreið bindur hann undir knæ;hosubond og tveingir, tað kann lokka dreingir;fara undir hosubandiðsmokka upp undir knæ;sbr.leggjarband
hosubandavevur	lítil vevur at veva hosubond á
hosubrot	brot (9) á hosu,hann smoyggir hosubrotini niður um knøini;Sigga situr og bindur eitt hosubrot(í tátti)
hosuleggald	leggald (1),hann varð borin í hosuleggaldi norður um fjallið
hosuleggur	parturin á hosu oman fyri økulin,tá ið leggurin var bundin í maskinu, var skjótt at binda leistar uppá;hosa hevur legg, hæl, leist og tá
hosuleistur	leistur (1),hon sat og bant il upp undir ein hosuleist
hosupar	hosnapar,hosupar vigaði 1 1/2 mørk
hosuprikkur	(á bismara)merki fyri 3/4 mørk, hosa 1(3)
hosutakari	(søg.)maður ið tók ímóti hosum ið vórðu innlatnar til kongliga handil, hosnamaður
hosutógv	(grovt) tógv til hosur,fyrr var hosutógv av nappaðari ull, nú er tað vanliga av trítáttaðum tógvi av samfingnari ull
hosutræ	fjøl(lík beini á fólki)til at smoyggja váta hosu uppá(so at hon fær rætt skap)
hosuvátur	við vátum hosum,teir høvdu gingið seg hosuvátar
hotell	gistingarhús
Hov	(stn.)bygd í Suðuroy,í/úr Hovi,til Hovs
hov	1(stn.)heiðin staður til gudsdýrkan í fornøld, heiðin halgidómur2(sj.)fólk í tænastu hjá kongiel.høvdinga, hirð;sms. t.d.guda-
hovbingur	fólk íel.úr Hovi
hovdestin	erpin, errin
hovfloyggja	hoffloyggja
hovfrúgv	hirðkona hjá drotning
hovin	hovnaður, trútin, týsnaður, bólgnaður
hovmaður	(kvæð.)maður við hov (2), hirðmaður,har reið so mangur hovmaður til sum fjøður á fuglaveingi
hovmannabrók	ein ið er í hvørjum hasi og vasi
hovmansligur	(stb.)hovdestin, uppgjørdur,hvat hatta var hovmansligt og destið;hj-liga
hovmeistari	(á skipi)umsjónarmaður við skipsvistum
hovna	gerast hovin, trútna, bólgna, týsna,eg hovni so illa um leggirnar;hovna upp
hovríkur	sera ríkur, fullríkur
hovroksutur	(stb.)sera roksutur
hoy1	(gl.)hoyggj
hoy2	(róp at gera vart við at skip nærkaðist)Smyril hoy!;Fortúnan hoy!
hoyangi	hoyggjangi,berandi hoyangan uppi í sær
hoybara-	hoybera-
hoybátur	(ára)bátur fermdur við hoyggj
hoyben	ben 1(3) á hoyggi (í hoyggjhúsi),seyðahoyggj varð drigið av grønastu lindunum úr hoybeninum í løðuni;hann frøddi seg við at síggja upp eftir hesum slætta hoybeninum
hoybendil	bendil snaraður úr hoyggi(at klíggja sátu el. sátubarn við),bendil (2), bordi 1(2),tjúkt sum hoybendil;stundum vórðu hoybendlar nýttir sum skóbond
hoyberaband	hoyberareip
hoyberaboð	(gl.)boð(til hoyberamenn)um hoybering
hoyberadagur	(gl.)dagur tá ið hoyggið varð borið,ikki bara teir, ið bóru hoyggj, men nógv annað fólk kom í hoyberadagin(lítið gildi um kvøldið)
hoyberaflís	(stb.)tjúkk breyðflís til morgunmatar hoyberadag
hoyberagreytur	(gl.)góður greytur sopin hoyberadag
hoyberamaður	maður ið ber hoyggj
hoyberareip	reip at binda hoybyrði í, hoyberatog, hoyberaband, byrðarband, byrðartog
hoyberatog	(stb.)hoyberareip
hoyberavellingur	vellingur sopin hoyberadag
hoybering	(gl.)1tað at bera hoyggj (í hoyløðuel.des)2tíðin tá ið hoyggið varð borið
hoyberingarband	hoyberaband
hoyberingardagur	hoyberadagur
hoyberingarreip	hoyberareip
hoybing	(stb.)krubba (1)
hoybos	bos (av hoyggj), hoymoð
hoyból	ból (1) uppreitt við hoyggj,hoyból varð gjørt eftir øllum roykstovugólvinum
hoyburður	hoybering
hoybyrða	byrði av hoyggj,ein hoybyrða er 8 byrðarleypar av hoyggj
hoybyrði	hoybyrða
hoybøra	børa (1) til at bera hoyggj í
hoydagur	góðveðursdagur í hoyna, terradagur,góður hoydagur
hoydrongur	drongur ið hjálpir til við hoygging
hoydøttur	eitt lítið sindur av hoyggj, lítil hoybyrði;sbr.døttur (6)
hoyfepur	(lækn.)ovurviðkvæmi fyri hoyggj
hoyflógv	(í hoyggjhúsi)flógv av hoyggj,á hoyflónni
hoyfólk	fólk ið hjálpir til við hoygging
hoyfúgvi	moðið svart hoyggj
hoygarðshestur	1helsthestur ið breyt inn í hoygarð,í osb. sumhatta tíggjar sær sum ein hoygarðshestur(um e-n ið gongur óstortsliga, brýtur fyri sær);hatta er tann hoygarðshesturin, ið er(um e-n ið gongur og ger nógv um seg, reikar runto.tíl.);teir gingu sum hoygarðshestar um húsini(um dreingir ið gingu og amaðust upp á eina gentu);hon er sterk sum hoygarðshesturin(um gamla konu)2(kortsp.,stb.)drongur í stýrivolti
hoygarðslað	hoygarðsstøði
hoygarðslið	lið 3(1) á hoygarði,(skaldsk.)tungt er takið inn um hoygarðsliðið
hoygarðsryssa	kv1(kortsp.)hoygarðsryssanhjartar níggjur í stýrivolti
hoygarðsstøð	(Suð.)hoygarðsstøði,einki hoygarðsstøð skuldi vera eytt á krossmessu
hoygarðsstøði	støði (2) í hoygarði(undir des),hann reiv niðurgrógvin hoygarðsstøði upp og laðaði grótið í garðar;einki hoygarðsstøði skal vera tómt á halvarðsøku
hoygarður	garður um desel.útihoyggj
hoygging	1tað at hoyggja (1),hoyggingin var av2hoyni, hoyggjan (1),mitt í hoyggingini
hoyggingargenta	(stb.)genta ið hjálpir til við hoygging
hoyggingarkona	(stb.)hoykona
hoyggingarlamb	(gl.)lamb latið í hoyløn;sbr.slóttulamb
hoyggingartíð	tíðin tá ið hoyggjað verður, hoyni, hoygging (2), hoyggjan (1),vóru innidagar í hoygginartíðini, kom vevskeiðin niður av listanum
hoyggingarveður	(gott) veður til hoygging, hoyveður,gott hoyggingarveðurhoyterri
hoyggj	1turkað gras(til at geva kríatúrum),hoyggið er sum vín(um dygdarhoyggj, gott angahoyggj);bera hoyggjbera hoyggj bundið í byrðar(í hoyggjhús el. des);draga hoyggjtaka hoyggj av sjøtli,hann hevði verið og drigið neytunum hoyggj;teir høvdu strevast við at fáa hoyggið upp at standa undan regni(í kyllingel.sátu);(tilt.)nú stendur á hoynum(er brenniterri);(tilt.)vera e-m hart hoyggj at dragavera trupultel.stríggið2útihoyggj, des,tað stendur í hoyggi3hoygging,tá ið hoyggið kemur fyri;tá ið hoyggið var av;hoyggið fer at vera mest sum liðugt nú;vera (úti) í hoyggj(úti á bønum og hoyggja);millum torv og hoyggjí tíðini millum torvarbeiði og hoyna;sms. t.d.anga-,bruna-,bø-,dygdar-,igla-,ill-,inni-,kjalar-,kyllinga-,nulvingar-,rakstrar-,sátu-,seingjar-,súr-,úti-
hoyggja	1arbeiða hoyggj(rista, klúkael.venda, kylla o.tíl.),hoyggja bøin;tað hoyggjaðist av tí besta tað árið;grasið varð hoyggjað í felag2koyra hurl um burl,hundarnir høvdu hoyggjað við grunningshøvdunum;teir hava so hoyggjað hann til(farið óvandaliga við honum);hví hevur tú hoyggjað so við hesum?(hurlað tað til)3(stb.)hoyggja við e-mfara við e-m eftir egnum tykki,teir hoyggja við fólki
hoyggjan	1(Suð.)hoyni,í hoyggjan(ini)2(Suð.)hoygging,hoyggjanin vísir seg at gerast drúgv3tað at hoyggja (2)
hoyggjangi	angi av hoyggj, hoyangi,grønt hoyggj við góðum hoyggjanga
hoyggjhús	hús at goyma hoyggj í, hoyløða
hoygimbur	(bún.)gimbur fødd inni um veturin
hoygjólingur	(bún.)hoylamb, innistøðulamb
hoyhosti	hosti elvdur av hoybosi
hoykin	hokin (1), bogin, kroppin, krýkin,maðurin situr tungur og hoykin við lið hennara;sms.hala-
hoykja	benda, bukka,hoykja beininisessast;hoykja høvur niðurdroypa høvur;hoykja seg niður1bukka beinini (eina løtu)2(sj.)setast at húka,hann hoykti seg niður og royndi at krógva seg;hoykja seg saman
hoykjaftur	hoysoppur(so mikið sum upp í kjaftin),ryssan driftar hoykjaftin(í tátti)
hoykjølur	kjølur (5), kjaling (2), hoymøna
hoykona	kona ið hjálpir til við hoygging, hoyggingarkona,har komu allar hoykonur hvør við síni rívu
hoykonulamb	lamb sum hoykona fekk í løn, hoylamb (2)
hoykrókur	(sj.)stutt jarnstong við handfangi og agnhaldi til at draga hoyggj við
hoykrubba	krubba (1)
hoykvísl	tvítindað kvísl til at arbeiða hoyggj við
hoylaða	(gl.)hoyløða
hoylamb	(bún.)1(stb.)lamb føtt inni um veturin, innistøðulamb, hoygjólingur2lamb latið í løn fyri hoygging, hoyggingarlamb, hoykonulamb3lamb flett til matna í hoyna
hoyleiði	(um kríatúr)mótboð við hoyggj,tað skuldi ikki leggjast ov nógv fyri kúnna á oskbási, at hon skuldi ikki fáa hoyleiði
hoyleypur	1leypur við hoyggj2(sj.)leypur at bera hoyggj í
hoyloppa	(plfr.)roykgras
hoylús	(plfr.)slekt í rísinbløðkuætt(Myosotis),mislitt hoylús(M. discolor);sms. t.d.akur-,mýri-,skrið-
hoyløða	hoyggjhús, hoylaða
hoyløgur	løgur(t.e. døgurðasoð el. reint vatn)sum hoyggj varð kókað í(at geva kálvum at drekka),hoyvatn,hoyløgur varð brúktur til at baka júgrið við, tá ið kúgv hevði kálvað(serst. tá ið nógvur verkur var á júgrinum);sbr.dragvatn
hoyløn	løn fyri hoygging
hoymaður	(sj.)hoyberamaður(FFÆ159)
hoymetta	metta 2(undir klyvberael.rossleypi)
hoymoð	hoybos,hava hoymoð á klæðunum
hoymøði	trongd (6) av ov turrum hoyggj,nú gevi eg hestinum súrhoyggj, tá kemur ikki henda hoymøðin á hann
hoymøna	(sj.)hoykjølur,tað rennur upp sum hundaland á hoymønu(um e-t sera kvæmt)
hoyneyð	tað at vera í uppisetri við hoyggj, trot á hoyggj,fáael.koma í hoyneyð;tað er stúrandi fyri, at fólk í vetur fær bæði hoyneyð og torvneyð;hann hevði hoyneyð og skuldi fara burtur í bygd eftir eini hoybyrði
hoyni	tíðin tá ið hoyggjað verður, hoyggjan (1),í hoynael.hoynanum;beint eftir ólavsøku, áðrenn hoynin kom í
hoynigil	(dj.)lítil hvítur maðkur í hoyggi,hoyniglar skriðu inn í húsini um heystið, tá ið ylur kom í hoyggið, og vóru til stóran ampa(serst. har ið hoyggjhús er fast í sethúsumel.fjósi)
