S	rómv. taltekn fyri 70
sminka1	andlitssmyrsl, andlitslitur
sminka2	smyrja smyrsl (3) upp á andlitið,sminka særsmyrja seg
smiril	(óregl.)->smyril
smitta1	(lækn.)1tað at smitta, fongd,serst.tuberklasmitta,bera smittusmitta 2(1);bera smittu við sær;fata smittuverða smittaður2(smittandi) sjúka 1(1),fáael.hava smittuna(av tuberklum)
smitta2	1bera smittu 1, feingja,hann er smittaður (av sjúkuni)(vorðin sjúkur)2(Suð.)dálka,smitta seg;tú smittar teg av hasum
smittuberi	(lækn.)ein (el.e-t) ið ber smittu, smittukelda
smittubreiðsla	(lækn.)tað at bera smittu,byrgja fyri smittubreiðslu
smittuevni	(lækn.)sjúkuelvandi verur(t.d.bakteriur, sníkar og soppar)el.virus ið kunnu flytast millum fólkel.dýr
smittuførur	(lækn.)førur fyri at bera smittu,smittuførar bakteriur
smittuhiti	(lækn.)fyrsti fepur tá ið ein er smittaður við tuberklum(eyðkendur av at hin sjúki kortini kennir seg heilt frískan)
smittukelda	atvold til smittu 1, smittuberi,smittukeldan er ikki funnin enn
smittuleið	(lækn.)leiðel.vegur ið smitta 1 breiðir seg eftir
smittur	kí osb. sumikki ein smittel.ikki smittinikki petti, ikki tað minsta sindrið,ikki smittin mætari
smittusjúka	(lækn.)smittandi sjúka, ígerðarsjúka
smittuvandi	(lækn.)vandi fyri smittu,halda seg inni, meðan smittuvandi er
smíð	1e-t ið smíðað er, handverk (2), handaverk (1)2tað at smíða (e-t)3(skúl.)smíð sum lærugrein, træsmíð;sms. t.d.báta-,fína-,gull-,húsa-,jarn-,kníva-,orða-,silvur-,skó-,vanda-
smíða	1gera 1(1), evna til, seta saman(t.d.úr viði, jarniel.tíl.),smíða jarn;smíða tuflur;smíða bát;smíða hús;smíða lóg(orða, skriva);smíða orðgera (nýggj) orð;(kvæð.)hann læt sær snekkju smíða;(kvæð.)stevið er ikki smíðaðniðurlagið er ikki yrkt enn;(tilt.)smíða meðan jarnið er heittavgreiða (e-t) meðan høvi býðst, nýta høvi(til at fáa e-t gjørt)2sláa seym (í e-t), negla, soyma,smíða við hamara
smíðakol	(smátt) viðarkol(hóskandi at nýta í alva 3(1))
smíðaleypur	(gl.)leypurel.kassi (1) til smíðareiðskap, amboðskassi
smíðareiðskapur	reiðskapur til at smíða við, amboð, tól
smíðastova	(gl.)verkstaður(til træsmíð)
smíðatorv	(gl.)torv til jarnsmíð;sbr.smíðakol
smíðatól	tól at nýta við smíð, smíðareiðskapur, amboð
smíði	1smíð 1, jarnsmíð, smíðaður lutur2smíðaðurel.tilevnaður reiðskapur (1),(kvæð.)Regin kastar smíði øllum
smíðiligur	góðurel.lagaligur at smíða,silvur er so smíðiligt
smíðing	tað at smíða
smíðistiði	(stb.)smiðjustiði
smíðistova	(sj.)smíðstova
smíðitorv	(sj.)torv til at nýta í alva 3(1),hann fekk heiðarnar til at skera smíðitorv í
smíðstova	(skúl.)stova til smíð (3)
smíðtól	smíðatól
smíl	tað at smíla(st), bros, smír;sms. t.d.skálka-
smíla1	hava smíl á vørrum, smílast, brosa, smíra(st),hann smíltist til hennara
smíla2	(stb.)hava góðan royk, anga væl(serst. um hoyggj),hoyggið í ár er so ringt, tað smílar einki;sumt hoyggj smílaði so væl, at seiður kom inn á víkina av tí;smílandi roykur
smílikulla	týðilig avmarkað smákulla sum kemur fram á kinn hjá summum tá ið tey smílast, koppur (5)
smílka	smíla eitt sindur(stundum speiliga),smílkael.smílkast viðsmírast, mírast
smílkast	(stb.)rúka væl, anga,her smílkast inni;sbr.smílur
smílkulla	smílikulla
smílskur	við følskum smíli, við skálkabrosi,hann sá so smílskur út
smílur	angi 1, (góður) roykur (2)(t.d.av kaffi);sbr.kaffismílur[en.smell]
smír	(stb.)smíl,eitt lítið, smæðið smír
smírast	smíla(st), brosa,smírast og mírast
-smírin	sískjót-
smírkast	smílka(st)
smog	1loynikrókur, smoga (2),í smogí loynd2leysir bøkkir í lundalandi sum lundin hevur grivið inn undir(niðast í lundalandi),grava upp í smoggrava á gos3sum eitt smog (eftir sjónum)við nógvari ferð;sbr.sjósmog;sms. t.d.urðar-
smoga	1trongt op (til gjøgnumgongdar) á bøgarði, rætto.tíl.,laðað varð í smogurnar, tá ið seyðurin fór av bønum;markað lomb vórðu latin út ígjøgnum smoguna;tað lá úr smogunismogan var opin;gróthús høvdu smogu í galvunum til at taka rekatrø inn í húsini at goyma2trong gøta, skot (6),millum húsini var ein trong smoga3(ným.)(stutt snið)postsmoga;sms. t.d.fjalla-
smogin	sísmúgva
smoguskítur	1seinasta lambið ið fer út ígjøgnum smoguna (úr rættini)2(flutt m.)seinabukka, drumbur (1)
smogusteinur	(stb.,sj.)langur steinur yvir smogu á rætt, álag (3)
smokka	1søkka (líðandi) niður í runu, evju, kavao.tíl.;smokka niður í eitt hol;smokka niður í díki;bilurin smokkaði;rossini smokka(søkka niður í mýri);nú er øll skorin niðursmokkað(burturlopin);smokka niðurglíða niður(um klædnaplagg),smokka niður í ringasta vesaldóm;smokka burturel.burturímillum (el.burturúr)hvørva í rúgvuni, gerast ósæddur2(um mat)ganga niður, sjakna (1), sodna
smokkukelda	(stb.)flotkelda
smokkuleggur	ein sum gongur við niðursmokkaðum hosumel.sokkum, lorkuleggur,ganga smokkuleggur
smokkusandur	(stb.)sandur ið ein søkkur niður í
smolk	torv molnað í smátt, smáir konglar
smollin	sísmella
smolt1	(stb.)smoltur,smolt kom omaná, tá ið tey kókaðu fugl og sovorðið
smolt2	(fisk.)sjóbúgvin laksur, sjóbúgvið sjósíl,seta út smolt
smoltalari	ein ið elur smolt 2
smoltra	úrskilja fitiel.smoltur
smoltstøð	alistøð til smolt 2
smoltur	fiti ið legst oman á løgin ið fuglur verður kókaður í,smoltur upp á drýlbita;ein sterkur roykur av smoltri og lýsi gongur at havhestinum;sms. t.d.líra-
smolturskotin	1við storknaðari fitiel.smoltri,góður fuglur við smolturskotnum gørnum2(um fólk)bleikur og feitur, glitrandi av fiti,hann kom út úr krambúðini, smolturskotin og bøllutur3(flutt m.)snópin, foyur, lotur, forskammaður, niðursmokkaður, smolturstungin
smolturstungin	smolturskotin (3)
smottin	sísmetta 1
smoyggingarbuksur	betri buksur(enn arbeiðsbuksur)at skifta í
smoyggingarklæði(r)	betri klæði(enn arbeiðsklæði)at skifta í
smoyggingarpinnur	(stb.)smoyggipinnur
smoyggipinnur	(stb.)snældupinnur
smoyggja	1lata smúgva, draga (avel.á), lata (mjúkliga) íel.úr(t.d.klæði, skógvaro.tíl.),smoyggja e-t upp á seg;smoyggja seg í sokkin(draga upp á beinið);smoyggja (troyggjuna) av sær(fara úr);smoyggja seg (el.sær) í kotið/tuflurnar(í skundi lata seg í);smoyggja seg úr e-m(lata seg lættliga úr e-m);seyðurin hevur smoygt seg úr(kastað ullina);smoyggja upp/niður;smoyggja upp um armar(nar)2lata fara varliga, lirka (2),teir smoygdu henda stolna hvalin fyri borð(lótu stillisliga);hetta rósið, sum hann dugdi at smoyggja so væl innímillum, sýntist at rína á keypmannin(skjóta innímillum);Úlvur var heldur nipin, tá hann kom smoyggjandi inn aftur um dyrnar(sníkjandi);smoyggja særfara ljódliga, sleppa sær stillisliga, sníkja seg;smoyggja sær á dyr(út);smoyggja sær (el.seg) út;smoyggja seg (el.sær) aftur um hinar(sníkja, lirka);hon bara smoygdi seg inn í seg sjálva(dró);ein fyri og annar eftir av bygdarmonnunum smoygdu sær tigandi til húsa;smoyggjastsmoyggja segel.sær,hann smoygdist út
smoyk	guvur(av tubbaksroyki)(Sv)
smoykin	illa við, snópin, lotur, forskammaður,hann kom heldur smoykin aftur at húsum;sbr.smeikin
smoykja	roykja (tubbak)(Sv)
smoykjast	(sj.)smeikjast
smoykna	(sj.)gerast smoykin, smæðast,tá smoyknaðu teir burtur og fingu ikki talað
sms	skrivlig boð send umvegis fartelefon(stytting fyrishort message service),senda, skriva sms
smuga	(Suð.)smoga
smugla	flyta inn (el.út) loyniliga og óløgliga(uttan um tolleftirlit)
smuglan	smugling
smuglari	ein ið smuglar
smugling	tað at smugla, smuglan
smulk	(stb.)smolk
smullu	sísmella 1
smurdi	sísmyrja
smurin	(stb.,Suð.)(um mógv)bleytur og feitur
smurningur	avsmurningur, fleingja 1(1), leðringur,fáa ein smurningverða avsmurdur
smusk	skittur, óreinska 1(1), blettur,ikki eitt smusk at síggja
smuskaður	skitin, dálkaður (1), ódámaður;sms. t.d.ó-
smuttu	sísmetta 1
smúgva	1farael.smoyggja sær (gjøgnum holel.trongt op), glíða,smúgva sær sum ein állur ígjøgnum holið;tað smeyg úr hondini á honum(gleið, glapp);hann smeyg seg undan so kvikur, og bjørnin sá hann ikki aftur;men báturin smeyg soleiðis millum brotini, at eg var mentur at halda hann turran heilt til lands við einum lítlum eyskari;hatta lýgur og smýgur;smúgva sær burtursleppa sær stillisliga burtur, sníkja seg burtur2gata ígjøgnum og eta (kjøt),músin hevur smogið válgaran;maðkurin hevur smogið kjøtið upp;krovið er smogið upp í maðki(maðkasmogið);sbr.uppsmogin
smúkka	prýðislutur úrt.d.gimsteini(t.d.borin um hálsinel.festur á klæði),Amélie var í einum slagi av veitslukjóla, við hárinum settum upp og einari glitrandi smúkku um hálsin
smyril	1(fugl.)ránfuglur av falkaætt(Falco columbarius),(tilt.)sum smyril í staraflokki(um ein sum ger ófrið);nú kemur smyril í staraflokknú er friðurin úti2(flutt m.)ein ið er ráðaríkur (1), høvuðkambur,hann er ein sovorðin smyril;sms. t.d.grýtis-,veggja-
smyrilsurt	(plfr.)slekt í kurvablómuætt(veksur mest í homrum og bjørgum, er til í fleiri sløgum)(Hieracium)
smyrja	1klínael.gníggja (e-t),smyrja smør upp á breyð;smyrja breyð;smurt breyðbreyðflís við viðskera á;smyrja salvu á sárið;smyrja segleggja andlitssmyrsl á, sminka seg,tær vóru farnar at smyrja seg, bæði varrar og eygnahár, og ein dagin høvdu tær smurt sær eygnaskuggar;eitt troytt smíl fór um smurda andlit hennara;smyrja seg við e-tlata sær e-t lynda,tey noyddust at smyrja seg við tað;so má eg meg harvið smyrja;ikki smyrja knívineinki fáa at skera, ongan seyð fáa,tey smurdu ikki knívin2lata smyrjiolju, smyrslel.tíl.á,smyrja lásið;smyrja súkkluketuna;ganga sum smurt(sera væl og lættliga, sum eftir ánni, strúkandi)3smyrja avfleingja 2, buka 2, sláa (1), berja;smyrja e-n av4(um kava)smurt í svørðinrutt í svørðin,síryðja (4)
smyrjari	(sjóm.)hjálparmaður hjá maskinmanni
smyrjifjøl	fjøl (1) at smyrjat.d.breyð á
smyrjikanna	kanna 1(1) við smyrjiolju
smyrjing	1tað at smyrja2(sj.)smurningur (2),hann gav teimum eina smyrjing
smyrjiolja	olja til at smyrja (2) motoraro.tíl.við
smyrjiostur	ostur at smyrja upp át.d.breyð
smyrsl	1evni at smyrja (2) við,amboðunum tørvar tjøru og smyrsl2(bíbl.)salva,við smyrsli tú salvar mítt høvur;ein krukka við smyrsli;(tilt.)hatta er sum smyrslið hjá Brúari(um e-t ið hjálpir fyri altel.alt fyri eitt)3andlitssmyrsl, sminka 1,leggja e-m smyrsl(t.d.undan sjónvarpssending);sms. t.d.andlits-,brúar-
smyrslingur	(dj.)slag av skeljadýri sum heldur til niðri í sandi(Mya truncata)
smýgur	sísmúgva
smæa	(óregl.)->smæða
smædd	1smáur fiskur, smáfiskur2(ným.)lítilleiki
smædni	tað at vera smæðin, firning, firni
smæða	s3í osb. sumikki smæða seg burturikki nýtast at skammastel.halda seg burtur, ikki vera verri enn onnur;hasin smæðir seg ikki burtur;smæðastvera smæðin, gerast foyur, skammast, ikki tora;smæðast e-nel.fyri e-mvarnast e-n, firnast e-n;smæðst ikki!;barnið smæðist hin fremmanda;maðurin smæðist burtur, tá ið hann er saman við fólki(smokkar burturímillum);ikki smæðast burtur í altjóða ítróttakappingum(standa seg hampiliga væl)
smæðhetta	ein ið er smæðin og firnast hitt fremmanda(Sv)
smæðin	blúgvur, afturhaldin, lítillátin, lítið framførur, foyur,hon verður smæðin og lítur niður alla tíðina
smækka	1gera minni, minka (um), skerja,smækkael.smækka um (e-t)2gerast minni, minka í virði, versna;smækkast1gerast minniel.smærri, smækka (2),fiskurin er smækkaður(vorðin smærri)2(um tógv)gerast fínari,tógvið varð vundið fast og latið liggja í noðanum til at fáa tað at smækkast
smækkanarorð	(málfr.)minkingarorð
smæra	(plfr.)slekt í ertnablómuætt(krúnubløðini eitt sindur samanvaksin í neðra),nátablomstur,smæra við fýrafýrsmæra(Trifolium);sbr.reyð-,seyða-;sms. t.d.fjalla-,fýr-,gula-
smærri	avsmáur
smærublað	blað (1) á smæru
smæstur	avsmáur
smøl	sísmalur
smør	føðievni úr kirnaðum róma,kirna smør;draga smør;smyrja smør upp á breyð;klína smør uppá;ganga sum smør(væl og lættliga, sum eftir ánni);handilin gekk sum smør;(tilt.)ikki síggja smør upp á veggvera dølskurel.fávitskutur;sms. t.d.børka-,fára-,haga-,heima-,leigu-,maimánaðar-,neyðar-,oska-,rá-,summar-,vetrar-
smørbitil	lítil moli av smøri,smørbitlar í mjólkini
smørblíður	hjartaliga blíður, findarblíður,smílast so smørblíður
smørbytta	(gl.)bytta við loki til at goymael.flyta smør í
smørdeiggj	deiggj av mjøli og við nógvum smøri
smørgerð	tað at kirna smør
smørgras	(plfr.,stb.)tálgarsteinbrá
smørhola	hola mitt í greytarfati við smørmola í,ein smørhola í hvønn borðisk
smørkirna	(gl.)kirna 1
smørklíndur	smurdur við smøri,smørklíndur drýlur
smørklíningur	1(stórur) klumpur av smøri, klíningur (1),drýlur við smørklíningi2breyðel.drýlur við smøri uppiá, klíningur (2)
smørklunkur	klunkur (1) av smøri,geva sum tinganest eitt petti av garnatálg, ein smørklunk ella nøkur riv
smørkoppur	(gl.)træílatel.kerald (1) til smør;sbr.rómakoppur
smørkrukka	krukka til smør
smørleiga	(søg.)jarðarleiga greidd við smøri
smørleypur	1(gl.)leypur (1) at goyma smør í(at lata í smørleigu),(orðt.)ilt er at binda hund við smørleypikki er rætt at freista fólk meira enn gott er;ilt er at binda svangan hund niður við smørleyp(Fuglakv.109. ør.);(tilt.)sita sum í smørleypihava tað sum hønan í korninum;hann er settur í smørleyp(t.d. um ein ið sendur er eini ørindi men ikki kemur afturíaftur)2(gl.,vekt)mál 2(3) sum svarar til tvær vágir(t.e. 36 kg)
smørliga	við einum skálkaligum (meinfýsnum) brosi,læa so smørliga;smírast smørliga
smørlíki	margarin
smørmjúkur	(sum letst at vera) blíður á málinum, mjúkmæltur
smørmoli	moli av smøri, eitt sindur av smøri,ikki var smørmolin í húsinum
smørnartl	nartl av smøri, smørmoli
smørsina	knæskel á seyði(tugd fyri maktarloysi);sbr.maktarloysisbiti
smørsinarbiti	(stb.)kníggjaspik, konubiti
smørskál	skál (1) at hava smør í
smørskel	(dj.,stb.)rípuskel;sbr.jákupsskel;tey gomlu brúktu smørskel at skera ella klína smør við;tey nýttu smørskel til at taka smør upp við fyri at gera rípur í tað
smørsoppur	(plfr.)slekt av soppi (2)(Boletus);sms.átu-
smørsólja	(plfr.)svínasólja
smørsýra	(evnafr.)lívrunnin sýra sum gerst í smøri(glycerid)(eis.í skarni og sveitta)
smørtíggjund	(søg.)tíggjund av smøri,smørtíggjund latin við 48 pundum av smøri fyri hvørjar 16 kýr
smørtrog	trog (1) sum nýkirnað smør verður saltað, elt ío.s.fr.,smørtrogið var útholað úr heilum træ
snadda	1illa fylt og illa ballað tunn sigarett(lin og hongur niður)2pípa,fáa sær upp í snadduna
snaddi	knaddi, snati (2)(í bergi)
snakidagur	k42(orðt.)snakidagar koma eftir bakidagartað er ikki hvønn dag at gildi er
snakin	1(stb.)kvettorðaður, snubbutur, trútin,hann var so snakin og kundi hvessa frá sær2(um hund)glúpskur, bitutur,hundurin er snakin
snakk	(tlm.)tað at snakka, prát, tos, tala 1(1),tað er snakk millum fólk(sleyg, leysasøgur)
snakka	(tlm.)1tosa, tala, práta, siga (1),snakka um e-t;snakka við e-n;snakka ikki!tig og tala ikki!;eg fái ikki snakkað(einki sagt);eg snakkist ikki upp í vatneg lati meg ikki halda fyri gjøldur(Sv)2(stb.)ringja, telefonera,vit snakkaðu eftir einum motorbáti
snakkin	(tlm.)ið prátar (heldur) nógv, prátingarsamur, prátríkur,hann er nakað snakkin
snapsur	1skamtur av brennivíni, lítið glas við sterkum løgi(serst. akvavitti),ein lítil, drammur,fáa sær ein snaps(ein skarpan)2brennivín(serst. akvavitt);sms. t.d.dura-,gongu-,kryvjingar-
snar	1lykkja á bandi,kasta snar á seyðleggja lykkju um hálsin á seyði(til at taka hann úr óføri);sbr.bjargasnar2(bjarg.)kast (6) um miðjuna á sígingarmanni;sbr.læraband,kósarband;rúmt snar verður gjørt á endan á línuni3bukt (2) sum bismari hongur í, bismarasnar, bjølluband,(tilt.)tað ríður um snariðtað er um tað lagið, tað er um reppið;tað liggur um snarið;tað flyturel.førirel.førkar ikki snarið(munar einki, ger ongan mun);tað víkir ikki snar(ið)tað broytist ikki, tað vikast ikki;fara eftir øðrum snari(um mann í línu)lesa seg upp eftir bandi føstum á stað til viks har ið ikki er sitandi við í erva4tann síðan á hoybyrði har sum heldin er5(tøkni)snúningsdepil6(handarb.)snúðrað mynstur í (einlittari) binding,binda snar7(stb.)nekkur (1),seinasta snarið av vestfallinum;sms. t.d.bjarga-,flogans-,frúar-,langa-,rubbi-,rúm-,tvør-
snara1	snerra,serst.flaki við lykkjum av faksiel.nailoni(til fuglaveiði á sjónum);sms. t.d.bendla-,ritu-
snara2	kvarði (2), streymjaðari, streymsnara
snara3	1snúðra, snúgva, venda, vinda, mala,snara bendlargera hoybendlar(við at vinda snúður í),snara kornbendlar;snara sær ávenda sær við;snara sær á liðina;snara sær runtsnúgva sær (el.seg) um, mala í klingur;(flutt m.)snara tí, ið sagt verður(venda orðunum, rangsnúgva);(flutt m.)eg kundi snarað høvdið av honum(givið honum av grovfílini)2drepa, fletta(t.d.kúgv, avdeyðaær),handa verður snarað í heyst;kúgvin skal verða avsnarað, hvør hana so eigur;snara fugldrepa fugl við at snara hálsin, kippa 2(1);snara súlur3snara seyðleggja snar (1) um hálsin á seyði(til at taka hann úr óføri (1))4hava fyri gjøldur, lumpa,hon snaraði hann5(handv.)dreya, renna 3(6)viðfs/hjsnara atsansa at;snara av(um rossleyp)fara skeivur,bar leypurin við steinin, so snaraði av;ansa eftir, at tað ikki snarar av;snara fyriskrúva fyri, loka, steingja,snara kranan fyri;snara í(í spinning)vinda snúður í,snara í (tráð);snara niður:snara e-n niðurfella 2(1), kasta niður;hundurin snaraði lættliga seyðirnar niður;snara samanvríggja,snara saman hendur;snara um:snara lykilin (el.lyklinum) umsteingja;tey hava snarað lykilin um í handlinum(eru givin at handla);lykilin varð snaraður um í stundini;snara undan:snara sær undansleppa sær undan, snúgva sær undan;blaðið snarar sær undan at siga allan sannleikan;sms. t.d.krika-
snarafleyggj	h17e(bjarg.)í osb.sita í snarafleyggjsita øvut fyri ættini og fleyga(fuglurin kemur aftanífrá)
snarálop	1(herm.)skjótt (og óvæntað) álop (1)2(ítr.)skjótálop
snarbátur	(bát.)skjótgongdur bátur, sjósmog (2)[en.speedboat]
snarboð	boð latinel.givin eftir sera stuttari tíð, skjót boð
snarbragd	skjótt viðbragd, handarbragd,í einum snarbragdi
snarbúgvin	skjótur í vendini, skjótbúgvin,ert tú so snarbúgvin, at tú fert longu avstað aftur?;tú vart snarbúgvin(skjótur avstað aftur)
snarferð	skjót ferð(við stuttum steðgi),hann er á snarferð her og fer skjótt av landinum aftur
snarfjarrit	fjarrit sent skjótari enn vanligt fjarrit(fyri hægri gjald)
snarfrysta	frysta (1) eftir (sera) stuttari tíð, bráðfrysta
snarfrysting	tað at snarfrysta, bráðfrysting
snarfundur	fundur ið boðað verður til eftir stuttari tíð, skundfundur,bygdarráðið varð kallað saman til snarfundar
snarførur	bráður (3), bráðlyndur, snarsintur, snarur fyri nøsini
snarføttur	kvikføttur
snargloymdur	ið gloymir skjótt, gloymskur
snargongdur	ið gongur skjótt, skjótgongdur,akaianna snargongdu knørrir
snarheit	skjótleiki, kvikleiki, snarleiki(Sv)
snarhentur	kvikhentur,snarhentur skrivari
snaring	1tað at snara 3(1), sneiðing, snúningur, bugur (1),vegurin lá í bugum og snaringum eftir landslagnum2(stb.)vending (2),royna í snaringini
snaringarsneis	(stb.)spinningarfingur
snarkapping	(talv)kapping í snartalvi
snarlás	dragulás, rennilás
snarleiki	skjótleiki, kvikleiki,bæði snarleiki og tol
snarleittur	1kvikur, skjótur, skjótførur(til e-t arbeiðiel.tíl.)2snarførur, bráðlyndur
snarlestur	(skúl.)tað at lesa skjótt og leysliga, yvirlitslestur
snarliga	við eitt, knappliga, brádliga, skjótt,tað verður ikki snarliga(ikki í bræði, ikki enn á sinni)
snarligur	brádligur, bráðkomin, skjótur
snarljós	ravmagnsúrløðing ið kemur til sjóndar sum bjørt ljósglæma á luftini(vanl.við torusláttri aftaná),ljós (4),snarljósini skygdu, og toran gekk;sum eitt snarljóssum eitt fok, flogkvikur;sbr.veðurljós
snarljósleiðari	leiðari (3) sum leiðir ravmagn í snarljósi í jørðina
snarlýsi	h24eí osb. sumtað er snarlýsisnarljósini skyggja, ljósini ganga
snarpan	skjótt, snarliga(Sv)
snarpostur	(postm.)postur (2) sendur skjótari enn vanligur postur(fyri hægri postgjald)
snarpur	1skarpur, hvassur, harðligur,snarpur samanstoytur2djarvur, raskur, fermur, kvikur, knappur 2(2), knappskjótur,mýrisnípan er snørp í flognum;snarpur í vendingini3snarsintur, illsintur,hann kundi ofta gerast snarpur, tá ið ikki gekk eftir vild
snarráðin	snartonktur, ráðsnarur, skjóttonktur,hann var sjáldsama djarvur og snildur, róligur og snarráðin
snarrita	skriva orðaraðið tað sum sagt verður við serligum teknum og styttingum[da.stenografere]
snarritari	ein ið snarritar[da.stenograf]
snarræði	tað at vera snarráðin,bjargingarmenninir sýndu snarræði, dirvi og dugnaskap
snarsinni	tað at vera snarsintur, sinni 2(3), bræði (2), bráðlyndi
snarsintur	bráðsintur, bráðlyndur, illsintur, snarpur (3),báðir vóru líka snarsintir og hevndarhugaðir
snartalv	(talv)talv har ið hvør parturin hevur fimm min. í part til alt talvið
snartok	jarnbreytartok ið koyrir skjótt og steðgar fáastaðni(vanl. á longum strekkjum)
snartonktur	sum hugsar skjótt, skjóttonktur
snarur	skjótur, knappur 2(2), kvikur,snarur er hann til verka;snarur fyri nøsininærtøkin, erkvisin, smásárur;snar er hon til sinnið(bráðsint);eg rann tað snarasta, sum eg kundi;sum snarastskjótast gjørligt;sleppa sær burtur sum snarast;Snarel.Snarur(hundanavn);hjsnartalt fyri eitt, skjótt,eg hugsi líka snart, at...(gjarna)
snarvallaður	omansleipin, brattur við javnari valling(har ið lætt er at fara á glið og ilt at steðga aftur),har er snarvallað
snarvegur	styttriel.stytsta leið
snarvendur	skjótur at skifta meining,tú veitst, hon er so snarvend
snarvirkin	skjótvirkin, skjótgerin
snata	1snodda, sneyta,hundurin gekk uttan um okkum og snataði;svín snatar í matinum(rótar við trýninum)2(um fólk)sneyta, forvitnast, fregnast,ganga og snata;hann veit alt møguligt av líkum og ólíkum, gongur eisini og snatar allastaðni;hann gekk og snataði eftir søgum, helvtin er lygn
snati	1klædnakrókur, knabbi (5), knaggi (2),heingja frakkan á snatan2kneysi, knasti, snøs,har stendur ein snati út úr berginum3(stb.)eitt sum gongur og snatar (2);Snati(hundanavn)
snáð	1(á kríatúri)fremsti partur á høvdi, skon (1),hann streyk rossinum oman eftir snáðini2andlit, ásjón (1), snýði,(tilt.)tað er ikki altíð, snáðin stendur bein á honum(ójavnt sintur)
snáðhvítur	við hvítum blettumel.hvítari rípu eftir snáðini;sbr.sneiðuhvítur;hesturin er snáðhvítur;svartur og aðrar mátar dimmur seyður kann vera snáðhvítur
snáðlittur	(seyðal.)við liti um snáðina
snák	1tað at snáka sær2amboð og evni til at snáka sær við
snáka1	ein ið ger (ov) nógv av at pynta seg, pyntidukka,hann skal ikki giftast við einari snáku sum tær, sum bert fæst við at pynta teg sjálva og aðrar við
snáka2	sbr.snákutur
snákan	tað at snáka
snákasveig	snákasveiggj
snákasveiggj	1(kvæð.,kenn.)stríð, bardagi, orrusta, snákasveig,tú hevur verið í snákasveiggj, tú blóð á hjálmi ber2træta, ósemja,koma í snákasveiggjverða illa fyri(oftast av óvart og helst í trætu),hann vildi ikki fara í dansin, tí hann mundi vænta sær at koma í snákasveiggj við onkun3lívligt gildi, kátt veitslulag4í osb.hann fekk snákasveiggjel.tað var honum snákasveiggj(eitt neps)
snáki	1snákur 12(gl.,stb.)lítil snælda
snákidagur	(stb.)snakidagur,tað koma snákidagar aftan á bakidagar(sagtt.d.eftir at gildi hevði verið)
snáking	snákan
snákingaramboð	amboð til snákingar
snákubiti	(stb.)lítil biti burturavel.framíhjá,nú hasin gamli, tekur tú tær ein snákubita?
snákur1	snúti, trýni, trantur, múli, snáki
snákur2	(dj.)slag av (eiturleysum) ormi(Tropidonotus natrix),snákurin ringdi seg niður í veitina
snákutur	1við longum berum snýði,snákutur seyður(við langari snáð)2við uppgreiddum hári3(um kríatúr)við (hvítari) rípu eftir snáðini, snáðhvítur,snákutur hestur
snáldra	knúsa, morla, lamsláa(serst. um andlitið),hann varð illa snáldraður
snáldur	(niðr.)skortur 1(2), gron (2), skon (2)
snáv	snávan(Sv)
snáva1	pjak, drák (1), dólgur (1),handa snávan, ið hatta er!
snáva2	vera áhaldsin, stíga skeivt, stumbla, stumla,hon hevði skundað sær so í myrkrinum, at hon var snávað og hevði kokt fótin;snáva ávera um at detta,hann snávaði á;(kvæð.)mín foli snávaði um ein stein;snáva avfara aðra leið, sneiða av;(stb.)onkuntíð kundi eg snáva av fyri ikki at koma í neytini
snávan	tað at snáva
snáving	snávan, misstig
snávingarsteinur	1(bíbl.)árendur steinur sum vandi er fyri at snáva um, ástoytingarsteinur,tú mást ikki biðja ilt yvir tann dumba og ikki leggja snávingarstein fyri tann blinda2(flutt m.)hindur, forðan, tarn
-sneiddur	síaksla-,av-,herða-,inn-,upp-
sneið1	(Suð.)snáð;(seyðamark)fjøður við sneiðfjøður frammanel.við horn
sneið2	1kut (1), flís, dáli (2),ein sneið av ognarjørð2skálkabragd, neis,tú hevur leingi ætlað mær eina sneið3(sj.)knoss, baks,teir fingu eina sovorðna sneið av honum, tí hann fekk ilt í búkin og mátti fylgjast allan vegin heim4(stb.)á sneiðá skák,leggja træðrir á rennibori á sneið niðureftir;sms. t.d.desa-,spik-
sneiða1	(Suð.)sneið 1
sneiða2	1gerael.skera árundanel.skráan, runda,sneiða húðarskógv;sneiða sátu;sátan verður sneidd upp í topp;desin verður sneidd upp í kjøl;sneiða hosur ella troyggjuermar við avtøku ella sviki;sneiða burturav(skera);sneiddurherðasneiddur, slútakslaður, lavakslaður,hann er so sneiddur, at klæðini lava uppi á honum;(talv)hin sneiddiriddari(føroyskt talvfólk);(seyðamark)sneittskorið skrátt av í erva;sneitt framman(til);sneitt aftan(til)2skáka 2 av, fara á skák,vegurin sneiðir;seyðirnir sneiddu meg av;sneiða um hornið(fara um)3sneiða til1stinga skør, arga, glósa,hann sneiðir ofta til tess, at embætismenninir smugla bæði út og inn loynivørur2sipa til, benda á,tey skiltu, hvat ið yrkjarin sneiddi til4(sjóm.)sleppael.skulka sær undan (e-m)(serst. arbeiði),nú sneiðir hann;hann sneiðir illa;gakk ikki her í lugarinum og sneið, far til arbeiðis
sneiðari	(sjóm.)(á skipi)ein ið ikki ger tað hann eigurel.er biðin, ein ið sleppir sær undan e-m arbeiði,hatta er ein sneiðari;sbr.sneiða 2(4)
