M	rómv. taltekn fyri 1000
mikrofon	(útv.)tól ið broytir ljóðbylgjur til ravmagnsorku, ljóðfatur, ljóðtak,tala í mikrofon
mikrogramm	(mát)1/1000000 gramm
mikrometur	(mát)1/1000 millimetur
mikroovnur	ovnur til at hita mat í við erbylgjum, erbylgjuovnur
mikroskop	sjóneyka
miksari	pískari, rørimaskina
mikudagur	fjórði dagur í vikuni, miðvikudagur
mikukvøld	mikudags kvøld
mikumorgun	mikudags morgun
mikunátt	náttin fyri mikudag
milda	1gera lýggjari, lýkka 2, lýna,sólin mildar2gera linari,dómurin mildaðist
mildan	(sj.)mildliga
mildi	mildleiki;sms.gávu-,mann-,ó-
mildiliga	mildliga,kirkjuklokkan ljómaði so mildiliga
mildleiki	tað at vera mildur, mildi, mildni
mildliga	á mildan hátt, milt, mildiliga
mildni	mildleiki;sms.gávu-,mann-,ó-
mildoygdur	við mildum eygum,hyggja mildoygdur
mildur	1mjúkur í sinni, mjúklyntur, blíður, týður, vinaligur,hon er so mild;(skaldsk.)mildar veittrar tendraðu ein vita2miskunnsamur, várkunnsamur,Harrin er mildur og náðigur3(um veðrið)lýggjur,milt veður;milt fleyr;mildur vetur4(kvæð.)gávumildur,bóndin gjørdist mildur og mætur;sms. t.d.gávu-,hug-,látur-,ó-
milliard	túsund milliónir
millibar	(mát)1/1000 bar(styttmb)
milligramm	(vekt)1/1000 gramm(styttmg)
millilitur	(rúmmál)1/1000 litur(styttml)
millimetur	(mát)1/1000 metur(styttmm)
millión	túsund ferðir túsund
millióningur	ein ið eigur eina milliónel.meir í peningsvirði
millum	1(um rørslu frá e-m staði til annanel.ávísa støðu á leiðini)ganga millum húsannael.húsa(nna) millum(hús úr húsi);millum Vágs og Sunnbiar;millum oyggjarnar;millum bygdirnar;uppi millum fjøll;millum londini(á ferð við skipi)t.d.á leiðini úr Føroyum til annað land nærindisel.aftur;millum borðannaborð úr borði;kapprógva borðanna millum(um bátsskipan)kapprógva innanborða;(kvæð.)millum teirra borðanna(á skipi);(kvæð.)millum tveggja elda(tveir eldar);millum nakað og einkiógvuliga lítið;(stn.,Sa.)Millum Vatnanna(Stóra og Lítla Vatn)2(um persónar)teirra millumí teirra tali;eldur er í teirra millum(ósemja);standa millum beggjahava ilt við at velja;millum sínsínámillum;hon er ikki longur millum okkara(er deyð);millum aðrarsaman við øðrum, uppi í øðrum;millum mannablant fólk;árin lá millum manna(mitt eftir bekkjunum)3(um tíð)millum jólanna,síjól;millum fjøllinifrá skurðfjalli til klippingsfjall;millum málafrá døgurða til nátturða;(um neytakonur)fara eftir torvi millum mála(í tíðini frá mjólkingartíð til mjólkingartíð)4í osb. summillum annað(styttm.a.)eisini, til dømis, og tílíkt;millum svøvns og vøkuhálvsovandi;millum heims og heljar,síheimur;sms. t.d.løga-
millumbil	1millumrúm2(stutt) tíðarskeið, bil,í millumbilinumímeðan;við jøvnum millumbilum
millumblaða	seta blonk (óskrivað) bløð í bókaropnur[da.interfoliere]
millumbláur	við liti millum ljósablátt og myrkablátt
millumbroddur	hálvlong broddhár millum tann grovara broddin og rótina,millumbroddurin skal verða sitandi eftir, tá ið nappað verður til kot, tí so verður kotið ikki niplut(tá verður nappað hálvfínt)
millumbylgja	(útv.)útvarpsbylgjulongd(ir) frá 185 m til 570 m (t.e.tídd frá 525 til 1605 MHz), miðbylgja,senda á millumbylgju
millumfiskur	(salt)fiskur 16-22 tummar langur
millumgarður	(Viðr.)garður millum traðirel.gerði, gerðisgarður
millumgerð	1(kirkj.)skilarúm millum kór og skip, kórrimar,skurðirnir í millumgerðini2(í fjósi)skilarúm millum básar
millumgjørt	lh tát h7í osb. sumtað verður millumgjørt, áðrenn tygum koma aftur(tað gongur drúgv tíð, verður leingi)
millumgonga	(løgfr.)tað at leggja upp í (ósemju) millum tveir partar, uppílegging[da.intervention]
millumgongumaður	ein ið gongur ímillum(til at fáa semju),semingsmaður, millummaður;(átr.)Jesus er millumgongumaður millum Guds og menniskjunnar
millumhond	kv9(kortsp.)sita í millumhondeiga hvørki at spæla fyrstur ella síðstur út
millumkarðar	(stb.)karðar nýttir at blanda ullina betur við,trý sløg av kørðum vóru: grovkarðar til at ríva við, so millumkarðar at blanda betur við, og seinast fínkarðar at karða ullina til spinningar
millumkast	(Nóls.)rúmið millum báðar fláirnar í torvhúsi(inn av durunum),stundum varð torv eisini goymt í millumkastinum
millumlagdur	l/lh tát8(stb.)millumløgd kekskremkeks
millumlanda-	viðv. fleiri londum, millumtjóða-,sms. t.d.-handil,-nevnd,-sigling,-skipan,-stevna
millumleikur	leikur innímillum(í sjónleiki og tónleiki til at gera skil ímillumt.d.tveir tættir)
millumlenda	(um flogfar)lenda ímillum fráfaringarstað og komustað
millumlending	tað at millumlenda
millumliður	liður ímillum einstakar partar í heild
millumlitur	litur sum liggur ímillum tveir aðrar litir
millummaður	millumgongumaður
millummálari	(stb.)millummáli
millummálatíð	tíðin tá ið millummáli verður etin,um millummálatíð
millummáli	1lítil máltíðserst.millum døgurða og nátturða, millummálari, málari 3,eta millummála;mamman gav teimum millummála, føroyskan drýl og smør2drekkamunnur seinnapart
millumnavn	navn millum fornavn (fornøvn) og eftirnavn,hon fekk sær ættarnavnið hjá mammuni til millumnavn
millumparta	hvørki heiltel.hálvt, mitt ímillum(t.d.í stødd, longdo.s.fr.),ein strongur er brummandi djúpur, ein annar háur og fíntljóðandi, og hinir millumparta
millumpartabátur	(bát.)bátur á stødd ímillum tríbekk og fýramannafar, ímillum fýramannafar og seksmannafar, ímillum seksmannafar og áttamannafar;sbr.fimmmannafar
millumpartafinnutur	l5(plfr.)millumpartafinnut blaðfjaðuræðrað blað har sum blaðlutirnir eru aðruhvørja ferð stórir og aðruhvørja ferð smáir(t.d.hjá epli og neliksrót)
millumpartasól	sól (4) ímillum jólasól og torrasól(tá ið jólasólin tendraðist tíðliga),partasól
millumpartatvítonn	(plfr.)slag av tvítonn(Lamium moluccellifolium)
millumpertingur	(sj.,stb.)tað sum er hvørki ráttel.soðið, tað sum er ímillum beggja
millumrokning	1(búsk.)(millum tveir partar)tað ið annar skyldar hinum2(støddfr.)útrokning áleiðis til úrslitið
millumrúm	glopp ímillum (e-t), millumbil (1), rám 1,millumrúmið millum bløðini
millumsending	stutt sending til ífyllu ímillum tvær sjónvarpssendingar[da.pauseprogram]
millumskuggi	litbrigdi[da.nuance]
millumskúli	(gl.,skúl.)fyrireikingarskúli til realskúlael.studentaskúla
millumslokkur	(stb.)slokkur komin upp av óupptiknum epli(frá árinum fyri),millumstelkur,millumslokkar vóru ikki dámdir, tí teir tóku tøðuna frá eplunum
millumstelkur	(stb.)millumslokkur,nógv av millumstelkum í veltuni
millumstykki	(sjóm.)partur á troli millum posa og bell
millumstøð	støð ímillum tvær høvuðsstøðir
millumtekstaligur	(bókm.)viðv. tilsipanum í einum teksti frá øðrum[da.intertekstuel]
millumtinganevnd	føst løgtingsnevnd
millumtjóða-	viðv. fleiri tjóðum, millumlanda-,sms. t.d.-samráðingar
millumvekt	(ítr.)tyngdarflokkur hjá nevaleikarum (71-75 kg)
millumverk	hekklað stykki til prýðis í kodda-el.dýnuveri
millumvertur	(lívfr.)vera ið hýsir sníki til hann finnur varandi tilhald
millumætt	ætt 2(2) millum hálvætt og heilætt(Varð. 527)
milt	(lívfr.)milti
milti	(lívfr.)yrkisgagn vinstrumegin í búkholuni, milt(lien),nøsin á honum er sum eitt milti((blá)reyð);sms. t.d.grá-,seyða-
miltisbroddur	broddur (1) á milti
miltisbruni	(dj.,lækn.)ring ígerðarsjúka(serst. hjá húsdjórum)sum ger at miltið bólgnar upp, miltsýki(anthrax),felli kom á seyðin, og neytini doyðu av miltisbruna og øðrum sjúkum;sbr.bráðasótt
miltsýki	(lækn.)miltisbruni
mimosa	(plfr.)viðkvæm hitalandaplanta
min.	stytting fyriminuttur
mina	hylkiel.knøttur við spreingiløðing, spreingidupul;sms. t.d.reka-
mineral	(jarðfr.)steinslag (1)
mink	(dj.,sj.)minkur
minka	1gera minni, skerja, smækka,minka e-t;minka um e-t;minka um ferðina(avmarka);hann minkaði vindin(makaði);minka segl(ini)(lækka, repa)2gerast minni,lundin er minkaður ár undan ári(fækkaður);ýlið frá hvirluni minkaði;lívsmátturin minkaði;(tilt.)tað minkar sum matur á borðiskiel.borði,símatur;(tilt.)tað minkar, ið (ofta) av verður tikið;minka burtursvinna, hjadna burtur;minka burtur í einkikoma burtur í einki3(stjfr.)minkandi sól(um mánan)(hvørvandi, skerjandi)
minkaaling	tað at ala mink
minkagarður	garður (4) har ið minkar verða hildnir(fyri skinn)
minkan	1tað at gerast minni, minking, skerjing, lækking,vindurin var í minkan2vanæra, vanvirðing, skemd,tað er ein minkan fyri tykkum;sms. t.d.mann-,virðis-
minking	minkan (1)
minkingarending	(málfr.)eftirfesti ið ger eitt minni frábrigdi frá høvuðsorðinum,"-il" í orðinum "kistil"(t.e. lítil (træ)kista)er minkingarending
minkingarorð	(málfr.)orð við minkingarending, smækkanarorð(diminutiv)
minkur	1(dj.)ránsdjór av márætt(við mjúkum og vøkrum skinni),mink(Mustela vison)2lítið og visaligt mannfólk, merlingur, (mans)tandur, velikur,hasin klænmælti minkurin av einum manni3(sj.)minkan
minna1	1fáa (e-n) at hugsa um (e-t), áminna,minna e-nel.seg á e-t;minnir meg rætt;minna umvera átøkur, sipa aftur í;hann minnir um abba sín2minnastgoymael.varðveita í minninum, huga, muna;minnast e-nel.e-t;minnast á e-t;minnast tilikki gloyma;eg eri ikki mentur at minnast tað(havi gloymt tað);minnast aftur á e-thuga e-t;hatta skal eg minnast tær (aftur)hatta skal eg ikki gloyma tær, hatta skalt tú kylja;minnist meg rætt;dagurin hevur verið minstur
minna2	(kvæð.)minni 2,eg seti ikki minna við enn alt mítt gullið reyða;bardust ikki minna;(stb.)tað er meira og minna skitið(um seyð);teir vóru meir og minna fullir
-minni	(tlm.)síbáðu-,hasu-,hesu-,øðru-,øllu-
minni1	1evni at minnast,hava gott/ringt minni;leggja (sær) í minni(í geyma);bera í minniminnast;hava minni umminnast, huga;í mínum minnialt tað eg kann minnast,syðra toftin varð nýtt sum torvhús í mínum minni;flúgvael.renna e-m í minnidetta e-m í hug;farin av minninumvorðin gloymskur;detta e-m úr minnifara í gloymsku;missa minnimissa evnini at minnast, verða gloymskur;leita e-t fram í minninum2tað ein minnist, endurminning, íminning,minni frá farnari tíð;minni um forna tíðfornminni3áminning, áminni,til minnis um e-nel.e-t4(gl.)skál (og røða) e-m til áminningarel.heiðurs,sigael.skipa fyri minni;(kvæð.)bakur og beinsi á gólvi sita og drekka Mortans minni5(teld.)goymsla til upplýsingarel.dátur;sms. t.d.á-,ferða-,fólka-,herborgar-,lesi-,lívs-,manna-,mis-,ó-,ravna-,rit-,sjón-,skrift-,søgu-,tjóð-,ør-
minni2	lsílítil,vera minni maðurverða við undirlutan, standa fyri aftan stýri;minni enn soals ikki;tað ger minni;fáa meira fyri minnifáa meira enn ein letur
minniligur	1sum goymist í minninum, sum ikki verður gloymdur(bæði fyri tað góða og tað ringa),vit minnast henda fundin fram um so mangar aðrar minniligar fundir;hin minniliga ódnardagin2verdur at minnast, áminniligur, minnisverdur,hetta verður ein minniligur dagur
minnilutakensla	(sj.)undirlutakensla
minnilutamál	tungumál sum minniluti fólksins talar,írskt er minnilutamál í Írlandi
minnilutastjórn	(stjm.)stjórn ið ikki hevur meiriluta á tingi aftan fyri seg
minnilutauppskot	uppskot frá minniluta,tríggir løgtingsmenn løgdu fram eitt minnilutauppskot
minniluti	minni parturin, minni enn helmingurin,koma í minniluta;vera íel.verða við minniluta
minnimanskensla	undirlutakensla
minnimansstøða	óvirðilig støða, vánalig støða,í Føroyum eigur føroyskt ikki at hava almannabodna minnimansstøðu
minnin	ið minnist leingi aftur á ilt, minningarsamur, minnissamur (2),hann er so minnin;sms.í-
minning	1minni,allir dagar standa so gjølla í minning míni, at eg minnist alt frá teimum2minningarhald,skúlin heldur í ár 50 ára minning;sms. t.d.aftur-,á-,endur-,í-,ør-
minningardagur	(árs)dagur tá ið e-t minni verður hátíðarhildið, minnisdagur
minningargudstænasta	gudstænasta hildin til minnis um e-nel.e-t(t.d. um teir sjólátnu)
minningarhald	hátíðarhald til minnis um e-nel.e-t
minningarhátíð	hátíð til minnis um e-nel.e-t, minnishátíð,ólavsøkan er minningarhátíð
minningarorð	orðel.grein til minnis um e-n ið deyður er, minnisgrein
minningarrit	rit útgivið í sambandi viðt.d.stovningardag hjá felag, fyritøkuo.s.fr., minnisrit
minningarsamur	minnin, minnissamur (2)
minningarveitsla	veitsla hildin til minnis um e-nel.e-t
minnisblað	minnislepi
minnisbók	1bók at skriva minnisverdar hendingar í2bók at skriva yrkingar, heilsaniro.s.fr.í til eigaran[da.poesibog]
minnisbrot	e-t smátt ið ein minnist aftur á
minnisdagur	minningardagur
minnisgóður	sum hevur gott minni, sum minnist væl
minnisgrein	minningarorð
minnisgripur	minnislutur
minnishalda	halda til minnis, hátíðarhalda
minnishátíð	minningarhátíð
minnislepi	lepi at skriva á tað ein skal minnast, minnisblað
minnisleysur	sum hevur mist minni, sum minnist illa longur, gloymskur,eg eri so minnisleysur
minnisloysi	tað at vera minnisleysur, gloymska
minnislutur	lutur til minnis um e-t, minnisgripur
minnismerki	minnisvarði
minnispeningur	peningur sligin og givin út til minnis um e-nel.e-t
minnisregla	regla 1(3) ætlað at styðja upp undir tað ið skal lærast (uttanat)
minnisrit	minningarrit
minnisríkur	við nógvum (góðum) minnum,ein minnisrík stund
minnissamur	1sum minnist væl, sum hevur gott minni(Sv)2minningarsamur, minnin
minnisskittur	minnisskítur(Sv)
minnisskítur	ein sum einki minnist, ein sum er ógvuliga gloymskur
minnissteinur	steinur reistur e-m til minnis, beytasteinur,á grøvini var reistur minnissteinur
minnissvinn	(lækn.)tað at vera minnisveikur
minnistalva	talva við minningarorðum
minnisvarði	varði (skurðmynd, standmyndel.tíl.) ið er sett til minnis um fólk, minnismerki, kuml,minnisvarðar eru reistir í nógvum bygdum til minnis um sjólátnar føroyingar
minnisveikur	(lækn.)ið hevur eina sjúku orsakað av broytingum í heilanum og sum hevur við sær versnandi minni(hevureis.við sær broytingar í persónmenskunio.s.fr.)
minnisverdur	verdur at minnast,ein minnisverdur dagur
minniverdur	minni verdur
minnivirðiskensla	undirlutakensla
minst	(av lítiðhj)í minsta lagi, í hvussu er,tað kostar minst hundrað krónur
minstaløn	(sjóm.)lágmarksløn tryggjað við lóg
minstavirði	(støddfr.)minsta virði í virðismongd hjá funktión
minstiforvinningur	minstaløn hjá útróðrarmonnum,við tí endamáli at tryggja inntøkur útróðrarmanna verður úr landskassanum latin mánaðarligur minstiforvinningur til manning, sum er heimahoyrandi í Føroyum
minstiprísur	lágmarksprísur
minstur	sílítil
mintafuglur	(stb.)fuglur sum minturin ikki er skorin av(t.d.lundiel.lomvigi, góður at fylla)
mintur1	(á fugli)knappur 1(5)(har ið velafjaðrarnar sita í),gásarungi dettur á mintin, tá ið hann fer at royta gras
mintur2	ið minnist,vælel.illa mintur;sms. t.d.av-,eyð-,kort-,lang-,ó-,stutt-
minublíður	(sj.,stb.)blíður á at líta, blíðsnýðutur,hon er so minublíð í morgun
minukrút	spreingievni í minu
minuleggja	(herm.)leggja við minum(á sjógvel.landi),alt er minulagt
minuleið	minuøki
minus1	1frádráttarmerki, teknið -2brek, lýti,tað er eitt minus, at hann dugir ikki málið
minus2	minkaðurel.lækkaður við, frádrigin,fimm minus trý er tvey (5 - 3 = 2)
minuspólur	(alisfr.)negativur pólur
minuttur	1/60 partur av tíma(styttmin.),ein minuttur er 60 sekund
minuætt	(søg.)ætt tá ið vandi var fyri at minur róku(í seinna heimsstríði)
minuøki	(herm.)minulagt øki, minuleið
mirakul	undur, kraftagerð,eitt Guds mirakul
miriliga	staðiliga, tráliga, myrðiliga,biðja e-n so miriligabøna og biðja e-n;hann svór so miriliga;hann tók so miriliga til orða;takka so miriliga(hjartaliga)
mirkjalli	(plfr.)miðstrongur á tangi(Alaria esculenta)(JJ 30 tarasløg38)
mirlingur	merlingur
misálit	tað ikki at líta á e-nel.e-t, mistrúgv
misálitisváttan	(stjm.)váttan um misálit(serst. á ríkisstjórn, ráðharrael.nevnd)samtykt við atkvøðugreiðslu á tingi
misálitsváttan	(stjm.)misálitisváttan
misár	(sj.)óár, ógvár,tá ið misár var bæði á sjógvi og landi
misbjóða	gera (e-m) mannminkan, vanvirða, háða, gera firtnan, órætta,hann misbeyð henni
misbjóðing	tað at misbjóða (e-m), misboð
misboð	tað at vera lítið í metum, mannminkan, vanæra,verða fyri misboði
misbrot	(bíbl.)misgerð, misgerningur, meingerð
misbrotamaður	brotsmaður, óbótamaður
misbrotsmaður	misbrotamaður
misbrúk	misnýtsla
misbrúka	misnýta,tú mást ikki misbrúka navn Harrans Guds tíns
misbrúkari	misnýtari
misburður	(lækn.)misføðingur
misbýta	lata verða fyri misbýti, fáa (e-m) minni enn ein eigur at fáa,verða misbýtturverða við skerdan lut
misbýti	tað at verða við skerdan lut, vanbýti
miseydna	óhapp, óeydna, vanlukka,skinn av jólaseyði máttu tey ikki rota, tí so kom húsið fyri miseydnu
miseydnast	ganga illa í hond, sláa frá, gleppa niðurfyri, mishepnast, mislukkast,keypið miseydnaðist honum
misfarast	1fara fyri einki, fara til spillis, fara fyri skeyt(ið), forfarast,í kavavetrum misfórst nógvur seyður2(sj.)(um fólk)umfarast
misfata	misskilja
misfatan	misskiljing
misføðing	(lækn.)tað at hitta reis
misføðingur	(lækn.)ófullborið fostur ikki komið á tíð
misgáa	tað ikki at gáa eftir (e-m), gáloysni, óansni, ósketni,av misgáum (sj.misgáu)av óvart, ikki við vilja
misgáus	av misgáum(Sv)
misgerð	rong gerð, misbrot, ranggerð, ógerð, brotsgerð,tann, sum dylur misgerðir sínar, fær onga eydnu
misgerningur	misgerð
misgongd	skeiv gongd,politikararnir hava ilt við at steðga misgongdini
misgruni	(sj.)illgruni
mishald	(løgfr.)tað at mishalda, tað at fremja brot ímóti
mishalda	(løgfr.)ikki halda, gera ímóti, bróta (3)(t.d.sáttmála)
mishalga	mishalgidagur,mishalgurnar vóru nógvar, tá ið dansitíðin var long
mishalgidagur	gamal katólskur halgidagur(ikki hildin longur),pálsmessa og mikkjalsmessa vóru mishalgidagar
mishalgikvøld	mishalgidags kvøld,á Sandi varð dansað hvørt mishalgikvøld
misháttaður	vánaligur og vanvirðisligur(Sv)
misháttligur	misháttur(Sv)
misháttur	sum sær lítið út, ljótur (1), ófríður (2),ljót(ur) máttu tey ikki siga um fólk, tað var at vanvirða Harran í sínum skapanarverki, mishátt(ur) kundu tey siga
mishepnast	ganga illa í hond, sláa frá, miseydnast, mislukkast,fiskiskapurin mishepnaðist
mishop	vónloysi, gremja 1,falla í mishop
mishoyra	s1í osb.mishoyra seghoyra skeivt
mishoyring	tað at mishoyra seg
mishugaligur	lítið hugaligur, óhugaligur,tað er mishugaligt at frætta
mishugur	ringur hugur, óhugur, mótboð, mótvilji, ófýsi,tað loypti mishug á hann
mishýrur	ringur hýrur, mislag
misjavni	mismunur, ósambæri, ójavni
misjavnur	ójavnur (2), skiftandi, ymisligur, ymiskur,eplagrøðin var sera misjøvn;misjavnt er menniskjans lyndi;tað eru misjavnar meiningar um tað
miskenna	kenna skeivt, blanda (saman)
miskenning	tað at miskenna(t.d.seyð)
miskeyp	vánaligt keyp
miskomast	(um gróður)koma illa upp, næla illa(Sv)
miskunn	várkunn, miskunnsemi, náði,(bíbl.)sæl eru tey miskunnsomu, tí tey skulu miskunn fá
miskunna	sýna miskunn, várkunna,miskunna e-m
miskunnarbiti	lítið sindur, vet, flindur (1),ein miskunnarbiti er eftir (av døgurðanum)
miskunnarfólk	h flt3í osb. sumvit verða miskunnarfólk(fyri vanbýti, við skerdan lut)
miskunnargerð	vælgerð, góðgerð, sálarbótsgerð, miskunnarverk,gera miskunnargerð
miskunnarleysur	uttan miskunn, náðileysur, eirindaleysur, hjartaleysur
miskunnarloysi	tað at vera miskunnarleysur, náðiloysi, hjartaloysi, eirindaloysi
miskunnarmaður	k41í osb. sumverða miskunnarmaður(fyri vanbýti, við skerdan lut, við sviðusoð)
miskunnarverk	miskunnargerð
miskunnleysur	(sj.)miskunnarleysur
miskunnligur	miskunnsamur
miskunnsamur	sum sýnir miskunn, várkunnsamur, náðigur, mildur (2),vera miskunnsamur ímóti e-m;miskunnsamur og góðskuríkur
miskunnsemi	tað at vera miskunnsamur, miskunn
mislag	1ringt lag, mishýrur,mislag var komið á hann2ólag, ógreiða,mislag var komið í
mislagdur	l8(jarðfr.)mislagdar fláirfláir við størriel.minni hornum ímillum í sama fláabólki
misleggja	goymael.leggja frá sær so at ein ikki finnur tað aftur, króseta (3),tú kanst hava mislagt tað
misleiða	leiða av leið, villleiða, villa 2
mislesa	lesa skeivt, lesa ótt
mislesing	mislestur
mislestur	tað at lesa skeivt, mislesing
mislitaður	mislittur(Sv)
mislittur	1(um ull og seyð)við ymiskum litum2við dámi av øðrum liti, avlitkaður,útstappaðir fuglar tola ikki at standa berir í einari stovu, tí teir verða mislittir(missa tann upprunaliga litin)
mislitur	litur ið ikki er einsháttaður(Sv)
mislíka	dáma illa,e-m mislíkar e-t
misljóð	1skurrandi ljóð, óljóð2ósemja, tvídráttur
misljóða	(tónl.)ljóða illa saman
misljóðandi	1sum ikki samljóðar, ósamsvarandi,tað var eitt misljóðandi, eintónað mótmælisróp2skurrandi, skorrandi,misljóðandi látur
mislop	tað at tað loypur so langt á hornunum í senn at tey verða ljót
mislukkast	miseydnast
mislyndi	tað at vera ójavnt sintur,loypa mislyndi á e-ngera e-n illa við
mislyntur	ójavnt sintur(stundum ovurglaður, stundum illa hýrdur)
misløga	1(umt.d.togel.reip)tað at skeivleiki er í leggingini(soleiðis at tað stendur ov nógvel.ov lítið á einum táttiel.ein táttur er ov tjúkkurel.ov klænur),misløga er í reipinum2brek, forðan,tað kom misløga í(gekk ikki eftir ætlan)3(jarðfr.)tað at fláir eru mislagdar[da.diskordans]
mismarka	(um seyð)marka skeivt,hann mismarkaði lambið
mismennið	sum ikki hóskar, óhóskandi(t.d.í stødd),hetta er so mismennið
mismenniligur	(um fólk)lítil og klænur, másasligur, lítið til mannar
mismeta	1meta skeivt2ikki virða sum uppiborið, undirmeta,mismett flogvit
mismeting	tað at meta skeivt
misminnast	minnast skeivtel.illa, feiftra
misminni	tað at misminnast
mismjólka	(gl.)mjólka skeivari kúgv(Tingb. 1655-66225)
mismunur	misjavni, ójavni, ósamsvar, ósambæri,gera mismungera mannamun
mismæli	1bakbit, illmæli, illmælisorð, æruskemd2tað at vera mismæltur, tað at missiga seg,tað er mismæli á honumhann er mismæltur;(kvæð.)mangur er í mismælimangur kann vera mismæltur;vera í mismælivera í døpurhuga, hvørki vita til høvur ella hala
mismæltur	l5í osb.vera mismælturav óvart siga e-t sum ein ikki ætlar, siga skeivt, ovsiga seg
misnýta	nýta á skeivan hátt, misbrúka,misnýta rúsdrekka(ikki (duga at) nýta við hógv);hann misnýtti vald sítt;misnýta smábørn(t.d. kynsliga)
misnýtari	ein sum misnýtir rúsevni, rúsdrekkao.tíl.
misnýtsla	tað at misnýta, misbrúk
misnøgd	tað at vera misnøgdur, ónøgd, misnøgi, mistokki
misnøgdarorð	orð søgd av misnøgd
misnøgdur	ikki nøgdur, ónøgdur
misnøgi	misnøgd
misoyrt	l h(um seyð)misoyrt við (e-n)við sama marki men á øvutum oyra
misprent	prentvilla
misprenta	prenta skeivt, gera prentvillu
misprenting	tað at misprenta, misprent, prentvilla,nakrar misprentingar eru í bókini
misprýða	ikki prýða, lýta 2, skemma 2(2)
misprýði	e-t ið misprýðirel.skemmir, lýti, vanyrði
misrokna	s30í osb.misrokna segrokna skeivt
misrokning	roknivilla
misrøkja	ikki røkja, vanrøkja, órøkja 2, leggja á lán,misrøkja arbeiðið
misrøkt	vantandi røkt, órøkt, vanrøkt
missa	1verða av við, spæla av við, lissa,missa andandoyggja;(um knív)missa bitiðgerast óhvassur, leggjast fyri;missa eyguniel.sjóninagerast blindurel.fara at síggja verri;(um fugl)missa flogiðdetta niður;missa máliðgerast hásmæltur, verða hásur (kyrktur) á málinum;missa minniðmissa evnini at minnast, verða gloymskur;(um kúgv)missa mjólkinasleppast, torna upp, torna í stein;missa svøvnin,sísvøvnur;missa taliðvillast í teljing;(um hønu)missa urptinahalda uppat at verpa;missa vitiðfalla í óvit, dána, smella 1(2), svíma;(orðt.)hann missir ikki, ið fyrst færtað ræður um at halda seg framat;missa meir fyri minnifáa minni aftur enn ein missir;missa úr hondunumlóka, lorka, lepra;missa úr minnigloyma;missa avverða av við fisk (av húki),eg misti av uppi í sjónum;missa burtur1lissa, verða fyri uttan, avluta, forsóna,eg havi mist tað burturtað er komið mær av hendiel.hondini2ikki síggja longur, ikki finna aftur,eg misti teir burtur aftursá teir ikki aftur3missa seg (sjálvan) burturgerast rótleysur, missa eyðkenni sítt;eg misti meg sjálvan burtur(misti tamarhaldið)4(um dýr)kasta burtur5(serst. um kvøðara í før. dansi)gloyma ørindi,hann misti burtur og mátti kvøða niðurlagið uppaftur2ikki raka, vera skeivrakin, fara skeivur,hann misti hvørt sítt kast
missiga	óviljaður siga ósatt, lúgva av óvart,missiga seg;havt varð at børnum, søgdu tey: "Hann lýgur!" Tey kundu siga: "Hann missigur."
missión	trúboðan, kristniboð
missiónshús	samkomuhús hjá heimamissiónini
missiónsvika	vika við møtum og samkomum hjá heimamissiónini
misskifta1	misskiftar torvur
misskifta2	venda torvreisu við(so at yvirtorvan verður undirtorva)
misskilja	skilja (e-t) skeivt, misfata, mistýða,e-m misskilst e-t
misskiljing	tað at misskilja, skeiv fatan, misfatan, misskilningur, mistýðing
misskilningur	misskiljing
misskot	váðaskot
misskriving	rong skriving, skrivivilla
misslag	tað at sláa á skeivan knapp 1(3)(t.d.á teldu),slagvilla
misspor	tað at stíga skeivtel.misstíga seg,tað undarliga mannalívið við sínum missporum og syndugu misskiljingum
misstaddur	l22(plfr.)misstødd bløðbløð sum standa bert eitt á somu hædd á leggi
misstig	tað at stíga skeivt, tað at misstíga, snávan, snáving
misstíga	stíga skeivt, snáva,misstíga seg
missur	1tað at missa, skaði (2), tap, lissur2tað at sakna, saknur, trot, eftirsjón, skák 2(5), skarð (3),tað er missur í tí;sms. t.d.blóð-,vætu-
missýni	tað at síggja skeivt,(flutt m.)tað at meta skeivt,hann vendi sær ímóti hesi misfatan og hesum missýni
missøgn	skeiv (frá)søgn,missøgn kom í
mistak	1tað at mistaka seg, villa, glappakast, burturviðlop,gera mistak2skeivt tak, skeivbragd,fáa mistakvera áhaldsin;hann fekk mistak og fór fram eftir grúgvu í ánna3fáa mistakmissa ófullborið fostur, hitta reis, fara illa
mistaka	fara skeivur, gera mistak,mistaka seg;mistakast(um ær)lemba ov tíðliga, fáa mistak (3);sbr.lambskotin
misteljing	tað at telja skeivt
mistilteinur	(plfr.)snultiplanta sum veksur á trøum(Viscum album)
mistokki	tað at mislíka (e-t), misnøgd, ónøgd, mistykki,bera mistokka til e-n
mistreyst	mistreysti
mistreysti	vantandi treyst(i), vantreyst(i), vónloysi, stúrni, mistreyst,mistreysti kom á hann
mistrivnast	ikki trívast, vantrivnast, mistrívast, vantrívast
mistrivni	tað at mistrivnastel.mistrívast, tað at trívast illa, vantrivni, ótrivni,mistrivni kemur í e-t;mistrivni kom í húsið
mistrivningur	1(um fólkel.dýr)eitt ið ikki trívst, eitt lítið og ússaligt, neyðardýr, krylvingur, vantrivningur, píningur, undanstøkkingur, avnor2tað ikki at trívast,mistrivningur er komin í
mistrívast	ikki trívast, mistrivnast, vantrívast
