n	(málfr.)hjáljóðsstavur (nevndur[ɛn:])
neytaland	land 2 undan neytum
neytaleggald	(gl.)pelsi
neytaligur	1(sj.)sum eitt skaffiligt neyt (kúgv, kvíga) eigur at vera2tápuligur
neytalortur	mykjuløga
neytaløn	(gl.)løn hjá neytakonu fyri at ganga til neyta(r),neytalønin var 5-6 kr. fyri summarið fyri at ganga til neytar
neytamatur	sbr.kúmatur
neytamál	mál 2(6)(tá ið kúgv verður mjólkað),millum neytamálmillum morgun- og kvøldmál,hon skuldi royta hundrað lundar millum neytamál
neytamergur	mergur úr neytabeini
neytamjólk	mjólk undan neytum, kúgvarmjólk
neytamykja	mykja undan neytum
neytanetja	netja 1 av neyti,neytanetja var ofta nýtt at seta fyri gluggar í staðin fyri glas
neytapokur	(lækn.)pokur hjá neytum(serst. á boppunum),kúpokur
neytapylsa	(gl.)pylsa fylt í neytavil
neytarakstur	1loyvi til at hava neyt í haganum,allir høvdu neytarakstur, húshagin var til øll neytini2leið sum neyt verða rikin(út í hagan og heimaftur),steinurin stendur tætt við neytaraksturin
neytarhøvd	(sj.)neytahøvd
neytaseta	(gl.)tað at sita hjá neytum;sbr.summarseta,várseta
neytasíða	síða (2) av neytakrovi
neytaskarn	skarn undan neytum, neytamykja, neytsskarn
neytaskipan	ásett neytatal í hagael.hagaparti,neytaskipanin í Nólsoy var tá o.u. 60-70 kýr
neytaskjóla	(gl.)skjóla 1(til at mjólka uppí),mjólkin í neytaskjóluni verður tømd í biðið
neytaslag	slag av neytum
neytasteik	steik av neytakjøti
neytastøðil	(gl.)støðil
neytasýning	tað at sýna fram neyt
neytatal	tal á neytum,stórt/lítið neytatal
neytatálg	tálg av neyti
neytatippi	(gl.)støðil
neytatíð	(gl.)tíðin á morgni tá ið farið varð til neyta(r)
neytatíggjund	(søg.)tíggjund av neytum
neytatrygging	(trygg.)trygging av neytum
neytatrøð	girðing (1)el.tippi úti í haganum har ið neyt kundu vera eina (stutta) tíð, neytagerði
neytatuberklar	tuberklasjúka hjá neytum
neytatunga	tunga úr neyti
neytatøð	tøð undan neytum, fjóstøð
neytavatn	vatn til neyt at drekka
neytaveður	veður til neytagongu
neytaøði	(dj.,lækn.)sjúka hjá neytum ið hevur við sær øði[en.mad cows disease]
neythagi	neytahagi
neythali	neytahali
neythøgur	(um bøgarð)so høgur at neyt ikki sleppur uppum, neytahøgur,neythøgur garður
-neyti	sífylgis-,kappingar-
neytsband	band at binda neyt við á básin, neytaband
neytshorn	neytahorn
neytshúð	neytahúð
neytshøvd	neytahøvd
neytskjøt	(sj.)neytakjøt
neytsskarn	neytaskarn
-neytur	sífylgis-
neyva	(stb.)bila, baga,einkiel.ikki neyvarikki sakar, tað ger einki
neyvaklukka	(Sa.)natið fólk, kargakoka,hatta er tann neyvaklukkan, ið er
neyvan1	valla 4,hann fer neyvan at hóra undan(man fara at doyggja);hann var neyvan edrúur;neyvan var sólin horvin, so køvdi hann av(nóg illa)
neyvan2	nær vindinum, neyvt,teir máttu sigla so neyvan, sum til bar, til at liggja upp fyri tangan,síneyvur (5)
neyvasigling	(sjóm.)tað at sigla neyvt,síneyvur (5)
neyvhugsan	tað at hugsa gjølla, gjøllhugsan,hann hevði ongantíð havt evnir til neyvhugsan
neyvra	nerva(Sv)
neyvur	1nágreiniligur, gløggur (2),neyv hugsan;neyv máting;neyvur málbúni2sum hevurel.ætlar ov lítið til, smátøkin, pírin, nettur (6),nú hevur tú verið neyvur við sandi3knappur 2(1), tepur, lítil,í neyvan hálvtíma4(um fisk)ið stendur tætt saman á lítlum øki,fiskurin stendur neyvur5(sjóm.)ið er nær vindinum(so at vindurin er framman á tvøran og tí ólagaligur til sigling),neyv sigling;neyvur vindur;sigla neyvt;hann lá so neyvur í ættini, at teir kundu ikki sigla upp og noyddust tí at leggja seglið6sum gongur e-m nær, naskur, nærgeingin,nú ert tú so neyvur við meg
-ni	(hjáorðseftirskoyti, vanl. í tlm.)illani = illa, niðaneftirni[-ɛt:ɪnɪ]= niðaneftir, norðaneftirni = norðaneftir, oftani = ofta, toluligani = toluliga
niða	1myrkur 1, niðamyrkur,blá niðabølamyrkur2tann tíðin í hvørjum mánaði tá ið mánin ikki sæst,í hvørjari niðuí hvørjum mánaði3(flutt m.)døpur tíð;sms. t.d.blá-,bøla-,tussa-
niðagrísur	(fólktr.)hamur (6) av (leysinga)barni ið er fyribeint ódoypt (ókristnað)(gongur ofta aftur til tað hevur fingið navn),niðangrísur(FA331;FFÆ231)
niðamyrkur	bølamyrkur 1, kolmyrkur 1
niðan	1úr neðra og uppeftir, frá lægri til hægri stað, niðaneftir,móts.oman,hann fór niðan;húsini standa oman og niðan(við endunum omaneftir og niðaneftir);sólin skein bæði oman og niðan(av tí fagrasta)2(saman við fs)niðan at:teir gingu niðan at húsum(niðan til);niðan av:bilurin fór niðan av vegnum;niðan á:niðan á bakkan, oynnao.tíl.;niðan eftirúr neðra og niðaneftir,niðan eftir vegnum;niðan frá1úr neðra og niðaneftir,hann gekk niðan frá strondini;(kvæð.)Ásmundur gekk frá strondum niðan2nakað oman fyri,hjallurin stóð niðan frá húsunum;niðan fyrilongri niðri enn,hjallurin stendur niðan fyri húsini;niðan í:niðan í brekkuna, fjøllinio.tíl.;sjógvurin stóð niðan í neystadyrnar;niðan ígjøgnum:niðan ígjøgnum Nólsoyarfjørð(norður);niðan umlongri niðan enn,niðan um bøgarðarnar;niðan viðframvið niðaneftir,teir gingu niðan við ánnifs3upp gjøgnum, niðan eftir,niðan brekkuna;fara niðan trappurnar4á lægri stað enn e-t annað, niðan fyri, undir,niðan belti;fyri niðanniðan fyri, undir;fyri niðan knæ
niðanav	1niðan av e-m,bilurin fór niðanav(niðan av vegnum)2burturav í neðra,har brotnaði alt omanav og niðanav(á skipi í ódnarveðri)
niðaná	heilt upp, upp á toppin á e-m(t.d. fjalli)
niðanbergs	(bjarg.)av sjónum og upp í bergið(til fugla),móts.omanbergs
niðaneftir	niðan (1),vit gingu spakuliga niðaneftir(niðan brekkuna);teir fara frá bryggju í Havn og sigla niðaneftir(norður gjøgnum Nólsoyarfjørð)
niðanfok	fok frá fossi sum stendur í andarisi, tað at fossar fúka niðan
niðanfrá	1[-'f-]longri uppi, longri niðan(av lægri staðserst.av lendingini og niðaneftir),hann gekk eitt sindur niðanfrá;teir bóru fiskin niðanfrá(niðan frá bátinum);húsini stóðu nakað niðanfrá(omanfyri)2úr neðra, niðrifrá,(bíbl.)tit eru niðanfrá, eg eri omanfrá, tit eru av hesum heimi, eg eri ikki av hesum heimi
niðanfyri	niðan fyri e-t, longri niðri(enn e-t annað),í neðra, niðriundir,høg fjøll omanfyri og smalt sund niðanfyri
niðangrísur	(fólktr.)niðagrísur
niðanífrá	niðrifrá, úr neðra
niðankloyvdur	langkloyvdur, klovlangur
niðanrent	gongt niðanel.upp,har er niðanrent hjá seyði;sbr.omanrent
niðantil	í neðra, í niðara parti, fyri niðan,hon var farin at kólna upp niðantil(um beinini og uppeftir);niðantil umí neðra;kjólin var bordutur niðantil um;(stb.)leggja niðantil umleggja uppt.d.brók
niðanundir	niðan undir fótin á hædd, fjallio.tíl.
niðanúr	út úr e-m niðaneftir (t.d.staði, húsi, flokki)
niðanvert	hjí osb.niðanvert við (e-t)eitt sindur niðan fyri (e-t);niðanvert við Høvdan
niðari	1l miðstsum er lægri (av tveimum), lægri(í samanburði við e-t annað),niðara gøta;niðari munnurundirmunnur;niðari vegur2hj miðstlongri niðri(enn e-t annað),teir gingu niðari enn vit
niðarla	(gl.)niðarlaga
niðarlaga	rættiliga langt niðri, niðarla, niðarliga,móts.ovarlaga
niðarliga	(stb.)niðarlaga
niðast	longst niðri, lægst,móts.ovast,niðast í sjóvarmálanum
niðastur	sum er longst niðri, lægstur,tey niðastu húsini;tann niðasti maðurin(á fjalli)
niðra	lasta 1, háða, vanæra,niðrandi orð
niðran	tað at niðra, háðan, vanæra
niðri	á stað lægri enn annað,her niðri;niðri á sandinum, helluni;niðri fyri landiútifyri,skipið legði seg niðri fyri landi;niðri í fjøruni;leita bæði uppi og niðri(allastaðni);sita og reka niðri undir øðrum bátireka(í slóðini har ið annar bátur rekur fyri),móts.sita uppi í rákinum (fyri øðrum);niðri undir húsunumniðan fyri húsini;niðri undir bakkanum stóðu neystini;prísirnir vóru niðri ígjøgnum(ógvuliga lágir, í botni);niðriel.niðri í Danmørk, Bretlandi(suðuri);hann býr niðri(í Danmørk);spæla niðrispæla niðrispæl
niðrifrá	1úr neðra og uppeftir2úr Danmørk(sj.Bretlandi)
niðrifyri	sbr.omanfyri (4)
niðrinorðri	(sj.)í helviti;sbr.niður og norð(ur)
niðrispæl	(gl.)spæl (ikki dansað) spælt sitandiel.standandi,niðrispøl vórðu gjarna spæld, tá ið dansurin fór at halla, ella eisini áðrenn hann byrjaði;eitt niðrispæl var at krumsakka
niðriundir	1niðri undir e-m, longri niðri enn e-t annað, í neðra(t.d. undir dekki á skipi, í neðra í húsum o.s.fr.),trongt var niðriundir í kirkjuni2í seingini (sjúkur),eg lá tríggjar dagar niðriundir
niður	1hjfrá hægri til lægri stað, stigel.tíl.,móts.upp,rópa niður til e-n;prátið kom niður á hann(varð um hann);far (ríð, renn) tú niður og norð(ur)(til fjandans);tað var upp og niður(skiftandi);standa upp og niður(loddrætt);alt stendur væl upp og niður(stendur væl til fíggjarliga);fáa ein heitan munn niður á hjartað;fáa e-t flótt niður fyri hjartað,síhjarta;fara niður úr dansinum(burtur úr ringinum);fara niður1fara til Danmarkarsj.Bretlands,teir sigldu niður við fiski2fara til songar;fara niður á land(úr Dímun til Sandoyar)2undanel.við rákinum,báturin rekur niður á miðiðfs3niður gjøgnum, oman,fara niður stíggjarnar;hann setti ferð á niður brattan4(hj saman við sagnorði)t.d.beyka niður;binda niður;detta niður;falla niður;fáa niður;ganga niður;geva niður;hyggja niður;koyra niður;leggja niður;seta niður;skera niður;stoyta niður;taka niður(sísagnorð)
niðurarvaður	ið arvaður er(frá eldri ættarliðum),gingin í arv,tað, ið niðurarvað var frá forfedrunum
niðurat	niður atel.ímóti e-m(ið undir er),kloykja seg niðurat(niður á ein stól);set teg niðurat eina løtu(at hvíla)
niðurav	niður av e-m høgum (t.d.taki),fara niðurav;(stb.)taka niðuravstanda á helluni og fleyga fugl sum flýgur niður úr berginum;sbr.omanfleyg
niðurá	niður á e-t,náttin seig niðurá(kom á)
niðuráleggingartráður	(handarb.)(heldur fínur) tráður spunnin við broddi á handsnældu(til at seyma seym (1) niðurá báðumegin)
niðurbind	(gl.,stb.)niðurbinding
niðurbinding	(gl.,stb.)sneis bundin at vaðsteininum og sum helt teyminum út frá snørinum
niðurboygdur	1bendur niðurá2tyngdur av sorg, syrgin, sorgarbundin
niðurbreiður	breiður um lendarnar, lendabreiður
niðurbrot	kantur ið er niðurbrotint.d.á stivla
niðurbundin	1(um seyð)við fótunum samanbundnum(til at royta el. bera),niðurbundin seyður2(flutt m.)kúgaður, hildin niðri, trælkaður,niðurbundið kæti;lívið var niðurbundið og óliviligt
niðurdeild	(gl.)niðari partur á serki, niðurlutur
niðurdeilur	skjúrt (1)
niðurdottin	dottin niður, niðurrapaður,niðurdottin garður;niðurdotnir varðar;húsini eru niðurdottin
niðureftir	1(úr erva og) niður2ætt undan ætt, frá ættarliði til ættarlið,hinir synir Árons og teirra synir niðureftir skuldu vera prestar
niðurfall	e-t ið er falliðel.stendur til at falla, fall (1),norskt mál kom til niðurfals
niðurfallin	1(um bakstur)miseydnaður í bakingini (samansokkin og kleiggjutur),køkan er niðurfallin2flóðin var næstan heilt niðurfallin(næstan fullfjarað)3(um seyð)lagstur á lágan haga(og fæst ikki niðan aftur í erva)
niðurfalssjúkur	(lækn.)við niðurfalssótt
niðurfalssótt	(lækn.)líkfall(epilepsia)
niðurfarin	1farin niður2farin til songar, lagstur
niðurfaringartíð	songartíð
niðurfelling	(alisfr.)partur av vektri eftir øðrum vektri
niðurferð	1ferð niðurt.d.í berg,hann datt oman á niðurferð2ferð (við skipi) til Bretlands at selja fisk(undir seinna heimsbardaga)3ferð til Danmarkar
niðurflaknaður	flaknaður heilt niður, sundurdottin(av elli, roti o.tíl.),ein niðurflaknaður bátur;tekjan er niðurflaknað
niðurflyting	tað at flyta av hægri niður á lægri stig(t.d. vegna vánaligt úrslit),(ítr.)niðurflyting úr fyrstu niður í aðru deild
niðurflytingarstrika	(í ítróttakapping)lágmarkið fyri um lið sleppur at halda fram í verandi deild(el.má flyta niður vegna ov fá stig),møguleikarnir eru enn góðir at vinna seg upp um niðurflytingarstrikuna
niðurfrá	1niður fráel.undan e-m,hæla ein bøkk niðurfrá(leysan úr bakkanum);hurðin var dottin niðurfrá(hekk og lavaði);skræða niðurfráríva niður, skræða leysan2afturúr,detta niðurfrádragna afturúr(t.d. í gongu),hann orkaði ikki at fylgjast við hinum og datt so við og við niðurfrá
niðurfyri	útav og niður av e-m (høgum)t.d.bryggju, bakka(ofta á sjógv),har var snipst niðurfyri;farael.detta niðurfyridetta á sjógv;vera væl niðurfyri viðt.d.klæðum(væl staddur);detta niðurfyri;eiga niðurfyri;eta niðurfyri;gera niðurfyri;hava niðurfyri;sova(sísagnorð)
niðurfyrikomin	1illa fyri, niðurundirkomin(t.d. fíggjarliga el. av svongd, tosta, máttloysi el.tíl.),ússaligur,troyttur og niðurfyrikomin2(sj.)væl fyri, múgvandi
niðurgangsskúli	(fólktr.)skúli (í Fraklandi) í miðøld har ið illimaður segðist vera lærari(prestar gingu har at læra gand)
niðurgangur	niðurgongd
niðurgingin	(um trota)farin úr aftur, javnaður,svullurin er niðurgingin;sbr.ganga niður
niðurgonga	tað at ganga niðurt.d.gjøgnum hamara 1(1), niðurgangur, niðurgongd
niðurgongd	1mjá og brøtt gøtael.rás niður gjøgnumt.d.hamara 1(1)2tað at e-t versnarel.lækkar, lækkan, afturstig (4),niðurgongd í prísunum;niðurgongdin í fiskiskapinum
niðurgonguskúli	(sj.)niðurgangsskúli
niðurgongutíð	tíð við niðurgongd (2)
niðurgrógvin	undir í gróðri, sum vaksið er yvir, niðurvallaður,niðurgrógvin hoygarðsstøði(r);(lækn.)niðurgrógvin naglur
niðuri	(Suð.)niðri
niðurí	niður í e-t (t.d.kuffert, eskju, kassao.tíl.),leggja niðurí(klæði);fá mær eitt sindur av klæðum niðurí
niðurífelling	(í binding)tað at fella niðurí
niðurímillum	niður ímillum tveir lutirt.d.skip og bryggju,maðurin datt niðurímillum, tá ið hann skuldi leypa á land
niðurkomin	komin niður,nýliga niðurkomin urð(nýlopin)
niðurkærur	(sj.)(um seyð)ið dámar at liggja á lágum haga
niðurlag	1ørindisreglael.-reglur ið verða tiknar upp aftur eftir hvørt ørindiel.stundum inn ímillum ørindisreglur, viðgangur (1),tvíflættað niðurlag2e-t ið verður endurtikið aftur og aftur, herróp (2),"støðan er góð", var niðurlagið hjá honum;niðurlagið hjá teimum var: stavsetingin er torfør og ring at nýta3niðurløga,tað var uppistøða og niðurlag: drekking, drekking, drekking
niðurlagdur	givinel.hildin uppat (at virka), tikin úr brúki,skúlin er niðurlagdur;handilin varð niðurlagdur;hetta verður ikki niðurlagt(verður talað um í langa tíð)
niðurlagstur	(um seyð)komin í vanrøkt
niðurlegsaður	legsaður niður, illa niðurtraðkaður
niðurlendingur	fólk íel.úr Niðurlondum,vanl.hálendingur
niðurlendskur	íel.úr Niðurlondum,vanl.hálendskur
Niðurlond	land í Evropa;sbr.Háland
niðurlop	(lækn.)sjúka har ið yrkisgagnserst.tarmur er farið úr síni føstu legu;sbr.tarmalop
niðurlopin	omanlopin, niðurdottin(av omanlopi),Jaspursriva er niðurlopin;røkurnar vóru fyltar við niðurlopnum gróti
niðurlutur	(gl.)niðari partur á serki, niðurpartur (2), niðurdeild
niðurløga	1tað at e-t verður niðurlagtel.endað, endi (4),í osb. sumuppstøða og niðurløgabyrjan og endi;tað var uppstøða og niðurløga hjá pápanum: tú verður aldri konfirmeraður(segði pápin bæði tíðliga og síðla, var niðurlagið (2) hjá pápanum)2eyðmýking, tap,eina niðurløgu skuldi hann uppliva henda túrin;luttøkan í krígnum var landinum til stóra niðurløgu;hetta kom honum til niðurløgu(gjørdi av við hann)
niðurmark	mark niðureftir, niðara mark
niðurmolnaður	molnaður heilt sundur
niðurmókandi	ið fær tolið at ganga undan, troyttandi,tú ert niðurmókandi(sagt við barn)
niðurmøddur	(um seyð)heilt møddur, púra pøstur, fyrilagstur, deyðgivin
niðurnívdur	illa nívdur, tyngdur,móðirin var niðurnívd av sorg
niðurpartur	1niðari partur av e-m2niðurlutur3niðari partur á kroppi,móts.yvirpartur (2)
niðurraðfesta	raðfesta lægri(enn e-t annað)
niðurrapaður	rapaður niður, niðurdottin,niðurrapaður garður
niðurrassaður	niðurlegsaður,akurin var niðurrassaður hvønn morgun
niðurrendur	l7(plfr.)niðurrent blaðblaðel.blaðlutur við bløðku ið veksur niður eftir legginum
niðurrenning	op har ið vatn rennur fráel.niður, frárenning (1), frárensl
niðurringaður	ringaður niður framman, kriðaður niður(um t.d. kjóla)
niðurrivin	rivin niður
niðurríving	tað at ríva niður,húsini eru boðin út til niðurrívingar
niðursald	niðursílað,kýrnar vóru hvørki niðursaldar ella mjólkaðar;sísíla niður,selja niður
niðurseting	1tað at seta niður epli2tað at seta búgv í óbygdum, landnám, landtøka
niðursetingartíð	tíð tá ið epli verða niðursett
niðursetstur	sum hevur sett seg niður (á t.d. stól), sessaður,heimkomin og væl niðursetstur
niðursettur	1settur niður í jørðina, gróðursettur, plantaður,eplini eru niðursett;niðursett trø2lækkaður(í prísi),niðursettar vørur;niðursett løn
niðursetubygd	nýbygd á áður óbygdum stað;sbr.landnámsbygd
niðursetufólk	fólk ið setst niður í óbygdum, fyrsta fólkið í niðursetubygd
niðursetukvøld	(stb.)kvøld tá ið fólk (børn) sita og lurta eftir søgumo.tíl.
niðursetuland	hjáland
niðursetumaður	1maður sum hevur sett búgv í niðursetubygd2maður ið hevur sett búgv í hjálandi3maður ið hevur jørð um hendur fyri annan, uppsitari,niðursetumaður Tróndar í Gøtu
niðursetur	avmarkað bygt øki í hjálandi,niðursetrið vaks og blómaði;niðursetur í Grønlandi
niðursigin	1sigin niður í berg2fløgugingin,niðursigin sáta
niðursjóða	sjóða 2(1) niður
niðursjóðing	tað at sjóða (mat) niður
niðurskriva	(búsk.)áseta til eitt lægri virði,er talan um eitt framleiðslutól, sum verður mett nýtiligt í 10 ár, so kann eigarin niðurskriva virðið sum eina árliga útreiðslu við 1/10 um árið
niðurskriving	(búsk.)tað at skriva niðurel.lækka (virði á e-m)(t.d.gangvirði, ognumo.tíl.),móts.uppskriving;sbr.avskriving,virðislækkan
niðurskurður	tað at skera niður, minking, lækking, skerjing
niðurslættaður	slættaður heilt niður,heyggjurin er niðurslættaður(er burtur)
niðursmokkaður	1smokkaðurel.sokkin djúpt niður í evju, runu, kavael.tíl.2lopin,øll skorin er niðursmokkað3snópin, nipin, smolturskotin (3),tit eru mær so niðursmokkaðir á at líta;hann fór nipin og niðursmokkaður á dyr
niðursoðin	(um mat)tilgjørdur við (bráðari) kóking og goymdur í lufttøttum íløtum,niðursodnar fiskavørur;niðursoðin rogn;sbr.sjóða niður
niðurstanding	(sjóm.)tað hvussu snørini standa niður, niðurstandur,góð/ring niðurstanding
niðurstandur	(sjóm.)niðurstanding,tá ið góður niðurstandur er, koma snørismenninir ikki so lætt í trol
niðurstrika	(skúl.)(í bókstavi)strika skrivað niðureftir,móts.uppstrika,í handskrivaða bókstavinum "i" er ein uppstrika og ein niðurstrika
niðurstøða	úrslit(ið spyrst burtur úr t.d. viðgerð, frágreiðingel.tíl.),fylgja 1(1),vit mega koma fram til eina niðurstøðu;niðurstøðan í kanningini er, at ...
niðursøktur	søktur niðurt.d.í havið
niðurteljing	tað at telja niður
niðurtikin	tikin, rivin niður,húsini vórðu niðurtikin
niðurtil	niðantil,hann var vátur niðurtil;hann var klantrasligur niðurtil
niðurtjúkkur	tjúkkur í neðrael.niðantil, jarðgrógvin (2),ein niðurtjúkkur maður
niðurtraðkaður	traðkaður heilt niðurel.flatur,skógvurin var so niðurtraðkaður, at har var eingin hælkappi eftir
niðurtøka	tað at takat.d.bygning(ar) niður
niðurum	niður um e-t,fáa sær ein bita niðurumeta ein bita, svølgja;hann fór eitt sindur niðurum(eggina)
niðurundir	1niður í neðra(frá hægri til lægri stað)2(á skipi)niður undir dekkið, í lugarið,teir fóru niðurundir at skaffa3í song, til songar,hann fór niðurundir(legðist)4undan høvuðsverðinum(áðrenn ein skal eta e-t annað),fá tær breyð niðurundir;hann beyð honum eitt glas av brennivíni niðurundir;sbr.undirkast5koma niðurundirkoma illa fyrit.d.fíggjarligael.sálarliga,koma fíggjarliga niðurundir
niðurundirkast	(sj.)niðurundirskot
niðurundirkomin	1komin í neyð, illa fyrikomin,fíggjarliga niðurundirkomin;niðurundirkomin fátækafólk;niðurundirkomin í svøvni(av langari vøku)2á fallandi føti, fallin í órøkt,niðurundirkomin garður
niðurundirskot	(sj.)undirkast,buka sær nakrar seiðir til niðurundirskot
niðurúr	niður úrel.undan e-m,hatta hongur niðurúr;fara niðurúr(úr dansiringinum);hann lá so illa niðurúr(um vind)hann lá niður úr berginum
niðurvallaður	undir í gróðri, niðurgrógvin,ein niðurvallað urð
niðurvið	sífrysta
niðurvisin	við visaligum beinum
niðuryvir	(úr erva) niður yvir e-t,mjørkin hongur niðuryvir(liggur langt oman);sirma niðuryvir;mjólkgreytur við siropi niðuryvir(omaná);dimmið setur niðuryvir(kemur á)
nigil	(dj.)ormvera hjá grindalokki;sbr.hoynigil
nikk1	tað at nikka(við høvdinum),hann gjørdi eitt nikk
nikk2	h9í osb.hvørt nikk og pikkalt samalt
nikka	benda høvdið kvikliga eitt sindur framyvir og uppaftur(t.d. í heilsan, viðhaldi, tilstuðling),bukka 2(2)
nikkla	leggja við nikkli
nikkul	(evnafr.)hart silvurhvítt metal(frumevni, teknNi)
nikkur	1spanskur (2),hann var so nikkur, hann vildi ikki hava drekka2smáligur, neyvur (2),teir eru so nikkir at krevja pengar3prippin,tú ert so nikkur, tað talast ikki við teg
niklasarmessa	6. desember
nikotin	eiturevni í tubbaki
nilk	1píningur (1),eitt nilk;hon, sum er eitt sovorðið nilk og so ússalig2eitt lítið sindur,lat meg fáa eitt lítið nilk av hasi kakuni;eg havi okkurt nilk av sukri aftur við drekkanum
nilkutur	(sj.)pinkulítil, visaligur
nillur	(stb.)kynslimur á dreingi
nilta	1pilkael.klípa eitt sindur burtur av mati(millum máltíðir),nilta burtur av matinum2smáarga, erta(við at taka íel.nerta við e-n),píska 1(2)
nilva	1nema við2nilvast(um fisk)vera framvið(men ikki taka)nippa 2,her nilvast okkurt framvið
nimmursdagur	k42:sankta nimmursdagurdagur ið ongantíð kemur;(í tátti)sankta nimmursdag skal brúdleypið vera(aldri)
nina	1sita undir og rugga (barni), nana,nina barni;nina og nana2(barn.)sita
nipil	lítil klumpur av ull ið loypur saman av lógv 3 á ullintum plaggi, nappur (1),niplar eru í ullini;hvør nipil av rættullini varð væl og virðiliga tikin upp(ullarlagdur)
nipin	illa við, lotur (1), nakkalangur, snópin, niðursmokkaður (3),nipin sum sleikt greytarsneisógvuliga nipin
nipisligur	snópisligur,hatta var nipisligt;hj-liga
nipla1	(dimmur) blettur í ull(Sv)
nipla2	(um plagg)vera niplutur,troyggjan niplar so illa
niplingur	(Nóls.)lítil drýlur(helst til børn),pinka (2)
niplutur	(t.d. um plagg)við niplum á,troyggjan er so niplut
nippa1	(stb.)lítil ullarlagdur, ullarnispa
nippa2	rykkja spakuliga (í e-t),fiskurin nippaði í(tók varliga í agnið);fiskurin nippir í;onkur nipti í skjúrtið aftanífrá;nøkur børn vórðu nippað burturúr(dansinum)
nippari	lítil tong(við fjaðrandi ørmum)[da.pincet]
nippil	stuttur og klænur rørstubbi við skrúvugangi uttan(t.d. til at skoyta rør við)
nisp	nispa;sms. t.d.æl-
nispa	lítil ullarlagdur, nisp, ullarnispa, ullarnípa,tá ið vit leitaðu eftir lesull, kundu vit siga: tak hasa nispuna;sms. t.d.mýri-
nispaull	(Sa.)ull sum liggur í nispumel.smáum lagdum,tað var bara nispaull at finna, eingin pesja
nissa1	(fólktr.)vættur ið heldur til nær menniskjumt.d.í úthúsum(hildin at vera lítil gráklæddur maður í reyðari topphúgvu og við skeggi),jólamaður (1)
nissa2	hava atsmakk,spikið (tvøstið) nissar eitt sindur(nissur gongur at)
nissaroykur	illramur roykur ið gongur at e-m(av fiski, hundio.tíl.)
nissur1	1atsmakkur,nissur gongur at kjøtinum2illramur roykur, herskin luktur;sms. t.d.sjó-,snyk-
nissur2	nissa 1(Sv)
-nit	síill-
nit	1(á leypi)oki sum botnurin liggur niður á, botnsakastuðul, botnsaki2(stb.)tappur á leypsrim(ið gongur inn í stuðul (6))3bithorn (1)4(gl.)stelling (1);sms. t.d.ill-
niti	nit
nitra	1egg av lús,nitrur í høvdinum2stutt aks(Sv)
nitrat	(evnafr.)salt av salpetursýru;sms. t.d.silvur-
nitrukambur	lúsakambur, fínkambur(Sv)
nivlungar	(søg.)ættmenn Júka kongs, júkungar,Sjúrðarkvæðini hava evni sítt úr samgermanska sagnaringinum um nivlungar
ní	(kvæð.)níggju,drukku og dansaðu í dagar ní
níð	háð, spott
níða	s3(kvæð.)í osb.níða á e-nfremja níðingsverk móti e-m, leypa á og drepa e-n óvápnaðan
níðingsbýti	neyvt býti,nú havi eg gjørt níðingsbýti, segði maðurin, skar stórseiðin í triðingar(seiðurin var stakur eftir)
níðingsgerð	gerð ið er e-m til lítlan sóma, skammleys, vanærulig gerð, níðingsverk
níðingsligur	vanæruligur, mannminkandi, skammiligur, ósømiligur
níðingsmein	(kvæð.)mein framt við níðingsgerð,hann vann honum níðingsmein
níðingsskapur	vanæruligur, ómansligur atburður
níðingsverk	níðingsgerð
níðingur	fólk ið fremur ráa og skammiliga misgerð;sms. t.d.orð-
níðskur	natin, pírin,níðskur og natin;níðskur sum Nábal;sbr.nábalsklógv
níðstong	(søg.)stong viðt.d.rossahøvdi reist til at háða fígginda
níga	1benda høvdið framyvir(t.d. í eyðmýkt),nikka, bukka 2,(skaldsk.)eg nígi tí niður í bøn til tín, Gud;níga fyri e-mheilsa við at níga;teir nigu djúpt fyri honum2hokna (niður), falla, detta,(kvæð.)fyrr enn hin snari Sjúrður honum á herðar neig
nígginieyga	(fisk.)súgari
níggju	talið 9, í rómv. tølum IX, ix
níggjufaldur	níggju ferðir so nógvur,níggjufalt hurrá
níggjundi	raðtal av níggju, nummar níggju
níggju(r)	(kortsp.)kortablað við talinum níggju,eini níggju(r);níggjuni
níggjutal	talið 9
níggjuti	níti, hálvfems
nípa1	(stn.)bratt og høgt (for)berg ið stendur framúrel.stingur uppúr(hellir eitt sindur útyvir í erva),núpur (1)
nípa2	ullarnípa
nípa3	1lúta (við høvdinum),hesturin stendur og nípir;stendur og nípir sum ein fíllur2(flutt m.)sita og tiga og hyggja niður fyri seg, vera loturel.hámur, vera illa við, lúnast,hann stóð bara og nípti;hatta situr bara og nípir
nísa	(dj.)lítil tannhvalur(Phocaena phocaena),(kvæð.)tá kom nísa nulvandi;gilla nísuroysnisleikur(hanga øvutur undir bita (5) og hava seg uppundir)
níst	tað at nísta, gníst, hvin,hann skar í eitt níst
nísta	hvína snjalt og ønskriliga, gnísta,barnið nístir og grætur
nístan	tað at nísta, gnístan, hvin, skríggjan
nístibløðra	bløðra (5) ið nístir tá ið luftin verður slept úr
nístipípa	hálmstrá (við rivu) til at blása ígjøgnum, pípa av hálmstrái(sum børn spæla við);sbr.látipípa
