R	rómv. taltekn fyri 80
ríða2	(óregl.)->rýða
ríðing	tað at ríða (1), reið 1
ríðingarbreyt	breyt 1(1) at ríða (1) á
ríðingarfelag	felag fyri reiðfólk
ríðingarhestur	hestur at ríða á, reiðrarhestur, gangari (1)
ríðingarmaður	reiðmaður, hestmaður,ríðingarmenn úr býnum savnaðust í túninum
ríðingarross	ross at ríða á, ríðingarhestur
ríflutur	foyrutur, ruflutur, óslættur
ríggin	1serur, tvørur, lúnutur, ríggjutur2langmintur, íminnin3við ørilsi, ørin, ørvitisligur,lítið bar til at hugsa, eg var so ríggin í høvdinum;ríggin á beinunum(óstøðugur, vinglutur);sms. t.d.høvuð-,lang-
ríggj	(stb.)rimpilsi
-ríggj	síkava-
ríggja1	1sjúka hjá seyði(við stívleika í hálsinum);sbr.mønudráttur2ríggjurlúnur,í dag eru tær rættu ríggjurnar á honum3ær ið legst av haga og ongastaðni heftist, fjakk (3),hatta er tann ríggjan, ið er4fólk ið ongantíð støðast, farumkring
ríggja2	fyrireika, búgva út, gera til,ríggja til;hann ríggjaði til at skjóta;tá ið brimið stóð í grasið, ríggjaði hann fyri útróðri;ríggjastbúgvast,nú eru teir farnir at ríggjast til at fara
ríggjuskøltur	ein ið er ríggin, lúnuskøltur
ríggjutur	ríggin,hon kennir seg eitt sindur ríggjuta í høvdinum
ríka	gera ríkanel.ríkari,við skaldsøgum sínum hevur hann ríkað føroyskar bókmentir;ríka uppsavna (e-m) nógv ríkidømi;ríka seg upp;hann hevur ríkað seg upp av krígnum
ríkamannareið	gandaørindi til at blíðka reiði teirra stóru,hann kann ríkamannareiðhann eigur tokka hjá teimum ríku og stóru
ríkamannareiði	ríkamannareið(Hmb. Savn18)
ríkamannareiggj	(stb.)kunna ríkamannareiggjhava góða fiskieydnu
ríkan	dýran, strangliga,leggja e-m ríkan viðleggja e-m dýranel.eina við, heita inniliga á e-n
ríkdómur	ríkidømi
ríki	1land 1(3) (við fullveldi), státur,(kvæð.)hvør skal nú fyri ríki ráða2vald, ráð (8), ræði, harradømi,taka við ríki;sms. t.d.heims-,himmi-,jarðar-,kongs-,oyggja-,sambands-,tjóð-
ríkidømi	1tað at vera ríkurel.eiga (nógvar) ognir, eyður 1, fæ (2), skattur (2)2nøgd (av e-m)
ríkiligur	ríviligur, ríkligur;hj-liga
ríkisarvingi	arvingi til ríki(keisara-el.kongadømi)
ríkisákæri	(løgfr.)embætismaður á odda fyri almennum ákæruvaldi, evsti almenni ákæri, ríkissóknari
ríkisár	ár 2el.áramál ið kongur situr við ræði, stjórnarár,á sjeynda ríkisári sínum
ríkisborgararættur	(løgfr.)rættur til borgaraskap í einum ríki
ríkisborgaraskapur	tað at vera (løgligur) borgari í landiel.ríki, borgaraskapur (1) í landiel.ríki
ríkisborgari	(løgfr.)ein ið hevur borgararætt í ríki
ríkisdagsmaður	(søg.)tingmaður á danska ríkisdegnum,føroysku ríkisdagsmenninir vóru tveir í tali
ríkisdagsseta	(søg.)tíðin tá ið ríkisdagurin er saman
ríkisdagur	1(søg.)onnur tingdeildin í danska lóggávutinginum(frá 1849-1953);sbr.landsting2(stjm.)lóggávuting Svøríkis
ríkisdáli	(søg.)danskur silvurmyntur(við skiftandi virði og í 1873 umskiftur við tvær krónur)
ríkiseind	ríki sum ein eindel.heild, tað ið sameinir eitt ríki,hann er ikki trúgvur móti ríkiseindini
ríkisfelagsskapur	felagsskapur av londum í einum ríki, lond við somu grundlóg,Føroyar og Grønland eru í ríkisfelagsskapi við Danmørk
ríkisforseti	forseti (1) fyri ríki
ríkisfundur	fundur millum danska forsætisráðharran, grønlendska landsstýrisformannin og løgmann
ríkisgóðkendur	viðurkendur av ríkinum, ríkisløggildur,ríkisgóðkendur grannskoðari
ríkiskassi	peningur til útreiðslur ríkisins,ríkiskassin ber kostnaðin
ríkiskirkja	(kirkj.)kirkja fyrisitin og kostað av ríkinum;sbr.fólkakirkja
ríkiskona	(í skjaldri)rík kona,sum aðrar rádnar ríkiskonur
ríkiskroppur	sera múgvandi maður, ríkmenni,ríkiskroppar, ið liggja inni við vørumongdunum
ríkisleiðari	(stjm.)ein ið situr við hægsta stjórnarvaldi í einum ríki,ríkisleiðarar hittast á fundi
ríkislóg	(løgfr.)fólkatingslóg ið kann verða sett í gildi í Føroyum(eftir tilmæli frá landsstýri og løgtingi)
ríkislógartilmæli	(løgfr.)tilmæli(frá løgtingiel.landsstýri)til donsku stjórnina um at ríkislóg verður sett í gildi í Føroyum
ríkisløggildur	løggildur av ríkinum, ríkisgóðkendur
ríkismaður	ríkmaður, ríkmenni, ríkiskroppur
ríkismál	1(málfr.)málsnið viðurkent sum alment mál í einum landiel.ríki,móts.málføri (1)2(málfr.)eldri heiti á norskum bókmáli (1),móts.landsmál (2)3(stjm.)málel.viðurskifti viðv. ríkinum,uttanríkismál eru ríkismál, ið danska stjórnin formliga hevur ábyrgdina av
ríkisogn	ogn hjá ríkinum, almenn ogn
ríkispartur	landel.landspartur í ríki
ríkisráð	1stjórnarfundur ið kongurel.drotning situr fyri2stjórnarráð
ríkisrættarligur	(løgfr.)viðv. ríkisrætti
ríkisrættarmál	(løgfr.)sakarmál móti stjórnarleiðara,fólkið avger, um ríkisrættarmál verður reist ímóti Bill Clinton forseta
ríkisrættur	(løgfr.)1lóggáva og rættarreglur um stjórnarskipan, fyrisitingo.tíl.í einum ríki2dómstólur settur til at døma í rættarmáli móti ráðharrael.stjórnarleiðara
ríkissamband	samband (1) millum lond í einum ríki
ríkissjúkrahús	meginsjúkrahús í einum ríki(t.d.nýtt til útbúgvingar)
ríkisskattur	skattur til ríkið
ríkisskjalasavn	meginskjalasavn í ríki
ríkisskjalavørður	ovasti skjalavørður á ríkisskjalasavni
ríkisskuld	skuld hjá ríki, skuld ið ríki heftir fyri
ríkissóknari	(løgfr.)almennur ákæri, ríkisákæri
ríkisstjóri	stjórnari fyri ríki(t.d.kongurel.forseti)
ríkisstjórn	1fólk ið stjórna ríki, ráðharrar2tað at stjórna ríki
ríkisstudningur	studningur (1) frá ríkinum
ríkisstuðul	ríkisstudningur, ríkisstyrkur
ríkisstyrkur	styrkur úr ríkiskassa, ríkisstudningur
ríkisstýri	ríkisstjórn
ríkisumboð	embætiel.skrivstova hjá ríkisumboðsmanni
ríkisumboðsmaður	umboðsmaður danska ríkisins(í Føroyum og Grønlandi)
ríkisvald	vald ríkis
ríkisveiting	stuðul sum Danmark letur Føroyum og Grønlandi á hvørjum ári, blokkur (6)
ríkj	ríkjan,eitt doyggjandi ríkj
ríkja1	1hvína, rína, knarra (1), braka, grenja (1)(t.d. um hongsl, skógvo.tíl.),hurðin ríkir;portrið ríkti á hongslunum;tað ríkir fyri bróstinumein andar við pípandi ljóði, tað grælar(t.d. av slími)2knarra (2), grenja (2),ríkja sum ein gomul hjalshurð,síhjalshurð;hann ríkir um alt, ið til kann vera(brúkar seg)3(um ávísar fuglar)láta hurrandi,lundarnir hoyrdust liggja og ríkja inni í holum sínum;akurskritt ríkir fyri ófrættum;her situr eitt og ríkir sum eitt akurskritt(um eitt ið ongantíð tegir)
ríkja2	ráða (fyri borgum), stýra, stjórna,á somu tíð, sum Tróndur gamli ríkti í Gøtu;andi hansara ríkir enn á staðnum
ríkjan	tað at ríkja 1(1), knark, knarr (1),ríkjan frá einum vogni
ríkjasamband	(stjm.)samband av fleiri ríkjum[en.confederation];sbr.samveldi
ríkligur	ríkiligur;hj-liga
ríkmaður	ríkur maður, ríkismaður
ríkmansligur	líkurel.sum sømir ríkmanni;hj-liga
ríkmanssonur	sonur ríkmann
ríkmenni	ríkur maður, ríkiskroppur,tað váta slagið, ið ger fátækar lýs til sonn ríkmenni
ríkur	1ið eigur nógv, ið hevur ríkiligt av e-m, múgvandi, múgvin,vera ríkur at, tilel.við e-m;stórættaður maður og ríkur at fæ;Ábraham ríkur sum fáur var til fólk og fæ og jarðir;(orðt.)ríkir bøndur oksar keypa, mangt má feitt um fátækan ríkur,síleypa2(sj.,kvæð.)mektigur, mætur,ríkir menn og reystir3dýrabarur, dýrmætur, virðismikil,nú er rændur frá mær ríkastur av lutum;mítt føðiland, tú ríkt ert fyri mær;sms. t.d.ást-,barn-,evna-,fugla-,gávu-,hendinga-,kenslu-,læru-,minnis-,orða-,prát-,ráða-,tíðinda-,ullar-,vón-
ríligur	1veikur 2, skroypiligur(Sv)2illur í sær, ófridligur, harðligur,mangur hevur verið heldur ríligur ungur;hon var nakað rílig(í ringum lag, ilsk);hj-liga
rím1	fryst døgg, rímfrost, turrafrost, jarðfrost,rím á jørðini
rím2	(bókm.)1ljóðligt samsvar millum tveyel.fleiri orð, rímorð,bera upp á rím:"náttin" og "sprottin" bera upp á rím;bera í rímríma;tey eru skaldaorð, tó at tey ikki bera í rím;sláa í rím2ørindiel.yrking ið ber upp á rím, ríma 1(2);sms. t.d.enda-,hálv-,inn-,stav-
ríma1	1kvæði (1), vísa 1,eina veit eg rímuna;nú fellur ríman(endar)2yrking upp á rím, songur (2);sms. t.d.barna-
ríma2	1fáa í lag ljóðligt samsvar millum ávís orð(t.d. í yrking),fáa at bera upp á rím,rímaðursum ber upp á rím;rímað yrking2vera í ljóðligum samsvari, bera upp á rím,orðini "orð" og "borð" ríma3seta saman í yrking, yrkja,(kvæð.)ríma um reystar dreingir;hann dugdi so ógvuliga væl at ríma4samsvara, sampakka,hetta rímar væl saman við, at húsabyggingin var lítil í Føroyum tá;tað sýnist at ríma illa, at teir skulu hava verið ein og sami maður;sms. t.d.sam-
rímari	(kvæð.)kvæðayrkjari, vísuskald
rímbløðka	(plfr.)slekt í rímbløðkuætt(Atriplex),rímbløðka er blágrøn, holdmikil og sevjumikil;sms. t.d.fjøru-
rímbløðkuætt	(plfr.)ætt av hulfræingum ið eru tvínælingar(Chenopodiaceae)
rímbræv	(bókm.)bræv í bundnum máli,myndskrýdd rímbrøv
rímfrost	rím 1, turrafrost, jarðfrost
rímhvítur	taktur við rími 1,rímhvít fjøll
rímiligur	1hóskandi, hampiligur (2), sámiligur,í rímiligari tíð;tað er rímiligt;eitt rímiligt krav(natúrligt)2sjálvsagdur, vituligur,men rímiligt, avgerðin er tykkara;rímiligt tað(eyðvitað);hj-liga;sms. t.d.ó-
rímleysur	ið ikki ber upp á rím, órímaður,rímleys yrking;yrkja rímleyst
rímneyð	neyðel.trot á (nýtiligum) rímorðum,týðingarnar eru við hvørt heldur tungfloygdar av rímneyð
rímorð	orð ið ber upp á rím við (ávíst) annað orð,honum tróta ikki rímorðini;talið á nýtiligum rímorðum er avmarkað
rímtussi	(gudal.,fólktr.)tussiel.jøtun sum heldur til í kulda og kava móti norðri(hildin vera atvold til storm og frost)
Rín	stórá vestarlaga í Týsklandi,(kvæð.)nú skal lata brúnna gera yvir ánna Rín[tý.der Rhein]
rína1	virka, hava árin, hava ávirkan, gera (e-m) mun, gera um seg,rína á (e-nel.e-m);væl rínur á;einki rínur á, alt ið prædikað verður;bakteriur, sum einki rínur á;maturin rínur á honum(gagnast honum so at hann fer fram);hetta er grasmikið og rínur væl á oksarnar;rína viðgera mun, ávirka,aftan á 1930 fer heimskreppan reiðiliga at rína við í Føroyum;skarn rínur ikki við;vatn rínur ikki við frískan fugl;ikki lata við seg rína(við seg koma, á sær kennast)
rína2	1hvína, nísta, gnísta, ýla,rína og hvína1gráta og illa láta,hann rein og hvein sum hartaður hundur2ríkja 1, græla,tað rínur og hvínur í henni, tá ið hon andar;teir lupu upp rínandi og eymkandi seg, sum um teir høvdu fingið knívin2geva seg (illa), kvarta, klukka 3(3), hálvgráta,ikki batti at ringla, barnið rein líka illa3(um svín)geva frá sær hvølt, grovt skurrandi ljóð við (aftur og aftur) at lata luft seta út ígjøgnum nasagluggarnar
rínarlogi	(kvæð.)sírúnarlogi
rínarmálmur	(kvæð.)sírúnarmálmur
rínskur	áel.av økinum kring Rín,rínskt vín
rípa1	strípa (1), ál (4), lind 2(1), teinur (7),reyðar rípurbruni í gróðrarvatnsæðr(lymfangitis);sms. t.d.ljós-
rípa2	gera ríputan, strípa 2(Sv)
rípusalt	hvít skón á bróstum (3)(serst. av rekaviði)
rípuskel	(dj.)1skeldýr við hjartaskapaðari skel(Cardium)2(stb.)jákupsskel
ríputur	við rípum, stríputur
rís1	(plfr.)korn av rísplantu, rísgrýn
rís2	(kvæð.)greinar 1(1), kjarr 1
rísa	1fara úr lægri í hægri støðu, reisast, fara á føtur,rísa tíðligafara tíðliga upp á morgni;rísael.rísa upp1fara upp, fara fram,árla risintíðliga uppi á morgni;(tilt.)tann, ið árla upp rísur, er um mangt vísurel.tann, ið tíðliga rís, verður mikið vís;Jesus reis upp frá deyðum(kom aftur til lívs)2(um sólina)renna (upp), koma upp,sólin rísur;árla ið sól upp reis;rísa upp ímóti e-mgera uppreistur;tað rísur upp av helluflagið losnar av helluni(í grunnum bø)tað rísur móti brekku(verður brattari at ganga upp ímóti)2(um sjógv)gerast óslættur, froyða, froysa (1), bróta (2)(av vindi og streymi),sjógvurin rísur;tað rísur á boðanum;tað rísur eitt sindur á sjónum;(kvæð.)aldan reis úr hvørji ætt;tað rísur á bylgjuni;hann rísur upp undir ættinatað brimar sum fyriboðan um nógvan vind av landi;sbr.uppundirris3í osb.ikki rísa undir (e-m)1ikki orka at bera (e-t tungt),tú rísur ikki undir hasi byrðini2ikki megna e-t, ikki hava ráð,eingin rísur undir at fara so dýra ferð
rísakur	akur við rísi, rísvelta
rísakustur	k6í osb.hárið sum ein rísakustur(frísut, ógreitt)
rísakveistur	(kvæð.)kveistur (1) knýttur av rísi 2,hann tók upp ein rísakveistur, sló hana á kinn
rísalamang	dessert av (køldum) rísgreyti rørdur saman við róma og við knústum mandlum íoftaetin saman við kirsuberjasaft
rísgreytur	greytur av rísgrýnum
rísgrýn	grýn av rísi 1
rísin	1(serst. um hár, ull)stríður (1), ývin, hvassur,rísin ull;klæðini vóru grov av rísnari ull;brúnahárini høvdu altíð verið síð og rísin;sítt og rísið hár;rísið sum skøtubak(hvast, óslætt)2(um sjógv)óslættur (2), gjálvutur,strongurin er rísin í dag3(heldur) illur, hálvillur, ilskur,tá gjørdist hann rísin;á fundinum hevði verið rísin orðadráttur;konan var rísin og segði tvørt nei4(um við)óslættur,rísin viðurviður ið er ringur at hølva(hann "ullast" fyri høvlinum);sms. t.d.ull-
rísinbløðkuætt	(plfr.)ætt av hulfræingum ið eru tvínælingar(Boraginaceae)
rísinhærdur	(plfr.)við rísnum hárum,bløðini eru rísinhærd
rísinskinn	garvað skinn við rísnari rangu út[da.ruskind]
rísla	skriva skundisliga, krutla (1), klóra 2(5), maksa, rusla,e-t er ríslað í steinin
ríslutur	(sj.)óslættur (1), rúðrutur, ruflutur,í tí rísluta beninum
rísmjøl	mjøl av rísi 1, malin rísgrýn
rísmjølsgreytur	greytur av rísmjøli
rísna	1gerast rísin (3), gerast illurel.óður,andlitið rísnaði;hin gamla rísnar meir og meir2(um sjógv)gerast rísin (2)el.óslættur,sjógvurin rísnar
rísplanta	(plfr.)slag av uppr. eysturlendskari kornplantu(Oryza sativa)
rísullaður	(serst. um seyð)við rísnari ull
rísutur	(sj.)rísin (3),eitt gamalt situr rísut og illpjøskut við eldin
rísvellingur	vellingur av rísgrýnum
rísvelta	velta við rísi, rísakur
ríva1	amboð(skaft við høvdi við tindum)til at raka 2(1) við(hoyggjo.tíl.),hoyríva
ríva2	1skræða 2(1), ála (sundur),ríva gularøtur, osto.s.fr.(petta sundur);ríva høvdskræða táknur úr fiskahøvdum;ríva í segeta grammliga, skræðael.kíka í seg,kúgvin legðist at ríva í seg í eini veltu(skræða í seg);rivin og skræddurí skræddum klæðum;eg ætli mær ikki at ríva teg úr haminum eftir hasum krónunum(noyða teg);hann vildi ríva seg sundur av blíðskapi(gjørdi nógv av, visti ikki hvussu blíður hann skuldi vera);ríva bark(grava),eg ætli at ríva mær nakrar børkur;tað rívur leyst á fjørðinum(glaðar 2(2))2rykkja, skrykkja,ríva upp við rót;ríva frá særgera (e-t) skjótt liðugt;ríva oman avskræðael.kasta av;mosin varð rivin omanav;ríva oman av sær í svøvni(kasta dýnuna)3skilja (1), pilka (1),ríva (turran) seiðel.fisk(reinska fyri bein)(til børn)4karða fyrstu ferð, blanda (1),tá ið nú nappingin er frá hondini, verður farið at ríva;fyrst varð ullin blandað, síðan rivin við grovkørðum og síðan karðað við fínkørðum;ríva ullkarða við grovkørðum;teir ungu kundu ríva, tað høvdu teir grovkarðar til5fara av vindi(um hús, tekju o.tíl.),húsini rivu;takið reiv;tað reiv so illa har á landnyrðingi(var harðført);tað rívurvindurin er so nógvur at hann tekur tekjur av húsumviðfs/hjríva av:neytini eru komin inn á bøin, og tey ríva alla veltuna av(rannvæla);ríva burturúrfletta deyðseyða;ríva í(um veður)lýsa í, klárna, glotta,hann rívur í;hann fór at ríva í á Kirkjubøreyni;nú er írivið;ríva niður1taka niður,ríva húsini niður;úthúsið er niðurrivið2(stb.)rista kyllingar út3ríva niður á fólk(tala ilt um, spilla út);ríva sundurtaka sundur,tá rívur hann eyguni sundur og gløir dølskur fram fyri seg;ríva umtaka fisk úr salti og leggja aftur við minni salti ímillum,skiparin fór í lastina at ríva um;nú er umrivið;ríva út1rista út,teir kundu taka hondina í at gera sátubørn og ríva út um morgnarnar;tá nulvað varð, tornaði hógvurin so væl, so tá rivið varð út aftur, tornaði bæði uppeftir og niðureftir2avrøkja, ræna,ríva ein fugl út3í osb.ríva út úr særsiga sum er, siga bart útríva seg1skræða seg, brúka seg,ríva seg sum ráur kræklingur2ríva seg ílata seg í við skund, skræða seg í;ríva seg í einar skógvar;ríva seg í klæðini;rív teg nú í klæðini;rívast:rívast og skræðast:børnini rívast og skræðast(illsemjast so at tey verða áføst)(um óflættilig børn)
rívan	heilt nógv, ríkiliga, ivaleysa, nóg mikið,teir høvdu rívan til av øli(ov mikið);í fyrstuni gekk rívan at selja(heilt væl);ein kúgv skal kunna geva rívan av mjólk;taka rívan til1taka heilt nógv (av e-m)2nýta stór orð, taka dýran til, bannast, svørja
rívandi	ágrýtin, íðin,ein rívandi ond;sms. t.d.eygna-
ríviligur	ríkiligur, ivaleysur (2), nóg mikil;hj-liga,hann skonkti ríviliga
rívin	(stb.)(um seyð)grammur at eta,slagið er ránskent og rívið, tað bæði rótbítur og loysir svørðin
ríving	1tað at ríva (niður), niðurríving,húsið er dømt til rívingar2tað at e-t(t.d.hús, tekja)rívur,tekjan er nýggj, so nú er eingin vandi fyri ríving;sbr.ríva 2(5)
rívingarkarðar	grovkarðar,ullin varð blandað, síðan rivin við rívingarkørðum og so karðað
rívitunga	(dj.)(át.d.snigli)rísin og hvøss tunga(Radula),flest lindýr hava hvassa tungu, sum er nevnd rívitunga
rívligur	ríviligur;hj-liga,hann tók rívliga til orðanna
rívubarn	(stb.)klúkur (1)(av grasi)
rívugras	(plfr.)krøkja 1
rívuhøvd	høvd 2(4) á rívu (ið tindarnir standa í)
rívuklúkur	(Suð.)klúkur (1)(gjørdur við rívu)
rívuskaft	skaft á rívu
rívutindur	tindur (3) á rívu
rjóða	(kvæð.)lita reyðan, gera blóðugan, blóðdálka, blóðga,ið væl kann randir rjóða(blóðga skildir)(um mætan stríðsmann);sámir ei mín búna brand at rjóða í kvinnu droyra;teir rjóða saman droyrablanda blóð(um fostbrøður)
rjómi	(gl.,Suð.)rómi
rjóta	(gl.)snorka, róta 1(1), rýta
rjúva	(kvæð.)(bert varðveitt í navnhátti)ríva 2(1), bróta,vit lótu tær hurðar rjúva;teir løgdust tann múr at rjúva
roddi	1stórt og prútt veðurlamb2stórur fiskur, toskur3pill (1)
roddur	roddi (1)
rodna	gerast reyður,nú fara skýggini at rodna(liðið á dagin, brátt skýmt);hann rodnaði av skomm(gjørdist reyður í andliti);eg bæði ornaði og rodnaði;(kvæð.)hon rodnaði sum ein droyri;rodna uppgerast alreyður í andliti;hon rodnar upp, bara onkur spyr hana;rodna upp um bæði oyru
roð	1seyðaskinn sum ullin er latin av(rotaðel.rakað,t.d.til at seyma rotuskógvar av),serst.roturoð;teir fingu ikki fjaltel.barkað roðiðteir fiskaðu so lítið at tað var ikki út yvir tiljurnar í bátinum(el.so mikið í vídd sum eitt roð)2staður á seyðaskinni sum ullin er farin av,summir royttu ikki búkullina, teir vildu ikki at ærin skuldi leggja seg niður á jørðina á tað bera roð3(sj.)seyðaskinn(við ullini),(orðt.)eyðkendur er úlvur í roði(Sv);sbr.seyðaklæði4(gl.)fiskaskræða,er tí vesalur veikur, at hann etur royggið fyri roðið - best er tað, næst briminum er, segði huldumaðurin;sms. t.d.avfara-,eggja-,leka-,raka-,reyvar-,rotu-,sáld-,setu-,skjáta-,stropa-
roða	1lita reyðan, bera reyðan lit á,(skaldsk.)roðað hevur sand og sjógv mong ein grind á Miðvágslógv;oyggin er roðað í setandi sól;tað roðar fyri sólroði kemur upp á luftina av rísandi sól;dagur roðar í eystri(lýsir fyri degi);sólin roðar í fjøllfjøllini rodna av sólini ið kemur upp2smyrja, gníggja,roða drýlbera egg, smørel.vatn á nýbakaðan drýl;køkan varð roðað við einum eggjareyða;seiðalivur roðað í mjøli3trýsta, válka,hann roðaði hann niður í móruna;hann skuldi verið roðaður í gólviðel.niður;hann roðaði meg til(legði meg niður og fór illa við mær);smálombini roða sær í moldini(skrubbael.velta sær);roðast[ru:wast]berjast, beistast,dreingirnir roðaðust á jørðini
roðamaðkur	(dj.)slag av smáum reyðmaðki(Allolobophora rosea)
roðál	álel.reim av roð,dreingir brúktu eina roðál til sleingju;sbr.skinnál,vevlingur
roðbjóri	roðlepi
roðbjølgur	fingurbjølgur av roð
roðbrøkur	roðbuksur
roðbuksuband	band til at halda roðbuksum uppi við(drigið gjøgnum kvarðan)
roðbuksubrók	brók á roðbuksum
roðbuksur	buksur av roð, roðbrøkur(gl. sjóklæði)
roðbuksuseymur	(handarb.)serstakur seymur (1) á roðbuksum
roðbuksuskarvur	skotin æða(ið er friðað),fjaldt.d.í roðbuksum
roðhít	hít (1) av roð
roðhosa	(sjóm.)hosa av roð,til um aldaskiftið sóust menn hava roðstivlar ella roðhosur á fiskislupp; roðhosur eru gamlar í Føroyum
roði	1reyður litur, reydligur farri(á holdiel.á luftiniel.fjøllum av rísandiel.setandi sól),roði á kinnumkinnaroði;(kvæð.)síðla var um aftanin, roðin fellur á;tá ið roðin á morgni kemur upp á himmalin og vinnur vesturum, verður dagurin góður;roðin datt aftur í havið2(plfr.)moldroði, moldaks(soppasjúka í korni),tvinnanda vóru kornsjúkurnar: svartur og reyður roði;svarti roði fór sum ein bruni um kornvelturnar og oyddi vársins strev(Sv Indb.1232);sms. t.d.kinn(a)-,kvøld-,morgun-,sólar-,skamm(ar)-,vestur-
roðkloddi	roðlepi,heldur tú, eg fái ein roðklodda frá tær?
roðklæddur	í roðklæðum,allir menn sótu roðklæddir og vóru í hettu og vøttum
roðklæða	s3:roðklæða seglata seg í roðklæði
roðklæði(r)	(gl.)klæði av roð (roðbuksur og -stúka) at hava uttan yvir øðrum klæðum(serst. á báti)
roðlepi	lepi av roð, roðkloddi
roðsáld	sáld við gataðum roð
roðseta	(stb.)seturoð, reyvarroð(á roðbuksum)
roðskógvur	(stb.)rotu(roð)skógvur
roðsla	slím og skrubb uttan á fiskaskræðu;sírostla,reistla
roðsluroykur	(ringur) roykur (2) av roðslu,roðsluroykur gekk at honum
roðslutur	skitin í roðslu
roðstivli	(gl.,sjóm.)fótbúni líkur stivla seymaður av roð;sbr.roðhosa
roðstúka	(gl.)búkheilt yvirplagg av roð(nýtt serst. á báti)
roðstúkubulur	(gl.)bulur (4) á roðstúku,øll avdeyðaærroð vórðu rotað, tey vóru so tunn og lin, tey skuldu nýtast til roðstúkubular og inniskógvar
roðstúkufólk	fátækafólk, ognarloysingur(Sv)
roðtroyggja	(gl.)roðstúka
roff	(sj.,stb.)kvett, óvæntaður fongur(t.d.grindel.fiskur),gera eitt roff
rogg	(fisk.,Suð.)royggj
rogn	(fisk.)egg hjá fiski,fiskur gýtir rogn(rygnir);(kvæð.)mitt í rogni kornið eitt;hvør maður átti livrina úr tí fiski, hann dró, eisini rognini;nú taka teir móti rognum(keypa rogn frá bátum);sms. t.d.eyg(n)a-,gýtingar-,lina-,sjó-,tóma-;sbr.sil 1
rognaboppa	lítið rogn
rognabrók	1(stórt) rogn2lítið fólk, tøppur (2)
rognabuppa	rognaboppa,tú ert sum ein lítil rognabuppa(sagt við smádrong fyrst hann er farin í buksur)
rognabyggkorn	(sj.)rognkorn
rognadrýlur	drýlur knoðaður av mjøli og rognum
rognafiskur	(fisk.)fiskur ið fær rogn, kvennfiskur,móts.siljafiskur
rognakalvi	(fisk.)rognkalvi,hann sær út sum ein útgýttur rognakalvi(breiður og tunnur)
rognaknetti	knetti úr rognum við tálg í(kókað)
rognaknívur	(sjóm.)kryvjingarknívur við knøtti á oddinum(til ikki at skala rognini)
rognakorn	(fisk.)rognkorn
rognakøka	(sj.)rognadrýlur
rognfiskur	(fisk.)rognafiskur
rognkalvi	(fisk.)kalvi av honslag
rognkelsi	1(fisk.)tjúkkvaksin fiskur við búkfjaðrum samanvaksnum til soguskál(kvennfiskurin gráur, kallfiskurin reyður)(Cyclopterus lumpus)2bartrog,hatta rognkelsið!;sum eitt rivið rognkelsi(um óvita ið hevur skrætt klæðini),sum eitt rognkelsistuttur, kubbutur;sms.grá-,reyð-,tinda-
rognkilsi	rognkelsi
rognkorn	(fisk.)einstakt kornel.egg í rogni
rok	1tað at e-t rýkur, nógv fok(t.d.av sjógvi),tætt inni í roki og broti undir Hoyvíkshólmi(sjóroki);(skaldsk.)rok og fok og rangvørgt sjógvað;fjørðurin stóð í einum roki2kavarok,hann slær í rokhann fer at kava í nógvum vindi3velturok4rumbul, hurlivasi, deiling, øði, rokan, rokilsi,tá var rok á tingi;á rokinumí øðini;alt í einum rokií einum hurlivasa, eldur í skálanum;mitt í rokinumhar sum harðast leikar á;sms. t.d.áar-,and-,dumbu-,fjaðra-,glaðu-,grinda-,himmal-,jarð-,kava-,mold-,neista-,sam-,sand-,sjó-,snjó-,vatn-,øsku-
roka1	(Suð.)hørð hvirla,tað vóru óførar rokur;(skaldsk.)rokur á firðinum mala;fjørðurin stóð í einari roku
roka2	fylla so at roki kemur á,roka í eyga1(um kvørn)spýggja korn upp gjøgnum eygað(tá ið hon fær ov nógv íkast)2(flutt m.)gera ov nógv av, breggja,hann rokar í eyga;nú rokar í eyga hjá honum;roka uppreypa, breggja(Sv)
rokaband	band at binda niður yvir roka(á torvleypi, hoyleypi og hoybáti)
rokaður	fullur so at roki er á, rokafullur,dekkið var rokað(av fiski);kokkurin setur eina rokaða pannu á borðið;sms.høg-
rokafullur	rokaður, ovfullur
rokaleypur	1leypur við roka,ein rokaleypur av torvi2setingarleypur
rokaleysur	við ongum roka,eg visti einki um, at maður bar torvleyp rokaleysan;reiða rokaleyst
rokaligur	rokmikil, ófriðarligur, buldraligur, rokutur,tað var nakað rokaligt í fyrstuni(at spæla spøl við børnum),her er so rokaligt(av flettingo.tíl.);hon er so rokalig(umripilig)
rokamál	(sj.)rokað mál 2(4)(ílat)
rokan	1rok (4), rokilsi,har var ein rokan og trokan;allastaðni var ein rokan sum í grindadrápi2stórorðað tala, geip(Sv)
rokari	ein ið rokast nógv
rokasettur	við roka,rokasettur leypur
rokasligur	rokaligur
rokast	arbeiða av grimd, strevast, baksast, dríva á,hann rokaðist við snørinum;henda hugdjarva, lívsfúsa gentan, sum rokaðist í fiski á helluni;teir rokast á Norðhavinum(dríva á við útróðri og fáa væl);við rokandi ferðvið nógvari ferð
rokatorv	rokatorvur
rokatorva	long torva til roka á leypi,tær longstu torvurnar vórðu valdar til rokatorvur
rokár	ár 2 tá ið nógvur fiskur er at fáa
