P	rómv. taltekn fyri 400
pjaka	1smáputla, skavastel.fjasast(við e-t smáarbeiði),títt við hondum pjakar;pjakast við e-t;onkur pjakast við at skefta sær nýtt grev upp á hakafótin;nakrar mýs pjakaðust í einum skýmligum króki2vera seinførur í arbeiði, arbeiða spakuliga, gera lítið,pjaka særgeva sær (ov) góðar stundir (við e-m),tað var einki at pjaka sær við
pjakan	tað at pjaka(st), skav,har var nógv pjakan at hoyra í hjallinum
pjakutur	ið gevur sær ov góðar stundir, seinførur, drálutur, diggutur
pjakuvætti	(stb.)pjak (3)
pjank	1tað at pjaka, pjak(Sv)2(stb.)pjak (3),hann er eitt pjank
pjankast	pjaka sær, skavast,hvat pjankast tú við?
pjankus	pjak (3)(Sv)
pjankutur	(stb.)pjakutur
pjask	skav (1),hann legði seg at lurta, um hann ikki hoyrdi okkurt pjask um náttina(FFÆ613)
pjaska	putla, skava (6)(Sv)
pjága	pjaka sær (við e-m),statt ikki og pjága!
pják	(sj.)pjak
pjákutur	(sj.)pjakutur
pjána	(stb.)pjaka sær,sit ikki og pjána(við óvita sum pjakar sær t.d. við borðið)
pját	blikk (1) av messing(Sv)
pjátra	tosa blídliga og alskið(serst. við barn),hjúkla, hugla,pjátra fyriel.uppi yvir e-m;krákan situr og pjátrar fyri unganum;hann pjátrar fyri seyðinum
pjátran	tað at pjátra,tað var ein stákan og pjátran
pjátur	tað at pjátra, pjátran
pjonkur	(Suð.)1e-t ið stendur útúr, vølur, knykil2lítil rundur heyggjur3samanballað knýti,hann hevði ein pjonk undir hondini
pjøg	(sj.)pjakut fólk, pjak (3)
pjøga	(sj.)pjaka, roksast og ikki gerast liðugur(tá ið farast skal avstað),pjøgastfjasast við, fáast við e-t, pjakast
pjøgga	væla um (klæði), bøssa, pjøssa,pjøgga um
pjøggutur	(stb.)fjøggutur
pjøk	kalvamagiel.roðhít sum ílat(Sv)
pjøka	1hjúgla, hugla (um),pjøka um;pjøka og hugla um grøðina;menninir royndu at pjøka um konufólkini;hon gekk og pjøkaðist um alt hetta(putlaðist við, røkti)2savna pjøkar saman,hon pjøkaði saman í eskju og fór síðan av húsum;hon trongdi til okkurt at pjøka seg í
pjøki	samanballað knýti (sum viðføri), lítil viðførisposi, drøltur (1),hann bar ein pjøka í hondini;hann sankar sínar pjøkar saman og so til gongu
pjøkin	tilsíggin, røkin, røkjutur,hann var sera pjøkin um henda bát;hann var bæði røkin og pjøkin;(kvæð.)smáir fuglar pjøknir vóru
pjøkni	tað at vera pjøkin
pjøkur	pjøki
pjøltrutur	(gl.)kloddutur
pjøltur	(gl.)kloddi (1), spjørr
pjøpp	1tvætl, møsn2ein ið møsnar, (eitt) roks
pjøskutur	ófantaliga klæddur, illfjøskutur
pjøssa	1væla um fyribils, bøta leysliga um,tað nyttar so lítið at pjøssa upp á tað, ið gamalt er;hann royndi at pjøssa um smiðjubjølgin, so frægt hann kundi2lata seg í (óneyðuga) nógv klæði(móti veðri),hon var so pjøssað til
pjøssur	(sj.)ein ið er tilpjøssaður, tjúkt ílatin
pjøssutur	nógv og ófantaliga ílatin
plaga	vera vanur, hava til sið,pápi plagdi (at) siga, at...;fuglurin er ikki so feitur, sum hann plagar
plagg	partur av klædnabúna, klædnaplagg;sms. t.d.høvuð-,lín-,yvir-
plaggdúkur	klædnadúkur
plakat	1uppslag(á veggi, steyrao.tíl.)við lýsingel.kunngerð2stór mynd prentað á pappír
planki	tjúkkur ferhyrntur tilgjørdur træstokkur
planta1	(plfr.)vøkstur (3)(urt, runnur, træo.tíl.);sms. t.d.einkyknu-,gagn-,grøði-,kliv-,nýtslu-,sambýlis-,skreyt-,snulti-
planta2	seta niður, gróðurseta
planting	tað at planta
plantuátin	ið etur plantur
plantufiti	fiti vunnin úr plantum
plantufrøði	(plfr.)vísindagrein um plantur, plantulæra (2)(botanica)
plantufrøðiligur	(plfr.)viðv. plantufrøði
plantufrøðingur	(plfr.)ein ið er lærdur í plantufrøði
plantuføði	føði vunnin úr plantum
plantulæra	(plfr.)1plantufrøði2lærubók í plantufrøði
plantuolja	olja vunnin úr plantum
planturíki	h25e:planturíkiðallar plantur í heild,sbr.djóraríki,steinevnaríki
planur	1ætlan, tíðarætlan, arbeiðsætlan,eftir planinum skuldi arbeiðið verið liðugt nú2slætt økit.d.á hvalastøð(har ið hvalur verður skorin upp)
plast-	úr plasti,sms. t.d.-bátur,-evni,-hylki,-ílat,-spann
plast	(evnafr.)manngjørt tilfar úr hámýlskum lívrunnum evni(nýtt til bæði harðar og bleytar lutir),spannir eru nú vanliga úr plasti;beriposar úr plasti
plasta	klæða við plasti,plasta bøkur
plastik	plast
plasting	tað at plasta(t.d. bøkur)
plastposi	posi úr plasti(at bera í, til rusk, frysting o.tíl.)
platin	(evnafr.)dýrt stálgrátt metal, hvítagull(frumevni, teknPt, t.e.platinum)
platonskur	1viðv. heimspeki Platons2óholdbundin,platonskur kærleiki
platt	hj(sj.):platt ikkials ikki,eg vil platt ikki hava hann
plattur1	lágt og flatt undirlag (helstav viði) at flyta vøru á(til gaffiltrukk at flyta),vit vigaðu og pakkaðu saltfisk og løgdu á plattar
plattur2	lí osb. sumtann platta lognblikalogn
plága1	e-t ið plágarel.er til ónáðir, pína 1(1), líðing,Gud sendi eina plágu fyri og aðra eftir;sms. t.d.agna-,landa-,synda-
plága2	gera seg inn á, vera (e-m) til ampa, valda ónáðir, júka, pína 2,ikki plága meg meira!
plágari	ein ið plágarel.júkar
plágumikil	møðsamur, leiðisamur, eykutur,mínir dagar eru plágumiklir og møðsamir
pláss	1øki(við ávísum virksemi el. endamáli),staður,rókin er eitt ógvuliga ringt pláss at koma til2øki (1), rúmd (1),tey hava stórtel.gott pláss(hava stór hús);vit hava lítið pláss(er trongligt);tað er ikki pláss fyri tí(rúmast ikki);tað er gott pláss;rókin var so smøl, at tað var pláss til bara eitt jaður av fugli3stað har ið fólkel.lutir kunnu vera, rúm (1), rúmd,dagstovnurin hevur 40 pláss(ætlaður 40 børnum);trý pláss eru tøk á ellisheiminum4sitipláss, sessur,enn eru nøkur pláss eftir(til framførslu el.tíl.),halda plássvera á sama stað5bygd, staður,hann var ættaður haðan av plássinum6deild 1 við ávísum hentleikum og ávísari tænastu(í skipi, flogfari, toki o.tíl.),fyrsta pláss(besta);annað pláss(næstbesta)7arbeiði, starv,hon fekk pláss á skrivstovu;sms. t.d.atkomu-,áar-,barnagarðs-,bú-,dyrgingar-,epla-,fiska-,fiski-,fleyga-,fugla-,grøði-,hús-,hvílingar-,kyrru-,lunda-,náta-,oyði-,ókyrru-,seiðabergs-,seiða-,smá-,skaða-,spæli-,terra-,út-,vendi-
plásstrot	trot á plássi, ov lítil rúmd, rúmloysi
plássur	(Suð.)pláss,í okra húsi hevur ítrótturin altíð havt ein stóran pláss
plástur	1(lækn.)heftiplástur2salvukendur heilivágur blandaður av ymsum tilfari,Duffa letur plástur gera, klínir upp í bót(RKR Heimaráð113);sms. t.d.bik-,gyllini-
pláta	1e-t tunt og flatt, tunn skiva, flís2grammofonpláta3nummarpláta,løgreglan tók pláturnar av bilinum;sms. t.d.jarn-,kóki-
plátubiti	(stb.)(einføld) kaka bakað á plátu, skapilsi (3)
plátuhúkur	húkur við blankari avlangari plátu á legginum(til at síggjast betur)
plátuhúsi	húsiel.hylki til at goyma plátu (2) í
plátusavn	(tónl.)stórt skipað savn av plátum (2)
plátuspælari	tól ið endurgevur ljóð á grammofonplátum, grammofon
plátuvendari	ein ið leggur plátur (2) á(t.d. í útvarpi el. á diskoteki)
plátuvond	(jarðfr.)ástøði um at jarðarskorpan er samansett av o.u. 15 plátum sum støðugt flytast í mun hvør til aðra[en.plate tectonics]
pleira	(stb.)pleyra
pleirur	(stb.)pleyrur
plena	1(ítr.)leikvøllurserst.,fótbóltsvøllur2grasplena
plettur	blettur
pleyra	kleyva, kleyra,gæsnar komu pleyrandi inn í dyr;pleyra gjøgnum evju
pleyrasúpan	(stb.,skemt.)súpan bótað við rotaðum seyðafótum, fótasúpan
pleyrur	stórur og óskaffiligur fótur,eg dragi burtur av pleyrunum og fari berbeinaður inn í køkin;hann hevði fingið runu upp á pleyrarnar á sær;sbr.klárbankur (2)
pli1	1lítil másaungi2ljóð hjá mása (skurao.tíl.)
pli2	(um ljóð hjá mása, skurao.tíl.)másin sigur pli, pli, pli
plia	1(um mása)siga pli,uttan fyri húsini stóð ein skurapisa og pliaði2pjátra (fyri e-m), hjúkla um(e-n ið ein er góður við),vera eymur (4),plia fyri (el.uppi yvir) e-m;fuglur pliar uppi yvir ungunum;hann pliaði fyri hundinum;plia fyri smábarni, kálvio.tíl.3lifra fyri (e-m)(við at hyggja við bønandi eygum),plia upp á e-n;plia upp í eyguni á e-mbiðja e-n um e-t við bønandi eygum4(um pinkubarn)geva smá ljóð frá sær, láta(áðrenn tað dugir at tosa),barnið liggur og pliar
pligga	(Sørv.)lítið mið
plikt1	skylda 1,hava plikt til at gera e-t;sms. t.d.skjúts-
plikt2	1leysur bekkur frammi í skut, pliktarbekkur,sita frammi á plikt2leysabekkur, dyrgingarfjøl
plikta	geva lyfti (um), binda seg, lova 1(2),plikta seg (til e-t)
pliktarbeiði	(gl.)arbeiði sum menn høvdu skyldu at gera(eftir boðum frá hinum almenna)
pliktarbekkur	plikt 2(1),níggjundi maður sat á einum bekki, ið varð lagdur niður á eitt tvørtræ millum aftasta og næstaftasta band í framskutinum og kallaðist pliktarbekkur
pliktarmaður	maður ið arbeiðir pliktarbeiði
pliktigur	ið hevur skyldu til, skyldigur (1),pliktigur til at gera e-t
plinka	(sj.,stb.)plinkur
plinki	plinkur
plinkur	lítið mið(ofta nær landi),strát;sms. t.d.silda-
plintur	(ítr.)(í fimleiki)útbúnaður til at leypa um(kassar settir hvør oman á annan),lop um plint
PLO	stytting fyriPalestinian Liberation Organization(t.e. tann palestinska frælsisrørslan)
plógbein	(lívfr.)bein ið skilar sundur nasarúmið(vomer)
plógbonkur	(handv.)bonkur (2) at pløga (1) og hølva á, plógryssa
plógfoyra	1(handv.)foyra í kantinum á fjøl(sum plógkamburin á aðrari fjøl verður feldur inn í)2(bún.)foyra í moldini eftir plógvi 2(3)
plóghøvil	(handv.)høvil til at skera plógv í við við, plógv 2(1)
plógjarn	(bún.)hvast jarn á plógvi 2(3),brýna plógjørnini
plógkambur	(handv.)tunn røð upp úr kantinum á pløgdari fjøl(sum gongur inn í plógfoyruna á aðrari fjøl)
plógmaður	(bún.)maður ið pløgir (2)
plógross	(bún.)ross ið dregur plógv 2(3)
plógryssa	(handv.)plógbonkur
plógtonn	(handv.)jarn í plóghøvli
plógtorva	(bún.)torva (1) sum er pløgd
plógv1	(bún.)plógv 2(3)
plógv2	1(handv.)plóghøvil(eis. jarnið í plóghøvli)2(handv.)plógkambur og plógfoyra í fjøl, pløging (1)3(bún.)amboð til at pløga jørð við, plógv 1;sms. t.d.sylla-
plukka	royta,(kvæð.)kelling plukkar hár av geit
plukkfiskur	smátt hakkaður fiskur uppafturheittur á pannu
plukkufuglur	býttlingur, fívil;í osb. sumvera plukkufuglur millum fólkvera til láturs
plumba	(tannl.)tannfylling
pluss1	1(støddfr.)teknið +2bati, fyrimunur,tað er eitt pluss at duga nógv mál;sbr.minus 1
pluss2	(støddfr.)1lagt aftur at, og,tvey pluss trý er fimm (2 + 3 = 5)2(sett framman fyri tal at vísa at tað er størri enn null)pluss fýra stig;sbr.minus 2
plusspólur	(alisfr.)positivur pólur
Pluto	(stjfr.)ytsta gongustjørna í sólkervinum
plúsin	trútin og reyður(av t.d. fepri, illsinni, møði o.tíl.),plúsin í andlitinum
plúss	klæði líkt floyali(t.d. at klæða innbúgv við)
pløga	1(handv.)skera pløging (t.e.plógkamb og plógfoyru) við plóghøvli2(bún.)velta jørðina við plógvi 2(3)3sigla,pløga havið
pløging	1plógkambur og plógfoyra skorin við plóghøvli í við,gjósturin trongdu seg inn gjøgnum pløgingar og rivur2tað at pløga jørðina(við plógv 2(3))
poð	(Suð.)1nipil2pu, bos,poðið stóð upp úr dýnuni
poða	(Suð.)nipla,troyggjan poðar
poðutur	(Suð.)niplutur
poesiur	(bókm.)bundið mál(yrkingar o.tíl.)
pokari	eldpokari
poki	(sj.)posi;(tilt.)hann er ikki hvøns mans pokihann er ikki lættur at lumpa(Sv)
pokna	lítið opel.hol(t.d. í húð el. gróti),húðin andar gjøgnum poknurnar;hon kendi kuldan í hvørjari poknu;í gróti eru ofta poknur
poknueyga	(í bergi)lítið runt hol sum fuglur kann eiga í(gott at krøkja í)
poknutinna	(jarðfr.)tinna úrskild í poknu í gróti
poknutur	1við poknumel.smáum holum,poknutur steinur;moldin er ikki føst og tøtt, men poknut2(lækn.)pokutur, pokuskotin,poknutur í andliti
poks	(lækn.)kynssjúka (serst.syfilis)
pokur	(lækn.)(sjúkan) koppar(variola),tá ið pokurnar gingu;sms. t.d.gongu-,kú-
pokuskotin	(lækn.)pokutur,hansara pokuskotna andlit
pokutur	(lækn.)við arrum eftir pokum, pokuskotin(Sv)
polakkur	póllendingur
politi	løgregla
politikari	ein ið er uppi í politikki
politikkari	(sj.)politikari
politikkur	1(stjm.)arbeiði ið miðar ímóti at beinael.ávirka gongdina í samfelagnumel.í altjóða høpi, stjórnmál(eftir ávísum sjónarmiðum el. hugmyndum)2stevna 1 (2), stevnumið, sjónarmið(í ávísum viðurskiftum),málpolitikkur;sms. t.d.kommunu-,parta-
politimaður	løgreglumaður
politimeistari	hægsti embætismaður fyri løgregludømi, fúti (1), landfúti
politiskur	viðv. politikki, ið rekur politikk, stjórnmála-,politiskir flokkar
politistur	løgreglumaður
politistøð	løgreglustøð
polka	slag av útl. dansi,dansa polka
polkahár	(gl.)sítt hár á monnum(næstan niður á herðar)
polladunna	(fugl.)1helsareyði2(stb.)æða
pollamjørki	mjørki í neðra(men klárt í erva),dalamjørki
pollhúgva	(stb.)píllhúgva
pollhús	(gl.,stb.,húsasm.)hús við píllareising
pollur1	(lítil) víkel.bukt við (heldur) trongum munna(ofta við rivi 1(3) uttanfyri),tvørtur um víkina gongur eitt riv, innan fyri er bládjúpur pollur
pollur2	(kortsp.)(í stýrivolti)fýru(r) í velt(um)
polstra	stappael.klæða við mjúkum tilfari,polstra sofu
poppbólkur	(tónl.)bólkur (4) ið spælir popptónleik
poppil	(plfr.)leyvtræ í slektiniPopulus
poppkorn	maiskorn við hørðum kjarna(brestur tá ið tað verður hitað)
popporkestur	(tónl.)orkestur ið spælir popptónleik
popptónleikur	nýmótans lættur tónleikur(vanl. rokkkendur)
poppur	(tónl.)popptónleikur
Porkeri	(stn.)bygd í Suðuroy,í/úr Porkeri,til Porkeris
porkeringur	(sj.)porkerningur
porkeriskleyna	serliga stór kleyna
porkerningur	fólk íel.úr Porkeri, porkeringur
portalur	1inngongd í tunnilo.tíl.2(teld.)stað á alnetinum har ið til ber at leita eftir upplýsingum um ávís evni(viðt.d.leinkjum til ymsar heimasíður)
portari1	slag av myrkum sterkum øli
portari2	duravørður(t.d. í stórum íbúðarhúsi el. gistingarhúsi)
Portugal	land í Evropa
portugalskur	portugisiskur
portugisari	1fólk íel.úr Portugal2portugisiskt skip,her vóru yvirvaksnir portugisarar, spaniólar og fínir týskir hekkutogarar
portugisi	portugisari
portugisiskur	íel.úr Portugal
portur	1stórt op ít.d.múriel.garði, lið 3(1)(at ganga el. koyra ígjøgnum)2lúka 1(1) fyri portri (1);sms. t.d.geilar-,haga-,heljar-,perlu-,rima-
portursdyr	(kvæð.)glæsilig inngongd til høllo.tíl.
porturshol	(skip.)hol fyri gotriel.kanón(Sv)
porturshválv	hválv yvir portri
portvín	søtt og sterkt heitvín úr Portugal
posabak	h3/5í osb.bera (e-n) posabakbera (e-n) á bakinum
posaband	kjaftband, sekkjarband
posabjølgur	posakloddi seymaður upp á seyð sum kastar ullina (í støðum) í ótíð,hongur sum posabjølgur uttan um hann(um óskapiligt plagg)
posadýr	(dj.)súgdýr ið goymir unga sín í posa undir búkinum, av bólkinumMarsupialia,kengura er posadýr
posafuglur	ólógliga skotin fuglur krógvaður í posa;sbr.roðbuksuskarvur
posakelkur	kelkur (2) á posa
posakjaftur	op á posa,hann roynir at halda posakjaftin sundur
posakloddi	kloddi av posalørifti
posaknútur	(skip.)knútur á trolposa
posalørift	grovt lørift(m.a. nýtt til posar)
posamaður	(sjóm.)maður sum loysir knútin á trolposanum so fiskurin sleppur úr
posamatur	matur fingin við at bidda;(orðt.)ódrúgvur er posamaturel.posamatur er ódrúgvurtað ið kemur lætt fer lætt
posapjøki	lítil posi, knýti
posaprinsur	(gl.)biddaraposi,hann tekur ein posaprins á bakið
posaregn	(stb.)regn á lítlum avmarkaðum øki(serst. um summarið tá ið stilt er)
posarenning	(ítr.)tað at renna kapp í posa(til skemtanar)
posaspjaldur	(á seyði)spjaldur av posaspjørr
posaspjørr	spjørrel.kloddi (1) av posa, posakloddi,rútar vóru eingir, bara posaspjarrar uppfyri
posasvinta	svinta av posalørifti
posataska	taska av posalørifti
posatroyggja	búkheil troyggja, bulatroyggja
posi	1ílat úr lørifti, plastio.tíl.(at bera el. goyma í),sekkur, hít (1),(tilt.)loysa frá posanumsiga (e-t) bart út;tit áttu at verið koyrdir í ein posatit eru allir líka ringir2(sjóm.)trolposi;sms. t.d.biddara-,eggja-,eyrriða-,hoy-,kol-,krotu-,kvørkra-,lippu-,lóður-,lúsa-,rusk-,stroppa-,ullar-
positivur	1við vælvild, ið tekur undir við, samtykkjandi, játtandi, jaligur, jasøgin,vera positivur mótvegis e-m;positivt svar(samtykkjandi);positivt ummæli(gott)2(lækn.)ið váttar tað ið kannað verður fyri,positiv vísing3(støddfr.)størri enn null,tað minsta positiva heiltalið er 1;sbr.pluss4(alisfr.)løddur við sama ravmagni sum proton,móts.negativur
posta	gjalda postgjald fyri, seta frímerki á, senda við posti
postalakirkja	(kvæð.,stn.)kirkja vígd ápostlum
postalín	1hart glaskent evni vunnið úr ávísum slag av leiri(nýtt til borðbúnað, skreytlutir o.tíl.)2felagsheiti fyri borðbúnað av postalíni (1)
postalíns-	sms. t.d.-hundur,-ílat,-kanna,-koppur,-máling,-málningur,-mynd
postalínsblóma	(plfr.)slag av prýðisplantu(Saxifraga umbrosa)
postalínsjørð	(jarðfr.)hvítt leirkent grótslag av aluminium-kisili(m.a. nýtt til postalíns- og pappírsframleiðslu)
postavgreiðsla	(postm.)1tað at avgreiða post2avgreiðslustaður til post
postávísing	(postm.)skrivlig ávísing um peningasending við posti
postbátur	(postm.)bátur ið flytur post(og ferðafólk)
postberi	(postm.)postboð
postbilur	(postm.)bilur ið flytur post
postboð	(postm.)ein ið gongur við posti, postberi, postur (3)
postboks	(postm.)postsmoga
postei	1innbakað malið kjøto.tíl.2bakað kjøtdeiggj(við ymsum kryddi);sbr.livur-
postfar	(postm.)postskipel.-bátur,tá sigldu ikki postfør millum oyggjanna;við fyrsta postfari
postferð	(postm.)ferð við posti,postferðirnar vóru ótættar tá í tíðini
postflutningur	(postm.)tað at flyta post, flutningur av posti
postførari	(postm.)ein ið førirel.flytur post
postgiro	(postm.)ávís skipan til peningasending gjøgnum postverkið
postgjald	(postm.)gjald fyri postsending
posthús	(postm.)hús við postavgreiðslu
postkassi	(postm.)1kassi til brævapost sum skal sendast2kassi uttan á húsum til post
postkort	(postm.)kort(við mynd á aðrari síðuni og plássi til adressu og tekst á hinari)sent við posti uttan brævbjálva, brævkort
postkrav	(postm.)krav um gjald fyri postsending
postlúka	(postm.)postriva, brævalúka
postmaður	(postm.)1maður ið gongur við posti, postboð, postberi2maður ið arbeiðir á posthúsi3(gl.)maður ið hevði postavgreiðslu
postmál	(postm.)ófrímerkt sending frá postverkinum
postmeistari	(postm.)fyristøðumaður fyri postverkinum(í ávísum umdømi)
postmerki	(sj.,postm.)frímerki
postnummar	tal framman fyri býar-el.bygdarnavn(at seta á postsendingar),Hoyvík hevur postnummar 188(skrivaðFR-188 Hoyvík)
postpakki	(postm.)pakki sendur við posti
postriva	(postm.)avlangt hol ít.d.hurð at lata post inn ígjøgnum, postlúka, brævalúka
postrúm	(postm.)postsmoga
postsekkur	(postm.)sekkur við postiel.til post
postsending	(postm.)e-t sent við postiel.sum postur
postsmoga	(postm.)lítið talmerkt skáp á posthúsi at leggja post í til móttakaran sjálvan at koma eftir, postrúm, postboks
poststempla	(postm.)seta poststempul á
poststempul	(postm.)1stempul at stempla dagfesting og navn á poststaði á postsending2merki eftir poststempli (1) á (frímerki á) postsending(til at ógilda frímerki)
postur	(postm.)1flutningsskipan til brøv, pakkaro.a.sendingar gjøgnum postverkið,senda bræv við postinum2e-t ið verður sent við posti (1),fáa post3postboð, postmaður (1)4postbátur, postbilur,nógv ferðafólk kom við postinum í morgun;tey vóru her millum postar(ferðirnar hjá postbátinum)5(útreiðslu)upphædd,almannamál er ein stórur postur á fíggjarlógini6(kortsp.)pavstur;sms. t.d.bræva-,flog-,pakka-,teldu-
postverk	almennur stovnur (3) ið røkir postflutning,Postverk Føroya
posutur	(um plagg o.tíl.)bjølgutur,posutir leðurstivlar
pot	1tað at pota2lítið torveyga3(ným.)hissini tikið sýni (5), staksýni[da.stikprøve];sms. t.d.mó-
pota	steytael.stinga(við fingri, sneis el.tíl.),pota e-t í jørðina;pota epli niður;pota tennel.burtur úr tonnum(steyta, stangla);pota niður í e-nroyna at læra e-n (e-t) so at hann minnist tað, trútta niður í e-n
potari	(stb.)mergjarpotari
potensur	(støddfr.)veldi (5)
-poti	símó-
pottabreyð	(gl.)breyð bakað í potti við loki á niðri í eiminum;sbr.kastirollubreyð
pottabrot	petti av brotnum (leir)potti, krússabrot
pottadeyvur	pottadulur,hann er so pottadeyvur
pottadulur	deyvur sum potturin, steindulur
pottaður	(sjóm.,tlm.)komin í afturhond við at egna línu
pottafløska	fløska ið tekur ein pott (2)
pottafør	(um kúgv)ið ikki mjólkar meira enn pott (2) í málið
pottakaggi	kaggi ið tekur ein pott (2)
pottakanna	kanna ið tekur ein pott (2)
pottalok	lok á potti,hendurnar vóru sum pottalok(stórar sum gásarkrov);vera pottalok (fyri annan)taka á seg ábyrgdina av tí ið annar hevur gjørt(t.d. giftast gentu ið er við barn við øðrum)
pottaløgur	løgur (2) sum matur (kjøtel.fiskur) erel.verður kókaður í, soð
pottamakari	(gl.,bíbl.)maður ið ger pottaro.a.úr brendum leiri, leirkerasmiður
pottamál	ílat ið tekur ein pott (2);sbr.liturmál
pottari	(bíbl.)pottamakari
pottasláing	tað at sláa pottar(barnaskemtan á føstulávint)
pottatrom	trom á potti
pottaørindi	(gl.)ørindið kvøðið meðan spælt varð at selja pottar,sípottur
pottbúgvin	(um mat)búgvinel.klárur 2(6) til at koyra í pottin
pottur	1ílat til at kóka í, grýta,heingja pottin yvir eldin;gera út á pottin;halda pottinfáa nóg mikið av fiski til matna hjá húsfólkinum;fáa sær pottin á reiggjel.loftfáa at kóka av fiski,lítið bar til við dyrgingini, vit fingu so dánt pottin á loft;(sum) í pottinum(um grind ið er komin inn á góða hvalvág og ikki sleppur út aftur);(flutt m.)ein samgonga millum teir tríggjar flokkarnar tykist at vera í pottinum(komin undir land);koyra undir pott(holva stóran pott oman yvir ungt gásapar ið ikki vil takast (t.e. makast)),(tilt.,skemt.)fara undir pottgiftast (heima);(deyvur, dulur) sum potturinpottadulur;(spæl)sláa pottarroyna at bróta pott við gassa við bindi fyri eyguni(vanl. á føstulávint);selja pottarniðrispæl sum pottaørindi vóru kvøðin til(pottarnir vóru gentur ið "seldar" vórðu dreingjum);(tilt.)nú má pottur standa (el.vera) sum pottur er setturnú má vera sum er, nú má svíða sum svøllur2(gl.,rúmmál)o.u.ein litur(t.e. fýra peglar = 0,965 l),ein pottur av brennivíni;(fólktr.)holva pott yvir e-n(tann ið drakk av potti fekk ikki doyð uttan at pottur varð holvdur yvir andlitið á honum);sms. t.d.døgurða-,epla-,fargi-,fløt-,grinda-,ím-,kjøt-,leir-,litingar-,lit-,lýsi-,løg-,matar-,nátturða-,sortu-,sveita-,svertu-,tjøru-,tóvara-,tvag-,urta-
pottøska	(evnafr.)salt av kolsýru og kaliumi(nýtt m.a. í bakstri, teknK2CO3)
potuveður	kuldaveður við vátaslettingi(Sv)
potuvindur	gjóstur(Sv)
pólalýsi	(stjfr.)felagsheiti fyri norðlýsi og suðurlýsi
pólfari	ein ið ferðast til (økið kring) norður-el.suðurpólin(ofta í granskingarørindum)
pólferð	kanningarferð til (økið kring) norður-el.suðurpólin
pólhav	(landafr.)havið kring norður-el.suðurpólin
pólísur	tjúkkur ísur við norður-el.suðurpólin
pólkringur	(landafr.)kringur (tveir í tali) á 23 1/2° frá hvørjum av pólunum,teir norðastu landoddarnir á Íslandi koma norður á pólkringin
Pólland	land í Evropa
póllendingur	fólk íel.úr Póllandi
póllendskur	íel.úr Póllandi
pólskur	íel.úr Póllandi,pólsktpólskt mál
pólur	1(landafr.)hvør av endunum á jarðarási og økið har um vegir(norðasta og syðsta punkt á jørðini),norðurpólur;suðurpólur2(alisfr.)hvør av endunum á magnetiel.ravmagnskeldu
póløki	øki kring norður-el.suðurpólin
p-pillari	pillari sum gitnaðarverja hjá kvinnum
pranga	(gl.)1klæða (seg) stásiliga(uttan hógv),(kvæð.)silki og so perlur var eftir vegnum prangað(útbreitt til prýðis);(skaldsk.)altíð so prangandi stóðst tú(um dáan)2bjóða sum gjald,farin er nú húgva mín, mangt er fyri hana prangað
prál	tað at prála, geip, reyp, skról
prála	geipa, reypa, skróla
prálari	ein ið prálar, geipari, reypari, skrólari
prámur	1lágt langt flatbotnað far til flutning(serst. á áum og veitum),ráevni og vøra verða flutt við prámum eftir áunum2(bát.)lítil træbátur við galvi3(skemt.)stórur fótur
prásapinnur	(gl.)klænur træpinnur at stinga niður í smoltur(at lýsa við),ofta brakaði illa í tendraðum prásapinnum(RJ Ymist140)
prási	langt og klænt (kerti)ljós(Sv)
prát	tað at práta, tal 2, tos,fáa sær eitt prát við e-n;prátið gekk dúgliga hvíldarløturnar
práta	tosa óformliga um leyst og fast, tala leysliga, tosa,sita og práta
prátan	tað at práta, talan, tosan
prátari	ein ið prátar (heldur nógv),ein sovorðin prátari
prátingarhugur	hugur at práta
prátingarsamur	ið prátar nógv, ið dámar væl at práta, prátmikil, prátríkur
prátmikil	prátingarsamur
prátríkur	prátingarsamur
prátsemi	tað at vera prátingarsamur
prátutur	prátingarsamur
prei	1(sjóm.)tað at preia (1),skipið kemur upp á prei;sigla upp á prei2(tlm.)tað at siga frá, fráboðan, tekin, ábending,geva e-m eitt prei (um e-t)
preia	1(sjóm.)rópa á skip, rópa millum skip,vit preiaðu eitt skip, sum kom framvið2(flutt m.)rópa á (e-n), geva tekin (til),dreingirnir preiaðu nakrar gentur
prektigur	(gl.)prýðiligur, stásiligur
prektugur	(gl.)prektigur
premia	virðisløn, heiðursløn
prent	(prent.)prentað skrift, prentaðir stavir, bókaprent,seta upp á prentprenta;sms. t.d.mis-,sam-
prenta	1(prent.)framleiða upplag av skrivaðumel.teknaðum verki við prentútbúnaði,prenta bøkur2(flutt m.)siga dyggiliga,prenta inn í børnini;prenta sær e-t í huganminna seg dyggiliga á e-t3(teld.)skriva við prentara (2),prenta eitt skjal (út);prenta út4(gl.)skriva skrift ið líkist prentstøvum
prentari	1(prent.)ein ið arbeiðir við at prentat.d.bøkur2(teld.)tól ið skrivar úr teldu,geislaprentari;nálaprentari[en.printer]
prentbúni	(prent.)prent,vakur prentbúni
prentfrælsi	frælsi (1) til at geva út á prenti uttan ritskoðan;sbr.skrivifrælsi
prentgerð	(prent.)tøknilig tilgerð til prentingar
prenting	(prent.)tað at prenta,greiða bókel.rit til prentingar;sms. t.d.mis-
prentis	(sjóm.)drongur ið fyrstu ferð er til skips, prentus, proysur, pungur (4)
