T	rómv. taltekn fyri 160
træbein	1eftirgjørt bein (2) úr træ(í staðin fyri eitt mist)2(ítr.)tað at bein (2) stutta løtu gerst stívt(eftir drúgva renning, harðan stoytel.tíl.),fáa træbein3krakkur
træbiskupur	(sj.,stb.)dygdarlítið korn(millum aðalkorn og lættikorn)
træblásari	(tónl.)ein ið blæsur í blásturljóðføri av træ
træbrot	træstong til at loysa gróto.tíl.við;sbr.jarnbrot
træbrúgv	1brúgv av træ(t.d.um eina á)2bátabrúgv av træ,stundum legði hann at einari lítlari træbrúgv
træbulur	viðarbulur, bulur (1)
træbuttur	buttur av træ
træbytta	bytta av træ,træbytta stóð frammi við grúgvuna full av vatni
trædylla	dylla av træ;sbr.stavaílat
træða1	draga tráð í,træða nál
træða2	gangael.flyta seg spakuliga (hvør aftan á annan),seyðurin træðaði niðan í skadduna;seyðurin fór træðandi eftir rásini;royktámið træðar upp í ljóaran
træðir	sítráður
træðrir	sítráður
træflís	flís av viði
træfúgvasoppur	(plfr.)slag av fúgvasoppi(Heterobasidium annosum)
trægagga	(sjóm.)gagga 1(2)
trægeil	gøta við trøum á rað báðumegin
trægirðing	runnagirðing
trægjørð	gjørð (1) úr træ
trægólv	gólv av træ,moldgólv var í roykstovuni, men trægólv var tvørtur við øllum bróstinum;sum kálvur á trægólviskinklutur, illa gongdur
trægrein	(plfr.)grein 1(1) áel.av træ (1)
træhestur	(søg.)pínslutól av viði til at seta menn á(sum revsing),hann varð einaferð settur á træhestin, helst mundi tað hava verið fyri leysingabarn;sbr.spískisteinur
træhongsl	hongsl av træ, leikindi
træílat	ílat av træ
træílát	træílat
trækassi	kassi (1) av træ
trækelvi	kelvi (1) av træ
trækendur	(plfr.)sum træ er í, viðarkendur,leggurin í berjalynginum er trækendur
træker	ker (2) av træ
trækirkja	timburkirkja
træknívur	eitt tvørt ið ikki flættast við, tvørknívur, tvørball, tvørtræ (2),hatta er tann træknívurin, ið er;hann er ein verri træknívur
trækol	kol brent av viði(við køvdari brenning),viðarkol
trækoppur	(gl.)koppur (1) av træ
trækrúna	(plfr.)krúna 1(4) á træ
trækubbi	kubbi 1(1)
træl	hart strævið arbeiði, trælaarbeiði(Sv)
træla	gera hartel.leiðiligt arbeiði fyri onnur(uttan at fáa ágóðael.gleði av tí)
trælaarbeiði	hart og tungt arbeiði
trælaband	(skaldsk.)ófrælsi, trældómur
trælabinda	(sj.)trælbinda,handilin forðaði fyri vinnulívinum og trælabant føroyingin
trælabiti	(á seyði)ytsti (aftasti) partur av huppinum, huppkletti (2),undir rongini hoyrdi tað seg til at hava ein trælabita liggjandi at hava at taka at klína í borðrivur;hundarnir eiga trælabitan;(flutt m.)hatta er tann trælabitin, ið er(sær so óvættisligt út)
trælahald	(søg.)tað at hava trælir
trælahandil	(søg.)handil (2) við trælum
trælalív	1hørð og ófræls tilvera við hørðum arbeiði, lív í ófrælsi2lív hjá træli
trælalógv	(fugl.)fjørulógv
trælalyndi	undirbrotligt trælskt lyndi
trælamosi	(plfr.)slag av mosa(Polytrichum commune)
trælangur	(stb.)nipin, nakkalangur (1),hann stóð har so trælangur
trælaok	serliga tungt ok (3), hørð kúgan,undir tungum trælaoki;sleppa undan trælaoki
trælbinda	halda sum træl, gera ófrælsan, trælka, kúga,stóra skuldin trælbindur fólkið
trælborin	(bíbl.)føddur í trældómi
trældómur	tað at vera trælur, trælkan, ófrælsi, kúgan,liva í trældómi
trældømi	trældómur
trælím	lím til træ
trælka	gera til træl, kúga
trælkan	tað at trælka, kúgan
trælkona	trælur av kvennkyni, trælkvinna
trælkvinna	trælkona
trællur	1trælur,(kvæð.)trællin vappar víða2ein ið er lúnskur, skálkur 1(1), illmenni,(orðt.)sjáldan er trællur treytagóðurel.í treytum góður,sítreytagóður3jassur (1), stavnur (3)4treiskni, tvørlyndi,nú kom trællur á hann;nú er trællur á honum(serst. við børn);sms.beggja-
trælmenni	1ein ið er sniðfundigur, skálkur, forherðingur2(stn.)Trælmenni(navn á boða)
trælskur	1malsjøskur (1), tvitin, tvørur (4), trylskur (2),børnini eru so trælsk2skálkaligur, argingarsamur, ertingarsamur
trælsligur	líkur træli, undirbrotligur,trælsligur í medferð;hj-liga,úti við tvey mannaminni høvdu føroyingar trælsliga fylgt donskum leiðum
trælsrassur	(dj.)tjúkt runt slag av tindadýri ið livir á havbotni(Holothuria)
trælur	(søg.)ófrælsur persónur(hertikinel.keyptur)sum eigarin hevði fult ræði á(at nýta til arbeiðisel.sølu);sms. t.d.arbeiðs-,klokku-,láar-,mammons-,róðrar-
trælykt	lykt av træ og (glas)rútum við kertiljósiel.tálgarljósi
trælær	(ítr.)lær ið er vorðið stívt(eftir drúgva renning, harðan stoytel.tíl.)
træmaður	álvarsamur tunglyndur maður,allir eru ikki lættir av lyndi, har eru eisini træmenn
træmotta	(stb.)rist av træ fyri durunum(við posa omaná)
træna1	(Nóls.)trænað hømilia
træna2	1gerast trækendur,røtur og kál kunnu træna2fara aftur, hjána burtur, fána (burtur),træna burtur;træna burtur av verðini;trænaður;hann var trænaður, og bæði kroppur og andlit vóru svunnin;trænaður bulur(uppturkaður)
trænagli	nagli av træ(t.d. til bátasmíð)
trænuvaldur	(Sa.)vesalavætti, mistrivningur
træpetti	petti av træ, sprek (1)
trærót	(plfr.)rót (1) á træ
træsíla	mjólkarsíla gjørd úr heilum træ(við síluskeyta)
træskeið	skeið av træ,træskeið hevur langt skaft, hornspónur stutt
træskip	(skip.)skip úr timbri,móts.jarnskip
træskoyta	skoyta 1 av træ
træskurður	tað at skera í træ,lívstræið er gamalt mynstur og nýtt sum træskurður í gomlum føroyskum kirkjum
træsleiv	sleiv av træ
træsmakkur	atsmakkur av træ(í nýgjørdum træílati, sleivo.tíl.),(skemt.)fáa træsmakk í reyvina(sagt tá ið ein situr leingi á træsessi);sbr.tyrvi(smakkur)
træsmiður	1smiður sum smíðar træ, timburmaður, húsasmiður2snikkari
træsmíð	1tað at smíða úr viði2(skúl.)lærugreinin træsmíð (1)
træspónur	spónur (1) av viði
træsprek	sprek (1) av træ, viðarsprek
træspritt	(evnafr.)metanol
træstokkur	bindingarstokkur av træ,binda skipstroyggju við træstokkum
træstubbi	stubbi (1) av (feldum) træ
træsýling	sýling (1)
træta1	tað at trætast, trætnaður, trætumál, ósemja, tvídráttur, klandur,loysa trætu á arbeiðsmarknaðinum;sms. t.d.blað-,markna-
træta2	s9/30:trætael.trætastvera ósamdir tí at hvør stendur við sítt, (smá)keglast, kutast, metast;træta ímótimæla ímóti;træta(st) um e-t
trætari	trætubløðra, tvørball
trætin	argur at træta(st), sum dámar væl at trætast, meklutur, klandursamur
træting	tað at trætast
trætkast	(Suð.)trætast,sit ikki og trætkast við hann um hatta!;teir trætkaðust um mark
trætnaður	træta,ofta hevur verið trætnaður júst um hetta mál
trætni	trætnaður
trætráða	tráða av træ
trætubára	ein ið er trætin, mekl, trætubløðra, trætari, trætufretur
trætubløðra	ein ið er argur at trætast, trætubára
trætuevni	mál 1(7) ið træta er um, stríðsevni, klandursevni
trætufla	tufla av træ
trætufretur	(stb.)trætubløðra
trætugeisli	(á seyðakrovi)geisli (1) fremst á hárygginum
trætumál	mál 1(7) ið veldur trætu,har var trætumál um, hvønn veg áin skuldi veitast
trætunna	tunna úr træ,á loftinum stóðu trætunnur við korni
trætustykki	1stykki millum hagarel.hagapartar ið træta stendst um;sbr.grasningur2(stb.)e-t ið fólk trætast um hvør ið eigur
trætøvdur	vælel.fast tøvdur, tøvdur í klett,vit vóru í trætøvdum føroyskum sokkum
træull	fínir hølvispønir(nýttir m.a. til bjálvingar)
træverja	evni (5) at smyrja á við til verju fyrit.d.roti
træverk	1rimaverk av viði,urtagarður girdur við træverki2(sj.)raðhald, rekkverk,einki træverk var á brúnni
trævetur	tríggjar vetrar gamal,ærin er trævetur
træveturgamal	trý ára gamal,træveturgomul ær
træveturjørð	jørð velt trý ár frammanundan,gras av træveturjørð var besta fóður
træveturseiður	seiður trý ára gamal
træveturseyður	seyður trý ára gamal
træveturær	ær trý ára gomul
trævøkstur	tað at træ veksur, viðarvøkstur,har var nógvur trævøkstur(vuksu nógv trø)
trø	sítræ
trøð	1inngirt jarðarstykki innlagt til uppdyrkingar, gerði,leggja traðir inn2(gl.)inngirt øki í haganum sum (bráðfeingis) beiti hjá kríatúrum, girðing (1)el.tippi úti í haganum har ið kríatúr kundu ganga á biti eina (stutta) tíð;sms. t.d.kongs-,leigu-,neyta-,rossa-,rættar-,seyða-
trøða	leggja tróður át.d.hús,gróthúsini høvdu sperrur og vórðu trødd tvørtur um sperrurnar og takt við hálmi;neystið var ikki størri enn so, at báturin trøddi neystið(borðini av gl. báti nýtt til tróður)
trøll	1(fólktr.)stór og sterk og andskræmiliga ljót mannlík vera við hala(vandamikil men býtt og góðvarin),risi (1);(tilt.)nú leypa trøllini á sjógvinnú ber av(tá ið e-t óvanligt er á ferð);(orðt.)ofta taka trøll góða manna børntann góðvarni kemur ofta í vald hins illa;hatta er sum trøll í hálmi(gongur og leitar og dugir ikki at finna),at senda teg er sum at senda trøll í hálm;ofta leypa trøll (út) í orðe-t ið sagt verður (t.d. í skemti) kann gerast veruleiki;trúgvur sum trølliðsera trúfastur;síggja trøll á (al)ljósum degiel.undir hvørjum steinisíggja vanda í øllum, vera illtrúgvin2stórligt og ófantaligt fólk,hatta gongur sum eitt trøll3(niðr.)stórur (og sterkur) unglingi,hatta stóra trøllið!;hví lata tit hatta stóra trøllið ganga fyri einki?4(í sms.)hálvgjørt verk (2)(serst. um óliðugt bundið plagg);sbr.jólatrøll;sms. t.d.áar-,bita-,fjøru-,flóka-,grinda-,mjørka-,nótar-,nýggjárs-,seiða-,sjó-,skelja-,skota-,sót-,tákna-,tjúgunda-,torva-,trettanda-,veiði-
trøllabarn	1(fólktr.)barn hjá trøllum, trøllbarn (1),(orðt.)trøllabørnini gráta eftir hvonnum á jólum(um e-n ið vil hava tað ið ikki er tøkt),sbr.hvonn2trøllbarn (2)
trøllabátsmanshattur	(plfr.)slag av bátsmanshatti, trøllablomstur, trøllagras(Prunella vulgaris)
trøllablomstur	(plfr.)trøllabátsmanshattur
trøllabløðra	(stb.)trølsbløðra, droyrbløðra
Trøllabotnur	(kvæð.)hugsaður botnur (2) í Norðuríshavi(millum Noregs og Grønlands),viltust norð í Trøllabotn
trøllabøli	ófantaligur og óunniligur staður,her rýkur av líki, her er eitt trøllabøli
trøllafingur	(plfr.,stb.)kannubjølluvísa
trøllagleimur	(kvæð.)gleimur av trøllum,eg eri so von við trøllagleim
trøllagras	(plfr.)trøllabátsmanshattur
trøllahár	(sj.)long hár eftir rygginum á kúgv
trøllahol	pláss herjað av trøllum,har bar orð fyri at vera eitt ringt trøllahol(úti á Hæli)
trøllahvonn	(plfr.,stb.)hundahvonn, sløkja (1)
trøllakalskampur	(plfr.)slag av kalskampi(Dryopteris filix-mas)
trøllakambur	(plfr.)trøllakampur
trøllakampsætt	(plfr.)ætt av leggstreingjagróplantum(Aspleniaceae)
trøllakampur	(plfr.)slekt í trøllakampsætt(Asplenium),svartur trøllakampur(A. adiantum-nigrum),stálhærdur trøllakampur(A. trichomanes)
trøllakrabbi	(dj.)slag av krabba (1)(vanligur á landgrunninum og nakað niður á dýpið)[lat.Lithodes maja]
trøllakúvingur	(dj.)lítil fjørukúvingur(Littorina)
trøllalogi	(stb.)lokkalogi
trøllamjólk	skírnarmjólk(RKR Heimaráð35)
trøllamyrkur	brádliga ákomið myrkur ið fær ein at villast(t.d.í mánalýsi),trøllamyrkur kom yvir hana, hon viltist í ein køst
trøllanegl	(dj.)slag av brúnum avlongum (smá)kúvingi (1) í ætt við fliðu(veksur uppi á tarablað),súgingur(Acmaea virginea)
Trøllanes	(stn.)bygd í Kalsoynni,á/av Trøllanesi,(norður) á Trøllanes
trøllanesmaður	maður áel.av Trøllanesi, nesmaður
trøllaræddur	ið ræðist trøll
trøllaræðsla	tað at ræðast trøll, ræðsla fyri trøllum
trøllasíl	(fisk.,stb.)kombikk (1),í støðuhyljum vóru trøllasíl
trøllaskortur	(fólktr.)ein ið er framsígginel.sær illa yvir seg, trøllskortur
trøllasukur	(stb.)putursukur
trøllasøga	søga (t.e.ævintýr) um trøll
trøllatrúgv	føst trúgvel.sannføring, turkatrúgv
trøllbarn	1trøllabarn (1),(tilt.)brellast sum trøllbørn eftir hvonnum á jólanátt(Sv);síhvonn2lítil kyllingur(minni enn sátubarn),trøllabarn (2)
trøllbinda	rúnabinda, ganda
trøllbólta	(sj.,stb.)gera trøllbóltar, nulva (1), klúka (1)
trøllbóltur	(stb.)nulvingur (1), klúkur (1)
trøllbýttur	steinbýttur, kúbýttur, hábýttur
trølldómur	(gl.)gandur
trøllførur	ovurstórur á vøkstri, sum trøll á vøkstri(Sv)
trøllgamal	fullvaksin (og væl tað),tú ætlar tær kanska at goyma hann heima, til hann er trøllgamal?
trøllhali	(plfr.)ytsti endi á tangi(ikki etandi)
trøllhetta	(dj.)skel á lítlum skeljadjóri
trøllhøvd	(gl.)lúnut fólk, ríggjuskøltur, lúnukongur (1), lúnuskøltur
trøllkona	gandakelling, gívur 1(1), flagd,trøllkonur komu á kúnnael.vóru á kúnnikúgvin fekk løgna sjúku, kúgvin var sum gandað;(flutt m.)(um fólk)trøllkonur komu á hannhann gjørdist ríggjuturel.lúnutur
trøllkonufingur	1(plfr.)klettakampur2(stn.)Trøllkonufingurnavn á drangi í Vágum
trøllmaður	gandakallur
trøllont	(fugl.)fuglur av antarætt(Aythya fuligula)
trøllrið	1(hjá neyti)sjúka ið fær vombina at standa á tambi,kúgvin hevur trøllrið(er blásin)2(hjá rossi)sera ring magailska3tað at trøll ríða e-m,trøllrið er á honum(óður í høvdinum, í ringum skørum)4ring herðindi(av e-m),so komu so grúilig trøllrið á hann(at stama)
trøllræddur	trøllaræddur,trøllrædd børn
trøllskapur	(sj.)trølldómur(FFÆ425)
trøllskortur	trøllaskortur
trøllsterkur	sterkur sum trøll, sera sterkur
trøllstórur	trøllvaksin
trølltaka	rúnabinda
trølltoppa	1vill og óstýrilig (smá)genta2barn ið gongur ótrivaliga ílatið,hatta gongur sum ein trølltoppa3dukka gjørd av kloddum (1),hvør mamma dugdi at evna eina trølltoppu til smábørn síni
trølltyssi	ótriski, ótrivavætti, skitsúgv
trøllvaksin	1heilt vaksin, fullvaksin2ovurstórur, risavaksin
trølsbløðra	droyrbløðra, blóðbløðra
trølskur	1við dámi av trølli, trølsligur, huldisligur (1),(kvæð.)ríkur av trølskum alvisterkur í gandamátti;kúgvin var vorðin reint trølsk(gandað);sbr.trylskur2(um fólk)sum ræðist fólk, hvørvin (1), fólkaræddur, huldisligur (2), innitokin
trølsligur	1óhugnaligur, dapur, ógóðsligur (3), óunniligur,trølsligir dreymar;har var so trølsligt bæði úti og inni2sum ikki kemur millum fólk, burturbýttur (2), heimføddur;hj-liga,heiðarnir lógu trølsliga gráir fyri honum
trølsrassi	trælsrassur
trølsurt	(plfr.)slekt í órøkjuætt(Bartsia);sms.fjalla-
trøppugrót	(jarðfr.,stb.)tvørgrýti
trøpputur	(jarðfr.)líkur trappum,landslagið er trøpput;botnurin er ofta trøpputur
trøska	(lækn.)hvít skón av soppaígerð(í munni á smábørnum)
trøskur	(óregl.)->tróskur
trøstur	(fugl.)fuglur av trastaætt, trastur(Turdus)
trøv	(gl.)serkur(yvirpartur av líni og undirpartur av vaðmali)
tu	róp til at fáa ross at steðga
tubbak	(turkað og viðgjørd) bløð av tubbaksplantu(njótingarevni til at roykja, snúsa, tyggjael.tíl.);sms. t.d.balli-,pípu-,roykingar-,royki-,sigarett-,skrá-
tubbaksblikk	blikkel.dós til tubbak
tubbakshosti	tráur turrur hosti(elvdur av nógvari royking)
tubbakskistil	(gl.)kistil (1) til tubbak,tubbakskistilin stóð altíð á skivuni
tubbaksklingra	(stb.)klingra (1) av tubbaksroyki, roykringur,blása tubbaksklingrur
tubbaksløgur	(gl.)tubbak loyst í vatni(nýttur fyri skitju 1(1))
tubbaksmaður	maður ið nýtir tubbakserst.roykjari
tubbaksneyð	trot á tubbaki,tubbaksneyðin er tiltikin
tubbakspípa	pípa 1(2), stúvur (2);sbr.snoppa (5)
tubbaksplanta	(plfr.)slag av hitabeltisplantu sum tubbak verður vunnið úr(Nicotiana tabacum)
tubbakspungur	pungur (1) til tubbak
tubbaksroykur	roykur (1) av tubbaki;sbr.sigarettroykur
tubbaksrull	rull (2) av skrátubbaki, skrárull
tubbakstugga	skrá 2
tubbaksvindil	sigar, vindil (1)
tubbaksøska	øska av tubbaki
tubbur	(tlm.,gl.)tuberklar,tubburnar
tuberkla-	viðv. tuberklum,sms. t.d.-deild,-ígerð,-sjúka,-sjúklingur,-smitta,-støð
tuberklar	(lækn.)smittusjúka elvd av tuberklabakterium(tuberculosis);sbr.bróstsjúka,lungnatuberklar
tuberkulin	(lækn.)evni (5) av dripnum tuberklabakterium(nýtt til at staðfesta tuberklasmittu)
tuff	(jarðfr.)bleytt poknut grót av harðnaðari gosøsku;sbr.royðugrót
tufla1	1skógvur telgdur úr træ(við yvirleðri og stundum hælkappa),einar tuflur;telgja tuflur;(skemt.)dansa frítt á tuflumgera sum ein vil;vera undir tuflunivera kúgaður(av konuni)2(speis.)vánaligt sjófar, danga,stormur var uttanfyri, og tá fingu vit ikki roynt við okkara gomlu tuflu;tað skal vera ein tufla til at sigla;sms. t.d.fasta-,handils-,inni-,kapp-,krambúðar-,leysa-,træ-
tufla2	ganga óstúttur, hólka, støpla,fara tuflandi;hann kom tuflandi niðaneftir
tuflu-	sms. t.d.-hælur,-klams,-seymur,-smiður,-tá,-trantur
tufludýr	(dj.)slag av einkyknudýrum(avlangt og flatvaksið)(Paramæcium)
tufluklárar	kv flt6:einar tufluklárareinar nógv slitnar tuflur
tufluknívur	knívur við bognum blað at telgja tuflur við
tufluleður	leður nýtt til yvirleður á tuflum
tuflunavari	tuflutvari
tufluspor	spor (8)
tuflutræ	1træ væl hóskandiel.úrvalt til at gera tuflur úr,tuflutræ mátti vera lættur og góður viður2(skemt.)stór og tjúkk bók[da.mursten]
tuflutur	óstortsligur, klombrutur,tuflut gongulag
tuflutvari	tvari at bora fyri trænaglum tá ið lagt varð upp undir tuflur, tuflunavari
tufluveður	(sjóm.,skemt.)góðveður við sløttum sjógvi,vit høvdu tufluveður allan vegin heim(kundu ganga í tuflum á dekkinum)
tugdi	sítyggja,tiggja
tugga	1tað sum tugt verður í senn, biti (1), munnbiti,tugga av breyði2tugdur matur,gev børnum tuggu3biti av mati, matartugga,ikki eiga tuggu at leggja í munnin4skrá 2, skrátugga,tíðindini vórðu vend og vend eins og ein tugga5evni (3) ein í heilum talar um, afturróður (5);sms. t.d.beina-,kjøt-,ravna-,tadda-,tubbaks-
tuggumatur	1matur ið verður tugdur, átumatur,móts.spónamatur2(flutt m.)einel.e-t ið støðugt er fyri ákoyringum og spotti,tey eru til tuggumat(t.d.um almennar persónar)(nógv umtalað, hava einki í friði)
tuggutablett	(lækn.)tablett at tyggja
tugl	gírni, pírni, natni(Sv)
tugla	(t.d.um mat)fáa at røkka til, drýggja (1), tíðla 1(2),tugla matin út, so øll fáa ein bita (eina tuggu);hann tuglaði tøðini út á teigin(breiddi so tunt sum gjørligt)
tuglari	ein ið er sera kargur(Sv)
tugna	(óregl.)->tígna
tuka	(stb.)1í osb.tuka burtur úr (e-m)lemja (e-n) av, berja (e-n) av,hann tukaði burtur úr honum;tuka (e-n) afturskunda sær at fáa (e-n) aftur2(stb.)súgva,kópahvølpurin liggur og tukar buppuna;nú var eingin buppa at tuka
tukan	(sj.)tungur róður, togan (2),tað var ein tukan um fjørðin
tukt	1agi, uppvenjing2góð uppaling, sómi, heiður (1),(kvæð.)læra (el.kunna) tukt og sinni
tukta	(sj.)tykta, aga (1), revsa, tekstra
tukthús	(gl.)fangahús, fongsul, gegl 2, betranarhús
tulipan	(plfr.)skreytplanta í slektiniTulipa, tulpa
tulipanur	(plfr.)tulipán
tulka	1umseta munnliga2greiða (øðrum) frá meining, innihaldiel.tíl.í e-m, tolka, týða 1(4), útleggja, úttýða,tulka lógina;tulka skriftina;tulka bókmentir3fata, skilja,talan varð tulkað sum stuðul til uppskotið
tulking	tað at tulka
tulkur	ein ið týðir talu úr einum máli í annað, ein ið tulkar (1), tolkur;sbr.týðari
tulpa	(skaldsk.)tulipán
tumark	(gl.)myntur verdur tveir markar (1), túmarkur(í tátti)
tumbla	1larma, tumla 1,hurðin brast upp, og eitt tumblaði inn(kom brestandi);koma tumblandi2detta við buldri
tumbul	ófriður, larmur, gangur, rumbul,húsfólkið vaknaði av tumblinum
tumla1	flyta (seg) tungliga og larmandi,fleiri útlendingar ganga og tumla uppi í dansinum við hvørki stevi ella stigi;hann tumlar við einum ankari av brennivíni(knossast);hann fór skerflatur og tumlaði líka út í tún;teir tumlaðu seg niðan(í myrkri á fjall)
tumla2	1trýsta áel.handfara við tumlinum,har verður gníggjað og tumlað2biðja seg við bili við at hava tummilin upp,eg tumlaði til Havnar[en.hitchhike]
tumlafattur	við tumlum bendum afturav, við føttum tumlum
tumlafavnur	longdin millum tumlarnar á útrættum ørmum,longdin á neytabási var ein tumlafavnur
tumlaketta	ketta við framlabbum við eykaklóm líkum tumlum
tumlari	ein ið tumlar 2(2)
tumlasterkur	sterkur í tumlunum
tumma	(um seyð)loysa skinnið frá krovinum við hondiniserst.tumlinum,gimburlombini eru moyr at tumma;veðragjólingur er tiltikin at vera seigur at tumma
tummaborð	borð (5) ein tumma til tjúktar
tummafjøl	fjøl ið er ein tumma til tjúktar,er ikki bert ein ill tummafjøl millum tykkum og kýrnar?
tummagarn	garn til at veiða tummasild í
tummalangur	ið er ein tumma til longdar,ein tummalangur stubbi av einum bandi
tummaseymur	tummalangur seymur
tummasild	(fisk.)tummatjúkk sild,tú kundi fáa full gørnini av góðari tummasild
tummasmessa	21. desember
tummastokkur	amboðvanl.av træ við ámerktum mátingareindum í tummum og/ella sentimetrum at máta við(at leggja saman)
tummatjúkkur	ein tumma til tjúktar
tummaviður	tummatjúkkur borðviður
tummi	(mát)2,54 cm(styttt),tann gamli danski tummin er 2,615 cm;(flutt m.)hann veik ikki ein tumma fyri honum(ikki minsta vet)
tummil	1innasti fingur á hond(við tveimum liðum og tjúkkari enn hinir),tummilfingur2partur av handskael.vøtti uttan um tummil (1);sms. t.d.fiski-,vattar-
tummilfingur	tummil
tummilskrúva	pínslutól til at kroysta (el.knúsa) tumlarnar við
tummilsregla	vegleiðandi regla løtt at skilja og minnast
tumming	tað at tumma,ofta gekk stríggið við tummingini, og ofta var illa paðað
tundra	(jarðfr.)slætt skógarleyst heiða- og mýrilendi norðan fyri skógarnám har ið frostið aldri rættiliga fer úr jørðini, frostmýri
tundur	1børkur (1) av suðurlendsku eikiniQuercus suber2(gl.)kveikingarevnit.d.av turrmodnaðumel.fúnaðum viði, njóskur (1)
tundurbaks	dós til tundur (2)(Sv)
tundurflot	flot (4) av tundri (1)
tundurproppur	proppur (1) av tundri (1), tundurtøppur
tundurskeyti	løriftsskeyti nýttur í staðin fyri tundur (2)(Sv)
tundurtøppur	tundurproppur,tann lítli skipbáturin hoppaði upp og niður sum ein tundurtøppur
tunfiskur	(fisk.)slag av stórum makreli(størsti beinfiskur í sjónum, 2-4 metrar langur)(Thunnus thynnus)
tunga1	1(hjá fólki og dýrum)beinleyst vøddamikið yrkisgagn í munnholu(við týdningi fyri meltingina og sum málamboð),sleikja við tunguni;væta tunguna(góman);leggja tunguna áleska, smakka;ikki hava teir lagt tunguna á brennivín;hann beyð teimum at væta tunguna við víni;lata av tungu fallamæla fyri munni, siga;tað lá honum á tunguni at spyrja(hann mundi sagt tað);orðini høvdu ligið á tunguni á mær, nú hevði hann sagt tey fyri meg;hav nú góða tungu!hav ikki orðið á;tað er undarligt av tær, at tú fert at trúgva hvørjari tungu, áðrenn tú hevur hoyrt meg(øllum slatri);illar tungur vilja vera við;taka (e-t) upp á tungunanevna, umrøða;hann vil eg ikki taka upp á tunguna;hon hevði eina hvassa tungu, og nógv av tí, hon spáddi og hevði orðið á, skuldi ganga út;eg vildi havt tunguna á hann, áðrenn hann fer(orð á hann);tala í tungum1(bíbl.)nýta tungutalu,eg vildi, at tit allir talaðu í tungum2(flutt m.)vera ógreiður í orð og tal;av manna tungu fær hann tilfar sítt;hava tvær tungur í einum heysisiga eitt nú og annað tá;eg síggi fyri tungu(sagt til at verja seg fyri spírstungu)2tungumál,føroysk tunga;(gl.)donsk tunga(forn)norrønt mál3sprita til at spenna bogasag við, spennitræ (2), pitil4klinkutunga5(á skógvi)árundur (leður)geiri undir rivu stimaðari við lissu6mjátt lendi millum tvær áir ið renna saman, áartunga,tungan millum Fossá og Myllá7(fisk.)slag av smáum flatfiski(livir á hørðum botni)(Microstomus kitt);sms. t.d.áar-,eld-,fram-,kattar-,kettu-,manna-,neyta-,rívi-,spírs-
tunga2	(um eld)gera skap sum tungu, sleikja,hvørja ferð eldurin tungaði seg upp
tungalda	tung alda,(skaldsk.)upp tungalda fløddi um flúrar og sker;tær ævinliga rullandi tungaldurnar
tungamboð	tungt amboð(annað enn handamboð)
tungan	tungliga,stynja tungan;draga andan langan og tungan
tungarbeiði	tungt og strævið arbeiði,hann var ov gamal til tungarbeiðis;tungarbeiði kom nógv at hanga á okkum børnunum;tað er tungarbeiði at røkta bø og haga
tungfermdur	við tungum farmi
tungfloygdur	(um fugl)tungur á flognum,tungfloygdur sum lomvigin er;(flutt m.)týðingar hansara verða eitt sindur tungfloygdar av rímneyð(knortlutar)
tungfloyttur	sum flýtur tungt,trolarin gerst so tungfloyttur, at nøsin er mestu tíðina undir kavi;skarvur er tungfloyttur;(flutt m.)ovbyrjaður, tungur,tungfloyttur stílurel.tekstur;sbr.tungfloygdur
tungfóðraður	(um kríatúr)ið etur nógv, fóðurtungur
tungføri	trekleiki, tregi (2)
tungførur	1tungur á sær, seinførur (1), pjakutur,móts.kimiligur,hann er ein døllur, klossutur og tungførur;tungfør, beindovin neyt;hon er tungfør(nógv við barn);kúgvin er vorðin tungfør(av elli ella nógv við kálv);ærnar eru so tungførar, at eg vænti tær at lemba tvey2ringur at handfara, óvirkiligur, tungur, trupul
tungføttur	tungur á fótum, tungur upp á sporið,tungføttur gekk hann niðan í brekkuna
tunggongdur	1tungur á fótunum, tungur upp á sporið, løggutur (2)2tungur at ganga,um tunggongd gerst mín gøta;kavin er tunggongdur;tunggongt er í kava
tunghentur	lorkutur, klombrutur (1), óhegnigur,móts.lætthentur
tunghoyrdur	ið hoyrir illa, heldur deyvur
tungi	tyngd (2),í osb.liggja í tungakoma í tyngd, vera um at sovna
tungídnaður	jarn- og stálídnaður og framleiðsla av tungari útgerð, tungum vápnumo.tíl.
tungl	(sj.,skaldsk.)máni (2),lýsi vítt um tún og tindar tungl og gylta sól
tungla	tugla, drýggja(Sv)
tunglátin	heldur tungur (6),hitt tunglátna, langtandi kvæði mylnarasveinsins
tungliga	1nóg illa, so dánt, tvørliga2tungan,suffa tungliga(við tungum andadrátti);tungliga steig sólin úr kavi;hann risti tungliga við høvdinum(dapurliga)
tungligur	1heldur tungur, tvørligur (1), strævin,hansara tungligu spor doyðu so líðandi burtur á vegnum;at føra torv var tungligt arbeiði;mangan var tungligt at rógva til lands2syndarligur, dapur, harmiligur, grøtiligur,tað var tungligt, at slíkt skuldi henda
tunglisin	tungur at lesa, torlisin,bókin er tunglisin
tunglyndi	dapurt og tungt lyndi, stúrið og sorgtungt lag, tungsinni, hugatyngd, hugtyngsla
tunglyndur	tungur í sinni, tungsintur, hugtungur, hugsjúkur
tunglyntur	tunglyndur
tungmetal	(evnafr.)metal við stórari evnisnøgdt.d.blýggj og kyksilvur
tungmæltur	tungur fyri málinum
