u	(málfr.)sjálvljóðsstavur (nevndur[u:])
undirløgubátur	(bjarg.)bátur ið liggur undir tá ið menn eru í bjørgum(og tekur tann veidda fuglin upp av sjónum so hvørt sum hann verður blakaður niður),lomvigin verður kiptur og blakaður niður til undirløgubátin
undirløgugras	(plfr.)slekt í ræplantuætt(latið í mjólk til at fáa hana at ystast skjótari),jesuspápablomstur(Pinguicula),vanligt undirløgugras(P. vulgaris)
undirløgukjaftur	(stb.)biðiskinskjaftur
undirløgumaður	maður á undirløgubáti,undirløgumenninir fingu ein fjórðing av fuglinum
undirløguskinn	(Myk.)kveikamagi
undirmaður	1maður ið er undir (el.í valdi hjá) øðrum manni,góðseigarin kundi gera við sínar undirmenn, hvat honum líkaði2ein ið tapirel.er við undirlutan
undirmannaður	við ov lítlari manning
undirmálsfiskur	fiskur ið er minni enn minsta mát
undirmálslaksur	laksur ið er minni enn minsta mát
undirmeldur	meldurstreymur niðri í sjógv
undirmeta	meta minni verdan enn í royndum er, halda (8) lítið um, lítilsmeta,fyrst nevna vit Hanus, tó ikki fyri at undirmeta hinar
undirmeting	tað at undirmeta
undirmígur	1ein ið pissar undir segel.í song, undirpissur2steinur í grótveggi ið er soleiðis lagdur at vatn rennur inneftir undir honum
undirmógvur	niðara hædd av mógvi(har ið tvískorið er),undirmógvurin skuldi ikki verða skorin nærri, enn at hæddin á grevinum var eftir, so skuldi mógvurin vaksa aftur eftir 20 árum;sbr.yvirmógvur
undirmuður	undirmunnur
undirmunnur	1niðari partur á munni, niðari munnur,móts.yvirmunnur,tenninar í undirmunninum2leysatenn í undirmunni (1)
undirmørur	lundir av seyði(áfastar við mørin (2))
undirnavn	(sj.)undirtittul
undirnet	(skip.)niðari partur á troli
undirnev	(fugl.)niðari partur á nevi,móts.yvirnev
undirnevnd	nevnd sum onnur (størri) nevnd velur(til at loysa ávísa uppgávu)
undirniðan	í neðra
undirniðri	undir bátinum,nú er fiskur undirniðri
undiroka	(bíbl.)kúga
undiroystur	undirdíktur,síoysa 2
undirpartur	niðariel.niðasti partur á e-m,móts.yvirpartur
undirpissur	undirmígur (1)
undirprísur	prísur lægri enn tann vanligiel.regluligi
undirrekkjuváð	(gl.)rekkjuváð til at liggja á(oman á seingjarhoynum);sbr.yvirrekkjuváð
undirrekningur	(sj.)blonda um botnin á rómakrukku
undirrita	skriva undir(t.d. bræv),í mai kundi løgmaður saman við danska uttanríkisráðharranum og bretska varauttanríkisráðharranum undirritasáttmálan;undirritaðupersónar sum hava undirskrivað eitt formligt bræv,til staðfestingar av hesum hava undirritaðu við fullgóðari heimild skrivað undir henda sáttmála
undirrokin	undir í e-m ið fokið er gjøgnum luftinat.d.sandi, dumbuo.tíl.,at vera undirrokin í dumbu var ikki tespiligt,sírúka
undirrómi	(mjólk.)tunnur rómi ið legst omaná tá ið tann tjúkki rómin er omanavtikin,undirrómin varð tikin omanav og oftast brúktur út í kaffi;sbr.yvirrómi
undirrættur	(løgfr.)lægsta rættarstigt.d.Føroya rættur
undirsetningur	(málfr.)setningur ið er undirskipaður øðrum setningi
undirsetumaður	(bjarg.)undirsitingarmaður
undirsitari	(bjarg.)undirsitingarmaður
undirsitingarmaður	(bjarg.)maður ið situr undir(t.e. situr við hælirnar og gevur út el. heldur eftir sum sigmaðurin vil),viðsetumaður, viðsitingarmaður, undirsetumaður, undirsitari
undirsíða	niðara síða á e-m
undirsjóvartunnil	tunnil undir havbotninum(millum oyggjarel.lond)
undirskegg	skegg um høku og kjálkar,móts.yvirskegg
undirskelvtur	fjaldur undir kava (el.ísi), undir í kava, avskelvtur,stórur partur lá undirskelvtur av ísi;húsini vóru undirskelvt í kava;hon er undirskelvt av kava(er tann beri kavi uttan á klæðunum)
undirskemma	(stb.)1niðara lag av gróti(har ið teir brutu grót t.d. til hús),tá ið ovasta lagið er brotið upp, kemur tú niður á undirskemmuna2lægri partur á flúri,ein flúrur kann hava eina undirskemmu;teir róðu seg upp á undirskemmuna, ikki upp á sjálvan flúrin
undirskeyti	(bát.)árarskeyti ið liggur niður á borðskeyta í róðri,móts.yvirskeyti
undirskildur	skildur (5) uttan at verða sagdur beinleiðis,tað er undirskilt
undirskipaður	1(um haga)við minni seyði enn hagin ber,móts.yvirskipaður2(málfr.)ið stendur á lægri stigi,undirskipaður setningurel.setningsliður
undirskipan	(málfr.)tað at vera undirskipaður(um orð el. setning)(hypotaxis)
undirskjal	(løgfr.)eykaskjalt.d.í rættarmáli
undirskjúrt	tunt skjúrt at hava innan undir kjólael.skjúrti
undirskot	hall 1(4),móts.yvirskot,tiltakið gav undirskot
undirskógur	(plfr.)lágur tættur gróður í skógi
undirskrift	navn skrivað undir e-tt.d.skjal, brævo.tíl.(til samtyktar el. góðkenningar)
undirskriva	seta navn sítt undir (t.d.skjal, brævo.tíl.), skriva undir
undirskriving	tað at skriva undir
undirskør	undirskørr
undirskørr	skørr (2)(har ið t.d. lína kann koma føst),ein undirskørr er tætt við lendingina, annars bládýpi
undirslag	(húsasm.)bjálkar sum gólvið liggur oman á
undirspæl	(tónl.)fylgispæl
undirstaddur	(plfr.)við bikari, krúnu og sáðberum ið spretta úr blómubotninum niðan fyri eggleguna,undirstødd blóma;sbr.kringstaddur,yvirstaddur
undirstanda	1í osb.undirstanda segvága sær,tú skalt ikki undirstanda teg at gera tað2(gl.)skilja,undirstóð hann dvørgamál
undirsteinur	niðari kvørnarsteinur,móts.yvirsteinur
undirstinga	(gl.)mutra
undirstjóri1	(bjarg.)eftirstjóri (2)
undirstjóri2	stjóri 2 undir forstjóra
undirstreymur	streymur niðri í sjónum;(flutt m.)gjøgnum brøvini gongur ein heitur undirstreymur av heimkenslu(hugrenningar)
undirstúka	(gl.)stúka
undirstúrsin	(stb.,sj.)(um fólk)ið tykist snubbuturel.kvettin
undirstætt	lág samfelagsstætt,munurin millum undirstættina og borgarastættina
undirstøða	1undirstøði,(flutt m.)undirstøðan undir Hammershaimbs stavseting;tær bestu uppskriftirnar eru havdar til undirstøðu í hesi útgávuni2lendi niðast við sjógvin,tað var tjúkt í erva, so bert undirstøðan sást;sbr.undirstøðuýti
undirstøði	tað ið e-t verður bygt á, støði (1), grundarlag, undirstøða (1), grundvøllur,undirstøðið undir basaltháslættanum
undirstøðukervi	kervi (2)el.útbúnaður í einum samfelag viðv. flutningi og samskifti(t.d.vegum, ravmagns- og vatnveiting, telefonneti, alnetio.s.fr.sum neyðugari fyritreyt fyri einum væl virkandi samfelag),eitt væl útbygt undirstøðukervi[da.infrastruktur]
undirstøðuligur	støðisligur
undirstøðuýti	ýti í neðra tá ið tjúkt er í erva, bakkaýti, ýti á undirstøðu
undirsyll	(húsasm.)niðara syll (1)(at festa stórviðin í í neðra),móts.yvirsyll,í gomlum húsum lógu undirsyllarnar niður á jørð
undirtak	(ítr.)(í glímu)tak í neðra, niðara tak,móts.yvirtak,hann hevði bæði undirtøkini;sbr.brókatøk
undirteigur	(stb.,sj.)lágur teigur við bakka báðumegin, stokkagrøv(í teigalendi)
undirtekstur	tekstur niðantil á filmi (2) til at týða tað ið sagt verður(í sjónvarpi, kykmyndahúsio.tíl.)
undirtittul	tittul undir høvuðstitli á bóko.tíl.(ið lýsir innihaldið nærri)
undirtorva	niðasta torva í reisu, torva sum liggur á jørðini,tey brúktu tríggjar torvur til hvørja reisu, eina undirtorvu og tvær yvirtorvur;sbr.yvirtorva
undirtóni	1(tónl.)tóni ið ljóðar spakuliga saman við harðari grundtóna,móts.yvirtóni2e-t ið sipað kann verða til men ikki sagt bart út,politiskir undirtónar
undirtráður	(í seymimaskinu)tráður ið kemur av spola niðri í maskinuni, niðari tráður í seymi (1),móts.yvirtráður
undirtrom	(húsasm.)stavlag,móts.yvirtrom
undirtroyggja	tunn troyggja at hava næst kroppinum(t.d. innan undir skjúrtu),móts.yvirtroyggja
undirtrútsligur	(stb.)ið sigur lítið, fáorðaður, innanhokin, tvørur
undirtrygging	(trygg.)tað at undirtryggja
undirtryggja	(trygg.)tryggja lægri enn virðið er, tryggja ov lágt
undirtrýst	(alisfr.)lægri lufttrýst enn uttanumt.d.í ílati,móts.yvirtrýst
undirtvingsla	kúgan,har var eingin undirtvingsla
undirtøka	tað at taka undir (viðt.d.sjónarmiðum hjá e-m), viðhald, stuðul (3),fáa undirtøku fyri sínum sjónarmiðum;fálig var undirtøkan
undirvaksin	undirgrógvin, avvaksin,jørðin er undirvaksin við loki
undirveð	(løgfr.)veð sum veðsetari ikki hevur latið frá sær og framvegis hevur ræðið á(t.d. veð í fastari ogn),móts.handveð
undirveitari	(lítil) fyritøka ið veitir (størri) fyritøku vørur(ið verða nýttar sum partur í framleiðsluni hjá henni),undirveitarar hjá skipasmiðjuni
undirvekt	minni vektel.tyngd enn eigur
undirvirðing	(gl.)undirmeting, vanvirðing,undirvirðing av góðum siðum
undirvirðiskensla	(sj.)undirlutakensla, minnivirðiskensla,hon hevði mist undirvirðiskensluna
undirvirðissøla	(búsk.)vøruútflutningur fyri undirprís[en.dumping]
undirvitska	(sálfr.)loynivitska, dulvit
undirvísa	læra frá sær,undirvísa børnum
undirvísing	tað at undirvísa, kensla 2, frálæra
undirvísingar-	viðv. undirvísing,sms. t.d.-amboð,-tilboð,-endamál,-evni,-førleiki,-háttur,-høli,-skipan,-tilboð,-tilfar,-ætlan
undirvísingarskylda	(skúl.)1skylda hjá foreldrum (el.verjum) at lata børn í skúlaaldri fáa undirvísing2skylda hjá lærarael.granskara at undirvísa(t.d.ávíst tímatal um vikuna)
undirvísingartími	(skúl.)skúlatími
undirvørr	1vørr á undirmunninum,móts.yvirvørr,rossið bannast, tá ið tað letur við undirvørrini2(plfr.)niðari partur á varravaksnari krúnu 1(3)
undra	vekja undran, gera bilsnanel.ovfarnan,tað undrar meg stórliga;tað er ikki at undratað er ikki løgið;undra segel.undrastgerast bilsinel.ovfarin (av e-m);undrast á (e-t)gerast bilsinel.ovfarin um (e-t);sms. t.d.há-,ovur-,stór-
undran	tað at undrast, ovfarni, bilsni,tá fyltist eg av undran;vekja undran;sms. t.d.há-,ovur-
undranarhávirðing	hámeting, háundran,hava undranarhávirðing fyri e-m
undranarsamur	ið vekur undran, ið fær e-n at undrast, merkiligur, undranarverdur,hitt loyndarfulla, undranarsama havið
undranarverdur	undranarsamur
undrunar-	síundranar-
undur	e-t undranarsamt, yvirnatúrlig hendingel.gerð, undurverk, undurgerð, undurgerningur, kraftagerð, kraftaverk, mirakul,ei undur ítað er ikki at undrast á;undur er tað, ið sjáldan sker;sms. t.d.breyð-
undurbarn	barn við framúr góðum gávum,Mozart var eitt undurbarn, ið skrivaði tónleik longu fimm ára gamal
undurfagur	sera fagur, sjáldsama fagur, undurvakur
undurfullur	frálíka góður, hendinga góður, frálíkur, undurríkur, undursamur(uttan líka),dýrdarfullur,Guds undurfulla verk
undurgerandi	ið kann gera undurel.kraftagerðir,tann undurgerandi myndin av halgu moynni
undurgerð	undur,eitt mirakul, ein sjónlig Guds undurgerð
undurgerningur	undur
undurmikil	undursamur
undurríkur	undurfullur
undursamligur	undursamur
undursamur	undurfullur(eins og eitt undur),hin undursama rósan;ein undursom megi
undursemi	tað at vera undursamur
undursjón	undurfullel.avbæra vøkur sjón,útsýnið var ein undursjón
undurvakur	undurfagur
undurverdur	undurfullur,á undurverdan hátt
undurverk	undur,undurverk Jesu;(tilt.)ei var undurverk, um dóttir trein í móður serk(um dóttir er el. ger eins og móðirin)
undurvænur	undurfagur
unga	s30í osb.unga útklekja (egg út);ein lundi ungaði út í hasum holinum;eggið er ungaðungi er í egginum, eggið er yngt
ungaegg	1fyrsta eggið undan ungari hønu2lítið egg undan ungari hønu
ungagás	gás við ungum,her varð sitið sum hjá ungagás
ungaligur	lítil og fittur(um smábarn)
ungamamma	hønael.dunna við ungum,(flutt m.)hatta er ein sovorðin ungamamma(góð við børnini, óvitarnir flokkast um hana)
ungapipp	(stb.,barn.)smáfuglur
ungarari	ungari
ungari	fólk íel.úr Ungarn, ungarari, ungverji
Ungarn	land í Evropa;sbr.Húnaland
ungarskur	íel.úr Ungarn, ungverskur
ungast	1ikki tora at bera fram síni ørindi(t.d. kemur sær ikki),unglast,hvørjum gongur tú her og ungast eftir?2ikki gerast liðugur (við e-t), bølast oman á,hvat ungast tú við har?
ungdóms-	viðv. ungdómi;sms. t.d.-ár,-blómi,-dølskleiki,-dreymur,-kæti,-leiðari,-lív,-megi,-minni,-skúli,-vinur
ungdómsarbeiði	arbeiði ið gjørt verður til frama fyri ungdómin(t.d. av samfelagnum el. felag),ítróttafeløgini gera gott ungdómsarbeiði
ungdómsdeild	deild 1 undir (størri) felagsskapi (t.d.ítróttafelag) ið fæst við ungdómsarbeiði
ungdómsligur	eyðkendur fyri ungdóm
ungdómsvanlukkutrygging	(trygg.)tygging ið veitir endurgjald tá ið ungdómur er fyri vanlukkutilburði
ungdómur	1tað at vera ungur,barndómur, ungdómur, manndómur og aldurdómur2tíðin tá ið ein er ungur, ungdómsár,í mínum ungdómi3unglingi, ungfólk4(samt.)tað unga fólkið,ungdómurin nú á døgum
ungfiskur	(fisk.)ungur fiskur(av øllum sløgum, áðrenn hann er gýtingarførur),friða ungfisk
ungfoli	(ungur) foli 1, ungross
ungfólk	tað unga fólkið, ungdómur,bókin er ætlað ungfólki og børnum
ungfrú	frøkun
ungfrúgv	ungfrú
ungfuglur	1tann ungi fuglurin(ið ikki hevur vorpið enn)2unglomvigi
unghestur	ungur hestur, ungross
ungi	avkom hjá fugli og summum djórum,(tilt.)nú skal antin verða egg ella ungi,síegg 2;eggið er í unga(ungað);sbr.pisa;sms. t.d.antar-,baks-,blóð-,bøgu-,dún-,gásar-,gøðingar-,han(a)-,høsnar-,likku-,lomvigar-,lort-,lús-,orma-,óarga-,ravns-,ritu-,skarns-,skarvs-,tjaldurs-,æðu-
unglaksur	(fisk.)smolt 2
unglast	1ungast (1),hann stendur og unglast(fær ikki sagt tað sum hann ætlar)2ungast (2),hann gongur og unglast og unglast(melur uttanum, fær ikki upp í lag)
ungligur	1ið tykist ungur(í atburði, útsjónd o.tíl.),hon sær so unglig út2ið eyðkennirel.sermerkir ungdóm, ið sømir ungdómi,ungligir litir
unglinga-	sms. t.d.-ár,-blað,-fjøld,-sinni,-skúli
unglingalið	(ítr.)lið 4(2) av unglingumo.u.16-19 ára gomlum,leikari á unglingaliði skal ikki verða fyltur 19 ár fyri 1. januar í kappingarárinum
unglingi	ungur drongur,(skaldsk.)unglingar og gentur kvóðu kátt
unglingur	unglingi
ungljón	(bíbl.)ungt ljón
unglomvigi	(Suð.,fugl.)ungur lomvigi,eg meini, tú ert sum ein unglomvigi(væl í holdum)
unglundi	(fugl.)ungur lundi
ungmaður	1ungur maður,tað eru vána ungmenn, ið vilja liggja heima2(sjóm.)ungur sjómaður á farmaskipi, jungmaður
ungmanna-	sms. t.d.-arbeiði,-ár,-fjøld,-fundur,-fylking
ungmannafelag	1felagsskapur fyri ungdóm2frælslyntur felagsskapur fyri ungdóm(og sum frá leið eldri við)sprottin úr tjóðskaparrørsluni,elsta ungmannafelag í Føroyum er Sólarmagn stovnað í 1895
ungmannafelags-	sms. t.d.-fundur,-lív,-samkoma,-tíð
ungmannafelagsrørsla	rørsla (2)(sprottin úr tjóðskaparrørsluni)ið hevði við sær at ungmannafeløg vórðu stovnað,ungmannafelagsrørslan tók seg upp tíðliga í 20. øld
ungmenni	ungfólk
ungmoy	(skaldsk.)ung ógift genta
ungmoyggj	(skaldsk.)ungmoy
ungneyt	ungt neyt
ungross	ungt ross
ungsintur	ungur í sinni, við ungum sinnalag
ungskógur	(plfr.)(lágur) skógur við ungum trøum
ungur	1sum hevur livað lutfalsliga stutt, ikki gamal,maður deyður í ungum árum;á ungum aldri (árum);frá ungum hevði hon varðveitt dreymin(frá ungum árum);mest var ungt, ið fleyg(ungfuglur)2ið hevur lágan aldur samanborið við e-n annan (el.e-t annað),hann er ov ungur at fara í skúla;hann er ov ungur at koyra bil;eg havi ung bein at standa á(eri ungur og orki tí væl at standa uppi t.d. í bussi)3ungdómsligur,ungur í sinni4heldur nýggjur,okkara unga skriftmál;ung vísindagrein5(um tíð)lítið framliðin,árið er ungt ennlítið er liðið á árið;dagurin er ungur;náttin er ungenn er einki liðið á náttina;sbr.blaðungur
ungverji	ungari
ungverskur	ungarskur
universitet	lærdur háskúli, fróðskaparsetur
unna	1fegin lata (e-n) njóta (e-t),unna e-m e-tfegnast um at e-m lutast e-t;hon er øvundsjúk og unnir ikki Karini henda góða drong;eg unti teimum sigurin;tey unna sær einki(eru natin);tey unnaðu sær ikki at liva;tú mást unna tær svøvn;tað er tær væl unt2(gl.)unna e-nel.e-mvera góður við, elska;unna e-m væl;(kvæð.)mær unti Brynhild Buðladóttir;at tú unnar mannin tann;(tilt.)tey, sum unnast best, eru tíðum hvørt øðrum verst3unnast1falla (e-m) í lut, eydnast,eina ferð unnaðist mær at vera eftir tvøsti suðuri í Lopra;(kvæð.)unnast mær ein hundsaldur2kenna seg væl og tryggan(serst. í myrkri),unnast væl/illa;ikki unnast inni í myrkri;sbr.ynna 2
unnasta	(skaldsk.)unnusta
unnasti	(skaldsk.)unnusti
unnileiki	tað at unnast væl, tryggleiki, trygd,tað er ein unnileiki í honumtað er ein uggi at hava hann hjá sær;sbr.ugguleiki
unniligur	1vakur, hugtakandi,eitt unniligt landslag2verdur at unna (2), elskuligur3tryggur, óttaleysur,í osb. sumtað er so unniligt at ganga, tá ið onkur er við
unnusta	(skaldsk.)genta ið drongur er trúlovaðurel.góður við, unnasta,unnusta hansara
unnusti	(skaldsk.)drongur ið genta er trúlovaðel.góð við,unnusti hennara
upp	1av lægri á hægri staðel.stigo.s.fr.,móts.niður,upp undir miðju, knæo.tíl.;fáa hoyggið upp í sátur;fáa upp í skógvarnar(gerast vátur um bein);aldurnar draga upp og niður við klettin;byggja upp;fara upp á takið;ganga upp;koma upp;lesa seg upp;lyfta upp;prísurin fer upp(hækkar);reisa seg upp;rísa upp;beint upp og niðurloddrætt;(flutt m.)raksturin (t.d.hjá virki) stendur upp og niðurvirkið ber seg2úr seingini,fara upp3inn móti landi(frá sjónum),upp undir land4(um tíð)fram,upp at jólum;heilt upp at okkara døgum5fram í ljósið, til sjóndar,grava upp;alt snoddaði hann upp(fann hann);tað kemur eina ferð upp, sum hann hevur gjørt(spyrstel.frættist)6til støðu tá ið e-t er opiðel.sundur,fáa ein knút upp(loysa);lata uppopna;læsa upp;skera upp7í ávísum raðfylgi, eftir ávísari skipano.tíl.,rokna upp;seta roknskap upp;skriva upp;telja upp8til størri rúmd, víddo.tíl.,bólgna upp9til uppi er, til tómt er, til einki er eftir,eta upp;fiska upp;høgga uppoyða 2;torna upp10heilt og fult, fullkomiliga,hann rodnaði upp;hita upp11(saman við fs)upp aftur:sigla upp aftursigla aftur á aftur;upp afturá:leggja seg upp afturá;upp at:upp at fiskimarkinum(tætt inn ímóti);upp á:lat einki koma upp á taðlat tað ikki fáa skaðao.tíl.;hon er vøkur upp á kropp;læra upp á e-n,sílæra 2;stingast upp á e-n;upp á seg(við herðing áseg)eftir umstøðunum, rættiliga, eitt sindur, heldur, nakað;í norðaru helvt skarst væl upp á seg(samanborið við sunnaru helvt);upp eftir:upp eftir e-m;upp frá:flogfarið lætti sær upp frá breytini;upp fyri:upp fyri eggina;upp í1í,skeinkja e-m upp í glasið;upp í dansin2(um broytingserst.tann verra vegin)koma upp í einkigerast til einki, enda í ongum, verða at ongum;brenna upp í kolkolast upp;koma upp í møsngerast bert prát;traðka upp í nakka(á hol);koma upp í rakgerast rak;ýta av upp í rákið;upp í røkurum aftur og um aftur;upp í samanum aftur og um aftur;koma upp í varggerast vargur;upp um:fletta upp um seg,sífletta;upp undan:upp undan vatnskorpuni;upp undir:hon er full upp undir hendur(nógv við barn);gera upp undir tráðubinda dorg upp undir tráðu;upp úr:mjólkin skvampar upp úr spannini12(saman við sagnorði)t.d.ala upp;bólgna upp;eta upp;fáa upp;fletta upp;flotna upp;ganga upp;gera upp;geva upp;hita upp;klára upp;kalla upp;koma upp;lata upp;leita upp;leggja upp;rokna upp;skjóta upp;skriva upp;rekja upp;renna upp;seta upp;siga upp;taka upp;telja upp;torna upp;vaksa upp;vaska upp;yngjast upp(sísagnorð)
uppaftur-	sms. t.d.-bygdur,-doyptur,-latin,-livnaður,-loystur,-prentaður,-tikin;sbr.endur-
uppaftur	1enn eina ferð, av nýggjum, um aftur, enn 4(4),hetta verður ikki gjørt uppaftur;giftast uppaftur;ganga/koma uppaftur(um t.d. kúgv)vera á riði aðruferð(tí at hon ikki varð kviðin fyrru ferð)2í enn størri mun, enn 4(1),uppaftur betri, størri, verrio.s.fr.
uppafturgiftur	giftur av nýggjum (t.d.aðru ferð)
uppafturgrivin	grivin upp aftur úr grøvini,síggja út sum eitt uppafturgriviðsíggja sjúkur út, bleikur og ússaligur, rako.s.fr.
uppafturhitaður	(um mat)upphitaður umaftur
uppafturkomin	komin aftur á føtur (t.d.úr aftur seingini),uppafturkomin av sjúkuleguni,síkoma upp aftur
uppafturkyknan	tað at kykna upp aftur
uppafturróptur	l/lh tát5(stb.,sj.)í osb. sumvera sum eitt, ið er uppafturróptvera dølskur;tey gomlu søgdu, at tá ið fólk lá til at doyggja, mátti vera kvirt uttan um tey, so at tey vórðu ikki uppafturrópt úr deyðanum(hendi tað gjørdist ein ikki heilt rættsiktaður aftur)
uppafturtos	ósjálvstøðug endurtøka(av tí ið onnur hava sagt el. skrivað),tað, sum blaðið sigur um hvalaveiðina, er nógv uppafturtos
uppafturtøka	tað at taka uppaftur(t.d. e-t ið sagt er frammanundan),endurtøka
uppafturyngdur	vorðin sum ungur av nýggjum,vinabond vórðu knýtt ella uppafturyngd(endurbøtt)
uppalari	barnauppalari
uppaldur	síala upp
uppalin	síala upp
uppaling	1tað at ala (t.d.barn) upp2(um fuglar og dýr)tað at føða upp,við uppalingini ber til at nøra um fitinøgdina í mjólkini(hjá neytum)
uppalingarligur	viðv. uppaling
uppargaður	argaður so at hann er vorðin illur, havdur uppi í skúmi, uppreittur
uppat	hjí osb. sumgevael.halda uppat (við e-m)gevastel.steðga (við e-m);geva uppat at sigla;halt uppat við hasum!tig við hasum, tig við tær!
uppatgevingartíð	tíð at gevast (við arbeiði, spælio.tíl.)
uppathalding	(stb.)(t.d. um illveður)tað at halda uppat,ein uppathalding fæst ikki
uppav	upp oman av e-m,ljóaraskíggin feyk uppav
uppá	upp á e-t,kasta uppá(í binding)bregda tey fyrstu eyguni upp á stokkin;lata uppáleggja øks upp á sornin;lesa uppálesa setningin (2)(til skúlan),spæla uppáspæla e-t ljóðføri;tað er tíð uppátað er ikki ov tíðliga(um e-t ið hevur ligið leingi á láni);koma uppáhenda, koma í,hjúnalagið var komið heldur óvart uppá
uppábót	tað at bøta um, umvæling, umbøting
uppábundin	síbinda uppá
uppábøttur	umvældur
uppáhald	tað at halda upp á e-t, óprógvaður pástandur
uppákasting	tað at kasta uppá(at binda)
uppákomin	lh tát26síkoma uppá,tað er nýliga uppákomið(nýliga hent)
uppás	(støddfr.)loddrøtt ás í krossskipan, y-ás[da.ordinat];sbr.útás
uppáskotraður	sískotra
uppástaðini	um stutta tíð, skjótt(Sv)
uppátrúgv	(sj.)pátrúgv
uppátøka	(í binding)tað at taka uppá, økja um talið á eygum,bundið skal verða beint upp - eingin avtøka og eingin uppátøka
uppbakað	l hsíbaka upp,uppbakað sós
uppbaking	tað at baka upp,ein uppbaking av margarini, mjøli og mjólk
uppbirtningur	(stb.,sjónavn)roykur, vesa
uppblásin	1trútnaður, blásin, avblásin, hovin,beinið á honum var so uppblásið2(flutt m.)hástórur, dramblátur,hann er so uppblásin
uppblástur	1tambaður av luft sum blást er í,uppblástur kíkur;hann hevur altíð verið sum ein uppblástur kíkur(tjúkkur);brosmurnar flotna uppblástar á land(við maganum uppi í kjafti)2uppblásin (1),beinið og lærið var alt uppblást
uppbloyttur	síbloyta upp
uppboð	almenn søla har ið tann sum býður hægst fær vøruna, uppboðssøla, søluuppboð, auktión,keypael.selja á uppboði;sms. t.d.tvingsils-
uppboðshaldari	ein ið stendur fyri uppboðssølu
uppboðssøla	uppboð,selja fisk á uppboðssølu
uppbólgnaður	hovnaður, trútnaður,fingrarnir vóru uppbólgnaðir av kulda,síbólgna upp
uppbrettur	síbretta upp
uppbrot	tað niðasta á plaggi ið verður brotið upp (útá), brot (9), uppslag (2)
uppbrotin	(um ermar)boygdur upp í neðra, uppbrettur,við uppbrotnum skjúrtuermum
uppbrýndur	(um eggjarn)nógv brýndur(at lítið gott er eftir),brýndur upp í nakka,uppbrýndur líggi
uppburðarseyður	seyður ið verður flettur upp og seinni býttur;sbr.karv
uppburður	1vindur ið slær upp fyrit.d.hamar,uppburður, so at rokið stóð av hvørjum tindi2(sj.)framgongd, frami
uppbyggiligur	átrúnaðarliga mennandi,uppbyggiligar bøkur
uppbygging	1tað at byggja upp2bygnaður,uppbyggingin av søguni3átrúnaðarlig menning,okkum til uppbyggingar
uppbyggingarfundur	(átr.)fundur til uppbyggingar (3)
uppbýti	(talv)tað at býta upp(t.e. drepa el. taka mann fyri mann)
uppdaga	gerast varur við, varnast, leggja til merkis, bera eyga við, finna, síggja,tjóvurin varð uppdagaður og tikin
uppdagan	(sj.)uppdaging
uppdagari	ein ið uppdagar e-t
uppdaging	1tað at uppdaga e-t ókent(t.d. nýtt evni, land),viðraking, fundur (3)2e-t sum uppdagað verður
uppdráttur	1tað at dragat.d.bát upp2(um fisk)dráttur (1),ein góður uppdráttur3uppstandari á línu4(land)kort5tekning(av t.d. húsum)
uppdyrking	tað at dyrka upp, velting
uppdyrkingarvegur	(vánaligur) vegur gjørdur í sambandi við uppdyrking(upp úr nýggjum)
uppeftir	1frá lægri til hægri stað, úr neðra og upp;(tilt.)eg mundi dottið uppeftir, tá ið eg hoyrdi tað(gjørdist heilt ovfarin)2(um tíð)frá ávísari tíð og frameftir,tá ið eg var óviti og tað uppeftir;frá 1906 og uppeftir3(um nøgd)úr ávísari nøgd og meira,teir fingu úr tíggju túsund pundum og uppeftir í part4(um virði)úr verri til betri,prísurin kvinkar uppeftir(hækkar spakuliga)5(stb.)á veg úr Hvalba upp á Tvøroyri
upperring	tað at erra upp
upperringarevni	(lækn.)evni ið fær ein at errast upp
uppetin	1etin til einki er eftir,hoyggið var uppetið2(um sjúkling)upptærdur,hann var uppetin av krabbameini
uppevjaður	uppbloyttur,tún og vegir vóru uppevjað,síevja 2
uppfarin	1farin upp av lægri til hægri stað, farin upp í ervael.upp á loft2farin fram úr seingini3hækkaður,prísirnir eru uppfarnir
uppfaring	tað at fara uppt.d.í bergel.úr seingini,leggja áburð til uppfaring
uppfaringartíð	tíð at fara upp (úr seingini) um morgunin,fyri uppfaringartíð
uppfatan	fatan, skyn,mín persónliga uppfatan
uppfattur	bendur uppeftir, upprendur,uppføtt nøs
uppfesti	(sj.)uppslag (1),fundurin skal verða lýstur viku frammanundan við uppfestum
uppfestur	festur upp á vegg, steyrao.tíl.,uppfest lýsing
uppfinna	hugsa upp og gera(t.d. e-t nýtt (tøkniligt) hjálpartól el. amboð sum áður ikki var til),finna upp,Graham Bell uppfann telefonina
uppfinnari	ein ið uppfinnur e-t
uppfinning	1tað at uppfinna e-t2e-t (maskina, amboð, arbeiðshátturo.tíl.) ið er uppfunnið
uppfinningarsamur	sum dugir væl at finna uppá, hittingarsamur
uppfiskaður	1fiskaður so at oyðið er til fisk, troyttur, oyddur,er longan uppfiskað, verður leingi, áðrenn hon kemur aftur2(um soknan hval)krøktur upp av botni
uppfisking	tað at fiska upp(soknar grindahvalir)
uppfiskingarløn	løn fyri uppfisking
uppfitnaður	nógv fitnaður
