U,u1	1málljóð2bókstavur
uklanderlig	(gl.) ólastandi, sum ikki ber til at finnast at
uklar	1gruggutur, kámur, óklárur, (um luft) slímutur; támutur;vandet er uklartvatnið er gruggut;luftener u.luftin er slímut(el.támut), slímut luft, slím er á luftini;blive u.døkkast, kámast;lidt u.hálvkámur2(fl.m.)ógreiður, ógreiniligur, ballutur(t.d.eg fati hann ikki, hann er so balluturel.tí tungan á honum ballast so illa);en u. fremstillingógreið frágreiðing3rage u.koma til ilnar;de er raget u.tað kom til ilnar teirra millum, vátt er komið í reiðrið hjá teimum, teir eru vorðnir óvinir,(tlm.)teir eru vorðnir(el.blivnir) óklárir
uklarhed	ógreiða
uklassificeret	óflokkaður, óskipaður
uklog	óklókur, óvitugur, óskynsamur, óhyggin;u.handlingóklók(el.óhyggin) gerð
uklædelig	1(um klæðir) sum situr illa, sum passar illa, sum klæðir einum illa2(fl.m.)óhóskandi, sum sømir seg ikki
uknappet	ókneptur, óknappaður
uknækkelig	sum ikki letur seg tøla, sum ikki brotnarel.støkkur, óvikandi;en u. livsviljetreystur lívsvilji(el.lívshugur)
ukogt	ráur, ókókaður, ósoðin
ukomplet	ófullfíggjaður, ikki liðugur
ukompliceret	einfaldur, eyðskildur, vanligur, ósamansettur
ukonfirmeret	ófermdur, ikki fermdur, ikki konfirmeraður, ókonfirmeraður, sum ikki hevur fingið prestsins hond á høvdið
ukontrollabel	1ótemjandi, óstýrandi, óstýriligur, øðisligur, villur2ikki eftirkannandi, sum ikki ber til at kanna eftir;en u. påstandpástandur, sum ikki ber til at kanna eftir
ukontrollerbar	síukontrollabel
ukontrolleret	ótamdur; óstýriligur; sum tamarhald ikki fæst á
ukontroversiel	sum eingin ósemja er um, sum einki klandurel.stríð er um
ukorrekt	skeivur, ikki beinur, rangur, ikki sambært fyriskipan;han bar sig u. adhann gjørdi ikki, sum hann átti; hann bar seg skeivt at
Ukraine	(sern., landafr.)Ukraina (ríki í Eysturevropa)
ukrainer	ukraini, ukrainari
ukrainsk	ukreinskur
ukrigerisk	friðarligur, góðsligur;u. personfriðarligt fólk, eitt góðdýr /gødd/
ukristelig	ókristiligur;en absolut u. tankeavgjørt ikki kristilig hugsan;være u. dumvera steinbýtturel.kúbýttur;en u. masse vrøvleitt grúiligt møsn;hanvar u. dovenhann tímdi ikki at rætta hond frá síðu, hann var blóðlatur, hann gjørdi ikki peningsverk
ukritisk	óvandin, óatfinningarsamur; sum trýr øllum, ið sagt verður; ókritiskur, góðvarin, góðtrúgvin;duer alt for u.tú ert alt ov lítið vandin
ukronet	ókrýndur;han var øens ukronede kongehann var fremsti maður á oynni
ukrudt	1lok, illgras, illgresi, villvøkstur, (tlm.) ókrút;der er u. i blomsterbedetblómubeðið er avvaksið við illgresi;samle u.draga á seg(t.d.velturnar draga á seg);fri for ukrudtreingresin, reingresjaður, reingrøsutur2(fl.m.) u. forgår ikke så letverstur brandur liggur longst á eldi
ukrudtsbekæmpelse	arvatýning
ukrudtsbevokset	arvavaksin, arvagrógvin, arvaskotin
ukrudtsmiddel	(lívfr.)lokeitur, arvaeitur, illgrastýnari, ókrútstýnari
ukrænkelig	friðhalgaður, óskemmandi;ejendomsretten er u.ognarrætturin er friðhalgaður
ukuelig	ókúgandi, tógvin, ikki til at kúga, ósigrandi, sum ikki letur seg basa, hatta er sum reyðmaðkur (basist ikki);en u. livsviljeseigur lívsvilji, seiggi er í einum;ukueligt modmót og megi, ótemjandi dirvi;han havde et ukueligthumøraltíð var hann í góðum lag
ukuet	ókúgaður, ósigraður
ukulele	(tónl.) ukulele, ukulela(4- streingjað ljóðføri)
ukultiveret	ómentaður, ósiðaður, ófólkaligur
ukunstlet	(um fólk) ótilgjørdur, óuppgjørdur, natúrligur, ikki uppgjørdur
ukunstnerisk	ólistarligur
ukvalificeret	óskikkaður, (løgfr.) ógegnigur,(tlm.)óegnaður; sum hevur ikki ta skúlingel.útbúgving, ið krevst
ukvemsord	ókvæmisorð, ljótt orð, óflýggjaorð, óvandaorð
ukvindelig	ókonufólkalig(ur), ókvinnulig(ur);en u. sportítróttargrein, sum ikki hóskar (seg) fyri konufólk; ókvinnulig ítrótt
ukyndig	ókønur, óroyndur, ólærdur, starvur, sørur;u. iókønur í
ukæmmet	ógreiddur, ókembdur
ukær	aloftast ísamb.við),(t.d.) det erham ikke ukært at blive rosthonum dámar at verða róstur
ukærlig	óblíður, óvinaligur, ófittur, óalskin, kaldligur, kaldur, ikki góður;en u. sønsonur, ið er ikki góður við(t.d.foreldrini)
ukønnet	(plfr., dýrafr) ókynjaður;u. formeringókynjað nøring
uladet	óløddur
uladsiggørlig	(skemt.) ógjørligur, ómøguligur, ikki gerandi, sum gerst ikki, sum ikki ber til;det eruladsiggørligttað gerst ikki, tað ber ikki til
ulan	ulanur /a·/ (spjótvápnaður reiðhermaður)
uland	(st.) udviklingsland menningarland,(gl.)lítið á leið komið land
ulandsarbejde	arbeiði í menningarlandi
ulandsbistand	síu-landshjælp
ulandsfrivillig	ein, ið arbeiðir sjálvboðin í menningarlandi
ulandshjælp	menningarlandahjálp
ulandsprojekt	verkæltan í menningarlandi
ulastelig	ólastandi, sum ikki kann lastast; lýtaleysur; (um klæðir) sum sita væl, sum passa væl;en u.optrædenlýtaleys framferð(el.atferð)
ulave	ólag, fløkja;bringe i u.brongla, skepla;komme iu.bronglast, skeplast, fløkjast, koma í ólag;garneter kommet i u.tógvið er fløkt(el.í rulki)
uld	ull;u. med dækhårbroddaull;bylt u.ullarknýti;med god u.ullgóður;med lang u.síðullaður(t.d.síðullaður seyður);med kort u.snøggullaður;medsmuk u.ullfríður;hesten taber uldenrossið skáldar ullina;fjerne u. fra fåreskindlata av skinninum
uldarbejde	tøting;gøre u.tøta
uldbeklædning	(á seyði) royvi
ulde	losa, ulnast
ulden	1ullintur, úr ull; loðin;en u. kjoleullintur kjóli;enu. hareungeloðin haruungi2(fl.m.)ullintur, illgrunaverdur, ógreiður;der ernoget uldent ved hamhann man ikki vera heilt álítandi; har er okkurt við honum, ið ikki er, sum tað eigur at vera;billedet er uldent ikonturernemyndin er óklár
uldet	ullaður, sum ull
uldfabrik	tøtingarvirki, ullvirki
uldfedt	(natúrlig) ullarfiti (á seyði)
uldflonel	(um ymisk sløg)-ler(ullar)flonell /-el/
uldgarn	tógv;udenlandsk u.útlendskt tógv
uldhose	ullint hosa, hosa
uldhåndskrabbe	(dý.) vattarkrabbi(Eriocheir sinensis)
uldhår	1ullarhár2rót, nyðra, nappull(móts.broddi)3(fl.m.)tætt purlut(el.krúllut) hár (sum á nekara)
uldhåret	ullhærdur
uldjyde	1(sø.)jútskur ullvøruhandilsmaður (av Herningsleiðini)2(skemt.)júti, jútlendingur(serst.úr Herning)
uldkarte	karði
uldkræmmer	ullarseljari, ullvøruhandilsmaður
uldlus	(dý.) loðlús (hon livir á plantum)(Pseudococcus)
uldproducent	seyðabóndi
uldproduktion	ullarframleiðsla
uldskind	seyðaskinn
uldsky	nyðruskýggj, terranóðrur(kv, flt)
uldsort	ullarslag
uldspind	leysvovið plagg úr ull og reion
uldspinder	spunamaður
uldspinderi	spunavirki, ullvirki, tøtingarvirki
uldstof	ullartilfar
uldsved	síuldfedt
uldtot	ullarlagdur, lagdur,(staðb)ullartoddi;meget lilleu.(ullar)nispa, ullarnipa, ullarnippa
uldtrøje	troyggja, ulltroyggja, ullint undirtroyggja
uldtråd	tógv, ullartráður
uldtæppe	ullint teppi
uldtøj	ullint klæðiel.plagg, ullarklæði(r)
uldvarehandler	ullvørusølumaður, ullvøruhandilsmaður
uldvarer	ullvørur
uldvask	ullarvask
uldvækst	ullferð, ulling
uleddet	við ongum liðum
uledsaget	(sum kemur) einsamallur, sum ongan hevur við (sær)
ulegemlig	ólikamligur, ikki av holdi, holdleysur, loystur frá likaminum, óveruligur, óítøkiligur
ulejlige	órógva, ómaka, gera (einum) ónáðir, gera (einum) ómak;må jeg u. Dem med etspørgsmål?sleppi eg at(el.kann eg) órógva tygum við einum spurningi?;hvis du vil u. digderhen, skal du setímir tú at fara haga, fært tú at síggja
ulejlighed	ómakur, ampi, stríð, trupulleiki, útstandur;gøre folk u.órógva(el.púla) fólk;gør dig ingen u.!legg ikki í!;gøre sig den u. at svaregera so væl at svara, gera sær tann ómak at svara;sikken en u. du volder ostað er eitt stríð, vit hava av tær;til u.til ampa, til hindurs, til bága, til stríð;undskyld u.orsaka ómakin, orsaka stríðið;volde u.órógva, vera til ampa(el.til ónáðir)
ulempe	bági, ómakur, ampi, vansi, trupulleiki, tvørleiki, tarn, ónáðir;det er en u., at der ikke er indlagt vandtað er tvørligt(el.óhøgligt), at vatn ikki er innlagt;fordele og ulemperfyrimunir og vansar;volde ulempevera einum til bága:være én til u.vera einum til bága
ulempeerstatning	(løgfr.) endurgjald fyri ampa, ampaendurgjald
ulempetillæg	ótíðargjald, ampaendurgjald
ulidelig	ótolandi, pínandi, kvalandi, ræðuligur, øgiligur;enu. varmeótolandi(el.kvalandi) hiti;det erulideligt at høre ham taleeg orki ikki(el.kann ikki torga) at hoyra hann tala
ulidenskabelig	kaldur, deydligur, turrisligur,(tlm.)ólitinskapligur
ulig	ólíkur, ójavnur, misjavnur, ymiskur, ósambæriligur;hans væsen er meget uligtfaderenshann er ógvuliga ólíkur pápanum, hann líkist ikki pápanum
ulige	1(stfr.)stakur;et u. talstakt tal, staktal2misjavnur, ójavnur;en u. fordelingeitt ójavnt býti;en u. kampójavnur bardagi(el.dystur)3[sumhj] nógv, ólíka, munandi;den løsning eru. letterehanda loysnin er nógv lættari
uligefinnet	(plfr.)stakfinnutur
uligesidet	(stfr.)missíðaður (um tríkantar)
uligevægt	ójavnvág, ikki í javnvágel.javnstøðu;åndelig u.andlig ójavnvág
uligevægtig	(um fólk) ójavnt sintur, skjótur hvønn vegin, skjarrligur, skjarrur, óstiltur, óstøðugur, bráður, kvilkin;han er meget u.hann er sera skjótur hvønn vegin,(eis.verðurt.d.sagt) tað er ikki altíð, at snáðin stendur bein á einum
ulighed	ójavni,(stfr.)ólíkning
ulighedstegn	(stfr.) ólíkatekn, ójavnatekn
ulinieret	við ongum reglum
ulivssår	(skaldsk.) ólívssár, banasár
ulk	1(dý.)ulka, krutt, ulkupill, kuntupill,(gl.)grottupil(Myoxocephalus scorpius); langtornet u.grøna krutt(Taurulus bubalis)2(sigl., fl.m.)sjógarpur
ulme	1gløða;ilden ulmereldurin gløðir(el.lív er í enn)2(fl.m.) et ulmende oprørvandi er fyri uppreistri, prutl undir lokinum
ulogisk	óskilvísur, ólogiskur, sum lítið skil er í, skilaleysur
ulovlig	ólógligur, óløgligur;(løgfr.) u. omgang med hittegodsfinningsbrot
ulovmedholdelig	(løgfr.) sum ikki hevur heimild eftir lógini, sum ikki er sambært lóg
ulster	síður, víður og tjúkkur ullarfrakki
ult.	(st.) ultimo
ultimativ	endaligur; í kravboðssniði;noten havde en u.karakterskrivið var orðað sum kravboð
ultimatum	kravboð, boðkrav, síðsta sáttarboð;Tysklands u. til Danmark om overgivelsekravboð Týsklands til Danmarkar um at geva seg yvir(el.undir);fagforeningernes u. udløber mandag nat kl. 24, hvorefter strejken begynderkravboð yrkisfelaganna stendur við til midnátt mánadagin, og síðani verður verkfallið sett í verk
ultimo	seinast;u. majseinast í mai
ultimosaldo	endasaldo, mánaðarsaldo
ultra-	1(um fyribrigdi, ið menniskju hava ilt við at hoyrael.síggja) erva-, evsta-, ovur-, ovurstuttur, ovurskjótur, ultra-,(t.d.) ultralyd,ultrarød2(sum herðing), spildur-, ovur-, stak-, bran-, sera,(t.d.)ultramoderne, ultravanskelig
ultrakonservativ	stak afturhaldshugaður,(skemt.)svartur(t.d.sambandsmaður);en u. mand (niðr.)afturhaldskroppur, íhaldsbukka
ultralyd	evstaljóð, ultraljóð
ultramarin1	myrkabláur, dimmbláurel.djúpbláur litur
ultramarin2	myrkabláur, dimmbláur, djúpbláur
ultramoderne	spildurnýggjur, alnýggjur, brannýggjur
ultrarød	ultrareyður
ultravanskelig	stakel.sera trupulel.torførur
ultraviolet	(um ljós) ultraviolettur, ervablákollutur
ulv	(dý.) úlvur, vargur(Canis lupus); være (så)sulten som en u.gorhungraður;man må tudemed de ulve, man er iblandtsítude; de faldt overham som ulveteir løgdu á hann sum úlvar(el.sum ravnur á deyðseyða)
ulveflok	úlvaflokkur
ulvefod	(plfr.) javni, lúsagras(Lycopodium)
ulvefodfamilien	(plfr.) javnaættin(Lycopodiaceae)
ulvefodsbregne	(plfr., jarðfr.) javnatræ(Phlebodium aureum)
ulvehund	úlvhundur (hundaslag)
ulveklo	varðhundsklógv, varðhundaklógv
ulverøn	síulvsrøn
ulvetid	ófriðartíðir
ulvetime	1degningsløta2(nýggjmerk)nátturðatíð (tá ið foreldrini eru móð eftir strævnan arbeiðsdag, og børnini eru ill í sær eftir at hava verið á dagstovni)
ulveunge	1úlvshvølpur, úlvahvølpur2(fl.m.)úlvungi (hjá skótunum: dreingir millum
ulvinde	úlvstík, úlvatík
ulvsrøn	(plfr.) ts. s.almindelig kvalkved
ulydig	ólýðin, óhoyriligur, sum ikki aktarel.hoyrir;u.drengdrongur, ið ikki aktar, ólýðin drongur
ulykke	ólukka, vanlukka, skaði, óhapp, óskepna, vanskepna, váði; skaðatilburð ur, ófrættir, ógæva, skaðagerð;der er ingen u. sket, selvom...tað bilar einki, hvat bilar tað(el.einki er atgjørt), um ...;der er sket en u. vedjernbaneoverskæringenein van lukka er hend við jarnbreytarmótið;det er da ingen u. at blivegråhårettað er eingin vanlukka at grána; hvat ger(el.bilar) tað(el.einki sakar), um tú gránar;gøre en u.gera skaðagerð, gera feigdina um seg;spiritus blev hans u.brennivín var honum at bana, brennivín beindi fyri honum;ulykken er, athun ser så godt udtað ringasta er tað(el.vanlukkan er tann), at hon er so pen(el.vøkur);børn laver tit ulykkerbørn gera ofta skálkabrøgd, børnum dámar at beistast;en u.kommer sjældent alenehar ein skriðan er lopin, er onnur væntandi, sjáldan er ein báran støk; (í veikarimerk) så for en u.!so for hundan(el.hundin);han er så grim som en u.hann er ljótur sum ein ólukka, hann er ljótur sum arvasyndin
ulykkebringende	ólukkuráð;u. budskabófrættir, ófrættaboð
ulykkelig	eydnuleysur, ólukkuligur, óskepnuligur, fagnaðarleysur, armur;u.kærlighedeydnuleysur kærleiki;u. situationólukkulag, harmilig støða;u. stundavynnutíð; (í veikarimerk.) hans ulykkelige snakkesalighedhann dugir ikki at tiga, hatta tigir ongantíð, hann er so vøsutur(el.roksutur), hann tagnar ikki heldur enn ritan í berginum;jeg er u. overikke at kunne kommetað harmar meg(el.eg eri keddurel.harmur), at eg ikki fái komið
ulykkeligvis	vanlukkutíð, ólukkutíð, til alla vanlukku, tí(an)verri
ulykkes-	vanlukku-, óhaps-, skaða-
ulykkesbil	skaðabilur
ulykkesbilist	bilførari í ferðsluvanlukku
ulykkesbudskab	feigdarboð, ófrættir, ófrættaboð, ófrættistíðindi, vanlukkuboð, skaðaboð
ulykkesdag	skaðadagur, feigdardagur
ulykkesforsikre	tryggja fyri vanlukku, vanlukkutryggja
ulykkesforsikring	vanlukkutrygging
ulykkesfugl	feigdarfuglur, ófrættafuglur, ófrættisfuglur
ulykkesprofet	ófrættaboðari; ein, ið boðar frá ófrættum; óeydnuprofetur, vanlukkuprofetur
ulykkesramt	sum hevur verið fyri vanlukku
ulykkessted	skaðastaður, óhapsstaður, vanlukkustaður, feigdarstaður;der blev optaget rapport på u.frágreiðing varð skrivað á skaðastaðnum
ulykkestilfælde	skaðatilburður;dø i et u.doyggja í vanlukku, (detta oman) fara í ódeyða
ulykkesår	skaðaár, feigdarár
ulykkevarslende	sum boðar frá illum;u. atmosfæreófrættarámi;u.fuglófrættafuglur, ófrættisfuglur
ulyksalig	vanlukku-, dekans-, tramans
ulyst	mótboð, óhugur(t.d.loypa óhug á ein), mishugur, ófýsi;føle u. ved nogetikki troysta sær eitt(t.d.at eta matin), vontrast(t.d.tú skalt ikki vontrast við matin);få u. til at spisehava mótboð(eis. t.d.nú orkar barnið ikki at eta meirel.tevsastt.d.nú fer barnið brátt at tevsast)
ulægelig	ólekjandi, ógrøðiligur
ulækker	1óátuligur, vamlisligur, spýggiligur, ikki etandi, ikki munnbærur,(tlm.)ólekkur, vemmiligur;han syntes, atnapoleonskagerne var ulækrehonum dámdi ikki napoleonskøkurnar,(tlm.)hann helt, at napoleonskøkurnar vóru ólekrar2(sum ikki sømir seg) óhugaligur, ódámligur, ósømiligur, ógóðsligur, ónossligur, andstyggiligur, vamlisligur, ótespiligur, ófýsiligur,(tlm.)ólekkur;vi oplever de mestulækre intrigervit síggja fúl(astu) lokabrøgd, vit eru fyri ódámligum(el.óhugaligum) myrkaspæli
ulærd	ólærdur, óskúlaður
ulæselig	ólesandi, ólesiligur, ikki lesandi;skrive ulæseligtkrutla
ulæsket	óleskaður;u. kalkóleskað kálk
ulæst	ólisin, ókendur(t.d.tekstur), sum ikki er lisin;tileksamen kom han op i en u. teksttil próvtøkuna kom hann upp í ókendum teksti
ulønnet	óløntur;hvervet som formand er u.formansstarvið er ólønt
uløselig	1óloysandi, óloysiligur;en u. gådegáta, ið verður ikki gitin(el.loyst)2sum ikki loysistel.losnar, samangroyptur, fløktur, samanbundin;de er uløselig(t)forbundneteir eru samangroyptir, teirra samband losnar ikki, teir eru sum eitt(el.brøður), teir eru sum krókur og lykkja
uløst	(eis. í fl.m.)óloystur, sum ikki er greiddur enn, sum eingin loysn er funnin á;et u. spørgsmålóloystur(el.ógreiddur) spurningur
ulåset,ulåst	ólæstur, óstongdur
um	namm, namminamm, umm
umage1	ómakur;gøre sig u. med nogetgera sær ómak við einum, leggja sær nær(el.eina við);det erumagen værdtað loysir seg, tú iðrar teg ikki eftir ferðina;du kan spare dig din u.legg ikki í, ikki loysir seg;han gør sig u.hann er nærlagdur;gøre sig den største u.leggja sær eina við, kýta seg, spíla seg út, spenna seg út
umage2	1ómakaður, stakur;en u. handskeómakaður(el.stakur) handski;strømperne er u.hosurnar eru ómakaðar2(fl.m.)óparaligur;de er et u. partey eru lítið paralig, ikki eru tey paralig
umage3	ómaka sær, gera sær ómak;kan du ikke u. digherhen?hevði tú (ikki) tímað at komið higar?, ikki hevði tú tímað at komið higar?
umagelig	en u. stolstólur, sum er ringur at sita í; ringur stólur at sita í(el.á)
umalet	ómálaðu, ósmudurr;(t.d.um korn) ómalin
umandig	ómansligur,(staðb.)óvita(s)ligur;en u. optrædenómanslig framferð
umanérlig,umanerlig	1frálíkur, óførur, stak-, framúr-2[sumhj] ógemeina, ólukksáliga, óføra, ógvuliga, sera, sjáldsama;vi fik en u.god frokost(med det hele, du ve')vit fingu ein ólukksáliga góðan morgunmat (har treyt einki, kanst tú ætla);en u. spændende bogólukksáliga(el.óføra) spennandi bók
umeddelsom	fámæltur, fáorðaður, tigandi, tøguligur, innitokin, einkiel.lítið tíðindafróður
umedgørlig	ólagaligur, ólaga-, sum ikki flættast við, tvørur, óviðeiriligur, óflýggjaligur, malsjønskur, óflýggjaður, tvørballaður, ringur at fáast við;værikke så u.ver ikki sovorðið tvørball;u. personóflýggjakroppur, óflýggjadýr, óflýggjadýr, ótangi, bartrog;umedgørligt dyrónjótadýr(t.d.um neyt,eis.um fólk)
umelodisk	u. sangsjongur
umenneske	illmenni, mannvargur, vittuggi, ómenni, ótýggi, óvætti, beist, lúsungi;nederdrægtigt u.búrbeist, bakbeist, bartrog
umenneskelig	ómenniskjansligur, grimur, grummur, ræðuligur, óndur;u. handlingbeistagerð;fangerne blev udsat for en u. behandlingfangarnir fingu ómenniskjansliga viðferð; (í viknaðarimerk)det er umenneskeligt at forlange, at barnetskal sidde stille i en hel timetað líkist ongum at krevja, at barnið skal sita friðarligt ein (heilan) tíma
umenneskeliggøre	gera ómenniskjansligan
umenneskelighed	ómenniskjansleiki, ómenska
umiddelbar	1beinleiðis, beinvegis, beint, sjálvkomin;(løgfr.) u. bevisførelsebeinleiðis próvførsla;(løgfr.) u. fogedforretningbeinvegis fútarættargerð;(løgfr.) umiddelbart udlægbeinvegis fíggjarnám;en u. virkningbeinleiðis avleiðing;ved en u. betragtningfyrsta, ið ein sær eitt;u.forståeligt(el.indlysende)sum er sjálvsagt, sum skilst beinanvegin2(um fólk) einfaldur, grunnur, grunnskygdur, sum ikki hugsar nógv (um tilverunael.lívið);hun er en u. naturhon hugsar ikki nógv um tilveruna;hun har et meget umiddelbart væsen (tlm.)einki fjas er við henni3[sumhj] umiddelbart beinanvegin; í fyrstu atløgu, í fyrstu syftu;huset ligger u. op til kirkenhúsini standa tætt (el. beint) við kirkjuna;u. foreståendesum er fyri hond (el. í hondum)
umild	ómildur, lítið mildur;en u. skæbnehørð lagna;semed umilde øjne pådáma lítið;en barsk og u.klippekystveðurbard og kørg klettastrond
umindelig	1sum eingin minnist, óminnandi;i umindeligetiderfrá fyrndartíð, longur enn nakar minnist2[sumhj]det er u.længe sidentað er ómetaliga langt síðani
umisforståelig	sum ikki kann misskiljast, sum ikki er at misskilja, sum ein ikki kann fara skeivur av
umiskendelig	týðiligur, skilligur, eyðsæddur, sum eingin ivi kann vera um;der er en u. lighed med faderenhann líkist pápanum, hann er sum togaður úr tonnunum á pápanum, hann sipar til pápan
umistelig	ómissandi;en u. retómissandi rættur;umisteligerettighederómissandi rættindi
umistænksom	góðvarin, sum ongan illgruna hevur, illgrunaleysur
ummelandsfarere	(sø.) keypmenn, ið sigldu norður um Skaga í handilsørindum (og inn í Eystarasalt;serst.niðurlendskir og enskir keypmenn)
ummelandsfart	(sø.) handilssigling norður um Skaga; síummelandsfarere
umoden	(um frukt) óstaðin, óbúgvin, (um fólk) óbúgvin, grønur;en u. pæreóstaðin(el.óbúgvin) pera;haner u.hann er óbúgvin
umoderne	farin úr nýtsluel.av móta, ótíðarhóskandi, avlagdur, burturoldaður
umoral	siðloysi, vantandi moralur
umoralitet	siðalagi) siðspilla, ólevnað
umoralsk	siðleysur, ósiðiligur, ósiðsemiligur, ómoralskur;en u. filmsiðleysur filmur
umorsom	óstuttligur, lítið skemtiligur
umotiveret	ógrundaður, við ongum rætti, óneyðugur, av ongari orsøk, av lítlum áhuga, áhugaleysur, hugleysur, í óðum verkum, ómotiveraður;en u.vredeógrundað reiði; (í víðarimerk) på hattensad en ganske u. sløjfeá hattinum sat ein sloyfa so hissini
umulig	1ógjørligur, ómøguligur, sum ikki ber til;det erumuligt at gå her i det glatte føreher er ikki gangandi í hálkuni;dette er umuligthetta er ógjørligt, hetta er ovboðið, hetta ber ikki til;det varhelt umuligt, at ...tað var ikki hugsingur um, at ...;hun kommer, det er umuligt andethon kemur, tað ber ikki annað til;skulle jeg tage fejl?umuligt!skuldi eg farið skeivur? tað ber ikki til!;jeghar prøvet alle mulige og umulige slagsmedicineg havi roynt øll sløg av heilivági, bæði líkt og ólíkt;intet var umuligtalt bar til; tá støðaðist einki;så er intet umuligt for hamtá er einki óført hjá honum2(um fólk) ódugna-;han er u. til stavninghann lærir ikki at stava, hann er púra starvur at stava;hun så u. ud i den hathon líktist ongum í hasum hattinum3sum ikki flættast við, sum er ringur at fáast við;gøre sig u.gera seg ómøguligan; spilla fyri sær sjálvum, gera seg illa kendanel.lýddan
umuliggøre	gera ógjørligan, gera ómøguligan, forða (einum), forða fyri (einum);u. en forsoningforða fyri sáttargerð; gera, at semja ikki fæst í lag
umulighed	ómøguleiki;det er en fysisk u.tað er púra ómøguligt; tað ber ikki til, tað er so snøgt við tí; (í viknaðarimerk.)det er en fysisk u. for mig at komme før i morgeneg fái ikki komið fyrr enn í morgin;indse umuligheden af nogetskilja, at eitt ber ikki til(el.er ógjørligt); (løgfr.)oprindelig umulighedupprunaligur ómøguleiki
umulius	ódugnakroppur, ódugnafólk, lókur, kloddi, klombur;(skemt.) jeg er en u. til gymnastikeg eri eitt klombur í fimleiki
umusikalsk	ómusikalskur, tónadeyvur;være komplet u.vera ísakaldur, vera nótaprikkur, ikki málið skapt í einum, ikki hava tóna skaptan í heysinum, sum kálvur í flóri
umyndig	ómyndigur, ikki komin til lógaldurs;blive erklæret u.verða gjørdur ómyndigur;gøre én u.taka sjálvræðið frá einum;hør de umyndiges røst (uml.)børn duga hvørki at lúgva ella loyna;(løgfr.) u. personómyndingur
umyndiggøre	taka sjálvræðið fráel.av (einum);blive umyndiggjortmissa sjálvræðið, missa fíggjarræðið, verða gjørdur ómyndugur
umyndiggørelse	(løgfr.) myndugleikamissur, myndugleikatøka
umyndiggørelsessag	(løgfr.) mál um myndugleikamiss, ómyndugleikamál
umyndighedsindsigelse	(løgfr.) ómyndismótmæli
umælende	1(serst.um dýr) ómælandi2(fl.m.) han stod som et u. bæsthann stóð sum bitið ross, sum eitt býttel.sum Kánus, hann fekk einki sagt; hann stóð sum (lundi) sligin á nevið
umærkelig	evarska lítil, hárfínur, sum ikki merkistel.sæst, sum ongan mun ger, sum ein ikki varnast;en u.forandringevarska lítil(el.hárfín) broyting
umærket	ómerktur,(t.d.um seyð) ómarkaður;en u. pakkeómerktur pakki, pakki við ongari áskrift;han erikke u. af årenealdur sæst á honum
umættelig	1ómettandi, ómettiligur, sum ikki mettast;drengei 14-års alderen er umætteligedreingir mettast ikki;u. personátari, hungursgekl2(fl.m.) en u. nysgerrighedøgiligur forvitinskapur
umættet	(evnafr.) ómettaður;en u. syreómettað sýra
umøbleret	møplaleysur, við ongum møplum, sum ongan húsbúna hevur,(tlm.)ómøbleraður
umøntet	ósligið gullel.silvur
umådehold	óhógv
umådeholden	óhóvsamur, sum ikki hevur hógv, sum ikki kannel.dugir sær hógv, sum kann sær ikki magamál;umådeholdent drikkeriovurdrykkja
umådeholdenhed	óhóvsemi
umådelig	ómetaligur, ómátaligur, øgiligur, ógvuligur;en u.mængdeómetalig nøgd;det er u. morsomttað er ómetaliga stuttligt;u. ærgerligtómetaliga forargiligt
umålelig	ómálandi, sum ikki kann málast;umåleligeafstandeleiðir, ið ikki kunnu málast
unational	ótjóðskaparligur, ikki tjóðskaparligur;han blevdømt for u. virksomhed under den tyskebesættelsehann varð dømdur fyri ótjóðskaparligt virksemi, meðan landið var hersett av týskarunum(el.týskinum)
unatur	ónatúr, skap;skuespilleren var fuld af u.sjónleikarin var ógvuliga tilgjørdur(el.skaputur)
unaturlig	1órættvorðin, ikki rættvorðin, ikki rættsiktaður, ónatúrligur, ónormalur;det er en u. mor derikke bryder sig om sit barnein mamma, ið ikki dámar barn sítt, er ikki rættvorðin;haveunaturlige tilbøjelighedervera ikki sum hini; vera kynsliga avskeplaður2ónatúrligur, skaputur, uppgjørdur, tilgjørdur, fjákutur, fjantutur;have et unaturligt væsenvera skaputur3[sumhj]være u. magervera diddarak
unavngiven	1sum ikki hevur fingið navn, ikki navnfestur;en u.dyreartdýraslag, ið einki navn hevur fingið2ónevndur, ikki nevndur at navni, ikki navngivin, ikki navnfestur;et læserbrev skrevetaf u. personlesarabræv skrivað av huldumanni
unbrakonøgle	unbrakkolykil, sekskantaður lykil (vinkulboygt metalstykki við sekshyrntum tvørskurði; lyklarnir eru í mongum støddum og verða nýttir at skrúva skrúvur við sekskantaðum holi við)
UNCTAD	(st.)UnitedNationsConference onTradeandDevelopmentST felagsskapur til frama fyri altjóða handil(serst.handlinum millum ídnaðarlond og menningarlond)
und-	(sum fyrstiel.fyrri liður í orðum) t.d.undfly
unddrage	1taka frá einum, nokta at geva;u. én hans retmæssige arvtaka arvin frá einum, ið av rættum eigur hann;man kan ikke u. børn deres arvtað ber ikki til at taka arvin frá børnum:unddrage brev(løgfr.) halda e-m brævi aftur2(afturbent)u. sigsleppael.snúgva sær undan, dragast undan; bera seg undan;u. sig strafsleppa sær undan revsing;det unddrager sig kontroleftirlit fæst ikki við tí
unddragelse	undandráttur
