J,j	1málljóð2bókstavur3(st) Jod4(st) Joule
jærtegn	jartekin, kraftagerð;helgenen gjorde undere ogj.halgimennið gjørdi kraftagerðir og jartekin;naturfænomenerne betragtedes i gamle dageofte som j. om kommende ulykkernáttúrufyribrigdi vóru fyrr á døgum ofta hildin at vera undandøttur fyri vanlukku
jærv	(dý.) jarvur, jervur(Gulo gulo)
jætte	1(gudal.)jøtun, tussi (í norrønari gudalæru)2(fl.m.um fólk) risi;vægtløfteren var en j. at setilvektlyftarin var sum ein risi til útsjóndar
jættegryde	(jarðfr.) heljareyga
jættestor	risavaksin, trøllvaksin, ovurstórur
jættestue	(fornfr.) hellisgrøv, steinsett fornaldargrøv (frá yngru steinøld, í Danmark uml 3200 f.o.t.; sambært fólkatrúgv grøv hjá jatnum ella sum jatnir hava gjørt)
jættestærk	risasterkur, sterkur sum ein risi, sum ein jøtun
jævn	1javnur, slættur, beinur, flatur;j. markfløta, slætti, slættlendi;jævnt stykkeslætt strekki;jævntfordeltjavnt býtt;jævne kartoflerjavnstór epli;arbejde jævnt og støtarbeiða javnt og samt; róligur, spakur(t.d.um streym);j. briseandøvsgul;j. fartjøvn ferð2vanligur, gerandisligur, hvønndagsligur, sum fólk flest, miðal-;den jævne befolkningvanliga fólkið, almúga, almúgi, borgarastætt(ur), fjøldin, Hanus og Janus;den jævne mandvanligi maðurin;de er meget jævne (eis.)tey eru sum fólk flest, tey eru vanlig fólk;jævntnøkulunda, hampiliga, sámiliga, toluliga; við hógv; einfaldur; rætt og slætt;en jævnt god forstandvanliga gott skil;en j. eksamenmiðalprógv;jævntgodsámiligur; toluligur;j. og ligefrem(um fólk) sum fólk flest, ótilgjørdur, greiður, sum einki roks er av; fittur og fryntligur;hun er meget j.hon er sum fólk flest; (um mat) slættligur;j. kostgerandismatur, slættligur matur3lýtaleysur, heiðurligur;holde sig på det jævne
jævnaldrende	javnaldrandi, javnaldraður, javngamal, um ein aldur;gruppe af j.fleiri javnaldrar
jævnbyrdig	1javnur, javnborin, javngóður, javn-; (um lut) maki, lutur sum hóskar saman við; (um fólk) ein ið stendur einum kurl;(viðv.avrikiosfr.)javngóður;(t.d.um dyst, kapping og ítrótt) javnur, javn-, javnsterkur;ganske j.(í ítrótt) rættiliga javnir, býggj um býggj, stavn um stavn;være j. medvera javnlíkur, vera javngóður;meget j. kampsera javnur dystur2sumnjavningi, javnlíki, líkamaður
jævndøgn	javndøgur (samdøgrini 20.3 og 22.9 tá ið dagur og nátt eru eins long)
jævndøgns-	javndøgur-
jævndøgnslinie	javndøgurlinjan
jævndøgnsstorm	javndøgurstormur
jævne	1javna, slætta, beina, beinka;j. noget udjavna okkurt aftur;j. med jordenjavnael.slætta við jørðina, bróta(el.ríva) niður2(fl.m.) j. vejen forslætta vegin fyri einum, ruddael.bróta slóð fyri einum, slóða;j. medjordenjarðleggja, sláa niður;j. klasseforskelle udjavna stættarmun3(í matgerð) gera út á(t.d.sós)
jævnføre	1bera saman, samanbera;forholdene nu kan ikke jævnføres med dem før krigenumstøðurnar nú kunnu ikki berast samanel.verða bornar saman við tær fyri kríggið2jævnførber saman;(st) jfsmb;jævnfør side 5samanber(el.sí) síðu 5
jævnhed	einsháttan, javni, javnaður, javnstøða; líkleiki; einfaldleiki, einfeldi; falsloysi, sakloysi
jævning1	javnlíki, javningi, maki, líkamaður;de tofodboldspillere er jævninge i driblingteir báðir fótbóltsleikararnir eru javngóðir í at snitta
jævning2	(í matgerð) útágerð;man kan anvendekartoffelmel til j. af rødgrødgjørt kann verða út á reyðgreyt við eplamjøli;der tilsættes en j.bestående af mel udrørt i vandgjørt verður útá við mjøli sum er rørt upp í vatn
jævnlig	javnan, tíðum, íðuliga;en j. gæsthann er tíðum gestur;han kommer jævnligt for senthann er javnan ov seinur
jævnmål	miðja;han hæver sig ikke over det almindeligej.hann dagar ikki upp um miðjuna
jævnsides	javnsíðis (við), javnbjóðis (við); samstundis (sum); lið um lið (við); við somu ferð; á sama stigi;j. medjavnbjóðis við;de løb j. i målteir runnu á mál samstundis;den gamle kultur trivesj. med den nyegamla mentanin trívist lið um lið við ta nýggju
jævnstrøm	javnstreymur
jøde	1jødi, gýðingur;han var j. af slægt, men ikke afreligionhann var av jødaætt, men tók ikki undir við trúnni2(átr., bíbl.) den evige j.ævinligi gýðingurin (Ahasverus, skómakari Jerusalems)3(bíbl.)jødernes kongeJødakongurin (Matt. 27, 29)4(fl.m.el.sk.)okrari, okurkallur;Hansen låntemig pengene til 20% den j.hasin jødin Hansen lænti mær pengarnar við 20% í rentu
jødedom	(átr.) jødadómur, gýðingatrúgv (jødiskur átrúnaður og jødisk mentan)
jødedreng	1gýðingadrongur2(máliska)nu kniber det for de småjødedrengenú ert tú gyrdur í brøkur gamli; nú eru góð ráð dýr
jødefolk	jødafólkið
jødeforfølgelse	gýðingajagstran
jødeharpe	gýðingaharpa; ts. s.mundharpe
jødekage	jødakaka(smákakur við sukri og kaneli omaná)
jødekirsebær1	(plfr.) jødakirsuber(Physalis alkekengi var.alkekengi)
jødekirsebær2	(plfr.) jødakirsuber (um berið)
jødekristne	jødakristin, proselyttar (kristnað í kirkjunnar fyrstu tíð)
jødekvarter	gýðingabýarpartur, jødabýlingur; fátækrabýlingur
jødeland	Jødaland (Palæstina, Ísrael)
jødeskole	1jødaskúli2(fl.m.)gangur, larmur
jødeskæg	(plfr.) skeggja-steinbrot(Saxifraga stolonifera)
jødeslagter	skektari (maður ið drepur (skektar) dýr eftir jødiskum siði; síschæchter)
jødinde	jødakona, gýðingagenta
jødisk	jødiskur, gýðinga-, gýðingaligur
jøkel	(jarðfr.) jøkul
jøkelløb	(jarðfr.) jøkullop
jøsses	á Jesus!; áje!;j., hvor du gjorde migforskrækketáje, sum tú gjørdi meg kløkkan; áje, sum eg hvakk av tær
