V,v1	1málljóð2bókstavur
vievandskumme	(kat.) vígsluvatnsskál
vift	(ísamb.viðpå viften) -en, 0veittran, báknan, vink;han tilkaldte tjeneren ved et v. medhåndenhann kallaði (rópaðiel.rópti) tænaran til sín við at bákna(el.veittra) (við hondini);jeg varet lille v. inde hos naboeneg bara stakk inn á gólvið hjá grannanum;vi var på viftenvit vóru úti og stuttleikaðu okkum
vifte1	1vifta, veiftra, veittra,(skaldsk.)leiftra (í vindinum), snurra;vores oldemødre brugte v.,når de var på ballangommur okkara brúktu viftu, tá ið tær vóru í veitslu;i troperne har manofte en elektrisk v. i loftetí hitalondunum hava teir ofta eina elektriska viftu (hangandi) undir loftinum2(um okkurt, ið líkist viftu)ordne kortene i en v.seta kortini upp í hondini;der faldt en v. af lys frabilens lygterbilljósini varpaðu ljósgeislar út í myrkrið;sætte servietterne op i vifterleggja serviettarnar soleiðis, at teir hava viftuskap;en v.af uddannelsestilbudnógvir útbúgvingarmøguleikar, ein røð av útbúgvingarmøguleikum
vifte2	1veittra, leiftra, veiftra, blaktra, flagsa, blaka, kveistra;flaget viftede i vindenflaggið blaktraði(el.veittraði) í lotinum;v. med et lommetørklædeveittra við lummaturriklæði;v. en flue vækkveistra flugu burtur2(fl.m.) han viftede os om næsen med enlønforhøjelsehann lokkaði fyri okkum við eini lønarhækking;v. én afkveistra ein burtur
vifteformet	(lívfr.) veiftruskapaður, veiftrudánaður, veiftrumyndaður, veiftrulagaður, viftuskapaður;(jarðfr.) vifteformede basaltsøjlerbogaskapaðir stabbar
viftehvælving	(byggl.) blaðhválv
viftepalme	veiftrupálmi
vifteparade	(í nevaleiki) verja við høgru hond fyri vinstrahandarslagi
vifterynke	rukka í eygnakróki
vifteøre	kálvaoyra
vig	vík, vágur, vág, bugur, innvik, innviki;lille v.kós, innvík
vige	1víkja, halda av, halda undan, fara undan, hava seg undan, taka seg undan, lúta (undan), fíra undan, dvína undan (einum), hopa undan, hopa aftur eftir hæli, røkka undan, aka undan;(sigl.)halda av;v. for enovermagtdvína fyri tí, ið sterkari er;hestevognenveg til side, for at lade bilen passererossavognurin hevði seg undan, fyri at lata bilin sleppa framvið;v. til sidegeva(el.hava) seg til viks, víkja sær,(sigl.)halda av;v. tilbagehopa undan(el.hopra) undan, geva seg undan, aka undan, røkka undan, havast undan;han vegikke fra hendehann flutti seg(el.veik) ikki eina løtu frá henni;hans blik veg ikke fra hendehann fekk ikki eyguni av henni, hann slepti henni ikki við eygunum;v. pladsen for énlata ein annan fáa sessin, víkja úr sæti fyri einum;v. sitsædefara úr dómarasessi (bráðfeingis);jeg vigerikke en hårsbred fra min overbevisningeg slaki(el.víki) ikki ein tumma frá mínari hugsan(el.sannføring);da vi kom til møllen, veg vi af fravejentá ið vit komu til mylluna, snaraðu vit av vegnum;blodet veg fra hendes ansigthon bliknaði, hon gjørdist hvít sum fonn;den fyr vigerikke tilbage for nogethasin (maðurin) fírir ikki fyri nøkrum2[lh nútsuml]et vigende bliksmeikið eygnabrá
vigelinie	(í ferðslu) hávatenn
vigeplads	víkistað, víkipláss, víkistaður;på den smalle bjergvej er der af og til en v.á (tí) smala fjallavegnum eru summstaðni(el.av og á) víkipláss
vigepligt	víkiskylda;have v.eiga at halda av, eiga at víkja;i Danmark har trafikanterne v. fortværgående færdsel der kommer fra højreí Danmørk eiga ferðandi at halda aftur fyri tvørfarandi ferðslu frá høgru
vigepligtig	sum hevur víkiskyldu, víkiskyldigur
vigespor	víkispor;toget var kørt ud på et v. for atekspressen kunne passeretokið var farið út á eitt víkispor fyri at sleppa snartokinum framvið
vigilie	(kat.) flt náttargudstænasta (undan kirkjuligum veitsludøgum)
vigne	víngarður
vignet	1(prent.)stavrósa, tittulmynd íel.á bók, prýddur byrjanarstavur;på titelbladet var der en v., derforestillede en blomsterbuketá tittulblaðnum var lítil skreytmynd, sum ímyndaði blómutyssi2(í list) smámynd, lítil skreytmynd3(postm.)spjaldur, vøruseðil
vignettegner	skreytmyndateknari
vigoroso	(tónl.) kraftmikið, við lívsmegi
vigte	erpa sær av, halda nógv um seg sjálvan, ganga og gera seg upp, ganga og hóreiggja sær, royva sær;han vigtede sig af (medel.over)sine fine karaktererhann gekk og erpaði sær av teimum góðu karakterunum (, hann hevði fingið)
vigtig	1týdningarmikil, týðandi, umráðandi, týdningarsamur, umvarðandi, sum er av (al)stórum týdningi;en v. faktortýðandi táttur;env. meddelelsetýdningarmikil fráboðan;detvigtigste er, at du har en god samvittighedtað, sum ræður um(el.um ræður), er, at tú hevur góða samvitsku;(miðst)vigtigeretýdningarmeiri;have vigtigere ting forhava annað at takast við2erpin, errin, innbilskur, brasin, trumsin, brestin, brettin, pretin, ansaligur, braneggjaður;en storsnudet og v. personbraneggjað og erpið fólk
vigtighed	1týdningur;af største v.týdningarmest, av størsta týdningi2erpinskapur, errinskapur, erpni, stórlæti, dramblæti;hans utålelige v.hann er um at skrædna av erpinskapi
vigtigmageri	tað at gera seg upp, errinskapur
vigtigper	erpnavætti, bløðra, reypari; ein, ið ger seg uppel.sum heldur seg vera; (uppaftur meiraniðr.)erpinskítur
vigtigprins	erpnavætti, bløðra
vigtigprinsesse	erpnavætti, fínarimpa
vigtigprås	erpnavætti, bløðra, erpinskítur
vigør	lívsmáttur, lívsmegi;i fuld v.sum fjøruti, sum fyrsta dagin, sum fiskurin, frískur og ferðugur, feitur og fregin,(tlm.)í full(el.fult) sving
viis	vísur, klókur, vitugur, vitur
vikar	varafólk, lánsfólk, vikarur, avloysari, lánslærari, lánsprestur, lánslækni;han fungeredei flere år som v., før han opnåede fastansættelsehann var vikarur(e.lánslærari) í fleiri ár, áðrenn hann fekk fast starv;apostolisk v.varamaður pávans í ikkikatólskum londum
vikarbureau	lánsfólkastova
vikariat	avloysarastarv, lánsstarv, vikarstarv
vikariere	røkja starv fyri annan, vera í staðin fyri annan, vera í annans stað, vera lánslærari, vera lánsprestur, vera vikarur
viking	1(sø.)víkingur2(fl.m.)harðbalin og prúður maður, garpur;enblond, skulderbred v.ljóshærdur og herðabreiður maður(el.víkingur)3roysningur, víkingur (maður, ið svimur á sjónum alt árið)
vikingeborg	víkingaborg
vikingefærd	víkingaferð, (tað at vera í) víking
vikingehøvding	víkingahøvdingi, víkingahøvdingur
vikingeskib	víkingaskip, langskip
vikingetid	víkingaøld, víkingatíð(uml800 til 1050)
vikingetog	víkingaferð, (tað at vera í) víking
vikingetogt	víkingaferð
vikke	(plfr.) krøkja(Vicia)
vikkel	sigar undir sjálvum vavbløðunum
vikle	1vevja, flætta, balla, vinda, snúgva, røra, spola;han viklede hendes hårlok om sin fingerhann vant hárlokk hennara um fingurin;v. barnetind i tæpperballa barnið inn í teppi, sveipa teppi um barnið;v. afvinda burtur av einum;v. aftenvinda av snældu;v. omvevja um, vinda um,v.omkring sigsveipa um seg;v. opvinda burtur av einum, rulla út;v. sammenballa saman;v.sammen i nøglevinda í noða;v. (garn) sammenaf flere trådevinda saman2(fl.m.) jeg kan v. ham om min lillefingereg kann fara við honum, akkurát sum eg vil; hann er sum ein vøttur í mínum hondum;han viklede sigind i et væv af selvmodsigelserhann fløkti seg inn í andsagnir;v. sig ud af en ubehageligaffæresmúgva(el.smoyggja) sær burtur úr ótespiligari støðu(el.hending)
viklebatik	knútabatikk
vikler	1vevjari(t.d.sum vevur um ravmagnstól)2(dý.)vevjari (smátt firvaldaslag)(Tortricidae)
viklers	1leggbind, vavhosur (bind, ið vavt verður um leggin og er eins og stivli)2(fl.m.) bar røv og v.tvætl og møsn
vikling	vav; umfar
vikse	bendael.snara endarnar á yvirskeggi uppeftir(upprvið voksi)
viktualiebutik	viðskerabúð, viðskerahandil
viktualieforretning	viðskerahandil
viktualiehandler	viðskerahandilsfólk
viktualiekælder	mat(ar)kjallari, kjallaragoymsla, kjallari at goyma matvørur í
viktualier	feitimeti, viðskeramatur, matvørur
viktualierum	búr, kovi
vil	
vild	villur, villini; styggur, kvilkin, ótamdur, skjarrur, skjarur, skjarligur, skjáligur, brasin; ólátaður, ólátin, ógvisligur, ódællur, ódælur, øðimikil, sprækin; trølsligur;blive v.øðast, (um seyð) koma upp í varg;blevet v.(um frens) útlagstur;gøre v.øða, (um seyð) loypa upp í varg;vilde fårvargur;(eis.ífl.m.) fare v. i storbyenvillast í stórbýnum;faret(el.gået) v.vilstur;gå v. i tågenvillast í mjørkanum, fara mjørkavillur;tale vildttosa í ørviti, vera í ørviti;han løb helt v. i dethann fløktist í tí;du er helt v. på dentað er einki høpi í hasum, tú gert; hatta, tú fæst við, er skilaleyst;være v. på karetensíkaret; vi kom væk frahovedvejen og helt ud i det vildevit viltust av høvuðsvegnum og endaðu, tramin viti hvar;(fl.m.)hans argumenter er helt ud i det vildetað er einki høpi í hansara próvgrundum, próvgrundirnar hjá honum eru púra burturvið, einki hald er í próvgrundum hansara;en v. og forrevenklippekystbrimbard(el.veðurbard) klettastrond;det vilde vestenvilliniland, óbýli, í óbygdum (um amerikonsk viðurskifti í niðursetutíðini);v. strejkeólóglig verkføll;(fl.m.) være ude på de vildevoververa illa fyrikomin, vera illa sperdur, vera illa kroystur;i v. tilstand bliver planten ikkesærlig storúti í náttúruni(el. t.d.í haganum) verður plantan ikki serliga stór;ukrudtet voksedevildt i havengarðurin var tað bera ókrút, garðurin var undirgrógvin í illgresi;(plfr.) v.persillehagapersilla;vilde dyr som løver ogelefantervill dýr, eitt nú leyvur og fílar;vildefolkeslagfrumstødd fólkasløg, vill fólkasløg;vildtkødvillkjøt, bráð;han gebærdede sig som en v.hann tíggjaði sær(el.leikaði í) sum eitt ótt; hann uppførdi seg, sum um hann var spinnandi óður í høvdinum;(fl.m.) drengen var v. ogstøjendedrongurin leikaði í;det havde jeg ikketænkt i mit vildeste fantasieg hevði ikki droymt um tað, tað kom mær ikki í hug(el.til hugs);værepå v. flugtflýggja yvir háls og herðar, renna sum undan tarvi, renna sum fyri lívinum;føre etvildt livliva ólátað;vilde planerørar(el.vitleysar) ætlanir,(tlm.)garvillar ætlanir;vildt raseripúra frá sær sjálvum (av øði);skrige i vilden skygeyla tað dýrasta, ein er mentur;den vilde jagt gikgennem stuerne(børnini) fóru turnandi gjøgnum stovurnar
vildand	(dý.) villdunna /vil-/(Anas platyrhynchos)
vildbasse	ribbaldur, ribbaldi
vilddyr	villdýr, villdjór /vil-/
vildelse	ørviti, ørska;tale i v.tosa í ørviti
vildfarelse	1villa, mistak, sjálvssvik; tað at halda seg hava eitt, ið ein ikki hevur;rive én ud af sin v.siga einum sannleikan, beint sum hann er;hun svæver i den v., at hun har talenttað syndarliga er, at hon heldur seg hava góðar gávur;hans ungdommelige vildfarelsermistøk, hann gjørdi(el.ger) sum ungur2(løgfr.)misfatan, villa;faktisk vildfarelseevnisvilla
vildfaren	vilstur;et par vildfarne vandreretveir vilstir gongumenn;en v. synderburturvilstur syndari
vildfarende	vilstur, (um seyð) hagvillur;endelig fandt de v.stien igenat enda funnu teir vilstu gøtuna aftur;han blev ramt af en v. bold, kuglehann varð raktur av strokbólti, strokskoti
vildfremmed	han er v. for mighann er mær púra ókendur
vildføre	1villleiða, villa av leið, villa, lumpa;partiledernevildførte deres vælgerefloksformenninir villleiddu veljararnar2[lh tátsuml]vildførtvillleiddur
vildgås	villgás, (ofta) grágás(Anser anser); vildgåsensskriggákið frá villgás
vildkat	1villkattur, villkøttur2(ketta, ið er útiløgst) útiløgukattur3(um gentu) tertla, klovfyl, skóka, (um smágentu) trølltoppa
vildklo	varðhundsklógv
vildlede	villleiða, villa;n. lhsumlvildledende villleiðandi;en vildledende forklaringvillleiðandi frágreiðing
vildmand	1villmaður, villmenni;en v. fra stenalderenvillmaður úr steinøld;vildmændene i det danskerigsvåbenvillmenninir í skjaldarmerki danska ríkisins;drengen lignede en v. med sitsværtede ansigt og strittende hårdrongurin líktist einum villmanni við svertaðum andliti og ývnum hári(el.við hárinum í andarisi)2(fl.m.) det er vist en v., han er blevet lokketud påikki sær mætari út enn, at hann er vorðin(el.blivin) lumpaður
vildmandsskæg -	stórt og sítt skegg, villmansskegg, rokkur
vildmark	villiniland, óbýli, óbygt víðlendi, hagi, mørk;ivildmarkení óbygdum
vildmarksferie	frítíð í óbygdum
vild nellike	(plfr.)skógarnelikur(Dianthus sylvestris)
vildnis	el-0samangrógvið og villingarsamt kjarr, tættur vøkstur, skógurel.tætt kjarr;haven blevikke passet, men lå hen som et v.eingin tók sær av urtagarðinum, og tískil var hann púra farin í órøkt(el.vanrøkt)
vildorne	villgøltur, villgaltur
vildrede	1fløkja, hurlivasi, óskil;hans papirer kom i v. forhampappírini fløktust hjá honum2ivi, døpurhugi, óvissa,(tlm.)villareið;være i v.med hensyn til, hvilken afgørelse man skaltræffevera í døpurhuga um(el.ikki vita sær ráð), hvør avgerð er frægast at taka
vildrose	villrósa /-l-/, villini rósa
vildskab	ørskapur, ørska, ólátaskapur;ustyrlig v.øgiligur ørskapur;det er den rene v. at indlade sig pådet foretagendetað er ørskapur(el.púra ørt) at fara við(el.upp) í hatta tiltakið
vildskud	1(plfr.)villsproti2(fl.m.) hans bøger hører til den nyestelitteraturs v.bøkur hansara hoyra upp í tann óvanliga partin av nýggjum bókmentum
vildsom	1(gl.)villingarsamur, vegleysur, villandi; villur;vikom ind i et vildsomt kratvit komu inn í villingarsaman kjarrvøkstur2(fl.m.) vandre vildsomt om i tilværelsenreka fyri vág og vind í lívinum(el.tilveruni)
vildspor	villinigøta;lede på v.villa, misleiða ein;kommepå v.villast
vildsvin	(dý.) villsvín(Sus scrofa)
vildsvinejagt	villsvínaveiði, villsvínaveiða
vildt	veiðidýr, villini dýr at veiða, (kvæð.) bráð; kjøt av veiðidýri, bráð, villibráð, villinibráð;småvildtsmá veiðidýr;gøre jagt på vildtetskjóta veiðidýr;klovbærende vildtveiðikleyvdýr;der er meget v. i skovennógv veiðidýr eru í skóginum;to stykker v.tvey veiðidýr;vi skal have v. til middagvit skulu hava kjøt av veiðidýri til døgurða;hun for sammen som et anskudt v.hon hvakk við sum stungin frensur;flygtede som et jaget v.flýddi sum sjálvur hin versti var í hølunum á einum(el.sær);han er en don juan, der anser kvinder for attråværdigt v.hann er ein konufólkarevur(el.slettingur), sum heldur, at konufólk er eiggiligur fongur; sí eis.hårvildt
vildtbestand	veiðidýrastovnur
vildtbiolog	veiðidýrafrøðingur (ið kannar veiðidýr)
vildtbiologisk	veiðidýrafrøðiligur, veiðidýrum viðvíkjandi
vildthandel	veiðidýrakjøthandil; handil, ið selur villkjøt
vildthandler	handilsfólk, ið selur villkjøt
vildtkød	villkjøt, villbráð, villibráð, villinibráð, veiðidýrakjøt
vildtpark	friðað villdýraøki, villdýrapark, villinibyrgi
vildtpleje	villdýrarøkt (eftirlit við veiðidýrum í skógi)
vildtreservat	villdýrafríøki, villinibyrgi
vildtsmag	villdýrasmakkur
vildttyv	veiðitjóvur, veiðisníkur
vildtvoksende	sum veksur villur, villvaksandi;v. frugttræerfrukttrø, sum vaksa vill; villvaksandi frukttrø
vildvej	(hugsað gøta, sum leiðir ein burtur frá tí, ið er av týdningiel.sum er rætt; aloftast íflt) vildvejevilstar leiðir;filmen beskriver følelsernes v.filmurin lýsir kenslur á vilstum leiðum
vildvin	(plfr.) villvaksandi víntrø, vilt vín(Parthenocissus)
vildæsel	(dý.) villasni(Equus hemmionus)
vilje	vilji; vild;få sin v.fáa sín vilja, koma sínum fram; fáa tað framt, ið ein vil;drengen fik sin v.drongurin slapp at ráða sær; drongurin fekk sín vilja; drongurin slapp at gera, sum honum lysti;gøre efter hans v.gera honum til vildar(el.honum eftir vild);han fik sin v. med hendehon lovaði honum, hon læt hann fáa sín vilja;tro påviljens frihed(el.den fri vilje)trúgva á viljafrælsi; trúgva, at menniskjað hevur frælsan(el.frían) vilja (óhefturt.d.av arviel.umhvørvi);give sin v.til kendesiga, hvat ein vil; gera fólki greitt, hvat ein vil;god v.góður vilji, góðvild;tak for din godev.takk fyri tína góðvild;dette er ond v. fra dinsidehetta er illvild(el.illvilji) frá tær;ikke af ondv.av góðvilja;ranke viljerfólk, ið ikki ganga frá sínum; fólk, sum er óvikandi;den afdødes sidstev.síðsta ynskið(t.e.síðsta testamentið) hjá tí(el.hins) deyða;en stærk v.sterkur vilji;sætte sin v.igennemtrýsta vilja sín ígjøgnum;det er minudtrykkelige v.soleiðis vil eg hava tað;to stærkeviljertveir sterkir viljar,(eis.)tveir harðir steinar (mala ikki væl); [viðfs]mod sin v. måtte hansmilehann fekk ikki barað sær, hann mátti smílast;det bliver ikke med min gode v.tað verður ikki við mínum góða vilja;med lidt god v.går det nokum ein vilji er, so man tað fara at bera til;jeg gjorde det med v. for at drille hameg gjørdi tað við vilja fyri at arga hann;jeg forstårikke med min bedste v., hvad du menerhóast(el.tó at) eg fegin vildi, so skilji eg ikki, hvat tað er, tú tosar um(el.sipar til);det skete uden hansvidende og v.hann hvørki visti um tað ella vildi tað
viljefast	viljafastur, viljasterkur
viljefrihed	viljafrælsi
viljekraft	viljastyrki
viljeløs	viljaleysur, viljaveikur;v. persontvøga, kloddi, hosa, vøttur, bløka
viljeløshed	viljaloysi
viljes-	vilja-
viljesakt	viljaverk; tað, at eitt er undir viljans valdi
viljesanspændelse	tað at kýta seg, tað at leggja alla orku í
viljesbegrænsning	(løgfr.) viljamark
viljesbestemt	viljaður, sum er gjørt við vilja;(løgfr.) v. pantvildarveð
viljeserklæring	(løgfr.) viljaváttan;ensidig (ensom) viljeserklæringeinlig viljaváttan
viljesmangel	(løgfr.) viljabrek, viljatrot, viljaskortur
viljessag	hold op med at ryge! det er en v.gevst at roykja! tað er (bara) ein spurningur um vilja
viljesteori	(løgfr.) viljaástøði
viljestyrke	fastleiki, viljastyrki
viljestærk	viljasterkur, viljafastur, avgjørdur, áráðin
viljesvag	veiklyndur, veiklyntur, viljaveikur, vinglutur;v. personundirlýður, vøttur, hosa
viljesvaghed	veiklyndi
viljesytring	(skaldsk.) viljabirting
vilkår	1treyt, kostur;(løgfr.)fylgistreytir, kor;sætte v.leggja treytir á;sætte én to (ulige) v.geva einum tvinnar(el.tveir) (ólíkar) kostir í at velja;underkaste sig visse v.geva seg undir ávísar treytir;man kan købe gården på rimelige v.garðurin fæst við rímiligum keypstreytum;han afsluttede handelen på v.hann gjørdi handilin við fylgitreytum2kor; umstøður, líkindi, viðurskifti, vánir;hans økonomiske v. er ikke godefíggjarumstøður hansara eru ikki góðar;leve under tåleligel.dårlige v.liva í hampiligumel.ringum korum;`vil du med?' `nej, ikke på v.!'`kemur tú við?' ikki talan um! (kortaneiel.ikki talingur um!)
vilkårlig	tilvildarligur, hissini, av tilvild, tilvildar-, handahóvs-;vilkårligt punkthissini depil;v. linjehissini linja;v. stråletilvildargeisli;i en v. trekant halverer vi vinklerneí hissini valdum tríkanti hálvbýta(el.helvtarbýta) vit vinklarnar;han behandlede sine underordnede meget vilkårligthansara viðferð av teimum, ið hann hevði undir sær, var ógvuliga tilvildarlig
vilkårlighed	tilvild, tilviljan
vilkårsforhandling	(løgfr.) fylgistreytaumrøða
villa	sethús, stakhús (við urtagarði uttanum);lille v.smá sethús
villabeboer	sethúsabúgvi
villaby	sethúsabýur
villakvarter	sethúsabýlingur
villatelt	hústjald (stórt tjald)
villavej	sethúsavegur, vegur í sethúsabýlingi
ville	1vilja; ætla sær; skula, munna[sum sjálvstøðugts]du bliver nødt til det, enten duvil eller ejtú mást, antin(el.annaðhvørt) tú so vilt ella ikki,(óvand.)tú mást, um tú so skítur;hanbåde vil og kanhann bæði vil og kann (dugir);nå,som du vil!alt í lagi, tú ræður tær!;jeg tror du vil!Gud veit, haldi eg, at tú meinar tað; tú ert ikki rættsiktaður, um tú heldur tað;verden vilbedragesfólk vilja lata seg lumpa, fólk vilja einki gera við tað12[ísamb.viðfn,n,l]man kan, hvad manviltað, tú vilt gera, kanst tú gera;koste, hvad detvilkosta, hvat tað kosta vil;ske, hvad der vilsama, hvat ið hendir; komi, hvat ið koma má;formig kan du mene, hvad du viltað er mær tað sama, hvat tú heldur(el.hugsar);(óvand.)eg skíti á, hvat ið tú heldur;hvad vil du med den bog?hvat ætlar tú við hasi bókini?;hvad vil du mig?hvat vilt tú mær?;han er en ung mand, der vilnogethann er ein ungur maður, ið veit, hvat hann vil;v. én velvilja einum væl;v. ens bedstevilja einum (alt) tað besta;skæbnen ville detanderledeseingin fer undan lagnuni, lagnan vildi tað øðrvísi; men soleiðis skuldi tað ikki verða;der vil mod til et sådant foretagendedirvi(el.áræði) krevst til slíkt; hann skal tora væl(el.hann skal hava áræði), ið fer í holt við slíkt23(sum hjálparsagnorð)ikke vide det gode, manvil gøre énhar var einki mark fyri, hvat ið tey vildu gera fyri ein;det vil jeg ikke håbetað vóni eg ikki; gævi satt, tað ikki verður;jeg vil ikke havedet!eg vil ikki hava tað!;jeg vil (ville) gerne haveen kop teeg hevði fegin viljað fingið ein kopp av te;hvis du ikke vil høre, må du føletað verður við góðum ella við illum, tú ræður sjálvur;det viljeg se, før jeg tror deteg trúgvi tí ikki, fyrr enn eg havi sæð tað;vil du se, du kan dy dig!ansa tær (gamli mín);vil De tage Dem af sagen?vilja tygum taka tygum av málinum?;rygtet vil vide, athan er gået fra sin konetað sigst, at hann er rýmdur frá konuni;tiden vil vise dethatta kemur tíðin at vísa, livst so spyrst;hun kan være såkøn, hun vil, hun interesserer mig dog ikkehon kann vera so vøkur, hon vera vil(el.mær tað sama, hvussu vøkur hon er), eg havi, ið hvussu er, ongan áhuga fyri (áel.í) henni;hvis dugør det, vil du blive straffetgert tú tað, verður tú revsaður;hun ville være løbet derhenhon hevði ætlað at skundað sær hagar4[lh nútsumlet tænkende og villendevæsenvera við bæði tilvitsku og vilja2[lh tátsuml]en villet uhøflighedein ófólkaligheit, ið var ætlað(el.við vilja)5[ísamb.viðhjogfs]han ville af vognenhann vildi sleppa úr bilinum;jeg vil gerne af medbilletteneg vildi fegin sloppið av við ferðaseðilin(el.atgongumerkið);v. bortvilja sleppa burtur;v. forbivilja sleppa framvið;han vilfrem i verdenhann vil koma sær fram í samfelagnum;han vil gerne i med hendehann kundi hugsað sær at fingið hana, hann kundi hugsað sær at sloppið við henni (at fríggja);v. indi husetvilja sleppa inn (í húsini);når de andregår, vil jeg medtá ið hini fara, fari eg eisini;v. opvilja sleppa upp;v. over til Fynvilja sleppa til Fjónar;v. ud af sine vanskelighedervilja sleppa burtur úr trupulleikunum(el.trongstøðuni)
villig	fúsur, hugaður, viljugur, viligur, villigur, ferðugur;hun er v. til at hjælpe dighon er fús at hjálpa tær;han er altid hjælpsom og v.hann er altíð góður at heita á, hann er altíð beinasamur;jeg skal villig(t) indrømme, at deter forkertlat meg (beinanvegin) viðganga, at tað er skeivt;lad det nu gå lidt villig(t)!skunda tær!(el.skundið tykkum!), ger skjótt av!(el.gerið skótt av!);planterne er villige nok til at groplanturnar vaksa(el.grógva) væl, tað er ikki tað
villighed	beinasemi;den ene v. er den anden værdendurgerð og viðurgerð eru longstir vinir
vilter	villur, balstýrin, ófriðarligur, óhoyriligur, óstýriligur, kátur;et livligt og viltert pigebarnflogsa, óðadøla;en v. tøsflogfyl;håret faldt iviltre lokkerhárið lá í flagsandi lokkum
vimpel	(serst. sigl.)vimpil, mjóflagg;(herm.) hejsevimpelenvinda vimpilin á stong (sum tekin um, at skiparin er um borð, og at skipið er tilbúgv ið)
vimre	láta (við), biva;hunden vimrede med snudenhundurin læt við trýninum;hvalpene vimredemed de bittesmå halerhvølparnir lótu við smáu halunum
vimrehale	hali, ið letur
vims	kvikur, lívligur, smidligur, lættur (á føti);hundækkede bordet med små vimse bevægelserhon borðreiddi við smáum kvikum rørslum
vimse	ganga kvikliga, fipa, ganga fipandi, vimsa, vera lætturel.kvikur á føti, tita;hun vimsedegeskæftig(t) omkring i husetløtt á føti gekk hon og stákaðist(el.vimsaði) runt í húsunum
vin	1(um drykkin) vín;billigt v.bíligt vín;krydret v.kryddað vín;husets v.okkara vín (á matstovu);vinen steg ham til hovedetvínið sló í høvdið á honum;et glas v.eitt glas av víni;tørre og sødevineturr og søt vínsløg;(fl.m.) elskovensberusende v.ástarørska2(um klivplantuna) víntræ, vínviður;ægte v.vintræ(Vitis vinifera); russisk v.(stovuplanta) russiskt víntræ(Cissus antartica)
vinafgift	vínavgjald
vinagtig	sum líkist víni, vínkendur
vinaigre	vínedikur (edikur, gjørdur úr víni)
vinauktion	vínuppboðssøla (uppboðsøla av dýru vínsløgum)
vinavl	(landb.) víndyrking
vinavler	vínbóndi
vinbakke	vínbakki
vinbar	vínbarr
vinbjerg	vín(røktar)brekka
vinbjergsnegl	landsnigil(Helix pomatia)
vinbonde	vínbóndi
vinbranche	vínvinnugrein
vinbæger	vínsteyp, vínglas, vínbikar
vinca	(plfr.) vinka(Vinca)
