h. a.	el.hujus annií hesum ári
hjælp	hjálp, dugnaður, dugur, styrkur, stuðul, veiting, tænasta, lætti, bati;god h.dyggur stuðul;hvisman tager fantasien til h.við at nýta hugflogið;komme til h.koma einum til hjálpar;råbe på h.rópa eftir hjálp;modtage offentlig h.fáa almannaveiting;når nøden er størst, er hjælpennærmesttá ið neyðin er størst, er hjálpin næst;ved h. afvið;spore ved h. af radarfinna við radara;jeg er glad for din h.eg eri takksamur fyri hjálpina, takk fyri, takk fyri at tú hjálpti mær;medGuds h.við Guds hjálp;mand som er kommetfrem ved egen h.maður sum er komin fram av egnum ávum;være til god h.koma til gagns; koma væl við;være til h.ganga (einum) til handa;yde h.veita hjálp;ved h. af udholdenhedkan man nå vidtvið treiskni kemst langt;(lækn.)tilføre næring ved h. af dropgeva føðslu í dropum;h. til selvhjælphjálp til sjálvhjálp(serst.ísamb.við narkotikaavrúsan)
hjælpe	hjálpa, dugna, duga, styðja, stuðla, veita eina hond- A.vanl. nýtslahan stod på hovedet forat h. hendehann stóð á høvdinum at hjálpa henni;hjælp mig frakken påhjálp mær við frakkanum, hjálp mær (at lata meg) í frakkan;Gudh. de stakkels menneskerHarrin hjálpi hasum ólukkudýrunum;han kan ikke hjælpeshonum kann eingin hjálpa, honum stendur ikki til bótar;h. hamdugna honum eina hond, taka hond í við honum;så sandt h. migGud!so hjálpi mær Gud!;Det må du gud h.(gudhjælpemig) ikketað mást tú fyri Guds skyldel.sakir ikki;jeg kan godt h. mig selveg klári meg, eg hjálpist;man må h. sig, som man kanein má klára seg sum frægast;det får ikke h.tað fær ikki verið øðrvísi; tað má vera soleiðis;du må gøre det, detfår ikke h.tú mást gera tað, tí slepst ikki uttanum;ude af stand til at h.ikki førur fyri at hjálpa; hjálparleysur;i den stilling er han velhjulpení hasum starvinum er hann væl bjargaður;den karl er de vel hjulpneel.hjulpetmedhasin húskallurin er teimum eitt satt álit ;træde hjælpende tiltaka um endan;række enhjælpende hånddugna einum eina hond;detskal fedt h.hetta ger hvørki til ella frá;herhjælper ingen kære mornú stendur á gomlum nøglum;hvad hjælper dethvat munar tað;h. sigmed dethjálpast við tað;må jeg h. Demskal eg hjálpa tygum;det er jeg ikke hjulpet medhatta ger mær ongan mun; hatta hjálpist eg ikki við- B.ísamb.viðfsoghj- adhjælpes adhjálpast, hjálpa hvør øðrum- afh. én af(el.i) tøjethjálpa einum úr klæðunum;h. én af med hans penge-formedicinen hjælper for åndenødheilivágurin hjálpir fyri andaneyð- fremh. fremhjálpa á leið, stuðla;h. én frem i verdenhjálpa einum at koma fram í heiminum- ih. én i vejhjálpa(el.stuðla) einum fram á leið- igennemh. én igennemhans vanskelighederhjálpa einum gjøgnum trongstøðu, í ringum førum- udh. én med atkomme ud af én forlegenhedhjálpa einum burtur úr rasshafti- påh. én på benenehjálpa einum aftur á føtur- tilh. én til en stillinghjálpa einum at fáa eitt starv;h. til i husetvera arbeiðskona
hjælpe-	hjálpar-
hjælpebiskop	varabiskupur, varabispur
hjælpefond	tiltaksgrunnur
hjælpehjerte	(lækn.) hjálparhjarta (hjartalungnamaskina)
hjælpekedel	(tøkn., sigl.) eykaketil, tiltaksketil
hjælpekilde	hjálparráð, varakelda, hjálparfólk, gagn, miðal;landets økonomiske hjælpekilder er storelandsins búskaparligu hjálparráð eru góð
hjælpeklasse	stuðulsflokkur (til lesitarnaðosfr.)
hjælpekort	(kortsp.) hjálparkort
hjælpelærer	stuðulslærari
hjælpeløs	hjálparleysur, ráðaleysur, sleptur upp á fjall; illa staddur, komin í kløtur; evnalítil, kraftalítil, linur, munalítil, veikur;h. personómagi;ligge i h.tilstandliggja í hjálparloysi;være h. som et barnvera hjálparleysur sum barnið
hjælpeløshed	hjálparloysi, ráðaloysi
hjælpemandskab	hjálparmanning
hjælpemiddel	ráð, hjálparráð, hjálpitól, hjálparevni, hjálparmiðlar;audio-visuelle hjælpemidlerhoyrn-sjón hjálpitól;visuelle hjælpemidlersjónhjálpitól
hjælpemotor	(tøkn.) hjálparmotorur
hjælpepige	arbeiðskona, arbeiðsgenta, køksgenta
hjælpepræst	hjálparprestur
hjælper	hjálpari, hjálparfólk;en h. i nødenvinur í neyð;(løgfr.)studningsmaður (til misgerð)
hjælperske	arbeiðskona
hjælpeskole	stuðulsskúli (skúli til menningartarnað børn)
hjælpestof	(lækn.) hjálparráð, hjálparevni í heilivágsgerð(constituens)
hjælpesætning	(stfr.) hjálparsetningur
hjælpetast	(teld.) hjálparknappur
hjælpetekst	(teld.) hjálpartekstur
hjælpetjeneste	hjálpartænasta
hjælpetov	(sigl.) studningstog
hjælpetropper	(herm.) hjálparherlið, hjálparhermenn
hjælpeudsagnsord	(málfr.) hjálparsagnorð
hjælpeudstyr	hjálparútgerð
hjælpevant	(sigl.) hjálpispenni, hjálpivant
hjælpeverbum	(málfr.) hjálparsagnorð
hjælpsom	beinasamur, hjálpsamur, ávíkiligur, hollur, fúsur at hjálpa, góður í ávikum, góður at heita á;han er velvillig og h.hann er beinasamur og hjálpsamur
hjælpsomhed	beinasemi, hjálpsemi
hjørne	1horn, krókur, hornvegur, ætt; hyrni;køre omhjørnetsneiða um hornið;tage et h.sneiða um horn;vinden er slået om i et andet h.hann hevur skift ætt;bo på et h.búgva á horni;et skab ihjørnet af stuenskáp í stovuhorninum;de fireverdenshjørnertær fýra ættirnar, tey fýra heimshornini2(fl.m.) udnævnelsen er lige om hjørnetútnevningin stendur fyri durum;ham kan manikke løbe om hjørner medhann letur seg ikki lumpa, hann lumpar tú ikki so;han er i det godeh.hann er í góðum lag;runde et skarpt h.fara um krapt horn; fara um ein ávísan aldur
hjørnebonde	finna (í talvi); ts. s.tårnbonde
hjørnebræt	(byggl.) hornaborð (á húsum)
hjørneejendom	(byggl.) hornahús
hjørnefelt	(byggl.) hornaøki
hjørneplads	hornapláss
hjørneskab	hornaskáp
hjørnesofa	hornasofa
hjørnespark	(ítr.) hornaspark
hjørnesten	1hornasteinur, hyrnissteinur2(fl.m.) Oehlenschlägers digtning er en h. idansk litteraturskaldskapur Oehlenschlägers er ein hyrnissteinur í donskum bókmentum3(átr.) Kristus som den kristne kirkes h.Kristus sum hornasteinurin í kristnu kirkjuni
hjørnestolpe	(ítr.) hornastólpi
hjørnetand	1(tannl)kinntonn; bithorn2(dý.)tøkutonn
hjørnetårn	(byggl.) hornatorn
hjørneværelse	hornrúm
hk1	
HK2	
H. K.H.	el.Hendes Kongelige Højhed
hl	
H. M.	
hm1	hm!;han rømmede sig hm! hm!hann ræmdi barkan hm! hm!; hann harkaði hm!;hm! nu skaljeg tænke over sagenhm! nú skal eg hugsa um málið
hm2	
h-mol	(tónl.) h-moll
hob	1dungi, rúgva, mongd, nøgd, dyngja; tyrping; meingi;en h. brændeein rúgva av brenni, brennirúgva2(manna)múgva, (mann)fjøld, riðil, skari, flokkur, trunki, trunkur; fylgi, gonga;(niðr.) den gemeneel.store h.fjøldin, fólkið;larmende h.málamikil mannamúgva;til hobetil samans, hvør og ein, allir samlir;de er nogle svindlere alle til hobeteir eru svikarar hvør og einel.allir samlir;en h. menneskermannamúgva
hobby	frítíðarítriv, ítriv, dagdvølja
hobbykniv	(tøkn.) ítrivsknívur
hobbyrum	dagdvøljurúm, fríløturúm
hobe	leggja (upp) í rúgvu;h. sammendunga saman, hópa saman, savna saman, taka saman, trunka saman;h. sig ophópast upp, rúgvast upp, rúgva seg saman, rúgva seg upp, skrúgva seg upp, trunkast saman;ulykkernehobede sig sammenvanlukkurnar komu hvør aðrari á baki
hoben	nógv;en h. børnein riðil av børnum
hobetal	bara ísamb. i h.í hópatal;folk kom strømmendei h.fólk kom tysjandi í hópatali;der blev holdttaler i h.røður í hópatali vórðu hildnar
hobevis	bara ísamb. i h.í hópatali
hoc anno	í hesum árinum
hockey	(ítr.) stavbóltur, hokki
hockeyspiller	(ítr.) stavbóltleikari, hokkileikari
hof1	el.0 (st.) hofpilsnerhofføl (pilsnaraøl)
hof2	hov;holde h.halda hov;ved hoffetí hovinum;hunholder h.henni dámar væl at hava nógv fólk rundan um seg;hoffet har taget ophold påslottethovið erel.býr á borgini;hof- ogstatskalenderhov- og ríkisálmanakki
hofbal	hovveitsla, hovgildi, hirðgildi
hofchef	hirðstjóri
hofdame	(hjá drotningini) hovfrú,(sø.)hirðkona, hirðterna, hirðmoy
hofdessert	(í matgerð) hirðdessert (omaná úr sukurlátu, róma og mandlum)
hofdigter	hirðskald
hofdragt	hirðbúni
hofembedsmand	hirðembætismaður
hoffarve	1hirðlitur (litur í skjaldrarmerki hjá stýri)2yndislitur;blå er min h.blátt er mín yndislitur
hoffmannsdråber	(lækn.) hoffmannsdropar (evni fyri vaml og dánilsi)
hoffourer	starvsmaður í hirðini, sum umsitur fíggjarmál
hoffæhig	kurteisligur;han er ikke h.hann er ikki kurteisligur, hann hevur ikki góðan atburð
hoffærdig	dramblátur, erpin, pretin, hugmóðigur, hugstórur, boldur
hofhold	hirðlið
hofholdning	hirðhald
hofintendant	hovskattmeistari
hofjuvelér	kongaligur skartgripaseljari
hofjægermester	hirðveiðustjóri (tignarheiti ofta tillutað stórum jaðareigarum)
hofleverandør	hovveitari
hofmand	hirðmaður
hofmarskal	hirðmarskálkur, hirðstjóri (stýrir hovinumel.hirðini)
hofmarskallat	hirðmarskálkastarv, hirðstjórastarv
hofmedikus	(sø.) hirðlækni
hofnar	(sø.) hirðfívil
hofnyheder	hirðtíðindi
hoforgan	lesa sítt yndisdagblað
hofpræst	hirðprestur
hofsnog	(niðr.) hovsníkur, hovsnákur, sleiskari
hofsorg	1hirðsorg2hirðsorgarbúni
hofstaldmester	hirðstallvørður
hofstat	hirðembætisfólk
hofte	1(likam.)mjødn;knækket sammen i hoftenmjadnarskotin;vrikke med hofternevríggja lendarnar(t.d.í dansi)2(fl.m.) skud fra hoftenskjótt og sterkt viðbragd
hofteben	(likam.) mjadnarbein (bløkubein, kokubein og dyntilsbein, ikki samanvaksin hjá barni), mjødn
hoftebøjet	(ítr.)h. springhúklop
hofteholder	mjadnahaldari
hoftehøjde	mjadnahædd
hoftekam	(likam.) mjadnarhøvd(crista iliaca)
hofteled	(likam.) mjadnarliður
hoftesele	trygdarbelti
hofteskred	(lækn.) mjadnarlop
hofteskål	(likam.) mjadnarskál, mjadnarkulla, mjødn
hoftevrid	lendavríggj
hokuspokus	brøgd, svik, gykl, gyklverk, lokabrøgd, snildarbragd, listarbragd, list, snild(i); (gandaorð hjá gandakalli)h. filiokushokuspokus filiokus;politisk h.politisk brøgd
hold	1tak, tamarhald, fastatøkur;få h. påfáa tamarhald á; fáa tak í;han har fået mere h. påsig selvhann hevur fingið meira tamarhald á sær;ikke til at få h. påhálur, hálur um at halda, sleipin, smeðin, sum ál(l)urin2ísmsthald;(t.d.) fjerkræhold; fårehold;deild, lið, bólkur;(t.d.) fodboldhold, krohold,folkehold3på nært h.dygst viðel.hjá, nær við, beint hjá, í nánd;komme én på nærmere h.koma betur at kennast; kunnast betur4styrki, veiggj;der er ikke meget h. i det stofhatta klæðið heldur ikki nógv;der er ingen h. ihamtað er einki veiggj í honum5(lækn.)kikni, flog;h. i lændenkikni í lendarnar;jeg fik et h. i lændeneg fekk eitt kikni í lendarnar;få h. af at bære på ryggenbera ryggverk á seg6lið, deild, flokkur; valbólkur;stille (med) etstærkt h.manna sterkt lið;vælge h.taka part;hankom ikke med på holdethann slapp ikki á liðið;i h.í liðum; í skiftum;et h. elevernæmingabólkur;derbenyttes tre h. vandvatnið verður skift tríggjar ferðir;(bú.)vørusending
holdarbejde	skiftisarbeiði
holdbar	haldgóður, støðugur, varandi, sterkur;være h.halda væl (fyri sliti);stoffet er meget holdbartklæðið heldur væl, klæðið er sterkt
holdbarhed	haldgóðska, hald, haldføri(t.d.hjá feskum fiski); støðuleiki; styrki, veiggj, seiggi, seiggil, stirðil, dugur, tæri
holde	- A.ísamb.viðl,nogs(um blað) halda; (um húsdýr) hava;h. hønshava høsn; (um akfar) standa (stillur), steðga;(sigl.)halda (til havs, kós); (um bygging) bera, halda uppi; (um longdarmát) standa;brættet holder 3 meterbrettið stendur 3 metrar; (um rúmmát)tanken holder100 litertangin tekur 100 litrar; (umt.d.merkisdag) halda, hátíðarhalda;h. julhalda jól;h.brylluphalda brúdlep, hava brúdleyp, gera brúdleyp;h. én ajourkunna ein;h. ajour meddagføra;hold dig nu fast!nú skalt tú hoyra!;h.fangenhava í varðhaldi; bergtaka, ganda, hugfanga, kasta rúnir á, rúnabinda;hendes sangholdt publikum fangensongur hennara bergtók lurtararnar;h. fast vedgøllhalda um, halda fast í;h. fredvarðveita frið;h. frihava frí, halda frí;h.gildehalda gildi;h. den gående`flóta'; standa seg, svara hvørjum sítt, lata pottin kóka, lívbjarga sær sum best;lige h. den gåendehóra;det holdt hårdttað var við bit og slit;ride alt hvadremmer og tøj kan h.ríða av øllum alvi, ríða hart;h. godt hus meddrýggja; húsa væl;en holdtkvindeein frilla;h. hemmeligdylja, krógva, loyna, halda loyniligt;h. hånden oververja, halda hondina yvir;jeg vil h., hvad det skalværeeg tori at vedda, hvat tað skal vera;h.kontakt medhava samband við;hold kæft!halt kjaft! tig, halt munn;h. maskenikki lata við seg koma;(kat.)h. messehalda messu;hold mund!halt munn!, tig við hasum tvætlinum!;hold digmunter!alt gott, alt tað besta, stuttleika tær, skemta tær!h. mødehalda fund;h. ordenhalda skil á; (sjónleikosfr.) h. prøvevenja;h. rast(á ferð) hvíla;h. retsmødehalda rættarfund;h.rådslagninghava samráðingar;h. sengen pågrund af sygdomliggja sjúkur í seingini;h. sjovarga smávegis, skemta (við);h. skadesløsendurgjalda (við fullum virði), rinda aftur;h. spilletgåendehalda spælið gangandi;h. standhalda vøllin, ikki gevast, standa stinnur, verja borg;h.stikhalda, hava gildi, standa fast;h. stillingenstanda seg;(fl.m.) h. storvask for åbent tæppehava almenna uppgerð;h. taleflyta fram røðu, halda røðu;h. tand for tungesita á munninum sum á drunninum, vera tigandi;h. tonenhalda tónan;h. tætikki gretta;h. udkighava eyguni við;h. vagt vedansa eftir, vaka yvir, vera á varðhaldi;h. ilden vedligeleggja aftur at eldinum;h. vejrethalda andanum, halda ondini;h. vægtenstanda við;h. skarpt øje medeygleiða gjølla;h. ørerne stivehava oyruni víðopin, lurta alspentur;en holdt kvindehjákona, frilla- B.afturbent;h. sig ajour medfylgja væl við gongdini í;h. sig i beredskabvera tilbúgvin;h. sig bortehalda seg burtur;h. sighjemmehalda seg heima; vera innisælur;hunholder sig godtaldur sæst ikki á henni, hon ber aldurin væl, hon er byrg, hon hevst væl við;h. sig iformhalda seg spelknan, halda sær væl;jeg kanholde migeg haldi mær;h. sig for god tilhalda seg ov góðan til;h. sig indevera innisælur;h. sigskjultliggja afturundir; liggja og fjala seg;(fl.m.) h.sig oven vandehalda seg omaná;han kunneikke h. mad i sigmaturin flónaði ikki í honum;h.sig fra nogetskýggja okkurt;h. sig på måttenstýra sær;h. sig tilhalda seg til, halda seg framat;h. sig tilbagehalda seg aftur, aftra seg;han holder sig ikke tilbagehann smæðist ikki burtur- C.ísamb.viðfsoghj- afh. (meget)afdáma væl, vera góður við, ynna, unna, hava eiri í (einum);jeg holder meget af at læsemær dámar væl at lesa;(sigl.) h. godt klar afhalda seg væl leysan av- anh. anhalda aftur;h. sin hestansteðga rossinum- forhan må altid h. forhann stendur altíð fyri skotum;h. for nargabba ein, hava ein fyri gjøldur, lumpa ein;h. én for et genimeta ein sum flogvit- foranh. foran sighava fyri sær- frahold dig fra mine sagerlegg teg ikki út í míni viðurskifti, kom ikki uppí- fremh. fremsom eksempelhava sum fyridømi;h. fremhava sum útgjar;h. et barn fremhalda barni meðan tað pissar- henh. folk henhalda fólki uppi við práti- ih. i ligevægthalda í javnvág; javnviga;h.konversationen i ganghalda samrøðuna gangandi;h. liv ihalda lív í, lívbjarga einum;h. iaveel.i tømmeaga ein, hava ein undir aga, hava tamarhald á- igenh. igen påhalda aftur, halda eftir, hamla, tálma, temja, spara- indeholdinde!steðga!;h. inde medsteðga við, gevast við;h. inde med skydningengevast at skjóta-medh. én med tøjklæða ein;h. trit medfylgja við;holde med énvera við einum, stuðla ein-modh. 3 mod 1halda 3 ímóti 1- nedeh. nedekúga- omh. omhalda um- oph. op medgevast við, leggja av; hæsa av; (um regn) slíta í;h. op med at regnelýsa í, slíta í;hold da (helt)op!tvætl í teg!;hold nu op!gevst við hasum;holdop med at spille vigtiggevst við at spæla erpnaspæl;h. op mens legen er god(el.mens tider)gevast meðan leikur er góður;h. én ophótta ein við skotvápni- oppekun nok til at h. livetoppebara nóg mikið til at lívbjarga sær;h. oppehalda uppi, skorða, styðja;h. dampen oppehalda á, standa við;han fik lov at h. sig oppe et partimerhann slapp at vera uppi nakrar tímar- over(herm.) h. revy overskoða herlið- påh. på sitstanda við sítt;han kan ikke h. på pengehann dugir ikki at eiga pengar;h. strengt på formernevera reglufastur, vera siðbundin;h. rede påhava greiðu á, hava tal á, hava tølur á;h. folk påafstandhalda fólk frá sær;h. på værdighedenikki gloyma sítt manslæti;jeg holder en flaske pådeteg veddi eina fløsku upp á tað;h. på denforkerte hesthalda við tí skeiva, fara skeivur-sammenh. sammenvera saman, halda saman;h.sammen på sin ejendomfara væl um ognir sínar, stýra ognum sínum;vennerne holdersmukt sammenvinfólkini halda væl saman- tilmere end et menneske kan h. tilmeira enn nakað menniskja tolir;hold til venstre forbikirkegårdenfar vinstrumegin kirkjugarðin;h. til i(hos)vitja tíðum, koma ofta, leita sær ofta;ikkekunne h. til merevera fyrilagstur, vera sperlaður, koma undir stongina;han skal holdestilhann skal verða hildin til; hann skal verða noyddur(t.d.at gera heimaarbeiði);som holdersig strengt til lovens bogstavlóglýðin;h. én tilildenhalda einum til;h. til bogenhalda til bókina;(dý.) h. tilhalda (kúgv til tarvs);h. til medhalda til hjá, vera saman við, hanga uppi í (fólki ein átti at hildið seg frá)- tilbagecyklistenholdt tilbage ved fodgængerfeltetsúkklarin steðgaði á við gonguteigin;han holder sig ikketilbagehann heldur seg ikki aftur, hann smæðist ikki burtur- udh. udlata sær lynda, halda útel.á; orka, vera mentur; kunna tola; lata sær lynda; lata um seg fara, ikki falla í fátt;hold ud!halt á!;han er ikke til at h. ud at se påhann er ótolandi at hyggja at;jeg holder hamikke udeg orki ikki fyri honum;h. pinen udikki gevast á hendur, tola (pínuna);h. ud til vinterener forbi(um fólk) halda á til veturin er av; liva veturin av, ikki síggja summarsólina(t.d.handa ærin livir ikki veturin avel.handa ærin sær ikki summarsólina)- udeh. kulden udehalda kuldanum burtur, hava ein fløva (í rúminum);hunbliver altid holdt udehon sleppur ongantíð upp í part;h. to ting ude fra hinandenhalda tey bæði málini sundurskild
holdebane	steðgipláss
holden1	lættari er at geva lyfti enn at halda tey; síloven
holden2	1hel og h.heilur og haldin;helt og holdentfullkomiliga, í heilum líki, við høvdi og gørnum, út í odd og egg;han tilhører helt ogholdent vort partihann er okkara maður út í æsir2múgvandi, múgin, ríkur;han er en h. mandhann er múgvandi maður
holdeplads	1bíðipláss, steðgipláss, bíðistøð;h. for taxaerbíðistøð hjá taxabilum2lítil jarnbreytarstøð
holdepunkt	hald, umhald, grundarlag, grundstøði, grundvøllur, fótfesti, støði, tak; grundstuðul;hanhar mistet ethvert h. i tilværelsenhann hevur mist fótafestið í lívi sínum;der er ikke noget h. forden formodningtað er einki hald í hasum tú sigur
holder	haldari;bladet har mange holdereblaðið hevur nógvar haldarar;en blyant med h.blýantur við haldara; ísmst (t.d.) husholde, værtshusholder
holdfører	(ítr.) liðskipari
-holdig	-kendur, -mikil, -havin;(t.d.)alkoholholdig, guldholdig, jernholdig
holding company	(handilsm.)haldfelag, haldfelagsskapur (felag sett á stovn at keypa partabrøv í øðrum virkjum, sum tað so fær ræði á)
holdingselskab	haldfelagsskapur (felag sett á stovn at keypa partabrøv í øðrum virkjum, sum tað so fær ræði á)
holdkaptajn	(ítr.) liðskipari
holdning	1kropsburður, limaburður, burður, medferð, høvuðburður;have en god og rank h.hava góðan og reystan kropsburð2hugburður, sjónarmið, støða, støðufesti, støðutakan, áskoðan;indtage en vis h. tilel.i en saghava ávísa støðu til eitt mál; hava ávísa støðutøkan í einum máli;han indtog en vaklende h.hann tók eina jánkasliga støðu, hann var ivasamur;han er en personlighed med h.hann er støðufastur maður; tað er stirðil í honum;afvisende h.snubbutur hugburður;han mangler h.hann er so vinglutur
holdningsbearbejde	ávirka hugburð;firmaet søger at h. kundernegennem reklamevirkið roynir at ávirka hugburðin við eyglýsingum
holdningsløs	støðuleysur, óstøðugur, vinglutur, viljaleysur, stevnuleysur, veikur, linur, dósin;h. personstøðuloysingur, bloyta, vingl;være h.himprast
holdningsløshed	støðuloysi, viljaloysi, vingl, himpr, dugnaloysi, stevnuloysi
holdningspåvirkning	hugburðsávirkan
holdop	vápnað rán;lave et h.ræna
holdt1	steðgur;gøre h.hava steðg, steðga á, steðga
holdt2	steðga! hvør er har
hole	nápa, taka, stjala;ved den forretning er derpenge at h.við hasum handlinum eru pengar at vinna;tyven holede alt sølvtøjettjóvurin stjól alt silv(u)ri
hole-in-one	(í golfi) hole-in-one (sláa golfkúlu í holuna við einum høggi)
holisme	(heimsp.) heildarspeki (rák í heimspeki og vísindaástøði ið leggur dent á at granska fyribrigdinit.d.kyknuna, mannakroppinel.mannamál sum heildir og ikki bara samansett við støkum fyribrigdum)
holistisk	(heimsp.) heildarspekiligur
holistisk indretter	heildarinnrættari
holk	1(avelt, sigl.)farmaskip2(avelt, sigl.)lagt skip brúkt sum goymsla3(tøkn.)hólkur4(tøkn.)rør sett niður í keldu at savna vatnið
Holland	(sern., landafr.)Holland,Háland, Niðurlond
hollandaisesauce	(í matgerð) hálendsk eggjasós (smør, eggjareyðar, fiskasoð og sitrón; gjørd í vatnbaði)
hollandsk1	hálendskur;h. møllehálendsk mylna
hollandsk2	(í bundnum sniði)-en,einkiflt
hollænder	hálendingur;flyvende h.flúgvandi hálendingurin (skiparin ið varð dømdur at sigla um heimshøvini til dómadags)
holm	hólmur;lille h.hólmi
holmgang	1(sø.)hólmgonga, einvíggj2(fl.m.)orðadráttur;de to ordførere havde envældig h.tað var rættiligur orðadráttur millum framsøgumenninar
holocaust	mannatýning,(serst.gýðingatýningin undir seinna heimsbardaga)
holografi	almyndan, heilmyndan (máti at skapa trítrívíddar myndir)
holografisk	almyndandi, heilmyndandi
hologram	almynd, heilmynd
holohyalin	(jarðfr.) heilglarutur (grótbræðingel.lava, sum er gjøgnumglarut)
holokrystallinsk	(jarðfr.) heilkrystallutur (grótbræðing, sum bert er krystallir)
Holsteinsborg	Sisimiut (í Grønlandi)
homeostase	(lækn.) homøostasa, javnstøðuhald;denmenneskeligetemperaturreguleringsmekanisme erkendetegnet af h.hitastilling mans er eyðkend av javnstøðuhaldi
homeostatisk	(lækn.) javnstøðuhalds-
homerisk	homeriskur, eftir Homer (blinda skaldinum sum eftir grikskari søgn sigst hava skrivað Illionskvæði og Odysseuskvæði);de homeriskedigtehomerisku kvæðini;en h. latterrungandi látur
home rule	heimstýri (stjórnarskipanin, sum írsku tjóðskaparfólkini stríddust fyri frá 1870 til fyrra heimsbardaga. Talan var um egið ting við avgerðarrætti í innanhýsismálum, egnari stjórn og umboð í parlamentinum í London)
homiletik	prædikufrøði
homiletisk	prædiku-, prædikufrøðiligur, uppbyggjandi
homili	(átr.) prædika (í fornkirkjuni áminningarnar ið samkomuformaðurin hevði síðst í gudstænastuni)
homiliebog	(átr.) lestrarbók (í miðøldini)
homo-1	(forskoyti) eins, einsvorðin, einvorðin, sam-
homo-2	(forskoyti) manna-, menniskju-, menniskja-, viðv. mannaættini
homofil	samkyndur; ts. s.homoseksuel
homofon1	(tónl.) einraddaður
homofon2	(tónl.) einrødd
homofoni	1tað at røddir eru eins2slag av fleirraddaðum songi, tá ið ein rødd ber lagið og aðrar styðja
homogen	einsháttaður, samkynjaður, eins, einkyndur;(al)samvorðin (móts.heterogen)
homogenisere	einshátta; fitijavna, javna
homogenisering	fitispreinging
homogenitet	einsháttan
homolog	1(lækn.)av sama slag (móts.heterolog); en h. inseminationísáing av sama slag (nevniliga egnum húsbónda)2(dý.)frumlíkur
homologi	samsvar, tilsvar; einsháttan, eins bygnaður, eins uppbygging;(heimsp.)samsvar ímillum lív, skil og náttúru (í stoikaralæru)
homonym1	(málfr.) einsnevni (orð, sum hava eins orðamyndel.ljóða eins, men hava ymiska merking)
homonym2	(málfr.) einsnevndur;homonyme ordeinsnevnd orð
homonymi	einsnevning (tað at orð við ymiskari merking verða framborin eins og hava ofta somu stavseting)
homo sapiens	tað hugsandi menniskja (heiti á menniskjanum sum dýrafrøðiligt slag)
homoseksualitet	samkynd
homoseksuel	samkyndur;(tlm.) (óvand.)rumpari;h. mandsamkyndur maður, samkyningur;h. kvindesamkynt konufólk
homozygot	(lívfr.)einsyki
homozygotisk	(lívfr.)einsykin
homunculus	1dvørgur2smávera í manslíki sum gullgerarar (alkymistar) hildu vera í manssáði og konufólkaeggjum og sum teir hildu seg kunna skapa sjálvir3tekning av eini menniskju, har støddlutfallið á kropspørtunum samsvarar við støddlutfallið millum ymsu heilapartarnar ið stýra teimum
homøopat	(lækn.) homøopathur
homøopati	(lækn.) homøopathi (læknaligur virkisháttur ið nýtir viðgerð í heilivágssmáverðum, sum í størri nøgdum gera fólk sjúk, men her hjálpir teimum)
homøopatisk	homøopathiskur
honduraner	honduri
honduransk	honduriskur
Honduras	(sern., landafr.)Honduras (ríki í Miðafrika)
honnet	heiðurligur, ruddiligur, ærligur, heiðurskærur, sámuligur, prýðiligur;h. ambition(núserst.)fínleiki, uppgjørdur fínleiki (eftir skemtileiki hjá Holberg);en h. ung mandein heiðurligur ungur maður, heiðursunglingi
honning	1hunangur;sød som h.hunangssøtur;søde medh.hunangssøta, søta við hunangi;sødet med h.hunangssøtaður2(skaldsk.) der flyder h. fra hans læberhunangur kvæðir av vørrum hansara3(bíbl.) land, der flyder med mælk og h.land, ið flýtur í mjólk og hunangi (2. Mós. 3, 8)
honningbi	(dý.) býfluga(Apis mellifera)
honningblære	(dý.) hunangsposi (á býflugu)
honningførende	við hunangi í
honninggemme	(plfr.) hunangsgoymsla
honninggrævling	(dý.) hunangsgrevlingur(Mellivora capensis)
honningkage	hunangskaka
honningkirtel	(plfr.) hunangsgoymsla
honningmave	hunangsposi (á býflugu)
honningsød	1hunangssøtur, sukursøtur2(fl.m.)kleimin; mildur; mjúktalandi, smikursøtur
honnør1	heiðursprógv, heiðursváttan, viðurkenning, sømd, tign; heilsan, herheilsan, hermannakvøða; skotkvøða;gøre h.heilsa formliga;besvare h.vátta kvøðu;generalen blevbegravet med militær h.herforingin varð jarðaður við hermannakvøðu;værtinden gjordeh. ved bordetvertinnan sat fyri borðendanum
honnør2	(kortsp.)honnørerhægstu kortini (ess, kongur, frúgv og drongur), harrabløðini, málaðblað, málað skon (eg havi ikki fingið málað blað);honnørerne er fordelte(í bridge) harrabløðini eru javnt býtt;4 honnører i klørhava ess, kong, frúgv og drong í kleyvara
honnørkort	heiðurskort
honnørmarch	1heiðursgonga2(tónl.)heiðursmarsjur
honorar	samsýning, ómaksløn, sømdarløn, gjald, viðurlag(útv, sjónv) h. for genudsendelseendursendingargjald
honorarlønnet	løntur við samsýning, samsýningarløntur
honoratiores	tey kendu, betra slagið, tignarfólkið;alle byens h.var til stedealt hitt betra slagið í býnum var har
