J	(st.)joule
jørð	1(gongustjørnan) earth;jørðin melur um sín ásthe earth revolves on its axis;jørðin melur um sólinathe earth revolves round the sun; globe;ferðast kring jørðinago round the world;blíður sum jørðincourteous, gracious, affable, kind, obliging2(jarðarríki, verøld, verð) world,móðir jørðMother Earth;(skm.) í favni jarðarin the bowels of the earth;á Guds grønu jørðon God's earth, in the whole world;í himni og á jørðin heaven as on earth;mangur dagur á jørð, síðan eg havi sætt tegmany a day has passed since I saw you;nøra upp á jørðinahave (give birth to) more children;seta himmal og jørð á annan endanmove heaven and earth3(jørðildi, jarðarbotnur, mold) soil(t.d.barren soil, clayey soil, fertile soil, heavy soil, intractable soil, light soil);velta jørðinatill(el.cultivate) the soil(el.the ground);óvelt jørðvirgin soil;í osb: fryst er jørð fyri vesala sveinum (uml.=)where there is no will there is no way;hann er sum jørðinhe is silent as the grave;skommin fór at leggja hana í jørðinathe shame would be the death of her;kasta jørð ásprinkle earth on the coffin4(jarðaryvirflati, jarðarskorpa) ground; surface of the earth; the face of the earth;bera við jørðtouch the ground;jørðin brennur undir fótum hansarahe is itching to be off; (um óttao.s.fr.)the place is getting too hot for him;dyrka jørðinatill(el.cultivate) the ground(el.the soil);heilag jørðconsecrated(el.holy) ground;niðri við jørðinaclose to the ground;sláa e-n til jarðarknock down;vígd jørðconsecrated ground5(móts.himmalin) earth(t.d.heaven and earth)6(móts.vatni) land, earth(t.d.earth and water)7(jarðarogn) land(t.d.all the land was in the hands of great landowners; grant land to ex-soldiers); lands(t.d.a stream separates their lands; extensive lands); (jarðarstykki, teigur) plot (of land);teirra fedranna jørðthe land of their fathers, their native soil;dyrkað jørðcultivated land, land under cultivation8(ravm.:jarðsamband)binda í jørðearth;(am.)ground(t.d.to earth a wireless set)9[ísamb.viðfs]ájørðinion the earth; on the ground; on earth;her á jørðon earth, here below;hava bæði beinini á jørðini (fl.m.)have both feet on the ground;kasta jørð ásprinkle earth on the coffin;størsti skálkur á jørðthe greatest scoundrel alive(el.imaginableel.on earth);fallaígóða jørðfall on fertile ground;(fl.m. eis.)be well received(t.d.the joke was not well received by them);,,Kringjørðina í 80 dagar"Around the World in Eighty Days;millumhimmal og jørðin mid air;alt millum himmal og jørðeverything under the sun(GG:it's a rag-bag);mótijørðiniearthward;komaniðuraftur á jørðina (fl.m.)come back to earth, come down to earth again;fallatiljarðarfall to the ground(t.d.not a sparrow falls to the ground);(fl.m.)fall to the ground(t.d.this argument falls to the ground); fall flat(t.d.the joke fell completely flat);sláa e-n til jarðarknock sby down, fell sby;undirjørð (eis. fl.m.)underground, under ground; (deyður) below ground;fara undir jørð (fl.m.)go underground, go under ground;vera undir jørð (fl.m.)be underground, be under ground;javnaviðjørðinaraze (to the ground)
jørðarbeiði	earth moving
jørðepli	(sj.)síepli
jørðildi	1soil; ground2(fl.m.) basis, foundation; (um kunnleika) grounding3(jarðfr.) regolith
jørðildisfrøði	(jarðfr.) pedology
jørðildisfrøðiligur	pedological, soil scientific
jørðildisfrøðingur	pedologist, soil scientist
jørðildisrøring	(jarðfr.) mass movement
jørð- og betongarbeiðari	(kann verða endurgivið) general worker; (heldurgl.)navvy
jørp	síjarpur
jøtun	[-tn-, -kn-]kgiant
jøvn	síjavnur
