L1	rómv. taltekn fyri 50
limablað	[journal (, bulletino.s.fr.)for the members of an association (, a club, a society)]
limaburður	(sj.)carriage, posture
limaður	í osb: væl limaður well-proportioned, big, well-made, shapely,
limafalssjúka	(gl.)paralysis
limafelag	member organization; associated organization
limafelli	paralysis
limafrekur	(sj.)coarse-limbed
limafundur	meeting of members
limagjald	(membership) subscription; membership fee
limakort	membership card; (til parti) party card
limalag	(um kropp) build
limaland	member country, Member State(t.d.of the United Nations, of the Council of Europe)
limalisti	list of members
limalítil	slight, slightly built, frail,móts.limastórur
limamikil	strong-limber, raw-boned
limaprógv	proof of membership, membership card
limarættur	membership rights (, privileges)
limaskapur	membership
limasterkur	with strong limbs, strong-limbed, rawboned
limastórur	strong-limbed
limasvartur	(seyðal.)with black feet
limatal	membership(t.d.the society has a large membership; the membership rose to 2, 000); number of members
limatekning	enrolment
limaveikur	weak-limbed
limra	limerick
limtoyggja	dislocate, put out of joint
limur1	1limb, limb;(móts.kroppeis.)extremity;váða bæði lív og limirrisk one's life;eftirgjørdir limirartificial limbs2the male organ(el.member)
limur2	1member(t.d.an active member; the members of the family; all members of the community; membership is restricted to the upper classes);limur í tinginumMember of Parliament, MP;føddur limur (t.e.limur sum embætisskylda) ex-officio member;gerast limur íbecome a member of; join(t.d.join the society);gerast limur í tinginumenter Parliament;hvílandi limur (uml. =)associate member;njótandi limurbeneficiary (member);fyrimunir við at vera limurthe advantages of membership;vera limur íbe a member of;vera limur í nevnd (eis.)serve(el.sitel.be) on a committee2(í lærdum felag) fellow(t.d.of the Royal Society, of the Royal Academy, of the Royal College of Surgeons)3(við avmarkaðum rættindum) associate
lina1	1make soft, soften;hann linaði vindin eitt sindurit blew (somewhat) less2(um pínu, sorgo.tíl.)relieve, alleviate, allay(t.d.the pain, his anger, his grief), ease, soothe, assuage
lina2	(um línu) ease off(el.let downel.veerel.slack away) a rope
linarogn	(sj.)immature roe
linastør	(plfr.)pill sedge(Carex pilulifera)© Wikimedia Commons
linbakaður	slack(-baked)
lind1	(plfr.)lime, lime tree(Tilia), (serl. skaldsk.)linden
lind2	1stripe (of colour)2stratum (fltstrata), bed; layer; measure, seam,kolalind coal measure, coal seam3(kvæð.)sílindi
lind3	(skaldsk.)spring, source, fountain,lívsins lindthe fountain of life
lindi	(gl.)belt, girdle,(kvæð.) tað býr undir lindanum, ið hevna man so sára[merkinguml:the unborn child will take a terrible revenge]
lindiskur	(dýr.)mollusc
lindormur	(fólktr.)dragon, wyvern
lindýr	(dýr.)mollusc,høgguslokkar og sniglar eru lindýrsquids and snails are mollusc
linga	(barn.)piddle, (do a) wee-wee
lingi	(stb.)a drop
lingra	(um hund) wag its (o.s.fr.)tail(t.d.the dog is wagging its tail)
lingu	sílingur(1)
lingur	1(in address)lingu(r)!my little friend, my dear2(sj.,barn.)dick, peter, Willy, Willie
linhválv	(jarðfr.)asthenosphere
lini1	1relief, alleviation,fáa ein lina fráobtain relief from2rest, pause, break,eina ferð lini er á tosinumonce there is a break in the talk
lini2	(fisk.)pollack, pollock(Gadus pollachius)© Wikimedia Commons
liningur	lull(t.d.a brief lull in the storm)
linja	1line, stroke2(tøkn.)telephone lineo.s.fr.3(teld.) á linjuon-line4the Line(t.d.cross the Line), the equator;norðan fyri linjunanorth of the equator5(í studentaskúla) line(t.d.the upper-secondary school is divided into two lines)(GG:he is doing the more academic subjects); side,nýmálslig linjathe arts side;støddfrøði linja el. náttúruvísindalig linjathe science side; (í fólkaskúla) stream;(am.um bæði studenta- og fólkaskúla) track; (á læraraskúla)hava týskt og ítrótt á linjutake German and physical training as main subjects
linjál	ruler; rule;(tøkn.)slide bar
linjubrá	(jarðfr.) lineament
linjudómari	(ítr.)(í tennis og fótb.) linesman (t.s.s.linjuverji); (í rugbyfótbólti) touch judge
linjugos	(jarðfr.) linear volcanism
linjulærugrein	(á læraraskúla) main subject
linjumynd	line graph
linjurættur	linear
linjuskifti	(teld.)line switching
linjuslag	(tele.)line type
linjustykki	(støddfr.)line segment;mittpunkt á linjustykkimidpoint of line segment
linjuverji	(ítr.)linesman
linka	1become soft, soften; relax, become slack, slacken(t.d.the rope slackened); (um vødda) relax; (um aga, moral) grow lax; (um áhuga, ivri) relax, weaken, abate, fall off, flag(t.d.he never allowed his interest in the school to flag) loose one's strength2(um streym) abate,streymurin linkarthe current is abating3(um veður) abate, fall, decrease, moderate, drop, die down;(tlm.)ease off(t.d.the pressure (, tension, rain) eased off); moderate(t.d.when the gale moderated); subside(t.d.the gale subsided); drop,vindurin linkaðithe wind dropped4(um pínu) abate(t.d.the pain abated);linka pínunasoothe(el.assuageel.easeel.allayel.relieveel.alleviate) the pain5(um kenslu) calm down(t.d.his emotion gradually calmed down); quiet down(t.d.the excitement began to quiet down); simmer down(t.d.his anger began to simmer down)6get sleepy, get heavy with sleep
linkandi	linkandi umstøður extenuating(el.mitigating) circumstances;føra fram sum linkandi umstøðurplead in extenuation
linki	1sleepiness, drowsiness; tiredness2pause, lull(t.d.a lull in the conversation, in the hostilities, in the wind); respite(t.d.a respite from one's labours)
linkilsi	sílinki(1)
linking	1(t.d.um pínu) relief, alleviation2modification; break(t.d.wait for a break in the bad weather);harðveðrið var í linkingthere was a break in the severe weather
linkur	(stb.)sílikkur
linleiki	powerlessness, impotence; weakness, feebleness
linligur	1(t.d. um hendur) rather slack, loose2(máttlítil) faint-hearted, pusillanimous3(um terra) moderate,(tlm.)pretty lousy4have a soporific effect, be soporific, induce sleep5hj-liga,linliga sagtput mildly; in uncertain terms
linna1	(sj.)break(t.d.í illveðrinum)
linna2	1(um veður, pínuo.tíl.)ease off, ease up, become weaker,(t.d.the tension between Italy and France was easing off);sjúkan linnaðithe illness was abating;illveðrið linnaði núthe storm was abating now;(fl.m.) stríðið má ongantíð linnathe struggle must never ease off2(fáa at minka) soothe, assuage, allay, relieve, deaden(t.d.the pain); temper(t.d.her grief at his death was tempered by the fact that he left her a large fortune)3linna ástop, leave off, cease
linni	1(um veður) break (wait for a break in the bad weather)2rest, pause, period of rest3(um pínu, sorgo.tíl.)relief, alleviation;(lækn.)palliation4(polit.)relaxation (of tension(s))(t.d.the situation is marked by a certain relaxation of tension(s)); détente
linningur	(um veður) break
linnutur	(tlm.)linen,linnut undirklæðilinen underwear
linolium	linoleum;(tlm.)lino
linoliumsálegging	linoleum flooring
linoliumsáleggjari	linoleum layer
linoliumsknívur	linoleum knife; (til linoliumsskurð) lino cutter
linoliumsskurður	linocut
linsa	(alisfr., likam.)lens; (kaka, uml. =) custard flan;franskar linsur(uml =) chocolate beans
linur	1soft,linur botnursoft bottom, muddy bottom;(skógr.)moist site; slack(t.d.control),linur í kongunum, síkongur 32(veikur) weaklinur streymurweak current, feeble current; feeble; flabby(t.d.muscles, cheeks, belly; a flabby style); limp,(t.d.figure, hand; his character is rather limp; he was as limp as a dish rag; a starched collar gets limp if you sweat (men:lin flippasoft collar); the flowers looked limp in the scorching sun; a limp statement); loose(t.d.skin; spring)3(um terra) moderate,linur terrimoderately dry weather4(eftirlatin, mildur) indulgent, weak; soft(GG:take a soft line); lenient(t.d.judge, sentence)5sleepy, tired, drowsy; (av natúru) somnolent;verða linurget sleepy;eg eri so linurI am so sleepy; I can't keep my eyes open6(um bát) unsteady, unstable
lippa1	1[flesh from fish's chin]2drooping lip,seta lippube on the point of crying3(lívfr.)(á konufólki) labium
lippa2	1sita og lippa el. lippastbe on the point of crying2(sjóm.,gl.) lippa el. lippa av[cut off the flesh under a fish's jaw]3kjólin lipparthe dress drips
lippufelli	í osb: hava lippufelli1be unable to speak, be tonguetied2be in low spirits (, out of sorts, in the doldrums)
lippulinur	sílippusíður
lippusíður	1with drooping lip, full-lipped2crying
lippuskarð	(stb.)harelip;við lippuskarðihare-lipped
lippuskorin	[fish from which the chins are cut]
lipputur	tongued, scallopped
liri1	(fisk., tlm.)spotted wolffish(Anarichas minor)
liri2	(gjaldoyra) lira(fltlire)
lirka	1lirka hurðopen with a skeleton key;lirka lás upppick a lock2slip, steal;lirka seg inn í rúmiðslip(el.steal) into (, out of) the room3pilfer, filch;(tlm.)pinch, bone, sneak, snitch, nick
lirpin	(sj.)sulky
lirputur	(sj.)sílirpin
lirra	í osb: tað lirraði ikki í honum he was stone dead;(stb.) ein lirrandi temuðura nice cup of tea
lisa	(plfr.)Pink Purslane(Claytonia)(C. sibirica)
lisin	sílesa
lispund	(vekt) 8 kilogram(me)s
lissa1	1rope, string2lace, bootlace, shoelace;(am.)shoestring
lissa2	lose, let go (one's hold of), miss; waste,(tilt.) mangt má smæðin lissathere is much which the shy will miss;eg kann ikki lissa daginI cannot waste the day
lisshol	sílissuhol
lissuhol	(á skógvi) eyelet
lissur	loss
lissuskógvur	(lace-up) shoe, tie shoe, laced shoe
list	1art,list og handverkarts and crafts;skapandi listcreative art;føgur listthe (fine) arts;list og vísindithe (fine) arts and sciences (and scholarship)2cunning(t.d.meet cunning by cunning);við valdi ella listby force or stratagem; by hook or by crook
lista	1(teld) list2(handilsm.) list;listað fyritøkalisted firm
listaarbeiði	work of art, artistic work
listabók	art book
listabúni	sílistasnið
listadansur	ballet;framføra listadansdance a ballet;til listadansinat the ballet
listafatan	conception of art
listafelag	(firm of) art publishers
listafínur	refined, subtle; of studied elegance, recherché
listaforlag	(firm of) art publishers
listaforleggjari	art publisher; firm of art publishers
listafólk	artist; (sum førir fram) artiste
listafólkarættur	(løgfr.)copyright; (droit moral) droit moral
listaframsýning	art exhibition
listaføra	keep a list of; draw up a list of, catalogue; enter on the list (, the roll)
listagávur	artistic faculty, artistic gifts, artistic skill, artistry
listagóður	artistic
listagrein	(branch of) art, art form
listagripur	object of art, art object, objet d'art;listagripur í bronsua bronze;(fltkollektivt) bronzework, bronzes
listagrunnur	fund for the endowment of the arts
listahandil	art shop; (størri) art gallery
listahandilsmaður	art dealer
listahandverk	handicraft(s); (vørur) art wares, artware, handicraft products
listahandverkaraskúli	school of arts and crafts
listahandverkari	(artist-)craftsman; (stundum) craftsman-designer
listaháskúli	(skúlam.)art school, school of art
listaheimur	listaheimurin artistic world, world of art
listahøvil	(handv.)sílisthøvil
listaídnaðarsavn	museum of applied(el.decorative) art
listaídnaðarskúli	school of art(el.decorative) art
listaídnaður	applied art; decorative art; (av verksmiðjueis.)industrial art
listakona	(woman) artist
listakvinna	sílistakona
listakønur	with artistic taste;listakønur maðura connoisseur
listaligur	artistic,listaligt arbeiðiartistic work
listamaður	artist; eis.listafólk, listakona
listamálari	artist, painter
listansur	artistic taste, aesthetic faculties
listaprent	(prent.)art printing; (eintak) art print
listarák	style (of art); school (of art); (helling) art trend
listarbragd	trick, ruse, stratagem;(tlm.)dodge,brúka listarbrøgduse trickery, use tricks, employ a ruse
listarhegni	ingenuity
listarligur	artistic, ingenious
listasamband	(stjm.)joint list (of candidates);gera listasambandput up a joint list framman
listasavn	1art collection2art gallery; eis.listaskáli
listaskáli	art gallery; eis.listasavn
listaskúli	art school, school of art
listasmiður	(artist-)craftsman; (stundum) craftsman-designer
listasmíð	handicraft(s); (vørur) art wares, artware, handicraft products
listasnið	(skaldskaparslago.s.fr.)art form, form of art; (listarligt snið) artistic form; (í list) idiom(td.the artistic idioms of today; create a new musical idiom)
listasýni	(teld)listview
listasøga	history of art, art history;fronsk listasøgathe history of French art
listasøgufrøðingur	art historian
listasøguligur	of art history, art-historical
listateigur	(teld)listbox
listaummælari	art critic
listaummæli	art criticism
listaverk	work of art
listaveving	(handarb.)handloom weaving, artistic weaving
listavísindi	art scholarship; (oftast) art history
listfalsan	fake; (at falsa) faking
listfrøði	aesthetics, esthetics
listgranskari	student of art
listgransking	study of art
listhølva	(handv.)plane in profile
listhøvil	(handv.)moulding plane
listi1	(teld.)list
listi2	1list, catalogue, inventory;(teld.)list; (navnalisti) list, roll(t.d.the roll of solicitors); (nevningalisti) panel; (veljaralisti) electoral register; (valevnalisti) list(t.d.vote for the Liberal list);(am. eis)ticket(t.d.running on the Democrat ticket);(am. tlm.) slate(t.d.they are running as a single slate)2[íyms.samb.]føra listi yvirkeep a list of;gera ein listi yvirdraw up a list of, catalogue;seta á listanenter on the list/the roll;listin yvir eittthe list of sth;strika av listanumstrike off the list/the roll;svarti listithe black list;seta ein á svarta listablacklist sby;hann er á svarta lista (fl.m.)there is a black mark against his name;standa á listanumbe on the list/the roll;standa ovast á listanumhead/top the list
listi3	(húsasm.)list, selvage; (profillisti) moulding; (picture-)frame moulding (úr metallio.s.fr.)strip
listilærdur	artful, crafty, cunning, sly, wily, deep, foxy;ein listilærdur kúllura sly fox, a wily bird
listkønur	vera listkønur be a connoisseur
listmálari	artist, painter
listskoyturennari	figure skater; (artist) trick skater
listskoyturenning	figure skating; trick skating
listuliga	1ingeniously2cunningly, slyly
listumlærdur	(sj.)sílistilærdur
listveving	sílistvevnaður
listvevnaður	handloom weaving, artistic weaving
lit	look, glance,gera eitt lit aftur um baklook/glance behind (one)
lita	1colour,(am.)color; dye;lita eitt bláttcolour/dyeo.s.fr.it blue2(um træ, glas, beino.tíl.,soleiðis at litur setur inn í tilfarið) stain3(fl.m.)colour(t.d.his views are coloured by his Nationalist sympathies)
litadimmur	(kvæð.)dark(-coloured)
litadýrd	riot of colours(t.d.the garden was a riot of colours)
litaður	coloured, which has a certain colour
litafríður	(sj.)sílitfríður
litakassi	paintbox
litakistil	paintbox
litaleikur	play of colours, lambency; (líkur perlumóður) lambency, iridescence
litamikil	richly coloured
litamót	[wool of different colours]
litamótin	litamótin ull [mixed black and white wool]
litavi	lithuanian
litarað	colour register, range of colours, colour gamut
litarøkt	íosb: tað fæst ikki litarøkt aftur á plaggiðel.hetta fæst ikki litarøkt á[uml= it is so dirty that it cannot be washed clean]
litaseting	colour scheme, colourway; the composition of colours
litaskjúrt	[red-striped Faroese shirt]
litaskrúð	sílitaleikur
litaspæl	sílitaleikur
Litava	(sern., landafr.)Lithuania
litaval	(teld)palette
litavi	Lithuanian
litavskur	Lithuanian
litavskur	lithuanian
litbað	colour bath
litband	(til skrivimaskinu) ribbon;skriva við reyðum litbanditype in red
litblað	the sensational paper; yellow paper, gutter paper
litbland(ing)	colour blendel.blending, mixingel.mixture of colours;(litm.)colour synthesis(t.d.additive colour synthesis, subtractive colour synthesis)
litblindi	colour-blindness; (fullkomið litblindi) achromatopsia; achromatism
litblindni	sílitblindi
litblindur	colour-blind
litblýantur	crayon, coloured pencil
litbrá	(alisfr.)spectrum(fltspectra)
litbrigdi	nuance, shade(t.d.we have this colour in several shades), slight difference; subtlety; nice distinction;(serl. viðv.innhaldi av hvítum) tint(t.d.several tints lighter; every tint of green)
litbroytast	change colours
litbroyting	change of colour
litdámur	tint, shade
litdyggur	colour-fast
litevni	1dye(stuff)(t.d.synthetic dyes); (til matvøru) colouring agent;nátúrligt litevninature dye2(lívfr.)pigment3colouring power
litfagur	with beautiful colours, richly-coloured
litfar	(í húð) pigment
litfarast	be easily bleached, fade(t.d.the colour (, the flower, the material) fades);litferst ikki!non-fading, fadeless;hesin liturin litferst ikki (eis.)this colour is fast
litfilmur	colour film
litfríður	beautifully-coloured
litgeil	(t.d. á horni)differently coloured stripe
lithinna	(lívfr.)iris
lithúgva	(stb.)[red and black striped Faroeman's cap]
litifarast	sílitfarast
litifríður	(stb.)sílitfríður
litil	(nýggjy., lívfr.) cromosome; eis.kromosom
litin	(kvæð.)in appearance(t.d.in appearance he is insignificant)
liting	1colouring; dyeing2dye(stuff)(t.d.synthetic dyes)
litingarjavni	(plfr.)Alpine Clubmoss(Diphasiastrum alpinum)© Wikimedia Commons
litingarpottur	dyepot
litingarsortugras	(plfr.)wood cranesbill, woodland geranium(Geranium sylvaticum)©iStock
litjavni	(plfr.)sílitingarjavni
litka	colour slightly, tint, add a tinge of colour;litka hártinge hair
litkrit	(við ongari olju) (coloured) chalk; (við olju) crayon
litkvæmur	(litm.)colour-sensitive
litleysur	1colourless;(t.d.water is a colourless fluid); lacking in colour, dull;litleyst hár (eis.)mouse-coloured hair; (um optiskt glas) achromatic2(fl.m.)(lítið eyðkenniligur) colourless(t.d.a colourless personality); (partleysuro.s.fr.)neutral, detached, impartial
litloysingur	(lívfr.)albino
litlæra	chromatology
litmátari	colorimeter
litmettaður	colour-saturated;(fl.m.)richly coloured, colourful
litmynd	(mynd í litum) colour picture;(alisfr.)spectrum
litpappír	transfer paper
litpatrón	toner cartridge
litpottur	paintpot
litprent	1(prent.)colour-printing2(prentið) colour print
litprenta	print in colour
litprika	tattoo
litprikari	tattooer, tattooist
litpriking	tattooing
litprýða	colour, make colourful
litramál	síliturmál
litráðgevi	colour consultant
litri	(sj.)litre;(uml. =)quart measure
litríkur	richly coloured, many-coloured, colourful;(fl.m.)colourful(t.d.personality)
litsansur	sense of colour, colour sense
litsjón	(lækn.)colour vision; (um málara) treatment of colour
litskiftast	change colour
litskifti	1play of colours, lambency; (lík perlumóður) lambency, iridescence2change of colour3graduation
litskíggi	colour screen;(teld.)colour display
litspæl	play of colours, lambency; lambency, iridescence
litsterkur	in strong colour, in gaudy colour
litstyrki	colour intensity
littóni	tint, shade;við ljósareyðum littóna (eis.)shaded in pink
littur	1of a certain colour, coloured;litt ljóscoloured light;ógvisliga litturhighly coloured; (um klæði, háro.s.fr.)dyed(t.d.dyed textiles; dyed hair); (um træ, glas, bein: soleiðis at liturin setur inn í tilfarið) stained(t.d.stained oak);(plfr.:ikki grønur) coloured;littar neglpainted nails;littar brillurtinted glasses2(hallur) tendentious, angled, slanted, coloured(t.d.the story is coloured by his Communist sympathies)3(um ikki-hvít fólkasløg) coloured(GG:í Suðurafrika var munur gjørdur á black og coloured);tey littucoloured people, people of colour,(st.)POC;ein littura coloured person, person of colour,(st.)POC
littynning	(dýr., fugl.) leucism;við littynningleucistic
litur	1colour;(am.)color(t.d.her hair was the colour of ripe wheat; without distinction of colour, race or creed);(lívfr. eis.)pigmentation2(litbrigdi) tint, shade(t.d.another shade of blue)3(litevni) dye(t.d.aniline dyes); dyestuff; pigment(t.d.zinc pigments); (til at lita mat, drykkir, smør, margarineo.s.fr.)colouring (matter(el.agent)); (til at lita træ, glas, bein: soleiðis at liturin setur inn í tilfarið) stain4(málaralitur) paint; (hjá listarmanni) paint, colour5(prent.)printer's ink; printing colour, coloured ink6(húðalitur) complexion, colour7(flokslitur) (political) colour; (political) complexion(t.d.newspapers of another complexion); politics(t.d.I don't know his politics)8(ljómlitur) timbre9(kortsp.)suit10(í vápnaskjøldrio.s.fr.)colours(t.d.his lady's colours, the colours of the country)11[íyms.samb.]ein litur(í litkassao.s.fr.)a cake of water-colour;í litumin colour;í einum litiin one colour, monochromatic;í mongum litum (t.e.marglittur) in several colours, polychrome, polychromatic, multicoloured;allir alabogans litirall the colours of the rainbow(el.the spectrum);døkkir litirdark(el.sombre) colours;mynda í døkkum litumpaint in dark colours;fáa lit á kjálkarnarget colour into one's cheeks;hava fríska lit (t.e.dám) have a fresh complexion;haldgóður liturfast colour;hvønn lit hevur tað?what colour is it?;høgur litur (kort.)major suit;kámur liturdull colour;(yrkism.)matt colour;(prent.)dull ink, non-gloss ink;klárir litirbright colours, gay colours;komplimenterir litircomplementary colour;lágur litur (kort.)minor suit;leggja lit á eittcolour sth;missa litinfade;mynda í sterkum litumpaint in vivid colours;liturin hjá mótspælaranum (kort.)the adverse suit;reinir litirclear colours;skifta lit (eis.um fólk) change colour;skifta (fáa) ymsar litirtake on different colours, change colour, become alternately red and white in the face;(kort.)switch to another suit;litur skikkaður at spæla út (kort.)leadable suit;skríggjandi litirloud colours, gaudy colours;sterkur liturstrong colour;(kort.)strong suit;turrir litirdry colours;vísa lit (kortsp.)invite (a bid)
liturmál	litre;(uml. =)quart measure
litveikur	lacking in colour, dull,hár hennara var litveiktshe had mouse-coloured hair
liva	1live2(búgva) live(t.d.he lived in England)3(vera livandi) live(t.d.the patient still lives); be alive(t.d.though badly hurt, the horse was still alive)4(vera til) exist(t.d.such animals do not exist)5(lívbjarga sær) live(t.d.we must have oxygen in order to live); subsist(t.d.no class of society can subsist without an economic basis);(bíbl.) menniskjan livir ikki av breyði einaman shall not live by bread alone6(draga undan)survive7(liva á ávísan hátt) live(t.d.we want to really live);liva kátt lívlive a cheerful (, happy) life; pass, spend(t.d.he spent the last few years of his life in peaceful retreat)8(sigl.:um segl) shiver9[ísamb.viðn]X livi!three cheers for X!;kongur liva!long live the King!;liva sítt egna lívlive one's own life;liva eitt syndarligt(, eydnuríkt o.s.fr.) lívlead a miserable (, happyo.s.fr.)life;liva lívið hættisligalive dangerously;lívið skal livastlife must go on10[ísamb.viðs]gera lýsingina livamake the description come alive;gerast liva (fl.m.)come alive(t.d.this play did not come alive in the theatre);lýsa livagive a vivid description (el. picture) of;verða liva jarðaðurbe buried alive;sleppa liva frá e-msurvive sth, escape with one's life;tey ið sluppu liva frá vanlukkunithe survivors of the disaster;síggja eitt liva fyri særvisualize sth, see sth vividly11[ísamb.viðhjogsb]liva vællive comfortably, live well;her er dýrt at livathe cost of living is high here; this is an expensive place to live in;hann livir ennhe is still living(el.alive)(el.(hátíðarliga) among us);liva fínthave a good time, live on the fat of the land, live high on the hog, live like fighting cocks;(viðv.mati) do oneself sumptuously;halda fram at livalive on, survive, go on living(t.d.she had no desire to go on living); (óvist, eis.fl.m.)linger on(t.d.the patient (, the Government) lingered on for another month);liva hartgo the pace; burn the candle at both ends(GG:live hard, die young);liva foreldur tygara enn?; are your parents still alive(el.living)?liva í ævirlive forever;hvussu livir tú?how are you?liva leingilive long, live to a great age, live to be an old man (, woman);hann livir ikki leingihe won't live(el.last) long; (hátíðarliga) he is not long for this world(GG:I give him three months at the outside);liva nóg leingi at síggjalive to see;leingi livi X!three cheers for X!;so leingi eg livias long as I live; all my life;um vit liva nóg leingi at síggja so leingiif we live to see it;(átr.)if we are spared;liva lystiligalead a merry life;meðan hann livdiin(el.during) his lifetime;liva samanlive together;liva saman viðlive with; (skemtel. gl.)live in sin with;(løgfr.:sum maður og kona) cohabit;hann livir ikki saman við konu sínuhe lives apart from his wife; he and his wife have separated;liva sum hundur og kettalead a cat-and-dog life;so satt sum eg livi!as sure as I'm standing here!liva sum maður og kona (gl. el. skemt.)live in sin;(løgfr.)cohabit12[ísamb.viðfs]av;liva av(eta) live on(t.d.he lives on a diet of vegetables); subsist on(t.d.no one can subsist on such a diet); (um dýr) feed on, subsist on; (lívbjarga sær við) live by(t.d.live by one's pen, by the work of one's hands); make a living by(t.d.writing); support oneself by(t.d.writing, agriculture); subsist on(t.d.they subsist on charity); (peningaupphædd) live on(t.d.live on £10 a day; I cannot live on my salary);(eis.)live off(t.d.such minimum wages);hvørjum livir hann av?what does he do for a living?;hvørki til at liva ella doyggja av (fl.m.)not enough to keep body and soul together;løn sum hvørki er til at liva ella doyggja ava starvation wage;hann hevur einki at liva avhe has no means of subsistence; he is destitute;tey liva av veiðu og útróðrithey live as hunters and fishermen;eingin kann liva av hasari løninithe wage is not enough to live on; it is not a living wage;liva av sínum egnu pengumhave a private income;maður sum livir av sínum egnu pengum (eis.)a man of private(el.independent) means; (liva longri enn)liva e-n avoutlive someoneeftir;liva eftir sínum aðalreglumlive up to one's principles; live according to one's principles;frá;liva frá hondini í munninlive from hand to mouth;fyri;liva fyri £10 um daginlive on £10 a day;hava eitthvørt at liva fyrihave sth to live for;hann livir og andar fyri hasum handlinumthat business is his whole life;í;liva í fortíðinilive in the past;liva í gleði og gamanlive happily(t.d.ever after);liva í vóninilive in hope;liva í trúnni atfondly believe that;liva seg inníenter into the spirit of, identify oneself with, familiarize oneself with, empathize with;Sget (deeply) into;umaftur;liva lívið umafturrelive one's life; live(el.have) one's life over again;undir;liva undir truplum umstøðumlive under difficult conditions;upp;liva upp til eina fyrimyndlive up to an ideal;liva upp álive on(t.d.one's memories);(fl.m. eis.)live by(t.d.the values they lived by);eitt gildi vit kunnu liva leingi uppá (uml. =)that was an unforgettable party, we'll remember that party for a long time; (hátíðarligari) the memory of that party will never cease to warm our hearts;liva upp á eina lygnlive a lie; base one's life on a lie;við;liva viðtake an active interest in what is going on; (njóta lívið) (really) live, go the pace;vit mugu læra at liva við (t.d.okkara trupulleikum) we must learn to live with(t.d.our problems);liva viðlive on, feed on,hann livir við kjøthe lives on meat;yvir;liva yvir evnilive beyond one's means13livst:her livst ikki fyri gangithe noise is unbearable here;hvussu livst?how are you?14livandilliving, alive,hann drap ikki livandihe did not catch a thing;her er ikki livandiit is quite unbearable here;tað er ikki so livandi galið (at tú)you are not so crazy as to15[íyms.samb.]liva og deyðthe living and the dead;(bíbl.)the quick and the dead;deyður ella livadead or alive;meira deyður enn livamore dead than alive;liva dýr(ES) livestock;royndir við liva dýrumvivisection;liva endurminningvivid recollection(el.remembrance)(GG:it is still fresh in my memory);eftir liva fyrimyndfrom the life; (tekning eftir livandi fyrimynd) life drawing;tann liva Gudthe living God;í liva líviwhile alive; during his (, hero.tíl.)lifetime;liva ljóscandles;við liva ljósicandlelit(t.d.a candlelit room);liva málliving language;tað liva orðiðthe spoken word; the living word;(átr.)the Word;ikki vita sær síni liva ráðbe at one's wits' end;ikki ein liva sálnot a soul;liva tónleikurlive music;liva vektlive weight;liva veraliving (el. animate) being
livandi	1(sum livir) living, animate; (viðfest) living, live(t.d.a live pig); (sum umsagnarliður) living, alive(t.d.he is still living(el.alive))2(sannur) lifelike(t.d.portrait); vivid(t.d.a vivid description of Napoleon's court)3walking(t.d.he is a walking encyclopedia; he is a walking advertisement for this cure); living(t.d.he is a living refutation of the theory that unsuccessful men are always unhappy)4livandi og deyðthe living and the dead;(bíbl.)the quick and the dead;deyður ella livandidead or alive;meira deyður enn livandimore dead than alive;tann livandi Gudthe living God;eftir livandi fyrimyndfrom the life; (tekning eftir livandi fyrimynd) life drawing;livandi ljóscandles;við livandi ljósumcandlelit(t.d.a candlelit room);livandi málliving language;tað livandi orðið(talaða orðið) the spoken word; the living word;(átr.)the Word;livandi persónur (løgfr.)living person;ikki vita sær síni livandi ráðbe at one's wits' end;ikki ein livandi sálnot a soul;livandi tónleikurlive music;livandi vektlive weight
livandstur	(Suð.)sílivandi
livikostnaður	costs of living, living expenses(el.cost)
liviligur	endurable, worth living, livable,her er liviligtone can live here;livilig korconditions in which one can live
livilíkindi(r)	living conditions
livimáti	health,hvussu er livimátin?how are you?
livin	(nýggjy., lívfr.) biotic
livitíð	1(um lutir, hvussu leingi teir halda) life(t.d.the low cost and long life of this engine); economic life(t.d.houses should have a useful economic life of at least 80 years)2(um lýsingar, hvussu leingi tær halda) life cycle
livna	come to live, become alive, revive(t.d.he revived; his hopes revived);(tlm.)liven up(t.d.things are livening up, he livened up at the thought);livna úr afturcome to life (again); be encouraged
livni	(nýggjy., lívfr.) biota (eint.)
livra-	sílivrar-
livrarbiti	piece of (fish) liver
livrarblað	(lívfr.)lobe of the liver, liver lobe
livrarbroddur	1(lívfr.)point of the liver2piece of (fish) liver
livrarbruni	sílivrarsótt
livrarfeitur	(um fisk) with a fat liver
livrargroddi	sílivrarbroddur(2)
livrarkíkur	í osb: skunda tær, so tú ikki verður livrarkíkur (uml=)hurry so you won't be last
livrarlýsi	cod-liver oil
livrarpylsa	liver sausage
livur	(lívfr.)liver,leggja at livriniel.á livrinado justice to the food;(um brennivín) hann hevur lagt ov nógv á livrinahe has had a drop too much; he has had one too many; he has had more than he can handle;fylkjast sum fuglur um livur(merking:) gather in great number
livurblettur	1(undir barnsburði) chloasma; liver spots2(íkomið av soppi) pityriasis versicolor
livurhøgg	stitch in one's side
livurkøka	liverloaf
livurpostei	liver paste; (gásalivurpostei) pâté de foie gras
livurpulsæðr	hepatic artery
livurreyður	liver-coloured
livursjúka	disease of the liver
livurskropnan	(lækn.)cirrhosis of the liver
