n	(málfr.)consonant
neyðútgongd	emergency exit; (um eldur er íeis.)fire escape;(sigl.)escape
neyðverja	self-defence(t.d.kill sby in self-defence)
neyðverjuatgerð	emergency measure
neyðverjudráp	homicide in self-defence
neyðvindeyga	(sigl.)escape window
neyðætlan	contingency plan
neyra	beg, pester; be annoying, tiresome;børnini neyraðu um at fáa pengarthe children kept pestering them for money;eg neyraðist og júkaði um at sleppa viðI begged and implored (them) to be permitted/allowed to go with them to
neyring	begging, pestering
neys	sínjósa
neyst	boathouse;har var bátur í hvørjum neystia boat was in every boathouse
neystadyr	doorwayel.entrance to a boathouse;nasarnir vóru sum neystadyrthe nostrils were as large as the doorway of a boathouse
neystakjaftur	síneystadyr
neystaloft	boathouse loft
neystatoft	ruined boathouse
neystaveggur	wall of a boathouse
neyt1	1ox(fltoxen), cattle(flt),(ísamb.við teljing) head of cattle(flt, t.d.five heads of cattle)(Bos); fara til neyta(r)go out into the outfield to milk the cows;koma frá neytumcome back from milking the cows in the outfield;tarvurin var í neytunumthe bull was among the cows;tær royndu at fáa tarvin úr neytunumthe women who milked the cows tried to drive the bull out of the herd;sópa undan neytum/neytunumclean (out) the stalls/boxes2fool, idiot, ass, sucker;títt neytyou fool
neyt2	sínjóta
neytaafturfjórðingur	hindquarters(flt)
neytaalari	(landb.)stock breeder
neytaaling	(landb.)cattle farming, cattle breeding, cattle rearing(t.d.they carry on cattle rearing); stock breeding;(serst. am.)stock raising
neytabásur	(landb.)stall, box
neytabringa	brisket (of beef)
neytadrongur	(gl.)cowherd, herd, cowman; (í USA) cowboy; (í Avstralia) stockrider;(gl., skaldm.)herdsman
neytafjórðingur	quarter of an ox
neytaflokkur	herd of cattle
neytafloti	(stb.)herd of cattle
neytafóður	(cattle) fodder
neytaframfjórðingur	(landb.)forequarter
neytafylgi	herd of cattle
neytagarður	fence to prevent cows from falling down from cliffs
neytageil	specially fenced road for cattle (to and fro the outfield)
neytagerði	paddock for cattle in the outfield for a (short) stay
neytagonga	(gl.)[the act of going to the outfield to milk the cows]
neytagøta	cattle track
neytahaft	[woollen string used to tie together the legs of cattle(espcows)]
neytahagi	pasture for cows
neytahalasuppa	oxtail soup
neytahald	1cattle keeping;fólkið livdi mest av seyða- og neytahaldithe people (of the Faroes) supported themselves mainly by sheep and cattle keeping2síneytaskipanoginnstøða
neytahali	cow's tail
neytahorn	cow's horn
neytahúð	oxhide
neytahælur	stakeel.picket for cows
neytahøgur	síneythøgur
neytahøvd	cow's head
neytahøvur	síneytahøvd
neytajøkil	(stb.)[pasture which has been closely cropped by cattle]
neytakjøt	beef;malið neytakjøtmincedel.ground beef
neytakleyv	cow's hoof;har var ikki ein neytakleyv at síggjanot one head of cattle was to be seen (looking for them in the outfield); síeis.kleyv
neytakona	1(gl.)woman who milks the cows (in the outfield)2(niðr.)person not worth his//her salt3(plfr., stb.)síullarkona2
neytakoppar	(dýralfr.)cowpox
neytakroppur1	bovine carcass
neytakroppur2	(kvæð.)beef carcass
neytaland	liquid manure
neytalangleggur	leg of beef
neytaligur	1(sj.)looking like a model cow2foolish, silly, stupid, fatuous, inane
neytalortur	cow pat
neytalundir	(uml.)undercut of sirloin, beef tenderloin
neytamál	milking time, milking period;millum neytamálbetween milking times;hon skuldi royta hundrað lundar millum neytamálshe had to pluck one hundred puffins between the (two) milking periods
neytamjólk	cow's milk
neytamykja	cow dung
neytapokur	(dýralfr.)cowpox(eint.)
neytarakstur	1permission to drive the cattle to the outfield for the summer;ikki allir høvdu neytaraksturnot all the men had permission to pasture their cattle in the outfield;húshagin var til øll neytinithehúshagiall the cattle (of a village) were allowed to graze in thehúshagi2road along which cattle are driven (to and fro the outfield);steinurin stendur tætt við neytaraksturinthe stone is situated close to the cattle track
neytarhøvd	(sj.)síneytahøvd
neytaseta	(gl.)[the act of tending the cattle in the outfield]; sísummarseta
neytasíða	side of a bovine carcass
neytaskarn	cow pat
neytaskipan	[fixed number of cows in an outfieldorpart of outfield];neytaskipanin í Nólsoy var tá o.u. 60-70 kýrat (the village of) Nólsoy the fixed number of cows was then about 60 to 70
neytaskjóla	(gl.)small milk pailel.milk tub
neytaslag	breed of cattle;blanda neytaslagcross-breed
neytasneið	fillet of beef, fillet steak
neytasteik	roast beef, (heil steik) joint of beef;hava neytasteik til døgurðahave a joint of beef for dinner
neytastuldur	cattle stealing;(am. eis.)rustling
neytastøðil	(gl.)sístøðil
neytasýning	cattle show
neytatal	number of cattle;stórt//lítið neytatallarge//small number of cattle
neytatippi	(gl.)sístøðil
neytatíggjund	(sø.)tithe(s) on cattle
neytatjógv	leg of beef
neytatjóvur	cattle thief, cattle lifter;(am. eis.)rustler; (avstralskteis.)(cattle) duffer
neytatrygging	(trygg.)cattle insurance
neytatrøð	[paddock for cattle in the outfield]
neytatuberklar	bovine tuberculosis
neytatunga	oxtongue
neytatøð	cow manure
neytaøði	mad cow disease,(dýralfr.) bovine spongiform encephalopathy, (st.)BSE
neythagi	pasture for cows
neythali	cow's tail
neythøgur	neythøgurgarðurfench which is high enough to keep the cattle out
-neyti	sífylgis-,kappingar-
neytsband	strap with which a cow is tied to the stall
neytshorn	cow's horn
neytshúð	oxhide
neytshøvd	cow's head
neytskjøt	(sj.)síneytakjøt
neytsskarn	síneytaskarn
-neytur	sífylgis-
neyvan1	hardly;hann fer neyvan at hóra undanhe'll hardly recover (he's going to die);hann var neyvan edrúurhe was hardly sober;neyvan var sólin horvin so køvdi hann avhardly had the sun disappeared when everything was blanketed by fog; síeis.valla
neyvan2	(sigl.)by the wind, close-hauled;sigla neyvari (sigl.)haul off, haul to the wind;sigla neyvanhug the wind; síneyvur5
neyvasigling	(sigl.)sailing by the wind, sailing close-hauled; síneyvur5
neyvhugsan	cogitation, full consideration, (nágronn hugsan) exact thinking; (skilvísel.logisk hugsan) logical thinking, ratiocination;hann hevði ongantíð havt evnir til neyvhugsanhe had never been able to give anything a full consideration
neyvlýsa	1(greiða frá) define(t.d.define one's position); clarify(t.d.could you clarify that point a little?)2[íyms.samb.]eg skal neyvlýsa uppskotið soleiðis atI wish to give my proposal the following form;neyvlýsa støðuna soleiðis atdefine one's position in the following terms;neyvlýsa tað, ein hevur sagtbe more explicit in one's statements
neyvlýsing	defining, clarification; pointing out; specification;okkum tørvar eina neyvlýsing av uppskotinumwe need a more precise/explicit formulation of the proposal
neyvskjóting	pinpoint bombardment
neyvsmakka	add (t.d.add sugar to taste)
neyvstilla	fine-tune
neyvstilling	fine-tuning; fineel.exact adjustment
neyvtekna	(stfr.)construct
neyvtekning	(stfr.)construction
neyvur	1exact(t.d.an exact description); precise(t.d.a precise statement); distinct, accurate, to the point, crisp;neyv hugsanexact way of thinking;neyv mátingexact measuring;neyvur málbúnia crisp and clear language form2close-fisted, stingy, miserly, niggardly;nú hevur tú verið neyvur við sandiyour estimate as to the amount of sand has been too stingy3just under, not quite, a little less than;í neyvan tímain a little less than an hour4(um fisk, of fish) crammed in a small area;fiskurin stendur neyvurall the fish are crammed in a small area5(sigl.)scant (wind);neyv siglingsailing by the wind, sailing close-hauled;neyvur vindurscant wind;sigla neyvthug the wind6press sby;nú ert tú so neyvur við megyou are pressing me
-ni	(hjáorðseftirskoyti vanl.í tlm.;adverbial suffixusu.in common speech)illanisíilla;niðaneftirnisíniðaneftir,norðaneftirnisínorðaneftir,oftanisíofta;toluliganisítoluliga
niða	1dark(ness);blá niðapitch darkness2the period every month the moon is invisible;í hvørjari niðuevery month3(fl.m.)hard times
niðagrísur	(fólktr.)[ghost of an illegitimate, unbaptised child//of an illegitimate, murdered child; a shapeless creature which haunts its parents until it has got a Christian name]
niðamyrkur	pitch darkness
niðan	1[sumhj] from the bottom up(wards)(t.d.walk uphill) (móts.oman);hann fór niðanhe went up(t.d.to houses having a more elevated situation);húsini standa oman og niðanthe houses stand at right angles to the slope(el.the gable ends of the house face the slope);sólin skein bæði oman og niðanthe sun beat down2(saman viðfs)niðan at:teir gingu niðan at húsumthey walked up towards the house;niðan av:bilurin fór niðan av vegnumthe car went off the road;niðan á:niðan á bakkanup the steep slope;niðan á oynnaup the steep bank of the coastline to the village;niðan eftirup the road, up the hill, go upstream, go up the river; niðaneftir vegnumup the road;niðan frá 1from the bottom up(wards);niðan frá strondiniup from the beach;(kvæð.) Ásmundur gekk frá strondum niðanÁsmundur walked up from the beach2further up;hjallurin stóð niðan frá húsunumthehjallurwas situated further up the hill (compared with the house);niðan fyrifurther down, below, beneath;hjallurin stendur niðan fyri húsinithehjallurstands below the house;niðan í:niðan í brekkuna//fjøllini o.tíl.up the slope//up the mountainsetc; sjógvurin stóð niðan í neystadyrnarthe breakers reached up to the doorway of the boathouse;niðan ígjøgnum:niðan ígjøgnum Nólsoyarfjørðnorth through the Nólsoyarfjørður;niðan umfarther/further up; niðanum bøgarðarnarfarther up than the village fence (of the outfield);niðan viðwalk along/follow sth upwards;teir gingu niðan við ánnithey followed the stream upwards3[sumfs] niðanbrekkunaup the slope;fara niðan trappurnarup the stairs4[sumfs] below; niðanbeltibelow the belt;fyri niðanbelow;fyri niðan knæbelow the knee
niðanav	(um bil, of car) go off the road,bilurin fór niðanavthe car went off the road
niðaná	right up at the top
niðanbergs	(bjarg.)from the sea up to the bird cliff
niðaneftir	síniðan1;vit gingu spakuliga niðaneftirwe walked slowly uphill;teir fara frá bryggju í Havn og sigla niðaneftirthey leave Tórshavn and sail north through Nólsoyarfjørður
niðanfok	[waterfall which is been blown upwards by gusts of wind]
niðanfrá	up from(espthe landing place);teir bóru fiskin niðanfráthey carried the fish up from (the boat);hann gekk eitt sindur niðanfráhe walked a bit further up (the slope)
niðanfyri	further down, below, beneath;høg fjøll omanfyri og smalt sund niðanfyrihigh mountains above and a narrow sound below
niðangrísur	(fólktr.)síniðagrísur
niðanífrá	síniðrifrá
niðankloyvdur	long-legged
niðanrent	(the direction) going up is accessible;har er niðanrent hjá seyðithe way up is accessible to sheep
niðantil	below, at the bottom, at the foot (of)(t.d.at the foot of the wall); (á blaðsíðu) at the foot of the page, at the bottom; (um fólk) in the lower part of the body;hon var farin at kólna upp niðantilshe had begun to be cold from the feet upwards;niðantil umdown below, in the bottom region;kjólin hevði bordar niðantil umthe edge/the border of the dress was fitted with ribbons
niðanundir	up to the foot of an elevation
niðanúr	out and up from a place, out and up of a crowd, in an upward direction
niðanvert	íosb. niðanvert við (e-t)in a slightly lower position (than sby else);niðanvert við Høvdana little beloworbeneath the Høvdin (a point of land)
niðari	1lower, the lower of two;niðara gøtathe lower road;niðari munnurlower part of the mouth2[hjmiðst] further down (than sby//sth else);teir gingu niðari enn vitthey walked farther down(t.d.the slope) than we did3(jarðfr.)lying deeper, lower-lying(t.d.stratum)
niðarlaga	(ratherorfairly) far down, low down
niðarliga	(stb.)síniðarlaga
niðast	at the bottom, lowest, furthest down;niðast í sjóvarmálanumdown at the uttermost part of the beach
niðastur	lowest, bottom, nethermost;tey niðastu húsinithe nethermost houses;tann niðasti maðurinthe nethermost man (positioned on a slope; in connection with driving sheep in the sheepfold)
niðra	mock, scoff (at), jeer (at), sneer at, ridicule; (ógvisligari) deride, pour scorn on;niðrandi orðscornful/scathing/derisive words
niðran	scorn, derision, sarcasm; (vanvirðing) disdain
niðri	(stb.)ni:r­] hj down, below;her niðri downhere;niðri á sandinum downon the sand;niðri á helluni downon the rocky beach;niðri fyri landioff the beach,skipið legði seg niðri fyri landi theship laid to off the shore;niðri í fjøruni downon the foreshore;leita bæði uppi og niðrilook (for sth) everywhere;niðri undir húsunumbelow the house;niðri undir bakkanum stóðu neystini theboathouses stood beneath the bank;prísirnir vóru niðri ígjøgnumthe prices had reached rock bottom;niðri el. niðri í Danmørk//Bretlandidown in Denmark//Britain;hann býr niðrihe lives in Denmark;spæla niðri playsinging games in the dance season
niðrifrá	1from below and up(wards)2from Denmark,(sj.)from Britain
niðrifyri	(stb.) vera niðrifyribe fishing just off the coast;ein bátur liggur niðrifyria boat is fishing//lying just off the coast
niðrinorðri	(sj.)in Hell
niðriundir	1below, down below, downstairs (as seen from upstairs);(sigl.)below decks;trongt var niðriundirit was crammed downstairs2ill in bed;eg lá tríggjar dagar niðriundirI lay ill in bed for three days
niðuflogmús	(dý.) serotine (Eptesicus serotinus)
niður	1[hj] go from a higher to a lower place;rópaniður til einshout to sby who stands in a lower place;prátið kom niður á hannthe conversation turned to him;far/ríð/renn tú niðurog norðurgo to Hell;tað var upp og niðurit was with varying success;standa upp og niðurstand upright;(tlm.)stand straight-up-and-down;altstendur væl upp og niðurfinanicially the firm is well-established;fáa ein heitan munn niður áhjartaðget a hot cup of tea;fáa e-t flótt niður fyrihjartað,síhjarta;fara niður úr dansinumleave the ring of dancers;fara niður1go to Denmark,(sj.)go to Scotland//England,teir sigldu niður við fiskithey sailed to British ports with fish2go to bed;faraniður á landgo from (the island of) Dímun to (the island of) Sandoy2drift with the current;báturin rekur niður á miðiðthe boat is drifting towards the (small) fishing ground3[fs]mdown through, down;fara omanstíggjarnarwalk down the rock face4[hjsaman viðs] síbeyka;binda;detta;falla;fáa;ganga;geva;hyggja;koyra;leggja;seta;skera;stoyta;takaniður (sísagnorð)
niðurarvaður	hereditary, inherited; (um sjúkueis.)congenital;verða niðurarvaður (lívfr.)be transmitted(t.d.his large nose was transmitted from generation to generation);niðurarvaður eginleiki (lívfr.)hereditary characteristic/feature;sjúkan er niðurarvaður (eis.)the disease runs in the family
niðurat	down towards sth;kloykja seg niðuratsit down on a chair;set teg niðurat eina løtusit down for a moment (to rest)
niðurav	down from sth(t.d.a roof);fara niðuravgo down from sth
niðurá	down on (sth);náttin seig niðuráthe night fell, the night closed/set in
niðurboygdur	1bent, curved;niðurboygdur hattaskuggisnap brim2sad, sorrowful, grieved, weighed down(t.d.by cares, grief); afflicted; bowed down(t.d.with grief); careladen; (djúpt) broken-hearted
niðurbreiður	broad across the hips
niðurbrot	[turning down of boot top]
niðurbundin	1(um seyð, of sheep) with limbs boundel.tied;niðurbundin seyðursheep with limbs tied2(fl.m.)subdued, enslaved, in chains;niðurbundið kætisubdued merriment;lívið var niðurbundið og óliviligtlife was enslavement and beyond endurance;niðurbundin álopshugur (sálfr.)inhibited aggression
niðurdeilur	(tlm.)skirt
niðurdottin	fallen down, (um hús) broken-down collapsed, fallen in, tumbled down, caved in; (næstan niðurdottin) tumble-down; niðurdottingarðura tumble-down fence;niðurdotnir varðartumble-down cairns;húsini eru niðurdottinthe houses are broken-down
niðureftir	1(from the top) downwards2from generation to generation
niðurfall	decline, decay;norskt mál kom til niðurfalsthe Norwegian language had sunk in neglect
niðurfallin	1(um bakstur, of baking) be spoilt, be a failure;køkan er niðurfallinthe cake is spoilt,(eis.)the cake is a failure2flóðin var næstan heilt niðurfallinit was almost low tide3(um seyð, of sheep) which have come down from the mountains and are unwilling to be driven up again to the mountain pastures
niðurfalssjúkur	(lækn.)epileptic
niðurfalssótt	(lækn.)epilepsy, the falling sickness(epilepsia)
niðurfarin	1descended; having left for Denmark2gone to bed3(átr.) Kristus er niðurfarin tilheljar Christ has descended into Hell
niðurfaringartíð	time to go to bed, time for bed, bedtime
niðurfelling	(stfr.)dropping
niðurferð	1going down the bird cliff;hann datt oman á niðurferðhe tumbled down when going down the bird cliff2(during the Second World War) sailing with fish down to British ports3journey to Denmark4(átr.)descent (til into)(t.d.Christ's descent into Hell)
niðurflaknaður	broken down, caved in;ein niðurflaknaður bátura broken down boat;tekjan er niðurflaknaðthe roof has caved in
niðurflyting	relegation;(ítr.) niðurflyting í aðru deildrelegation to the Second Division
niðurfrá	1down;hæla ein bøkk niðurfrákick loose a grass sod using one's heels;hurðin var dottin niðurfrá(hekk og lavaði) the door had become unhinged;skræða niðurfrátear down2behind;detta niðurfrálag/fall behind, fall back;hann orkaði ikki at fylgjast við hinum og datt so við og við niðurfráhe was not able to walk (together) with the others and he fell gradually behind
niðurfyri	1down (in front of) a cliff, a quayetc; har var snipst niðurfyriit was vertically down, it was a sheer drop;fara/detta niðurfyrifall in the water;vera væl niðurfyri viðt.d.klæðumhave many clothes in reserve2[ísamb.viðs]eiga niðurfyri; eta niðurfyri; gera niðurfyri; hava niðurfyri; sova(sísagnorðinisumleitorð)
niðurfyrifiti	(likam.)fat deposit
niðurfyrikomin	1exhausted, weak; in a wretched state; in financial difficulties;troyttur og niðurfyrikominexhausted and weak2(sj.)prosperous, well-to-do
niðurføring	(tøkn., sjónv.)downlead
niðurføringartráður	(tøkn.)lead-down wire
niðurgangsskúli	(fólktr.)the Black School (where the black Arts are being taught)
niðurgangur	síniðurgongd
niðurgera	(tlm.)síeyðmýkja(ein),klikkja(niður á ein),høgga(niður á ein),spilla(ein út),lasta(ein),lítilsvirða(ein),pilka(ein niður),finnast(at einum)
niðurgingin	gone down;svullurin er niðurginginthe swelling has gone down
niðurgonga	going down, descent
niðurgongd	1narrow and precipitous descentel.way down2decline(t.d.decline in exports; the decline in his prestige; decline in civilization; decline in the birth rate); decrease(t.d.decrease in income; decrease in our military strength); fall, drop(t.d.fall/drop in wages; fall/drop in the birth rate); downturn; downswing(t.d.downturn in business activity; downturn in the deathrate); reduction(t.d.an immense reduction of expenditure, of the rate of interest); niðurgongdí prísunumfall in prices;niðurgongdin í fiskiskapinumthe downswing in fishing activity3(sigl.) niðurgond niðurundircabin companionway
niðurgonguskúli	(sj.)síniðurgangsskúli
niðurgongutíð	1(bú.)slump, depression; (linari) recession2(andlig) period of declineel.of decadence
niðurgrógvin	overgrown; niðurgrógvinhúsatoftirovergrown ruins;(lækn.) niðurgrógvin nagluran ingrowing nail
niðurhálari	(sigl.)downhaul
niðurhoknaður	having sunk on one's knees
niðuri	(stb.)síniðri
niðurí	pack, (one's trunko.tíl.)pack up;fá mær eitt sindur av klæðum niðurípack some of my clothes
niðurífelling	the knitting at the ankle
niðurímillum	(fall) between;maðurin datt niðurímillum, tá ið hann skuldi leypa á landthe man fell down between the ship and the quay when he intended to jump ashore
niðurkomin	having arrived in Denmarkel.Britain; (um urð, of scree) recently slid down;nýliga niðurkomin urðrecently slid down scree
niðurkriðaður	(um kjóla) low-necked, décolleté(e)
niðurlag	1refrain, chorus;tvíflættað niðurlagwith double refrainorchorus2(fl.m.)burden(t.d.the constant burden of his speeches was "prepare for war");niðurlagið hjá honum varthe constant refrain/burden was that;hatta er tað vanliga niðurlagið hjá honumhe is always harping about it/that3end; conclusion;tað var uppistøða og niðurlagthat was the Alpha and Omega(t.d.of his philosophy)
niðurlagdur	abolished(t.d.a department, an office, a university); shut down, closed (down)(t.d.a factory, a railway line, a school); discontinued(t.d.a business, a tramline);(tlm.)chopped(t.d.a bus service); disused(t.d.quarry);skúlin er niðurlagdurthe school has been shut down;handilin varð niðurlagdurthe shop was closed;hetta verður ikki niðurlagt(this will be discussed ceaselessly)
niðurlagstur	(um seyð, of sheep) neglected
niðurlegsaður	trampled down, flattened
niðurlendingur	Dutchman
niðurlendskur	Dutch, Netherlands(t.d.the Netherlands Ambassador);niðurlendskt Guiana (sø.)Dutch Guiana (nú Surinam)
Niðurlond	the Netherlands, the Low Countries;sameindur Niðurlondinithe United Provinces (of the Netherlands)
niðurlop	1(lækn.)hernia, rupture; sítarmalop2(ítr.)landing
niðurlopin	slid down, fallen (down); hurled down(t.d.by an avalance);røkurnar vóru fyltar við niðurlopnum grótithe rock ledges were full of stones which had fallen down
niðurløga	1end, termination; conclusion; íosb.sumuppstøða og niðurløgaAlpha and Omega;tað var uppstøða og niðurløga hjá pápanum: tú verður aldri konfirmeraðurhis father's constant refrain/burden was that he would never be confirmed2humiliation, defeat;eina niðurløgu skuldi hann uppliva henda túrinhe would experience one humiliation on this fishing expedition;luttøkan í krígnum var landinum til stóra niðurløguthe participation in the war was a great humiliation;hetta kom honum til niðurløguthis was the end of him
niðurmark	lower boundary;(stfr.)greatest lower bound
niðurmolnaður	crumbled, fallen to dust, mouldered away
niðurmókandi	soul-destroying, overwhelmingly dull, mind-numbing;tú ert niðurmókandiyou are tiresome
niðurmøddur	(um seyð, of sheep) exhausted, tired out
niðurnívdur	weighed down(t.d.by cares, grief); afflicted; bowed down(t.d.with grief); careladen; (djúpt) broken-hearted;móðirin var niðurnívd av sorgthe mother was broken-hearted with grief
niðurpartur	1the bottomorlower/lowest part of sth2lower part of the body
niðurrapaður	fallen down, (um hús) broken-down collapsed, fallen in, tumbled down, caved in; (næstan niðurrapaður) tumble-down; niðurrapaðurgarðura tumble-down fence;niðurrapaðir varðartumble-down cairns;húsini eru niðurrapaðthe houses are broken down
niðurrassaður	trampled down, flattened;akurin var niðurrassaður hvønn morgunthe field of corn was badly trampled down every morning
niðurrendur	(plfr.)decurrent;niðurrent blaðdecurrent leaf
niðurrenning	drain(pipe); downpipe, downspout; (búrennuniðurrenning) gully
niðurringaður	low-necked, décolleté(e);kjóli sum er niðurringaður aftanfyria dress cut low at the back,(eis.)a low-back gown
niðurrivin	demolished, pulled down(t.d.a house, a bridge); torn down; brought down(t.d.the barricades)
niðurríving	demolition;(viðv.húsumeis.)house breaking;(am.)wrecking;húsini eru seld til niðurrívingar (eis.)sold for scrap
niðurruddur	slid down, fallen (down) (rocks)
niðursald	prepared for milking;kýrnar vóru hvørki niðursaldar ella mjólkaðarthe cows were neither prepared for milking nor milked; sísíla(niður),selja(niður)
niðurseting	1potato planting2colonization
niðursetingartíð	time for potato planting
niðursetstur	seated;heimkomin og væl niðursetsturhaving returned home and being well seated
niðursettur	1planted;eplini eru niðursettthe potatoes have been planted;niðursett trøplanted trees2(lækkaður í prísi) reduced;niðursett arbeiðstíð(av tí at ov lítið er at gerao.tíl.)short-time working;við niðursettari arbeiðstíðon short time;niðursettar bøkurbooks offered at reduced prices; (tíðum) remainders;niðursett hoyrnreduced hearing;til niðursettar prísirat reduced prices, at concessionary prices; (ógvisligari) at cut-rate, bargain-basement prices(GG: niðursettur prísur(tíðum) (price) concession)
niðursetubygd	settlement (village of modern origin [19thcentury] which has no outfield belonging to it)
niðursetufólk	settler, colonist, person who lives in a settlement
niðursetuland	colony
niðursetumaður	1man who lives in a settlement2colonist, settler3tenant, lessee of land; niðursetumaðurTróndar í Gøtua tenant of (the chieftain) Tróndur í Gøtu
niðursetur	settlement, habitation;niðursetrið vaks og blómaðithe settlement grew and prospered;niðursetur í Grønlandisettlement in Greenland
niðurseyring	seepage; (gjøgnum sílu/filtur percolation
niðursigin	1[having been lowered down the bird cliff]2shrunk, dwindled; niðursiginsáta ahay stack which has shrunk
niðursjóða	1preserve2(í glas) bottle;(am.)can3(í blikk) tin, can;(am.bara) can
niðursjóðing	1preserving2bottling;(am.)canning3tinning, canning;(am.bara) canning
niðursjóðingarglas	preserving jarel.bottle; jar (for preserves); Mason jar
niðursjóðingarháttur	method of preservation
niðursjóðingarmiðal	preservative
niðursjóðingarvirki	cannery
niðurskorin	(um kjóla) low-necked, décolleté(e)
niðurskriving	(bú.)writing down; (um gjaldoyra) devaluation;niðurskriving av áljóðandi virði á ognumwriting down (of) the book value of the assets;niðurskriving av bókførdum ognumwriting down (of) the book value
niðurskurður	reduction, cut, cutback(t.d.a cutback in imports); cutoff, rollback;(tlm.,ógvisligari) chop, slush;niðurskurður í fíggjarætlaninibudget reduction, reduction of (the) expenditure, retrenchment;lønarniðurskurðurcut in wages, wage cut;niðurskurður í starvsfólkatalinumreduction of the staff, staff cutback(s), layoff;niðurskurður í prísumprice cut;gjaldoyraniðurskurðurdevaluation;strika/ógilda niðurskurðrestore a cut
niðursleppingarøki	(úr flogfari) dropping groundel.zone
niðurslættaður	levelled with the ground;heyggjurin er niðurslættaðurthe hill has been levelled with the ground
niðursmokkaður	1sunk up to one's knees(t.d.in mud)2slid down, fallen down;øll skorin er niðursmokkaðtheskorhas slid into the sea3shamefaced;tit eru mær so niðursmokkaðir á at lítayou look so shamefaced;hann fór nipin og niðursmokkaður á dyrhe went off with a flea in his ear
niðursmokkan	falling down;lívmóðurniðursmokkan (lækn.)prolapse of the uterus
niðursoðin	(um mat) preserved;niðursodnar matvørurtinned foodstuffs;niðursoðin rogntinned roe
niðursparing	(handilsm.)dissaving
niðurstanding	(sigl.)the way in which a handline hangs down;góð//ring niðurstandingthe handline(s) is//are hanging well//badly
niðurstandur	(sigl.)síniðurstanding
niðurstrika	(skúlam.)down stroke;í handskrivaða bókstavinum " i" er ein uppstrika og ein niðurstrikain hand-written form the letter `i' has one upstroke and one downstroke
niðurstrok	(tónl.)down-bow
niðurstøða	close, end, conclusion;vit mega koma fram til eina niðurstøðuwe must reach a conclusion;niðurstøðan í kanningini er, at ...the inquiry has arrived at the conclusion that...; eis.niðurløga
niðursveiggj	downward swing
niðursøktur	sunk(en), lowered
niðurteljing	countdown
niðurtikin	demolished, pulled down;húsini vórðu niðurtikinthe house(s) was//were demolished
niðurtil	in the lower part of the body;hann var vátur niðurtilhe was wet about the lower part of the body;hann var klantrasligur niðurtilhe was slight in the lower part of the body
niðurtjúkkur	stout in the lower part of the body;ein niðurtjúkkur maðura man who is stout in the lower part of the body
niðurtraðkaður	trampled down, (um skógv) down-at-heel;skógvurin var niðurtraðkaðurdown-at-heel shoes
niðurtúrur	(tlm.)depression
niðurtøka	(teld.)download
niðurum	down below sth;fáa sær ein bita niðurumeat, swallow;hann fór eitt sindur niðurumhe went down below (the edge of the bird cliff)
niðurundir	1below, down2(á skipi) below deck;teir fóru niðurundir at skaffathey went below deck to eat3to bed;hann fór niðurundirhe went to bed4before food;fá tær breyð niðurundirhave a sandwich before (dinner);hann beyð honum eitt glas av brennivíni niðurundirhe offered him a glas of schnapps before dinner5koma niðurundircome down in the world, get into a bad state (financiallyel.psychologically);koma fíggjarliga niðurundirget into a bad state financially
niðurundirkast	(sj.)síniðurundirskot
niðurundirkomin	1in a wretched state;fíggjarliga niðurundirkominin a bad state financially;niðurundirkomin fátækafólkpoor people;niðurundirkomin í svøvniworn out with watching2neglected; niðurundirkomingarðura neglected farm
niðurundirskot	(sj.)síundirkast
niðurúr	down (from sth);hatta hongur niðurúrit is hanging down from (sth);fara niðurúrleave the ring of dancers;hann lá so illa niðurúrthe wind came from the mountains (creating whirlwinds)
niðurvallaður	overgrown;ein niðurvallað urðan overgrown scree
niðurvið	síleggja(niðurvið)
niðurvisin	with thin legs
niðuryvir	down over (sth);mjørkin hongur niðuryvirthe fog is lowering over (the village);sirmaniðuryvir sprinkle sth on/over sth;mjólkgreytur við siropi niðuryvirporridge with syrop on it;dimmið setur niðuryvirthe night is setting in
Niger	(sern., landafr.)Niger
nigerbúgvi	Nigerien
nigeri	Nigerien
Nigeria	(sern., landafr.)Nigeria
nigeriabúgvi	Nigerian
nigeriskur	Nigerian
nigerskur	Nigerien
nigil	(dýr.)leatherjacket(Tipula larva)
nihilisma	nihilism
nihilistiskur	nihilist(ic)
nihilistur	nihilist
Nikaragua	(sern., landafr.)Nicaragua
nikaraguari el.nikaraguabúgvi	Nicaraguan
nikaraguiskur	Nicaraguan
nikk1	nod(t.d.at a nod from the president they left);hann gjørdi eitt nikkhe nodded
nikk2	íosb. hvørt nikk og pikkevery scrap
nikka	nod
nikkla	nickel(-plate)
nikkul	(evnafr.)nickel (frumevni; tekn: Ni)
nikkulbland	nickel alloy
nikkulovurviðkvæmi	(lækn.)nickel allergy
nikkur	1high and mighty, conceited, self-important, proud, pleased with oneself;hann var so nikkur, hann vildi ikki hava drekkahe declined with lofty distain my offer of a cup of tea2petty-minded, small-minded, mean-spirited, mean, ungenerous; stingy3easily offendedel.insulted
niklasarmessa	
nikotin	nicotine;sitrónsúrt nikotinnicotine citrate
nikotineitraður	nicotine-poisoned
nikotineitran	nicotine poisoning
