e	(eis. tónl.)E, e
elri	(plfr.)alder© Wikimedia Commons
elrikin	electrically powered
elska	1love; adore;elska inniligalove dearly;elska meiralove better;elska afturímótireturn(el.reciprocateel.requite) sby's love;elska næsta tínlove one's neighbour;tann ið elskar son sín revsar hann tíðligaspare the rod and spoil the child2elskastmake love (to)
elskaður	loved(t.d.feel loved); (attributivt) dear(t.d.my dear wife); ((forml.), skemt) beloved(t.d.our beloved Queen, he is always pottering about in his beloved garden);mín elskaðamy love, my darling, my dear,(forml.)my beloved;hansara elskaðahis sweetheart;(forml.)his beloved;elskaður og saknaður (svarar til)(sacred) to the memory of X, the beloved wife (, husbando.s.fr.)of Z;elskaður avloved by;(forml.)beloved of
elskari	lover(t.d.he is her lover); (ungur hjá eldri kvinnu) toy boy; (leikpartur) juvenile lead, jeune premier;fáa sær elskaratake a lover;eydnuleysur elskarian unhappy lover
elskarinna	mistress;(tlm.)lover; (leikpartur) leading lady
elskhugi	síelskhugur
elskhugseldur	fire of love(GG:the love-light in his eyes)
elskhugsglóð	passion, flame
elskhugur	love, passion; dalliance
elskin	síalskin
elskuligur	lovable;eitt elskuligt menniskjaa lovable person;ein elskulig gomul konaa dear old lady;(gl.) okkum elskuligurour trusty and well-beloved servant;hj-liga
elskulingur	darling; pet(t.d.she was the pet of her grandparents)
elskur	síalskur
elstaráð	Elders
elsti	(um samkomuleiðara) Elder
elstur1	1oldest; (eldri av tveimum) older; (í húski) eldest; (eldri av tveimum) elder(t.d.my eldest (, elder) brother (, sister, son, daughter)); (um starvsaldur) senior(t.d.officer); (fjarast í tíð) earliest(t.d.the earliest civilizations; the earliest inhabitants of the country; our earliest literature);tey elstuthe oldest; (í samkomu) the Elders2[íyms.samb.]tann elsti starvsfelaginthe senior partner;tey elstu kristnuthe early(el.earliest) Christians;elstu sagnirnarthe earliest legends;elstu tíðirnarthe earliest times;frá elstu tíðum (eis.)from time immemorial
elstur2	avgamal
elta1	(sj.)dough, (kjøtdeiggj) forcemeat, stuffing; (fiskadeiggj) cream of fish
elta2	1knead,elta deiggjknead dough; (um leireis.)pug, puddle; (massera) knead2pursue(t.d.a criminal); follow; follow in sby's footsteps3persecute
eltari	1kneading machine; (til deiggj) dough-mixing machine, (dough) mixer;(tøkn.)breaking rollersflt.2stalker
eltibátur	chase boat
eltibløðra	sticker
eltin	dog sby's footsteps, follow hard on sby's heels
elting	1pursuit2stalking3kneading(t.d.of dough); (um leireis.)pugging; (í samband við massasju) kneading
eltingarørska	paranoia, persecution mania
eltingur	(sj.)(sheepdog's) puppy
eltistartur	(ítr.) pursuit racing
elubiti	síellubiti
elur	síala
elv	síelvur
elva	1cause(t.d.confusion, damage, a fire, losses); occasion(t.d.the damage occasioned while the vessel was lying up); be the cause of(t.d. sby'sdeath);tað elvdi okkum nógvan óttait caused(el.gave) us a good deal of anxiety;tað elvir nógv eftir særit has serious consequences;(kvæð.) elva gleðiamuse, entertain, divert; (nútíðarbrúk) cause (, bring) pleasure (, joy, delight);elva e-m pínugive sby pain; grieve(el.distress) sby;hann elvdi henni sorghe caused her (much) distress;tað elvdi henni sorgit distressed her; it grieved her; it caused her distress; (ógvisligari) it plunged her into grief;elva trupulleikarcause(el.give rise to) difficulties, cause trouble;elva sár uppre-open a woundsár upp2prompt, actuate, impel;elva e-m tilurge someone to something; incite(t.d.incite the soldiers to mutiny; she incited him to heroic deeds; incite him to commit a crime; the riot was incited by paid agitators); instigate(t.d.instigate him to commit a crime; instigate revolt); urge ´on(t.d.the combatants); stimulate(t.d.he was stimulated by opposition)
elvar-	síálva-
elviligur	(alisfr.)dynamic
elving	1request, invitation, call2reason, ground, cause(t.d.malnutrition is the cause of many diseases), occasion(t.d.there is no occasion to laugh)3instinct;gera eitt av elvingumdo sth by instinct
elvingur	(lækn.) pathogen
elvi -s	1strength, power2(alisfr., jarðfr.)dynamics
elvur	(kvæð.)river
EM	(ítr.)European championship
emalja	enamel
emaljera	enamel
emaljeraður	enamelled
emaljumáling	enamel
embalasja	síinnpakkng
embæti	office, (Government) post;(tlm.)hat;leyst embætia vacancy, a vacant post;embætis vegnaex officio, in an official capacity, on official business, by(el.in) virtue of one's office, officially;í embætis ørindumex officio, in one's official capacity; by(el.in) virtue of one's office, officially; in the course of (one's) duty;fara í embætifill a post(el.vacancy);fara úr embætiresign (one's post);hava eitt embætihold (an) office, hold a (Government) post;røkja embætiperform the duties of one's office;seta hann í embætiappoint him to the post;verða settur í embætibe appointed to a post;verða settur úr embætibe dismissed from one's post;søkja embætiapply for a post;taka við embætitake up an appointment(el.a post), enter upon one's duties;vanrøkja sítt embætineglect one's duties
embætisaldur	seniority; length of service,tað gongur eftir embætisaldriit goes by seniority;framflyting eftir embætisaldripromotion by(el.according to) seniority;hann hevur hægri embætisaldur enn eghe is my senior (in the service);hava hægsta embætisaldurinbe sby's senior, be the most senior
embætisavgerð	decision
embætisábyrgd	responsibility of an official; accountability
embætisbrotsverk	misconduct (in office); (muturo.s.fr.)corruption (in office);dómarar kunnu bara vera sagdir úr starvi fyri embætisbrotsverkjudges can only be removed for misconduct (in office)
embætisbróðir	colleague
embætisbúni	official dress, uniform; (kappi) official robes
embætisbústaður	official residence, residence provided
embætisbyrði	official duty(el.duties)
embætisdjóralækni	official veterinarian
embætiseiður	oath of office;lata ein svørja embætiseiðswear sby in
embætisferð	official journey, journey on Government service
embætisfólk	(Government) official, Government officer, public servant, office-holder, office-bearer; (í fyrisitingargrein.) civil servant
embætisførsla	discharge of one's office(el.of one's official duties);óreiðilig embætisførslamisconduct (in office)
embætisførur	capable of holding an office
embætisgarður	(sø.)[farm (, estate) which goes with an office]
embætisgerð	official act; action performed in an official capacity
embætishús	official residence, residence provided
embætisídni	official zeal
embætisjørð	(hjá prestum) glebe land
embætisketa	chain of office(t.d.the Mayor wearing his chain of office)
embætisleggald	snob, one who makes up to an official
embætisleið	career in the public service;fara embætisleiðinaenter on a career in the public service; enter the Civil Service
embætisligur	official
embætisloyndarmál	official secret;lógin um embætisloyndarmálthe Official Secrets Act
embætislyfti	oath of office
embætislækni	(lækn.)medical officer of health(stMOH); health inspector, community physician
embætismaður	(Government) official, Government officer, public servant, office-holder, office-bearer; (í ríkisfyristiningo.tíl.)civil servant; (hjá frímúrarum) officer;háan móti embætismanni í arbeiðiinsult to an official (while) on duty(el.in the course of his duty);høgur embætismaðurhigh official;kommunalur embætismaðurmunicipal(el.council) officer;lágur embætismaðurminor official
embætismannastig	á embætismannastigi at the official level
embætismannavald	bureaucracy, bureaucratic officialdom
embætismisbrot	misconduct (in office);(t.d.mutur) corruption (in office);fremja embætismisbrotbe guilty of misconduct (in office)
embætismisbrúk	abuse of office, misconduct (in office); malversation
embætisprógv	(fróðsk.)final university examination;taka embætisprógv (uml. =)graduate
embætissigli	seal of office
embætisskeið	term(el.period) of office; tenure;í sínum embætisskeiðiduring his term of office, while in office; (um forsetaeis.)administration; term of office
embætisskrá	official register, official record
embætisskriv	official letter
embætisskrivstova	office
embætisskylda	official duty;sum embætisskyldain one's official capacity, officially(t.d.he informed me officially that); ex officio; on official business(t.d.I am here on official business);misrøkja sínar embætisskyldurneglect one's official duties
embætisstavur	staff of office, mace
embætisstigi	official hierarchy;koma upp á hægsta stig í embætisstiganumrise to the top of the service;(tlm.)get to the top of the tree(el.the ladder)
embætisstættin	the officials; the official class, officialdom; (umsitingin) the Civil Service
embætistekin	insignia of office; badge of office
embætistíð	term(el.period) of office; tenure;í síni embætistíðduring his term of office, while in office
embætisvald	official authority
embætisverk	landsfyrisiting
embætisyvirtøka	assumption of office; taking up one's official duties
embætisøki	1(viðv.plássinum) district of an official2(viðv.starvinum) (official) sphere; jurisdiction; sphere of competence;tað er uttan fyri mítt embætisøkiit is not within my province(el.under my jurisdiction)
embætisørindi	on official business, for official reasons
emeritus	emeritus, retired;ein gamal prestur emeritusan elderly retired clergyman;prestur emeritus N. N.the Rev. X. Y.(t.d.the Rev. John Smith);professari emeritusemeritus professor
emigrantur	síútiseti
emigrasjón	síburturflyting
emigrera	síflyta burtur
emirur	emir, amir, ameer
emming	(veðurfr.)weather change, change of weather; change in the weather
emulgera	símylkja(st)
emulsjón	símylking
enda1	1finish(t.d. one'seducation, a letter, one's work), finish off(t.d.a job, a piece of work); finish up(t.d.finish up a job; let us finish up the evening at a theatre); conclude(t.d.a speech), close, bring to a conclusion(el.a closeel.an end)(t.d.the negotiations have been brought to an end), end(t.d.this battle ended the war), terminate, wind up(t.d.Chamberlain wound up the debate), wrap up; finalize(t.d.preparations)2tað endaðist við tað, atit ended with
enda2	(um lyfti) fulfill,eg skal enda tær eiti míttI shall fulfill my vow to you
endaboya	(sjóm.)end-buoy
endabrestur	1end(t.d.of the war); close(t.d.a fitting close to a career like his); conclusion(t.d.of the letter, the war); termination(t.d.of the search); ending(t.d.a tragic ending)2last achievement (, exploit, feat)
endadagur	last day
endafara	investigate(el.studyel.examineel.scrutinize) sth thoroughly(el.closelyel.carefully); go carefully into sth; make a close study of sth
endafesti	(sk.)í osb: fáið tykkum endafesti! take a seat!
endaflati	terminal surface;endaflati á sylindarathe base of a cylinder
endahátíðarhald	(t.d.tá ið olympiuleikir enda) concluding ceremony
endahjáljóð	final consonant
endaknappur	1(plfr.)terminal bud2(teld.)end key
endaknútur	1end-knot2end, finish, termination,hetta verður endaknúturin á honumthis will be his last feat; this will finish him
endakýting	(ítr.)spurt
endalangur	síendilangur
endaleikur	1(ítr.) síendaspæl22(fl.m.)end, finish, termination
endaleysa	endlessly, interminably, ceaselessly;(stfr.)infinitely;í osb: endaleysa langtextremely far;náttin var so endaleysa longthe night was endlessly long
endaleysur	1unfinished; which ends abruptly (, unexpectedly)2unending(t.d.complaints); endless(t.d.debates, difficulties; it gave us endless trouble; an endless lecture; it gave us endless trouble),tað er púrasta endaleystit goes on for ever; it is perfectly endless;endaleysar kærurendless complaints;endaleyst pappírendless paper, paper in reels;endaleysir spurningarendless questions; perpetual, interminable(t.d.interminable quarrels; an interminable journey; interminable speeches); eternal(t.d.their eternal bickerings); everlasting(t.d.quarrels); ceaseless; interminable(t.d.interminable speeches), infinite(t.d.distance, number, power, time; space is infinite; God's infinite mercy; take infinite pains);tann endaleysa rúmdininfinite space; (veikari) limitless(t.d.desert); measureless(t.d.distance); boundless(t.d.the boundless desert (, ocean));endaleysur fagnaðurloud and prolonged applause;endaleysur rómurboundless enthusiasm
endaligur	1finite(t.d.the universe is finite); limited2final(t.d.the final result); eventual(t.d.result); ultimate, definitive, definite, decisive(t.d.victory); conclusive; non-negotiable(t.d.offer);endaliga avgerðinthe final decision;taka endaliga avgerð umcome to a final decision about, reach a final conclusion about;endaligt málultimate destination;eitt endaligt neia definitive refusal;(stfr.) endaligt raðfinite series;endaliga úrslitiðthe ultimate(el.final) result3finalized(t.d.plans, arrangements);(handilsm.) endaligar roknskaparuppgerðirfinalized financial statements
endaljóð	(málfr.)final sound, auslaut; (støða) final position;sum endaljóðterminally, in a final position, finally;,,e" sum endaljóðfinal "e"
endaloysi	infinity, endlessness, boundlessness
endalykt	1end2death, hour of death
endaløn	(bú.)terminal salary (, pay)
endamark	(bíbl.)boundary, frontier,frá endamarki jarðarfrom the outmost boundary of the earth
endamál	1aim, end, object, purpose(eis. løgfr.),objective, target2(sj., gl.;um sakarmál) final outcome3brúkiligurtiløll endamál (eis.)all-purpose, general-purpose(t.d.a general-purpose car);til almenn endamálfor public purposes;hava til endamálsaim to;felagið hevur til endamáls atthe object of the society is to; the society exists for the purpose of -ing;samsvarasínum endamálianswer its purpose; serve the occasion;taðtænirongum endamálithere's no point in it, it serves no useful purpose;endamáliðviðthe purpose of(t.d.his visit);hvat er títt endamál við at gera hetta?what is your purpose in doing this?;við tí endamáli atwith the purpose(el.objectel.intention) of -ing;við hesum endamáli fyri eygawith this end in view;við tí heilt ávísa endamáli atwith the express purpose of -ing;hann gjørdi tað bara við tí endamáli at skaða okkumhe did it with the express purpose of harming us;lutur við einum ávísum endamáli (eis. tlm.)a horse for a course;síendamál
endamálsgrein	objects clause; (svarar í lóg, sáttmálao.tíl.til) preamble
endamálsorðing	mission statement;(námsfr.)statement of aims
endamið	aim, end, object, purpose, objective, target
endamorena	(jarðfr.) terminal moraine
endanekkur	síendabrestur
endanýtari	(teld.)end-user
endapunkt	terminal(el.extreme) point, terminus(flttermini)
endareisa	stand up on end
endarím	(bókm.)end rhyme
endaskil	final result, final outcome
endaspæl	(ítr.)end game
endastavilsi	final syllable
endastólpi	(til brúgv) abutment
endastund	hour of death
endastykki	end piece
endastøð	terminus(flttermini), terminal station
endatal	øll nummar við endatalinum 5 all numbers ending in 5
endatarmur	síbaktarmur
endaúrslit	final result;(lækn.)end point
endaveggur	end wall
endaveitsla	end-of-term celebration
endavenda	1turn upside down(t.d.turn the whole house upside down);endavenda eini tunnuupend a barrel2(rannsaka) ransack(t.d.one's pockets, the drawers); (kanna gjølliga) trench; make searching enquiries into;endavenda eitt evnigo(el.delve) deeply into a subject3endavenda e-m togi (sigl.)shift a rope end on end;endavenda ein kveyla (sigl.)capsize a coil of rope
endaviðmerking	endnote
endaørindi	closing stanza, final stanza
endi	1end, termination,endin á søgunithe end of the story;(fl.m.)the upshot, the end of it all;hvat verður endin?where is it (all) going to end?;endin var at hann fórthe upshot of it all was that he went away;fáa enda á tíhave done with it; get it over with;hetta fær ongan endathere is no end to it; it goes on for ever;gera enda áput an end to, make an end of, put paid to;nú mugu vit fáa ein enda á hetta arbeiðiðwe must get this work finished;tað er eingin endi á hasum arbeiðnumthat work is never done(t.d.a woman's work is never done); it is an endless job, there is no end to that work;tað er eingin endi á hansara frekleikahis impudence knows no bounds, there is no limit to his impudence2(ytsti) end, extremity,heimsins endi(staður) the ends of the earth; (tíð) the end of the world3(ovasti) top; (niðasti) bottom(t.d.at the bottom of the table); (aftasti) end;endin á e-mthe back of sth(t.d.the back of the car hit a lamp post); the rear end of sth; the back part of sth;(fl.m.) fáa fatur í skeivum endaget hold of the wrong end of the stick;fáa brádligan endicome to an abrupt end;(fl.m.) standa á øðrum endabe topsy-turvy, be at sixes and sevens;allur býurin stóð á øðrum endanum (eis.)the town was in a whirl of excitement; the town was buzzing with excitement;seta húsið á annan endanturn the house upside-down;aftasti4(afturpartur) posterior, behind;(tlm.)bottom; backside; (grovari) bum, arse;(am.)ass5(tog) rope; piece, bit, scrap,ein endi av seglgarnia piece of string;(fl.m.) leysir endarloose ends(t.d.we need to tie up the loose ends);(fl.m.) fáa fatur í tí rætta endanumset about it (in) the right way, get a good grasp of it;(fl.m.) spinna ein endispin a yarn6close, conclusion, finish,á endato the end, at an end;at el. í endanum el. til endansfinally, at last, at the end, in the end;(eis.) til endansin the last resort, ultimately, in the end;(tlm.)at the end of the day;gera enda á (e-m)put an end to;komin at endafinished, at an end, over;mánaðin at enda(for) the rest of the month;nú er endi í hendinow there is not much left;nú sæst fyri endannow the end is in sight;endin var, atthe end was;hetta verður endin á mærthis will be the end of me
endilangur	fara endilangur measure one's length on the ground, fall down, fall flat on one's face
endiliga	1at length, finally, in conclusion, ultimately;tá ið hann endiliga ger okkum ein beinawhen for once in a while he does us a good turn; when, by some extraordinary chance, he does us a good turn2(við ávísum lætta) at last,,,her eri eg" ­ ,,so, endiliga!""here I am" ­ "at last!";tá ið eg endiliga fekk tikið meg samanwhen at last(el.eventually) I succeeded in pulling myself together3(avgerandi) finally, definitively,endiliga ikki!on no account!, not at all!;keyp hann endiliga ikkido not buy it on any account;keyp hann endiligado buy it; buy it by all means;tú mást endiliga síggja dómkirkjunadon't miss the cathedral on any account;tú mást endiliga koma í góðari tíðbe sure to come early;verði eg endiliga noyddur at gera taðif I must (do it);skal tað endiliga vera, so kann eg gera taðI can do it if it is absolutely necessary(el.if you insist);skalt tú endiliga hitta hanaif you must meet her;eftirsum tú endiliga viltsince you insist; well, if you must, you must;skalt tú endiliga vita taðif you ´must know4(undir øllum umstøðum: verður umskrivað við) do(t.d.do come!);ja, ger tað endiliga!yes, do!, yes, do, please!, yes, by all means!;ger tað endiliga ikki!for goodness' sake, don't do that!, don't do that whatever you do!;tað mást tú endiliga ikki gloymadon't forget that, whatever you do; be sure not to forget;og eg mátti endiliga ikki misskilja hanaand would I, please, not misunderstand her5(= fyri mær fegin) by all means
ending	(málfr.)suffix
endleysur	síendaleysur
endloysi	síendaloysi
endoskop	endoscope
endoskopi	endoscopy
endossement	síábeking
endossentur	síábekjari
endurbót	improvement, reform, reformation
endurbrot	(løgfr.)endurtikið lógarbrot
endurburðarmaður	Renaissance person
endurburðartíð	Renaissance
endurbúgva	(um óarbeiðsfør) rehabilitate
endurbúgving	rehabilitation
endurbúgvingardepil	local rehabilitation agency
endurbúgvingarráðgevi1	disablement rehabilitation officer
endurbúgvingarráðgevi2	disablement rehabilitation officer
endurbyrjan	(teld.)restart
endurbøta	improve; repair, restore
endurbøting	repair, restoration
endurdoypa	rebaptize
endurdoypari	anabaptist
endurdópur	(átr.)rebaptism
endurfeingi	waste as resource
endurferma	transship
endurferming	transshipment
endurfígging	(handilsm.) refunding, refinancing
endurfíggja	refinance
endurføddur	reborn; born-again(t.d.a born-again Christian)
endurføða	1(átr.) endurføðastbe born again2regenerate
endurføðing	(átr.)rebirth; reincarnation
endurgáva	rendering, reproduction, picture, representation; (útgáva) version; (útvarp) reproduction; (tlf., tlgr.) translation; (á grammofon) recording;(viðv.ljóðgóðsku) reproduction;fotografisk endurgávaphotographic reproduction;tilburðurin gjørdist í hansara útgávuin his version the episode became;sein endurgáva(á filmi) slow-motion; replay;í orðarættari endurgávuverbatim(t.d.a verbatim report of the debate; repeat sth verbatim)
endurgera	recreate(t.d.the great figures of the past); create anew, restore(t.d.restore confidence)
endurgerð	1recreation, restoration2(teld.)recovery
endurgeva	1(siga frá) render(t.d.no words can render his despair); reproduce(t.d.reproduce one of Chaucer's stories in modern language); depict(t.d.the painter has depicted a scene from "Hamlet"); represent(t.d.the general idea of the poem); express(t.d.no words can express my surprise); (um málningt.d.í bók) reproduce(t.d.the paintings reproduced in the book); (ljóð á upptøku, lit á mynd) reproduce2(umseta) render(t.d.it is difficult to render this phrase in Faroee); translate
endurgeving	síendurgáva
endurgjald	1compensation, damages; indemnity; indemnification(t.d.for strike or lockout);(viðv.ognartøku) compensation;(t.d.í Versaillesfriðinum) reparations;sum endurgjaldas(el.by way of) compensation;sum endurgjald fyrito replace; in substitution for; in compensation for;endurgjald fyri avlamnicompensation for disablement;endurgjald fyri miss og kredittspilludamages for loss and injury to credit;endurgjald fyri brunaskaðafire indemnity;endurgjald fyri ógrundaða uppsøgnredundancy payment;endurgjald fyri tort og sviðadamages for pain and suffering2[ísamb.viðs]vera dømdur at rinda stórt endurgjaldbe awarded heavy damages;fáa endurgjaldrecover damages, get compensation; indemnity;fáa endurgjald fyri miss (eis.)recoup oneself for one's losses, recoup;fáa gott endurgjald fyribe amply compensated for;finna endurgjald fyrifind compensation for, be compensated for;krevja endurgjaldclaim damages (, compensation);krevja £500 í endurgjaldidemand £500 (in) damages (, compensation);rinda endurgjaldpay damages; pay compensation(t.d.to victims of criminal offences);fáa tildømt endurgjaldrecover damages;veita endurgjald fyri eittcompensate sby for sth, indemnify sby for the loss of sth;veita e-m endurgjald fyri missindemnify sby for a loss, make good sby's loss;veita fult endurgjaldpay compensation in full
endurgjalda	compensate, recoup(t.d. (løgfr.)recoup damages), make up for, make good, indemnify(t.d.the policy indemnifies against losses by fire; indemnify him for the damage); repay, refund, reimburse(t.d.reimburse him the cost; reimburse him for his loss);endurgjalda e-m eittcompensate sby for the loss of sth, indemnify sby for sth;fáa eitt endurgoldiðget compensation for sth; (= fáa nýtt í staðin) get sth replaced;fáa eitt fult endurgoldiðget full compensation for sth;endurgjalda missinmake good the loss;endurgjalda honum missin av bátinumindemnify(el.compensate) him for the loss of the boat
endurgjaldsábyrgd	liability for damages;hava endurgjaldsábyrgdbe held liable for damages;undir endurgjaldsábyrgdunder a liability to pay damages
endurgjaldskrav	claim for damages; compensation claim; claim;vísa endurgjaldskravi frá særreject the claim for damages;endurgjaldskrav fyri skaddan farmclaim for damages to cargo;reisa endurgjaldskrav móticlaim damages from, make a claim for damages against
endurgjaldsmál	action for damages;reisa endurgjaldsmál móti e-mbring an action for damages against sby,sue sby for damages
endurgjaldsrættur	(løgfr.)tort law; torts
endurgjaldsskylda	liability to pay damages
endurgjaldsskyldugur	liable in damages;endurgjaldsskyldugur mótvegis e-mliable to sby,liable to pay damages(el.compensation) to sby
endurgjaldsspurningur	question of damages;(løgfr.)claim;endurgjaldsspurningurin(tann týski) the Reparations question
endurgreiðsla	síendurgjald
endurholding	(átr.)reincarnation
endurhugsa	rethink
endurhugsan	rethink
endurkasta	reflect, throw back(t.d.light)
endurkeyp	repurchase; eis.afturkeyp
endurkeypa	repurchase
endurkoppseting	revaccination
endurkrystalla	(jarðfr.) recrystallize
endurkvæmur	(teld.)recursive
endurleiga1	sublease, sublet
endurleiga2	sub-letting
endurlesa	reread
endurlesing	rereading
endurliva	1relive, live over again(t.d.live over again the days of one's youth)2óáv(liva av nýggjum) live again
endurljóð	echo; resonance
endurljóða	resound, resonate, echo, ring, reverberate (with)
endurljóma	síendurljóða
endurljómur	síendurljóð
endurloysa	(bíbl.)redeem
endurloysari	(bíbl.)Redeemer
endurloysing	(bíbl.)Redemption
endurloysn	síendurloysing
endurmenna	rehabilitate
endurmenning	1restoration, recreation2rehabilitation
endurmeting	re-estimate; reappraisal, reassessment, re-evaluation; revaluation
endurminning	1memory, recollection, remembrance; reminiscence2endurminningarmemoirs
endurminningar	memoirs
endurmynd	image(t.d.he was the image of his father); impression(t.d.the translation gives only a vague impression of the original)
endurnýgging	síendurnýggjan
endurnýggja	1(býta um við eitthvørt nýtt) renew(t.d.the trees renew their foliage every year; renew the air in the room; renew one's wardrobe); replace(t.d.the tyres of the car have to be replaced every three years)2(umvæla) renew(t.d.the paint of a house); renovate(t.d.the house has been completely renovated); recondition(t.d.the central heating system); remodel(t.d.a house, a flat); refurbish(t.d.old furniture)3(taka uppaftur) renew(t.d.an acquaintance, one's complaints, one's demands, one's efforts, a friendship);endurnýggja haldrenew one's subscription;endurnýggja leigusáttmálarenew a lease;endurnýggja lógrenew an Act;endurnýggja álitiðrenew(el.re-establish) confidence;endurnýggja sáttmálarenew(el.prolongel.re-endorse) a treaty;(trygg.) endurnýggja eina tryggingrenew a policy; resume; (endurtaka) repeat(t.d. one'sapplication, one's offer); (kann ofta verða endgivið við: afresh, anew(t.d.apply anew, apply afresh)4(leingja um gildið) renew(t.d.an agreement, a contract); prolong5(leggja aftrat) renew, replenish(t.d. one'sstock of cigars),endurnýggja sínar goymslurreplenish one's stores(el.supplies, stock)6(endurskapa) renew(t.d.his enthusiasm); revive(t.d.his enthusiasm, his interest); give a new lease of life7(um fólk)endurnýggja segget out of one's rut; modernize
endurnýggjan	renewal, replacement; renovation, reconditioning, remodelling, refurbishing
endurnýggjari	innovator, regenerator, renewer
endurnýta	reuse, use again;endurnýta lutir (eis.)put things to some other use
endurnýtari	reuser
endurnýtsla	recycling; síeis.nýnýtsla
endurnýtslu-	reusable, recyclable; recycled
endurnýtslufløska	recyclable(el.recycledel.returnable) bottle
endurnýtslupakking	recycled packaging (material), recycled packing
endurnýtslupappír	recycled paper
endurnýtslustøð	recycling centre
endurnýtsluvirki	recycling plant
endurprent	reprint
endurprenta	reprint
endurprenting	reprint
endurpróvtøka	reexamination;(eis.)he was allowed to resit his exam
endurreisa	1rebuild(t.d.a town); reconstruct, build up again, re-erect2(fl.m.)reconstruct, build up again(t.d.an organization)
endurreisari	rebuilder
endurreising	1rebuilding, reconstruction, re-erection2reconstruction(t.d.economic reconstruction after the war); (virksissanering)fíggjarlig endurreisingthe reorganization of finances; (ESeis.)financial surgery
endurreisingararbeiði	work of reconstruction
endurreisn	1(nýtt blómuskeið) renaissance, renascence, revival2(sø.)Renaissance (at(el.during) the Renaissance);endurreisnin (eis.)the Revival of Learning, the Humanist Revival3(endurreisnarsnið) Renaissance (style)(GG:í bretskari byggilist merkir Renaissance serliga 17. aldar klassisima)4fáa endurreisnhave(el.experience) a renaissance, return to favour; have a comeback
endurrinda	1pay back, return(t.d.pay him back the 50p; return the 50p to him)2refund(t.d.refund him the 50p he paid for the ticket); reimburse(t.d.reimburse him the cost)3(lán) repay4(toll) refund, repay
endurrindan	1return;(trygg.) endurrindan av tryggingargjaldireturn of premium2refund(ment), reimbursement;endurrindan av tollirefund(el.repayment) of duty3repayment4(í samb. v. endurútflutning) drawback
endurrit	copy, transcript; (gjøgnumslag) (carbon) copy
endurrita	(teld.)rewrite
endurræningur	(sj., stb.)í osb: verða við endurræningin get the worst portion, become the injured party
endursamlaga	(samf.) reintegrate
endursamlaging	(samfr.) reintergration
endursenda	1(útv., sjv.)repeat2(postm.)return;endursend vørareturned goods, returns
endursending	(útv., sjv.)repeat (broadcast)(t.d.there will be a repeat of the programme on Thursday)
endurseta	(teld)reset
endursiga	repeat(t.d.a remark, an attack); reiterate(t.d.the word over and over again)
endursirkulera	recirculate
endurskapa	recreate(t.d.the great figures of the past); create anew, restore(t.d.restore confidence)
endurskin	(afturvarpað ljós) reflection, reflected light; (veikari mynd) reflection(t.d.his fame is only a pale reflection of his father's)
endurskinsband	reflective tape
endurskipa	recreate(t.d.the great figures of the past); create anew, restore(t.d.restore confidence)
endurskírn	(sj.)rebaptism
endurskoða	1(bók, teksto.tíl.)revise;endurskoðað útgávarevised edition, revision;endurskoðað umseting(av Bíbliuni) the Revised Version; (lúka ósømiligt burturúr) expurgate(t.d.expurgated edition), bowdlerize(t.d.bowdlerized edition)2(løgfr.)revise(t.d.a sentence)3(roknskap) audit, scrutinize, check(t.d.accounts),vit hava endurskoðað roknskapin og funnið samsvar við bøkurnaraudited and found correct4(tøkn.:eftirhyggja) overhaul5(broyta) revise(t.d. one'sopinions, the price list); readjust(t.d.prices, freight rates)
endurskoðan	1revision, revisal; bowdlerization2revision3audit(ing), examining(el.scrutiny) of accounts4overhaul(ing)5revision; readjustment
endursniða	(teld.)reformat
endurspegla	reflect(t.d.the house is reflected in the water; his books reflect the spirit of the age); mirror
endurspegling	reflection
endurstovna	1re-establish2(teld.)restore
endursøgn	(sj.)retelling exercise; comprehension(el.interpretation) exercise; (fríari resumé,uml. =)précis, summary
endurtaka	repeat(t.d.a remark, an attack);endurtaka segrepeat oneself;søgan endurtekur seghistory repeats itself; (koma fyri aftur) happen again, appear again, recur(t.d.this accident can never recur); be repeated(t.d.the same scene was repeated); repeat itself;tað má ikki endurtaka segit must not happen again;(tlm.)don't let it happen again; reiterate(t.d.the word over and over again); (taka afturíaftur) recapitulate;(t.d.roynd á starvstovu) reproduce
endurtrygging	(trygg.)reinsurance; (um lívstrygging) life reinsurance;endurtrygging fyri felags rokningreinsurance for common account.
endurtryggja	(trygg.)reinsure
endurtøka	repetition, reiteration, repeat(t.d.I would not want a repeat of that);(fl.m.)repetition(t.d.your next book must not be a repetition of this one); (afturvendan) recurrence(t.d.the recurrence of an epidemic)
endurtøkulykkja	(teld.)repeat loop
endurtøkurevsing	(løgfr.)punishment for a second or subsequent offence
endurtøkutekn	(tónl.)repeat
endur(út)búgving	rehabilitation
endurútbúgvingarmiðstøð	rehabilitation agency
endurval	re-election;bjóða seg fram til endurvalseek re-election; accept renomination, offer oneself for re-election(t.d.the directors offered themselves for re-election); (í Ongl.eis.)stand again;(am. eis.)run again
endurvarp	(útv., sjv.)repeat (broadcast)
endurvarpa	(útv., sjv.)repeat (broadcast)
endurvinna	1recycle2regain (t.d.one's health)
endurvinning	re-extraction
enduryrking	(bókm.)reproduction, paraphrase, new version
enduryrkja	(bókm.)re-create, reproduce, paraphrase, retell, treat anew, give a new version of
