p	(málfr.)consonant, /pe:/
piparkvørn	pepper mill;(tilt.) muðurin gongur sum ein piparkvørnhe//she talks continuously
piparkøka	ginger cake
piparmoy	sípiparmoyggj
piparmoyggj	spinster, old maid
piparmylla	sípiparkvørn
piparmynt	1(plfr.)peppermint(Mentha piperita)2(góðgæti) peppermint (lozenge)
piparnøt	[small ball-shaped cake baked at Christmas]
piparrót	1(plfr.)horseradish(Armoracia rusticana)2(sum krydd) horseradish
piparrótarsós	horseradish sauce
piparrørsoppur	(plfr.)Peppery Bolete(Chalciporus piperatus)© Jörg Hempel
piparsligur	old-maidish
piparstertur	íosb.sumsita á piparstertibe on tenterhooks,(am. eis.)be on pins and needles;komin á piparstertinbe hard pressed
piparsveinaveitsla	sísteggjaveitsla
piparsveinur	bachelor
pipp	1(um fugl, of bird) cheep(t.d.the cheep of a sparrow in the garden), chirp(t.d.the chirp of a sparrow)2(tlm.) missa pippiðbe deflated
pippa1	1(barnam.)chick, young bird (chickens, ducklingsel.goslings)2(barnam.)louse3(barnam.) pippur (flt)children's toes
pippa2	(umt.d.fuglaunga, of a young bird) cheep(t.d.sparrows cheeping in the garden), chirp(t.d.birds chirping [away] merrily in the trees)
pippan	cheeping, chirping
pippari	pager,(tlm.)beeper
pippur	(barnam.)dicky-bird
pippus	(fugl.)quailslag: Coturnix ypsilophora © Wikimedia Commons
pipra1	tremble, shake, quake, shiver, quaver;hendurnar á honum pipraðuhis hands were shaking;óttafullur og piprandiin fear and trembling;eitt sindur piprandi á málinumin a quavering voice;við piprandi hjartatremblingly;piprast av ræðslushake/tremble with fright
pipra2	pepper, season with pepper
pipraður	peppery
pipran	shake, shaking; tremble, trembling, quiver, quivering, shiver, shivering, quake, quaking;ein pipran fór ígjøgnum kroppinhe//she shivered
piprilsi	sípipran;fáa piprilsi av e-mdread sth;piprilsi kom á hannhe shivered
piprutur	afraid, anxious, uneasy; alarmed;(tlm.)scared
piranja	(dý.) piranha (Pygocentrus)
pirikum	(plfr.)St John's wort(Hypericum); fýrstrent pirikumimperforate St John's wort(H. maculatum); fagurlitt pirikumupright St John's wort(H. pulchrum)
pirikumsætt	(plfr.)St John's wort family(Hypericaceae)
pirk	1scratch(t.d.on the face; in the paint; my injury was nothing but a scratch), abrasion, excoriation, graze, cut2(stb.)not quite sober;hann hevði eitt lítið pirkhe was not quite sober
pirka1	(gl., lækn.)woman vaccinator
pirka2	(gl., lækn.)vaccinate, inoculate
pirka3	poke, prod; potter (about)
pirking	(lækn.)vaccination(t.d.whooping cough vaccination); inoculation(fyriagainst); (tíðum) immunization(t.d.against diphtheria)
pirkja	(sj.) pirkja við eygunumscrew up one's eyes
pirr	not quite sober;hann hevði eitt lítið pirrhe was not quite sober
pirra	1(lækn.)pimple2símaðkapirra
pirruskotin	pimply
pirrutur	pimply
pirtl	1scratch(t.d.on the face; my injury was nothing but a scratch);hann fekk eitt pirtlhe scratched his face2not quite sober
piruetta	(ballett) piruet
pirur	pier
pis	(stb.)good catch, coup, scoop;hetta er eitt gott pisthis is a good catch
pisa1	1(dýr.)young of certain sea birds(eg.of razorbills, puffins, black guillemots and guillemots); tame, young sea bird,hava pisukeep a tame young sea bird; síungi2(18/19-year olds) student who has just passed high school exam (studentaskúli or HF)3hip flask
Pisa2	(landafr.) Pisa;skeiva tornið í Pisathe Leaning Tower of Pisa
pisasligur	(stb.)sípisuligur
piska	(stb., óvand.)síkunta
piss	piss, urine
pissa	piss, make water,(tlm., skemt.)pump ship; pissaundir segwet the bed, be a bed-wetter;pissa í buks(urnar)pee in one's trousers, wet one's pants, wet oneself;hann hevur ikki pissað/migið í sjógvhe has never been on a fishing trip
pissari	(skemt.)sípissilingur
pisshús	urinal, public convenience, pissoir,Sdike,(am.)comfort station
pissiboppa	(barnam.)sípissilingur
pissigøltur	1boy who wets his pantsel.trousers2sípissilingur
pissilingur	(barnam.)dick, peter, Willy, Willie
pistasia	(plfr.)pistachio(Pistacia vera)©iStock
pistasiugrønur	pistachio green
pistasiunøt	pistachio nut
pistól	pistol
pistólhúsi	holster
pistólpípa	barrel of a pistol
pistólskefti	(pistol) butt
pistólur	pistol
pisuár	(one's) graduation year
pisubúr	cage for young sea bird
pisukassi	cage for a young sea bird
pisuligur	slight, thin;hon var kløn og pisuligshe was a slightly built girl
pisulundi	(dýr.)year-old puffin
pisumurtur	(fisk.)síternumurtur
pisurøða	graduation speech
pisutur	(seyðal.)[grey with black marks] (of sheep)
pisuveitsla	graduation ball
pitabreyð	pitael.pitta bread
pitil	(sj., stb.)tongue (tension adjuster) on a saw
pitla	síputla1
pitsa	pizza
pittur	(fríðk.)penis
pizza	pizza
pí	(reproduction of the cry of a curlew)pí, pí
pík	sípíkur
píka1	(gl.)girl
píka2	stud (tyres);hevur tú píkað hasi dekkini?are those tyres studded?
píka3	(fríðk.)drat it!, ouch!
píkadekk	studded tyre
píkaretinar	drat it!, ouch!
píkarill	drat it!, ouch!
píkarillinar	drat it!, ouch!
píkarstavur	sípíkstavur
píkasjey	gosh!, good grief!;píkasjey, sum tað var kaltgosh, it was cold
píkaskel	(stb.)cockle; sírípuskel
píkaskógvur	spiked shoe, track shoe
píkasóli	spiked sole
píkatráðargirðing	barbed-wire fence;(herm, o.til.)(barbed-)wire entanglement, wire
píkatráðarorkestur	pop groupel.band
píkatráðarrulla	coil of barbed wire
píkatráðarsaksur	wire cutter
píkatráðartónleikur	sírokktónleikur
píkatráður	barbed wire;girða gøtu av við píkatráðiwire the street
píkhúgva	spiked helmet
píkhælur	spike heel, stiletto heel
píkstavur	pikestaff;hann snaraði veðrarnar á píkstavium fastar í ullinahe twisted the veðrar (síveðrur3) of the pikestaff into the wool of the sheep (in order to catch hold of it)
píkur	spike, goad
píl	sípílur2
píla1	(kvæð.)sípílur2
píla2	(sj.)scurry offel.away, hurry offel.away;fuglarnir pílaðu aftur og framthe birds hurried to and fro;kanst tú píla fyri meg?will you perform an errand for me?
pílabark	willow bark
pílabørkur	willow bark
píladánaður	arrow-shaped
píladriv	síørvadriv
pílafloyta	(uml.)wooden whistle
pílaflætting	wickerwork
pílagirðing	willow hedgerow
pílagrímafedrarnir	(sø.)the Pilgrim Fathers
pílagrímsferð	pilgrimage;gera pílagrímsferð til heilaga landiðgo on a pilgrimage to the Holy Land
pílagrímsgonga el.pílagrímsgongd	pilgrimage
pílagrímur	pilgrim
pílaháttaður	arrow-shaped
pílahúsi	quiver
pílakjarr	(plfr.)willow scrub
pílakrossurin	(sø., stjm.)the Arrow Cross
pílakvistur	willow twig, osier
pílalagaður	arrow-shaped
pílamynd	arrow image
pílari	(gl.)pillar, column;(kvæð.) borgir á pílarum standacastles standing on pillars
pílaskapaður	arrow-shaped
pílaskot	bowshot; síbogaskot
pílaspæl	(game of) darts;spæla pílaspælplay a game of darts
pílatræ	1willow (tree)(Salix)2(viðurin) willow wood
pílavaksin	overgrown with willows
pílaviður	willow wood
pílaætt	(plfr.)Salicaceae(Salicaceae)
pílgrímur	sípílagrímur
pílhúgva	(gl.)sípíllhúgva
pílika	errand girl; page girl; girl messenger
pílikur	errand boy; page boy,(am.)page, bellboy, bellhop
píllareising	(húsasm.)peakedel.pitchedel.pointed roof
píllhúgva	knitted cap
pílltak	peakedel.pitchedel.pointed roof
píllur	1point, tip; narrow, pointed peakel.summit;fara av píllinum (tilt.)go bankrupt2streak of dirt;píllurin stóð úr honum (óvand.)he had got the squitters/[the] shits
pílur1	(plfr.)willow (tree)(Salix)
pílur2	arrow;hann fór sum ein pílur avstað(ógvuliga skjótt) he was off/tore along like a shot;(fríðk.) pílar og skotgosh!; good grief
pína1	1pain, torment(s), suffering, anguish;hava pínube in pain;tola pínuendure pain,(eis.)stick it (out), sweat it out2(plfr.)sea lace, mermaid's tresses (Chorda filum); eis.marbendil3(kortsp., stb.) pínurnarnine of hearts and diamonds (in stýrivolt)
pína2	1torture(t.d.torture sby to death; torture prisoners of war);pína dýrtorture animals2pain(t.d.his wound pained him); torment(t.d.tormented by rheumatism); (ógvisligari) torture(t.d.tortured with sciatica); rack(t.d.racked with pain)3tað pínir burtur úr(of washing which has been put out to dry in frosty weather) the clothes are drying gradually as the frost breaks up4pain, cause anguish;tað pínir meg at síggja hann so nívdanit pains me to see him so depressed
pína3	swear, curse;hann pínaði upp á, at tað var satthe swore by all that is holy that it was true
pína4	(fríðk.)damned;á pína!oh, hang it!;pína, tað var stuttligtgosh, it was funny
pínadálinar	(stb.)sípínadoyð
pínadont	(fríðk.)sípínadoyð
pínadoyð	by Jove!
pínadoyðs	(óvand.)devilish, infernal;pínadoyðs maðura real devil;(am.)a hell of a guy;pínadoyðs ganguran infernal noise/din/racket
pínari	1torturer2(gl.)miser, skinflint
pínegg	unusually small egg
píning	torture
píningar-	síeis.pínsla-,pínslu-ogpínu-
píningaramboð	instrument of torture
píningarbonkur	rack;leggja á píningarbonkinput on the rack;hava á píningarbonkinum (fl.m.)keep on the rack
píningarhjól	(sø.)wheel; sístegla
píningarreiðskapur	instrument of torture
píningarrist	(sø.)gridiron
píningarrúm	torture chamber
píningartól	instrument of torture
píningsveður	persistent dry and cold wind blowing from the same quarter
píningur	1sth abnormally small;píningur1puny person, weakling, stunted person;hann hevur altíð verið ein píningurhe has always been a weakling2stunted lamb3abnormally small egg4very small liqueur glass;teir høvdu fingið ein píningthey had been offered so little schnapps that they were dissatisfied with it2sípíningsveður;har sprettur ikki strá í hesum píninginumnothing grows in this persistent cold and dry wind
pínsl	(sj.)sípínsla
pínsla	pain, torment(s), suffering, anguish;helvitis pínslurthe torments of the damned,(eis.)eternal punishment/torment;ofta má lív hennara hava verið ein pínslaher life must often have been unbearable/unendurable
pínsla-	síeis.píningar-,pínslu-ogpínu-
pínslaður	(átr.)tormented, tortured
pínslarvátsdeyði	martyrdom
pínslarvátskrúna	martyr's crown
pínslarváttasøga	martyrology
pínslarváttur	(átr.)martyr;doyggja sum pínslarváttur fyri eitt máldie a martyr to a cause, be martyred in a cause;gera til pínslaváttmartyrize
pínsling	sípínsla
pínslu-	síeis.píningar-,pínsla-ogpínu-
pínslusálmur	passion hymn
pínslustaður	sípínustaður
pínslusøga	(bíbl.)tale of woe, account of (one's) sufferings; pínslusøgaJesusarthe Passion
pínu-	síeis.píningar-, pínsla-ogpínslu-
pínudoyvandi	(lækn.)painkilling, analgesic;pínudoyvandi miðalanalgesic; painkiller;pínudoyvandi tablettirpainkilling pills
pínufullur	painful, (ógvisligari) agonizing
pínugátt	pain threshold
pínugingin	(sj.)pained, tormented(t.d.tormented by rheumatism), (ógvisligari) tortured(t.d.tortured with sciatica), racked(t.d.racked with pain);eg eri so pínuginginI am in terrible pain
pínuleysur	painless(t.d.the treatment is quite painless);tá ið ein kann vera pínuleysur á gamalsaldri, skal ein ikki klagaif one is without pain when old, one has no reason to complain
pínuloysi	painlessness, (við doyving) analgesia
pínumikil	painful, (ógvisligari) agonizing
pínusamur	painful, (ógvisligari) agonizing
pínustaður	(bíbl.)place of eternal punishment (hell)
pínustillandi	(lækn.)pain-killing, analgesic;pínustillandi miðalanalgesic; painkiller;pínustillandi tablettirpain-killing pills, painkillers; sípínudoyvandi
pínutablett	(lækn.)pain-killing pill, painkiller
pínuverkir	(lækn.)premonitory pains, Braxton Hicks contractions(labores praesagientes)
pípa1	1pipe(t.d.drain pipe; gas pipe; heating pipe; water pipe), tube(t.d.glass tube; boiler tube; steel tubes for bicyclesel.furniture, welded tube)2(tobacco) pipe;roykja pípusmoke a pipe;festa í pípulight a pipe;fáa sær upp í pípunael.stinga pípunafill a pipe;hann kølir ikki pípunahe's a chain-smoker3(lækn.,lunganpípa) tertiary bronchus,(flt-i)4gun barrel5(tónl.)fife, flute; whistle6pípur(flt)1síhøvd262frill, ruffle, ruche7(plfr.)tube8(stór víntunna og rúmdarmál) pipe
pípa2	squeak, shriek, screetch, squeal; (um skipsfloytu) pipe, whistle; pípaog nístasqueal
pípa3	(í klæði) flute
pípan	squeak(ing), shrieking, screetching, squealing; whistle, whistling
pípari	(tónl.)piper, bagpiper
pípil	(evnafr.)pipette;(lækn.)(eye) dropper
pípla	(evnafr.)pipette
pípubressa	(dýr.)thick-legged hover fly(Syritta pipiens)© Wikimedia Commons
pípuglóð	glow of smoking pipe;tað er ikki pípuglóðthe fire has almost gone out
pípuhattaættin	(plfr.) átusmørsoppurcep, penny bun, porcino or king bolete(Boletus edulis); broytiligur pípuhattur Velvet Bolete (S. variegatus);grovpoknutur pípuhatturJersey cow mushroom(Suillus bovinus);gulbrúnur pípuhatturslippery jack, sticky bun(Suillus luteus);lerkapípuhatturGreville's Bolete, Larch Bolete(Suillus grevillei)
pípuhattur1	top hat, silk hat,(tlm.)topper
pípuhattur2	(plfr.)sípípuhattaættin
pípuheysur	pipe bowl
pípuhill	pipe rack
pípuhólkur	pipe ferrule
pípuhøvd	pipe bowl
pípukragi	ruff
pípulangur	long-barrelled;ein pípulong riflaa long-barrelled rifle
pípuleggur	pipestem, mouthpiece (of a pipe)
pípuleir	pipeclay
pípuleykur	(plfr.)Welsh onion(Allium fistulosum)© Wikimedia Commons
pípulykil	piped key
pípuopari	pipe bowl scraper
pípuorgul	(tónl.)pipe organ
pípureinsari	pipe cleaner(t.d.a bunchel.packet of pipe cleaners)
pípuroyking	pipe smoking
pípuroykur	pipe smoke
pípuskavari	pipe-bowl scraper; (við píkum) hedgehog scraper
pípusmiður	pipemaker
pípustappari	pipe stopper
pípustokkur	pipe case
píputubbak	(smoking) tobacco
pípuurga	(tónl.)pipe organ
pípuútrak	dottle(t.d.he knocked the dottle out of his pipe)
pípuvaksin	(plfr.)salver-shaped
píra1	miser, skinflint; stingy, miserlyel.niggardly person
píra2	be too economicalel.thriftyel.too sparing of sth;har mundi verða pírtI think they must have been very economical;hann pírir ikkihe is unsparing/lavish/unstinting/unstinted;teir høvdu bert mat eftir til tveir dagar, men teir pírdu og spardu, so hann rakk til fimm dagarthey had only food for two days, but they were so economical that it lasted for five days
pírin	mean, stingy, miserly, niggardly, close-fisted, tight-fisted, avaricious;pírin viðstingy with, niggard of
pírni	avarice, stinginess
pírutur	sípírin
písk1	hann hevði eitt pískhe wasn't quite sober; sípirr
písk2	(said when one gives apisa[sípisa2] a scrap of food);písk, písk!
píska1	1(um fugl, of bird) preen;hønan pískar særthe hen is preening itself2irritate, provokeel.tease; pískae-n (við e-m)tease sby with sth3pinch off, nip off, take small bitsel.scraps (of sth); pískaburtur av e-mpinch off a bit of sth4(smástjala) filch, pilfer, pinch;argur at píska
píska2	whip; pískarómawhip cream
píska3	whip, flog; lash, blacksnake; (sum revsing) flog; (við leðurkoyrli) scourge
pískari	whisk, (hjólpískari) (egg) beater
pískirómi	double cream;(am.)heavy cream
pískur1	síkoyril
pískur2	(stb.) ein pískur steinura pointed stone; síspískur
pískutur	teasing; mischievous; mocking; waggish;hann er so pískutur (eis.)he is a tease, a leg-puller
-pískutur	sísvøvn-
pístr	sípístran
pístra	1blow, puff; pístravið eldinblow on the fire2rest, take a rest;seta seg niður at pístra eitt sindursit down to rest for a little while
pístran	persistent, cold wind
pístrari	a small a pair of bellows
pístur	pístran,ein pístur av eystri
pjaga	(stb.)sípjága
pjak	1faint, rustling noise;sum hann liggur, hoyrir hann pjakwhile lying there he hears a faint rustling noise2pottering about (without much progress); slowness3slow, tardyel.dilatory person, someone who potters a lot but gets little accomplished;hann er eitt pjakhe always potters about
pjaka	1potterel.fiddle about without noticeable results;(t.d.um mýs, of mice) make a faint noise; rustle(t.d.sth rustled among the shrubs);títt við hondum pjakaroften fiddles about with his hands;pjakast við e-tfiddle about with sth;nakrar mýs pjakaðust í einum skýmligum krókisome mice were making a faint noise in a dark corner2be slow, tardyel.dilatory in what one does; pjakasærtake one's time doing sth;tað var einki at pjaka sær viðthere was no reason to draw out the job
pjakan	faint rustling noise;har var nógv pjakan at hoyra í hjallinumfaint rustling noise could be heard in thehjallur
pjakutur	slow (with regard to carrying out of sth), dilatory
pjakuvætti	(stb.)sípjak3
pjága	take one's time doing sth;statt ikki og pjága!be quick about it!
pják	(sj.)sípjak
pjákutur	(sj.)sípjakutur
pjátra	talk in a friendlyel.motherly way, talk sootinglyel.talk in a soothing tone of voice; make sby comfortable; make sby feel at home; chat, talk ceaselessly;hann pjátrar fyri seyðinumhe talked soothingly(el.in a soothing tone of voice) to the sheep
pjátran	talking in a reassuring, soothing, steadyingel.calming way; ceaseless talking, chattering;tað var ein stákan og pjátranfrom the room busy preparation (for the party) and chattering could be heard
pjátur	sípjátran
pjonkur	1swelling, lump, growth2round hillock3bundle;hann hevði ein pjonk undir hondinihe had a bundle under his arm
pjøg	(sj.)person who never finishes anything
pjøga	(sj.)potter about and not be ready to start out
pjøgga	take care of, patch and mend; pjøggaumpatch and mend sth
pjøggutur	(stb.)sífjøggutur
pjøka	1make sby comfortable, make sby feel at home; take care of, look after, be careful about sth/sby; pjøkaumlook after;pjøka og hugla um grøðinatake good care of the vegetation;menninir royndu at pjøka um konufólkinithe men tried to make life easier for the women;hon gekk og pjøkaðist um alt hettashe took care of it all2gather, collectel.pick up rags;hon pjøkaði saman í eskju og fór síðan av húsumshe gathered her things in boxes and then she left the house
pjøki	bundle;hann bar ein pjøka í hondinihe had a bundle in his hand;hann sankar pjøkarnar saman og so til gonguhe collects his things and then he leaves
pjøkin	who takes particular care of (sth), careful, painstaking; finicky, meticulous, fastidious;hann var sera pjøkin um henda báthe looked extremely well after his boat, he took particular care of his boat;hann var bæði røkin og pjøkinhe was extremely painstaking in his work
pjøkni	care; sípjøkin
pjøkur	sípjøki
pjøltrutur	(gl., tlm.)ragged, tattered
pjøltur	(gl., tlm.)rag, tatter, shred
pjøpp	1nonsense, rubbish2ceaseless talker, windbag; silly fool, nitwit3sillyel.giddy fool of a girl
pjøskutur	(of clothes) disarraged, dishevelled
pjøssa	1patch; mend;tað nyttar so lítið at pjøssa upp á tað, ið gamalt erit is no use patching (mending) old things2put on too many unnecessary clothes to protect oneself against the cold//the rain;hon var so pjøssað tilshe had put on a lot of clothes
pjøssutur	heavily dressed and dishevelled
plaga	(Suð. plagi nút. í øllum pers. eint. ogbe accustomed to, be in the habit of + -ing, make a practice of (doing sth);eg plagi ikki at gera taðI don't usually do it, I am not in the habit of doing it;plaga at gera eittbe accustomed to do sth, be in the habit of doing sth, usually do sth;eg plagdi at gera taðI used to do it(GG:used toer føst vending einanst nýtt ítát.) fólk plaga at gera taðit is usual/customary to do it, it is usually done, it is usual/customary;pápi plagdi at sigafather used to say, father would say;eg fór upp, seinni enn eg plagiI got up later than usual
plagg	piece of clothing, materialel.cloth
plaggdúkur	material, woven fabrics, textiles
plaggmáling	fabric paint; eis.klæðismáling
plaiada	(gr. gudal.)Pleiad;plaiadurnarthe Pleiad(e)s
plakat	poster, bill (t.d.he put up bills to advertise the concert);(ofta sum skelti í mótmælisgongu t.d.) placard; (stór blaðplakat) broadside; (leys) handbill; (lítil, í handli) show card; (leikhúsplakat) playbill; (merkiseðil) label; (kunngering) public notice
plandreya	(handv.)face
plandreyibonkur	(handv.)faceel.facing lathe
plandreying	(handv.)facing
plan el.planur	síætlan
planet	(stjfr.)planet;lítil planet (smáplanet) minor planet;stór planetmajor planet; síeis.gongustjørna
planethjól	(tøkn.)planet wheel
planetrás	(stjfr.)orbit of a planet
planetrørsla	(stjfr.)movementel.motion of a planet, planetary movement
planki	plank;ganga plankan (út) (sø., sigl.)walk the plank
plankton	(lívfr.)plankton
planta1	(plfr.)plant
planta2	plant
planting	planting; (at planta nýggjan skógeis.)afforestation; (viðarlund) plantation
plantuátin	1herbivorous;plantuátin dýrherbivore2(serst.um skaðilig skordýro.tíl.)plantivorous
plantufiti	vegetable fat
plantufrøði	(plfr.)botany; (lærubók) botany (book), textbook of botany
plantufrøðiligur	(plfr.)botanical
plantufrøðingur	(plfr.)botanist
plantuføði	vegetable foodel.nourishment
plantulæra	1(plfr.)botany; síplantufrøði2(lærubók) botany (book), textbook of botany
plantumargarin	vegetable margarine
plantuolja	vegetable oil
planturíki	planturíkiðthe vegetable kingdom
planturot	(lívfr.) phytosaprophagous
plantusamfelag	plant community
plantusavn	herbarium
plantusavnari	plant gatherer
plantusviv	(plfr.)phytoplankton
plantutrevja	vegetable fibre
plantuvølur	(plfr.) plant gall
plantuæti	(plfr.)phytoplankton
plasma	plasma;blóðhavin plasmaplatelet-containing plasma
plast	(evnafr.)plastic;spannir eru nú vanliga úr plastibuckets are now usually made out of plastic;beriposar úr plasticarrier bags made of plastic
plasta	cover with plastic; plastabøkurplastic-covered books
plastbátur	plastic boat
plastfløska	(at kroysta) squeeze bottle
plasthylki	plastic roll (of coins)
plasting	plastic covering(t.d.bøkur)
plastídnaður	plastics industry
plastkort	plastic card
plastmáling	(uml.)emulsion paint
plastposi	1plastic disposal bag2plastic carrier bag
plastspann	plastic bucket
plastvirki	plastics factory
platin	(evnafr.)platinum
platonskur	Platonic(t.d.Platonic love//philosopher//school)
platting	(sigl.)sennit (flættað togverk, lagt umtdbummdyrk at verja hann móti sliti)
plattur1	pallet;vit vigaðu og pakkaðu saltfisk og løgdu á plattarwe weighed and packed salt(ed) fish and put it on pallets
plattur2	íosb.sumtann platta logndead calm
plága1	nuisance(t.d.what a nuisance that child is!); affliction(t.d.rheumatism is a terrible affliction); harassment; (landaplága) pest(t.d.rabbits are a regular pest here); curse, affliction, plague;(bíbl.)plague(t.d.the plagues of Egypt); síeis.landaplága
plága2	(pína) torment, (ógvisligari) torture; (sum er til ónáðir) pester(t.d.pester sby with questions); plague(t.d.they are plagued by mice; he plagued her with silly questions; he was plagued by gout//jealousy); bother(t.d.the pain from his operation bothered him); harass(t.d.harassed by financial worries; a harassed housewife); badger(t.d.visitors are badgered by the passport authorities); worry, trouble, vex; (áognariel.kravsfólk,eis.)dun; (sum ger seg inn á e-n) bully, hector;ikki plága meg meira!get off my back!
plágari	1(møðisligur, strævin) nuisance, pest(t.d.those children are regular little pests); tiresome person2(sum altíð er eftir e-m) tormentor3(sum plágar við umbønum) importunate person, nuisance
plágumikil	annoying, bothersome, troublesome, tiresome, irksome(t.d.an irksome task);mínir dagar eru plágumiklir og møðsamirmy days are annoying and tiring
plán	plániðthe ecliptic
plánur	plan;eftir pláninum skuldi arbeiðið verið liðugt núaccording to plan/programme/schedule the works should have been finished by now; síætlan
pláss	1(staður) place, spot; (desimalbrot) place; (í raðfylgju, skipano.tíl.)place, position(t.d.the place of the subject in the sentence; the place of the grammar schools in the new system)2(pláss í tignarstøðu) place, station(t.d.the place of Keats among the poets; do our duties in the station we are called to); (í raðfylgju, í tignarskipan) slot(t.d.take the No. 2 slot as Vice-President)3(rúm) room, space(t.d.it takes up a great deal of space; there is not enough space between the houses); (í bóko.tíl.)space(t.d.space forbids detailed mention of this); (rásarúm) scope(t.d.have free scope for one's activities)4(sessur hjá áskoðara, ferðafólkio.tíl.)seat(t.d.this seat is taken); seating(t.d.a bus seating forty passengers);enn eru nøkur pláss eftirthere are still some seats which have not been taken5(lønað starv) post, job(t.d.he has got a good job as a caretaker);(tlm.)billet, berth (um húshjálpo.tíl.)place, situation;hon fekk pláss á skrivstovushe got a situation at an office6(spælipláss) playground7(til ávíst virksemi) yard(t.d.railway yard, timber yard, stone-mason's yard)8(bygd, býur) town, city;(sigl.)place(t.d.to Singapore and places East);hann var ættaður haðan av plássinumhe was from that village9(húsarúm og havnapláss) accommodation(t.d.accommodation for 50 guests)10(sigl.:legupláss) berth, bunk11(í kappleikum) place12(skúli, fróðskaparsetur) place(t.d.places available for students)13(pláss hjá ferðafólki umborð á skipi, flogfari, tokio.tíl.)first, secondel.third class
plásstrot	lack of roomel.space; (í blaði) pressure of space;fyri plásstroti (eis.)owing to overcrowding
plássur	(stb.)sípláss5
plástur	1(lækn.)plaster;leggja plástur á sárapply a plaster to the wound, put a plaster on the wound2plaster
pláta	1plate2(gramophone) record, disc3number plate;(am.)license plate;løgreglan tók pláturnar av bilinumthe police removed the car's license plates (lítil) (tinman's) snips(flt)
plátuarbeiði	(handv.)sheet metal and steel plate work
plátuboyggingarmaskina	(handv.)sheetel.plate bending machine
plátudiskur	(sum plátan verður løgd á) turntable, platter
plátuflábond	(sigl.)platefloor (í botni á skipi)
plátugull	sheet gold, gold foil, gold leaf
plátuhamari	sheet hammer
plátuhúsi	(til plátu) (record-)sleeve, (til album) cover
plátujarn	sheet iron
plátujarnsdragari	plate girder
plátuklæðing	plating
plátukopar	sheet copper
plátukykna	(likam.)squamous cell
plátumerki	(recording) label
plátumessing	sheet brass, latten
pláturond	(jarðfr.)plate boundary
plátusaksur	plate shears, guillotine shears(flt),(lítil) (tinman's) snips(flt)
plátusavn	(tónl.)record library
plátusilvur	sheet silver
plátusink	sheet zinc
plátuskiftari	record changer
plátuskróv	needle scratch, surface noise
plátusmiður	plate smith
plátuspælari	record player
plátustál	sheet steel
plátustempul	(bókb.)panel stamp
plátutjúkt	thickness of plate
plátutubbak	plug (tobacco)
plátuumfar	(sigl.)strake;plátuumfar um bjølgin á skipibilge strake
plátuupptøka	disk recording
plátuvendari	disc jockey,(st.)DJ
plátuvond	(jarðfr.)plate tectonics
plebaii el.plebaiari	(sø.)plebeian; (ómentað fólk) plebeian, bounder, prole;Soik, oick
plebaiiskur	(sø.)plebeian; (ómentaður) plebeian, common, low, low-bred, illbred, vulgar
plebeii	síplebaii
pleira	(stb.)sípleyra
pleirur	(stb.)sípleyrur
plenuklippari	sísláimaskina
plettur	síblettur
pleyra	tread heavily and clumsilyel.with dirty feet; joggle, waddle;pleyra gjøgnum evjuwalk heavily and clumsily through mud
pleyrur	large, clumsy foot;eg dragi burtur av pleyrunum og fari berbeinaður inn í køkinI pull off my shoes and walk barefoot into the kitchen;hann hevði fingið runu upp á pleyrarnarhis feet had become muddied
pli1	1small, young gull2cry of gulls3polish, good manners(flt),poise;ikki hava plihave no manners
pli2	(reproduction of the cry of a gullo.tíl.) másin sigur pli, pli, plithe gull cries pli, pli
plia	1(of gull) cry (sípli);uttan fyri húsini stóð ein skurapisa og pliaðia young gull was crying outside the house2take care of, look after; pliafyri/uppi yvir e-mtake care of sby;fuglur pliar uppi yvir ungunuma bird which is taking care of its young;hann pliaði fyri hundinumhe talked affectionately/soothingly to the dog, he talked in a soothing tone of voice to the dog;plia fyri smábarni//kálvi o.tíl.talk soothingly//affectionately to a child//a calf(etc)3make eyes at sby;plia upp í eyguni á e-mmake eyes at sby, look kindly on sby in order to get sth out of him//her4(of baby) babble;barnið liggur og pliarthe child is babbling
plikensla	sense of occasion(t.d.he has no sense of occasion)
plikt	duty;hava plikt at gera e-tbe one's duty to do sth; sískylda
plikta	> plikta seg bind/commit oneself, enter into an obligation; pledge oneself;plikta seg (til) atbind oneself to, engage to, undertake to(t.d.I cannot undertake to have the book ready by May 1); commit oneself to(t.d.we committed ourselves to defend Poland)
pliktarbeiði	(gl.)duties(flt)
pliktarmaður	man who performs duties; sípliktarbeiði
pliktigur	pliktigurtil at gera e-t(in duty) bound to do sth, under an obligation to do sth
plinka	(sj., stb.)síplinkur
plinki	síplinkur
plinkur	(very) small fishing ground
plintur	(fiml.)Swedish box;lop um plintjump over a Swedish box
pliosenøld el.pliosentíð	(jarðfr.)Pliocene
PLO	(st.)PalestinianLiberationOrganization(t.e.palestinska frælsisfylkingin)
plotta	plot
plottiútgerð	(sigl.)plotting device
plógbein	(likam.)plougshare bone(vomer)
plógbonkur	(handv.)bench on which boards are (fastened and) grooved and tongued
plógfoyra	1(handv.)groove2(landb.)furrow
plóghjól	plough wheel
plóghøvil	(handv.)plough, plough plane
plógjarn	(landb.)coulter,(am.)colter;brýna plógjørninisharpen the coulters
plógkambur	(handv.)ridge
plógmaður	(landb.)ploughman
plógross	(landb.)plough horse
plógryssa	(handv.)síplógbonkur
