d	(eis. tónl.)D, d
diskaslá	plate rack
diskast	(stb.)potter about
diskil	(teld.)diskette, floppy disc; minidisk, flexible disc
disklastøð	(teld.)disc drive
disklop	(lækn.)slipped (, herniated, ruptured) disc
diskonto	síaðalrenta
diskotek	discotheque;(tlm.)disco; (plátusavn) record library
diskrúmd	(teld.)disk volume
diskskúmari	disc skimmer
diskur	1dish, plate, platter,(orðt.) betri eru smáir fiskar enn tómir diskar(kann sigast:) half a loaf is better than no bread2(kirkj.)paten3counter(t.d.í handli)4(teld.)disc5(lívfr.)disc
diskusprolaps	sídisklop
dism	1dust, fluff2(t.d.av mjøli, salti, teo.tíl.)bit, a little bit, grain3(gl.)drizzle
disma	drizzle,tað dismarit is drizzling
disp	sídism
ditta	venture to(t.d.assert that), make so bold as to(t.d.ask him), presume to, dare to,(tlm.)have the nerve to
dittimundur1	sídittin
dittimundur2	rash
dittin	bold, daring; rash
díki	1puddle2swamp (t.d.the ceaseless deluge had turned the lawn into a swamp),marsh, bog(eis. flm.)(t.d.a bog of legal complications)
díkiblomstur	sídíkimura
díkiblóma	sídíkimura
díkimura	(plfr.)Marsh Cinquefoil(Potentilla palustris)© Wikimedia Commons
díkistyriltunga	(plfr.)Greater Bird's-foot-trefoil(Lotus uliginosus)© Wikimedia Commons
díkistør	(plfr.)Tawny Sedge(Carex hostiana)© Wikimedia Commons
díkja	(gl.)whip, flog, thrash, beat,díkja á hestinwhip the horse;(um arbeiði) díkja áwork very hard; throw oneself into a task;regnið díkti áthe rain was beating down;hann díkti teir undir í arbeiðihe overburdened them with work
díkjutur	boggy, marshy, slushy, muddy
díli	sídigli
dílutur	sídiglutur
dímuningur	person from Dímun
dís	(gudal.)goddess, nymph
djarvligur	1hj-ligaboldly, audaciously2rather bold
djarvmæltur	in bold words
djarvnasaður	impudent
djarvur	courageous, brave, bold; stouthearted;(tlm.)plucky
djassur	(tónl.)jazz
djevladyrkan,djevladýrkan	devil worshipping
djevlarí	(gl., tlm.)devilry
djevlatilbiðari	devil worshipper, satanist
djevlatilbiðing	devil worshipping, satanism
djevul	devil, fiend, demon,djevulinthe Devil, Satan
djevulskur	djevulsligur
djevulsligur	1diabolical, fiendish, devilish2hj-ly(t.d.diabolically clever)
djevulssettur	diabolical; damned, beastly, confounded
djór	1animal;sum eitt elt djórlike a hunted animal;lægri djórlower animal;vera góður við djórkind to animals; (um stór súgdjór) beast; (á garði) livestockflt; animals(t.d.feed the animals)2(niðr.)brute, beast(t.d.he is an absolute beast);órið í menniskjanumthe beast within
djóraaling	animal husbandry (, breeding)
djóraátin	zoophageous, carnivorous; eis.dýraátin
djórafápil	animal fable
djórafiti	animal fat
djórafrøði	(dýr.)zoology; (lærubók) zoology (text)book
djórafrøðiligur	zoological
djórafrøðingur	(dýr.)zoologist
djóragarður	zoological garden(s), zoo
djóraheimur	(á e-m ávísum øki) fauna; animal population; (djóraríki) animal kingdom
djórakringur	(stjfr.)the zodiac, (the signs of the zodiac)
djóralív	animal life(t.d.he writes about animal life); fauna; (ótamd) wildlife
djóralæknaeftirlit	veterinary supervision, veterinary inspection;undir djóralæknaeftirlitisubject to veterinary inspection, inspected by a veterinary surgeon, under veterinary supervision
djóralæknakynstur	the veterinary science
djóralæknaskúli	veterinary school, school of veterinary science
djóralæknastova	veterinary hospital
djóralæknaviðgerð	veterinary treatment
djóralæknavirksemi	veterinary surgeon's practice
djóralæknavísindi	veterinary science
djóralækni	veterinary surgeon,(tlm.)vet
djóralæra	zoology; (lærubók) zoology (text)book
djórapínsla	cruelty to animals
djóraringur	(stjfr.)the zodiac
djóraríki	animal kingdom
djórasjúkrahús	veterinary hospital
djóraslag	species (of animal);hótt djórasløgendangered species
djórastovnur	animal population
djórasýning	cattle show
djóraveiða	(kvæð.)hunt for (wild) animals
djóravernd	prevention of cruelty to animals, animal protection
djóraverndarfelag	animal lovers' league, Our Dumb Friends' League; society for the prevention of cruelty to animals;Djóraverndarfelagið(í Ongl.) the Royal Society for the Prevention of Cruelty to Animals, the RSPCA;(am.)the Society for the Prevention of Cruelty to Animals, the SPCA
djóravinur	animal-lover
djúp	deep, abyss; sí eis.dýpi
djúpan	deeply,draga andan djúpanbreathe deep(ly), draw a deep breath;suffa djúpanheave(el.fetch) a deep sigh
djúpaskáp	(sk.)tommy
djúpbláur	deep-blue
djúpd	depth; the depth of the sea, a cave, a hole, the perspective, his feelings, his voice, a well;(fl.m.)profundity(t.d.the profundity(el.the depth) of his thoughts);(tónl.)depth, (low) pitch;tað er djúpd í myndinithe picture has depth;fara í djúpdinago into(t.d.the matter) in depth; (gjølligari) plumb(el.sound) the depths;hann fer ikki í djúpdina (eis.)he merely scratches the surface
djúpfals	deepfake
djúpfiskur	deep-sea fish
djúpfrysta	deep-freeze
djúpfrystari	deep freezer, deep freeze
djúpfrysting	deep freezing
djúpgongdur	1profound, thorough, searching, in-depth; (víðtøkin) radical;djúpgongdar atfinningarsearching criticism;djúpgongdar rannsóknirin-depth(el.intensive) studies;djúpgongdar broytingarradical alterations2(um kava) deep
djúpgrund	(jarðfr.)bedrock
djúpgrýti	(jarðfr.)plutonic rock, plutonite
djúpgrýtingur	(jarðfr.)pluton
djúpgrønur	deep green
djúphav	deep sea
djúphavs-	deep-sea(t.d.basin; fishes; formation);(lívfr.,eis.)benthic
djúphavsdýr	deep-sea animal
djúphavsfiskaslag	djúphavsfiskasløg(eis.)abyssal species(el.variety)
djúphavsfiskur	deep-sea fish
djúphavsgranskari	oceanographer
djúphavsgransking	deep-sea(el.oceanographic) exploration, oceanography; oceanics
djúphavskanning	deep-sea exploration
djúphavsrannsóknarferð	deep-sea exploration expedition, oceanographic expedition
djúphavsrækja	deep-sea shrimp
djúphavsskorpa	(jarðfr.) oceanic crust
djúphavsslætti	(jarðfr.)abyssal plain
djúphavstøkni	deep water technology
djúphugaður	profound, deep
djúphugsin	meditative, speculative
djúphugsni	meditation, speculation
djúpleittur	meditative, profound
djúplendur	(um lendi) with deep soil
djúpliga	profoundly, deep
djúpmæltur	with a deep voice
djúpoygdur	with deep-set eyes
djúpskygdur	intelligent; profound, penetrating; conscientious, scrupulous
djúpstaddur	deep-set
djúpsteikifeitt	deep-frying fat
djúpsteiking	deep-(fat-)frying
djúpsteikja	deep-(fat-)fry
djúpsteiktur	deep-fried
djúpsýni	meditation, speculation
djúptonktur	meditative, speculative
djúptøkin	profound, thorough, searching, in-depth; radical(t.d.reform), drastic; thorough(going)(t.d.clean-up, examination, reform); root-and-branch, all-out(t.d.reform); full-dress(t.d.investigation)
djúpur	(eis. djypri)hást djúpastur(eis. djypstur)1deep(t.d.a deep valley, well); (um kenslu) deep, profound; (um lit) deep(t.d.a deep blue);(tónl.)deep, low;djúpur bassura deep bass2[íyms.samb.]djúptbukka deep(el.low) bow;djúptfalla fall from a great height, a long drop;(fl.m.)a heavy fall;djúpurfriðurprofound peace;djúparkenslurdeep(el.profound) emotions;tann djúparameininginvið hesumits underlying meaning;djúptmyrkurprofound darkness;við djúparirøddin a deep voice;djúptsára deep wound;djúpursjógvurdeep water;seta djúpspormake a deep impression(íon), exercise a great(el.profound) influence;djúpursvøvnurprofound(el.deep) sleep;í djúpum svøvnifast asleep, deep in sleep;í djúpumtonkumdeep(el.lost) in thought; in a brown study;djúptøgndeep(el.profound) silence)3(um skip: sum stingur djúpt): heavy-draught; (sum hugsar djúpt) profound, penetrating
djúpvatnstrolari	(sjóm.)deep-sea trawler
djús	juice
djørv	sídjarvur
dl	decilitre
dm	decimetre
D-markur	(bú.)D-mark, Deutschmark
doddur	1tuft2front hair, forelock
doða	dampness
doðaligur	damp
doðaveður	damp weather,tað er doðaveður í dagit is a damp day
doði	1(slight) haze2drizzle
dogma	dogma
dogmatiskur	1dogmatic2hj. -ally; tala dogmatisktdogmatize
dokk	1(sigl.)dock;fáa í dokkdock, bring into dock;fara (el. koma) í dokkdock, go(el.come) into dock;skipinum tørvar at fara í dokkthe vessel requires docking;vera í dokk (eis.)be docked;turr dokkdry (el. graving-) dock;vát dokk(wet) dock2(teld.)docking station
dokkstøð	(teld.)docking station
dokkur	lock (of hair), frizzy hair
doktarabátur	ambulance boat
doktaraevni	(fróðsk.)candidate (for the doctorate)
doktaragildi	[celebration of the successful defence of a thesis]
doktaraheiti	(fróðsk.)the title of doctor
doktarahond	í osb: fara el. koma undir doktarahondhave medical treatment; come under the doctor's care
doktaralærdur	medically trained
doktararáð	(gl.)medical advice;gamalt doktararáðan old remedy;(ofta =)a household remedy
doktararingur	doctor's ring; (verður ikki brúkt í Ongl. og USA)
doktararitgerð	(fróðsk.)thesis (for the doctorate), doctoral thesis; doctoral dissertation;doktararitgerðin varð góðkendthe thesis was accepted;doktararitgerðin varð vrakaðthe thesis was rejected(el.turned down);verja doktararitgerðdefend one's thesis;skriva doktararitgerðprepare a thesis
doktaraskapur	(lækn.)medical knowledge
doktarastig	(fróðsk.)doctor's degree, doctorate
doktari	1(fróðsk.)doctor2doctor, medical practitioner, medical adviser
doktrin	doctrine;sí annars:læra, lærusetningur, lærdómssetningur, ástøði
dolkur	(sø.)dagger;(nýtíð.)sheath knife
dollaralán	dollar loan
dollari	(bú.)dollar
dollarseðil	dollar note, dollar bill
dolomitt	dolomite
dominikanskur	Dominican;Dominikanska lýðveldiðthe Dominican Republic
domino	(spæl) dominoes; (t.d.play (a game of) dominoes)
dominoástøði	domino theory
dominoávirkan	domino effect
dominospæl	(game of) dominoes
dongdi	sídeingja
dongla	(teld) dongle
dongul	(teld) dongle
donkraft2	jack;hydraulisk donkrafthydraulic jack;donkraft við skrúvuscrew jack;hevja við donkraftjack up
dorg	fishing-line
dorma	(stb.)slumber
dorur	drift, mandrel
dossa	1become moist,(el.humidel.damp)2drizzle
dossaligur	damp, moist
dossasligur	(stb.)sídeyðsamligur
dossin	sídossutur
dossleittur	1(um veður, luft) heavy, hazy, misty2grimy(t.d.face), grubby(t.d.grubby hands), (um lit) muddy
dossligur	sídossleittur
dossutur	(sj.)damp (um klæði)
dottin	sídetta
dovin	1(um fólk) lazy, idle, indolent; sluggish2(um drykk, mat) insipid, flat, stale3(umt.d.hoyggj) damp
dovinbjølgur	(Suð.)idler, slacker, lazybones, lazyboots
dovindansari	(Suð.)sídovinbjølgur
dovinskapur	laziness, idleness, indolence, sloth
dovisligur	lazy, idle; sluggish, lethargic
dovna	1become weak; idle, loaf, laze2(um mato.tíl.)become insipid,(el.flatel.stale)
doyða	(gl.)kill
doyðin	sídoyður
doyður	í osb: leggja doyðin ámake a point of sth(t.d.of accuracy); stress sth, lay stress on sth, set great store by sth, attach (great) importance(el.weight) to sth(t.d.we attach great importance to this treaty);leggja størri doyð á hetta enn annað (eis.)let sth outweigh sth else(t.d.he let economic considerations outweigh the claims of nationality);leggja ov stóran doyð á eittmake too much of sth; attach too much weight(el.exaggerated importance) to sth;leggja doyðin á at (t.d.at økja um framleiðsluna) direct one's efforts to(t.d.increasing production);leggja doyðin á at verða valdurmake a big effort to get elected
doyggingardagur	(sj.) í osb: til sín doyggingardagto one's dying day
doyggja	1die, breathe one's last, expire, pass away, pass on;Sgo west, peg out, kick the bucket, cash in one's chips, croak; (farast, látast) perish, be killed, meet one's death; (um likamspart, gerast kensluleysur) grow numb2[ísamb.viðfs]av(fl.m.) hasum doyr hann ikki avthat won't do him any harm(el.hurt himel.kill him);doyggja av drykkjuskapidrink oneself to death;hvørjum doyði hann av?what did he die of?um at doyggja av keðsemibe bored to death;doyggja av kuldadie from exposure;at doyggja av forvitnibe dying of(el.burning with) curiosity, be dying to hear all about it;um at doyggja av ræðslube frightened(el.scared) to death;doyggja av sorgdie of grief;doyggja av svongdstarve (to death); die of starvation;doyggja av sjúkudie of a disease;doyggja av tostadie of thirst;ádoyggja á bálidie(el.perish) at the stake;doyggja á sjónumdie at sea;burturdie away(t.d.the song died away in the distance; the wind died away); die down(t.d.the storm is dying down); fade away(t.d.his enthusiasm faded away);málið doyði burturthe matter died a natural death(el.was forgotten);samrøðan doyði burturthe conversation flagged; die out, become extinct, become obsolete, become out-of-date; (um vind) fall, drop, die away, die down(t.d.the breeeze died away);frádoyggja frádie leaving(t.d.she died leaving a child)foreldrini doyðu frá teimumthey were left orphans;hann doyði frá konu og børnumhe died leaving a wife and family;fyridoyggja fyri fosturlandiðdie(el.give one's life) for one's country;doyggja fyri egnari honddie by one's own hand, take one's own life, commit suicide;doyggja fyri tíðinadie before one's time; die prematurely;ídoyggja í barnferðdie in childbed;doyggja í føðinginidie at birth;doyggja í Harranumdie in the Lord(el.in the odour of sanctity);tú doyrt í kulda (eis.)you will catch your death of cold;eg mundi doyð í látriI nearly died with laughter(el.laughing), I was killing myself laughing;doyggja av svongd og kuldadie of hunger and exposure;tað slapp ikki at doyggja í syndinithey never heard the last of it;niðurdoyggja niður øðrumeginbe paralysed down one side;útdoyggja útdie out(t.d.the family died out); die off, become extinct3doyggjandi: til sín doyggjandi dagto his dying day
doymi	odorant
doypa	(kirkj.)baptize, christen; (eitt skip) christen, name; (við ongum ávirki) administer baptism;hann læt seg doypahe was baptized; he was received in baptism;hann varð doyptur Johnhe was christened John;doyptir jødarJewish converts (to Christianity);hann varð doyptur John eftir abbanumhe was christened John after his grandfather
doypari	(bíbl.)(umdoypari) baptist;(sø.)anabaptist;Jóhannes doypari(n)St John the Baptist
doypifuntur	(kirkj.)(baptismal) font
doyping	(átr.)baptism, christening; (skip,eis.)naming ceremony
doyr	sídoyggja
doysin	(sj.)hanging slack, drooping
doysleittur	sídossleittur
doyva	1subdue, moderate, damp, temper, calm, mitigate,doyva hansara sorgmitigate his grief;doyva hansara vreiðimitigate his anger; put a damper on,doyva gleiminput a damper on the mirth; numb, quieten,doyva sína ringu samvitskunumb (, quieten) one's bad conscience; ease, assuage, alleviate,doyva pínunaalleviateel.ease the pain;doyva ein littone down a colour, soften a colour;doyva ljóðiðdeaden the sound; keep the noise down;doyva røddinalower one's voice; hush up(t.d.a scandal); (um tónleik) mute2(lækn.)give an anaesthetic, administer an anaesthetic to, anaesthetize; render unconscious; (við drøggi) drug; dope(t.d.he was doped before they murdered him);doyva e-n lokaltadminister a local anaesthetic to sby;doyva eina tonn (tlm.)freeze a tooth3(gl.óhvessa), blunt, dull, deaden4doyva niðurpress (down)
doyvari	put(el.cast) a damper on, damp(t.d.damp their ardour; damp sby's spirits);leggja ein doyvara á gildið (el. gildisrómin)throw a wet blanket over the party, be a party-pooper
doyving	(lækn.)(tað at doyva) anaesthetization; (doyvd støða) anaesthesia; (við drøgg) drugging, doping;lokal doyvinglocal anaesthesia;geva honum lokala doyving (eis.)give him a local anaesthetic;undir doyvingunder an anaesthetic;vakna upp úr doyvingcome round from(el.out of) an anaesthetic
dólgabýttur	a downright fool, bone-headed
dólgaskapur	dullness, lethargy, indifference
dólgsligur	dull, lethargic, apathetic; sleepy, dull-witted
dólgur	clumsy person; a good-for-nothing
dólgutur	sídólgsligur
dómadagsmálmur	(tónl.)doom metal
dómadagsprofeti	prophesy of doom
dómadagsprofetur	Doomsday prophet, prophet of doom
dómadagsprædika	hell-fire(el.fire-and-brimstone) sermon
dómadagsprædikumaður	Bible-thumper;(fl.m.)prophet of doom
dómadagur	(átr.)the Day of Judgment, the Last Day, Doomsday; (Michelangelosar) the Last Judgement;á dómadegion the Day of Judgment;til dómadagstill the crack of Doom, till Doomsday
dómalóg	(løgfr.)case-law
dómarabrá	judicial manner; magisterial air
dómaraeiður	(løgfr.)judicial oath
dómaraembæti	(løgfr.)judgeship; justiceship; recordership; (sum friðardómari) commission of the peace, magistracy
dómarafulltrúi	(løgfr.)magistrate's clerk; (stundum) deputy judge
dómarafundur	(løgfr.)magistrate's
dómarakanning	judicial inquiry
dómarakappi	judge's robes
dómarakast	[ball dropped by the referee]
dómaranevnd	committee(el.panel) of judges; (til djórasýning, framsýningo.s.fr.)judges, jury
dómaraskrivstova	court registry
dómaraskylda	duty as a judge
dómarastarv	(løgfr.)justiceship, duties as a judge
dómarastætt	judiciary;dómarastættin (eis.)the Bench
dómarasæti	judgment seat, judge's seat;dómarasætið (eis.)the Bench;sita í dómarasæti(meðan mál fer fram) be on the Bench, hear the case(t.d.the case was heard before the Lord Chancellor)
dómaratorn	(til kappríðing) the judges' box(el.stand)
dómaraúrskurður	(løgfr.)(search) warrant
dómaravakt	judge ((í Ongl.:) magistrate) on duty
dómari	1(løgfr.)judge; (í hægstarætti) justice; (friðardómari) magistrate, justice of the peace; (býrættardómari) recorder;dómararnir(um samdómarætt) the Bench; (um stættin) the judiciary, the Bench;harra dómari(sagt við friðardómara) Your Worship; (í County Court) Your Honour; (í hægstarætti) My Lord;X var dómari í málinumthe case was heard before X.;(bíbl.)the Book of Judges;seta seg sum dómara yvirset oneself up as a judge of2(í samb. við djóraframsýning og framsýning) judge3(ástøðumaður, dómari í tennis, golf, kricket, baseball) umpire; (ítrótt)vera dómariumpire; referee(t.d.he refereed the football match), act as umpire (, referee); (í fótbólti) referee, ref(am.)umpire,(am.) Sump; (í nevaleiki) referee; (kapprenning, kappsigling) judge; (í hernaðarvenjingum) umpire; (til kappsiglingeis.)the Committee; (til framsýningareis.)the jury
dómbók	(løgfr.)record
dómfella	(løgfr.)pronounce a sentence; (døma sekan) convict(t.d.be convicted of a crime);(viðv.revsing) sentence(t.d.sentence sby to hard labour), pass sentence upon; (banna) condemn
dómfelling	(løgfr.)sentencing, conviction
dómfordømi	(løgfr.)precedent
dómhús	court(house);dómhúsið (eis.)the Law Courts
dómkirkja	(kirkj.)cathedral
dómpróstur	(kirkj. uml. =)dean (of the chapter)
dómsfólk	sídómsmaður
dómsfullgerð	(løgfr.)execution
dómsgerð	(løgfr.)sentencing, conviction
dómsgrundir	(løgfr.)grounds of the judgment
dómskraft	legal force
dómskunngerð	(ES) service of the judgment
dómsmaður	(løgfr.)lay assessor
dómsmálaráðharri	(stjm.)Minister of Justice; (í Ongl. er embætið býtt millum fleiri,serl.:)Lord Chancellor, Home Secretary;(am.samsvarar við) Attorney-General;(da.)Minister for Justice
dómsmorð	(løgfr.)miscarriage of justice; (lívtøka) judicial murder
dómsnevnd	committee(el.panel) of judges; (til djóraframsýningar, framsýningaro.tíl.)judges, jury
dómsorð	1(bíbl.)judgment; (glatan) damnation, perdition2condemnatory word
dómsskjóta	(løgfr.)appeal;skjóta dóm inn fyri hægstarættappeal (the case) to the supreme court; carry(el.take) the case (up) to the supreme court;dómurin kann verða skotin inn fyrian appeal lies to(t.d.a superior court)
dómsskot	(løgfr.)appeal
dómsskotsfráboðan	(løgfr.)notice of intent to appeal
dómsskotsfreist	(løgfr.)time-limit for an appeal
dómsskotsgrund	(løgfr.)ground(s) of appeal
dómsskotsvald	(løgfr.)court of appeal, appeals committee
dómsstig	(løgfr.)instance,føra málið gjøgnum øll dómsstiginicarry the case through all the courts;fyrsta dómsstig (løgfr.)court of first instance;hægsta dómsstigfinal court of appeal
dómssøgn	(løgfr.)(í brotsmáli) passing of a sentence, pronouncement of sentence; (í borgaraligum máli) delivering judgment
dómsting	(sø.)parliament with judicial authority
dómstólur	(løgfr.)lawcourt, court (of law(el.of judicatureel.of justice)); (mestfl.m. el.um søguligel.ikki-ensk viðurskifti) tribunal(t.d.the tribunal of my own conscience);(serl. bíbl.)judgment seat;dómstólarnir (eis.)the judiciary, the Bench;Altjóða dómstólurinthe International Court of Justice;blandaður dómstólurmixed tribunal;deildir dómstóla(ES) the Chambers of the Court of Justice;leggja málið fyri dómstólarnar, fara til dómstólarnargo to court about the matter, take the matter into court;forseti dómstólsins(ES) the President of the Court;fyri e-m dómstóliin court, before the court;hernaðardómstólurmilitary tribunal;seta e-n til svars fyri dómstólinumsue sby;seta e-n fyri ein dómstólput sby on trial, try sby;søgunnar dómstólurthe Court of History
dómsvald	(løgfr.)judicial power
dómsveldi	sídómsvald
dómsviðgera	(løgfr.)try, hear
dómsviðgerð	(løgfr.)hearing, oral pleadings; (í brotsmálumeis.)trial;áseta til munnliga dómsviðgerðset down for trial;til munnlig dómsviðgerð verðuruntil the case is heard by the court
dómur	1(í brotsmáli) sentence,hansara dómur varhe was sentenced to; conviction;harður dómursevere sentence;mildur dómurlight sentence;treytaður dómursuspended sentence;fáa treytaðan dómbe bound over;(am.)get a suspended sentence2(í borgaramáli) judgment; decree3(meining) opinion, judgment; verdict(t.d.the verdict of history)4(heimsp.)proposition; judgment(t.d.propositions are judgments expressed in words)5(gudfr.)judgment,evsti dómurthe Last Judgment; (banning) damnation, perdition; (í heimsins enda) judgment6(í ítrótt) judgment, decision,skeivur dómuran erroneous decision7[íyms.samb.]málavgjørt viðdómires judicata;fáaharðandómget a severe sentence;ein órímiliga harður dómur (eis.)a savage sentence;fáatreytaðandómbe bound over;(am.)get a suspended sentence;felladóm yvir(1) pass sentence upon, sentence;(serl.ikki løgfrøðiliga) pronounce judgment on;dómurin fellur(1) sentence is pronounced; (2) judgment is delivered;fremjadóm(1) carry out the sentence; (2) execute the judgment;dómuringekkhonumímótijudgment was given(el.passed) against him;kunngeradómin fyri(1) pronounce the sentence (of the court) on;kæradómappeal against the judgment (, sentence);dómur kann verða kærduran appeal can be made to a higher court;kæra dóm til yvirhúsiðcarry the case to the House of Lords;latamálinn tildómssubmit a case for judgment;ógildadóm(1) quash a conviction; (2) reverse a judgment;staðfestadóm(í brotsmáli) confirm a sentence; (í borgaramáli) affirm a judgment; (bæði samsvara í Ongl. við) dismiss an appeal;málið verðurtikið upptil dóms[the case reaches the stage of judgment];tulkaein dómconstrue a judgment
dópsdagur	day of christening
dópsfat	(kirkj.)baptismal basin
dópsgáva	christening present
dópshátíðarhald	christening ceremony
dópskalikur	chalice; christening cup
dópskapell	baptistery, baptistry
dópskjóli	(kirkj.)christening robe
dópskýsi	christening cap
dópslyfti	baptismal vows
dópsnavn	Christian name, first name, forename; given name
dópsorð	baptismal words
dópssáttmáli	baptismal covenant;vátta sín dópssáttmálaconfirm one's baptismal vows, be confirmed
dópsseðil	(kirkj.) certificate of baptism; sí eis.navnabræv
dópssiður	baptismal ritual(el.service)
dópsvatn	(kirkj.)baptismal water
dópsvitni	godparent, sponsor
dópur	1(átr.)baptism, christening;bera eitt barn til dópinstand sponsor(el.godparent) to a child2(skip,eis.)naming ceremony
dós	box, canister; (til te, kaffio.tíl.)can; (teblikk) tea-caddy; (til dósamat) tin, can,(am., bara) can; (stikkdós) socket; (koplingsdós, tlf.) box;sjóða niður í dóstin, can,(am., bara) can;í dós(niðursjóðað) tinned(t.d.tinned meat, vegetables), canned;(am., bara) canned;(fl.m.)canned(t.d.music)
dósa	(stb.)slumber
dósakjøt	bully (beef), tinned (, canned) meat
dósakóking	(sj.)tinning, canning,(am.bara) canning
dósamatur	tinned (, canned) food
dósamjólk	tinned (, canned) milk
dósaopnari	tin-opener,(am.)can opener
dósasligur	sídósin
dósin	drowsy
dósna	1become drowsy, become sleepy2(um ljós) fána,(fl.m.)decline, decrease, lose ground, drop, recede, go downhill
dósutur	sídósin
dóttir	daughter;hon er dóttir Xshe is the daughter of Mr X
dótturbarn	grandchild, daughter's child
dótturbóndi	(gl.)son-in-law
dótturdóttir	granddaughter, daughter's daughter
dótturfelag	(handilsm.)subsidiary company
dótturmaður	son-in-law
dóttursonur	grandson, daughter's son
drabb	rough sea
drabba	(um sjógv) be rough
drabbandi	í osb: drabbandi fullur el. so drabbandi (as) drunk as a lord(el.a billy goat);(óvand.)pissed as a newt
drabbsjógvað	rough
drabbsjógvur	rough sea
drabbutur	(um sjógv) rough
drafsa	(sj.)sídragsa
drag	1koma í dragspin out(t.d.an affair); drag out(t.d.a speech);(óáv.)drag on(t.d.the war dragged on); make slow progress(t.d.the negotiations are making slow progress); take a long time, hang fire(t.d.negotiations are hanging fire)(GG:the crisis threatened to prolong itself)2(bát.)halyard3(andlitsbragd) feature(t.d.coarse (, handsome, regular) features); line(t.d.the savage lines of his mouth); (veikt) touch(t.d.a touch of sadness)4(lyndiseyðkenni) trait(t.d.the chief traits of his character); feature(t.d.interesting features of bird behaviour); streak, strain5(serligt eyðkenni) characteristic, distinguishing(el.distinctive) feature(el.mark)
draga	1(toga í) draw, pull, haul; (sleipa) drag, trail;draga andadraw (one's) breath;draga andan lættanbreathe a sigh of relief;draga síðsta andadráttbreathe one's last, draw one's last breath;(fl.m.) draga eina línustand together, stand united;(tilt.) tað verður hart hoyggj at dragait will be hard to save the day;draga svørðdraw the sword2(draga til sín) attract, charm, allure,kenna seg drignan at e-mfeel drawn to(el.attracted by); (ógvisligari) yearn for somebody;verða drigin at fjøllunumfeel the call of the mountains3(leggja (við e-m)), cover, coat, board, plate4(sj.)draw, sketch, paint5(skeita)hann dregur eitt sindurhe has a slight squint(el.cast);draga inneftirbe cross-eyed;draga úteftirbe wall-eyed;hann dregur á vinstra eygahe has a squint(el.a cast) in his left eye6(um sinni)draga hýr á segbecome sad, become melancholy7(gl.)collect, gather, amass, accumulate8(um veður) drive, drift;tað dregurthe clouds are drifting9[ísamb. viðfs/hj]draga á:hann dregur á, áðrenn hann svararhe hesitates before answering;draga á bæðibe in doubt, be doubtful, irresolute;draga á báðar vánir, sívánir;draga á holdiniput on weight;draga á seg(um veltu) weed;draga aftureftirweaken(t.d.he is weakening daily; the market weakened); grow(el.become) weak(el.weaker); lose (one's) strength;draga atapproach, come nearer, draw near;draga avpass off, vanish, blow over;draga burtur(um pínuo.tíl.)ease; vanish, pass off;draga frá1weaken, lose (one's) strength2(stfr.) subtract3(teld.) decrement4draga gardinurnar frádraw the curtains (back);draga framcall attention to, emphasize, stress;draga fyri(gardinur) draw the curtain;draga inn1(um snøri, línuo.tíl.)haul up; heave the lead2(teld.) indent;draga niðurdraga e-n niður í lortindrag sby down (into the mire);verða drigin niður í kyksendibe sucked in(el.swallowed) by the quicksands;verða drigin niður við tí druknandibe pulled down by the drowning man (, woman);íða ið dregur skip niðurwhirlpool that sucks down ships;draga saman1draw together, gather, collect, scrape together2(nærkast) approach, draw(el.go) near, draw nearer, come nearer;(tlm.)get closer to; (tá ið jagstrað verður) close on;(fl.m.)draw together(t.d.the two statesmen gradually drew together);myrkrið dregur samanumnight is drawing on;draga sundurdrift apart,tað dregur sundur millum teirrathey drift apart;draga til:draga til reiðurs1gather materials for a nest, build(el.make) a nest, nest(t.d.the birds are beginning to nest)2(um vind)draga til síngain momentum;draga undan1decline, refuse, excuse oneself2(mest um seyð) survive the winter3(um fólk) get past, pull through(el.tide over) sth(t.d.a crisis, a difficulty); tough out sth(t.d.the crisis);draga(inn) undir:draga (inn) undir segappropriate, take possession of, seize;draga upp1draga bát upp pull a boat up2(um snøri, línuo.tíl.)haul up;draga upp á:draga upp á máliðdrawl;(fl.m.)pull sby's leg;draga upp á segput on; wear;draga skuld upp á segrun into debt, incur debts;draga synd upp á segbe guilty of a sin;draga perlur upp á bandstring(el.thread) pearls (, beads);draga upp í:draga upp í seg1(um veður) cloud over, blow up2(fl.m.) collect oneself, prapare oneself3attract;draga uppúrfinish a stockning;draga útdrag on, make slow progress;draga viðverða drigin við inn í eittbe drawn into sth, be mixed up(el.involved) in sthtey draga børnini við sær til altthey drag their children with them everywhere;draga e-n við sær allastaðnihave sby in tow(t.d.he always has his family in tow)10dragast1dragast við drag on, last2be afflicted with, be encumbered with;dragast við álvarsama sjúkube afflicted with a serious illness;hann hevur nógv at dragast viðhe has many troubles; he is a sorely tried man; put up with,eg orki ikki at dragast við teg longurI can't put up with you any longer11dragandi:heartfelt, sincere, fervent; tempting12drigin(tilt.)(vátur)sum drigin frá grunnidrenched, soaking wet
dragari	porter,(am.)redcap;rinda dragaranumpay the porter, (í Ongl.vanl.)tip the porter
dragbjálki	(húsasm.)girder
dragi	(bún.)tractor
dragil	(teld.)slider
draging	attraction, fascination, call
dragistýrari	(teld)slider control
