ó-	un-(t.d.uninterrupted); im-(t.d.improper); il-(t.d.illegal); ir-(t.d.irregular); non-(t.d.non-professional); not(t.d.not previously mentioned
ómótmælandi	beyond question, beyond dispute, irrefutable, incontestable, incontrovertible, indubitable, undeniable, unquestionable, indisputable
ómótstøðuligur	irresistible(t.d.charm; desire; she is irresistible); overpowering, overwhelming(t.d.desire);hjómótstøðuliga
ómúgvandi	without private means; (fátækur) impecunious;hann var ikki ómúgvandi báðar døturnar fingu hvør sítt hús eftir hannhe was not without private means, he gave both his daughters a house each
ómyndigur	under age, minor(t.d.he is under age; he is a minor);ómyndigu børn hansarahis children under age;peningaognir hjá ómyndigumfunds held in trust for minors (trust fundsel.trust money);gera ein ómyndiganhave sby declared incapable of managing his//her own affairs
ómyndingi	person under age, a minor(t.d.he is under age; he is a minor);(løgfr.)minor, infant;fútin skal síggja til, at góðs ómyndinga verður varðveitt sum bestthe sheriff shall see to it that funds held in trust for minors is preserved as well as is possible
ómyndingur	síómyndingi
ómyndugur	síómyndigur
ómyrðiligur	(stb.)innumerable, numberless, countless(t.d.books; people; times); without number(t.d.times without number); untold(t.d.during untold centuries);hjómyrðiliga;so ómyrðiliga vakurtextremely pretty
ómælandi	inarticulate(t.d.it is dreadful for a patient to be treated as an inarticulate being); (um dýr, of animals) dumb(t.d.animals, creatures);hasi ómælandi, tú hevur í húsinumthose dumb animals you have
ómæli	(lækn.)aphasia
ómæltur	speechless
ómøðiligur	1indefatigable(t.d.be indefatigable in the service of one's country); tireless(t.d.energy); untiring(t.d.untiring in one's efforts; with untiring energy); unremitting, unflagging(t.d.energy; zeal);tú ert ómøðiliguryou are untiring2(um barn, of a child) who is always dissatisfied, discontentedel.displeased; whining, snivelling;hatta er so ómøðiligtthat child is always whining;hjómøðiliga
ómøguligur	1impossible(t.d.it is impossible to convince him); not feasible(t.d.your plan is not feasible); it can't be done, no can do2impossible(t.d.you are impossible!; he is an impossible person); intolerable, insufferable; whining, snivelling;barnið er ómøguligtthe child is impossible;hjómøguliga
ónaseyður	(sj., stb.)ewe, female sheep
ónatúrligur	1(sum er ímóti náttúruni) unnatural(t.d.crime; vice); contrary to nature(t.d.such unselfishness would be contrary to nature)2(sum er kensluleysur) unnatural(t.d.child; father; parents)3(andstyggiligur) monstrous(t.d.cruelty)4(uppgjørdurel.tilgjørdur skaputur) unnatural, artificial, affected(t.d.style)5[sumhj]ónatúrliga1in an unnatural way, unnaturally2very, extremely, incredibly(etc); eg eri ónatúrliga svangurI am incredibly hungry;ónatúrliga feginextremely happy; síeis.ómetaligaundirómetaligur
ónáð	disturbance, intrusion (on sby)gera e-m ónáð//ónáðirtrouble sby, inconvenience sby, put sby to trouble, disturb sby;she has never harmed anyonehon hevur ongantíð gjørt nøkrum ónáðir;they meant him no harmtey ætlaðu ikki at gera honum ónáðir;halda e-n í ónáðuminconvenience sby;kemur hann við náðum ella ónáðum?is he coming here with peace or is he going to cause discord
ónáða	give sby trouble, trouble sby(t.d.I am sorry to trouble you); inconvenience sby, put sby to troubleel.inconvenience; disturb sby(t.d.excuse my disturbing you); put out(t.d.I'd like to very much, if I'm not putting you out);ónáði eg?I hope I am not disturbing you(el.intruding)
ónáttúrligur	síónatúrligur
óndamannafingur	(plfr., stb.)síkannubjølluvísa
óndimaður	(stb.)síillimaður
óndska	wickedness, malice, malignity; badness, spite
óndskapsligur	(stb.)spiteful, malicious, malignant, malevolent, vicious;mannamúgvan skar út í óndskapsligan láturthe crowd laughed maliciously
óndskapur	1wickedness, malice, malignity; badness, spite;gera eitt av berum óndskapido sth out of pure malice/badness;óndskapurin í menniskjunumhuman wickedness2fury, rage;hann øsir hana upp til óndskaphe work her into a state of fury;hetta loypti óndskap í kongsins sveinarthis got the King's men into a rage
óndur	1wicked, evil; (meinfýsin) evil-minded, ill-natured, spiteful, malignant;soleiðis man eisini fara at gangast hesi óndu slektthis wicked generation will, no doubt, be punished too2(stb.)angry, mad, furious;tarvurin er óndurthe bull is mad/angry3[sumhj]ónt;hatta var ónt gjørtthat was a dirty trick
ónervaður	composed, cool, unruffled, unmoved, uninfluenced, unaffected (by)(t.d.unaffected by the gravity of the situation); indifferent (to);hann mundi ikki vera so ónervaður, sum hann lætstI don't believe he was as composed as he pretended
ónevnandi	unmentionable
ónevndur	1unnamed, not named, not mentioned by name; unmentioned;tvær ónevndar døtur hansara vóru giftar við prestumtwo of his daughters who are not named by name married clergymen;hvør hevði fleiri gudar, bæði nevndar og ónevndareach (either) of them had many gods both named and unnamed;í øllum hjørtum kyknaði nú knappliga ein stór, men ónevnd vónthen suddenly all hearts conceived a large but unnamed hope2anonymous;brævskrivarin er ónevndurthe letter writer is anonymous
ónevni	ugly and improper name
óneyðugur	unnecessary(t.d.with óneyðugur care); needless(t.d.it is óneyðugur to say more)(GG:needless to say, he was annoyed at this); undue(t.d.treat the matter with undue haste; run an undue risk); (tarvleysur) superfluous, otiose; (ógrundað: um atfinningarverda gerð) wanton(t.d.óneyðugur cruelty//destruction); gratuitous(t.d.insult; lie);óneyðugt/tarvleyst trætumál (løgfr.)vexatious suit
óneyvur	imprecise, inexact, inaccurate;frágreiðingin er mangan óneyv og stundum beinleiðis villleiðandithe account is inaccurate in many places and sometimes downright misleading
ónjóta	1(serst.um neyt,espof cows) stubborn bovine animal2ill-bredel.rude person
ónjótadýr	síónjóta
ónoktandi	1undeniable, incontestable, indubitable, indisputable2[sumhj] undeniably, incontestably, indubitably, indisputably
ónolla	1something which causes damage, injury, harm, mischiefel.hurt;bøurin hevði verið góður, men nú eru ónollur komnar í hannthe infield used to be in perfect order, but it is now in danger of falling into disrepair (by hens and ducks)2ónollurbad habits, whim, caprice, objectionableel.irritating practiceel.custom; bad habit, nuisance, abuse;tað koma sovorðnar ónollur á hann við hvørthe was sometimes capricious3(stb.)barrenel.sterile female animal(espof ewes and cows)
ónomin	untouched by human hand(s); unspoiltel.virgin (natureel.scenery);ónomið landvirgin land;ónomin gentavirgin,(løgfr.)virgo intacta
ónossligur	1uninviting, unattractive, comfortless, dismal, unappetizing;ónossligt veðurdismal weather2untidy; dirty, messy, soiled, filthy
ónsdagur	(stb.)Wednesday; símikudagur
ónytta	1uselessness, nuisance, unprofitableness, futility;til ónyttuuselessly/in vain;ein, sum einki hevur arbeitt til ónyttu, hevur ikki arbeitt nógvsomeone who has not done useless work has not worked much2(um fólk, dýr; of persons and animals) uselessel.unprofitable creature;summi síggja út sum bestu brundlomb, men eru ónyttursome male lambs look as if they are going to be excellent breeders, but as it turns out, they are useless;hon er ein ónyttashe is barren3incompetent, inefficientel.incapable person, useless person; idler, slacker, lazybones, lazyboots;hatta er ein ónyttahe//she is useless;brøður hansara gingu alsamt sum ónytturhis brothers had still not done a stroke of work;á, tær ónyttur báðar tværthey are useless both of them (of women)
ónyttigur	useless(t.d.advice; effort; remedy, thing); unprofitable, profitless(t.d.a profitless discussion); purposeless, unavailing(t.d.effort); ineffective, futile(t.d.a futile attempt; resistance would be futile); fruitless, vain(t.d.effort)
ónyttis	í osb. til ónyttis go/run to waste;einki mátti fara til ónyttisnothing was allowed to go/run to waste
ónyttufjas	useless stuffel.things, rubbish;tey keypa ónyttufjas fyri dýrar pengarthey spend a lot of money on useless things
ónyttugur	síónyttigur
ónyttuligur	síónyttigur
ónýta	cancel(t.d.a debt; an order for sth); nullify, annul; destroy
ónýtandi	unserviceable(t.d.rains have made the airfield unserviceable); unfit for use, useless(t.d.this hammer is quite useless);gera ónýtandirender unserviceable/unfit for use
ónýtiligur	unusable, inapplicable (to)(t.d.this method is inapplicable to biology); unsuitable, unfit (for)(t.d.roads unfit for motor traffic); unemployable(t.d.person); useless, unfit for use; unserviceable;(tlm.)no good(t.d.these tools are no good)
ónýtis	íosb. til ónýtisit is useless; it serves no useful purpose; it is (of) no use; it is no good; it serves no useful purpose, there is no point
ónýtisdagur	working day wasted (because of bad weather)
ónýttur	(ikki nýttur) unused; (sum nýggjur) as new, in new condition; (um klæðieis.)unworn, never worn; (savnaraorðing um frímerkiel.myntiro.tíl.)in mint state; (um pengar) unspent, unexpended;næstan ónýtturas good as new;bøkur liggja ónýttar og rekastbooks lie about unused
ónýtur	unusable, inapplicable (to)(t.d.this method is inapplicable to biology); unsuitable, unfit (for)(t.d.roads unfit for motor traffic); unemployable(t.d.person); useless, unfit for use; unserviceable;(tlm.)no goodbrynja hans var so buglað, at hon var ónýthis coat of mail was so battered that it was useless;ónýtt at nevna hvørji verk eru havd til hjálparneedless to mention which books have been used
ónæra	1person who behaves in an unbecoming manner, person who behaves improperlyel.indelicately; intractable, unaccommodatingel.stubborn person2(stb.)shyel.wild and poor sheep3bad habits; ónærakemur á seyð av órøktsheep which are not properly looked after contract/form bad habits
ónærablað	porn magazine
ónæradýr	stubborn animal;hetta er eitt ónæradýrthis is a stubborn animal (said of a shy horse)
ónærafilmur	blue movie;Sskinflick
ónærafólk	disorganizedel.untidy person; spiteful person, (um konufólkeis.)a cat, a bitch
ónærahandil	porn shop
ónæraídnaður	porn industry
ónæralóg	ónæralógin the Obscene Publications Act
ónæramynd	porn picture
ónærarit	porn magazine
ónæraskapur	meanness, baseness, villany, baseness; disgracefulel.dishonourableel.shameful conduct
ónæriligur	1rude, ill-bred, ill-mannered, unmannerly, churlish, boorish; unseemly(t.d.behaviour; remark); improper, indecorous; (skendskari) indecent;hava ónæriligan munnel.vera ónæriligur í munninumbe foul-mouthed;vera ónæriligur við e-nannoy a woman;(tlm.)make passes at a woman; (ógvisligari) assault2(um gerð, of an act) mean, outrageous;hjónæriliga
ónærisligur	síónæriligur;hon kundi taka heilt ónærislig orð í sín munnshe could be quite foul-mouted;hjónærisliga
ónøgd	discontentedness(t.d.with one's lot); discontent(t.d.[a] general discontent prevailed); dissatisfaction; displeasure; (vónbrot) disappointment;elva til ónøgdcause/give rise to dissatisfaction; cause bad blood; cause disappointment
ónøgdur	1discontented (with)(t.d.he is discontented with his lot); dissatisfied (with)(t.ddissatisfied with one's pay); unsatisfied, displeased(t.d.with one's reception);(tlm.)choked, peeved2(vónsvikin) disappointed (with, in);tey misnøgdu(í politikkio.tíl.)the malcontents
ónøktiligur	who never gets enough, impossible to satisfy;hann er ónøktiligur, heldur ongantíð vera nóg mikið, hvussu nógv hann so færhe is impossible to satisfy, he never seems to get enough no matter how much he gets
óorð	bad reputation, bad name;hetta óorð, vit hava á okkum, fæst av afturthe bad reputation that clings to our name can be removed
óorðaður	flippant; using too strong expression
óparaður	odd(t.d.glove; stocking); unmatched, mismatched(t.d.forks and spoons);skógvarnir eru óparaðirthe shoes do not match;tú ert í óparaðum hosumyou are wearing odd socks; síeis.ómakaður4
óparalig	(umt.d.hjún, about husband and wife) unsuited, ill-matched;tey eru so óparaligthey are ill-matched
ópersónligur	1impersonal, detached(t.d.a detached point of view); ópersónligurstílurimpersonal style;ópersónligt brævimpersonal letter2impersonal, featureless(t.d.an impersonal power, called Fate); ópersónligurguddómuran impersonal deity3(málfr.)impersonal(t.d.subject; verb)"meg droymdi ein dreym"(is example of a sentence with an impersonal subject);"henni dámar tað illa"(is an examples of a sentence with an impersonal verb)
ópløgdur	1ópløgdur borðviðura plain-edged board2(landb.)unploughed
ópolitiskur	1neutral, independent; unpolitical, non-partisan, non-party; apolitical;blaðið er ópolitisktthe paper is politically neutral2unpolitical, apolitical;felagið er ópolitisktthe society is apolitical/politically neutral
ópostaður	unstamped;brøvini eru ópostaðthe letters are unstamped
óprentaður	unprinted(t.d.sources); (ikki útgivin) unpublished;framvegis óprentaður (eis.)in manuscript;fleiri óprentað handrit liggja eftir hannhe left several works in manuscript
óprógvaður	unproved;(serst. løgfr.)unproven
óra	1have a premonition about (sth), have a presentiment of; óraeitthave a premonition about sth, suspect sth;óra iltsuspect mischief,(tlm.)smell a rat;tað man meg óraI suspect as much;ikki órdi meg tað, at...I did not suspect that, I hads no idea that;tað órdi meg ikkithat was the last thing I had expected;tað seinasta, sum órdi fyri mær, vóru orð skiparansthe last thing I remember was the skipper's words2shine faintly;lampan órir/órarthe lamp shines faintly3be still alive;hann er ússaligur, men hann órir ennhe is feeble, but he is still alive; síhóra
óraddaður	(málfr.)voiceless, unvoiced;" t" er óraddað hjáljóð`t' is an unvoiced consonant
órakaður	unshaved(t.d.he is unshaved); unshaven(t.d.an unshaven man)
órannsakandi	inscrutable;dómar hansara eru órannsakandi (bíbl.)how unsearchable are his judgments
órannsakiligur	síórannsakandi
óráddur	(sj.)badly equippedel.fitted out;far ikki so óráddur av húsumdon't go out so badly equipped (don't leave empty-handed)
óráð	recklessness, rashness, act of folly;taka óráð fyrido sth rash, do stupid things, commit an act of folly;nú eru óráð at keða hana meirit is not prudent to bore her more;óráð, at eingin mannfólkahjálpin er undir loniniit is inconvenient that there is no man in the house
óráðamaður	reckless, thoughtlessel.rash man
óráðatøkin	síóráðtøkin
óráðiligur	1nasty, beastly2indefinable;av óráðiligum spenningiof indefinable tension
óráðin	(stfr.) óráðið talirrational number;óráðin støddsurd
óráðtøkin	1reckless, thoughtless, rash, hasty2improvident, careless;tú ert ikki so óráðtøkin, at tú ikki hevur nóg mikið av tubbaki við tæryou haven't been so careless that you haven't brought enough tobacco with you3badly prepared, equippedel.fitted out;hann fór so óráðtøkin avstaðhe left empty-handed
óráðtøkni	recklessness, thoughtlessness, rashness;hann hevði tað dirvi, sum tann himprandi fjøld ofta í fyrsta umfari vil kalla óráðtøknihe had the courage which timid people the first time (round) call recklessness
óráðuligur	improper, indecentel.lewd (in speech); síónæriligurogólíkligur
óregla	abnormality, anomaly; irregularity(t.d.irregularities in the accounts); variability; erratic nature; asymmetry; instability; síóregluligur
óregluligur	1(ikki einsháttaður) irregular(t.d.the irregular action of a machine; irregular features; an irregular group of buildings; at irregular intervals);óregluligt umhvarvirregular outline2(sum víkir frá tí vanligaeis.)abnormal, anomalous3(ikki sambært reglunum) irregular(t.d.a highly irregular procedure)4(umleypandi) changeable, variable(t.d.climate, winds)5(stjfr.) erratic(t.d.the erratic course of the comet)6(lækn.) irregular(t.d.breathing); erratic(t.d.erratic neuralgic pains);óreglulig mánasjúkairregular bleeding;óregluligur pulsurirregular/intermittent pulse;óregluligur svøvnursøvn broken sleep7(plfr.) asymmetric(t.d.an asymmetric flower);(lívfr.)zygomorphic8(jarðfr.) irregular;óregluligt brotirregular fracture;óregluligt innskotirregular intrusive formation9(málfr.) irregular(t.d.plural form);óregluligt sagnorðirregular verb10(handilsm.:um kursir) unstable11[sumhj]óregluliga; irregularly(t.d.irregularly shaped; the machine works irregularly);liva óregluligalead an irregular life
óreglulív	irregular course of life
óreglusamur	síóregluligur;steyrarnir eru óreglusamir og venda ymsar vegirthe poles are irregular and stick out in all directions
óreglusemi	irregularity; óreglusemií telefonsambandinumthe telephone connection is irregular
óreiðiligur	1(óærligur) dishonesthann var óreiðiligur í øllum sínum starvihe was dishonest in all his work;óreiðiligur í framferðdishonest in (one's) practice(s)2(óálítandi) unreliable(t.d.he is unreliable in money matters); untrustworthy, undependable(t.d.undependable servant); unsafe(t.d.newspapers are unsafe guides to a student of public opinion)3(svikafullur) fraudulent4[sumhj]óreiðiliga;tað gekk óreiðiliga tilthe procedure was highly irregular
óreinføri	uncleanliness; unhygienicel.insanitary conditions
óreingiligur	incontestable, incontrovertible(t.d.facts); indisputable, beyond dispute; unquestionable; unchallengeable, unimpeachable;tað er óreingiligt atit is beyond dispute, there is no question whether, there can be no doubt that,it is beyond doubt that;við vísindaligum og óreingiligum prógvumwith scientific and unimpeachable evidence;óreingiligur vitnisburðurincontestable evidence;hjóreingiliga
óreinheit	(tlm.)ill-nature, malice, spite, spitefulness, viciousness, badness; (um konufólkeis.)cattiness, bitchiness
óreinleiki	(bíbl.)uncleanness, impurity; óreinleikihansara loðar enn við hannimpurity still clings to him
óreinligur	uncleanly
óreinsettur	1inveterate; hardened, callous2[summðlv]óreinsettoh, bother!; oh, hang it!; confound it!; damn!
óreinska1	1uncleanliness, impurity, dirt; óreinskaí tegconfound you!;óreinska í taðconfound it!;óreinska fari í hannconfound him2excess(t.d.sexual excesses; the excesses of his youth);(eis.)debauchery, dissipation
óreinska2	make uncleanel.impure, pollute;vøtn og áir eru óreinskaðlakes and rivers are polluted
óreinskan	pollution, contamination, fouling; sídálking
óreinskapur	1wickedness, malice, malignity; devilry; badness, spite;far og fá hann til at mana henda óreinskapin burturgo and ask him to exorcise/conjure/spirit this devilry away;tín hugmóð eitrar jørðina, og óreinskapur liggur eftir í hvørjum fótasporiyour arrogance pollutes the earth and your footprints ooze malice2uncleanliness, impurity, dirt;allur óreinskapur og alt ruskdirt and garbage
óreinsking	pollution, contamination, fouling; sídálking
óreinskusettur	1síóreinsettur1,sneiðursettur2[summðlv]óreinskusett!síóreinsett2
óreinskutíð	unfortunately, unluckily; óreinskutíðkom ein steinur á vindeygað hjá prestiunfortunately a stone hit the clergyman's window pane
óreinur	1unclean, dirty; óreinurlitura dirty colour2inveterate; confounded, infernal; ill-mannered, naughty;hann er so óreinur at steina, tá ið ilt kemur í hannhe is inclined to throw stones (at sby) when he is angry;kettan er so órein at klórathe cat is disposed to scratch;óreina ting títtyou little scoundrel;óreint (fari) í hannconfound him, may he come to grief!;óreint í taðconfound it, for shame!;hvat óreinan ein so gjørdi, so varð tað tikið fyri gottit was approved of, no matter what one did;hvat óreinan er tað hann eiturI'll be damned if I remember his name;tín óreini ránskroppuryou scoundrel; you abandoned wretch;(fl.m.) tá var óreint við seyðatjóvar allastaðni í Føroyumthere were many sheep thieves in the Faroes at the time3evil, inveterate; malicious, malignant, spiteful;ein óreinur maðura spiteful man4(difficult to navigate) shallow, with submerged rocks and skerries;sundið er grunt og óreintthe sound is shallow and full of (sunken) skerries;órein strondbroken coast5[sumhj]óreintdamn,(am.)darn;óreint og tíðliga//seintdamned early//late
órevsaður	unpunished; with no criminal record;hann vildi ikki lata tað fara órevsaðhe wouldn't allow it to pass/go unpunished
órin	1(lækn.)immune response;eyðkvæmi spillir órinið í kroppinumAids/AIDS destroys the immune response2(løgfr.)immunity;tingræðisligt órinprivileges enjoyed by Members of Parliament
óringera	(lækn.)immunize(fyriagainst), render immune
óringering	(lækn.)immunization(fyriagainst)
órinin	(lækn.)immune (against, to);gera órinanrender immune, immunize(fyri, ímótiagainst)
órinslag	(lækn.)immune system
órinsverja	(lækn.)immune response
órivjaður	sírivja2
órímaður	unrhymed(t.d.verse);órímað yrkingunrhymed poem
órímiligur	1not probable, not likely, unbelievable, improbable2unreasonable, over-particular, difficult(t.d.a difficult partner; a difficult customer);hann er tvørur og órímiligurhe is sullen and difficult3unreasonable(t.d.demand); exorbitant(t.d.claim); exaggerated(t.d.claims, estimate); undue(t.d.optimism); excessive(t.d.demands; an excessive estimate of its value); extravagant(t.d.an extravagant idea of one's own importance); (sum er ov høgur) unfair(t.d.prices), unjust, inequitable;órímilig húsaleigaan unfair rent4[sumhj]órímiliga; unreasonably; exorbitantly; excessively; extravagantly; unfairlyo.tíl.; órímiliga dýrurunfairly expensive
órína	(lækn.)render immune, immunize(fyri, ímótiagainst);roynt varð at órína fólkan attempt was made to render people immune
óroyndur	1untried, untested(t.d.method); unused;óvist, hvør dugur er í amboðunum, tey eru óroyndit is difficult to say how usable the tools are as they are untested; (um fiskiskap, of fishing)tað er óroyntno one has fished there for a long time2inexperienced;(herm fl.m.)raw(t.d.troops);hann er ungur og óroyndurhe was young and inexperienced;óroyndur læraria young and inexperienced teacher
óró	síórógv
óróðrarligur	not goodel.easy to row;báturin er so óróðrarligurthe boat is difficult to row;árin er tung og óróðrarligthe oar is heavy and not easy to use
órógv	unrest(t.d.Indian unrest; political//industrial//social unrest); disturbances(flt) (t.d.recent disturbances in Dublin); disorder, trouble(s)(t.d.the Irish troubles); excitement(t.d.the whole country is in a state of excitement);(t.d.í mannfjøld) commotion(t.d.his speech caused a good deal of commotion in the audience); turbulence(t.d.the turbulence of the meeting); turmoil(t.d.industrial turmoil);enn var órógv og óskil í landinumthe country still carried mark of unrest and disorder;hon hevur verið í órógv allan daginshe had been agitated all day long, she had felt restless all day long;órógv kemur á hannhe feels anxious;hetta tosið loypti órógv í hannthis conversation made him nervous;ein farri av órógv var í eygunumthere was a hint of anxiety in his//her eyes
órógva	disquiet, alarm, cause unrest, disturb, interrupt, interfere with, trouble;órógva eindisturb sby;eg lætst ikki um vón, fyri ikki at órógva teirI concealed/hid my feelings so that they shouldn't be alarmed;órógvastbe anxious; take fright, be frightened/scared;fólk vóru farin at órógvast í stórumpeople had begun to be seriously anxious
órógvan	disturbance, interruption; síeis.ónáð
órógvasamur	síóróligur
órógvin	síóróligur;tey eru so merkiliga órógvin og uppøst í dagthey are strangely troubled and agitated today
óróligur	1restless, jumpy, fidgety;sita óróligurfidget2(óttafullur) troubled(t.d.troubled about his long absence); anxious(t.d.anxious relatives of the passengers); worried(t.d.about John's failure to appear); uneasy (in one's mind)(t.d.don't be uneasy on that score); perturbed, disturbed in one's mind; not quite happy(t.d.I am not quite happy about that cough of yours); (ógvisligari) alarmed(t.d.alarmed at the prospect of meeting him)3[íyms.samb.]óróligir dreymartroubled dreams;blív ikki óróligur!don't be alarmed!, do not upset yourself!, don't worry!;órólig nátta restless/disturbed/broken night;vera óróligurworry, be worried;(eis.)fidget(t.d.don't fidget!);vera óróligur um e-nbe anxious/uneasy about sby(t.d.I am anxious about my boy because I have not heard from him for a long time); be anxious for sby(t.d.I am anxious for my boy because he is mixing with bad company); worry about sby(t.d.don't worry about him); síeis.stúra,stúrinogófriðarligur
órudd	1rubbish, trash, junk, mess;eg orkaði ikki at síggja alt óruddiðit was too much for me to see the trash lie about2untidy person;hann er eitt ræðuligt óruddhe is an untidy person
órudda	bring disorder into something(t.d.a room), make untidy;tey órudda so illathey are so untidy;hatta liggur og óruddarthat thing is lying about being a nuisance
óruddiligur	1untidy, littered, covered with litter, in a mess, messy;húsini eru óruddiligthe house is a mess;eitt óruddiligt skriviborða cluttered desk;eitt óruddiligt kamaran untidy room; (um rúm)vera óruddiligtbe cluttered2dishonest (t.d.he was a dishonest man)
órundur	(málfr.)unrounded(t.d.vowel);" i" og " e" eru órund sjálvljóð"i" and "e" are unrounded vowels
órusl	rubbish, junk, trash, lumber;alt óruslið er í kjallaranumall the lumber has been stored in the basement
órusla	1rubbish, junk, trash,ikki komandi inn um gáttina fyri órusluone can hardly enter the house for trash which lies about everywhere2rough sea; óruslaí sjónumrough sea
óruslurúm	lumber room;skipskisturnar stóðu í einum stórum óruslurúmithe sea-chests had been stored in a large lumber room
órusta	(kvæð.)dispute, quarrel, clash; fight, combat, battle;tú vart staddur í órustumyou participated in battles;órustan millum pápan og bróðurinthe dispute between one's father and his brother
órúm	disorder, untidiness; a thing which lies aboutel.takes up a lot of room, lumber, rubbish, junk;standa/vera til órúmstake up space
óryggiligur1	1disorderly, disarranged, shabby, of shabby appearance2depraved, vicious, profligate, dissolute, licentious, loose;liva óryggiligt lívlead a loose/vicious/dissolute life;oyða ognina burtur í óryggiligum levnaðisquander one's property with riotous living
óryggiligur2	1incontestable, incontrovertible(t.d.facts); indisputable; unquestionable; unchallengeable, unimpeachable;tað er óryggiligt atit is beyond dispute that, there is no question whether, there can be no doubt that,it is beyond doubt that; óryggiligurveruleikian incontrovertible fact2[sumhj]óryggiliga;prógva óryggiliga atprove irrefutably that
óryggjuskapur	depravity, viciousness, profligacy, dissoluteness, licentiousness, loose living
óræddiliga	easily, fearlessly, without being ashamed to do it;tú kanst óræddiliga taka meiri fyri taðyou can easily charge more for it;hesum kunnu tygum óræddiliga trúgvayou can rely on it
óræddur	fearless, intrepid, undaunted, dauntless, unafraid;Ábal kom óræddur oman av heygnumÁbal walked fearlessly down the hill
órætta	wrong, do wrong to, injure; órættae-nwrong sby;nevna eingi nøvn fyri ikki at órætta nakranmention no names in order not to wrong anybody
órættan	wrong, injustice, unfairness;ein tíð full av órættan og mannminkana time full of injustice and degradation
órættargerð	unjustified act, an act of injustice, an injustice
órættferð	(bíbl.)injustice
órættiligur	dishonest, dishonourable, unjust;hann var órættiligur maður og ránakendurhe was a dishonest and thievish man;tann, sum er órættiligur í tí minsta, er eisini órættiligur í stórumhe who is dishonest in small things is also dishonest in important (great) things;hjórættiliga
órættur1	wrong(t.d.the difference between right and wrong); injustice, unfairness;av/við órættumdeceitfully;Føroyar vórðu við órættum drignar inn undir donsku grundlóginait was a wrongful act to incorporated the Faroes into the Danish constitution;ilt at døma um rætt ella órætt í hesum máliit is difficult to express an opinion on what is right and what is wrong in this case;gera e-m órættwrong sby(t.d.he thought she had done it, but he wronged her); do an injustice to sby, do sby an injustice
órættur2	1wrong, incorrect, erroneous, false, unjust(t.daction; judge; person; sentence); unfair(t.d.treatment); iniquitous(t.d.system); wrongful;(serst. átr.)unrighteous; honkallaði hetta ein ómildan og órættan dóm shecalled it a severe and unjust sentence2bent, crooked
órættvísi	injustice(t.d.commit an injustice);(bíbl.)unrighteousness;teir stóru og klóku fóru fram við órættvísi og harðskapithe governing circles ruled unfairly and brutally
órættvísur	unjust(t.d.action; judge; person; sentence); unfair(t.d.treatment); iniquitous(t.d.system); wrongful; unfair, inequitable;(serst. átr.)unrighteous; órættvísurdómuran unjust sentence
órættvorðin	abnormal, mentally deficient, unnatural; órættvorðinatferðabnormal behaviour
órøðiligur	(stb.)síóróðrarligur
órøðuligur	(stb., sj.)síórøðiligur
órøkin	slack, negligent, remiss, careless(t.d.he is remiss in his work, he neglects/scamps his work)
órøkis-	síórøkju-
órøkiskapur	síórøkjuskapur
órøkja1	1(plfr.)lousewort(Pedicularis)2careless, slovenly woman, slut, slattern3(skaldsk.)neglect, lack ofel.want of care, negligence, remissness, carelessness, laxness;av órøkju landið í vanda er stattthe country is in a economic mess because of negligence
órøkja2	neglect, be slack, carelessorremiss, be negligent; órøkjaburturallow sth to go/run to waste;einki skuldi órøkjast ella spillast burturnothing was allowed to be wasted because of neglect
órøkjugras	(plfr.)marsh lousewort
órøkjukleppur	síórøkjuvætti
órøkjukroppur	síórøkjuvætti
órøkjuskapur	neglect, lack ofel.want of care, negligence, remissness, carelessness, laxness; órøkjuskapurtekur tað, hann færneglect has a voracious appetite it takes all that it can catch hold of
órøkjutur	síórøkin
órøkjuvætti	disorderly, carelessel.negligent person
órøkjuætt	(plfr.)the figwort family(Scrophulariaceae)
órøkkandi	unobtainable, unreachable; irrecoverable(t.d.mortgage payments which have to be crossed off as irrecoverable);órøkkandi fíggjarkrøvirrecoverable debts
órøkt	neglect, lack ofel.want of care, negligence, remissness, carelessness, laxness; fall into disrepair, become dilapidated;garðurin lá í órøktthe farm had fallen into disrepair
órøktaður	(um livandi) slovenly(t.d.appearance); untidy(t.d.appearance; dress; person); neglected(t.d.appearance; beard); untrimmed(t.d.beard; finger nails); scruffy(t.d.appearance; clothes);seyðurin er órøktaðurthe sheep are neglected, the sheep suffer from neglect
órøktur	neglected, untended;órøkt jørðthe land lay waste;kirkjugarðurin er órøkturthe churchyard is neglected
órørdur	1(óávirkaður) unmoved(t.d.by entreaties); unaffected(t.d.unaffected by his threats; the factory is unaffected by the strike); indifferent(avto)(t.d.he is indifferent to flattery);hann var órørdur av tilburðinumhe was unmoved by the incident2untouched, not spentel.not used;órørdur av mannahondumuntouched by human hand(s);peningajáttanin er órørdthe grant has not been touched/spent3calm, smooth as a mirror, mirror-like, glassy(t.d.lake);ein skundisligur floti fór um stillu, órørdu tjørninaa fast fleet sailed across the glassy pond (toy ships)
órørligur	immovable, inflexible;(tlm.)unbudging; órørligurog hulisligurinflexible and mysterious
ósabressa	(dýr.)no common name(Neoascia tenur)
