kabarett	cabaret, show
komandi	coming(t.d.events); future;komandi og farandithe comers and goers;komandi ár (o.s.fr.)next year (etc.), the coming year (etc.);í komandi árumin the next few years; in the years to come;í komandi tíðum(hiðan) from now on; (eitt bil) for some time to come; (í framtíðini) in future;komandi ættircoming(el.future) generations; generations to come
kombikk	1three-spined stickleback(Gasterosteus aculeatus)2(stb.)trout fly
kombikki	(gl.,fisk.)síkombikk
kombikkja	(fisk., stb.)trout fly
kombikkur	(fisk., stb.)síkombikkja
kombikshylur	pond with sticklebacks in it
kombum	síkambur
komedia	1(gamansleikur, eis.fl.m.)comedy;tað var ein ordilig komediait was as good as a play;spæla komediuact, play; (látast) be play-acting; put on an act; (sjónleikur) play,fara á el. til komediugo to a play;(fl.m. eis.)pantomime(t.d.how long will the Powers go on with this pantomime?)2(hóvasták) row, shindy3(glantrileikur) shamming, play-acting, humbug, charade; bluff;tað er tann bera komedia (eis.)it is mere pretence
komers	1fun,gera komershave fun, lark2(rok) hubbub, row, to-do
komfýrur	kitchen range, cooking-stove
-komi	síav-
komiligt	í osb: har er komiligt it is a comfortable (, cosy, cheerful) place
koming	arrival;vera í kominghave just begun (to come),regn og stormur vóru í komingrain and storm had just begun
komingardagur	síkomudagur
-komingur	síný-
komiti	(til matna) head of guillemot
komma	comma
kommandantur	commandant
kommaseting	(málfr.)punctuation; the placing of commas
kommersiell gjøld	(handilsm.) commercial payments
kommoda	chest of drawers;(am.)bureau, dresser; (í listídnaði) commode
kommoduskuffa	drawer
kommuna	municipality, municipality borough(t.d.the Faroes are divided into many municipalities); local authority; district;verða yvirtikið av kommununibe taken over by the local authority (ofta: by the council);í starvi hjá kommununiappointed by the council;Kommunan(í París 1871) the Commune
kommunalpolitikkari	local politician
kommunalpolitikkur	local politics
kommunalur	local authority; council(t.d.houses, schools); (um sóknarstýri) parochial, parish, local;kommunalur embætismaðurlocal government officer;kommunalir pengarmunicipal money;kommunalur raksturmunicipal management;kommunal starvsfólk(the) local government employees;kommunalt stuðlaðurrate-supported;kommunalt sjúkrahúsmunicipal (, city) hospital, local authority hospital
kommunisma	(stjm.)Communism
kommunistaflokkur	(stjm.)the Communist Party
kommunistiskur	(stjm.)Communist(ic)
kommunistur	(stjm.)Communist;(niðr. tlm.)commy
kommunu	1- 1district; (um ávísar býir) borough; city; council2(sóknar-) parish3(staðbundin) local(GG:neyv týðing er ikki altíð gjørlig)
kommunuarbeiðari	council worker
kommunufíggjarlóg	municipal (, local) budget
kommunukassameistari	municipal treasurer
kommunukassi	Municipal Treasurer's Department
kommunulittur	mousy(t.d.hair), (with) mouse-coloured (hair), mous(e)y-blonde, dish-water blond
kommunulóg	(lóg um kommunur) Local Government Act; (lokal lóg) bye-law
kommunulækni	general practitioner,(st):GP; borough (, city) medical officer
kommunumaður	council worker
kommunusjúkrahús	district general hospital
kommunuskattur	local taxation; (í Ongl.) council tax; (íam.býum) city taxes
kommunuskrivari	clerk of the council; (í býi) (deputy) town clerk
kommunuskrivstova	local government officesflt
kommunuskúli	(skúlam.)(publicly maintained) school;(ofta =)local school;(am.)public school
kommunustýri	local government; municipal(el.local) council, local authorities; (í einum city) city council; (úti á bygd) local council; (sóknarstýrieis.)parish council;kommunustýrið (tlm.)the City Fathers
kommunuumsiting	local administration
kommunuval	local government(el.municipal) election(s); local election(s)
kommunuvatn	water; tap water
kommunuverkfrøðingur	municipal (, borough) engineer
-komna	full-
komponera	compose
kompost	sísankutøð
kompressari	compressor
komputur	(gl.) í osb: komput torv[turf which easily falls to pieces]
komudagur	day of arrival
komuhøll	arrival hall;(flúgv. eis.)arrival lounge
komumaður	visitor, a new arrival
komuprógv	notice of delivery
komustaður	place of arrival
komutíð	time of arrival
kona	1woman2married woman,ung (nýgift) konanewly married woman(el.wife)3wife(t.d.she was a good wife to him; she will make you a good wife; The Merry Wives of Windsor; he had a son by his first wife),maður og konahusband and wife;hava konu og børnhave a wife and family;heilsa konuniremember me to Mrs Smith(o.tíl.);(millum skyldfólk) remember me to your wife,Sremember me to the wife4(húsmóðir) housewife, mistress of the house
kondi(sjón)	sívenjing
kondittari	confectioner (t.d.hewas trained as a confectioner)
konfekt	(svarar til)(assorted) chocolates;hatta er dupult konfektit is a tautology, it is the same thing twice over
konfirmantur	confirmand; (frammanundan) candidate for confirmation; (eftir) newly confirmed person
konfirmatión	1(kirkj.)confirmation(t.d.prepare for confirmation =ganga til);borgaralig konfirmation[civil ceremony instead of confirmation in church]2(veistla í sambandi v. 1) confirmation (dinner)
konfirmera	(kirkj.)confirm,verða konfirmeraðurbe confirmed
konfirmering	síferming2
kongabomm	aniseed lozenges
kongabók	(bíbl.)fyrra og seinna kongabók first (, second) Book of the Kings; I. (, II.) Kings
kongabræv	(til hjúnaband) special licence;(viðv.framíhjárætti) Royal Charter; (tá ið dómarar og onnur verða útnevnd) letters patentflt;loysa kongabrævget a special licence;giftast við kongabrævibe married by special licence
kongadeyði	(Suð.)í osb: tað er sum kongadeyði extremely seldom, very rarely
kongadóttir	síkongsdóttir
kongadýr	(dýr.)síkongalús
kongadømi	1(land) kingdom2(stjórnarskipanarlag) monarchy
kongafinna	(talv)king's pawn
kongafiskur	(fisk.)Norway haddock, rose fish(Sebastes marinus)
kongahandil	Royal trade
kongakrúna	síkongskrúna
kongakyn	dynasty, Royal house descent
kongaligur	síkongligur
kongaljós	Epiphany candle
kongalundi	(stb., fugl.)white puffin(albino)
kongapar	King and Queen;(serl. am.)royal couple
kongarað	list of kings(GG:we had to learn the English kings)
kongaríki	kingdom(t.d.the Kingdom of Denmark), monarchy(t.d.Denmark is a monarchy)
kongaróp	loud cry, clamour
kongasinnaður	royalist(ic);tey kongasinnaðuthe royalists
kongasonur	síkongssonur
kongastavur	síkongsstavur
kongastólur	throne; (í kirkju) royal pew
kongatrúgvur	loyal
kongavatn	(evnafr.)aqua regia
kongaørn	(fugl.)golden eagle(Aquila chrysaetos)(Linnaeus, 1758)©iStock
kongligur	royal(t.d.the Royal Navy, the Royal Air Force); regal;(fl.m.)royal, regal, kingly(t.d.a kingly gift); kinglike(t.d.a kinglike gesture);tey kongliguthe royal family; royalty;kongliga blóðiðthe blood royal;konglig dýrdroyal(el.regal) state;kongligRoyal decree; (í Onglandi) Order-in-Council;kongligur gestura royal visitor;hansara kongliga hátignHis Royal Highness, HRH;veitari til kongliga hoviðpurveyor to His (, Her) Majesty(el.to the Court);kongliga húsiðthe royal family(el.house);kongligur persónura royalty;konglig útnevning (, útnevndur)appointment (, appointed) under the Royal Seal
kongruensur	1(støddfr.)congruence, allíki2samsvar
kongruentur	sísamsvarandi
kongs	síkongsjørð
kongsboð	royal command
kongsborg	royal castle, royal palace
kongsborin	born to be a king
kongsbóndi	King's yeoman [copyholder of land in public ownership (formerly the Crown's); landed property]
kongsbræv	(gl.)royal decree
kongsbygd	[village the land of which is (almost) entirely Royal]
kongsbøur	[infield belonging to a Royal copyhold]
kongsdóttir	king's daughter, princess
kongsdráp	regicide
kongsdrápsmaður	regicide
kongsdømi	1(land) kingdom2(ríkisskipan) monarchy
kongsevni	1pretender (to a throne); crown prince;(fl.m. eis.)heir apparent2quality suitable for a king
kongsfelagsskapur	union of crowns, personal union
kongsfestari	royal copyholder
kongsfesti	royal copyhold, copyhold of land in public ownership
kongsfirvaldur	(firv.)convolvulus hawk-moth(Agrius convolvuli)© Wikimedia Commons
kongsfrúgv	Queen Consort
kongsgarður	royal seat, royal castle, the King's estate, royal estate
kongsgóðs	royal property, landed property belonging to the public
kongshagi	outfield belonging to a copyhold farm
kongshirð	court
kongshjún	king and queen
kongshús	1royal farmhouse2royal house(el.family), dynasty;oldenborgska kongshúsiðthe House of Oldenburg
kongshúski	royal family;limur í kongshúskinum (eis.)a royalty
kongsjørð	Royal land, Crown land(s), land in public ownership
kongskrúna	royal crown
kongsleiga	rent of a royal copyhold
kongsljómari	(fugl.)palla's leaf warbler(Phylloscopus proregulus)(Pallas, 1817)©Dave Curtis
kongslógin	1[the Danish constitution of 1665]2[the Danish Act of Succession]
kongsmaður	1síkongsbóndi 22housecarl, retainer
kongsmóðir	king's mother; (einkjudrotningin) Queen Mother
kongsmørk	mørk (q.v.) of Royal land
kongsnavn	hann læt nú geva sær kongsnavn he then appointed himself king
kongsríki	kingdom, monarchy
kongsseyður	[sheep belonging to a copyhold farm]
kongsskip	(skip.)royal yacht
kongsskrivari	(the King's) private secretary
kongsskrivstova	cabinet secretariat; (í Ongl.) (the) Cabinet Office
kongssonur	King's son, prince
kongsstavur	sceptre
kongsstova	[farmhous belonging to a King's yeoman]
kongssæti	1(trúna) royal throne2(bústaður) royal residence
kongstanki	great idea;hansara kongstanki (eis.)the great idea that inspired him
kongstign	royal dignity; the Throne, the Crown
kongstíggjund	(sø.)king's tithe(s)
kongstíggjunda	(sø.)king's tithe
kongsvald	royal power; monarchy;kongsvaldið(í grundlógini) the Crown;avmarkað kongsvaldconstitutional(el.limited) monarchy
kongsvaldur	(sø.)nominated by the Crown
kongsveldi	síkongsvald
kongsviður	[driftwood which goes to the Crown]
kongsvrak	síkongsviður
kongsætt	dynasty, royal house;av kongsættof royal descent
kongul	1small piece of turf2(plfr.)cone
konguligur	síkongligur
kongulskertil	(likam.)pineal gland (Corpus pineale)
kongulvág	síkongurvág
kongur1	1king(t.d.the King of Norway);kongur dýrannathe king of beasts;harri kongur!Sire!;teir tríggir heilagu kongarnirthe Magi;deyði kongs (løgfr.)the demise of the Crown;kongur Kongannathe King of kings;kongur livi!long live the King! (skál) gentlemen, the King!;kongur er deyður, kongur livi!the King is dead, long live the King!kongur yvirking of;tá ið hann hevði sovið, var hann sum kongurin afturwhen he had lsept he was fit as a fiddle;fara undir kong1(sø.)become government property2(fl.m.)lose everything, be ruined2(talv)king,leggja kongin (fl.m.)give it up; give up the struggle;(tlm.)throw in the towel; throw in one's hand3(kortsp.) spaðar (, rútar o.s.fr.) kongurthe king of spades (, diamondso.s.fr.)4(í keylum) kingpin
kongur2	1eyebolt, piton2staple, iron cramp, cramp iron; iron hook
kongur3	1tarsal bone,linur í kongunumweak at the knees;stívur í kongunumwith stiff joints;kasta kongar(a game played with the tarsal bones of cattle)2first phalanx, large pastern bone (Phalangs I); the longest joint in fingers and toes
kongurlakkur	(bíbl.)spider
kongurvág	cobweb, spider's web
konjak	brandy; cognac
konjunkturafturgongd	recession; downturn, downswing, downtrend; (economic) decline
konjunkturarbeiðsloysi	cyclical unemployment
konjunkturgransking	research into trade cycles
konjunkturpolitikkur	conjunctural policy, short-term economic policy
konjunkturskeið	business cycle
konjunktursveiggj	cyclical fluctuations, cyclical movement; the ups and downs of the trade cycle; fluctuations in the state of trade; market fluctutations; price fluctutations, fluctuation of prices
konjunkturtreytaður	conditioned by the state of the market; dependent on prices; cyclical;konjunkturtreytað arbeiðsloysicyclical unemployment;konjunkturtreytaðir (lønar)sáttmálarcost-of-living sliding scale (wage) agreements
konjunkturur	state of the market, trade outlook;konjunkturar (eis.)trade conditions, market trends;fallandi konjunkturardownward tendency (of the market), downswing, recession;góðir konjunkturarprosperity, boom; favourable trade conditions; a sellers' market;konjunkturarnir eru góðirtrade is flourishing; there is a boom;hækkandi konjunkturarrising (el.upward) tendency (of the market), upswing;við teimum konjunkturum ið nú eruin the present state of the market;ringir konjunkturarthe trade depression, the slump
konjunkturvinningur	profit owing to fluctuations of the market
konsert	1concert; (við støkum listafólki) recital;hava eina koncertgive a concert (, a recital);spæla til konsertgive a concert;vera á konsertbe at a concert2(kompositión) concerto
konservatisma	(stjm.)conservatism; (flokspolitisk) Conservatism; (í Ongl.eis.)Toryism
konservativur	1(tlm.)conservative;(lækn.) konservativ viðgerðconservative treatment2(stjm.)(um politiskan flokk) Conservative;ein konservativura Conservative; (í Ongl.eis.)a Tory;teir konservativu, konservativi flokkurinthe Conservatives; (í Ongl.eis.)the Tories;atkvøða konservativtvote Conservative;,,Konservativur Ungdómur"the Young Conservative Association, the Young Conservatives
konservator	sísavnsvørður
konservatorium	sítónlistaháskúli
konservera	(matvøra) preserve;konserveraðurin (a state of) preservation;væl konserveraðurwell preserved;síniðursjóða 2(varðveita fornlut) preserve; (umvæla) restore;sívarðveita
konservering	1(food) preservation; síniðursjóðing2preservation;sívarðveiting; restoration
konserveringsevni	síhaldevni
konserveringsháttur	method of preservation
konserves	sídósamatur,blikkamatur
konservesglas	síniðursjóðingarglas
konservesverksmiðja	síniðursjóðingarvirki
konsignantur	sísendari
konsignatarur	símóttakari
konsignatión	sívørusending;avhending
konsignera	sísenda(vøru til umboðssølu)
konsistensur	consistency(t.d. the bacon had cooled to the consistency of leather); texture(t.d.of cheese);sí eis.tættleiki;tjúkt
konsistorium	sísetursráð
konsolidera	sítryggja,styrkja
konsonantur	síhjáljóð
konsortium	sífelagsskapur;samtak
konspirasjón	sísamansvørjing
konstantur	(støddfr., alisfr.)constant(t.d.arbitrary constant; a logical constant; thermal constants)
konstatera	sístaðfesta
konstensafeitt	(cup) grease
konsul	consul;heiðurs konsulhonorary consul;útsendur (el. løntur) konsulcareer consul, service consul
konsulát	1(starvið, embætistíð) consulship2(skrivstova) consulate;á konsulátinumat the consulate
konsuláthjálp	consular assistance
konsulátpass	consular passport
konsuláttænasta	consular service
konsulsavgjald	consular fee
konsulsmyndugleiki	consular authority
konta	1(handilsm.)account, a/c; (viðskiftakonta) account;(am.)charge account2[ísamb. viðs]broytakontuedit account;gerakontu uppbalance an account;gjalda(rinda) à kontupay on account;góðskrivaupphædd á eins kontucredit sby's account with an amount; credit an amount to sby's account;havakontu hjáhave(el.keep) an account with;krediteraeins kontuplace to the credit of sby's account;skuldskrivakontudebit an account, charge to an account;stovnakontuopen an account;stovnakonto hjáopen an account with;kontanvísirthe account stands at3[ísamb. viðl]fingeraðkontapro forma account;opinkontaopen account;leypandi kontacurrent account;livandikonturpersonal accounts;persónligkontapersonal account;yvirtrektkontaoverdrawn account4[ísamb. viðfs]avritavkontustatement of account;gjalda av á kontupay (off) on an account;inn/út av kontutransfer in/out;innskot á kontudeposit on account;úttøka av kontuwithdrawal from account;ákontuon account;flyting á kontutransfer to account;seta á eins kontuplace to sby's account;á ta kontu (fl.m.)on that score;á kontuni standa £250the account stands at(el.shows a surplus of) £250;upphæddin stendur á hansara kontuthe amount stands to his account;føra á kontuenter into an account;vilja tygum hava tað á kontu?do you want it entered(el.charged);;hava kontuhjáhave an account with;kontaíbankaaccount in(el.with) a bank(GG:my account is at Barclays);sambært kontuaccording to account, as per account;kontatilútreiðslurdisbursement(s) account;konta til ymistsundries account;
kontakt	(ravm.)switch
kontantautomat	cash dispensing machine, cash dispenser;Shole-in-the-wall;(am.)(automatic (, automated)) teller machine, (automatic) teller
kontantavsláttur	cash discount
kontantgjald	cash payment
kontantkeyp	cash purchase
kontantlán	cash loan
kontantprísur	cash price
kontantsøla	cash sale
kontantur	1(in) cash;(fl.m. o.s.fr.)regular; hard(t.d.information); concrete(t.d.proof, proposal); straightforward(t.d.question); no-nonsense(t.d.approach); (um fólkeis.)matter-of-fact; (jarðbundin) down-to-earth;hann er ógvuliga kontantur (eis.)there is no nonsense about him; (ítøkiligur) tangible, solid;kontant gjaldcash payment;kontant endurgjald (trygg.)indemnity paid in cash;kontant ella kort?cash or card?;netto kontantnet cash;kontant sølacash sale;kontantar útreiðslurout-of-pocket expenses2[ísamb.viðs]gjalda (, rinda) kontantpay (in) cash; pay cash down;keypa kontantbuy for cash;selja kontantsell for cash (in) cash;(fl.m. o.s.fr.)regular; hard(t.d.information); concrete(t.d.proof, proposal); straightforward(t.d.question); no-nonsense(t.d.approach); (um fólkeis.)matter-of-fact; (jarðbundin) down-to-earth;hann er ógvuliga kontantur (eis.)there is no nonsense about him; (ítøkiligur) tangible, solid;kontant gjaldcash payment;kontant endurgjald (trygg.)indemnity paid in cash;kontant ella kort?cash or card?;netto kontantnet cash;kontant sølacash sale;kontantar útreiðslurout-of-pocket expenses
kontantvinningur	cash profit
konto	síkonta
kontortafura	(plfr.)Douglas Pine(Pinus contorta)
kontrabók	(bankakontrabók) passbook; (í handli) shopping book
kontrárigur	(tlm.)obstinate
kontuavrit	(bú.)extract(el.statement) of account;kontuavrit tann 30/12statement of account closed December 31.
kontuhavi	account holder, holder of an account; customer (of a banko.tíl.)
kontuheiti	account
kontukort	ledger card; (tá ið keypt verður av kontu) credit card, account card
kontukurant	current account
kontukurantskuld	current account debt
kontulæsing	(bú.)blocking(el.freezing) of accounts
kontunummar	account number
kontuplan	síkontuætlan
kontuviðskiftafólk	credit customer
kontuyvirlit	bank statement (t.d.she receives her bank statement per e-mail);account statement (t.d.he received an account statement from the bank yesterday)
kontuætlan	(bú.)classification(el.code) of accounts; chart of accounts; (ESeis.)(budgetary) nomenclature
konubátur	(in Greenland) uniak, woman's boat
konubelti	a woman's belt,(orðt.) tað hanga ikki allir lyklar við eitt konubelti[one person is not endowed with all the deeds]
konubrot	capable woman, hard-working woman
konubróðir	(gl.)brother of one's wife, brother-in-law
konubróst	female breast
konufólk	woman(fltwomen);konufólk og børn fyrstwomen and children first!;renna eftir konufólkirun after women; women(folk), ladies; (toilett)konufólkLadies;ógift konufólksingle(el.unmarried) woman;(løgfr.og annars mest um eldri) spinster
konufólkaarbeiði	(sum sømir seg konufólki) woman's work; (uttan fyri heimið) female labour; women's work
konufólkablað	women's(el.ladies') magazine
konufólkabúni	female dress(el.attire)
konufólkadygd	female(el.womanly) virtue
konufólkaeydna	attractiveness(el.fascination) for women, sex appeal;hava konufólkaeydnu (eis.)have a way with women
konufólkafrisør	ladies' hairdresser
konufólkahond	1woman's hand2í osb: her treingir til eina konufólkahondthis place needs a loving hand
konufólkahugur	erotic desire, lust
konufólkakápa	lady's coat
konufólkaklæði	female dress, woman's dress, women's clothes; (sum menn ganga í)Sdrag(t.d.a man in drag)
konufólkaknútur	granny knot
konufólkaleikpartur	woman's part
konufólkaligur	(um mannfólk) feminine(t.d.there is sth feminine about him); effeminate
konufólkalókur	skirt-chaser, ladykiller, womaniser; chaser
konufólkaløn	women's wages
konufólkamegin	(kirkj., gl.)on the woman's side
konufólkanavn	woman's name, girl's name
konufólkanálgur	skirt-chaser, ladykiller, womaniser; chaser
konufólkaplagg	piece of ladies' clothing
konufólkaráð	woman's advice (, councel)
konufólkarevur	skirt-chaser, ladykiller, womaniser; chaser
konufólkarødd	female voice, woman's voice
konufólkasaðil	side saddle
konufólkasíða	(í blað) women's page
konufólkasjúka	(stb.)menstruation;(tlm.)periods; monthlies, the curse
konufólkaskapilsi	female form
konufólkaskógvur	lady's shoe
konufólkaskraddari	ladies' tailor, costumier
konufólkasúkkla	lady's (bi)cycle
konufólkataska	handbag
konufólkatekki	attractiveness(el.fascination) for women, sex appeal;hava konufólkatekki (eis.)have a way with women
konufólkatroyggja	[knitted jersey forming part of the Faroese woman's national costume]
konufólkatølari	lady-killer
konufólkaveður	í osb: hetta er ikki konufólkaveður it is not the weather for women to travel in
konufólkaveitsla	ladies' party,(tlm.)henparty
konufólkaverður	woman's portion
konufólkavesi	(í sambandi við matstovur ofta) cloakroom(t.d.ladies' cloakroom);(el.amr.:) ladies' room;(serl. am.)powder room;Sjane;vita tygum hvar konufólkavesið er? (eis.)do you know the geography of the house?(GG:let me show you the geography of the house)
konugildi	1ladies' party,(tlm.)henparty2vera í konugildibe in the company of a domineering woman; be slightly henpecked
konugleði	síkonufólkaætt
konuklæði(r)	(gl.) síkonufólkaklæði(r)
konuknútur	síkonufólkaknútur
konuleysur	without a wife, who is a widower
konulig	matronly; with feminine characteristics
konumaður	í osb: góður/ringur konumaður good (bad, poor) husband
konungslisti	Civil List
konungur	(kvæð.)síkongur
konuráð	women's plans, women's counsel
konusessur	(spæl)í osb: reisa seg upp úr konusessi[get up while clasping one's knees with folded hands]
konustykki	(stb.)símjóryggur
konusystir	sister of one's wife, sister-in-law
konutíð	(period of) pregnancy
konutjóvur	lover(t.d.he is her lover); (nógv yngri elskari hjá eldri konu) toy boy
konuætt	(stb.)síkonufólkaætt
konvertera	(handilsm., teld.)convert(tilinto);(ríkisskuld eis.)refund(t.d.a public debt)
konvoy	convoy(t.d.act as convoy to the ships);í (el. undir) konvoyunder convoy
kopar	(evnafr.)copper
koparáslag	copper mounting; (á skipumo.s.fr.)copper sheathing
koparbrúdleyp	[12½ years' wedding anniversary]
kopardólgur	(gl., stb.)kopardólgar copper money, coppers
kopareitran	(lækn.)copper poisoning
koparhavin	coppery, cupreous
koparketil	copper (kettle)
koparklæða	sheathe with copper, copper
koparleggja	síkoparklæða
koparlittur	1copper colour2(máling) cupreous paint
koparmálmur	copper ore
koparormur	(bíbl.)serpent of brass
koparoyra	copper (coin)
koparprent	1(mynd) copperprint2copperplate (printing)
koparreyður	copper-coloured, brick-red;koparreytt hárcoppery(-red) hair
koparrør	copper pipe, copper tube;lodda koparrørsolder copper pipes
koparsmiður	coppersmith
koparsnípa	(fugl.)síreyðspógvi
koparstunga	copperplate, copper;(ofta =)print; (listin) copper engraving
koparstungusavn	collection of prints; (á listasavni) printroom
kopartalva	1copper tablet2copperplate illustration
kopartráður	copper wire
koparøld	1(fornfr.)copper age2(viðv.gudalæru) brazen age
kopekur	(bú.)kopeck, copeck
kopla	(tøkn.)couple;kopla íclutch;kopla úrslip; declutch; depress the clutch
kopling	1coupling(t.d.electric coupler (, coupling))2(í akfari) clutch;stilla koplinginaadjust the clutch;trýsta á koplinginaslip(el.let) in the clutch;sleppa koplinginideclutch, disengage the clutch, depress the clutch pedal3(millum jarnbreytarvagnar) coupler, draw gear;(am.)draft gear, coupler
koppa1	1vaccinate; inoculate (fyri against);(ofta =)immunize(t.d.against diphtheria)2cup
koppa2	(serl. sjóm.)capsize, turn over(t.d.a big wave turned the boat over),báturin koppaðithe boat capsized;(onnur samb.)turn over(t.d.the car turned over; the lamp was turned over)
koppabarn	(gl.)[child who got cow's milk instead of its mother's milk]
koppablóð	(lækn.,gl.)í osb: taka e-m av koppablóði el. taka koppablóð bleed someone (with the help of cups or cupping-glasses)
koppapar	cup and saucer
koppaprógv	(lækn.)vaccination certificate
koppar	(lækn.)smallpox;(lækn.)variola
koppaskál	saucer
koppavágur	síkoppingarevni
kopphyggin	who watches closely, notices something carefully
kopping	(lækn.)vaccination
koppingarevni	(lækn.)vaccine; (serum) serum
koppseta	1(lækn.)vaccinate (against smallpox); inoculate (fyri against);(ofta =)immunize(t.d.against diphtheria;verða koppsetturget vaccinated; be vaccinated (fyri against)2cup
koppseting	1vaccination (against smallpox)2cupping
koppsíggin	síkopphyggin,ikki ert tú koppsígginyou are not a good observer
koppur	1(at drekka úr) cup2(sum mát) cupful3(gl.)(blood) cup (, cupping-glass),seta sær á koppumplace cupping glasses (for drawing off blood)4(stn.)small dip (, depression, hollow); very small valley5(stb.)dimple6(stb.)cleft(el.dimple) in the chin, a cleft chin7winch; warping end
kopra	copperplate, coat with copper
kor	1(valmøguleiki) choice, option,onnur korini eru tey, at eg stevni tykkumthe other option is that I charge you;hjá honum eru eingi onnur korhe has no other choice;(tilt.) eingi orð, eingi kor(he accepted) unconditional(ly)2(treytir) condition, term(t.d.accept his terms), stipulation, provision, leggja góð kor viðpresent favourable conditions (for sth); present a good opportunity (of(el.for) doing sth); show good potential (for sth);lagalig koreasy terms;upp á ávís koron certain conditions3(umstøður) conditions, circumstancesflt; (t.d.the circumstances of his early upbringing; children who spend their formative years in such circumstances); condition(s)(t.d.the condition of the working classes, the human condition); environment(t.d.juvenile crime is often due to a bad environment);hava góð korbe well off, be in comfortable circumstances; have a sound economic basis;liva undir trongum korumbe in straitened(el.needyel.indigent) circumstances;fólk ið liva undir trongum korumpeople of slender means
kora	(sj.)choose
koral	(tónl.)chorale;blása eina koralsound a choral(e)
koralbók	(tónl.)choral book
koralldýr	(dýr.)anthozoon(Anthozoa)
korallfiskur	(dýr.)coral fish
korallgrein	coral branch
koralloyggj	coral island; atoll
korallreyður	coral
korallriv	coral reef(t.d.the Great Barrier Reef)
koralltari	(plfr.)common coral weed(Corallina officinalis)
korallur	(dýr.)chorale
koran	(átr.)Koranin the Koran
koráldýr	(dýr.)síkoralldýr
korálur	(dýr.)síkorallur
korða	(light) sword, rapier; (til fikting) foil, épée
korði	síkorða
korðuvongur	(Suð.)sísteyrvongur;armurin hongur í korðuvongi[person with a broken arm]
korðvongur	síkorðuvongur
Korea	(sern.) (landafr.)Korea
Koreakríggj	the Korean War
koreani	Korean
koreanskur	Korean
korenna	currant
korennukøka	currant cake
koreografera	choreograph
koreografi	choreography
koreografiskur	choreographic
koreografur	choreographer
Korint	(sern.) (landafr.)Corinth
korka1	(stb., sj.)síkorki
korka2	dye with [korki]
korkagingin	covered withkorki
korkagrót	stone covered withkorki
korkahegri	(fugl.)purple heron(Ardea purpurea)(Linnaeus, 1758)©iStock
korkajarn	1iron tool for scraping offkorki2(niðr.)blunt knife
korkaknetti	(sj.)síkorkaleivur
korkaknívur	(sj.)blunt knife for scraping offkorki
korkaleivur	lump ofkorki;hann rodnaði sum ein korkaleivurhe blushed scarlet
korkalitaður	dyed withkorki
korkalittur	purple; scarlet
korkalitur	dye purple; dye scarlet
korkaljómi	(sj.)síkorkalitur
korkanálga	(sj., stb.)gadabout
korkareyður	fiery red, burning red, scarlet
korkaroði	(sj.)korkaroðin spríkti út um meg I blushed (, flushed, turned red)
korkaskotin	covered withkorki
korkavaksin	covered withkorki
korkavongur	(dýr.)beautiful golden y(Autographa pulchrina)
korki	1[species of lichen(Lecanora tartarea)from which cudbear or purple dye is made(Ochrolechia tartarea)]2dye purple; dye scarlet
korn	1corn, grain, cereal(s);(am.)grain, cereal(s);(tilt.) hava tað sum hønan í korninumbe in clover; be on velvet;velta korngrow corn2(grýn) grain, granule3(gl.)barley4(fruktel.fræ ið líkist korni) seed;sinnopskornmustard seed5(bitil, øgn) grain, small pellets;sandkorngrain of sand
kornaks	ear of corn
kornast	(um korn) seed
kornár	corn year, year for corn;gott kornára good year for corn
kornbendil	[strap of hay for binding a sheaf of corn]
kornbing	bin for (keeping) corn
kornbláur	cerulean
kornblóma	(plfr.)cornflower(Centaurea)©iStock
kornbóndi	grain grower
kornbrennivín	corn spirits, corn brandy
kornbundi	sheaf (of corn)
kornbøur	corn field, grain field
kornetandi	granivorous
kornfarmur	cargo of grain
kornfóður	grain feed; (ES) cereal foodstuffs
korngarður	rickyard
korngás	(fugl.)Greater White-fronted Goose(Anser albifrons flavirostris)(Dalgety & Scott, P, 1948)©iStock
korngildi	harvest festival, harvest home
korngoymsla	granary; silo
korngrøði	grain crop, cereal crop
korngulur	[the colour of ripe corn]
kornhandil	corn(el.grainel.cereal) trade
kornkamar	granary
kornkendur	cereal, frumentaceous;(eis. lækn.)granular
kornlendi	corn land, area under grain
kornløða	barn (for storing grain)
kornmark	(landafr.)cereal limit; limit of grain cultivation
kornmál	grain measure
kornmylna	grain mill
kornnál	sprout (, shoot) of corn
kornneyð	shortage of corn
kornpláss	grain-growing district
kornposi	grain sack
kornprísur	price of corn(el.grain)
kornrúm	(on millstone) [space for the corn round the eye]
kornsáða	cereal bransflt
kornskurður	1corn(el.grain) harvest2(sum heystað varðeis.)corn(el.grain) crop
kornslag	species of grain, cereal
kornspurvur	(fugl.)corn bunting(Emberiza calandra)(Linnaeus, 1758)©iStock
kornstrá	straw, cornstalk
kornteigur	small corn field
korntíð	(stb., sj.)corn harvesting time
korntíggjund	(sø.)tithe of corn
korntunna	barrel of corn
kornturking	grain-drying
korntættur	grain-tight
kornutur	granular, grainy
kornvelta	corn field, grain field
kornvelting	corn growing, grain cultivation
kornvøkstur	síkorngrøði,kornvørurflt cereals
korona	(lækn.)corona
korpurálur	(herm.)corporal
korsett	corset; staysflt; (styttri) girdle;binda eitt korsettlace a corset
