V1	1rómverskt taltekn fyri 52(st.)volt
vetrarsvøvnur	winter sleep
vetrartíð	winter, winter time;á vetrartíðin winter
vetrartjaldur	(fugl.)oyster catcher which winters in the Faroes
vetrartyngd	(lækn.)seasonal affective disorder;líða av vetrartyngdsuffer from seasonal affective disorder
vetrarveður	winter weather; (vetrarkent) wintry weather
vetrarvindur	winter wind
vetrarvist	1winter quarters;hann hevði vetrarvist hjá beiggjanumhe was staying with his brother during the winter2(dýr.)wintering area
vetringskvíga	yearling calforheifer
vetringur	yearling heifer
vettlingur	(stb.)vettlingar child's woollen mittens
vetur	1winter;fyri veturinfor the winter(t.d.shelter cattle for the winter);allan veturin á tambthroughout the winter; all through the winter;harður/ringur vetura hard/severe winter;í vetur1this winter,tað hevur verið nógvur kavi í veturthere has been much snow this winter2next winter3(fjørvetur) last winter;á hávetriin the heart/depth of winter, in mid-winter;tann blái veturdead of winter;veturin 1947in the winter of 1947;lýggjur vetura mild winter;á vetriin (the) winter, during (the) winter, in (the) winter time;um veturinin (the) winter, during (the) winter, in (the) winter time;á miðjum vetri/á hávetriin the depth of winter; in the middle of the winter; in mid-winter;sum blómar á vetriwinter-flowering(t.d.plants);allan veturinthroughout the winter(GG:it will not last the winter);veturin nærkastwinter is at hand; winter is nearly upon us;vera í Italia um veturinspend the winter in Italy; winter in Italy;veturin kom tíðliga tað árið(the) winter set in early that year;tað sæst vetur á seyðinumthe sheep have become lean/thin;sum tú sært væl út, tað sæst ikki vetur á tæryou carry your years well;hann mundi neyvan fara at liva veturin avit was not likely that he would last the winter;(tilt.) tað er sum summar og veturit is like night and day;á vetriin the winter;tað kavaði ikki á vetrinumthere was no snow that winter;seyðirnir høvdu loyst seg undir vetur,síloysa25;koma undan vetrisurvive/pull through/make it through the winter2(kvæð.)year;bíða vil eg í sjey veturI'll wait (for you) for seven years
veturfrælsi	sívetrarfrælsi
veturgamal	one year old, year-old, a year old, of one year; veturgamalseyður//hesturyear-old sheep//a yearling;veturgomul jørðsoil one year after it was cultivated
veturgrønur	(plfr.)evergreen;veturgrønar fleiráraurtirevergreen perennial plants
veturnátt	1winter(`s) night2veturnæturthe date from the beginning of winter (14 October)
veturnáttadagur	
veturnáttaterri	spell of dry weather around 14 October
veturnætur	síveturnátt2
veturseta	(sø.)winter quarters;hava vetursetu í Føroyumhave winter quarters in the Faroes
veva	weave; vevateppiweave a carpet
vevari	weaver
vevavrik	(teld)web performance; eis.netavrik
vevdúkur	material, stuff, clothing, frieze, homespun
veviligur	(handarb.)easy to weave
veving	weaving
vevingarvirki	weaving mill; textile factory; (til pløgg) cloth mill
vevja	1coil, wind (up), twist, twine;hann vevur línuna um træiðhe wound up the fishing line round the stick;vevja onglarsírøra42mix;allir litirnir vóru av vætuni vavdir hvør um annanthe wetness had caused all the colours to be smeared out;vevja samanmix together;tey vavdu hetta evnið út í vín og góvu tí sjúka sum heilivágthey stirred the drug into wine and gave the patient it as medicine3vevja seg uppíinterfere with/in(t.d.don't interfere with what doesn't concern you);(niðr.)meddle in(t.d.meddle in other people's business);Spoke one's nose into;verða vavdur uppí okkurtbe involved in sth(t.d.be involved in an affair); be drawn into sth(t.d.be drawn into a war); be implicated in sth(t.d.many persons are implicated in the scandal);alt vavdi hann seg upp íhe always interfered in people's affairs;hann var vavdur upp í eina njósnaragøluhe was implicated in a spy scandal;hann hevur hug at vevjast uppi í øllum í sennhe's inclined to do everything at once4(stb.) vevja niðursítraðka15maunder, twaddle, drool, ramble, waffle (on), talk nonsense; vevjaupp í samantalk nonsense, repeat sth ad nauseam
vevjari	1(dýr.)tortricid, leaf roller(Tortricidae)2(í jarn- og metalídnaði) winder
vevjing	winding, binding, wrapping;(sigl.)lashing, seizing, binding(t.d.on a hockey stick);(ravm.)winding(s), coil(s);leggja vevjing um enda (sigl.)point a rope
vevkona	(female) weaver;vevkonan var í vevinum tíðliga og seintthe weaver wove from early morning till late at night
vevkonuknútur	weaver's hitchel.knot
vevkynstur	skill atel.in weaving;nógv verður gjørt til at fremja vevkynstriða considerable effort has been made to promote the skill at weaving
vevlist	(art of) weaving;framsýning av vevlistan exehibition of (the art of) weaving
vevlína	(sigl.)ratline
vevmaður	weaver
vevmáting	(teld) web measure;samskipað vevmátingcoordinated web measure
vevmoyggj	defect in the texture
vevmyndatól	(teld)webcam
vevnaðarbygnaður	(lívfr.)tissue structure
vevnaðardyrking	(lívfr.)tissue culture
vevnaðarflot	(lívfr.)tissue fluid
vevnaðarflutningur	(lækn.)transplantation
vevnaðarfrøði	histology
vevnaðarfrøðiligur	histologic(al)
vevnaðarfrøðingur	histologist
vevnaðargerð	(lívfr.)tissue formation, histogenesis
vevnaðargranskari	histologist
vevnaðargreining	(lívfr.)tissue typing
vevnaðarlutur	(lívfr.)componentel.constituent part of tissue
vevnaðarpot	(lækn.)biopsy, sample tissue
vevnaðarsambæri	(lækn.)tissue compatibility, histocompatibility
vevnaðarslag	tissue type, type of tissue
vevnaður	1weaving2texture, woven fabric, tissue, web, textiles, drapery;teir søgdu seg duga at veva tann fagrasta vevnað, ið hugsast kannthey said that they were capable of weaving the most beautiful texture imaginable3(lívfr.)tissue(t.d.organic tissue; cellular tissue);bindivevnaðurconnective tissue;fluttur vevnaðurtransplantate, graft;vøddavevnaðurmuscular tissue
vevni	sívevnaður
vevsíða	(teld)website
vevskeið1	(in weaving) reed
vevskeið2	course in weaving
vevskúli	(skúlam.)weaving school
vevsniðgáva	(teld.)web design
vevstaður	1loom;hon hevði ikki havt tíð at sita við vevstaðin2(teld.)web site
vevstjóri	(teld)webmaster
vevstova	weaving workshop
vevstólur	loom
vevur	1yarn, thread (used for weaving)2woven cloth, homespun produced at one weaving3loom;fara í vevinbegin to weave;hon sat í vevinumshe was weaving
video-	sísjónbands-
við	1(um stað, of a place) near, close to sth, by;húsini standa við gøtunathe houses stand by the road;hon situr við borðiðshe is sitting at table;niðri við sjógvindown by the sea;nær við landnear land;við komfýrinby the stove;har lógu nes við nesthere was a range of promontories2(ísamb.við ávís bygdarnøvn, in connection with certain village names);við Gjógv;við Gøtugjógv; við Ljósá; við Norðskálaat (the village of) Gjógv, Gøtugjógvetc3(um rørslu ávísan vegel.fram við ávísum stað; of movements in a certain directionorpast a certain place)vit fóru niðan við ánniwe followed the brook upwards;vit sigla norður við landinumwe are sailing north along the coast;menninir fara oman við húsunumthe men are walking downwards past the houses4(um tíð, of time) at, towards, at the same time; viðta tíðat the time;við byrjan at øldiniat the beginning of the century;við tað samaat once, immediately;við hvørtnow and then, sometimes, now and again, occasionally, off and on, at intervals, from time to time;hann batnaði við árunumhe improved with (the) years;við tíðiniin time(t.d.in time you will forget); in the course of time(t.d.in the course of time he grew more tolerant); eventually(t.d.it will settle itself eventualy)(GG:time heals);hesin siður festi rót við tíðinithis custom took gradually root;við degnumat (the) break of day, at dawn, at daybreak;so við og viðgradually5(sum avleiðing av e-m, í sambandi við; as a result of sth, in connection with),hon fall við fyrsta skotiðit fell at the first shot;hon hvepti seg við skurðinshe started/jumped when she cut herself;hon læði viðshe laughed at it6(saman við; together with, along with)við foreldrunumwith her//his parents;hann hevði etið eina máltíð saman við hennihe had had a meal with her;fylgjast við e-mgo/walk together, accompany each other;dansa við e-mdance with sby;hann var við skipinumhe belonged to the ship's crew;(eis.)he was a passenger;hann sigldi við norðmonnumhe (had) signed on as a sailor on Norwegian cargo ship;(kvæð.) hann reið við fimtan sveinarhe rode out with fifteen men7(um samanburð, by way of comparison)søgan kann líknast við ein langan vegthe story can be compared with a long road;hann metti seg javnt við allar sínar javnaldrarhe considered himself equal to all men//boys his age8(viðvíkjandi, í sambandi við; relating to, in connection with sth);hvussu verður við tí?well, what about it?;nú fer at vera nóg mikið við hasumwe have had enough of that;hvussu er vorðið við børnunumhow are the children;tað gekst væl við fyritøkunithe firm prospered;tí helt hann skjótt uppat viðhe soon stopped doing it;eingin fann svik við honumno one could put his finger on him9(um amboð sum e-t verður gjørt við; of toolsorprocess by means of which something is made or done)teir royna við botntrolithey are fishing with bottom trawl;útróður við árabátumfishing from rowing boats;teir komu við bátthey came by boat;hann fór í skúla við súkkluhe went to school on a bike;hon fór til arbeiðis við bussishe went to work by bus10(of a personsoritem who//which has a particular qualityorcharacteristic);ein tunna við vínia barrel of wine;knívur við skaftia knife with a handle;eskja við lokia box with a lid;hon er vøkur við svørtum eygumshe is pretty with black eyes;eini hjún við fýra børnuma married couple with four children;við tungum hugi setti hon fótin á landshe was sad when she stepped ashore;við harmimournful;(kvæð.) við miklari reiðiin a fury;við æruwith honour11(um háttel.máta hvussu e-t fer fram; describing how something is executed)ofta varð farið fram við harðskapithey often resorted to force;hann sat við sama laghe was still sitting there;við hetta laglike this;við gleði og gleimin a merry mood;eta við góðan hugeat with a good appetite;sita við turran munn(be) without food or drink;øll svara aftur sum við ein munnthey were all in agreement12(um gerðel. tíl.ið er vend ímóti e-m; of an action which is directed towards sby or sth)eg eri góður við hanaI love her;raka við e-ncatch sight of sby//sth, see sby//sth;bera eyga við e-ncatch sight of sby//sth, see sby//sth;hann segði tað við meghe told me;tey vildu ikki tosa við megthey wouldn't speak to me;vit vóru beinasamir við hannwe helped him;eg bardist við hannI fought him;hann hevði eisini samanbrestir við aðrar mennhe had also quarrels with other men;hann fæst við tílíkt arbeiðihe has such a work13(í sambandi við boðshátt; in connection with the imperative mood);tig við tær!shut up!;gakk av stað við tær!clear out!, scram!, hop it!, beat it!14[sumhj] too, also, and so is//was;summarið leið og heystið viðthe summer was over and so was the autumn;eg hugsi so viðI think you are right;tað haldi eg viðI think so too15[ísamb.viðs]komast viðrecognize;lata við seg komabe influenced by;meina viðbe of the opinion;raka viðsee, catch sight of, encounter;rakna viðcome to, recover consciousness;royna við; skemta við;styðja seg/styðjast við; svørja við; taka við; vakna við;sísagnorðinisumleitorð16[ísamb.viðhj]afturviðwith one's:eta breyð aftur við drekkanumhave a sandwich with one's tea;framviðalong:ganga fram við ánniwalk along the brook;innivið: binda e-t inni við seg sjálvanbrood on sth;uppivið: hann hevur tað uppi við seg, at ...he has that special quality that;útivið: teir fingu úti við fimm túsund pundthey had caught almost five thousand pounds of fish;potturin er úti við kókingthe pot is on the point of boiling
viðaður	(of timber) with grain that makes it easy//difficult to split
viðafturbiðin	[(fisherman) asked to sign on for the next fishing trip (by the skipper)]
viðar	íosb.sumsól til viðar ferthe sun is setting, síviður13
viðarbulur	bole of a tree, trunk of a tree
viðarbuttur	wooden chockorblock
viðarbørkur	bark of a tree
Viðareiði	(stn.)village on the island of Viðoy;á//av Viðareiðiat//from (the village of) Viðareiði;til Viðareiðisto (the village of) Viðareiði
viðarfarmur	timber cargo;(am.)lumber cargo
viðargarður	fence; (livandi) (quickset) hedge, hedgerow, quickset
viðargrein	branch of a tree
viðarhøggari	woodcutter, lumberjack, lumberman
viðarkendur	woody, treelike
viðarklædningur	boarding, panelling, planking
viðarkol	charcoal
viðarkubbi	stump (of a tree)
viðarlund	plantation, grove
viðarmaðkur	(dýr.)piddock(Zirfaea, Pholas)
viðarmeyk	1(lívrunnið evni í kyknuveggi) cellulose2(viðurin) pulpwood, wood pulp
viðarskip	(sigl.)ship with a timber cargo
viðarskógur	wood, forest
viðarskógvur	(sj.)síviðarskógur
viðarsprek	small piece of wood
viðartítlingur	(fugl.)tree pipit(Anthus trivialis)(Linnaeus, 1758)Anthus trivialis ©Wikimedia Commons
viðartrot	timber shortage;ofta var viðartrotthere was often a shortage of timber
viðarvongur	(dýr.)sword-gras(Xylena exsoleta)
viðarvøkstur	(plfr.) woody plants (flt)
viðarøks	felling axe, woodman's axe
viða- síviðar-	
viðbaravís	síviðburðarvís
viðbenda	(plfr.)ivy(Hedera helix)
viðbendil	(plfr.)síviðbenda
viðbenduklæddur	ivied(t.d.walls); ivy-clad, ivy-mantled
viðbenduviður	ivy vine
viðberaflati	surface of contact, tangent surface, interface
viðberakurva	(stfr.)tangent curve
viðberapunkt	(stfr.)point of contact
viðberarás	(stfr.)tangent curve
viðberastrika	(stfr.)tangent curve
viðberavinkul	(stfr.)[the angle between two tangents from a point to a circle]
viðberavís	síviðburðarvís
viðberi	1(stfr.)tangent2(tónl.)key
viðbering	1excuse, pretext, pretence; evasion, prevarication, equivocation;hava e-t til viðberingarexcuse oneself on the score/plea that(t.d.one is busy); plead that(GG:on the score of illness; on the plea of being too busy);hava sum viðbering fyri sleppa sær undan e-mmake excuses, hedge; (fyri at sleppa undan at taka greiða støðu) quibble, equivocate, resort to subterfuges, dodge/evade the issue2(at nerta við) contact, touch; tangence
viðberingarpunkt	point of contact, tangential point
viðbót	1addition(t.d.to one's income), (til løninaeis.)bonus(t.d.the current apprentice rate, including bonus)2(evnafr.)excipient
viðbótartilløga	(løgfr.)additionalel.supplementary clause, rider, annex(e), additional provision (til skjal)
viðbragd	1reaction, quickorsudden movement, reflex movement, start, twitch, jerk;treytað viðbragdconditioned reflex;hann gjørdi eitt viðbragd, tá ið hann kendi sviðanhe jumped/started when he felt the pain;eg var alt ov seinur í viðbragdinumI was too slow to react;hann var á fótum í einum viðbragdihe jumped up;hann var kvikligur í viðbrøgdumhe was a quick worker; (andliga) he was quick-witted;kalvin gjørdi eitt viðbragdthe halibut made a sudden jerk2case, instance;tað skal í hesum viðbragdi ikki fatast so, at ...in this case it should not be understood the way that...;í sama viðbragdiat the same moment, in the same instant; at the/that very moment
viðbragdsskjótur	quick, quick of the mark
viðbragð	síviðbragd
viðbrá	síviðbragd
viðbrekin	1delicate, weak, infirm, fragile, not strong, unable to bear hard treatment, oppositionoradversity; (um sinniðeis.)sensitive(t.d.a sensitive mind), emotional(t.d.he has an emotional nature);hetta kríatúrið er so viðbrekið til heilsunathis animal has a poor health;urtin er viðbrekin fyri veðrithe plant is sensitive to weather (to coldo.tíl); eingin kann skemta við hann, tí sinni hansara er so viðbrekið(illsintur, snarsintur) you can't make jokes about him because he's mercurial/quick tempered;ein viðbrekin sálan emotional nature2ticklish(t.d.a ticklish business); (torførur) delicate(t.d.a delicate task); touchy(t.d.touchy items like welfare)(GG:this matter is a hot potato);ein viðbrekin spurninguran awkward question;eitt viðbrekið evnia touchy subject
viðburðar-	episodic; episodical
viðburðarkendur	episodic; episodical
viðburðarvís	pretended, feigned, make-believe, make a show of doing sth(t.d.of defending oneself//of being angry);hann segði, hvussu ringur hann var av gikt, men hetta var alt bert viðburðarvís, tí rætta orsøkin var letihe said that he suffered from rheumatism but it was prentense because what he actually suffered from was laziness
viðburður	1(at nerta við) contact, touch; tangence2excuse, pretext, pretence, plea;hava sum viðburð fyri sleppa sær undan e-mmake excuses, hedge; (fyri at sleppa undan at taka greiða støðu) quibble, equivocate, resort to subterfuges, dodge/evade the issue3good fortune, luck, prosperity, success(GG:at last he had a break);viðburður og mótburðurgood and bad fortune, prosperity and adversity;(tlm.)ups and downs4(sj.)event, occurrence, incident, episode;tilfallandi viðburðurit was a sheer accident;hann sigur frá einum viðburðihe recounts an event
viðbyrgi	síviðurbyrgi
viðbøting	síumbøting
viðeiriligur	tractable, manageable, amenable (to reason), easy to get on with; reasonable; (tíðum) co-operative(t.d.I found the British delegation very co-operative); nice, kind, decent, easy to deal with, easy to get on with, manageable;ein viðeiriligur maðura decent man
viðfang	moment, instant;í sama viðfangiat the very moment that; immediately; directly(t.d.directly he saw me I fired at him);hann kendi í sama viðfangi sín egna hesthe immediately recognized his own horse;í tí viðfangiin that connection;í hesum sama viðfangi skal eg minna á ...in this context I wish to call your attention to ...
viðfarast	happen to, occur to;alt tað, honum var viðfaristall that which had happened to him
viðfarin	1væl//illa viðfarinwell//badly treated, well//badly handled;bilurin er illa viðfarinthe car is in a bad/poor state of repair;hann varð illa viðfarin av sínum egnuhis own treated him badly2illa viðfarin av sjúkuworn out/exhausted after the disease
viðfaring	(sj.)treatment;fáa góða//ringa viðfaringbe treated well//badly;teir góvu honum óvirðiliga viðfaringhe was subjected to indignities
viðfáningur	trifle, trivial matter, work of no consequence;fuglaveiðan er nú bara viðfáningurbird cacthing is today a hobby if anything;útróðurin er einki uttan ein viðfáningurfishing from open boats is of no importance any longer
viðfeingin	(lækn., sj.)infectious, contagious;tuberklasjúkan er so skaðilig, so sníkjandi og viðfeingintuberculosis is pernicious, insidious and infectious
viðferð	1treatment;fáa góða//ringa viðferð frá/av e-mbe treated well//badly by sby;teir fingu ringa viðferðthey were treated badly;geva e-m góða//ringa viðferðtreat sby well//badly2(sigl.)bolt rope3(stb.)haveel.bring with one, (a piece, a bit, a lot of, a little) luggage on a journey;teir drukku av fløskuni, teir høvdu í viðferðthey were drinking out of/from the bottle which they had brought with them
viðfesti	(teld) attachment
viðfestur	attached (t.d.please complete the attached form)
viðføddur	hereditary(t.d.diseases), congenital(t.d.deafness; idiocy; phlegm; syphilis; congenital criminal tendencies); innate(t.d.ideas), inborn, native, inbred, natural(t.d.abilities; capacity; charm; gifts; rights; talent);viðføddir eginleikar (lívfr.)inherited/hereditary characteristics;viðføddar gávurnatural gifts;viðføtt heilsubrekcongenital delicate (state of) health
viðføra	1síviðføri2(stb.)síviðferð2
viðføri	1luggage;hava nógv//lítið í viðføri (við sær)have/bring with one a piece of//a lot of//little luggage2(sj., stb.) eg skal í hesum viðføri nevna konu, sum...allow me in this connection to mention a woman who...; síviðfang
viðføring	síviðferð2
viðføringur	síviðføri
viðførisberi	(á bili) luggage rack, roof rack; (á súkklu) (luggage) carrier
viðførisrúm	luggage compartment; (í bilieis.)boot;(am.)trunk
viðføristrygging	(trygg.)luggage insurance
viðførligur	(sj.)handy, easy to handle
viðførningur	(sj.)síviðføri
viðførur	(gl.)síviðførligur
viðganga	admit, acknowledge, own; confess, ackowledge;hann viðgekk at hann hevði stoliðhe admitted that he had stolen;teir hava viðgingið seg sekarthey have pleaded guilty to the charge;viðganga at ein er farin skeivuradmit that one has made a mistake, acknowledge/confess to a mistake;eg má viðganga, at býttur er hann ikkiI will say that for him that he is no fool; to do him justice, he is no fool
viðgangur	1(kvæð.)refrain, chorus2(sj.)good fortune, luck, prosperity, success(GG:at last he had a break);viðburður og mótburðurgood and bad fortune, prosperity and adversity;(tlm.)ups and downs;viðgangur og mótgangurgood and bad fortune
viðgera	1treat(t.d.he treated it as a joke)2(lækn.)treat(t.d.treat his rheumatism)3(taka upp til viðgerðar) treat(t.d.he has treated this subject in a book), deal with4(til umrøðu) discuss5(løgfr.)try, hear(t.d.the case will be heard in a fortnight)6(lógaruppskot) read7(snúgva seg um) deal with(t.d.the book deals with the social question)8(arbeiði) prepare(t.d.leather); work up(t.d.materials); process(t.d.leather; crude oil; data)9(umsóknir, punkt á dagsskránnio.tíl.)consider(t.d.we will consider your application at our next meeting);viðgera búgvadminister an estate
viðgerð	1processing, preparation; viðgerðav fiskifish processing;við góðari viðgerðwell manufactured, well prepared;vandalig viðgerðthorough preparation/overhauling, intensive study2treatment;allir gestir fingu góða viðgerð hjá okkumwe treated all our guests well3(lækn.)treatment;vera í viðgerðundergo a treatment4(lógaruppskot) reading;hesi viðurskifti hava verið til viðgerðarthis matter has been under discussion, has been debated(t.d.when the proposal was being debated); have been read;(am.)have been up before(t.d.the bill is up before Congress);fyrsta//onnur//triðja viðgerð av lógaruppskotithe first//second//third reading of a Bill;málið er til viðgerðar (løgfr.)the case is/remains pending/pendent,(t.d. eis.the lawsuit remains pendent)
viðgerðar-	-ár, -dagur, -háttur, -heim, -lag, -maður, -spurningur, -stova, -støð
viðgerðarbólkur	treatment group
viðgerðarháttur	1treatment;(lækn. eis.)therapy2(val av viðgerðarhátti;lækn.)treatment option
viðgerðarheim	[boarding school for maladjusted children]; síeis.viðgerðarstøð
viðgerðarstøð	1treatment centre2(oljuv.)processing facility
viðgerðarútbúnaður	processing facilities
viðgerði	síviðurgerði
viðgeri	therapist; treater; caseworker, social worker
viðgita-	excellent, splendid, first-class, superior;viðgitamaðuran excellent man
viðgitin	1well-known, famous, renowned, celebrated (for);hann er viðgitin fyri styrkihe was well-known for his physical strength;haðan er komin ein tann viðgitnasta ætt føroyingaone of the most illustrious Faroese family descended from there2excellent, wonderful, splendid, marvellous;ein viðgitin bóndian excellent farmer
viðgongueykasetningur	(málfr.)concessive clause
viðgongusambindingarorð	(málfr.)concessive conjunction
viðgongutíð	(lívfr.)pregnancy, period of pregnancy
viðhald	1agreement, support, acceptance, accord(eis. t.d.his views were accepted);rætturin gav honum viðhaldthe court upheld his contention;ikki geva (e-m) viðhaldrefuse to acknowledge2(sj.)maintenance, upkeep, keeping in repair
viðhaldsfólk	backer, supporter
viðhaldskvinna	fellow partisan, backer, supporter
viðhaldsmaður	fellow partisan, backer, supporter,Jóannes Patursson og viðhaldsmenn hansaraJóannes Patursson and his supporters
viðhangin	liable to cling or hang on (to);hegranum var fiskieydnan so viðhangin, at hevði útróðrarmaður bert ein fót av honum við sær, so var veiðan vissthe heron was supposed to have such eminent luck at catching fish that it was believed that a fisherman who brought with him a foot of it would catch a lot of fish
viðhvørt	sometimes, occasionally, now and then, from time to time;tað hendir viðhvørtit sometimes happens
viðing	(plfr.)annualel.year ring, growth ring
viðja	1(plfr.)juniper branch (in turf soil)2(plfr.)osier, willow (tree)
viðjutræ	(sj.)osier, willow;vaksi, vaksi viðjutræ bæði væl og leingi(í skjaldri)
viðjuætt	(plfr.)willow family
viðkennast	admit, own (up to), acknowledge, confess; recognize;skalt tú tá ei viðkennast Jesus
viðkenning	confession (of sins)
viðkensla	(sj.)sympathy(t.d.express one's sympathy with sby);fáa viðkenslu viðtake pity on;hava viðkenslu viðfeel (sympathy) for, sympathize with, be sorry for, feel with;vit høvdu djúpa viðkenslu við teimumour hearts went out to them;hav viðkenslu við mær!take pity on me!
viðkomandi	the personel.persons concerned; the partyel.parties concerned; the interested partyel.parties; the relevant partyel.parties; he (, him, they, themo.tíl.); viðkomandi, sum fær starvið, skal ...the person who gets the job must...;venda sær til rætta viðkomandiapply in the proper quarter; apply to those whom it concerns
viðkvæmi	1(sum verður ávirkaður av uttanumstøðum) sensitivity, sensitiveness2(viðkvæmið sinnalag) sensitivity, sensitiveness; sensibility
viðkvæmur	1(ávirkaður av uttanumstøðum) sensitive;viðkvæmur fyri kuldasensitive to cold2(viðkvæmið sinnalag) sensitive, emotional, sympathetic;hann er viðkvæmurhe has an emotional nature/a sensitive mind, he is a sensitive soul3awkward; ticklish(t.d.a ticklish business); (torførur) delicate(t.d.a delicate task); touchy(t.d.touchy items like welfare)(GG:this matter is a hot potato);ein viðkvæmur spurninguran awkward question;eitt viðkvæmt evnia touchy subject
viðleikari	(ítr.)fellow player,team mate(t.d.he paid no regard to his fellow players); (i tenniso.tíl.)partner; (í kortum) partner;viðspælararnir (eis.)the other players
viðlíkahald	maintenance(t.d.of a car//of roads); upkeep(t.d.the upkeep of a car//a large house//a road);gamal bilur er dýrur í viðlíkahaldithe running costs of an old car are high;fullgott viðlíkahald av ídnaðarvirkinumthe proper maintenance of the plant
viðmerking	(orðing) remark, observation; (atfinningarsom) reflection, comment(t.d.you asked for comments onthe new proposals);gera viðmerkingar til e-tcomment on sth, make remarks about sth, remark upon sth;hann bað um orðið til eina stutta viðmerkinghe asked to be permitted to make a short statement, he asked to be allowed to say a few words
viðmerkja	remark, observe, mention, state; comment(t.d.teacherscommented that childrenof allabilities wouldbenefit);her er vert at viðmerkja, at ...it is worth noting/it deserves notice/it should be noted that...
viðmerkjari	commentator(t.d.commentators noted that the demonstration was part of a wider strategy)
viðmæla	recommend;eg viðmælti málinum sum bestI can sincerely/warmly recommend the matter;eg mæli til at vit bíðaI recommend waiting;viðmæla at hon fær starviðrecommend her for the job
viðmæli	recommendation;hann gav henni sítt besta viðmælihe sincerely/warmly recommend her for...;bestu viðmæli(í lýsing) highest references;vilt tú geva mær eitt viðmæli?will you be so kind as to give me a reference?
viðmælisbræv	letter of recommendation
viðmælisskriv	letter of recommendation
viðnæmur	í teimum árum, tá ið sálin er viðnæm during the years when one has a sensitive soul; síviðkvæmur
Viðoy	(stn.)the island of Viðoy;Viðoyggin, í//úr Viðoynni
viðoyingur	person from the island of Viðoy
viðra	(of weather) beorbecome sufficiently fine (for undertaking a journey, starting a joborthe like);um viðrarweather permitting,(sigl.)wind and weather permitting;tá ið viðrarwhen the weather is right for it;um viðrar verður túnadansur í annaðkvøldweather permitting there is going to be a street dance tomorrow evening
-viðrað	sídimm-,javn-,klár-
-viðraður	sísam-
viðraking	observation, discovery, finding out, detection
viðraknaður	sírakna(við)
viðrakning	(lækn.)recovery, awakening
viðrakningardeild	(á sjúkrahúsi) recovery ward
viðrakningarstova	(á sjúkrahúsi) recovery room
viðrakningartíð	(lækn.)arousalel.emergenceel.recovery time
viðrák	favourableorfollowing current;vit høvdu viðrákwe had favourable current;teir fingu viðrák norðureftirthey had favourable current during their sailing north
-viðri1	t.d.góð-,klár-,sam-
-viðri2	síær-
viðseting	1breeding, keeping for breeding(t.d.of horses and cattle)2(sigl.)síviðferð23(málfr.)attribut
viðsetingardýr	(landb.)breeder
viðsetingarførur	strong enough to be kept for breeding;ærin var ikki viðsetingarførthe ewe was not strong enough to be kept for breeding
viðsetingarkálvur	calf kept for breeding
viðsettur	1(um dýr, of animal) kept for breeding;kálvurin var viðsetturthe calf was kept for breeding2(málfr.)attributive;viðsett lýsingarorðattributive adjective; síseta(við)
viðsetukálvur	síviðsetingarkálvur
viðsetumaður	(bjarg.)síviðsitingarmaður
viðsitingarmaður	(bjarg.)man who is responsible for the top end of the rope (while the bird catcher is on the cliffs)
viðskerabreyð	[slices of bread and butter covered with meat, cheeseetc] (tíðum) an open sandwich
viðskerabúð	(uml.)porkbutcher's delicatessen (shop)
viðskerafrúgv	(uml.)sandwich maid, sandwich maker
viðskeri	1charcuterie; cold cuts (t.d.she had bread with cold cuts for lunch);cold meat; filling (for sandwichesetc)2(fl.m.)drawback, inconvenience, disadvantage;viðskeri er við øllumthere is a snag about/in it; there is a catch in it;tað man vera ein viðskeri við títhere is, no doubt, a catch in it;tú fært viðskeran aftur við tíyou'll pay for this
viðskiftaambætaraáskrift	client service address
viðskiftaambætaraportur	client service port
viðskiftaambætari	client server
viðskiftafólk	customer,(flt eis.)clientele;gerast viðskiftafólk hjá Xgive one's custom to X; begin to shop at X's;fast viðskiftafólkregular customer;hissini viðskiftafólkchance/occasional customer;útvega sær viðskiftafólkattract customers, draw custom;besta viðskiftafólk okkaraour biggest/largest customer;vera viðskiftafólk hjá Smithshop at Smith's, patronize Smith, give one's custom to Smith;vera viðskiftafólk í handlideal at a shop, patronize a shop
viðskiftagjald	transaction charge; transacation fee
viðskiftaskipan	subscription system; eis.haldaraskipan
viðskiftastjóri	account manager
viðskiftastova	Faroese governmental office abroad;føroyska viðskiftastovan í Keypmannahavnthe Faroese Governmental Office in Copenhagen
viðskiftatelda	(teld)client computer, client machine
viðskifti	trade, trading
viðskurður	strong reaction, violent outburst, vehement response, replyoranswer; burst/gust of anger;gera ein viðskurðreact strongly;skera í ein viðskurðburst out;tá ið læknin skar í meg, gjørdi eg ein øgiligan viðskurðI burst out when the doctor cut me
viðspæl	síleika11
viðspælari	team mate
viðstaddur	present; síhjástaddur
viðstreymur	favourableorfollowing current;hava viðstreymhave favourable current
viðstøða	1duration2(trygg.)term
viðsveiggj	(alisfr.)resonance
viðtaka	adopt(t.d.a resolution, a proposal); decide(t.d.to go on with the scheme); síeis.samtykkja,avgera,áseta
viðtal	1conversation, talk;(t.d.í útvarpi) interview;í viðtali við blaðið sigur hann...in an interview with the paper he says...2consultation
viðtala	consultation; (læknavitjan) visit;læknin hevur viðtalu frá kl. 9surgery hours start at 9 o'clock a.m.
viðtalsrúm	síviðtalurúm
viðtalsstova	síviðtalurúm
viðtalstíð	síviðtalutíð
viðtalurúm	consulting room, surgery;(am.)office
