t.	(st.)hour
trúlovan	sítrúloving
trúlovilsi	sítrúloving
trúloving	engagement, betrothal; trúlovingvar í teirri tíðini nærum tað sama sum hjúnabandat the time an engagement was almost the same as a marriage
trúlovingargáva	engagement present
trúlovingarringur	engagement ring
trúlovingarveitsla	[party held in celebration of an engagement]
trúloysi	faithlessness, perfidy, perfidiousness, treachery
trúlyndaður	faithful, loyal
trúlyndi	faithfullness, loyalty, fidelity
trúlyndur	faithful, loyal
trúmál	sítrúarmál
trúmikil	believing(t.d.a believing Christian);eg eri ein sera trúmikil maðurI believe very strongly in God
trúnaðarábending	confidential indication
trúnaðarboð	message as confidential
trúnaðareiður	(sø.)oath of allegiance, (til lensharra, to a feudal overlord) oath of fealty;tegnar kongsins á tingi skulu svørja kongi trúnaðareiðthe King's subjects who were Members of the Parliament had to swear fealty to the King
trúnaðarkona	(one's) confidante
trúnaðarligur	confidential, heart-to-heart(t.d.a trúnaðarligur conversation);tey løgdu seg inn yvir borðið og tosaðu trúnaðarliga samanthey leaned forward across the table and had a heart-to-heart/an intimate talk/a confidential conversation
trúnaðarmaður	(one's) confidant
trúnaðarstemplaður	(um skjal) classified
trúnaðarsveinur	(speis.)íosb.sumtú ert tann trúnaðarsveinur, ið eryou are not to be relied on, one cannot rely on you
trúnaðartal	confidential conversationortalk
trúnaðartáta	1someone one depends on blindly2pet, darling, apple of one's eye(t.d.she is the apple of his eye; he cherishes her like the apple of his eye);hon var trúnaðartátan hjá abbanum og ommunishe was the pet of her grandparents
trúnaðartreytir	við trúnaðartreytuma solemn declaration;skriva undir við trúnaðartreytumsign after a solemn declaration
trúnaðarvinur	intimate friend
trúnaður	faithfulness, loyalty; trust, confidence
trúnar-	sítrúnaðar-
trúni	sítrúnaður
trúrøkin	god-fearing, devout, pious, religious
trúsagdur	reliable(t.d.document; testimony; witness), trustworthy(t.d.person);trúsagdar frásøgurreliable accounts
trúskapareftirlit	mind control
trúskaparlyfti	vow of fidelity;geva trúskaparlyftimake/take a vow of fidelity
trúskapur	fidelity(t.d.to one's word; to one's friends); faithfulness(t.d.to one's promise); loyalty; (undirgivnio.tíl.)allegiance (to)(t.d.they owe allegiance to the King//to the Labour Party); (hjá lensmanni) fealty
trúskiftingur	proselyte, convert
trút	grumbler, sourpuss, grump, grouch;hatta er eitt øgiligt trúthe//she is a grumbler
trútilær	[reproduction of the cry of a kittiwake (the three-toed gull)]
trútin	1swollen, tumefied;andlit hennara var trútna av grátiher face was swollen with crying2sulky, morose; disgruntled, cross;hon sat trútin í einum horni og svaraði bara ja og neishe was sulking in a corner and answered only yes or no when asked;trútin og knarruturmorose and quarrelsome
trútna	1swell up, tumefy, become tumefied;andlitið á henni trútnar í grátiher face is swollen from crying2work(t.d.um við, of wood);viðurin er trútnaðurthe wood has worked
trútt	sítrúgvur
trútta	1force one's opinions (on sby), drum, dinel.knock it into sby/into sby's head; impress sth on sby; inculcate sth upon sby2(stb.)threaten, intimidate, menace;standa og trúttastbe trying to intimidate one another
trúttan	sítrútta
trútutur	disgruntled, cross; sulky;hatta gongur so trútuthe//she is sulking
trúur	(kvæð.) tú hevur verið mær trúuryou have always been faithfulorloyal to me; sítrúgvur
trúveikur	of little faith, weak in one's faith
trúverdur	credible, likely, believable
trúvilla	sítrúarvilla
trúvillingur	sítrúarvillingur
trúvirði	trustworthiness, reliability; credibility; veracity(t.d.I don't doubt the veracity of your story); authenticity(t.d.the authenticity of the manuscript is beyond doubt);hetta skjalið hevur sama trúvirði sumthis document is regarded as no less reliable than
trygd	1security, pledge, guarantee;veita trygd fyri lánprovide/give security for a loan2safety(t.d.travel in safety); security(t.d.live in security; the object of our policy is security);tú, Harri, meg letur búgva í trygdum3trustworthiness, reliability; faithfulness, loyalty
trygda	fill, cram, stuff; press; trygdaleypin so væl!stuff the creel (leypur)as full as possible;hann trygdaði skutilin longri innhe pressed the harpoon even deeper into;hann trygdaði í pottin so mikið, sum í gekkhe filled the pot to the brim;trygda ein niður í kavanpress sby down into the snow
trygdarakker	(sigl.)safety anchor
trygdararatgerðir	(measure of) precaution, precautionary measure(t.d.take precautionary measures)
trygdaravrit	(teld.)back-up (copy);taka trygdaravrittake a back-up (copy)
trygdarásetingar	safety regulations
trygdarávaring	security warning
trygdarávum	av trygdarávum , to prevent accidents; as a precaution; for safety's sake;(herm og løgfr.)for purposes/reasons of security; for security reasons(t.d.Headquarters is maintaining a security silence on operations)
trygdarband	(skaldsk.)bond of loyalty and friendship;fólk til føðiland, tað bant sítt trygdarband, sum aldri kundi vikna
trygdarbarn	(skaldsk.)loyal child;eg vil vera ævi alla, trygdarbarnið títt
trygdarbelti	(til børn) reins(flt);(í bili, flogfari) seat belt; safety harness, safety straps(flt)
trygdarbygnaður	safety management
trygdareftirlit	security check;trygdarvørðir hava trygdareftirlitsecurity men do security checks;fara ígjøgnum trygdareftirlitiðgo through a security check
trygdareiður	oath of allegiance
trygdarfetil	sítrygdarseli
trygdarflutningur	secure transport
trygdarfrástøða	safety distance
trygdarfæ	(handilsm.) earnestel.covering money; eis.trygdarpeningur
trygdargeil	buffer zone
trygdargeiri	buffer zone
trygdargóðkenning	security clearance
trygdargrunnur	(trygg.)investment reserve
trygdarherlið	security force; protective troops, covering troops
trygdarkannaður	security tested
trygdarkanning	security check
trygdarkensla	sense of security
trygdarketa	door chain;krøkja trygdarketuna íput up the chain
trygdarkrøv	safety requirements(flt)
trygdarlampa	safety lamp(t.d.Davy's safety lamp)
trygdarlás	safety lock; (á prýðislutum) safety clasp
trygdarløgregla	(løgfr.)security police
trygdarmaður	(bíbl.)loyal man
trygdarnet	1safety net2(fl.m.)security blanket
trygdarorð	vow of loyalty
trygdarpeningur	(bú.)guarantee capital
trygdarpolitikkur	security policy
trygdarpolitiskur	av trygdarpolitiskum ávum for reasons of security policy
trygdarráð	(sern.)Trygdarráðið (íST,UN) the Security Council
trygdarráðgevi	risk adviserel.risk consultant; (hjá stjórn) security adviser; (á arbeiðsplássi) safety adviser
trygdarráðstevna	security conference
trygdarrit	(teld.)back-up
trygdarritsavrit	(teld.)back-up copy
trygdarrættur	(løgfr.)right of a secured creditor
trygdarrør	safety tube
trygdarsavnaður	trygdarsavnað røkt/viðlíkahaldreliability centred maintenance, RCM
trygdarseli	sítrygdarbelti
trygdarskelti	safety sign
trygdarskipan	1security system,(sigl. eis.)fail safe2(sosial skipan hjá fólki) network, safety net, grid system
trygdarslá	(á hurð) safety bolt
trygdartiltak	(measure of) precaution, precautionary measure(t.d.take precautionary measures); fail safe mechanism; safeguard(t.d.safeguards had been established against flooding); (at hernaðarupplýsingar ikki leka út) security measure;trygdartiltøk(tíðum) security(t.d.he was in charge of security during the President's visit);(arb.)security precautions
trygdartænasta	(løgr.:at avdúka njósningo.tíl.)) counter-intelligence, security police
trygdarumboð	safety steward
trygdarútgerð	(í rúmdarfario.tíl.)personal life support system;(oljuv.)safety equipment
trygdarvandi	security risk
trygdarvarðhald	(løgfr.)(preventive) detention;seta í trygdarvarðhaldplace in preventive detention; síeis.skýldarvarðhald
trygdarvarðhaldsfangi	detainee
trygdarváttan	safety certificate
trygdarveiting	(løgfr., handilsm.)security, guarantee;(en. løgfr.= depositumo.tíl.)recognizance(t.d.the students were released on the recognizances of their parents or guardians)
trygdarventilur	(i ketli ogfl.m.)safety valve; (á pumpu) escape valve; (i bili) relief valve
trygdarvørður	bodyguard;trygdarvørðarsecurity men(flt)
trygdarøki	safety zone
trygdgóður	1calm, confident, unconcerned;hetta brosandi og trygdgóða barniðthis smiling and unconcerned child2loyal, faithful
tryggan	safely;eg vil tryggan svørja altíð at vera trúgvi tegnur tínI can safely swear always to be your faithful subject
tryggiliga	safely, securely; properly;hurðin er tryggiliga læstthe door is securely locked
-tryggin	sítor-
trygging	1(trygg.)insurance2(um tryggingartakara)tekna eina tryggingtake out an insurance [against fire / on the house / with a company]3(um tryggingarfelag)tekna eina tryggingeffect an insurance
tryggingarábyrgd	(trygg.)insurance liability
tryggingarásetingar	insurance regulations
tryggingarfelag	(trygg.)insurance company
tryggingarfráboðan	(trygg.)notification of an insurance
tryggingarfrøði	(trygg.)insurance science
tryggingarfrøðiligur	(trygg.)pertaining to insurance science; actuarial
tryggingarfrøðingur	(trygg.)actuary
tryggingargevi	insurer; insurance company; (lívstrygging) assurer
tryggingargjald	(trygg.)insurance premium;afturgoldið tryggingargjaldreturn insurance premium
tryggingargrunnur	(trygg.)insurance fund
tryggingarkonta	insurance account
tryggingarkostnaður	insurance charges, insurance expenses
tryggingarkrav	insurance claim
tryggingarligur	tryggingarligáhugamálinsurable interest
tryggingarlóg	insurance act
tryggingarlutur	object of insurance, object insured
tryggingarmetingarfólk	insurance surveyor
tryggingarmiðlan	insurance promotion, promotial insurance
tryggingarreglur	insurance regulations
tryggingarsamband	(trygg.)insurance association
tryggingarsamsýning	insurance commission
tryggingarsáttmáli	(trygg.)insurance contract, insurance treaty, insurance agreement
tryggingarskjal	(trygg.)insurance policy
tryggingarskylda	obligation to insure;sendarin hevur tryggingarskyldunathe insurance to be effected by the shipper
tryggingarstova	insurance office
tryggingarstøddfrøði	actuarial mathematics
tryggingarstøddfrøðingur	actuary
tryggingarsvik	(trygg.)insurance fraud
tryggingartakari1	policyholder;tryggingartakarin (eis.)the insured; (um lívstryggjaðan) the assured
tryggingartakari2	(trygg.)policyholder;tryggingartakarin (eis.)the insured;(viðv.lívstrygging) the assured
tryggingartreytir	(trygg.)conditions of insurance, insurance terms
tryggingarumboð	insurance agent; insurance man
tryggingarupphædd	(trygg.)insurance amount, amount/sum insured;(viðv.lívstrygging) amount/sum assured;gjald av tvífaldari tryggingarupphæddpayment of double indemnity
tryggingarveiting	1(til tryggingartakaran) benefit;fult //lutvíst gjald av tryggingarveitinginifull//partial benefit2(tryggingargjald) premium
tryggingarviðurskifti	1insurance conditions2(sáttmálin) insurance contract
tryggingarvinna	tryggingarvinnan the insurance business, the insurance branch, the insurance line
tryggingarvirði	(sum kann tryggjast) insurable value, insurable interest; (sum er tryggjað) insured value
tryggingarvirksemi	insurance business, insurance operations, insurance transactions, insurance activity;hava tryggingarvirksemiundertake insurance, transact insurance, carry on insurance business
tryggingarvøra	insurance product
tryggingaryrki	the insurance business
tryggja	1guarantee2(trygg.)take out a policy; tryggjahústake out an insurance/a policy on a house, effect an insurance on a house3receive a promise that; have been promised/assured that; tryggjasær ein kjans næsta summarhaving been promised a job(espon board a fishing vessel) for next summer
tryggleikagerð	(samfr.) securitization (t.d.av minniluta)
tryggleiki	assurance, safety, security;annars var vant at vera tryggleiki, har sum Sámal løgmaður var um vegirthings were usually safe when Sámal the Løgmaður was present
tryggliga	safely, securely; properly,hann svav fast og tryggligahe was sound asleep
tryggur	1safe, secure, reliable, without danger; calm, unworried;kenna sær trygt undir fótumbe on firm ground;teir vóru ikki tryggur fyri, at vandi ikki spurdist burturúrthey were not certain/sure/positive that they were out of danger yet2(um far, of vesselorcraft) stable, which does not overturn easily;báturin er tryggurthe boat is stable
trygil	1small, oblong box for storing corn2(trough-shaped) platter3small container for whale oil4small worthless boat5small pond or puddle
tryglast	1(um við, of wood) warp;viðurin tryglastthe wood has begun to warp;borðfjalirnar eru tryglaðarthe boards have begun to warp2(um flag í kornveltu; of turf in a corn field) break up, be bent upwards (because of drought)
-trygni	sítor-
trykkja	(tlm.)press, apply pressure
trylla	bind by a spell; spellbind; enchant
trylska	(sj.)obstinacy, stubbornness
trylskur	1like a troll, trollish2(self-)opinionated; obstinate, stubborn; mulish, pig-headed
trý	sítríggir
trýggin	1faithful, loyal; trýgginsum trølliðvery faithful2naïve credulous, unsuspecting, too confiding, gullible;børn eru so trýgginchildren have an unsuspecting nature
trýggj	(gl.)sítrý
trýn	(stb.)sítrýni
trýni	(á hundi) nose
-trýningur	sírak-
trýr	sítrúgva
trýss	(tlm.)sixty; síeis.seksti
trýssinstjúgu	sixty; síeis.seksti
trýssinstjúgundi	(tlm.)sixtieth; síeis.sekstiundi
trýst	1press, push, pressure, (kroyst) squeeze2(fl.m.)pressure(t.d.put pressure on sby; bring pressure to bear on sby; exert pressure on sby);leggja trýst á myndugleikarnarput pressure on the authorities;geva eftir fyri trýstigive way, yield, give in; climb down(t.d.the Government climbed down)3(málfr.)stress(t.d.the stress is/falls on the second syllable)4pressure(t.d.a pressure of four atmospheres; the tyre pressure; ease the pressure on him)
trýsta	press, apply pressure, squeeze, push (t.d.the Government pressed to get the proposal through; press/urge him to do it); trýsta á e-n//eittpress/push sby//sth (t.d.the bell);trýsta samanpress/squeeze together, compress(t.d.compressed lips)
trýstalda	(eftir brest) blast wave
trýstborur	(tøkn.)pneumatic drill
trýstbólkur	pressure group;(stjm. eis.)lobby
trýstbroyting	change of pressure, pressure variation
trýstbúni	pressure suit
trýstdyggur	pressure-proof, pressure-resisting
trýstfall	drop of pressure
trýstfjøður	compression spring
trýstflati	(veðurfr.)pressure area, surface under pressure
trýsthædd	(á løgi) (pressure) head
trýsting	sítrýst
trýstjavnvág	(jarðfr.) earth pressure balance
trýstkamar	pressure chamber
trýstkensla	pressure sensation;(lækn.,í oyra) blocked sensation, fulness
trýstklivi	hyperbaric chamber
trýstknappur	1press stud, press button (nýtt í klædnabúnao.tíl.)2(ravm.)push-button
trýstkóka	pressure-cook
trýstkókari	pressure cooker
trýstkóking	pressure cooking
trýstlamningur	(lækn.)pressure paralysis
trýstleiðing	pressure pipe, delivery pipe
trýstluft	compressed air
trýstluftsbremsa	pneumatic brake
trýstluftseftirlit	(oljuv.)pneumatic control
trýstluftsfløska	compressed-air bottle
trýstluftspumpa	air compressor
trýstluftsvirki	compressed-air plant
trýstmálari	manometer, pressure gauge
trýstmát	(alisfr.)sítrýstmálari
trýstmátari	(alisfr.)sítrýstmálari
trýstmunur	pressure difference, difference in pressure
trýstmynd	imprint
trýstpakkaður	pressure packed
trýstpumpa	force pump, pressure pump
trýstroynd	(tøkn.,ísamb.við samantrýsting) compression test; (at kanna íløto.tíl.)pressure test
trýststig	(tøkn., sigl.)pressure stage
trýstviðgera	(húsasm.)compregnate
trýstviðgjørdur	pressure-treated, pressure-creosoted
trýtur	sítróta2
træ	1(plfr.)tree;planta træplant a tree;fella trøfell/cut down trees;(bíbl.) lívsins træthe Tree of Life;(tilt.) vera sum millum børkin og træiðbe in difficulties, be hard up;(orðt.) eingin fer so við trænum, at tað ikki flýturin spite of setbacks one manages all the same (said of sby who refuses to give up in spite of adversity);sum turkað træskinny, bony2wood, timber;skera í træcut wood;seta reyvina í (skemt.) træsit down3drying pole on which to hang fish and the like for drying;fáa sær nakrar fiskar upp á træiðhang some fish on the drying pole4round beam;tá ið vaðmal var tøvt, varð tað lagt um træafter friezeorhomespun had been fulled it was hung on a round beam (for drying)
træbein	1wooden leg2three-legged stoolorchair with no back rest
træblásari	(tónl.)wood player;træblásararnir(í orkestri) the wood, the woodwind(s)
træbrúgv	1wooden bridge2boatel.pontoon bridge;stundum legði hann at eini lítlari træbrúgvhe sometimes came alongside a small boat bridge
træbulur	tree trunk
træbuttur	wooden chockorblock
træbytta	wooden bucket
trædiskur	platter
trædylla	wooden pail
træða1	thread; træðanálthread a needle
træða2	walkormove slowly in lineorsingle file;menninir træðaðu niðan í skaddunathe men, walking uphill in single file, disappeared into the fog;seyðurin fór træðandi eftir rásinithe sheep moved slowly in single file along the narrow path;royktámið træðar upp úr skorsteininumthe smoke is spiralling up from the chimney
træðir	sítráður
træðrir	sítráður
træeskja	wooden box
træflís	splinter of wood
træfúgvasoppur	(plfr.)root rot(Heterobasidium annosum)
trægagga	(sigl.)leather boot with wooden sole
trægeil	avenue
trægirðing	(quickset) hedge, hedgerow, quickset
trægjørð	wooden hoop
trægólv	woodenel.boarded floor;sum kálvur á trægólviunsteady on one's feet, have weak legs
trægrein	(plfr.)branch
træhavin	l træhavið pappír wood-pulp paper
træhestur	(sø.)wooden horse (instrument of torture);ríða/sita á træhestiride the wooden horse;hann varð einaferð settur á træhestin, helst mundi tað hava verið fyri leysingabarnhe was once sentenced to ride the wooden horse probably because he had fathered an illegitimate child
træhongsl	wooden hinge
træhælur	wooden peg;(sigl., eis.)dowel
træílat	wooden vatorcask
træílát	sítræílat
træjaður	(plfr.)tree layer
trækassi	wooden box
trækelvi	(cylindrical) tree trunk or bole of tree
trækendur	(plfr.)woody;leggurin í berjalynginum er trækendurthe stem of crowberry is woody
træker	wooden ladle
trækirkja	wooden church, timber church, wood-built church
træknívur	(fl.m.)obstinateorstubborn person; wrangler, quarrelsomeorcantankerous person
trækol	charcoal;gera trækolburn charcoal
trækoppur	(gl.)wooden cup
trækrúna	(plfr.)tree crown, crown of a tree
trækubbi	wooden chockel.block
træl	hard and heavy work
træla	slave, drudge(fyri einfor sby)
trælaarbeiði	drudgery, slavery
trælaánari	slave owner, slave holder
trælaband	(skaldsk.)bond of slavery
trælabinda	(sj.)enslave, reduce to slavery;handilin forðaði fyri vinnulívinum og trælabant føroyinginthe Royal Trade Monopoly was an obstacle to the advancement of economic life and enslaved the Faroepeople
trælaeigari	slave owner, slave holder
trælafjøtur	slave chain
trælaflutningur	transportationel.conveyance of slaves; (trælafarmur) cargo of slaves; (flokkur av trælum, sum verður fluttur) slave gang
trælafrígering	the emancipation of slaves
trælafúti	slave driver (á plantasju)
trælahald	(sø.)slave-holding
trælahaldsríki	(sø.) trælahaldsríkinithe slave-holding States
trælahandil	(sø.)slave trade
trælahandilsmaður	slave dealer, slave trader
trælakríggj	(sø.)servileel.slave war(serst.í Rómverjaríki)
trælalega	slave camp
trælaleinkja	slave chain
trælalív	1(fl.m.)dog's life, drudgery2life of a slave
trælalógv	(fugl.) sífjørulógv
trælalyndi	servile spirit; base mind, spirit of bondage
trælamarka	brand as a slave
trælamarknaður	slave market
trælamerki	brand of slavery
trælamosi	(plfr.)haircap moss, common goldenflower(Polytrichum commune)©Edinburgh Nette
trælangur	(stb.)shamefaced, looking small, embarrassed, awkward, sheepish, shy;hann stóð har so trælangurhe was shamefaced
trælaok	yoke of bondage, yoke of slavery;undir tungum trælaokiunder a heavy yoke of bondage;sleppa undan trælaokibe liberated from a yoke of bondage
trælaríki	slave State, slave-holding States(serst.um Suðurríkini í USA fyri 1865)
trælasál	slavishel.servile mind; slave
trælaskip	slaver
Trælastrondin	(sern., landafr., sø.)the Slave Coast
trælasølumaður	slave dealer, slave trader
trælatilvera	sítrælalív
trælatippi	slave camp
trælauppreistur	revoltel.insurrection of slaves
trælaveiði el.trælaveiða	slave hunt(ing); slave raid
trælaveiðimaður el.trælaveiðumaður	slave raider, slave hunterorslaver
trælavørður	slave driver
trælbinda	enslave;stóra skuldin trælbindur fólkpeople are enslaved by great debt;trælbinda tjóðreduce a nation to slavery
trælborin	(bíbl.)slave-born
trældómur	bondage, servitude, slavery;(serst.ífl.m.)thraldom(t.d.release them from economic thraldom)
trældrongur	slave boy
trældømi	sítrældómur
trælerkur	(fugl.)woodlark(Lullula arborea)(Linnaeus, 1758)©Silviu Pantiru
træleysur	treeless
trælgenta	slave girl
trælím	joiner's glue, cabinet-maker's glue
trælka	enslave, subjugate
trælkan	enslavement
trælkona	bond(s)woman, slave woman, (female) slave
trælkvinna	sítrælkona
trællur	1slave, serf2treacherousorcrafty person;(orðt.) sjáldan er trællur treytagóður/í treytum góðurone cannot rely on a treacherous person3scoundrel, villain, rogue4stubbornness, obstinacy;nú kom trællur á hannnow he is moody again;nú er trællur á honum (serst.við børn, of children)
trælmenni	1crafty person, villain, rogue2(stn.) Trælmenni(place name: a submerged rockorsunken skerry)
trælskur	1tiresome, annoying, unhelpful, refractory;børnini eru so trælskthe children are so annoying2who is a tease, roguish
trælsligur	1servile; trælsligurí medferðservile behaviour2[sumhj]trælsliga;úti við tvey mannaminni høvdu føroyingar trælsliga fylgt donskum leiðumfor almost two generations Faroepeople had submissively accepted Danish instructions
trælsrassur	(dýr.) holothurian, sea cucumber, sea slug (Holothuria)
trælur	(sø.)bond(s)man, bond(s)woman, slave, thrall
trælær	dead leg
træmaðkur	(dýr.)wood worm, wood borer
træmaður	(dry) stick(t.d.he is such a stick);allir eru ikki lættir av lyndi, har eru eisini træmennnot all men are of a cheerful, happy disposition, some are like dry sticks
træmark	(plfr.)tree limit
træna	1become woody;røtur og kál kunnu trænaroots and turnips can become woody2lose weight, become thinner;træna burturwaste away;træna burtur av verðiniwaste away;trænaðurhaving lost weight, having wasted awayhann var trænaður, og bæði kroppur og andlit vóru svunninhe had lost much weight and his body and face had thinned;trænaðurwoody; having lost weight;trænaður bulura dried up trunk,(eis.)body
trænagli	(t.d. til bátasmíð, for boat building)tree nail; wooden pinornail, peg
trænuvaldur	(stb.)miserableorwretched little creatureorperson
træpetti	small piece of wood
træproppur	wooden plug;(sigl.:spunsl í dekki) dowel
trærót	(plfr.)tree root, root of a tree
træsag	(handv.)wood saw
træskeið	wooden spoon; træskeiðhevur langt skaft, hornspónur stutta wooden spoon has a long handle, whereas a horn spoon has a short one
træskip	(sigl.)wooden vesselorship
træskoyta	wooden skate
træskurður	wood carving;lívstræið er gamalt mynstur og nýtt sum træskurður í gomlum føroyskum kirkjumthe Tree of Life is an old wood carving ornament used in old Faroese churches
træsleiv	wooden ladle
træsmakkur	(disagreeable) wooden taste (from a new-made wooden container or ladleetc); (skemt.) fáa træsmakk í reyvina(said when someone has been sitting for a long time on a wooden seat)
træsmiður	carpenter, joiner
træsmíð	1carpentry, joinery2(skúlam.)woodwork, carpentry
træspónur	chip, shaving (of wood)
træsprek	small piece of wood
træspritt	(evnafr.)wood alcohol, metanol
træstokkur	wooden knitting needle;binda skipstroyggju við træstokkumknit a coarse-knitted/boatman's jersey with wooden knitting needles
træstubbi	block of wood
træsýni	(teld) treeview
træta1	quarrel, disagreement, dispute;loysa trætu á arbeiðsmarknaðinumsolve a disagreement between the two sides of industry (the unions and the employers' organizations)
træta2	> træta/trætast quarrel, argue, dispute;træta ímótiprotest against;træta(st) um e-tdispute about sth, quarrel about/over sth
trætalerkur	platter
trætari	grumbler, sourpuss, grump, grouch
trætin	quarrelsome, argumentative
træting	quarrel, dispute
trætjøra	wood tar
trætkast	(stb.) sit ikki og trætkast við hann um hatta!don't quarrel with him about it!;teir trætkaðust um markthey were quarrelling about the bondary (between their two farms)
trætnaður	quarrel, disagreement, dispute;ofta hevur verið trætnaður júst um hetta málmen have often been in disagreement concerning this matter
trætni	quarrel, disagreement, dispute
T-rættur	(handilsm.)tilluting av T-rættiallotm. subs. right;umbýti av T-rætticonv. subs. right
trætubára	quarrelsomeorargumentative person, grumbler, sourpuss, grump, grouch
trætubløðra	quarrelsomeorargumentative person, grumbler, sourpuss, grump, grouch
trætuevni	subject of a quarrelordispute, cause of a dispute
trætufla	clog
trætufretur	(stb.)quarrelsomeorargumentative person, grumbler, sourpuss, grump, grouch
trætumál	matter of dispute;trætumáliðthe matter in dispute;har var trætumál um, hvønn veg áin skuldi veitastthe matter of dispute was which way the river was to be channelled
trætunna	wooden barrel;á loftinum stóðu trætunnur við korniwooden barrels containing corn had been stored in the loft
trætølpur	(fugl.)eurasian treecreeper(Certhia familiaris)(Linnaeus, 1758)©iStock
trætøvdur	fulled hard
træull	wood wool;(serst. am. eis.)excelsior
træverja	wood preservative
træverk	1fence;urtagarður girdur við træverkia fenced in garden2(sj.)rail, hand rail, railings;einki træverk var á brúnnithe bridge was not equipped with a (wooden) rail
trævespa	(dýr.)wood wasp, horntail(Sirex)
trævetur	three-year-old;ærin er træveturthe ewe is three years old
træveturgamal	three-year-old;træveturgomul ærthree-year-old ewe
træveturjørð	field cultivated three years before;gras av træveturjørð var besta fóður
træveturseiður	three-year-old coalfish
træveturseyður	three-year-old sheep
træveturær	three-year-old ewe
trævøkstur	tree growth;har var nógvur trævøksturthere were many trees, it was densely wooded
trø	sítræ
trøð	1piece of land fenced inorenclosed for cultivation; cultivated plot;leggja traðir innfence in and cultivate plots2(gl.)[place (in the outfield) where cattle, cows, horsesorsheep were kept for a short period of time]
trøða	nail plywood sheets or boards on the rafters;gróthúsini høvdu sperrur og vórðu trødd tvørtur um sperrurnar og takt við hálmi(stone) outhouses had rafters and across them were nailed plywood sheets and then they were thached; sítróður
trøfla	(plfr.)truffle
trøflusoppar	(plfr.)tuberaceae
trøflusós	truffle sauce
trøll	1(í norðurlendskarifólktr.)troll (trolls were supposed to be tall and dangerous, but stupid and simple-minded and equipped with a tail), (í ævintýrum) ogre, monster, giant;(tilt.) nú leypa trøllini á sjógvinthat beats the band!, the world's coming to an end!, the end of the world is nigh!;(orðt.) ofta taka trøll góða manna børnnaïve people often become influenced by evil people;hatta er sum trøll í hálmi(said of someone who is looking for sth in a confused way);ofta leypa trøll (út) í orðsomething which is said as a joke can actually happen/occur; many a true word is spoken in jest;trúgvur sum trølliðvery faithfulorloyal;síggja trøll á (al)ljósum degi/undir hvørjum steinialways suspect mischief, be suspicious, see danger in everything2tall and ungainly person, a big, hulking fellow;hatta gongur sum eitt trøllhe's a tall and ungainly man3(niðr.)tall and strong young man;hatta stóra trøllið!that great hulk of a man;hví lata tit hatta stóra trøllið ganga fyri einki?why don't you put that strong young man to work?4(ísmst.) half-finished work (serst.of sth which one is knitting)
trøllabarn	1(fólktr.)troll's child, child of a troll;(orðt.) trøllabørnini gráta eftir hvonnum á jólum(said of sby who wants sth which is impossible to procure/to get hold of)2sítrøllbarn2
trøllabátsmanshattur	(plfr.)self-heal(Prunella vulgaris)©Miguel Angel
trøllablomstur	(plfr.)sítrøllabátsmanshattur
trøllabløðra	(stb.)sítrølsbløðra,droyrbløðra
Trøllabotnur	(kvæð.)the head of an imaginary fiord in the Arctic (between Norway and Greenland);viltust norð í Trøllabotnthey had lost their way and ended up inTrøllabotnur
trøllabøli	untidy and depressing place;her rýkur av líki, her er eitt trøllabølithere is a smell of decomposition here, this is a depressing place
trøllafingur	(plfr., stb.)horsetail, paddock pipe; síeis.kannubjølluvísa
trøllagleimur	(kvæð.)jollityormerriment of trolls, noise of trolls;eg eri so von við trøllagleimI am accustomed to the noise of trolls
trøllagras	(plfr.)sítrøllabátsmanshattur
trøllahár	(sj.)long hair on a cow's back
trøllahol	place often visited by trolls;úti á Hæli bar orð fyri at vera eitt ringt trøllaholá Hæli (place name) had the reputation of often having been visited by trolls
trøllahummari	(dýr.)kind of decapod
trøllahvonn	(plfr., stb.)wild angelica(Angelica sylvestris)©Flickr, Samara
trøllakalskampur	(plfr.)male fern(Dryopteris filix-mas)
trøllakambur	(plfr.)sítrøllakampur
trøllakampatræ	fern tree
trøllakampsætt	(plfr.)spleenwort family(Aspleniaceae)
trøllakampur	(plfr.)spleenwood(Asplenium); svartur trøllakampurblack spleenwort(A. adiantum-nigrum); strálhærdur trøllakampurmaidenhair spleenwort(A. trichomanes)
trøllakrabbi	(dýr.)lithodes(Lithodes)
trøllakúvingur	(dýr.)small periwinkle(Littorina)
trøllamjólk	witch's milk (milk in the breasts of a baby)
trøllamyrkur	sudden darkness which makes one lose one's way(e.g.in moonlight)
trøllanegl	(dýr.)white tortoiseshell(Acmaea virginea)
Trøllanes	(stn.)small village on the island of Kalsoy;á//av Trøllanesiat//from (the village of) Trøllanes;(norður) á Trøllanesto (the village of) Trøllanes
trøllanesmaður	man from the village of Trøllanes
trøllaræddur	afraid of trolls
trøllaræðsla	fear of trolls
trøllasíl	(fisk., stb.)stickleback;í støðuhyljum vóru trøllasílsticklebacks were in stagnant salty water ponds
trøllaskortur	(fólktr.)clairvoyant person, person with second sight
trøllasukur	(stb.)soft brown sugar
trøllasøga	storyorfairy tale about trolls
trøllatrúgv	firm belieforconviction, implicit faith
trøllbarn	1sítrøllabarn12small haystack smaller thankyllingur
trøllbinda	cast a spell on, bewitch
trøllbýttur	dense, thick, oafish, bone-headed, bloody moronic
