ú	(málfr.)a vowelordiphthong
útlúgvaður	exhausted, fatigued, tired, worn out, dead-beat, dog-tired, all in
útlúgving	1exhaustion, fatigue, tiredness, prostration(t.d.he was in a state of complete prostration)2(herm.)attrition
útlúgvingarbardagi	(herm.)battle of attrition, wearing-down battle
útlúgvingarstríð	(herm.)war of attrition
útlægur	(kvæð.)outlawed;gera e-n útlæganoutlaw sby
útlærdur	vera útlærdur have served one's apprenticeship;útlærdur smiðura journeyman blacksmith, a skilled blacksmith
útløga	útløgur expenses, expense, expenditure, outlay, disbursement(s);rinda sín part av útløgunumpay one's share of the expenses
útløgufressur	(stb.)síútiløgufressur
útløgukattur	(stb.)síútiløgukattur
útmaktaður	exhausted, fatigued, tired, worn out, dead-beat, dog-tired, all in
útmark	frontier
útmeiggjaður	soiledordirtied, smeared
útmógvaður	síútlúgvaður
útmylking	emulsion
útmyntur	with prominent mouth;apur eru útmyntarmonkeys have prominent mouths
útmælagóður	extremely good, excellent
útmælings-	(stb.)unusually good, exceptional, outstanding, excellent
útmælingur	(gl.)síúrmælingur
útmøddur	útmøddurav svimjingexhausted from swimming; síútlúgvaður
útnes	outlying promontory;(bíbl.) frá ytstu útnesum á jørðinifrom the end of the earth
útnevna	appoint, (flyta fram) promote;hon er útnevnd til sóknarprestshe has been appointed incumbent; sítilnevna
útnorður	north-westerly;í útnorðrito the north-west;londini í útnorðrithe North-West Countries (the Faroes, Iceland, and Greeland);(gl.) hálvga útnorðurhalf past seven (p.m.)
útnyrðings-	north-westerly
útnyrðingsleiðin	(sern., landafr.)the North-East Passage
útnyrðingsvindur	north-easter
útnyrðingur	1north-west;í ein útnyrðing úr Føroyumto the north-west of the Faroes;lágtrýstið gongur í ein útnyrðingthe depression is moving towards the north-west2north-westerly wind, north-west wind, north-wester; útnyrðingurnorðanNW by North;útnyrðingur vestanNW by West;beinur útnyrðingurdue north-west;hann er útnyrðingurthe wind is north-westerly, north-westerly wind;hann stóð á útnyrðinginorth-westerly wind
útoddi	outlying promontory
útoygdur	with protuberantorprotruding eyes
útoyggj	(small) outlying island
útoyggjarbygd	village of an outlying island
útoyggjarmaður	man from an outlying island
útoyra	(likam.)the external ear;(lækn.)pinna
útpíndur	suffering, in pain, tormented, racked with pain, tortured(t.d.tortured by rheumatism); racked(t.d.by remorse);hon orkaði ikki at liva longur, hon var útpíndshe simply hadn't the strength to go on living
útpjakaður	ready at long last;hann tímdi ikki at bíða, til fólk var útpjakaðhe couldn't be bothered to wait until the others were ready to leave at long last
útpjøssaður	completely wrapped uporenveloped in garmentsorpieces of clothing
útpláss	remote and isolated place
útprent	(teld.)outprint
útprýddur	ornamented, adorned, embellished, decorated, graced (with), smartlyel.sprucely dressed, dressed up
útpumping	pumping out;fara til útpumpingarbe pumped out
útpurring	(sigl.)calling, rousingel.routing out; (vakt) calling the watch
útpøstur	exhausted, fatigued, weary, tired, worn out
útrak	dottleorscrapings(t.d.he knocked the dottle out of his pipe)
útrakstrargeil	[path along which cattle are driven to the outfield]
útrakstrarrættindi	[grazing rights for cows in the outfield during the summer half]
útrakstrarrættur	síútrakstrarrættindi
útrakstur	1grazing rights for cows in the outfield during the summer2útraksturin var so ringurthe cattle track was difficult; síútrakstrargeil3chucking out; eviction(t.d.of a tenant);at liggja fyri útrakstribe at risk of being evicted
útrák	outgoing current;útrák var á sundinum og tók bátin útum afturthe current was outgoing in the sound which resulted in the boat drifting out again
útrás	(herm t.d. úr kringsettum býi)sortie,(gl.)sally
útrásarlið	(herm.)sally port (lið í borgarmúri)
útreiddur	equipped;eitt væl útreitt fornminnissavna well-equipped museum; síreiða(út)
útreið	(kvæð.)riding outorforth(espinto fight or tournament)
útreiðraður	eventuallyorat long last ready to go out;eg verði aldri útreiðraðit takes ages before I am ready to go out (to leave)
útreiðsla	útreiðslur expenses, expense, expenditure, outlay, disbursement(s);fastar útreiðslur (handilsm.)overhead expenses, overhead charges, overheads; (í einskildum húsarhaldi) regular outlays;lønarbundnar útreiðslur (handilsm.)fixed payroll costs;mánaðarligar útreiðslurmonthly expenses
útreiðslukonta	(handilsm.)charges account, expense sheet; (sum møguliga verður afturgoldin av virkinumo.tíl.)expense account
útreiðslulega	(handilsm.)level of expenditure
útreiðslulisti	(handilsm.)list of expenditure
útreiðslumikil	(handilsm.)involving expenditureel.expenses
útreiðslupostur	(handilsm.)item of expenditure
útreiðslusíða	(handilsm.)debit side
útreiðsluskerjandi	(handilsm.)cost-cutting
útreiðsluskerjing	(handilsm.)saving
útreiðsluskjal	(handilsm.)credit voucher
útreiggj	vera í hvørjari útreiggj having travelled much;hon hevur verið í útreiggjumshe has been on a journey;vandi er í hvørjari útreiggj(something unexpected can always happen); síútreið
útrend	(sløkkilið, sjúkrabilur og løgregla) turn-out;sløkkiliðið hevði tríggjar útrendirthe fire brigade turned out three times
útrendur	(um seyð, of sheep) [inclinded to go into someone else's pasture]
útrensl	(tað sum rennur burtur) outflow, outward flow, stream, issue; (rørið) drain, waste-pipe;útrenslið frá verksmiðjunithe outflow from the factory
útrit	(teld.)hard copy
útrita	(teld)log out, logout, log off, logoff; eis.rita (út)
útritan	(teld)log out, logout, log off, logoff
útriv	(sj.)damage, destruction, annihilation, wiping out
útrivin	(prúður) plump, round; (búkutur) paunchy, pot-bellied, fat-bellied; (tambaður) bulging, distended
útrokning	calculation, working out, computation; (í bókhaldieis.)extension(t.d.check the extension of invoices);útrokningarnar vísa, at virkið fer at bera seg fíggjarligacalculations indicate that the company is going to manage financially;útrokning av rentumcalculation of interest
útroyndur	proved up to the hilt;tað er so útroynt (t.d.um ráð fyri sjúku)
útróðrar-	-ár, -dagur, -ferð, -floti, -hugur, -maturetc
útróðrarbátur	fishing boat
útróðrarboð	gera/geva útróðrarboð collect a crew for a fishing trip
útróðrarfelag	boat fishermen's association
útróðrarfiskur	[fish caught with long line lineorwith handline]
útróðrarførur	able to go fishing;bygdin hevði bara tríggjar útróðrarførar mennthe village had only three men who were able to go out fishing
útróðrarleið	[fishing ground whereútróðrarbátarusually fish]
útróðrarlíkindi	favourable condition for fishing, good fishing weather
útróðrarmaður	fisherman who fishes from an open boatora small decked fishing vessel
útróðrarpartur	[share in the catch after a single expedition]
útróðrarpláss	villageortown which has good access to the fishing grounds;útróðrarplássið var gottthe village had good access to the fishing grounds
útróðrarskrín	(box for food, hooks, compassetc)
útróðrarveður	fishing weather;gott//ringt útróðrarveðurfavourable//unfavourable weather for fishing
útróður	fishing from open boatsordecked boats;fara til útróðrargo out fishing;vera á útróðribe out fishing;koma aftur av útróðrireturn home from a fishing expedition/trip;boða til útróðrarcollect the crew for a fishing trip
útrógvandi	[favourable weather conditions for fishing from a boat]
útrógvar	(stb., tlm.)síútróður
útrógvin	í osb. vera útrógvin be out fishing, be on a fishing trip;teir vóru útrónirthey had gone fishing (from a boat)
útruni	mouth(t.d.the mouths of the Rhine); outfall(GG:the fall of the Po into the Gulf of Venice);áin fær ikki tann stórbæra útrunan, hon átti at fingiðthe river doesn't fall into the sea as impressively as it should actually have
útrunnin	(um epli, of potatoes) sprouted;eplini eru so útrunninthe potatoes have sprouted rather much
útryðja	1thin outer edge of sheepskin2outskirts(flt); í útjaðaranum á býnumon the outskirts of the town/the city
útryðjubýlingur	residential suburb;(am. eis.)exurb(ia)
útryðjuhvítur	(seyðal.)[with white stomach and lower part of the sides] (of sheep)
útryðjulitaður	(seyðal.)[with colouring at the lower parts of the sides] (of sheep)
útrygndur	(um fisk, of fish) which has spawned
útrætt	(gl., stb.)sívørðsla1
útrætta	(tlm., gl.)do(t.d.try what kind words will do); achieve, accomplish(t.d.he will never accomplish anything); effect, perfom;fáa útrættað nakaðget sth done;hann hevur útrættað tað, hann ætlaðihe has achieved/effected his purpose;útrætta nakaðdo sth(t.d.he ought to do sth at his age); do things(t.d.he wants to do things)
útrættur	outstretched;við útrættum ørmumwith outstretched arms
útrøðri	out fishing from a boat; síútróður
útsavn	branch of the Faroese National Library
útseta	1postpone, defer(t.d.a matter for a week); put off(t.d.a marriage; a payment); (okkurt heldur ótespiligteis.)stave off(t.d.the day of reckoning); (funduro.tíl.)adjourn(t.d.a debate; an inquiry; a sitting;(GG:the House adjourned for a week)2(tónl.)arrange, adapt; score(t.d.the music is scored for a full orchestra);útseta/seta út fyri tvær hendurarrange for piano solo;útseta fyri orkesturorchestrate;útseta tónaverk fyri klaverarrange a piece for the piano
útseting	1postponement, putting off, delay(t.d.after months of delay); deferment(t.d.of military service);(serst. am.ogløgfr.)stay; (av fundio.tíl.)adjournment; (leingja freist) respite(t.d.ask for a respite)2stocking (of a pond with salmon fry)3(tónl.)arrangement(t.d.for the piano)
útsettur	1postponed, adjourned;fundurin er útsetturthe meeting has been adjourned;útsettur skatturdeferred taxes;einki er avsett til útsettan skatt (handilsm.)nothing is allocated for deferred taxes2(been ordered to perform a task);eina ferð vóru húsamenn útsettir til at flyta sorinskrivaran yvir um Sundmen from the village of Húsar had on one occasion been ordered to transport the justice to the village of Sund3(tónl.)arranged for(t.d.violin and piano);verkið er útsett fyri klaver og orkesturthe musical work has been arranged for piano and orchestra4(gl.)translated;greinin er væl og vakurt útsett upp á føroysktthe article had been translated fluently and beautifully into Faroese; síeis.útsetaogseta(út)
útsetur	country house, seat;við tingstaðin var í miðøld eitt útsetur hjá biskupsstólinum í Kirkjubø, Munkastovanduring the medi(a)eval times the bishopric of Kirkjubøur had a seat, the Munkastovan, at the thingstead (at Tórshavn)
útsig	síútdráttur
útsíða	outside, exterior, outside edge
útsíðusneiðing	(í skoyting)outside edge; gera útsíðusneiðing (á skoytum) outside edge;gera útsíðusneiðingdo an outside edge
útsjón	1(sj.)view;uppi undir tindinum hava vit eina frálíka vakra útsjónthe view from the mountain peak is marvelous2appearance, looks(flt) (t.d.she is proud of her looks)
útsjónd	1appearance, looks(flt) (t.d.she is proud of her looks);til útsjóndarin appearance(t.d.in appearance he is insignificant);í útsjóndof appearance;hon kundi verið eini fjøruti ár eftir útsjóndjudging by/from her appearances I take it that she is about 40 years old; she is about 40 years old by the look of her2(change its) appearance;sum tey nærkaðust, skifti landslagið útsjóndas they approaced the scenery changed
útskavaður	at long lastoreventually ready to go out;endiliga var hann útskavaðurhe was ready to leave at long last;ert tú ikki útskavað? Bilurin er kominaren't you ready yet? The car has arrived
útskaving	(lækn.)scraping out;(lækn.)D & C(st.dilation and curettage), curetting;(tlm.)scraping;fáa útskaving (lækn.)be curetted;útskaving av lívmóðuriniuterine curettage
útskáli	annex(e);høvuðshúsið við hesum margháttligu lágu útskálunumthe main building with these strange, low annexes
útskeinking	on-licence
útsker	outeroroutlying skerry (skerries);ein æða sat á einum útskerian eider was sitting on an outlying skerry
útskering	síútskurður
útskifting	1(fótb., handb.)replacement, change, substitution, substituting;ein útskifting varð gjørd á føroyska liðinumthe Faroese team made one substitution2(landb.)[exchanging of separate strip holdings for one compact holding]; enclosure
útskiftingarbonkur	(fótb.)sita á útskiftingarbonkinum be on the substitutes'/subs' bench
útskiftingarleikari	(fótb., handb.)reserve, substitute
útskiftingarnevnd	[commission which has the legal responsibility for the exchange of strip holdings for one compact holding]
útskinn	1surface, outside, exterior;í útskinninum á perluni sá hann dreymar sínaron the surface of the pearl he saw his dreams;(fl.m.) útskinnið á jólunum líka frá jólagreyti, gásarsteik, til jólatræ við ljósumthe outward form of Christmas ranging from rice pudding, roast goose to the Christmas tree with candle lights2(húsasm.)outside planking
útskjóting	launch(ing)(t.d.rúmdarfar)
útskjótingarpallur	launch(ing) pad
útskoling	rinsing, washing, flushing;(lækn.)irrigation, lavage, douching; (við sproytu) syringing(t.d.of the ear);(lækn.,av móðurskeiðini) vaginal flush
útskorin	1carved(t.d.a carved figure; carved wood; carved in stone); sculptured(t.d.a sculptured pillar);fríggjarastavur við útskornari krúnuafríggjarastavurdecorated with a carved crown2(um torvheiðar)útskornarworked out/exhausted (peat bogs)
útskot	1[the beginning of the outgoing current];báturin rekur til havs eftir útskotunumthe boat drifts out to the open sea with the outgoing current2rubbish, refuse, trash, what is thrown awayorrejected3layabout, useless person4(byggl.)bay
útskotin	rejected, thrown away, cast off;hin útskotnithe devil
útskotshorn	(alisfr.)angle of reflexion
útskotspakk	(niðr.)scum, dregs, sweepings(t.d.the scum of the big towns; the dregs of society; the sweepings of the gutter);hatta útskotspakkiðthey are scum
útskotsvindeyga	(byggl.)bay window
útskotsvinkul	(alisfr.)angle of reflexion
útskrift	1print-out2transcript, copy; útskriftúr kirkjubókinia transcript from the church register3address;útskriftin á brævinumthe address on the letter
útskriva	sign out
útskrivaður	discharged(t.d.av sjúkrahúsi)
útskriving	1writing out, printing out2(av sjúkrahúsi) discharge(t.d.on [his] discharge from hospital he)
útskrivingarfráboðan	sign out notification
útskrýddur	ornamental, adorned, embellished, decorated;Seyðabrævið byrjar við einum útskrýddum StheSeyðabræviðbegins with an ornamental S
útskræddur	become stout
útskurður	carved work, carving;útskurðurin á kirkjustólunumthe carvings on the box pews
útslag	(lækn.)rash, skin eruption;(fakl.)exanthema
útsláttur	backwash (seaward return of water following uprush of waves)
útsleipaður	exhausted, weary, tired out, worn-out, be all in(t.d.I am all in), dog-tired, dead tired, tired to death, dead beat;hann var útsleipaðurhe was worn out
útsleptur	driven out into the outfield;neytini eru útsleptthe cattle have been driven out into the outfield
útsligin	sísláa(út)
útslitin	1(um lutir, of tools) worn out, run-down, dilapidated;spakin er so útslitinthe shovel is worn out2weak and exhausted;eg eri so útslitinI am worn out
útsloppin	become free, liberated, having escaped
útsmurdur	soiled, dirtied, smeared; útsmurdurí blóðismeared in blood
útsókn	(átr.)parish-of-ease (lítil sókn knýtt at teirri har sóknarprestur býr)
útspillari	slanderer, scandalmonger, backbiter
útspilling	slander, calumny, aspersion, defamation, maligning, backbiting
útspæl	(kortsp.)lead;hava útspæliðhave the lead;tygum hava útspæliðyour lead!
útspælari	(kortsp.)leader
útstanda	endure(t.d.hardships), undergo(t.d.fatigue; hardships), suffer(t.d.ill-treatment; torture; punishment), be subjected to(t.d.insults; torture), go through(t.d.all she has gone through);eg hevði útstaðið so nógvI had endured much;útstanda stóra trongdhave endured hardships
útstandur	pains, trouble, difficulty, struggle, inconvenience;ein hevur einki uttan útstand av at taka slík vesalafólk til sínone has nothing but trouble with taking in such wretched creatures;tað er ein útstandur, vit hava av tæryou cause us a lot of trouble
útstappaður	1(møplaro.tíl.)stuffed, padded, upholstered(t.d.chair; mattress)2(dýr) stuffed; síeis.stappa(út)
útstapping	1(av møplumo.tíl.)stuffing, padding, upholstering(t.d.of a chair//of a mattress); (tilfarið) stuffing, padding2(av dýrum) stuffing;(fakl.)taxidermy; (tilfarið) stuffing
útstova	(lækn.)outpatient department/clinic (á sjúkrahúsi)
útstoyt	1exhaust, exhaust gas2exhaust pipe;útstoytið og innsúgvingin vóru ikki í lagithe exhaust and the intake were dislocated
útstoytsgass	exhaust gas
útstoytsrør	(á akfari) exhaust pipe
útstoytur	sí útskot1
útstrekki	(stfr., x-virði hjá punkti í krossskipan)abscissa
útstrektur	outstretched;við útstrektum ørmumwith outstretched arms
útstrevaður	(um fólk, of people) worn out
útstriking	(tað at) erasing, erasure; (orðo.tíl.)erasure; crossing out, striking out, cancellation;(prent.)deletion
útstríddur	(um fólk, of people) worn out
útstrond	outlying coast;um útstrendur landsinsalong the outlying coasts of the country
útstykking	parcelling out, breaking up;útstykking til byggigrundirdevelopment (of building land)
útstykkingarkort	development map
útstykkingarlóg	law providing for the parcelling out of estates
útstykkingarætlan	development plan
útstykkingarøki	area to be parcelled outel.developed
útstýr	síútgerð,tól,amboð,búnaður;brúðarstáso.tíl./etc
útsuður	1south-west (areaorwind direction)2[sumhj] southwestwards, southwesterly; útsuðurúr flesjunum//nesinumsouth-west of the skerries//of the headland(etc)
útsúgur	backwash, backsweep, back draught;báturin fór um í útsúginumthe boat was taken by the backsweep and capsized
útsúgving	sucking out;(fakl.)exsuction; exhaust
útsveimin	be fickleorflighty;hon er útsveiminshe is no better than she should be; she is a woman of easy virtue; she puts it about
útsvøltaður	starved, famished;útsvøltaða mannamúgvanthe famished crowd (of people)
útsvøvntur	hann er útsvøvntur he has had a good night's sleep
útsynnings-	from or in the southwest, southwest
Útsynningsafrika	(sern., landafr.)South-West Africa
Útsynningsevropa	(sern., landafr.)south-west Europe
útsynningsfleyr	(veðurfr.)lightel.gentle southwest breeze
Útsynningsfrakland	(sern., landafr.)South-West France
útsynningslot	(veðurfr.)light southwest breeze
útsynningsstormur	southwest storm
útsynningsvetur	winter with mainly south-west wind
útsynningsæl	a shower from the southwest
útsynningur	1southwest;í ein útsynning úr Føroyumsouthwest of the Faroes2south-west wind; útsynningurvestanSW by west, west-south-west;útsynningur sunnanSW by south, south-south-west;beinur útsynningurdue southwest;hann er útsynningur (í ættini)the wind blows from the southwest;hann stóð á útsynningisouthwester, south-west wind;lágtrýstið nærkast úr einum útsynningithe depression is approaching from the southwest;útsynningurin blæsir yvir sjóvídd, sum er 1200 fj.the fetch of the southwesterly wind is 1200 miles3(høvuðbúni) sou'wester
útsýni	view;hava gott útsýnihave a good view;vítt og bjart útsýnihave an unobstructed view;hava útsýni yvir haviðhave a view of/over the sea
útsýnt	with a good view;á støðum, har útsýnt varin some places where the view was good
útsøga	síútsøgn1
útsøgn	1statement, assertion;eftir útsøgn hansara at dømaaccording to his statement;eftir útsøgn frá serkønumaccording to expert opinion2(stfr.)(trueorfalse) proposition;at 12 er staktal er ósonn útsøgnthe proposition that
útsøla	sale
útsøluprísur	bargain price; clearingel.clearance price
útsølutíð	í útsølutíðini when the sales are on
útsøluvøra	item on sale;útsøluvørursale goods
úttak	(teld.)output
úttaka	sítaka(út)
úttala1	(tlm.)pronunciation(t.d.the pronunciation of a word; teach English pronunciation), enunciation(t.d.of a sound//of a word);sí eis.framburður2
úttala2	(tlm.)pronounce; úttalanavnið rættpronounce the name correctly
úttambaður	stretched, inflated, blown up; swollen, distended, bloated;ein úttambað troyggjaa much stretched sweater
úttandur	síúttambaður;tenja(út)
úttangi	tongueorspit of land facing the open sea
útteipaður	exhausted, fatigued, tired, worn out, dead-beat, dog-tired, all in
úttervaður	exhausted, fatigued, tired, worn out, dead-beat, dog-tired, all in;teir vóru allir úttervaðirthey were all exhausted
úttikin	1selected; úttikintil landsliðiðselected for the All-Faroe team2(t.d.um bát, of boat) be swept away by the surf3síútlúgvaður;vit høvdu knossað so leingi, at vit vóru úttiknirwe had been working so hard that we were exhausted; síeis.taka(út)
úttjørgaður	dirty, soiled, muddy, filthy
úttrappa	steps(flt)
úttrá	the call of foreign places, longing to go abroad, wanderlust;(tlm.)itching feet; travel bug
úttuskaður	síútlúgvaður
úttúraður	síútlúgvaður
úttýða	(gl.)interpret(t.d.lóg), explain(t.d.a text to students); úttýðabíbliunaexpound the Bible
úttýðing	interpretation(t.d.of a dream//of a poem); reading,(t.d.of a difficult passage//of the facts of the case); expounding(t.d.of a text), (av bíbliuni) exegesis;skeiv úttýðingmisinterpretation, false reading(t.d.a false reading of his motive); úttýðingav orði Gudsexegesis of God's words
úttýggjaður	dirty, soiled, muddy, filthy;nógvur fuglur sat uppi á landi úttýggjaður í oljumany oil-polluted birds were sitting on the beach
úttærdur	wasted(t.d.wasted hands; he is terribly wasted); emaciated, worn to a shadow, worn away, haggard, gaunt;eitt smíl fór yvir úttærda andlit hansaraa smile went over his haggard face
úttøddaður	(stb.)síútlúgvaður
úttøka	1selection (of a team);úttøkan til landsliðiðthe selection of the All-Faroe team2(løgfr.)execution, distress;gera úttøkuseize property; levy a distress; execute a writ of fi. fa. (= fieri facias);gera úttøku hjá e-mseize sby's goods (in execution); levy execution on sby's property/effects; attach/distrain upon sby's goods;tann sum er fyri úttøkuthe distrainee3(handilsmál) drawing;ognarskrá av úttiknumholding of drawn;keyp av úttiknumbuy drawn;søla av úttiknumsell drawn
úttøku-	síeis.úrtøku-
úttøkudystur	(ítr.)trial (game), trials(flt); 22 leikarar verða úttiknir til úttøkudystinbe selected for the trials
úttøkuhavi	(løgfr.)[judgment creditor whose rights are secured on the debtor's property]
úttøkukort	cash card
úttøkunevnd	(ítr.)selection committee, selectors(flt)
úttøkuviðgerð	(løgfr.)execution; (fyri leiguo.tíl.)distraint, distress
úttømdur	emptied, drained, exhaustedorworked out (t.d.kolanám,coal mine)
útum	1outside(t.d.the door), farther out than the outlying spits of land;far útum eina løtugo out(side) for a moment;hann hugdi ikki útumhe was never out;fyrstu ferð eg slapp útumthe first time I was allowed to go out fishing on open sea2(out) over;bera útumspread peat out to dry;hann sandraði silvurpengarnar útumhe scattered the silver coins all over the table
útumbering	spreading out peat to dry
útumfarin	gone out (of the house)
útundirgerð	(húsasm.)small addition, annexe (built in connection with either of the long sides of a house)
útúr	1out (from a position inside sth);sólin kemur útúrthe sun comes out (from behind a cloud)2[ísamb.viðs]bresta, skera, froysa útúr (at flenna); taka útúr(sísagnorðsumleitorð)
útúrgerð	1addition;dururin var ein útúrgerðthe entrance hall was an addition síútundirgerð2(jarðfr.)apophysis
útval	(sj.)síúrval
útvaldur	1selected, select, chosen; (lýtaleysur) picked(t.d.goods; personnel);(tlm., serst. speis. el. niðr.)handpicked(t.d.the Government had the matter examined by a few handpicked experts);(átr.)elect(t.d.God's elect)2extremely, excellentlyel.eminently good; sívelja(út)
útvalin	(gl.)síútvaldur
útvarp	1broadcasting2broadcasting systemel.network, broadcasting service; (í Bretlandi) the BBC(st. fyritheBritishBroadcastingCorporation); (í USA) broadcasting company/corporation/network/system);Útvarp FøroyaThe Faroese Broadcasting Service3radio set, receiver; (við ongum forsterkara ella hátalara) tuner;keypa sær útvarpbuy a receiver;skrúva niður fyri útvarpinumturn down the radio;eiga útvarphave a radio;lurta eftir útvarpinumlisten (in), listen to the radio;sløkkja fyri útvarpinumturn/switch off the radio;tendra útvarpiðturn/switch on the radio;í útvarpinumon the wireless, on the radio, on the air(t.d.the play was performed on the radio; that band I used to hear on the wireless; I heard him on the air);tala í útvarpinumto broadcast, go/be on the air,(eis. t.d.speak over the radio);um útvarpiðby radio
útvarpa	broadcast
útvarpsbilur	(til upptøku) recording car, mobile recording unit; (til sendingar) mobile transmitter
útvarpsbylgja	radio wave
útvarpsfólk	broadcaster
útvarpsfráboðan	radio announcement;(serst.til einstaka lurtaran) radio message
útvarpsfrásøgn	news commentary; running commentary(t.d.on a football match); radio report; (uttanduraeis.)outside broadcast
útvarpsgjald	radio licence
útvarpsgudstænasta	radio divine service
útvarpshús	broadcasting house
útvarpskonsert	radio concert, broadcast concert
útvarpsleikur	radio play, radio drama
útvarpslóg	Wireless Telegraphy Act
útvarpslurt	radio set, receiver
útvarpslurtari	(radio) listener
útvarpslýsing	radio advertising; (einstøk lýsing) commercial;sending við útvarpslýsingumsponsored programme
útvarpsmaður	(radio) reporter, corresponent, newsreader
útvarpsrás	(tøkn.)radio channel, airway;útvarpsræsur (eis.)airspace
útvarpsrødd	broadcasting voice
útvarpssamrøða	radio interview; radioel.broadcast talk
útvarpssamskifti	radio communication
útvarpssendari	radio transmitter, radio sender
útvarpssending	broadcasting, radio transmission; (einstøk sending) broadcast(t.d.the BBC announces the following broadcasts), programme;sendingin varð avkvettthe station went off the air
útvarpsskrá	radio programme
útvarpsstjóri	director of the Faroese Radio
útvarpsstova	broadcasting studio
útvarpsstøð	radio station
útvarpssøga	(framhaldssøga) (radio) serial
útvarpstíðindi(r)	news bulletin
útvarpstól	radio set, receiver
útvarpstónleikur	radio music; (rás ið sendir tónleik) music radio
útvarpsviti	(radio) beacon, radio direction finding station,(st.)R.D.F.; eisradioviti
útvarpsýting	radio direction finding
útvarpsýtingarbilur	radio detector van
útvatnaður	sívatna(út)
útvega	get, procure(t.d.these goods are difficult to procure); obtain; come by(t.d.this book is difficult to come by); secure(t.d.he tried to secure seats//tickets); provide(t.d.the men are expected to provide food); supply(t.d.supply proof of sth); produce(t.d.can you produce a witness?); find(t.d.I must find £500 by next Friday; boots were found for the poor children);(tlm.)fix up(t.d.until accommodation in the overcrowded town could be fixed up)
útvegamaður	supplier; (í stórum) contractor; (av matvørum) caterer; purveyor;útvegamaður til hansara kongligu hátignby appointment to HRH;útvegamaður til herin//herflotanarmy//navy contractor
útvegan	procurement, raising; bringing about; establishment(t.d.of new markets); síútvega
útveganartíð	time of delivery;føst útveganartíðfixed time of delivery;prísur fyri fyrstu (seinnu) útveganartíðforward rate/quotation for next delivery
útveganarvirði	(handilsm.)purchase price
útvegari	síútvegamaður
útveggur	outeroroutside wall
útvegur	1way out, outlet;hellið hevði tveir útvegirthe cave had two outlets2expedient, means(t.d.find (a) means to do sth); way (of)(t.d.I don't see any way of helping him); way out (of a difficulty); resort, resource(t.d.that is his last resource); solution(t.d.the only solution is (a) recourse to arms); way/avenue of escape; (at snúgva sær út ígjøgnum) let-out, loophole
útveita	(handilsm. og teld)outsource
útveitari	(teld.)outsourcer
útveiting	(handilsm.)outsourcing
útveljing	choice, selection;(bíbl.)election;natúrlig útveljing (lívfr.)natural selection
útvendur	turned outward, out-turned;á teirri útvendu síðunion the exterior side
útviklingur	sígongdogmenning
útvinkul	(stfr.)exterior angle
útvinna	extract(t.d.oil from shale); win(t.d.metal from ore), workel.win coal; (av burturkasti til endurnýtslu) reclaim
útvinning	extraction, winning,(t.d.um olju) depletion, exploitation; (av kolieis.)working, mining;skattur á útvinning av náttúrutilfeingiseverance tax
útvinsla	síútvinning
útvinsluboring	(oljuv.)production drilling
útvinslubrunnur	(oljuv.)production well
útvinslubýtissáttmáli	(oljuv.)production sharing contract
útvinslueind	(oljuv.)production unit
útvinslugjald	(oljuv.)royalty
útvinslugongd	(oljuv.)course of production
útvinsluloyvi	(oljuv.)production license
útvinslupallur	(oljuv.)production platform
útvinsluroynd	(oljuv.)drill stem test(st.DST)
útvinsluskeið	(oljuv.)production phase
útvinsluskip	(oljuv.)production vessel
útvinsluslit	(oljuv.)production stop
útvinsluútbúnaður	(oljuv.)production facilities
útvirkin	(sálfr.) outwardly dircted;útvirkin atferðoutwardly directed behaviour
útvísing	1(ítr.)sending off, ordering off,dismissal2deportation, expulsion, banishment; síeis.burturvísing
útvísingarbonkur	(fótb.)penalty bench
útvísingarklivi	(í íshokki) penalty box
útvortis	exterior, external, outer, outside;útvortis skaðiexternal injury
útvortissnultari	(dý.)ectoparasite
útyvir	over (to cover sth);tað ber útyvirit is jutting out over;hann spenti netið útyvirhe spread a net over it;leggja útyvirlay over, spread over, cover (sth);skjóta útyvir;sískjóta;taka útyvirexcuse, make allowances for, bear with, be indulgent towards, forgive;Elspa bað hann taka útyvir, at hon stakk út eitt ørindiElspa asked him to bear with her, but she had a small business to attend to
útyvirgrógvin	(t.d. um veit, of a ditch)caved in, collapsed, fallen in
útætt	(stb.)onshore wind
