o1	(málfr.)vowel, /o:/
orðastríð	dispute, altercation, battle of words;tey vóru ógvuliga ofta í hvøssum orðastríðthey were often having caustic disputes
orðatak	síorðtak
orðatilfar	1vocabulary2one's vocabulary;virkið og óvirkið orðatilfaractive and passive vocabulary
orðatiltak	phrase, idiom
orðatrot	lack of words,hann er ikki í orðatrotihe is not lost for words, he is not hard up for words
orðaval	choice of words;hann er óstortsligur í orðavalhis choice of words is impetiuous
orðavargur	windbag, someone who uses big words, bombastic person, braggart, boaster;hann var ein sovorðin orðavargur, hann tók so ógvisliga til orðannahe was a windbag who always used big words;hann hevur ikki verið tiltikin fyri at vera nakar orðavargurhe has never been accused of being a braggart
orðavas	verbiage, verbosity, torrentel.spate of words, flow of words
orðavavstur	verbosity, verbiage; logorrhea; torrentel.spate of words, flow of words, claptrap, fustian; bombast;langur orðavavsturrodomontade, a bombastic speech
orðbera	express, put into words; orðberasegexpress oneself;tað er torført at orðbera seg á rættan háttit is difficult to express oneself in an adequate way
orðblindi	dyslexia, word-blindness
orðblindingur	dyslexicel.dislectic person, word-blind person
orðblindni	dyslexia
orðblindur	dyslexicel.dislectic, word-blind
orðbragd	usage(t.d.modern English usage);longu í 15. øld síggjast donsk orðbragd at vera komin inn í norskt og føroyskt skriftmálDanish usage influenced Norwegian and Faroese written language as early as the 15thcentury
orðbrosin	(gl.)flippant, using too strong expressions
orðbýta	divide a word
orðbýting	(ljóðfr.)syllabic division;(málfr., prent.)word division;(teld.)hyphenation
orðfáur	taciturn, silent, of few words(t.d.he is a man of few words); sparing of words;stillførur og orðfáur maðura quiet (and taciturn) man;henda orðfáa lýsing sigur nógvthis terse account tells the story
orðfeingi	(málfr.)vocabulary
orðfella	be expressive(t.d.language), be eloquent;hann tosar reint suðuroyarmál og dugir væl at orðfella taðhe speaks fluent and expressivesuðuroyarmál(the dialect of the island of Suðuroy)
orðfelli	síorðafelli
orðfesta	confirm in writing; announce in writing, make known in writing, make public (in writing)
orðfimi	eloquence, expressiveness (of language);hon segði frá tí við einføldum orðfimishe related the incident with unpretentious eloquence
orðfimur	eloquent, expressive, articulate, with a shrewdoradroit tongue, quick
orðfittur	eloquent, expressive, articulate, with a shrewdoradroit tongue, quick;vera orðfitturbe incisive
orðformur	(málfr.)form of a word, word form
orðfúsur	garrulous, who likes to talk (far) too much, who is eager to talk;tú ert so orðfúsur í morgunyou have much on your mind this morning;hann angraði, at hann hevði verið so orðfúsur og høgt so niður á hanahe regretted having talked his head off and for having criticized her so severely
orðføra	orðføra seg express oneself, put it;hann dugir væl at orðføra seghe knows how to express himself
orðføring	usage, way of expressing oneself, way of putting it; form of words, language, style
orðførur	talkative, loquacious, garrulous, chatty, gabby; flippant;hann kundi vera í so orðførurhe was sometimes too flippant
orðgonga	discussion, debate, dispute, controversy
orðgýtast	be verbose, garrulous,(tlm.)jaw;hann er so raskur at orðgýtasthe is such a garrulous man
orðhagur	1eloquent, expressive, articulated, with a shrewdoradroit tongue, quick2(sj.)síorðhavin
orðhaldin	honest, who keeps hisel.her word; orðhaldinmaðuran honest man, he keeps his word, his word is as good as his bond, he is a man of his word
orðhavin	who talksel.chatters indiscreetlyel.foolishly; who talks big, who holds forth, flippant;hann var so spotskur og orðhavinhe was both sarcastic and indiscreet in his talk
orðhildin	síorðhaldin
orðing	1(mode of) expression, formulation, wording2wording(t.d.of a contract)
orðklúgving	hair-splitting, quibbling, sophistry
orðkringur	eloquent(t.d.lecture; preacher; sermon; speaker; gesture; look);(serst.um politikara) silver-tongued; (væl skorin fyri tungubandið) voluble, glib; expressive, articulate, with a shrewdoradroit tongue; orðkringurmaðuran eloquent man
orðkvettin	brusque, blunt, curt, gruff, abrupt;hann er so orðkvettinhe is very blunt man
orðkýtast	(stb.)quarrel, wrangle, bicker;tey orðkýttust orðkýtastthey were quarrelling
orðkýtingur	(stb.)quarrelsomeel.cantankerous person, (um konufólk) scold, shrew, nagger
orðleiða	1(bíbl.)state, say; orðleiðatað, ið fjalt hevur verið frá upphavitalk about that which has been concealed from the very beginning2(sj.)sully, defile, smear(t.d.sby's memory, sby's reputation); blacken(t.d.sby's character);at kunna standa so og orðleiða fólkto get/bring oneself to sully people's reputation like that;hon var illa orðleiddher character had been blackened
orðleikur	síorðaleikur2
orðleypa	(ovtala seg) make a slip of the tongue, give oneself away, say too much; (avdúka seg) give oneself away; (avdúka loyndarmál;tlm.)let the cat out of the bag, spill the beans, blow it; (sum gleppur e-m av munni) blurt out sth;at eg skuldi orðleypa megit was too bad that I made such a slip of the tongue
orðleysur	1unsaid, unspoken, unpronounced, silent;ekki og iðran herja orðleys á hannhe was torment by unspoken anxiety and self-reproach2[sumhj]orðleyst; silently, without uttering a word;orðleyst tilbað eg teyI adored them in silence
orðliður	(málfr.)component part of word
orðloypin	who talksel.chatters indiscreetlyel.foolishly; who talks big, who holds forth, flippant;hann var altíð nakað orðloypinhe was a rather tactless person, you couldn't say that he was rather tactful/discreet; síorðhavin
orðloysi	breach of faith; (tíðum) treachery
orðloysingur	person who breaks his wordel.breaks a promiseel.a vow he has made
orðlýsing	definitionel.explanation of a word (, of words)
orðmark	(málv.)word boundary
orðmerki	[trade mark consisting of a word or words];(teld.)word mark
orðmikil	síorðamikil
orðmynd	(málfr.)the picture of a word
orðmyndaháttalag	word method; look-say method
orðna	1arrange, rearrange, adjust(t.d.he adjusted his tie; adjust one's clothes); put straight(t.d.put one's tie//hair straight); set to rights, set right; put in order(t.d.put the garden in order); tidy(t.d.a room, one's hair);(am.)fix(t.d.let me fix the furniture for you);hetta er skjótt at orðnato put this straight takes no time2order sby about,(tlm.)push sby around, boss sby(GG:who's she, coming it over us?);orðna e-m at gera e-tcommand/order sby to do sth;tú skalt ikki orðna við mærI won't be pushed around;hon orðnar altíðshe is always asserting herself too much, she is too imperious
orðníðingur	person who breaks his promises (in serious cases)
orðrómur	(bíbl.)síorð7,ámæli2
orðrót	(málfr.)root (of a word)
orðrættur	1síorðarættur2[sumhj]orðrætt;eg segði orðrætt frá tíI told them the account word for word
orðsending	1order, command; request, invitation, call;nógv fólk kom til býin eftir orðsending frá Ólavi kongipeople in large numbers came to the town by the request of King Olaf2(stjm.)verbal note, note verbale (boð frá ríkisstjórn til aðra orðað í formligum skjali)
orðskiftast	discuss, argue, debate;teir stóðu og orðskiftust um støðunathey were discussing the situation
orðskvaldur	síorðaskvaldur
orðsnið	form of a word, word form
orðsnildi	eloquence
orðsnúgvin	eloquent
orðsstaður	íosb. taka e-t í orðsstaðrely on what has been said;tað er ikki takandi í orðsstað, tað hann sigurwhat he says is not to be relied (up)on
orðstovnur	root, radical, stem
orðstýrari	chairmanel.chairperson (of a meeting)
orðtak	1common saying, proverb, adage, colloquialism2íosb. taka e-t í orðtakrepeat sth and put it about;eg taki tað ikki í orðtakI am not repeating itorputting it about
orðtaka	(málfr.)extract; orðtakabókextract words from a book
orðtakaspæl	(game of) charades;spæla orðtakaspældo charades
orðtal	íosb. taka í orðtalcirculate(t.d.a piece of news, a rumour); spread(t.d.a rumour, a story); put about(t.d.he put about the story that she had been in gaol);tak tað ikki í orðtalkeep it strictly between ourselves
orðtøka	(málfr.)word borrowing
orgallur	rascal, evildoer, malefactor
organ	(kvæð.)organ
organspípa	(kvæð.)organ pipe
orgul	(tónl.)organ
orgulbonkur	organ bench
orgulbrús	(organ) peal, pealing, swell
orgulklangur	organ toneel.notes;eins og orgulklangurlike organ music
orgulkonsert	organ concert
orgulkorall	(tónl.)voluntary, choral prelude
orgulleikari	organ player, organist
orgulloft	organ loft
orgulmanualur	manual, (organ) keyboard
orgulrødd	organ stop
orgulsmiður	organ builder
orgulsmíð	organ building
orgulspæl	(spældur á orgli) organ playing; (útsettur til orgul) organ music
orgulspælari	organ player, organist
orgultónleikur	organ music
orgulverk	organ
orka1	1(styrki) strength;leggja alla sína orku í/á e-texert oneself to the utmost, put one's shoulder to the wheel,(tlm.)give it all you've got2(mekanisk orka) power(t.d.the machine is worked by electrical power), output(t.d. the engine has an output of...)3(alisfr.)energy4(orka hjá fólki) energy, vigour(t.d.the energyel.vigour with which he pursued this scheme)5(lívsmáttur) vigour, vitality(t.d.a person of enormous vigourel.vitality)
orka2	be able to, be capable of doing;hann orkar ikki at eta upphe is not able to eat up;hann orkar ikki at tiga við tí longurhe can't keep the secret to himself any longer;ikki orka meirabe satisfied, be replete, be full up;hann róði alt tað, hann orkaðihe rowed as hard as he could;ikki orka1be unable to, not be capable of doing;hann orkaði ikki á støðnahe was unable to walk (down) to the landing place2cannot stand, cannot endure, cannot bear;eg orki ikki fyri tíI cannot stand/stick/abide it;eg orki ikki fyri víniI detest/loathe wine;eg orki ikki fyri atI hate to(t.d.I hate to go to bed early); hate + -ing(t.d.I hate listening to anecdotes);tey orka ikki fyri hvør øðrum (eis.)they hate each other like poison
orkestur	1(tónl.)orchestra;stórt orkesturfull orchestra;útsett fyri orkesturorchestrated;útseting fyri orkesturorchestration2(lítið, tíðum við færri sløgum av ljóðførum) band(t.d.military band, dance band, brass band, jazz band); (stórt djassorkestur) big band; (lítið djassorkestur) combo; (beatbólkur) group3(á forngrikskum leikpalli) orchestra
orkesturdirigentur	(tónl.)conductor (of an orchestra);(am., eis.)leader (of an orchestra)
orkesturgrøv	(sjónl.)orchestra pit
orkesturkonsert	orchestral concert
orkesturpallur	(i konserthøll) orchestra; (um dansiorkesturo.tíl.og úti) bandstand
orkesturverk	orchestral work
Orknoyggjar	the Orkneys
orknoyingur	Orcadian
orknoyskur	Orcadian(t.d.his Orcadian home)
orkuavgjald	tax on energy
orkubanki	(teld.)power bank
orkubroytari	(ravm.)transducer (búnaður, ið broytir orku úr einum formi í annan,tdhátalari, ið broytir ravmagn til ljóðorku)
orkubroyting	energy change
orkudrykkur	energy drink
orkuflutningur	energy transfer
orkufrágreiðing	energy survey
orkufrekur	energy-intensive, requiring much energy;orkufrek framleiðslaenergy-intensive production, production requiring much energy
orkufrøði	energetics
orkuføri	capacity; sí eis.føri, rúmføri
orkugerð	(alisfr.)transformation of energy, energy conversion
orkugevi	energy source, source of energyel.power
orkugoymsla	storageel.accumulation of energy
orkuinnflutningur	fuel import
orkuídnaður	energy industry
orkukelda	energy source, source of energyel.power, prime mover;olja og vindmegi sum orkukelduroil and wind power as sources of energy
orkukreppa	energy crisis, fuel crisis
orkulind	source of energy
orkulítil	beel.feel indisposedel.unwellel.out of sorts; not beel.feel very well;konan føldi seg sjúka og orkulítlahis wife was ill and felt indisposed/unwell/out of sorts
orkuloysing	(alisfr.)release of energy
orkulæra	energetics
orkumarknaður	energy market
orkumál	(stjm.)energy matters, energy affairs
orkumálaráð	(stjm.)energy ministry, ministry of energy; (í Bretlandi) Department of the Environment
orkumálaráðharri	(stjm.)energy ministry; (í Bretlandi) Department of the Environment
orkumálari	dynamometer
orkumáling	dynamometry
orkumeingi	amountel.quantity of energy
orkumikil	strong, powerful, energetic(t.d.an energetic man); strenuous(t.d.effort; work); intensive(t.d.propaganda; study); keen(t.d.teacher); vigorous(t.d.attempt)
orkumongd	amountel.quantity of energy
orkunýtsla	(alisfr.)energy consumption
orkunøgd	amountel.quantity of energy
orkupera	energy-saving light bulb
orkupolitikkur	energy policy
orkupolitiskur	energy policy(t.d.measures)
orkuráð	energy council
orkuráðgevi	energy auditor
orkuríkur	1strong, powerful2energetic(t.d.an energetic man)3energy-rich(t.d.country)
orkusparandi	energy-saving, energy-conserving, fuel-saving; (um akfar tíðum) lean-burning;orkusparandi atgerðirenergy conservation, energy-saving measures
orkusparing	savingel.conservation of energyel.fuel; energy conservationel.efficiency
orkusparingar-	energy-saving, energy-conserving, fuel-saving; (um akfar tíðum) lean-burning;orkusparingartiltøkenergy saving measures
orkusparingarpera	síorkupera
orkuspell	energy dissipation;tað hevur ivaleyst elvt nógv orkuspellit has, no doubt, caused a great deal of energy dissipation
orkustig	energy level, energy state
orkustøð	power station, power house
orkustøða	energy situation
orkutap	energy loss
orkutilfeingi	energy resources
orkutøkni	(alisfr.)energetics
orkutørvur	energy demand(s)
orkuumgerð	energy transformation
orkuútflutningur	fuel export
orkuúttak	power take-off
orkuvarðveiting	(the) conservation of energy
orkuveiting	energyel.power supply
orkuverk	power station, power house
orkuøki	energy sector
orlogsskip	(gl., sigl.)man-of-war
orlov	leave (of absence);hava orlovbe on leave,biðja/søkja um orlovapply for leave; síeis.farloyvi
ormabit	(bíbl.)snake bite
ormaeitur	snake poison
ormafirvaldur	(firv.)antler moth(Cerapteryx graminis)© Wikimedia Commons
ormagarn	finely spun thread;fínt sum ormagarnextremely/exceedingly finely spun thread
ormagras	(plfr.)eyebright(Euphrasia)
ormahús	(í dýragarði) snake house
ormaprýðing	guilloche
ormasjúka	(lækn.)worm infestation, helminth infection
ormatógv	extremely finely-spun yarn
ormaungar	(bíbl.)brood of serpents, generation of snakes
ormaveður	símaðkaveður
ormetin	worm-eaten; infested with maggots
ormshamur	slough
ormshøvur	1snake's head2(plfr.)viper's bugloss(Echium vulgare)
ormslíkur	snake-like, serpent-like, serpentine
ormstunguætt	(plfr.)the adder's tongue family(Ophioglossaceae)
ormur	1snake;(bíbl. og bókm.)serpent2worm3(á yrkismáli um øll sløg) larva(fltlarvae); (hjá firvaldumo.tíl.)caterpillar; (hjá klukkum og vespum) grub; (hjá skinflugu) maggot4(fólktr., kvæð.)dragon;Ormurin langiThe Long Dragon (a viking ship)5(lækn.)(human) pin worms, worms;(Enterobius vermicularis); barnið hevur ormthe child has worms
ormvera	(dýr.)caterpillar
ormverueitur	larvicide, larvacide
ormverugong	(dýr.)(larval) burrow
ormverustig	(dýr.)larval stage
orna	1become warm;tá ið ornað var inni, var liðið út um miðja náttit was midnight before the room had become warm;orna tók hans blóð (kvæð.)it made his blood boil;nú var tað rættiliga farið at orna teirra millum (fl.m.)they had fallen in love2be embarrassed, get flustered, feel awkward, feel sheepish; ornaum skallanget flustered;orna av skommblush of shame;eg bæði ornaði og rodnaðiI felt both warm and flustered;hann ornaði viðhe felt acutely embarrassed
orr	stinkingel.fetid mud
orra	(of mud, sour milk, fish's entrailsetc)rot, putrefy, decompose, ferment;flotkøstar og blárennur, sum standa og orramanure heaps and gutters which stand and rot;standa og orra (fl.m.)stand idle and get in other people's way
orrabøga	(dýr.)grey hen
orragoggur	1(stb.)síveðragjólingur2(fl.m., niðr.)rogue, rascal, person who likes to do sby a dirty trick;hatta er tann orragoggurin, ið erhe's a rascal
orrahani	(dýr.)blackcock
orri	(fugl.)black grouse(Tetrao tetrix)©iStock
orrusta	fight, combat, battle;vekja orrustupick a quarrel(við e-nwith sby)
orsak	(gl., tlm.)síorsøk
orsaka	1cause, occasion, bring about;orsakað av e-mbecause of sth2excuse, make excusesel.allowances for; bear with; be indulgent towards; forgive; orsakae-nmake excuses for sby;orsaka segask (sby's) forgiveness, apology for
orsakan	(sj.)apology(t.d.offer an apology)
orsakareykasetningur	(málfr.)causal clause
orsakarsambindingarorð	(málfr.)causal conjunction
orsakasamband	(løgfr.)causal connection
orsaki	reason, cause;hava orsaka at gremja seghave reasons for complaint, have subject for complaint
orsøk	1(grund) cause(t.d.malnutrition is the cause of many diseases);av teirri orsøkbecause of that;hann hevði orsøk at vera illurhe had cause to be angry;orsøk og virknaðurcause and effect2(skynsemisgrund) reason;orsøkin (til) at eg havi illgruna tilhansara the reason why I suspect him;av teirri orsøkfor that reason;tað er eingin orsøk at hava illgruna til hansarathere is no reason to suspect him3(høvi, tilelving) occasion(t.d.there is no occasion to laugh); subject(t.d.give them no subject for complaint)4(støði fyri pástandio.tíl.)ground(t.d.I have no grounds for believing that)5(sum fær ein til at gera eitt) motive
ortur1	síyrkja
ortur2	addressed, drawn up, put, worded(t.d.a well-worded article);vera væl//illa ortur1useel.make use of fair//dirty words2speak well//badly of people; speak slightingly of, disparage, run down;Sput down;vera undarliga orturmake use of strange usage
orv	snath, snathe
os	sívær
osa	(um lampu) smoke; (lukta) reek;lampanel.ljósið osar(slímar) the lamp the candle is smoking; síslíma
osara	(gl., stb.)okkara, sívær
o.s.fr.	og so framvegisetc, and so on, and so forth
oskabásur	síoskbásur
oskabjørn	(dýr.)crustacean (type of parasite on fish)(Isopoda)
oskadralvi	síketilostur
oskamjólk	colostrum, first milk
oskbásur	íosb.sumkúgvin stendur á oskbásithe cow has calved and is till giving colostrum (the first eight days after calving);taka kúgv á oskbásimilk for the first time after cow has calved
osmanni	(sø.)Osmanli
osmanskur	(sø.)Osmanli;Osmanska/Høga liðiðthe (Sublime) Porte
osmium	(evnafr.)osmium
oson	(alisfr., evnafr.)ozone
osongagnligur	ozone-friendly
osonhavin	ozone-containing
osonhol	hol í osonlagnum hole in the ozone layer
osoninnihald	concentration of ozone
osonlag	(alisfr., evnafr.)ozone layer;broytingar í osonlagnumozone depletion processes
osonlagsskaðiligur	ozone-depleting
osonlampa	ozonizer, ozone apparatus
osonvinaligur	ozone-friendly
oss	os, osum; sívær
ostafarg	cheese mould, hoop
ostaformur	wooden cheese mould
ostagerð	cheese manufacture, cheese-making
ostahøvil	cheese knife
ostakoppur	(stb.)cheese mould, cheese hoop
ostalak	cheesecloth
ostamjólk	milk used for cheese-making
ostaskerari	síostskeri
ostaskorpa	cheese rind
ostavoks	cheese coating, cheese wax
ostbásur	(óregl.)síoskbásur
ostevni	(mjólkviðv.)casein
ostflís	slice of cheese
osthøvil	síostahøvil
ostkista	(gl.)cheese mould, cheese hoop
ostra	(dýr.)oyster(Ostrea)© Wikimedia Commons
ostrakisma	(sø.)ostracism (í Grikkalandi í fornøld)
ostrualing	oyster breeding, oyster culture
ostrudánaður	oyster-shaped;(fakl.)ostreiform
ostrufiskimaður	oyster fisher
ostrufiskiskapur	oyster fishing, oyster fishery
ostrugaffil	oyster fork
ostruídnaður	oyster industry
ostrukelv	spat
ostrukelvingur	spat
ostruknívur	oyster knife
ostrulagaður	oyster-shaped;(fakl.)ostreiform
ostruleið	oyster bed, oyster bank
ostrulittur	oyster-coloured
ostruskapaður	oyster-shaped;(fakl.)ostreiform
ostruskel	oyster shell
ostrusós	oyster sauce
ostruvaksin	oyster-shaped;(fakl.)ostreiform
ostskeri	cheese knife, cheese slicer
ostur	1cheese;kæsa ostmake cheese2(plfr.) Geodia
osum	sívær
ota	pushel.shove forwardel.backward, press, force, penetrate; apply pressure slowly (to make headway oneselforto make another give way); otae-n út á sjógvpush sby into/in the water;ota burturpush sby away, force sby out; crowd out; supersede, displace;ota seg framforce one's way forward, push forward;ota seg undandraw back, withdraw, retire, retreat;ota seg inn á e-npress sby hard/closely(GG:memories of his childhood were crowding (in) on him);standa og otastbe too shy to approach, be too shy and apprehensive
otan	throng, crush(t.d.she nearly got trampled in the crush);tað var ein otan av fólki framman fyri skivunathere was a terrible crush in front of the counter
o.tíl.	(st.)og tílíkt etcel.and the like
otur	(dýr.)otter(Lutra vulgaris)
oturfella	otter trap
otursaksur	otter trap
oturskinn	otter's skin, otter
oturveiði	otter-catching, otter-hunting
o.u.	(st.)okkurt um about, approximately; roughly; broadly;(serst.ísamb.við árstøl) circa, c
ov	(muchel.far) too (much); ovmikiðtoo much;ov mikið og ov lítiðtoo much and too little;ov tíðligatoo early;ov seinurtoo late;ov ungurtoo young;ov gamaltoo old;teir vóru ov nógvir á bátithe crew of the boat was too large;børnini komu ov seint í skúla í morgunthe children were too late for school this morning;ov seint vart tú nú á ferð (kvæð.)you are up (and about) too late
ovarbeiða	overwork, work too hard, over-exertel.overstrain oneself, overtax one's strength;(tlm.)overdo it(t.d.I have been overdoing it lately);doktarin segði, at hann hevði ovarbeitt segthe doctor said that he had overtaxed his strength
ovarbeiði	overwork, over-exertion, strain;andsperri avovarbeiði soreness/ache/pain/tenderness because of overwork
ovari	1(av tveimum) uppermost; upper; ovarivegurthe upper road;ovari parturthe upper part;tær ovaru hæddirnarthe upper storeys,(am.)the upper stories;ovara markupper limit;(stfr.)least upper bound;ovaru luftløginithe upper strata of the atmosphere;ovari í ánnithe upper reaches of a river;ovaru tøl (stfr.)upper bound2(jarðfr.)hanging3[sumhj] fartherel.further up;reiður høvdu vit einki sæð, kanska tey vóruovari we had not come across any nests perhaps they were farther up
ovarlaga	(fairly) high up;húsini standa ovarlaga í bygdinithe house(s) is//are fairly high-lying in the village
ovast	on top(t.d.put the best apples on top); at the top; uppermost
ovastaloft	attic
ovasti	1(herm.)commander-in-chief; síeis.hægstráðandi2(herm.)colonel
ovastur	top(t.d.the top button of his coat; the top drawer; the top branchel.shelf); upper(t.d.the upper branchesel.layers); uppermost, topmost(t.d.the topmost bough);(fl.m.)supreme;ovastithe top(el.the uppermost) one; (sum hevur hægstu tign) the chief, the head;ovasta brúgv (sigl.)flying bridge;ovasti stjórithe supreme chief;ovasti herstjóri(hægstráðandi) the commander-in-chief,(st.)the C-in-C; the supreme war lord;(t.d.um amerikanska forsetan) commander-in-chief of the armed forces; (fyri virki)ovasti stjórithe senior executive;ovasta hæddin í húsinumthe top floorel.storey(am.story) of the house;ovastur embætismaðurtop-ranking official;ovasti parturthe top(t.d.of the pile);ovasti/hægsti dómarithe supreme judge;ovasta/ovara dekk (sigl.)the upper deck, (opið) the weather deck;ovasta horn vinstrumeginthe top left-hand corner;ovasta herleiðslathe supreme (army) command;ovasta herráðthe Supreme War Council;ovasta/hægsta rættarstig (løgfr.)the final court of appeal;ovasti flokkur(í skúla) the top form (of a school);ovastu flokkarnir(í skúla) the top/upper/higher forms (of a school)(el.the upper school); (í samfelagi) the upper classes;ovasti valdthe supreme power
ovát	the act of overeating, gluttony
ovbardur	punished, beatenel.whipped too much;(orðt.) eingin biskupur er ovlærdur og eingin skúladrongur ovbardurno bishop is too learned and no school boy punished too much (nobody gets too much of what he needs)
ovbeiðsla	too large a claimel.demand
ovboðið	too difficult to manageel.master; impossible; too exacting, beyond one's means;hon hevði roynt at berjast ímóti, verið djørv, men nú var ovboðiðshe had tried to fight against it, she had been courageous, but it had now become too difficult to manage;vera ovboðiðthis is the last straw! (that is the limit!el.that is a bit thick!);vera e-m ovboðiðbe too exacting;honum var einki ovboðiðnothing was too much for him;hann helt einki vera ovboðiðnothing was too much for him;(orðt.) øllum er ovboðiðthere is a limit to everything
ovbyrja	1overburden, overtax; overstretch;ikki vildi hann ovbyrja tingiðhe wouldn't overstretchthe Løgting; ovbyrjaður1overburdened, overstretched(t.d.the department is overstretched);ovbyrjaður av/við e-m(t.d.arbeiði)overburdened with work;vit vóru ovbyrjað av gestumwe had too many guests;hann hevði í fleiri dagar gingið ovbyrjaður av sorg og gremjanhe had been overburdened with grief for several days2saddled(t.d.saddled with children//with poor dependents), encumbered(t.d.encumbered with a heavy coat//with a family//with parcels), burdened(t.d. burdened with heavy taxes//with other people's troubles), troubled, oppressed2(tøkn.)overload
ovbyrjingarsjúka	strain disease
ovbýldur	(serst. um eitt land)overpopulated, overcrowded; (um lítið øki) congested(t.d.areas); overcrowded; ovbýldurbýarpartura congested part of the town
ovdirvi	arrogance, presumption;eg haldi tað vera ovdirvi av tygum at tala um slíkt fyri mærI find it arrogant of you, sir, to speak to me about such things
ovdjarvur	foolhardy, rash; reckless; hot-headed;hann læt ikki hesar ovdjørvu og harðrendu lærurnar hava seg av fótumhe wouldn't allow himself to be pushed over by these reckless and militant idiologies
ovdrekka	drink too much (of alcoholic liquors)
ovdrukkin	who has drunk too much, dead drunk;hann varð ovdrukkin og datt avhe was dead drunk and passed out
ovdrykkja	boozing, drinking too much;ikki gonguførur av ovdrykkjuhe was so drunk that he could hardly stand up
overtura	(tónl.)overture;overturan tilthe overture to
overva	overwork; overvasegoverstrain/overwork oneself;overvaðuroverworked, run down
overvan	overwork, over-exertion, strain;andlig og kropslig overvanspiritual and physical over-exertion
overving	overwork, over-exertion, strain;í ørviti av náttarvekri og overvingbe in a daze from keeping late hours and overwork
oveta	(av e-m)oveta seg overeat
ovfara	overdo, exaggerate; íosb.sumhonum tyktist ovfariðit was too much of a good thing
ovfarakátur	in a hilariousel.exhilerated mood, overjoyed
ovfarakæti	hilariousel.exhilerated mood; ovfarakætivar á ungdóminumthe youngsters were in a hilarious mood
ovfarin	overwhelmed, overcome, be taken aback; surprised, taken by surprise;hann støkk aftur eftir hæli, so ovfarin var hannhe was so surprised that he staggered backwards;tey vóru øll ovfarin og undraðustthey were taken aback and extremely surprised;teimum tókti ovfariðit came as an unpleasant/embarrassing surprise to them
ovfarni	surprise, astonishment; (ógvisligari) amazement; (málleysur) stupefaction
ovfegin	síovurfegin;hin gamli varð mestsum ovfeginthe old man was quite overjoyed
ovfermdur	overloaded, excessively loaded;skipið var ovfermtthe ship was overloaded
ovfiska	overfish, deplete
ovfisking	overfishing, depletion;fiskaloysi av ovfisking og veðurlagsbroytingumlack/scarcity of fish caused by overfishing/depletion and climate change;fiskastovnarnir eru hóttir av ovfiskingfish stocks are threatened by overfishing/depletion; (álvarsligari)endangered by overfishing/depletion
ovfólkaður	overpopulated, overcrowded;landið er ovfólkaðthe country is overpopulated
ovframleiðsla	(hugtakið) overproduction; (avlopið) surplus production; ovframleiðslaav olju fær prísin at lækkasurplus production of crude oil makes the price go down
ovfullur	1overloaded, full to overflowing, chock-full, chock-a-block, cram-full, crammed, packed;báturin var ovfullur og sakkthe boat was overloaded and sank2dead drunk,(tlm.)blind (to the world); plastered;hann tømdi fleiri fløskur og legðist ovfullurhe emptied several bottles and passed out
ovfylla	overfill, fill to overflowingel.to repletion; (stappa) cram;teir høvdu ovfylt seg við fiskithey had overloaded the boat with fish;ovfylla marknaðin við vørumglut/overburden/overstock/flood/swamp the market
ovganga	íosb. ovganga segwalk too hardel.fast, suffer internal injury from walking too hard;hann er ein eldri maður og skilagóður, so hann ovgongur seg ikkihe's an elderly and sensible man he won't walk too fast (in the mountains)
ovgiftur	who receives too much from sby and is not able to repay or to show proper gratitude;ikki gott at verða ovgifturit is not a good thing to receive too many presents;vit vóru mest sum ovgift av hesum dreingjunum, ið komu innwe had (quite) enough of the boys who came in
ovgjørt	íosb.sumikki var tað ovgjørtit was not asking too much;tað hevði ikki verið ovgjørt, um slíkt loyvi hevði verið giviðit would not be asking too much if such a permission was granted
ovgonga	(far) too hard walking, walking which does harm through overtiring
ovgongd	(far) too hard walking, walking which does harm through overtiring;bæði vóru tey pøst av ovgongdthey were both exhasuted from walking too hard
ovgoyma	keep (food) for too long a time
ovhita	overheat
ovhiting	overheating
ovkeypa	íosb. ovkeypa segpay too much, overpay
ovklyvjaður	overburdened
ovkóka	overboil;eplini eru ovkókaðthe potatoes have been overboiled
ovkyrktur	íosb.sumhann verður ovkyrktur av honumhe will become a burden to him
ovlaða	overload, overfill;teir høvdu ovlaðað segthey had overloaded the boat
ovlaðin	overloaded, crammed, cram-full, chock-full, full to overflowing; ovlaðinbáturan overloaded boat
ovlýsa	(lmynd.)overexpose;ansið eftir ikki at ovlýsa filminbe careful not to overexpose the film
ovlýstur	(lmynd.)overexposed
ovmannaður	1with too many men, overmanned, overstaffed;skipið var ikki ovmannaðthe ship was not overmanned2overpopulated, overcrowded, crammed;roykstovan var ikki so ovmannað um náttinatheroykstovawas not overcrowded at night
ovmeta	1(meta ov høgt) overestimate(t.d.he overestimated his strength); overvalue(t.d.the overvalued dollar); ovmetavirðið í e-movervalue sth2(virðismeta ov høgt) overrate(t.d.he is an overrated actor; this business of love is terribly overrated);ovmeta seg sjálvanhave too high an opinion of oneself, overrate one's abilities;latið okkum ikki ovmeta týdning fundarinslet's not overrate the importance of the meeting
ovmeting	(ov høg meting) overestimate; overestimation; (ov høg virðismeting) overrating, overrated view
ovmetta	1surfeit, glut, gorge (with);ovmetta seg viðgorge oneself with2(alisfr.)supersaturate
ovmettaður	supersaturated(t.d.solution, vapour); saturated(t.d.colour)
ovmettur	surfeited, glutted, gorged (with)
ovmikil	too much, símikil
