r	h (málfr.)consonant,/ær:/
ringnót	(sigl.)purse seine
ringongul	fishhook with an eye
ringpróvførsla	circular argument; eis.kringpróvførsla
ringrás	1(alisfr.)orbit; circuit;vera í ringráscirculate;seta fylgisvein í ringrásorbit a satellite,bring/put a satellite into orbit, insert a space craft in orbit;í ringrásin orbit;samanflættað ringrás (teld.)integrated circuit;lokað/læst ringrás (útv., sjónv.)closed circuit;magnetiskt ringrásmagnetic circuit;ringrás um mánanlunar orbit;náttúrunnar ringrásthe cycle in Nature;fara úr einari ringrás í aðrainter-orbital transfer2(oljuv.)circulation; síeis.blóðrensl,umfar,umferð
ringreið	(í tivoli) roundabout, merry-go-round, carousel, whirligig,(am.)car(r)ousel
ringrensl	síumferð1, ogringrás
ringrúm	(oljuv.)annulus
ringræsi	(dý., um kjaftmaga á tindahúðum)ring canal
ringrørsla	circular motion, circling, wheeling
ringskapaður	ring-like, ring-shaped, circular;(fakl.)annular;ringskapað sambond (evnafr.)cyclic/ring compound
ringskipan	(stjfr.)ring system;Jupiter, Saturn og Uranus hava allar ringskipanJupiter, Saturn and Uranus have all rings
ringumreiggj	(stb.)hubbub, hullabaloo, tumult
ringur1	1ring;hava ring á fingri//armiwear a ring on one's finger//arm;taka ring uppábecome formally engaged by wearing engagement rings2ring (of an oven);ketilin stendur á ringunumthe kettle is standing on the rings3ring, circle;lundin flýgur í ringpuffins are flying in a circle;sláa (í) ringbegin a chain dance;børnini gingu í ringi um træiðthe children walked around the (Christmas) tree;ringarnir um Saturnthe rings of Saturn4ringarnir[a particular Faroese knitting pattern]5lesiringurcircle of readers6(plfr.)ring, annulus7(undir eygunum) circle(t.d.there were dark circles under her eyes), ring8(veðurgarður um mánan og sólina) halo9boksiringurprize ring
ringur2	1ill, unwell, poorly, in bad health; (um arm, beino.tíl.)bad(t.d.I have got a bad foot);hava ringa heilsuhave a weak constitution;sjúkrahús til teir ringastu sjúklingarnara hospital for the worst cases, a hospital for terminally ill patients (hospice);øll vóru ring av sjóverkithey had all suffered terribly from seasickness;hann hevði verið so ringur av tannapínuhe had had (a) toothache,(eis.)he had had a raging tooth;ringur eftir seghave hangovers;summi børn eru ring fyri tonnumsome children suffer terribly when they cut their teeth;hava ringt høvdsuffer from headache;hava ringa samvitskuhave a bad/guilty conscience2bad, poor, inferior, worthless;ring eplipoor potatoes;kjøtið er ringt í árthe meat (lamb) is of inferior quality this year;so ringt er tað heldur ikkiit isn't that bad3unfavourable, poor(t.d.conditions);ringt veðurbad weather;tað gingu ring kavaælwe had many snow squalls;ringur sjógvurvery rough sea;hann hevur ikki verið so ringt á sjógvhe has never before been at sea in such rough weather;ringar tíðirhard times;tíðirnar vóru ringarthe times were hard;ringt skilthings are bad;ringt var við oljuoil was in short supply4wicked, evil, foul-mouthed;hava ringan munnbe foul-mouthed;vera ringur í munninumbe foul-mouthed;koma húsinum í ringt orðget the blame for the family, being unfavourably commented, bring one's home into bad repute;eingin skal sigast ringur fyri taðno one bears the blame for it,(eis.)he//she meant no harm;eingin skal siga hann ringan fyri taðno one will blame him for that;hann vaknaði við ein ringan dreymhe awoke from a bad dream;ring tungasíspírstunga;ring eygu1poor eyesight2evil eyes5desirous of sth; keen on, set on/to, bent on (sth;at gera eittdoing sth);teir vóru so ringir at rógva út, at teir høvdu ikki tíð at giftastthey were so set on fishing that they had no time for marriage;ringur eftir verðinibe very materialistic;tey vóru so ógvuliga ring at dansa(vildu so fegin) they like dancing very much6difficult(t.d.language; problem; task; it is difficult to believe that; he is a difficult author; difficult work); hard(t.d.the hill is hard to climb; this is the hardest part of all; these goods are hard to sell; the hardest part of the job is done); awkward(t.d.an awkward door to open; find oneself in an awkward position); intractable(t.d.problem); hard to do; hard to understand; difficult to manage; (viðkvæmur) thorny;(tlm.)stiff(t.d.problem; climb); tough(t.d.it is a tough job); sticky(t.d.problem; job); tricky(t.d.it is a tricky situation); (um fólk) difficult(t.d.her husband is rather difficult); hard to please, hard to satisfy, difficult to get on with; (tykkin) touchy; ringurat fáast viðdifficult to get on with;hon er ring at koma í takholt viðshe is a holy terror, she is a tough proposition/customer, she is a handful, she is not easy to deal with);teir høvdu mangan ringanthey often did the donkey work;vit høvdu mangan ringan á hesi ferð okkarawe had to exert ourselves on this trip;roknistykkini eru so ringthe arithmetical problems are difficult7sadel.unhappy about, sorrowful, mournful; ringurum e-n//e-tbe unhappy about sby//sth;vit eru øll ring um at fara úr húsinumwe are all distressed about leaving the house;eg eri so ring um, at tygum fara so illa(forharmað) I am sorry about you leaving without having enjoyed hospitality;ring tíðindia bad piece of news8inaccessible;har er so ringt umwalking there is difficult;Gásadalur hevur verið so ringur til sjógvinthe access by sea to the village of Gásadalur is extremely difficult
ringvegur	ring road, circular road, ringway,(am.)belt highway, beltway;ytri ringvegur (eis.)orbital
ringvøddi	(likam.)sphincter
rinka	1rock, sway;tonnin rinkarthe tooth is loose;rinka aftur og framrock forwards and backwards2work loose, rock, move,kanska ber til at rinka steinin leysanit is perhaps possible to work loose the stone(men:I could not budge the stone)
rinkuliður	(likam.)gliding joint, arthrodial joint
rinkusteinur	(stn.)rocking-stone;Rinkusteinarthe Rocking Stones ofOyndarfjørður
rinleysur	(alisfr.)non-inductive(t.d.circuit)
rinmálari	induction meter
rinmotorur	induction motor
rinnirót	(stb., tlm.)origin;hann er rinnirótin til stríðiðhe is the mischief-maker;rinnirótin til sjúkuna var maturinthe food caused the illness
rinravmagnsstreymur	(alisfr.)induced electricity
rinstreymur	(alisfr.)induction current, induced current
rinsveising	electromagnetic percussion welding
rintól	(alisfr.)induction coil
rip	slapel.smack in the face, clip on the ear, (heldurgl.)box on the ear;hon gav honum eitt ripshe slapped him in the face
ripa	1tear off the ears of corn from the straw; (síripari)2fetch sby a blow, clout sby, sock sby, strike at sby, aim a blow at sby;hon ripaði til hansarashe fetched him a blow,(tlm.)she clouted him on the head, she socked him one on the jaw, she struck at him, she aimed a blow at him;ripa niðurknock down(t.d.an opponent); fell(t.d.he felled him with one blow); down;hann ripar innhurðina upphe tears open the door;ripa hurðina afturslam the door;hon ripar hornið á aftur og fershe slams on/down the receiver and leaves;ripa nevan í borðiðbang the table, bring one's fist down on the table with a bang;(fl.m.put one's foot down)3fling, throw(t.d.throw a pail of water over him; throw sth aside; throw sby in prison); pitch(t.d.he pitched the letter into the wastepaper basket); shy(t.d.a stone), hurla;hann ripaði ferðataskuna út í túnhe threw the travel bag out through the door;hann ripar seg úr troyggjunihe tore off his jersey;ripa uppknock/run up(t.d.a house)4knit diligently and quickly
riparabonkur	bench to which theripariis fastenedel.fixed
riparakjaftur	íosb. sum at líta í ein riparakjaft(of men who sit closely together in a boat)
riparatindur	tooth of aripari; standa sum riparatindarstand in close files, stand in serried ranks;manningin stóð sum riparatindar aftur við lúnninginithe crew stood in a close file along the gunwale;áskoðararnir vóru sum riparatindar í brekkunithe slope was densely packed with spectators
ripari	instrument for tearing ears (of corn) off the straw;tað stendur á riparanum hjá honumhe has (some) difficulty in keeping pace(t.d.with a job);tað var sum í riparanumthere was much fish to catch
-ripiligur	síum-
riping	tearing of the ears (of corn)
rippa1	símannfólkarippa
rippa2	tug, pull, (stutt og kvikliga) twitch, jerk(t.d.jerk sth aside//back//out), snatch; rippae-t til sínsnatch sth;báturin varð riptur úr neystithe boat was pulled out of the boathouse;hann ripti stavin úr hondunum á mærhe snatched the stick out of my hands;eg skal rippa kjaftin saman á tærI shall stitch together your big mouth
rippa3	rippa húkar fasten fishhooks to the snood/snel
rippast	(e-m)rippast eftir chase after men
rips	(plfr.)síribs
ris	1rise, rising (t.dsólarrissunrise)2sudden surf in calm weather3foam from waves4(handv.)the pitch of a staircase
risa-	1concerning a giantel.giants2giant, gigantic, colossal, immense, enormous, huge, stupendous;(tlm.)blockbuster(t.d.a blockbuster hamburger)
risaborg	the castle of a giant, a giant's castle
risabókstavur	giant letter
risabulur	gigantic frame
risabýur	giant city
risadreki	dinosaur
risafet	sírisagleiv
risafiskur	giant fish
risaflogfar	giant aeroplane(am.)giant airplane
risafura	(plfr.)giant sequoia, mammoth tree(Sequoia gigantea)© Mike Murphy
risagleiv	giant stride; giant step;við risagleivum/risafetum (fl.m. eis.)by leaps and bounds(t.d.increase//advance//progress by leaps and bounds);ganga framá við risagleivum/risafetumadvance by giant strides
risagrýla	(stb.)sígrýla2
risahelli	giant's cave
risahond	giant's hand; gigantic hand
risahøgur	gigantic, huge
risakanón	giant gun
risakelling	giantess, giant's wife
risakendur	gigantic, giantlike;risakend tramp og traðk
risaklapp	(far) too violent a pat (caress);hansara kín vóru oftast sum risaklapphis patting was like a giant's caress
risakona	1giantess2giant's wife
risakroppur	gigantic frame
-risal	sígongu-
risaligur	gigantic; risaligurtóktist hann vera bæði í útsjónd og skapihis appearance as well as his stature seemed like those of a giant
risamegi	giant strength
risamikil	gigantic, giant
risamynd	gigantic picture
risaskáli	giant's house; enormous building
risaskip	gigantic ship
risasterkur	of giant strength
risastjørna	giant star
risastórur	gigantic; of gigantic dimensions, giant, colossal, immense, enormous, huge, stupendous,(tlm.)blockbuster(t.d.a blockbuster hamburger)
risastødd	gigantic size
risatangaskip	supertanker, oilberg (200.000 tons ella størri)
risavaksin	gigantic;ein risavaksin náhvalura gigantic narwhal
risaveldi	superpower, giant power;risaveldini (eis.)the Big Powers; síeis.stórveldi
risavøkstur	1gigantic stature2(lækn.; plfr.)giantism
risferð	(flogm.)(rate of) climb
rishædd	(flogm.)ceiling;hægsta rishæddabsolute ceiling
risi	1(fólktr.)giant, troll2(tlm.)a giant of a man
riska1	be about to break (of surf);tað riskaði á boðanumthere was the beginning of surf above the sunken/submerged rock
riska2	(sj.)rust, become somewhat rusty;nú er dósin farin at riska(st)the box is becoming rusty;riskaðurrusty, marked with rust stains
riskandi	íosb. riskandi ódnraging storm(espabout breakers)
riskur	rust, rust stain;har var ikki ein riskur áthere was no rust at all
risla	scratch, carve, sketch, make a sketch (of sth)
-risp	síav-
rispa	scratch
rissali	síriðsæri
rist1	(likam.)instep; a high instep;hava høga rist (eis.)have an arched foot
rist2	(eldstaður) (fire) grate; (steikirist) gridiron, grid, grill; (pínslurist) grid(iron);steikja á ristgrill, roast on a grill
rist3	shaking, tremor;eitt øgiligt rist fór ígjøgnum alt skipiðsuddenly a tremendous shaking passed through the ship
rista1	1shake(t.d.shake an apple tree, a cocktail; shake a duster out of the window; the nurse shook (up) his pillow; a gust of wind shook the house)2(fl.m.)shake, upset, give a shock(t.d.it gave me a shock to see how ill he looked; the incident shook him badly); rock(t.d.this event rocked his throne)3shake, tremble, quiver, shiver, quake; (um rødd) shake, tremble, quiver, quaver; (um akfar) shake, jolt; (darra, titra) vibrate(t.d.the engine makes the whole ship vibrate)4spread out new-mown grass to dry5[ísamb.viðfsoghj]rista av feprishiver with fever;rista av óttatremble with fear;rista av kuldashiver with cold;rista av øðiquiver (shakeel.tremble) with rage;rista av ræðslushake(el.tremble) with fright;rista av illsinniquiver/shake/tremble with anger;rista/skaka av særshake off(t.d.an idea which he could not shake off); ristavið høvdinum/rista høvdinumshake one's head;rista (e-t) av særshake off (sth);rista kavan av særshake off the snow;(fl.m.) rista letina av særshake off idleness
rista2	scratch, cut, carve; tear;skjúrtuna hevði hann rist í álirhe had torn his shirt in slips;rista ein svulllance a boil;kalvafisk ristu teir upp og turkaðuhalibut were cut into strips and then hung up to dry (síriklingur);rista rúnircarve runes;rista gand/illgerningarpractise witchcraft;rista kross fyri særmake the sign of the cross, cross oneself;rista fyri (landb.)loosen the sods (in a potato field)
rista3	toast; ristabreyðtoast bread; sísnerkja
ristari1	instrument for outlining (grass) sods
ristari2	1(á áarmylnu, in watermill) [contrivance which causes the corn to fall down into the eye of the millstone]2(tøkn.)shaker screen
ristarreim	(á tuflu, on wooden shoe) thong across the instep, strap
risthentur	with shaking hands;hann var risthenturhis hands were shaking, (um sjúku) his hands were shaky
ristilsi	shake, shaking; (stórt) shock; (darrandi rørsla) vibration; (jørðin) tremor; (av akfari) shaking, jolt, bump;(lækn.)tremor;(fl.m.)shock(t.d.her mother's death was a great shock to her; his faith in mankind received a rude shock);eg fekk ristilsi, tá ið eg hoyrdi taðit gave me quite a turn when I heard it;hava ristilsi í kroppinumbe badly shaken
risting	1spreading grassel.hay (to dry);nú er ristingin eftirwhen we have spread out the grass to dry, the work is finished/done/completed2shaking, quivering movement, trembling
ristirenna	(tøkn.)shaker conveyor
ristisáld	(tøkn.)shaker screen
ristleggur	(likam.)tarsal bone;í fótinum eru 5 ristleggirthere are five tarsal bones in the foot, the foot has five tarsal bones
ristmæltur	in a shaking, trembling, quivering, quaveringel.quaking voice;hann var bæði hásur og ristmælturhe was hoarse and his voice shook
riststeikja	grill
rit	1work, (verk) publication; (ritgerð) paper, treatise; (stakritgerð) monograph; (smárit, bóklingur) pamphlet;eitt forvitnisligt rit um kvæðaskald okkaraan interesting little work on our ballad poets2writing;flestra manna lív er rit í moldum (skaldsk.)the lives of most men are writ(ten) in sand/water(GG:here lies one whose name was writ in water)
rita1	(fugl.)black-legged kittiwake(Rissa tridactyla)(Linnaeus, 1758);(tilt.) tigur ikki heldur enn ritan í berginum/á Kalsvíkhe//she is no more silent than a kittiwake on the bird cliffs(i.e.can never keep quiet);sum ein piðað ritaextreme thinnessel.emaciation(Rissa tridactyla) ©iStock
rita2	1write;(skaldsk.) navnið veit eg eitt í klettum ritaðI know a name carved into the rock;rita upp aftur (sj.)repeat oneself, reiterate(t.d.the word over and over again);hatta ritar alt upp afturhe//she repeats everything one says2(teld)rita inn/útlog on/log off
rita3	rita samansew together loosely, tack
ritari	clerk, secretary
ritbera	write, word in writing
ritbering	formula
ritbúnaður	(teld.)software
ritdómari	(bókm.)reviewer, critic; sí eis.ummælari
ritdómur	(bókm.)review, criticism, (stuttur) notice; sí eis.ummæli
ritfrælsi	(løgfr.)freedomel.liberty of the press
ritgerð	treatise, dissertation; (sum viðger einstakan spurning) monograph, study; (lítil) paper, article;doktararitgerðdoctoral thesis,(am.)dissertation;nógvar lærdar ritgerðir eru um evniðmany scholarly treatises have been written about the subject
rithálsutur	(seyðal.)sírithølsutur
rithølsutur	(seyðal.)with dark broken coloured part on the neck (like a young kittiwake)
rithøvundafelag	society of authors; rithøvundafelagFøroyathe Faroese Society of Authors
rithøvundasamsýning	author's fee; (prosent av søluni) royalties
rithøvundatal	dictionary of authors; (samtíðarrithøvundar) Who's Who in Literature
rithøvundavirksemi	rithøvundavirksemi hansara his literary activity/activities
rithøvundur	author
ritil	1(teld.)editor2(sj.)telegraph
ritlingur	pamphlet, booklet
ritmál	(sj.)writtenel.literary language
ritminni	(teld)random access memory,(st.)RAM;ritminnið í telduni er 32 Mb til støddarthe computer has a 32 Mb RAM
ritmynd	curve, (øll talvan) graph
ritroynd	(bókm.)essay
ritsavn	(bókm.)corpus
ritskoðan	censorship
ritstarv	editorial work
ritstjóri	editor
ritstjórn	editorship
ritstjórna	1draw up, draft, formulate; ritstjórnaeina orðabókargreindraw up an entry/article in a dictionary2edit; ritstjórnamentanarteigi í blaðiedit a cultural section of a paper
ritstjórnan	editing
ritstýra	síritstjórna
rittin	quick at repartee, quick-witted, ready-witted
rittinorðaður	sírittin
ritual	1(kirkj.)ritual2an establishedel.invariable custom; (siðvenja) an invariable practice
ritubátur	(sigl.)small ship's boat (used for shooting kittiwakes for bait)
rituberg	bird cliff where kittiwakes breed;málanin er sum í ritubergithey make an infernal noise
ritufella	snare for catching kittiwakes
ritufelli	(stb.)síritufella
ritufjøður	kittiwake's feather;fátæk fólk leitaðu fram við vøtnunum at henta ritufjaðrar at seljapoor people looked for kittiwakes' feathers along the beaches of lakes which they picked up and sold
ritugákan	noise of kittiwakes
ritugól	noise of kittiwakes
rituhundur	(sigl.)[a ship's dog used for fetching shot kittiwakes]
ritupisa	(dýr.)young kittiwake (when fledged)
ritureiður	kittiwake's nest; ritureiðurer so sterkt, at tað heldur væl at stíga áa kittiwake's nest is so strong that you can step on it
riturók	cliff ledge where kittiwakes nest;sum á riturókwhat an infernal noise
rituræ	1body of a dead kittiwake2very thin body, very thin person;hetta er tað rituræið, ið erhe//she is all skin and bone
ritusnara	síritufella
rituungi	(dýr.)young unfledged kittiwake (still on the cliff ledge); síritupisa
Rituvík	(stn.)village of Rituvík on the island of Eysturoy;í//úr Rituvíkat//from (the village of) Rituvík;til Rituvíkarto (the village of) Rituvík
rituvíkingur	person from (the village of) Rituvík
ritverk	(bókm.)collected writings, complete works
ritøld	(bókm.)[the period of time (during the twelfth century) when Icelanders wrote sagas in their native language];smb. sísøguøld
riv1	1(likam.)rib;(fl.m.) lata fara út ímillum rivinithrow out hints, make innuendoes/insinuations;hon tegir ikki við tí, heldur fer tað út ímillum rivinishe cannot keep a secret she'll let it out; sírivjabein2wind-dried rib of sheep//lamb3reef, narrow bank in the sea close inshore; (sandriv fram við strondini) offshore bar; (korallriv fram við strondini) barrier reef;tvørtur um víkina gongur eitt rivan offshore bar runs across the fiord4(plfr.)rib; vein
riv2	1exposure to windel.storm damage;í fáum bygdum er so veðurgott, at riv kemur ongantíð á tekjurnarfew villages are so well-situated with regard to wind and weather that housetops are not exposed to wind damage2(um sjógv, of sea) roughness;tað kom riv í sjógvinthe sea began to get rough3símoldriv4[certain sheep earmark]
riva1	(náttúrlig) crack(t.d.crack in a wall//in wood//in the dry earth// in glass), crevice(t.d.crack in a rock//a wall), fissure(t.d.fissure in a rock//in the ground), gully, gulch, chink(t.d.chinks between the planks);(jarðfr.)fissure, rift;(jarðf.við ongari umskaring) joint; (skorin) slit(t.d.in a box), slot(t.d.in an automatic machine); (í rossahógvi) sand crack; (í húð) chap
riva2	1make a crack, crack, burst; make a small opening, open; rivafyri degiit is growing light, the day is dawning;tað rivaði fyri eygunum á honumhe could hardly open his eyes;tað var ikki meir enn tað rivaði fyri eygunum á honumhe could hardly keep his eyes open; rivafyri e-msby realizes;nú rivaði ein øgn av vón fyri hennishe now felt a glimmer of hope2tack, baste;riva aftursew up a hole (loosely), tack up a hole;far og riva mær hatta skrædlið afturwill you do me the favour and tack up that tear;riva samantack together; (seyma í skundi) run up(t.d.a dress)
rivað	[certain sheep earmark]
rivblað	(plfr.)sea beech(Delesseria sanguinea)©James Lynott
rivin	(um plagg) torn, (um húð) scratched; rivinog skræddurragged and torn
riving	[certain sheep earmark]
rivja1	(lækn.)skin disease in children(impetigo)
rivja2	[cut the ribs loose from the side of a dried sheep's carcass]
rivja3	íosb. rivja á(of waves) break (foam) at the top;tað rivjar á boðanumwaves are breaking at the top of the sunken rock
rivja4	(stb.)síriva2
rivjabein	(likam.)rib;fyrr fer tað millum rivjabeinini, enn hann kann tiga við tí (fl.m.)he cannot keep a secret, he'll let it out
rivjablað	[foremost end of a rib];smb. sírivjatrólpur
rivjabugur	curve of a rib
rivjalangur	with long ribs
rivjast	(lækn.)have a rash, break out withel.in a rash (serst.um børn,espof children)
rivjasteik	rib(roast)
rivjatrólpur	[rearmost end of a rib (near the thoracic vertebrae)];smb. sírivjablað
rivjutur	(lækn.)who suffers from a skin disease
rivna	crack, split(t.d.the earth; the glass; the paint is beginning to crack; gloves often split), (um húð) chap;jørðin rivnaðithe ground cracked;bergið rivnaði frá upsini og heilt oman í sjógvthe cliff cracked from the edge all the way down to the sea
rivnan	(jarðfr.) rifting
rivudalur	(jarðfr.)rift valley
rivulag	(jarðfr.)lamellar zone, lamination
rivulagsskipan	(jarðfr.)lamellar zone system, system of laminations
rivumyrja	(jarðfr.)fault breccia, fault rubble
rivutur	cracked, split, with cracks; rivuturveggura cracked wall;lendið er rivutthe terrain is full of cracks
ríð	1severe onset of bad weather, severe storm;eitt ringt ríð av landnyrðingi norðria severe storm from the north-north-east;gera ríðoutbreak of snowstorm;(el.ógvisligari) blizzard;hann gjørdi ríða blizzard broke2salvo(fltsalvoes/salvos), round, volley, (maskinbyrsuríðo.tíl.)burst;skjóta skotríðdischarge/fire volleys3pang of labour, birth pangs;livimátin er vánaligur, tá ein ríðin er av, er onnur væl á vegmy life is miserable when one access of pain has faded out a new access of pain is already beginning4(stb.)period with much snow;tá ið ríðin legðist millum jólanna, var seyðurin ikki mentur at skavaduring the period of much snow between Christmas and New Year the sheep were not able to scrape the snow away to get to the grass
ríða1	1ride; ríðahestiride (on horseback);ríða hesttrain a saddle horse, break a horse in;ríða sín veg/sína leið (fl.m.)leave;ríð (tú) og renn!go to hell!, up yours!, stuff it!, you know where you can stick it!;ríða í ring við (e-m)fool sby;hann ríður ikki undanhe won't recover, he is not going to live;hetta ríður okkum úr garðiit will ruin us, it is too expensive for us;(fl.m.) ríða niðarlagaunseemly/improper/indecorous behaviour;ríða stormin av(liggja bakk)(sigl.)ride out the storm2be out of balance; lie restlessly, toss and turn;eg reið á (at fara)I almost lost my balance, I was almost thrown off my balance; (um sjúku, of illness)tað ríður av og áit fluctuates;stokkurin reið tvørtur um steininthe beam lay balanced crosswide on the stone;tað ríður í vektinithe weight is balanced;(tilt.) hann ríður ikki á vombini,sívomb;hann ríður ímillum ættirnarthe wind shifts from one quarter to another;hann ríður undir útsynningithe wind is southwesterly;tað ríður um (tað)it is doubtful;ríða um snariðsísnar;ríða yvirlose one's balance, overbalance(t.d.the child overbalanced and sat down on the floor);honum tykir yvir (at) ríðahe thought that sby has gone too far(t.d.you are going too far, you are going over the top);hann reið afturopinhe fell backwards3(um kalldýr,serst.tarv, of male animals,espbulls) cover, mount;kúgvin er riðinthe cow has been covered;kúgvin ríðst ikki afturthe cow does not get in calf again
ríða2	(óregl.)sírýða
ríði-	síeis.reið-
ríðing	riding
ríðingarbreyt	riding ground
ríðingarfelag	Horsemen's Society
ríðingarhestur	saddle horse, mount, (til veiði) hunter
ríðingarmaður	rider, horseman;teir fýra ríðingarmenninir í Opinberinginithe four horsemen of the Apocalypse
ríðingarross	saddle horse, mount, (til veiði) hunter
ríflutur	1fluted, channelled, knurled, ribbed(t.d.velvet)2uneven(t.d.board; edge; line; paper; surface); rough(t.d.edge; outline; paper; skin; fabric; hand; surface; tongue); broken, irregular(t.d.outline; surface); unequal; bumpy(t.d.tennis court; road; landing ground); broken(t.d.broken ground); (aldandi) undulating(t.d.country); ragged(t.d.edge);ósløtt húðrough skin;bygdavegurin er sera rífluturthe village road is bumpy/rough/uneven3(plfr.)sulcate
ríggin	1cross, disgruntled, irritable, bad-tempered, peevish, morose, querulous, sulky,(tlm.)grumpy; irritable, touchy, testy, on edge, edgy, nettlesome; capricious2who remembers insults, vindictive3dizzy, giddy;lítið bar til at hugsa, eg var so ríggin í høvdinumI couldn't think straight my head was all in a whirlríggin á beinunumbe unsteady on one's feet
ríggj	(stb.)sírimpilsi
-ríggj	síkava-
ríggja1	1[illness in sheep with stiffness of the neck]2ríggjurfickleness, inconstancy, whims, caprices;í dag eru tær rættu ríggjurnar á honumhe's bad-tempered/moody today3[ewe which roams about the whole time and does not find a fixed place in the pasture]4person who is never at peace anywhere
ríggja2	make preparation (for sth), make oneself ready; ríggjatilmake preparations;nú eru teir farnir at ríggjast til at farathey are preparing themselves to leave
ríggjuskøltur	grumbler, sourpuss, grump, grouch
ríggjutur	hon kennir seg eitt sindur ríggjuta í høvdinumshe feels slightly dizzy; síríggin
ríka	enrich, make richel.richer;við skaldsøgum sínum hevur hann ríkað føroyskar bókmentirhis novels have enriched Faroese literature;ríka uppenrich;ríka seg uppenrich oneself;hann hevur ríkað seg upp av krígnumhe made a lot of money during the war;ríka málið við nýggjum orðumenrich the language with new words;ríka huganimprove/enrich one's mind
ríkamannareið	[magic formula with which one calms the wrath of others];hann kann ríkamannareiðhe has a magic formula(i.e.he has the favour of the rich and powerful)
ríkamannareiggj	(stb.) kunna ríkamannareiggjknow the magic spell (said of sby lucky at catching fish)
ríkan	highly, greatly, severely, hard;leggja e-m ríkan viðlay down hard conditions for someone;(eis.)forbid strictly
ríkdómur	síríkidømi
ríki	1state, empire, kingdom;hvør skal nú fyri ríki ráða (kvæð.)who is now going to rule the country2power;taka við ríkiassume the power of the state
ríkidømi	1riches(t.d.his riches are immense); (múgvinskapur) wealth(t.d.a man of considerable wealth; possess wealth); affluence, opulence; (ognir) fortune2large quantity of sth
ríkifyristøðumaður	regent
ríkiligur	plentiful, abundant;hjríkiliga
ríking	(í kjarnalisfrøði, in nuclear physics) enrichment
ríkingarbrotsverk	(løgfr.)offence against property
ríkingarvirki	(í kjarnalisfrøði, in nuclear physics) enrichment plant
ríkisadmiralur	(tý., sø.)Reich Admiral
ríkisarvingi	heir to the throne
ríkisákæri	(løgfr.)(í ikkienskmæltum londum) Public Prosecutor; (íOngl.)Director of Public Prosecutions; (í Skotlandi) Lord Advocate;(am.)Attorney General, State Attorney
ríkisár	year of (someone's) reign;á sjeynda ríkisári sínumin his seventh year of reign
ríkisbanki	national bank;(sø.týskt) Reichsbank
ríkisbiskuppur	(tý., sø.)Reich Bishop
ríkisborgararættindi	civic right;ríkisborgararættindi (eis.)citizens' rights, civil rights
ríkisborgararættur	(løgfr.)citizenship, (right of) citizenship, nationality; citizenship rights;fáa ríkisborgararættbecome naturalized, acquire(t.d.British) citizenship/nationality;missa ríkisborgararættinforfeit one's citizenship
ríkisborgaraskapur	citizenship, nationality
ríkisborgari	(løgfr.)citizen, subject(t.d.a British subject),(serst. am.)national
ríkisbókasavn	national library; sí landsbókasavn
ríkisbókavørður	national librarian, sílandsbókavørður
ríkisdagseldur	(tý., sø.) ríkidagseldurinthe Reichstag fire (27.2.33)
ríkisdagsmaður	(sø.)member of the Danish Parliament (til 1953);føroysku ríkisdagsmenninir vóru tveir í taliThe Faroes were represented by two members of the Danish Parliament (a unicameral system was introduced in 1953)
ríkisdagsorðaskifti	parliamentary debate
ríkisdagsseta	(sø.)sessional year of the Danish Parliament; sitting of the Danish Parliament (the time it was in session)
ríkisdagur	1(íOngl.)Parliament2(í USA) Congress3(tý., sø.)Reichstag (núBundestag)4(í øðrum londum) Parliament, Legislature;ríkisdagurin(í Danmørk til 1953) the Rigsdag; (í Svøríki, in Sweden) the Riksdag;ríkisdagurin verður heimsendur(the) prorogation (of Parliamento.tíl.); á ríkisdegiin Parliament(o.tíl.); (sø.) ríkisdagurin í Wormsthe Diet of Worms;ríkisdagurin er settur (o.tíl.)Parliament is in session/is sitting;ríkisdagurin er innkallaðurthe convocation of Parliament(o.tíl.); gerast ríkisdagslimurenter Parliament(o.tíl.),become a Member of Parliament; (um ikkibretsk viðurskifti) become a deputy
ríkisdáli	(sø.)rix-dollar (Danish silver coin)
ríkiseind	national unity;(sø.)unity of an empire;hann er ikki trúgvur móti ríkiseindinihe is not loyal to the national unity
ríkisembætismaður	(sø.)officer of the Crown
ríkisepli	orb
ríkisfelagsskapur	community of the realm; (felagsskapur millum ríki) federation; (andligt samband) national solidarity.Føroyar og Grønland eru í ríkisfelagsskapi við Danmørkthe Faroes, Greenland and Denmark constitute a community of the realm (in which The Faroes and Greenland have Home Rule with wide powers)
ríkisfíggjaður	government-funded
ríkisflagg	national flag
ríkisflotaharri	(tý., sø.)Reich Admiral
ríkisfornfrøðingur	Keeper of National Antiquities
ríkisforseti	president, head of (the) state;(sø.í Týsklandi) Reich President (Reichspräsident)
ríkisframhald	(løgfr.) state succession
ríkisfulltrúi	(sø.)Reich commissioner
ríkisfúrsti	(sø.)prince of the Empire
ríkisfyrisiting	(myndugleikarnir) the central authorities, the Government Departments; public administration;ríkisfyrisitinginthe Civil Service
ríkisfyristøðuskapur	regency
