u	(málfr.)vowel, /u:/
undirdongdur	síundirdíktur; síeis.deingja(undir)
undirdýna	featherbed
undirdýpi	(bíbl.)bottomless pit
undirentreprenørur	subcontractor; síundirveitari,undirverktakari
undirentreprisa	(handilsm.)subcontract
undirfalshjól	undershot (water) wheel
undirfarin	passed out of sightorview; sífara(undir)
undirfígging	(handilsm.)underfunding
undirflái	[slightly shelving sea bottom near land];millum flesina og ein undirfláa við landiðbetween the skerry and the shelving sea bottom near land
undirfløddur	flooded during high tide;sandurin er undirfløddurthe sand is flooded; sífløða
undirforrit	(teld.)subprogram, subroutine;opið undirforritopen subroutine
undirfólk	1servants, subordinates, underlings; subjects2(sigl.)sailors, seamen, crew, hands
undirføddur	(lækn., sj.)undernourished
undirgangsdámur	senseel.atmosphere of doom; apocalyptic atmosphere
undirgangur	ruin(t.d.such a course will mean certain ruin); destruction, death(t.d.the death of civilization); fall(t.d.the fall of the Roman Empire)
undirger	(evnafr.)bottom yeast
undirgeraður	(evnafr.) undirgerað ølbottom fermentation beer
undirgeving	submission;hennara stórlátna sinni bardist móti undirgevingher self-respect tried to prevent submission
undirgingin	1passed out of sightorview;nú eru húsini undirginginthe houses have now disappeared(t.d.behind a hill)2overgrown, overrunel.rank with(t.d. weeds)3(gl.)gone underordown, sunk; perished, destroyed, lost
undirgivin	submissive, subservient, obedient;kvinnan eigur at vera manninum undirgivin
undirgivni	submissiveness; subservience; (eyðmýkt) humility, humbleness; (sleiskni) servility, cringing, obsequiousness;í allari undirgivniYour Majesty's most humble and loyal subject
undirgjørdur	equipped, fitted out, supplied, provided;væl//illa undirgjørdurwell//badly equipped;handilin var illa undirgjørdurthe shop was in short supply
undirglasing	underglaze
undirgonga	síundirgangur
undirgongd	síundirgangur
undirgrein	1footnote2síundirbólkurogundirdeild
undirgrind	(húsasm.)footing [the lowest layer of beams, joined under the floor of a building]
undirgrivin	buried, dug in; undirgriviní arbeiðiburied in work;smb.sígrava
undirgrógvin	síavvaksin
undirgrund	1underground;olja verður vunnin úr undirgrundinioil is being extracted from the underground2foundation(s), basis;undirgrundin undir skaldskapi hansarathe foundation under his writing;undirgrundin undir einum lærdum skúlathe foundation on which a university builds
undirgrundarbókmentir	underground literature
undirgrundarbreyt	underground (railway);Stube(t.d.I came by tube);(am.)subway
undirgrundarlóg	Subsoil Act
undirgrundarmentan	underground culture
undirgrundarrørsla	underground (movement), resistance (movement);undirgrundarrørslan (eis.)the Resistance
undirgrýttur	síundirdíktur; síeis.grýta2
undirgudur	inferior divinity
undirhagi	[low-lying part of the outfield also used as winter pasture];um summarið liggur seyðurin ovarlaga á haganum, men undan illveðri leitar hann sær oman á undirhaganin the summer the pasture is high up in the mountains, but before a storm breaks the sheep seek shelter in the low-lying part of the outfield;í kavaroki koma harurnar niður á undirhaganhares seek shelter in the low-lying part of the outfield when snowstorms are raging; síeis.ervahagi,yvirhagi
undirhald	(tlm.)entertainment
undirhalda	(tlm.)entertain(t.d.a conjurer entertained the company); amuse, divert;hann undirhelt gestunumhe entertained the guests
undirhaldsbókmentir	síundirhaldslesnaður
undirhaldsfilmur	entertainment film
undirhaldsídnaðurin	the entertainment business
undirhaldslesnaður	light reading, light literature
undirhaldsorkestur	light orchestra
undirhaldsrithøvundur	writer of light literature
undirhaldsskaldsøga	light novel, entertainment
undirhaldstáttur	(útv.)light programme
undirhaldstónleikur	light music
undirhár	(á fólki, on people) the short hairs on the lower neck
undirheimur	underworld, lower world, nether world, kingdomel.land of the dead; infernal regions(flt)
undirhella	1[lower part of a flat rocky beach];ein flá undirhellaa flat rocky beach2[flat rocks at the foot of bird cliffs]
undirhelling	(jarðfr.)[the sea floor between the continental slope and the deep sea bottom]
undirhiti	bottom heat
undirhópur	(plfr., dý.)suborder
undirhugtak	(málfr.)minor term
undirhúð	(likam.)subcutis
undirhúðar-	(likam.)subcutaneous, hypodermic
undirhús	1(stjm.)Lower House; (undirhúsið í Onglandi) the House of Commons, the Commons(flt)2(ným.)hang-out (haunt where elderly men spend time in Tórshavn)
undirhøka	double chin
undirjarðiskur	underground(t.d.dwelling; fire; gallery; surface and underground surveys); subterranean
undirkantur	lower edge
undirkast	snack between meals
undirkavaður	completely covered inorwith snow, snow-covered, snowed under, snowed up(t.d.road), snowed over; snowbound;seyðurin var undirkavaðurthe sheep were snowed over
undirkjaftur	(á dýrum, of animals) lower jaw;(fakl.)mandible;við undirkjafti sum stendur framúr (fakl.)prognathous
undirkjóli	slip, petticoat
undirklakaður	covered with ice and snow;í myrkrinum komu teir aftur, undirklakaðir av kavaafter nightfall they returned covered with snow
undirkleksaður	loaded down, overburdened;hann kom so undirkleksaður av Tvøroyri við einum kaggahe returned from (the town of) Tvøroyri loaded down by a keg of schnapps
undirklektur	síundirkleksaður
undirklokka	(gl.)woollen petticoat
undirklæði	underclothes, underwear
undirkongur	(bíbl.)vassal king
undirkoyggja	(sigl.)lower bunk, lower berth
undirkoyring	1(jarnb.)subway;(am.)underpass2(um veg) underpass
undirkæti	quiet amusement
undirkøla	(alisfr.)supercool, undercool; undirkølaløgsupercool a liquid
undirkøling	supercooling
undirlag	1dish mat, doily;hon legði eitt undirlag á borðið at seta grýtuna áshe placed a dish mat under the pot2(fl.m.)basis, grounding, foundation;ritið er gjørt sum undirlag fyri nakrar røðurthe paper was written to constitute a basis for some speeches3(stuðul, støði) support, base, foundation, bed(t.d.a bed of masonryel.of gravel), substructure;(sigl.,til lossingar) dunnage; (sum maskina stendur á) bedplate;(prent.,til plátur, klisjeiro.tíl.)riser, mount;(tøkn.,virki) abutment4(bleytt undirlag at forða fyri trýstio.tíl.)pad, mat; (undir gólvteppi) underlay, underfelt; (skriviundirlag) blotting pad5(lag sum liggur niðari) substratum(fltsubstrata), underlying layer;(jarðfr.)substratum(t.d.a substratum of rock);(landb.)subsoil; (av máling) undercoating
undirlagdur	1undirløgd mjólkmilk with rennet;undirlagda mjólk kallaðu tey dralvamilk in which rennet had been mixed was calleddralvi2(horse) which has been harnessed for the first time;rossið er ikki undirlagt ennthe horse has not yet been harnessed3covered (um veitir, of ditches);nú er alt undirlagtall the ditches have been covered
undirlast	(sigl.)lower hold
undirleður	underleather
undirleikari	(tónl.)accompanist
undirleikur	(tónl.)accompaniment
undirlen	(sø.)arriere fief, subfief
undirlendi	1[foreshore below steep or precipitous bird cliffs]2lowland(s) at the foot of mountains;fyrr var undirlendið í Kirkjubø rættiliga stórtformerly the village of Kirkjubøur had a fairly large lowland3[the spot on which hayorpeat is spread out for drying];tað er so vátt undirlendithe ground on which to spray the hay//the peat is rather wet
undirliður	(málfr.)adjunct, secondary
undirlippa	lower lip, underlip; (hjá skordýrum) labium;undirlippan læt á henniher lower lip was quivering
undirlív	1(likam.)abdomen;hon er sjúk í undirlívínumshe has some feminine trouble2(gl.)camisole, bodice
undirlívssjúka	(lækn.)abdominal disease, abdominal disorder
undirljóðs-	(flogm.)subsonic(t.d.airliner)
undirljós	(á flakavirki, in a filetting station) light from below the table top;skeriborðini skulu hava undirljósthe filleting tables have to be equipped with lights from below the table top; sískeriborð
undirlutakensla	inferiority complex, feeling of inferiority
undirluti	1inferiority, being inferior to sby, being sby's inferior;vera við undirlutansuffer a defeat, lose (the game, the matcho.tíl.)2lower part, under part, bottom (part)
undirlutur	(gl.) teir vóru við undirlutinthey lost; síundirluti1
undirlyftustong	(tøkn.)tappet
undirlýður	(stb.)weak-willed person, compliant person
undirlýsa	(lmynd.)underexpose
undirlýsi	1good visibility at sea (so that the coastline can be seen), although the fog is thick elsewhere2(lmynd.)underexposure
undirlýsing	(lmynd.)underexposure
undirløga	1rennet2(niðr.)insignificant person, a nonentity
undirløgugras	(plfr.)butterwort(Pinguicula); vanligt undirløgugrascommon butterwort(P. vulgaris)©iStock
undirløgukjaftur	(stb.)síbiðiskinskjaftur
undirløguskinn	(stb.)síkveikamagi
undirmaður	1subordinate,(niðr.)underling, inferior, junior;góðseigarin kundi gera við sínar undirmenn, hvat honum líkaðithe squire could treat his subordinates as he chose2loser
undirmannaður	undermanned, understaffed, short-staffed, shorthanded
undirmáls-	undersized
undirmálsfiskur	undersized fish
undirmálslaksur	undersized salmon
undirmeldur	eddying undercurrent
undirmenniskja	person of inferior race
undirmeta	underestimate(t.d.sby's abilities; a distance; the cost of sth); undervalue, underrate(t.d.do not underrate the danger; underrate an opponent); misprize(t.d.it would not do to misprize their work); minimize(t.d.he did not minimize the difficulties);hann undirmetir ikki seg sjálvanhe thinks a lot of himself
undirmeting	1underestimation, undervaluation, underrating, misprision, minimization; (meira ítøkiligt) underestimate(t.d.£500 would be an underestimate)2contempt, disdain, scorn
undirmígur	1bed-wetter2(in stone wall) [slanting, wrongly placed stone which results in water running into the house along its underside]
undirmógvur	the bottom layer of peat soil
undirmuður	síundirmunnur
undirmunnur	1lower part of the mouth;tenninar í undirmunninumthe teeth in the lower part of the mouth2(forlornar tenn) lower denture
undirnavn	(sj.)síundirtittul
undirnet	(sigl., á troli)underbell
undirnev	(dýr.)underbeak,(fakl.)under mandible
undirnevnd	sub-commission
undirniðan	down below
undirniðri	under the boat;nú er fiskur undirniðrifish are now under the boat
undiroka	(bíbl.)cow, subdue, oppress
undiroystur	síundirdíktur;oysa2
undirpartur	lowerel.bottom part, underpart
undirpissur	síundirmígur1
undirprísur	cut, reduced, dumping, knockdownel.bargain price;søla til undirpríssale at cut prices; undercutting; underselling;selja vørur til undirpríssell goods at a loss; undercut; dump; undersell; sell at cut prices
undirrita	(t.d. bræv)sign, putel.affix one's signature to, put, set, subscribeel.sign one's name to; set one's hand to; (samundirrita) countersign
undirritaður	the undersigned;undirritaði/a váttar við hesum at allar upplýsingar eru rættarthe undersigned hereby certifies that all information is correct; (ofta) I, We, the undersigned (t.d.I, the undersigned, hereby certify that all information is correct; (gerandismál) yours truly;hann skrivaði bókina og undirritaði myndprýddi hanathe book was written by him and illustrated by yours truly
undirrokin	buried in(t.d.sandetc);sírúka
undirrómi	thin cream on skimmed milk
undirrættardómari	(løgfr.)[judge of an inferior court]
undirrættardómur	(løgfr.)judgmentel.sentence of an inferior court; sídómur
undirrættarmál	(løgfr.)case tried by an inferior court
undirrættur	(løgfr.)lower court, inferior court
undirsetningur	(heimsp.)minor premiseel.term
undirsetumaður	(bjarg.)síundirsitingarmaður
undirsitari	(bjarg.)síundirsitingarmaður
undirsitingarmaður	(bjarg.)[a man who is responsible for the top end of the rope (while the bird catcher is on the cliffs)]
undirsíða	under side, underside;(plfr., eis.)ventral side
undirsjóarkaðal	submarine cable
undirsjóvarbrunnhøvd	(oljuv.)sub-sea wellhead
undirsjóvarleiðing	subsea cable
undirsjóvarsmoga	sub-sea tunnel, submarine tunnel; eis.undirsjóvartunnil
undirsjóvartunnil	submarine tunnel, underwater tunnel; eis.undirsjóvarsmoga
undirsjóvarútbúnaður	(oljuv.)underwater installations(flt)
undirskegg	goatee
undirskelvtur	covered with iceorsnow;húsini vóru undirskelvt í kavathe house//houses was//were covered with snow
undirskeyti	(bát.)[oak sheathing protecting underside of oar from wear]
undirskildur	understated, understood(t.d.when she wrote "somebody, " Smith was understood); implied(t.d.an implied reservation); implicit(t.d.an implicit reservation)
undirskipaður	1(um haga, of outfield) [having a smaller flock of sheep than the pasture can support]2(málfr.)hypotactic, subordinate; undirskipaðursetningursubordinate clause
undirskipan	(málfr.)subordination, hypotaxis
undirskjal	(løgfr.)secondary document of a case
undirskjúrt	underskirt, petticoat
undirskot	deficit, deficiency(t.d.a deficiency of two pounds); shortfall(t.d.our dollar balance shows a shortfall); (á gjaldsjavnvágini) deficit, gap(t.d.the dollar gap);tiltakið gav undirskotthe enterprise resulted in a deficit/a loss; síhall
undirskógur	(plfr.)underwood, underbrush, undergrowth
undirskrift	signature;talgild undirskriftdigital signature,(eis.)electronic signature
undirskriva	(t.d. bræv)sign, putel.affix one's signature to, put, set, subscribeel.sign one's name to; set one's hand to; (samundirrita) countersign; sískriva(undir)
undirskriving	signature, signing
undirslag	1(húsasm.)one of the crossbeams which supports the floor of a house, sleeper2(dýr.)subspecies
undirspæl	(tónl.)accompaniment
undirspæla	(sjónl.)underplay, underact
undirstaddur	(plfr.)hypogynous;undirstødd blómahypogynous flower
undirstanda	1íosb. undirstanda segdare, venture, be so bold as to, risk;tú skalt ikki undirstanda teg at gera taðyou just try!2(gl.)understand, comprehend;undirstóð hann dvørgamálhe understood the language of the dwarfs
undirsteinur	(grinder) under-orlower stone
undirstinga	(gl.)símutra
undirstjóri	assistant director, deputy director, deputy chief executive
undirstreymur	undercurrent;(fl.m.) gjøgnum brøvini gongur ein heitur undirstreymur av heimkensluhis letters reflect a warm undercurrent of love for his native town
undirstúka	(gl.)sístúka
undirstúrsin	(stb., sj.)brusque, gruff, blunt
undirstætt	the lower classes(flt); munurin millum undirstættina og borgarastættinathe difference between working-class people and middle-class people
undirstøða	1foundation, basis;(fl.m.) undirstøðan undir Hammershaimbs stavsetingthe foundation on which Hammershaimb based the orthography of the Faroese written language;tær bestu uppskriftirnar eru havdar til undirstøðu í hesi útgávunithis edition is based in the most reliable texts2low-lying part of terrain by the sea;tað var tjúkt í erva, so bert undirstøðan sástthe fog was lowering over the mountains so that only the lower part of the landscape was visible
undirstøði	1(eis. fl.m.) foundation(s), base2(jarðfr.) basement;undirstøðið undir basaltháslættanumthe basement under the basalt plateau
undirstøðubúskapur	primitive economy, barter economy
undirstøðukervi	infrastructure
undirstøðuligur	sístøðisligur
undirsundurbýti	subdivision
undirsyll	(húsasm.)sill, supporting beam
undirtak	(ítr.)(í glímu, in wrestling) underhold
undirtekstur	(til filmar) subtitle; (til lýsingar) caption
undirtittul	subtitle;hava sum undirtittulhave as a subtitle
undirtóni	1(tónl.,um sveiggingar) sub-harmonic2(fl.m.)undertone(t.d.of bitterness);politiskir undirtónarpolitical undertones
undirtráður	(í seymimaskinu) under thread; shuttle thread
undirtrom	(húsasm.)the lowest floor or storey
undirtroyggja	vest;(am.)undershirt
undirtrútsligur	(stb.)reserved, reticent, silent, quiet, of few words
undirtrygging	(trygg.)under-insurance
undirtryggja	(trygg.)under-insure
undirtryggjaður	under-insured
undirtrýst	(alisfr.)partial vacuum, low pressure, underpressure
undirtvingsla	subjugation, (ógvisligari) enslavement;har var eingin undirtvingslano enslavement took place
undirtøka	1response, sympathy, approval, acceptance; meet with approval, find favour;fáa undirtøkuevoke a response(t.d.his eloquence evoked no response from his audience); meet with sympathy(t.d.the idea met with sympathy)2(løgfr.) accession
undirtøkuløgskjal	(løgfr.) instrument of accession
undirvaksin	overgrown;undirvaksin íoverrun/rank with(t.d.weeds)
undirvatnsbátur	síkavbátur
undirveð	(løgfr.)mortgage;undirveð í fastognmortgage on real property
undirveitari	subsupplier, (tíðum) subcontractor
undirveiting	subsupply, subcontract
undirvekt	underweight;(viðv.vørumo.tíl.)short weight(t.d.give short weight in bread)
undirverktakari	subcontractor
undirverktøka	subcontract
undirvirðing	(gl.)contempt(t.d.show one's contempt for sth; he had nothing but contempt for it); disdain, scorn; undirvirðingav góðum siðumcontempt for old traditions
undirvirðiskensla	(sj.)inferiority complex;hon hevði bart undirvirðiskensluna av sær, sum leingi hevði pínt hanashe had shaken off the feeling of inferiority which had crippled her for so long; síundirlutakensla
undirvirðissøla	(bú.)dumping price(t.d.sell goods at a dumping price)
undirvitska	(sálfr.)subconsciousness, subconscious(t.d.experiences relegated to the subconscious); subconscious mind;(fakl.verður nú tíðari nýtt) unconscious(t.d.complexes embedded in the unconscious); eis.dulvit, loynivitska
undirvísa	teach(t.d.teach children); instruct;(óáv)teach(t.d.the school where she taught); give lessons; (í skúla:am.)teach school;undirvísa e-m í enskumteach (sby) English, give instruction (to sby) in English, give lessons (to sby) in English, give (sby) English lessons;hann hevur flokkin í enskum (eis.)he takes the class in English
undirvísing	1(sum verður veitt) teaching(t.dtake up teaching as a career); instruction(t.d.religious instruction); tuition; lessons(flt)2(sum ein fær) training, education(t.d.he got next to no education); instruction(t.d.the instruction provided by these schools); tuition(t.d.tuition is free); lessons(flt);(skúlaundirvísingeis.)schooling(t.d.he did not get much schooling);teldustuðlað undirvísingcomputer-assisted instruction;fáa undirvísing(í skúla) attend classes; (á fróðskaparsetrio.tíl.)attend lectures;felags undirvísingco-education
undirvísingar-	educational, instructional; teaching
undirvísingaramboð	educational material, teaching aids
undirvísingarár	educational year
undirvísingarendamál	languageel.medium of instruction
undirvísingarfrælsi	freedom in the choice of teaching methods
undirvísingarførleiki	teaching ability
undirvísingarháttur	teaching method, method of instruction
undirvísingarhøli	classroom
undirvísingarlærugrein	subject taughtel.studied
undirvísingarmál	1languageel. medium of instruction2educational matters(flt)
undirvísingarskipan	educational system; (skúlaskipan) school system
undirvísingarskylda	(hjá næmingi) compulsory education; (um skúlabørn) subject to compulsory school attendance;lektorar hava fýra tíma undirvísingarskyldulecturers must teach a minimum of four weekly periods
undirvísingarstovnur	institute of education, educational establishment, school, college
undirvísingartilboð	educational facility; educational option
undirvísingartilfar	educationalel.teaching material, instructional material(s);(teld.)courseware
undirvísingartíð	1(skúlatíð) class hours(flt),class time2(øvut frítíð) term (time)
undirvísingartími	(skúlam.)lesson, period(t.d.English is taught for four periods a week);(lækn.)tutorial
undirvísingarvegleiðing	1(ráðgeving) study guidance2(leiðreglur) study guidelinesel.directions
undirvísingarverk	education(t.d.the authorities in charge of education); educational matters(flt),education service(t.d.the national education service)
Undirvísingar-, Vísinda- og	
undirvísingarætlan	curriculum(fltcurricula); (skrá) syllabus
undirvørr	1lower lip, underlip; (á skordýrum) labium2(plfr.)lower part of a bilabiate corolla
undra	astonish, surprise, be surprisedel.astonished at, wonder at;tað undraði meg stórliga at hann kundi gera taðI was surprised that he could do it;tað er ikki at undrathere is nothing extraordinary about it, it is quite natural;undra seg/undrastbe surprised/astonished, (ógvisligari) be astounded/amazed/marvel at, wonder at(t.d.I don't wonder at his anxiety);undrast á (e-t)be surprised at sth, wonder that, be astonished/surprised that
undran	wonder; astonishment, surprise;vekja undran(cause) surprise;tá fyltist eg av undranI was filled with wonder
undranarhávirðing	admiration;hava undranarhávirðing fyri e-madmire sby greatly,(GG: eis. t.d.:I have (a) great admiration for him)
undranarsamur	strange, wonderful, singular, odd;hitt loyndarfulla, undranarsama haviðthe mysterious and wonderful sea
undranarverdur	admirable, worthy of admiration; síeis.undranarsamur
undrunar-	síundranar-
undulátur	(fugl.)budgerigar,(tlm.)budgie(Melopsittacus undulatus)©iStock
undur	wonder, marvel, prodigy; miracle(t.d.believe in miracles);ei undur íthere is nothing extraordinary about it, it is quite natural
undurbarn	infant prodigy, infant phenomenon, child genius,(serst. am. eis.)wonder child; (skemt um vaksin) whizzkid, wunderkind;Mozart var eitt undurbarn, ið skrivaði tónleik longu fimm ára gamalMozart was a child genius who wrote music already when he was five years old
undurfagur	of wonderful, exquisiteel.matchless beauty, divinely beautiful, lovely(t.d.a lovely lady); exquisite
undurfullur	wonderful(t.d.sight); marvellous;(skaldsk.)wondrous; (frálíkur) wonderful(t.d.dinner, dress), magic;Aladdins undurfulla lampaAladdin's wonderful(el.magic) lamp;á undurfullan háttwonderfully, marvellously
undurgerandi	wonder-working, miraculous;tann undurgerandi myndin av halgu moynnithe wonder-working picture of the Holy/Blessed Virgin
undurgerð	wonder, miracle;ein sjónlig Guds undurgerðone of God's visible miracles
undurgerningur	síundur
undurkurur	miracle cure
undurleikur	miracle (play)
undurmikil	síundursamur
undurríkur	síundurfullur
undursamligur	síundursamur
undursamur	síundurfullur;hin undursama rósanthe wonderful rose;ein undursom megia miraculous power
undursemi	wonderfulness, marvellousness
undursjón	wonderful sightel.spectacle;útsýnið var ein undursjónthe view was wonderful/breathtaking
undurtrúgv	belief in miracles
undurvakur	síundurfagur
undurverdur	síundurfullur;á undurverdan háttwonderfully, marvellously, in a marvelous way
undurverk	wonder(t.d.the seven wonders of the world); marvel, miracle;gera undurverkwork/perform miracles;(fl.m. eis.)do wonders(t.d.this medicine has done wonders);heimsins áttanda undurverkthe eighth wonder of the world
undurvænur	síundurfagur
unga	íosb. unga úthatch out (eggs), incubate;ein lundi ungaði út í hasum holinuma puffin hatched out its young in that hole;eggið er ungaðthe egg is fertilized
ungaegg	1a young hen's first egg2chicken's egg
ungagás	goose with young
ungaligur	little and sweet (of a little child)
ungamamma	henorduck with young, mother henorduck;(fl.m.) hatta er ein sovorðin ungamammashe loves children
ungapipp	(stb., barnam.)littleel.small birds
ungari el.ungarari el.ungverji	Hungarian
Ungarn	(sern., landafr.)Hungary
ungarskur	Hungarian
ungast	1be faint-hearted, be modest, be shy;hvørjum gongur tú her og ungast eftir?stop fiddling about and tell me what you want2be fiddling about, be pottering about;hvat ungast tú við har?what are you fiddling about with
ungdóms-	of (one's) youth(t.d.the ideals of my youth); youthful(t.d.at a youthful stage);ungdómsár,ungdómsblómi,ungdómsdølskleikio.s.fr.
ungdómsarbeiði	1(avrikað tá ið ein var ungur) early work, juvenile work, work of one's youth;ungdómsarbeiði hansara (eis.)his juvenilia2(millum tey ungu) work among young people
ungdómsarbeiðsloysi	youth unemployment, juvenile unemployment
ungdómsár	síunglingaár
ungdómsblómi	in the first flush of youth
ungdómsbókmentir	juvenile books, books for the youngel.for youthful readers
ungdómsbrotsverk	juvenile crimeel.delinquency
ungdómsdeild	youth section; (á bókasavni) juvenile department
ungdómsdreymur	youthful dream;tað var ungdómsdreymur mínit was the dream of my youth
ungdómsdyrkan	cult of youth
ungdómsdølskleiki	(lækn.)dementia praecox
ungdómsfongsul	youthel.juvenile prison, detention centre;verða dømdur at sita í ungdómsfongslibe sent to a detention centre
ungdómsklubbur	youth club
ungdómskæti	joy of youth
ungdómslega	youth camp
ungdómsleiðari	youth leader
ungdómsligur	youthful(t.d.appearance; bride; clothes; dress; face; mother; smile)
ungdómslív	youth
ungdómsmegi	youthful vigour
ungdómsminni	a memory from(el.of) one's youth; youthful memory(t.d.I have youthful memories of her in a red dress);ungdómsminni mínithe memories of my youth
ungdómsmynd	a pictureel.portrait of her when young, a pictureel.portrait of her as a young woman
ungdómsrørsla	youth movement
ungdómsskúli	síunglingaskúli
ungdómsuppreistur	youthful revolutionel.rebellion, adolescent revolt;ungdómsuppreisturin(í 60-árunum) the youth revolution, the youth revolt
ungdómsvanlukkutrygging	(trygg.)insurance for young people
ungdómsvinur	companion of one's youth;ungdómsvinur mín//hansara o.s.fr.a friend of my//hisetcyouth
ungdómur	1youth, adolescence2years of (one's) youth, early years, adolescence;í mínum ungdómi3the young, young people; youth(t.d.youth today; modern youth)
ungdýr	young animal
ungfiskur	(fisk.)young fish (of all sorts before they are sexually mature);friða ungfiskpreserve young fish
ungfoli	young horse, colt
ungfólk	youth, young people;(løgfr.)juveniles;bókin er ætlað ungfólki og børnumthe book is intended for young people and children
ungfrú	Miss, Ms (t.d. Miss/Ms Smith)
ungfrúgv	(sø.)young unmarried womanorlady, young lady
ungfuglur	1young guillemot2(fugl., samn.)young birds
unghestur	young horse, colt
ungi	(offspring of some birds and some animals) young;(tilt.) nú skal antin verða egg ella ungi,síegg2;eggið er í ungathe egg is ferilized; with the chick formed inside; sípisa
unglaksur	(fisk.)smolt
ungligur	youthful (appearance; bride; clothes; dress; face; mother; smileo.tíl.),young-looking; of youth(t.d.errors of youth; the gracefulness of youth); juvenile
unglinga-	early, youthful, of youth
unglingaár	youth, years of (one's) youth, early years, adolescence
unglingablað	youth magazine
unglingafjøld	the young, young people; youth(t.d.youth today; modern youth)
unglingalið	(ítr.)youth team;leikari á unglingaliði skal ikki verða fyltur 19 ár fyri 1. januar í kappingarárinuma player of the youth team must not have reached his 19thyear before the 1stof January of the year of the tournament
unglingasinni	youthfulness
unglingaskúli	continuation school; (iOngl. eis.)County College
unglingi	youth, lad, young person
unglingur	síunglingi
ungljón	(bíbl.)young lion
unglomvigi	(stb., fugl.)young guillemot
unglundi	(dýr.)young puffin
ungmaður	1young man;tað eru vána ungmenn, ið vilja liggja heimayoung men who prefer to spend their time at home in stead of going fishing are in a bad way2(sigl.)navigating apprentice (with 1 year's seagoing experience)
ungmanna-	youthful, of youth
ungmannaarbeiði	work among young people
ungmannaár	síunglingaár
ungmannafelag	1youth association2(sø.)Faroese Youth Organization (which was inspired by the Faroese National Movement)
ungmannafelags-	-fundur, -lív, -samkoma, -tíð
ungmannafelagsrørsla	the youth movement (whose roots were the Faroese National Movement);ungmannafelagsrørslan tók seg upp tíðliga í 20. øldthe Youth Movement came into being in the early 20th century
ungmannafjøld	síunglingafjøld
ungmannafylking	youth movement
ungmenni	young man
ungmoy	(skaldsk.)young unmarried woman
ungmoyggj	(skaldsk.)síungmoy
ungneyt	young cattle
ungross	young horse, colt (millum 1 og 3-4 ár)
ungsintur	youthful (in mind), young at heart
ungskógur	(plfr.)young growth
ungur	1young;maður deyður í ungum áruma man who died young;tá ið eg var ungurwhen I was young; in my younger days;frá ungum hevði hon varðveitt dreyminshe had preserved the dream from her early youth;mest var ungt, ið fleygmostly young birds (young guillemots) were flying2young compared with others;hon er ov ungur at fara í skúlashe is too young to be sent to school;hann er ov ungur at koyra bilhe is too young to drive a car;eg havi ung bein at standa á(you take the seat, said to an elderly person whom one offers a seate.g.in a bus)3ungurí sinniyouthful(t.d.in mind), young at heart4new, fresh, modern;okkara unga skriftmálour recently constructed written/literary language;ung vísindagreinnew branch of science, (í hugvísindum) a new branch of scholarship5(um tíð, not far advanced in time);árið er ungt ennthe year is still young;dagurin er ungurthe day is young;náttin er enn ungthe night is still young
ungverji	Hungarian
ungverskur	Hungarian
universitet	university; síeis.fróðskaparsetur
universitetsadjunktur	(íOngl.samsvarar tað við) fellow
universitetsár	academic year
universitetsbókasavn	university library
universitetsbókavørður	university librarian
universitetsbygningur	university building(s)
universitetsbýur	university town
universitetsfólk	university people
universitetsheimur	the university world, the academic world
universitetslektari	university lecturer, reader
universitetslív	university life
universitetslærari	university teacher
universitetsprofessari	university professor
universitetsrektari	vice-chancellor;(am.)president; (um onnur ikkiensk viðurskiftieis.)university rector
universitetssjúkrahús	(lækn.)university hospital
universitetstíð	time spent at the university, undergraduate days; period of study (at a university)
universitetsundirvísing	university teaching, university instruction
universitetsútbúgvin	university-educated, with a university education; (tíðum) with a degree;hon hevur universitetsútbúgvin (eis.)she is a graduate
universitetsútbúgving	university training, university education
unna	1not grudge(t.d.I do not grudge her success); giveel.allow oneself sth(t.d.he did not allow himself a moment's rest);hatta unni eg tæryou are welcome to it;hon er øvundsjúk og unnir ikki Karini henda góða drongshe is jealous of Karin and begrudges her her fiancé;eg unti teimum sigurinI think they deserved to win;tey unna sær einkithey are mean/stingy/miserly/niggardly/close-fisted;tey unnaðu sær ikki at livathey were too miserly to live as decent life;tú mást unna tær svøvnyou must sleep;hann unti sær ikki hvíldhe did not allow himself a moment's rest;tað er tær væl untyou are welcome to it;(speis.)much good may it do you2(gl.)love, be fond of, like;unna e-n/e-mlove sby, be fond of sby, like sby;unna e-m vælbe fond of;mær unti Brynhild Buðladóttir (kvæð.)Brynhild Buðladóttir loved me;at tú unnar mannin tannthat you love that man3unnast1get an opportunity of doing/to do sth; get a chance to do/of doing sth, be permitted (by fate);unnast mær ein hundsaldur (kvæð.)if I am spared to live for dark, feel confident;unnast væl//illafeel safe//feel apprehensive;ikki unnast inni í myrkribe frightened of going into the dark
unnasta	(skaldsk.)síunnusta
unnasti	(skaldsk.)síunnusti
unnileiki	freedom from fear; comfort, consolation;tað er ein unnileiki í honumit is a comfort that he is here
unniligur	1handsome, beautiful, absorbing, captivating;eitt unniligt landslaga breathtaking scenery2who deserves to be loved, lovable3comforting; íosb.sumtað er so unniligt at ganga, tá ið onkur er viðit is a comfort to have company
unnusta	(skaldsk.)beloved, who is beloved, fiancée; unnustahansarahis fiancée
