М1	I1.(skelti) метро́ metro2.«для мужчи́н» (á toiletthurð) M menn (надпись на туалете)
мигну́ть	moment síмига́ть
ми́гом	advtlm.í eini handarvending; beinanvegin (сразу)
мигра́нт	m bókl.fólkс0о, sum flytur; migrantur [miˈkɹa-]мсогл-arпубл.
миграцио́нный	adjmigratións- [miːkɹaˈʃɔuns-]спец.
мигра́ция	f(людей,животных) flytingж0-ar, ferðingж0-ar(hjá fólki, djórum,fugli); migratión [miːkɹaˈʃɔun]ж0-irспец.(ос. о переселение людей)
мигре́нь	fmigrena [-Ꞌkɹeː-]жгл-a
мигри́ровать	мигри́ру|ю, ~ешь, ~ютipf/pfbókl.flytair(t);ur(t({y/u}, ferðastaði(um djór og fólk)
МИД	[мид] министе́рство иностра́нных дел uttanríkismálaráðiðопр.
Мида́с	mmyt.Midasм0-ar{0<>i}
Мидво́г	mMiðvágur [mɪv-], [mʉuv-]мсогл-ar,см тжв А 1, В 1; в Мидво́г til Miðvágs [-vɔʰks]
ми́дель	m: на ми́деле miðskips
ми́ди	In indeclmidi [miːti]с нескл.; носи́ть ми́ди ganga í midiIIadj indeclmidi- [miːti-]нескл.; ю́бка ми́ди midiskjúrt
Ми́дия1	Ifsøg.Medienннкс0дат.0}ист., Mediaнпс нескл.ист.
ми́дия2	IIf: (съедо́бная) ми́дия (Mytilus edulis) kræklingurмсогл-ar
миели́т	m mønubruniнпмгл-i, myelitis [my:jeˈliː-]с0{дат.0}мед.
мизансце́на	fpallseting [-tl-]ж0-ar, uppsetingж0-ar
мизантро́п	mbókl.misantropur [-Ꞌtʰroː-]интмсогл-ar, mannahatariлпмгл-ari
мизантропи́ческий	adjmisantropiskur [-Ꞌtʰroː-]интсоглsk, mannahatara-лп
мизантро́пия	fmisantropi [-Ꞌpʰiː]интж0-ir, mannahaturлпс0осн
мизги́рь	Gen, Accмизгиря́;plurмизгир|и́, ~е́й, ~я́мmdial.eiturkoppurмсогл-ar
ми́зер	m tlm.(eitt) vetс0о, (eitt) sindurс0осн, (eitt) sløðс0о{0<>i}; viðfáningur [vɪf-]мсогл-ar(мелочь)
мизе́рный	stfмизе́ре|н, ~на, ~но, ~ыadj síми́зерный
ми́зерный	stfми́зере|н, ~на, ~но, ~ыadj1.(ничтожно малый) evarska lítilсоглосн{+}, pinkulítilсоглосн{+}, neyðarsliga lítilсоглосн{+}2.tlm.(жалкий,незначительный) neyðarsligurглigur, elendigur [-Ꞌlε-]ннкглigur, syndarliga+ прил.
мизи́нец	Genмизи́нц|а;plur~ы, ~ев, ~амmlítlifingurм0осн-s,-ar(на руке); lítlatáжнепр(на ноге)@онне сто́итчьего-л.мизи́нцаtlm.hann stenduro-mikki mát; hann er ikki verdur at loysaпосс.tveingirвыс.,библ.; онс мизи́нeцhann er so evarska lítil; hann stendur ikki upp úr rossasporiпог.(о маленьких детях,людях маленького роста тж)
мизогини́я	f bókl.misogyni [-kyˈˈniː]интж0-ir, konufólkahaturс0осн(ненависть к женщинам)
мика́до	m indeclmikado [-Ꞌkʰaː-]мгл-гл(ar)(tittul hjá japanskum keisara)
миколо́гия	fsoppafrøðiжгл-i, mykologi [myːkoloꞋkiː]ж0-irпроф.
микотокси́н	mmikr.mykotoksin [myːkotʰɔʰkˈsiːn]с0о(;0-ir)микр.
микро...	í samans við týdn.1) smáur, mikro-, t.d. микрофи́льм 2) ein millióntapartur [mɪʎꞋjɔun̊-] av einari eind, t.d. микрово́льт
микроавто́бус	mminibussur [miːni-]мсогл-ar
микроампе́р	mmikroamper [-ˌpʰeːɹ]с0о({0<>i})
микро́б	mmikroba [-Ꞌkʰɹoː-]ннкжгл-aпроф., mikroorganismaннкжгл-aпроф., smáveraлпжгл-a
микробио́лог	mmikrobiologur [-loːk-]мсогл-arпроф., smáverulívfrøðingurлпмсогл-ar
микробиоло́гия	fmikrobiologi [-kiː]ж0-irпроф., smáverulívfrøðiлпжгл-i
микроволно́вка	plurмикроволно́в|ки, ~ок, ~камftlm.mikroovnurмсогл-ar
микроволново́й	adj síмикроволно́вый
микроволно́вый	adjmikrobylgju-; микроволно́вая печь mikrobylgjuovnur, mikroovnur
микрово́лновый	adj síмикроволно́вый
микрово́лны	f plurmikrobylgjurжгл-aмн, erbylgjurлпжгл-aмн
микрово́льт	mmikrovoltс0о
микроинсу́льт	m(кровоизлияние в мозг) lítil heilabløðingж0-ar; lítil blóðproppurмсогл-arí heilanum, lítil blóðtøppurнпмсогл-arí heilanum (тромб в мозгу)
микроинфа́ркт	minfarkt [-Ꞌfaɹ̥kt]с0о({0<>i})
микрокалькуля́тор	mlummaroknariмгл-ari
микрокли́мат	m1.(климат) mikroklimaс0гл-aспец.2.fl.,tlm.(обстановка) kringumstøðurжгл-aмн, klimaннкс0гл-a
микрокомпью́тер	[-тэр]mmikroteldaжгл-aпроф., erteldaлпжгл-a
микроко́см	mmikrokosmosс нексл.спец.
микроко́смос	m síмикроко́см
микрокреди́т	mmikrolánс0офин., спец.
микрокредитова́ние	nveitingж0-arav mikrolánumфин., спец.
микро́метр	mmikrometur [-Ꞌmeː-]с0осн
микроми́р	mmikrokosmosс нескл.спец.
микро́н	Gen plurмикро́н (gml.микро́нов)mmikron [-Ꞌkʰɹoːn]с0о({0<>i}), mikrometurм0осн-,-ar
Микроне́зия	[-нэ́-]fMikronesien [-Ꞌneː-]ннкс0{дат.0}, Mikronesia [-Ꞌneː-]нпс нескл.
микрооргани́зм	mmikroorganismaжгл-aпроф., mikroba [-ˈkʰɹoː-]жгл-aпроф., smáveraлпжгл-a
микропла́стик	mmikroplastс0о, mikroplastikkс0о
микропроце́ссор	mmikroprocessari {mikroprosessari} [-sεsː-]мгл-ariспец.
микропроце́ссорный	adjmikroprocessara- {mikroprosessara-} [-sεsː-]
микрорайо́н	mbýlingsparturмсогл-ar{a/ø}(partur avрайонí býi við handlum o.ø.)
микроско́п	mmikroskop [-Ꞌskoːp]ннкс0о(;0-ir), sjóneykaнпжгл-a
микроскопи́ческий	adj1.(производимый с помощью микроскопа) mikroskopiskur [-Ꞌskoː-]соглsk(sum verður gjørdur við hjálp av mikroskopi)2.(очень малый,видимый только в микроскоп) mikroskopiskur [-Ꞌskoː-]соглsk(sum bara sæst í mikroskopi)3.fl.,tlm.(очень маленький,ничтожный) evarska lítilсоглосн, pinkulítilсогл, mikroskopiskur [-Ꞌskoː-]ннксоглsk
микроскопи́чный	stfмикроскопи́ч|ен, ~на, ~но, ~ныadj síмикроскопи́ческий2, 3
микроскопи́я	fmikroskopi [-Ꞌpʰiː]с0о{0<>i}проф., sjóneykukanningнпж0-ar
микроско́пный	adjmikroskop- [-Ꞌskoːp-]ннк
микросхе́ма	fchip {chipp} [tʃʰiʰpː]с0о, flísлпж0-arкомп.=>интегра́льный
микрото́ковый	adjmikrostreym-
микрофи́льм	mmikrofilmurмсогл-ar;согл-s,-ir
микрофинанси́рование	n fíggj.mikrofíggingж0-arфин., спец.
микрофина́нсовый	adjfíggj.mikrofíggingar-фин., спец.
микрофо́н	mmikrofon [-Ꞌfoːn]ж0-ir
микрофо́нный	adjmikrofon- [-Ꞌfoːn-]
микрохирурги́я	f mikrokirurgi  [-kʰirʊɹkiː]интж0-irмед.
микрочи́п	m síчип
микрочипи́рование	n síчипи́рование
микроэконо́мика	fmikrobúskapur [maː-]мсогл-irспец., mikroøkonomi [maː-]ж0-irпроф.
микроэкономи́ческий	fmikrobúskapurligur [maː-]глigurспец., mikroøkonomiskur [maː-]соглskпроф.
микс	m1.(смешение, соединение) blandingж0-ar2.(смесь) blandingurмсогл-ar, blandingж0-ar; blendingurнпм0-ar; mix [mɪʰks]{miks}с0о{0<>i}(о блюдах, музыке разн. рода т.д.)неформ.3.mus.(композиция, программa) mix [mɪʰks] {miks}с0о{0<>i}муз.
ми́ксер	m(прибор для смешивания напитков и др.) miksariмгл-ari,blendariмгл-ari
микси́на	f:обыкнове́нная {европе́йская} микси́на (Myxine glutinosa) súgálurмсогл-ar, slímállur [-tl-]мсогл-ar{+}
миксту́ра	fmiksturur [-Ꞌtʰuː-]мсогл-ar
микто́ф	m(Myctophum punctatum) stóri prikkafiskurмсогл-ar
ми́кшер	mmiksarapulturмсогл-ar
ми́кшерный	adj síми́кшерский
ми́кшерская	ftlm.miksararúmс0о
ми́кшерский	adjmiksara-; ми́кшерский пульт miksarapultur
микши́ровать	микши́ру|ю, ~ешь, ~ютipf что-л.mus.miksaaðio-tмуз.(musikk o.tíl.)
Мила́н	mMilano [-Ꞌlaː-]м нескл.
мила́ха	ftlm.fitt gentaжгл-a, fitt konaжгл-a
мила́шка	plurмила́ш|ки, ~ек, ~камm/f1.tlm.(милый человек) dámligt fólkс0о2.munn.(любимая девушка) unnustaжгл-aпоэт.,кн.
ми́лая	f síми́лый
миле́ди	f indeclmilady [maiꞋlεiti]ж нескл.
ми́ленький	adjIadj1.(хорошенький) fitturсогл, penurсогл2.(дорогой) góðurнепр, fitturсогл; ми́ленький па́па! góðasti babba!IImmunn.(возлюблённый) unnustiмгл-iпоэт.,кн.@как ми́ленькийtlm.a) (без возражений) uttan at mæla ímóti [-Ꞌmɔu-], treytaleyst; b) (без препятствий) sum smurt, uttan forðingar;ми́ленькое де́лоtað má eg siga!; vorðið sum søga!
милитариза́ция	fmilitarisering [-tʰaːɹiꞋseː-]ж0-ar
милитаризи́ровать	милитаризи́ру|ю, ~ешь, ~ютipf/pf что-л.militarisera [-tʰaːɹiꞋseː-]aðio-t
милитари́зм	mmilitarisma [-Ꞌrɪ-]жгл-a
милитаризова́ть	милитаризу́|ю, ~ешь, ~ютipf/pf что-л.militarisera [-tʰaːɹiꞋseː-]aðio-t
милитари́ст	mmilitaristur [-Ꞌrɪ-]мсогл-ar
милитаристи́ческий	adjmilitaristiskur [-Ꞌrɪ-]соглsk
милитари́стский	adj síмилитаристи́ческий
милице́йский	adjpoliti- [-Ꞌtʰiː-], løgreglu-нп(í Sovjettsamveldinum og í Russlandi aftan á 1991)
милиционе́р	mpolitistur [-Ꞌtʰɪ-]мсогл-ar, politimaður [-Ꞌtʰiː-]мнепр, løgreglumaðurнпмнепрофиц.(í Sovjettsamveldinum og Russlandi aftan á kollveltingina til 2011)
милиционе́рский	adjpoliti- [-Ꞌtʰiː-], løgreglu-нп(í Sovjettsamveldinum og í Russlandi til 2011)
мили́ция	f1.(орган для охраны порядка) politi [-Ꞌtʰiː]с0{0<>i}, løgreglaнпжгл-aофиц.(í Sovjetsamveldinum; í Russlandi til 2011)2.kolltlm.(работники) politiið [-Ꞌtʰiː]с0{0<>i}опр., løgreglanнпжгл-aофиц. опр.(medarbeiðararnir í politinum)3.(народное ополчение и т.п.) milits [-Ꞌlɪʰts]ж0-ir, heimaherurлпмсогл-arпубл.
милле́ниум	m bókl.(тысячелетие) ártúsund [-tʰʉusɪn]с{дат0}, túsund [-tʰʉusɪn] ára skeiðс0о{0<>i}; túsundáraskifti [-tʰʉusɪn-]сгл-i(граница между тысячелетиями); uppkomaжгл-aav túsundári [-tʰʉusɪn-] (наступление нового тысячелетия)
милли...	í samans. við týdn.1/1000 av eind; milli- [mɪlːi-] ( [mɪlːɪ-]), t.d. миллиампе́р, миллимикро́н
миллиампе́р	mmilliamper [mɪlːiampʰeːɹ]с0о{0<>i}, ampere [mɪlːiampʰeːɹ]с0о{0<>i}
миллиа́рд	[-илиа́-], [-илья́-]mmilliard [miʎꞋjaɹt], [mɪlːiꞋaɹrt]ж0-ir
миллиарде́р	[-дэ́р-]mmilliarderur [mɪʎjaɹꞋteː-]мсогл-ar
миллиарде́рша	[-дэ́р-]tlm.1.(женщина-миллиардер)milliarderur [mɪʎjaɹꞋteː-]мсогл-ar(konufólk)2.(жена миллиардера) konaжгл-amilliarder [mɪʎjaɹꞋteːɹ]
миллиа́рдный	adjmilliard(а)- [miʎꞋjaɹt-], [mɪlːiꞋaɹrt-], milliardstórurсогл[miʎꞋjaɹt-], [mɪlːiꞋaɹrt-]
миллиба́р	mmillibar [mɪlːipaːɹ]с0о({0<>i})
миллигра́мм	Gen plurмиллигра́ммogмиллигра́ммовmmilligram [mɪlːɪ-]с0о({0<>i})
миллиме́тр	mmillimetur [mɪlːɪ-]м0осн-s,-ar
миллиметро́вка	plurмиллиметро́в|ки, ~ок, ~камf tlm.millimeturpappír [mɪlːɪꞋmeː-]с0o
миллиметро́вый	adjmillimetur- [mɪlːɪ-]
миллио́н	[-илио́-], [-ильё-]mmillión [mɪlːiꞋɔun], [mɪʎꞋjꞋɔun]ж0-ir
миллионе́р	m1.(обладатель богатства) millionerur [mɪʎjoꞋneː-]мсогл-ar, millióningur [mɪʎꞋjɔu-]мсогл-ar2.(предприятие) milliónafyritøka [mɪʎꞋjɔu-]жгл-a; фи́рма-миллионе́р milliónafyritøka [mɪʎꞋjɔu-]3.tlm.(тот,кто наездил миллион километров и т.п.)o-r, sum hevur koyrt el. flogið meira enn eina millión kilometrar; лётчик-миллионе́рflogskipari, ið hevur flogið meira enn 1 millión km; города́-миллионе́ры milliónbýir [mɪʎꞋjɔun-]
миллионе́рша	tlm.1.(обладательница богатства) millionerur [mɪʎjoꞋneː-]мсогл-ar, millióningur [mɪʎꞋjɔu-]мсогл-ar(konufólk)2.(жена миллионера) konaжгл-amillioner [mɪʎjoꞋneːɹ]
миллио́нный	Inum ordmilliónti [mɪlːiꞋɔu-], [mɪʎꞋjɔu-]; миллио́нная часть millióntapartur [mɪlːiꞋɔu-]IIadjmillión(а)- [mɪlːiꞋɔu-], [mɪʎꞋjɔu-], milliónstórur [mɪlːiꞋɔu-], [mɪʎꞋjɔu-]согл; миллио́нные су́ммы milliónaupphæddir [mɪlːiꞋɔu-], [mɪʎꞋjɔu-]; миллио́нные убы́тки tap upp á fleiri milliónir [mɪlːiꞋɔu-], [mɪʎꞋjɔu-]
ми́ло	Iadv tilми́лыйIIpredtað er vakurt, tað er fitt; о́чень ми́ло с ва́шей стороны́ tað er ógvuliga pent av tygum; как ми́ло! (eis.spott.) tað var deiligt! (тжирон.)
ми́ловать	ми́лу|ю, ~ешь, ~ютipf(pfпоми́ловатьпоми́лу|ю, ~ешь, ~ют)кого-л.1.gml.(прощать вину) fyrigevaслнa-ó-io-m(gerð o.tíl.); náðaaðio-n, vísair(t)o-mnáði, gevaслнa-ó-io-mgriðуст., выс.(объявить помилование); eirair(d)o-m, sparaar(d)o-n(щадить)2.tlm.(предохранять от чего-л.) sparaar(d)o-n, eirair(d)o-m; судьба́ пока́ ми́лует их lagnan hevur spart tey higartil@поми́луй Богtlm.gævi satt ...;Бог ми́луетalt veit væl við
милова́ть	милу́|ю, ~ешь, ~ютipf кого-л.munn.(ласкать) kínair(d)o-n; hjúkla [tʃʰʏ-]aðifyri o-m
милова́ться	милу́|юсь, ~ешься, ~ютсяipfmunn.kelaaðifyri hvørjum øðrum
милови́дный	stfмилови́д|ен, ~на, ~но, ~ныadjfitturсогл(at síggja til), dámligurглigur(at síggja til)
мило́рд	mmilord [-Ꞌlɔ-]м нескл.
милосе́рдие	nmiskunnж0-ir, várkunn [vɔɹ̥-]ж0-irвыс., кн.; без милосе́рдия eirindaleyst, miskunnarleystкн.; прояви́ть милосе́рдиек кому-л.vísao-mmiskunn@брат милосе́рдияgml.sjúkrarøktariмгл-ari;сестра́ милосе́рдияgml.sjúkrasystir
милосе́рдный	stfмилосе́рд|ен, ~на, ~но, ~ныadjmiskunnsamurсогл{a/o}; náðigurглigurвысок, библ.
Мило́сский	adj=>Вене́ра
ми́лостивый	stfми́лостив, ~а, ~о, ~ыadjgml.el.spott.náðigurглigurвыс., библ.=>бо́же,госуда́рь4
ми́лостыня	folmussaжгл-a; дава́ть ми́лостыню geva olmussu, lata olmussu; проси́ть ми́лостыню biddaaði; biðja um olmussu
ми́лость	f1.(доброе,человеколюбивое отношение) náðiжгл-i(тж пощада); miskunnж0-ir(сострадание,милосердие); vælvildж0-ir(благоволение,благосклонность); оказа́тькому-л.ми́лость vísair(t)o-mmiskunn; сда́ться на ми́лость победи́теля geva seg yvir treytaleyst2. (благодеяния) vælgerðж0-ir; оказа́ть ми́лостькому-л.geraнепрonkrum eina vælgerð3. (благосклонность,доверие) vælvildж0-ir, tokkiмгл-iкн.,выс.; быть в ми́лостиу кого-л.standaслнó-ó-aseg vælvið o-n, vera í krithúsinumhjá[tʃʰ-]o-mпог.неформ.; оказа́ть ми́лостькому-л.sýnao-mvælvild, sýnao-mtokkaкн.,выс.@Ва́ша ми́лостьtygara náði (í tiltalu);ми́лости прошу́ger so væl;сде́лайте ми́лостьa) (просьба) ger so væl (áheitan); b) (пожалуйста) ger so væl (fólkalig játtan);скажи́те на ми́лостьa)gml.gerið mær tann beina at siga mær; b) (удивительное дело) ikki eiti á! =>бо́жий,гнев@
ми́лочка	ftlm.góðastaжприл
ми́лый	Istfмил, мила́, ми́л|о, ~ыadj1.(славный,хороший) fitturсогл, ; kerur [kʰeː-]соглласк., неформ.(ос. о детях), elskuligurглigurласк.,(о детях и др.); dámligurглigur; ми́лый ребёнок eitt fitt barn [-tn]; ми́лая улы́бка eitt so fitt smíl2.(дорогой) kærurсогл; góðasti, góði, kerastiннк(в обращении тж) ; vælsignaður [-Ꞌsɪ-] (в обращении); ми́лый друг kæri vinur, góði vinurIIm(возлюбленный) drongurмсогл-ir{+}(ið,o-r gongur við,ið o-r er góð við), unnustiмгл-iпоэт., кн.; ми́лаяf(возлюбленная) gentaжгл-a(ið o-r gongur við,ið o-r er góður við), unnustaжгл-aпоэт., кн.@наси́льно мил не бу́дешьorðt.alskur fæst ikki við illum [itl-];ми́лое де́лоtlm.a) tað var deiligt; b)spott.(миленькое дело) tað má eg siga!; vorðið sum søga!;вот ми́ло!tlm., spott.tað er virkuliga pent av tykkumэнкирон., tað er virkuliga deiligtэнкирон.=>брани́ться@,душа́@,око́лица
мильто́н	m óvkm.politistur [-Ꞌtʰɪ-]мнепр, politimaður [-Ꞌtʰiː-]мсогл-ar(í Russlandi)
ми́ля	fmílж0-ir{+}(старая фар. мера 7532 м; gamalt russ.mát 7468 m); морска́я ми́ля sjómíl; fjórðingurмсогл-ar
миля́га	m/f óvkm.dámligt fólkс0о
мим	mmimikariмгл-ari
мима́нс	mмими́ческий ансамбль
ми́мика	f1.(движение мыщц лица) andlitsbragd [anl-]с0о{a/ø}, mimikkur [miꞋmɪ-]ннкмсогл-ar2.sjónl.(искусство) mimikkur [miꞋmɪ-]мсогл-ar
мимикри́ровать	мимикри́ру|ю, ~ешь, ~ютipf/pf1.biol.(о животных) tillagaaðiseg við verjulíkleikaлп, tillagaaðiseg við mimicry [mɪmːɪkʰɹi]проф.2.fl.(приспосабливаться) lagaaðiseg eftir [εʰtː-]o-m, lagaaðiseg tilo-t; látastслнæ-ó-áverao-r, látastслнæ-ó-áverao-t
мимикри́я	f1.(у животных) verjulíkleikiлпмгл-i, mimicry [mɪmːɪkʰɹi]с0о{дат.0}проф.2.bókl.(приспособление) eftirlagan [εʰtː-]ж0-ir(eftir umstøðunum), vinglanж0-ir; opportunisma [-Ꞌnɪ-]жгл-a(оппортунизм)
мими́ст	mmimikariмгл-ari
мими́ческий	adj1.(кми́мика 1) (sum er) í andlitsbrøgdum [anl-]2.sjónl.(кми́мика 2) mimiskurсоглsk
ми́мо	Iadv1.(минуя) forbí [-Ꞌpʊi]ннк, framvið [-Ꞌviː]2.(не попадая туда) við Ꞌsíðuna avIIprep + Gen1.(около) forbí [-Ꞌpʊi]ннк+Вин, fram Ꞌvið +Дат2.(за пределы) við Ꞌ síðuna av +Дат; стреля́ть ми́мо це́ли rakaaðivið síðuna av málinum@не проходи́те ми́мо! latið Ꞌ við [vɪʰt] tykkum koma! =>пропусти́ть@
мимое́здом	adv tlm.á vegnum [veːnʊn], á leiðini
мимо́за	1.f(Mimosa) mimosa [-Ꞌmoː-]жгл-a2.f(Akacia dealbata) silvurakacia [-kʰaːsia]жгл-a, mimosa [-Ꞌmoː-]жгл-a3.m/ffl.(недотрога) mimosa [-Ꞌmoː-]жгл-a(um fólk)
мимолётность	ftað at vera stokkutur, tað at vera skjótur,síмимолётный
мимолётный	stfмимолёт|ен, ~на, ~но, ~ныadj1.(способный быстро перемещаться) skjóturсогл, kvikurсогл2. (появляющийся на короткое время) stokkuturсогл, stutturсогл(sum varir í stutta tíð); мимолётная ра́дость stokkut gleði
мимолётом	adv1.(пролетая мимо) á vegnum [veːnʊn], á leiðini (á flogi)2.tlm.(быстро) kvikliga; мимолётно взгляну́тьна кого-л.kveitair(t)upp á o-n; мимолётно зайти́куда-л.støkkaслнa-u-oinnhjá[tʃʰ-]o-m
мимохо́дом	adv1.(проходя мимо) á vegnum [veːnʊn], á leiðini2.(между прочим) so hissini
мим-теа́тр	mpantomimuteatur [-ˈmiːmutʰeaː-]ннкс0осн, pantomimuleikhús [-ˈmiː-]нпс0о
ми́на1	If1.(снаряд) minaжгл-a2.(для стрельбы из миномёта) bumbaжгл-a, minaжгл-a(sum verður skotin úr minukastara)3.síторпе́да=>постано́вка1
ми́на2	IIf(выражение лица) bragdс0о{a/ø}, yvirbragdс0о{a/ø}; minaннкжгл-a@де́лать хоро́шую ми́ну при плохо́й игре́látastслнæ-ó-ásum einki, látastслнæ-ó-áónervaður
минаре́т	mminaret [-Ꞌreːt]ж0-ir
мина́том	mМинисте́рство Росси́йской Федера́ции по а́томной эне́ргии russiskа kjarnorkumálaráðið [-tn-]
мин-во	министе́рство ráðharrastovaнпжгл-a, ministerium [-Ꞌsteː-]ннкс0-um
мингре́л	Gen, Acc plurмингре́л, мингре́ловm síмегре́л
мингре́лка	f síмегре́лка
мингре́льский	adj síмегре́льский
минда́левый	adj síминда́льный
минда́лина	f1.(плод) mandla [manla]жгл-a(nøt)2.(железа) mandla [manla]жгл-a(knykil); удали́ть минда́лины takaслнó-ó-imandlurnar
минда́ль	m1.(Amygdalus) mandlutræ [manl-]с0о{æ/ø}{0<>i}2.koll(плоды) mandlur [manl-]жгл-aмн
минда́льничать	ipftlm.1.(быть притворно-ласковым) vera sukursøturсогл, vera fleimandiглandi2.с кем-л.(проявлять мягкость) vera (ov [oː]) eftirlátligur [εʰtː-]глigurvið o-n, vera (ov [ɔ]) linurсоглvið o-n; не минда́льничать ikki leggja fingrarnar ímillum [-Ꞌmɪtl-]идиом., ikki fara fram við mýkindumпог.
минда́льный	adj1.(кминда́ль) mandlu- [manlʊ-]2.(розовый) rósinreyðurннкгл, rósureyðurнпгл3.flm.,tlm.(притворно-нежный) smikursøturсогл
Миндана́о	m indeclMindanao [-Ꞌnaːo]ж нескл.
минёр	mminørur [-Ꞌnøː-]мсогл-arспец.; torpedomaður [-Ꞌpʰeː-]мнепр(на судне)
минера́л	mmineral [-Ꞌraːl]с0о(;0-ir)
минера́лка	ftlm.mineralvatn [-Ꞌraː-]с0о
минерало́г	mmineralogur [-Ꞌloːk-]ннкмсогл-arпроф., steinafrøðingurлпмсогл-ar
минерало́гия	fmineralogi [-Ꞌkiː]интж0-irпроф., steinafrøðiлпжгл-i
минера́льный	adj1.(кминера́л) mineralskur [-Ꞌraː-]соглsk; минера́льное ма́сло mineralsk olja2.(содержащий минералы в каком-л. количестве) mineral- [-Ꞌraːl-]; минера́льная вода́ mineralvatn
Мине́рва	fmyt.Minerva [-Ꞌnε-]жгл-a
мине́т	mtlm.oralsex [-Ꞌraːlsεʰks]с0о({0<>i}), oralerotikkur [-Ꞌraːl-]мсогл-ar
мине́я	fmessubókж0-ur{ó/ø}(í russ. ortodoksu kirkjuni)
ми́ни	Iadj indecllårkort [lɔːɹkʰɔɹ̥t]нескл.; ю́бка ми́ни miniskirt [miːniskœɹ̥t]с0о{дат.0}; пальто́ ми́ни minifrakki [miːni-]IIn indecllårkort [lɔːɹkʰɔɹ̥t]с нескл.(о юбке); носи́ть ми́ни ganga í lårkort
ми́ни-...	í samans við týdn.1.(маленький по размерам или значению) mini- [miːni-]ннк, pinku-; pinkulítilсоглосн;ми́ни-анса́мбль miniorkestur [-kʰε-]; ми́ни-война́ pinkulítið kríggj2.(очень короткой длины) mini- [miːni-], lårkort [lɔːɹkʰɔɹ̥t]нескл.; ми́ни-пальто́ minifrakki; ми́ни-ю́бка miniskirt [miːniskœɹ̥t]с0о, lårkort [lɔːɹkʰɔɹ̥t]с нескл.
ми́ни-АТС	[-а-тэ-э́с]f несклautomatisk telefonstøð (við nøkrum fáum nummarum, á virkjumo.ø.)
миниатю́ра	f1.(рисунок в старинной рукописи) miniatura [miniaꞋtʰyː-]жгл-a(í gomlum handritum o.tíl.)2.(небольшая картина) miniatura [miniaꞋtʰyː-]жгл-a(pinkulítil mynd)3.(драматическое,музыкальное произведение) miniatura [miniaꞋtʰyː-]жгл-a(dramatiskt verk,musikkverk)4.(изделие маленького формата) miniatura [miniaꞋtʰyː-]жгл-a@в миниатю́реí miniaturstødd [miniaꞋtʰyːɹ-]ннк, í miniatur [miniaꞋtʰyːɹ-]ннк
миниатюри́ст	mminiaturmálari [-Ꞌtʰyː-]ннкмгл-ariпроф., smámyndamálariлпмгл-ari
миниатю́рный	stfминиатю́р|ен, ~на, ~но, ~ныadj1.bert lf(кминиатю́ра 1-2) miniatur- [-Ꞌtʰyːɹ-]ннкпроф., smámynda-лп; миниатю́рная жи́вопись miniaturmáling [-Ꞌtʰyːɹ-]ннкпроф., smámyndamálingлп2.(маленький и изящный) lítilсоглосн{+}og fínligurглigur, netturсогл; pinkulítilсоглосн, pinku- (очень маленький)
ми́ни-ба́ня	fpinkulítil baðstova [pas-]жгл-a
ми́ни-ба́р	mminibarr [miːni-]ж0-ir
ми́ни-видеока́мера	fminivideokamera [miːniviːteokʰaː-]ннксгл-aпроф., minivideomyndatól [miːniviːteo-]нпс0о
минивэ́н	mminibussur[miːni-]мсогл-ar
ми́ни-ди́ск	msmáfløgaжгл-a
ми́ни-интервью́	[-тэ-]n indeclstutt viðtal [vɪʰt-]с0о{0<>i}, stutt interview [ɪn̊tεɹˈvjʉu]ннкс0о{0<>i}
ми́ни-ка́рта	mUSB-lykil [uː εsː ˈpeː-]мосн-s,-ar, geymiмгл-i
ми́ни-колле́кция	fpinkusamlingннкж0-ar, pinkulítil samlingннкж0о, pinkusavnнпс0o{a/ø}, pinkulítið savnнпс0о{a/ø}
миникомпью́тер	[-тэ-]msmáteldaжгл-a,
ми́ни-конце́рт	mstutt konsert {koncert} [-ˈsε-]ж0-ir(непродолжительный); lítil konsert {kpncert} [-ˈsε-]ж0-ir(с ограниченным количеством участников)
ми́ни-круи́з	mmini-cruiseferð [miːnikʰɹʉus-]ж0-irпроф., mini-cruise [miːnikʰɹʉus]жнескл. проф.
ми́ни-магази́н	mminimarknaður [miːni-]мсогл-ir
минимали́зм	mtað at seta minstu krøv
минима́лка	plurминима́л|ки,~ок, ~камf tlm.minstalønж0-ir, minimumsløn [miːni-]ж0-irнеформ.
минима́льно	adv(как можно меньше) minst møguligt; minst; minimalt [miːniꞋmaːl̥t]ннк(самое малое); минима́льно допусти́мый разме́р вкла́да minst loyvda stødd á innskotinum
минима́льный	stfминима́лен, минима́льн|а, ~о, ~ыadjminsti-, minimums- [miːni-]ннк, minimalur [miːniꞋmaː-]ннксогл; минима́льная зарпла́та minstaløn; минима́льная ско́рость minstaferð; минима́льные тре́бования minstu krøvini, minimumskrøvннк; в минима́льный срок upp á stytst møguliga tíð =>МРОТ
ми́ни-ма́ркет	mminimarknaður [miːni-]мсогл-ir
ми́ни-ме́льница	flítil myllaжгл-a, lítil mylnaжгл-aкн; lítil kvørn [-tn]ж0-ir{ø/a}(меньшего размера)
минимиза́ция	fminimering [miːniˈme-]ж0-arбухг., эк.
