Р	рентге́н röntgen {røntgen} [rœŋ̊kɪn]
расхохота́ться	расхохочу́сь, расхохо́ч|ешься, ~утсяpfbrestaслнa-u-oí skellilátur [-tl-]
расхрабри́ться	расхрабр|ю́сь, ~и́шься, ~я́тсяpftlm.erraaðiseg upp, herðair(d)seg í huga
расхри́станный	stfрасхри́стан, ~а, ~о, ~ыparticóvkm.,vanv.ófantaligur [-Ꞌfa-]глigur(ótrivaligur), fjøsuturсогл, illfjøskuturсогл; rivinсоглоснog skræddurсогл{æ/ø}(в оборванной одежде); við klæðunum opnum (расстёгнутый)
расцара́пать	pf(ipfрасцара́пывать)AccklóraaðiВин
расцара́паться	pf(ipfрасцара́пываться) skøvaaðiseg, fáaслнe-i-iskeinur
расцара́пывать	ipf síрасцара́пать
расцара́пываться	ipf síрасцара́паться
расцвести́	расцвет|у́, ~ёшь, ~у́т;pretрасцвёл, расцвел|а́, ~о́, ~и́pf(ipfрасцвета́ть)1.bert 3. pers(распуститься) sprettaслнa-u-o; blomstraaði, blómaaði(дать цветки)2.(похорошеть) blómaaði, blomstraaði(gerast vakrari, betri)3.(стать радостным) lýsair(t)(av gleði o.tíl.)4.(достичь высокой степени развития) blómaaði, blomstraaði(mennast)
расцве́т	m1.(цветение) blomstringж0-ar, blómiнпмгл-i, blómanж0-irкн.2.fl.(высшая степень развития) blómiмгл-i; blómingarskeiðс0о{0<>i}кн.(эпоха); расцве́т культу́ры ≈ gulløldin [-tl-] hjá [tʃʰ-] mentanini@в расцве́те силí bestur árum
расцвета́ть	ipf síрасцвести́
расцвети́ть	расцвечу́, расцвет|и́шь, ~я́тpf(ipfрасцве́чивать)что-л.1.tlm.(сделать цветным) farvaннкaðio-t, málaaðio-t2.: расцвети́ть фла́гамиskip.pyntaaðivið fløggum
расцве́тка	f1.(действие) farvingннкж0-ar, málingж0-ar(gerð)2.(подбор красок) litmynsturс0осн, litsamansetingж0-ar
расцве́чивание	n: фла́ги расцве́чиванияskip.signalfløgg [-Ꞌnaːl-] (í verða hongd upp til pynt)
расцве́чивать	ipf síрасцвети́ть
расцелова́ть	расцелу́|ю, ~ешь, ~ютpf AccmussaaðiВин(inniliga,fleiri ferðir), kyssair(t)Винкн.,выс.(inniliga,fleiri ferðir)
расцелова́ться	расцелу́|юсь, ~ешься, ~ютсяpfmussastaði(inniliga,fleiri ferðir), kyssastir(t)кн.,высок. (inniliga,fleiri ferðir)
расце́нивать	ipf síрасцени́ть
расцени́ть	расценю́, расце́н|ишь, ~ятpf(ipfрасце́нивать)1.что-л.(установить стоимость) virðismetair(t)o-t, vurdera [-Ꞌteː-]ннкaðio-tпроф.; taksera [-Ꞌseː-]aðio-tпроф., setaur(t);ir(t)prís áo-t(установить цену чего-л.)2.Acc(оценить) metair(t)Вин(sumo-t), vurdera [-Ꞌteː-]ннкaðВин; высоко́ расцени́тьAcchaldaслнe-i-inógv umВин; как вы расце́ниваете его́ выступле́ние? hvat halda tit um taluna hjá [tʃʰ-] honum?
расце́нка	plurрасце́н|ки, ~ок, ~камf1.(действие) (virðis)metingж0-ar, vurdering [-Ꞌteː-]ннкж0-arпроф.; taksering [-Ꞌseː-]ж0-arпроф.2.(цена) prísurмсогл-ir;согл-ar; taksturмсогл-s,-ir, satsurмсогл-s,-ir(оплата)
расцепи́ть	расцеплю́, расце́п|ишь, ~ятpf(ipfрасцепля́ть)Accloysair(t)Вин; krøkjair(t)Винúr (крючок); kopla [-pla]aðiВинfrá; útloysair(t)Вин(автоматически); расцепи́ть драчуно́вtlm.skiljaur(d);ir(d){+}fólk sundur, sum berjast
расцепи́ться	расце́п|ится, ~ятсяpf(ipfрасцепля́ться) loysnaaði, losnaaði; verða krøkturсоглúr; verða koplaður [-pl-]глaðurfrá; драчуны́ расцепи́лисьtlm.menninir, sum bardust, vórðu skildir sundur
расце́пка	plurрасце́п|ки, ~ок, ~камffrákopling [-pl-]ж0-ar
расцепля́ть	ipf síрасцепи́ть
расцепля́ться	ipf síрасцепи́ться
расча́лка	plurрасча́л|ки, ~ок, ~камfbardun [-Ꞌtuːn]ж0-ir
расчёлся	pret m avрасче́сться
расчерти́ть	расчерчу́, расче́рт|ишь, ~ятpf(ipfрасче́рчивать)что-л.linjera [-Ꞌjeː-]aði, tekna [tʰεkna]aðilinjur (á pappír); расчерти́ть ка́рту на квадра́ты kvadrera [-Ꞌreː-]aðiпроф.eitt kort
расче́рчивать	ipf síрасчерти́ть
расчеса́ть	расчешу́, расче́ш|ешь, ~утpf(ipfрасчёсывать)1.что-л.(расправить) greiðair(d)o-t(неживое), kembair(d)o-t(в поиске вшей,иначеуст.)2.что-л.(шерсть) karðaaðio-t3.Acc(причесать) greiðair(d)o-m(живое); greiðair(d)o-t(неживое)4.что-л.(расцарапать) klóraaðio-t(so tað bløðir el.tíl.)5.Accóvkm.(разбить,победить) vinnaслнa-u-uáДат
расчеса́ться	расчешу́сь, расче́ш|ешься, ~утсяpf(ipfрасчёсываться) greiðair(d)sær
расчёска	plurрасчёс|ки, ~ок, ~камf1.(действие) greiðingж0-ar; karðingж0-ar,sbr.расчеса́ть2.(гребёнка) kamburмсогл-ar(at greiða við)
расче́сть	разочт|у́, ~ёшь, ~у́т;pretрасчёл, разочл|а́, ~о́, ~и́pfgml.,tlm.síрасчита́ть1-2
расче́сться	разочт|у́сь, ~ёшься, ~у́тся;pretрасчёлся, разочл|а́сь, ~о́сь, ~и́сьpfgml.,tlm.síрассчита́ться1-2
расчёсывать	ipf síрасчеса́ть
расчёсываться	ipf síрасчеса́ться
расчёт	[ращо́т]m1.(вычисление) útrokningж0-ar; kalkulatión [-Ꞌʃɔun]ж0-ir(вычисление); kostnaðarætlanж0-ir(смета); произвести́ расчёты gera útrokningar; по приблизи́тельному расчёту eftir [εʰtː-] einari leysligari útrokning; по са́мым скро́мным расчётам lágt sett, lágt roknað2.(уплата) gjaldс0о{a/ø}, betalningur [-Ꞌtʰa-]ннкмсогл-ar; uppgerðж0-ir, avrokningж0-ar(зарплаты); произвести́ расчёт geraнепрꞋ upp, avroknaaði; за нали́чный расчёт kontant [-Ꞌtʰa-]; покупа́ть за нали́чный расчёт keypa kontant [-Ꞌtʰa-]3.(увольнение): взять расчёт sigaнепрꞋ upp; датькому-л.расчёт koyrair(d)o-n, sigaнепрo-nupp; он получи́л расчёт hann varð koyrdurсогл, hann varð uppsagdurсогл{a/ø}4.(предположение) ætlс0о, metingж0-ar; ætlanж0-ir(намерение); по мои́м расчётам eftir [εʰtː-] mínari meting; расчёт оказа́лся пра́вильным tað gekk sum væntað; в расчётена что-л.viðo-mfyri eyga, viðo-mí hyggju, við vónum o-t; в расчёте на ка́ждого жи́теля fyri hvønn íbúgva; с расчётом við tí fyri eyga; э́то не входи́ло в его́ расчёты hetta var ikki uppi í ætlanunum hjá honum, hetta hevði [hεijɪ] hann ikki ætlað; hetta hevði [hεijɪ] hann ikki væntað (sær)5.(преимущество) fyrimunurмсогл-ir; nyttaжгл-a, gagnс0о(польза); по расчёту viðo-mí kvittanum; мне нет никако́го расчёта е́хать туда́ tað er eingin dugur í hjá [tʃʰ-] mær at fara hagar; нет расчёта де́лать э́то tað er ikki so mikið vert at gera hetta, tað er ikki stríðið vert at gera hetta6.tlm.(расчётливость) sparsemiсгл-i;жгл-i; во всём соблюда́ть расчёт veri sparinсоглоснí øllum [œtl-]7.herm.manning (á kanónbattarí o.ø.)@бытьв расчётес кем-л.vera kvittvið o-nнеформ.;из расчёта {по расчёту}чего-л.við støðií o-m;из расчёта 2 % годовых við 2% um árið; из расчёта по сто рубле́й на челове́ка við einum satsi upp á hundrað rublar fyri hvønn; пе́нсия исчисля́ется из расчётачего-л.pensiónin verður útroknaðvið o-msum grundarlag;приня́ть {взять}что-л.в расчётhavaнепрo-tí huga =>безнали́чный,бракI,ошиби́ться,прямо́й6
расчётливость	[-що́т-]f1.(бережливость) sparsemiсгл-i;жгл-i2.(соображение выгоды,пользы) berokning [-Ꞌrɔ-]энкж0-arнеодобр.3.(осмотрительность) fyrilitс0о, fyrihyggjaжгл-aкн.
расчётливый	[-що́т-]stfрасчётлив, ~а, ~о, ~ыadj1.(бережливый) sparinсоглосн, tilsígginсоглоснggj(осторожный)2.(действующий с расчётом) beroknandi [-Ꞌrɔ-]энкглandiнеодобр.3.(осмотрительный) umhugsinсоглосн, hygginсоглоснggj
расчётный	[-що́т-]adj1.(относящийся к зарплате) lønar-; расчётная ве́домость lønarlisti2.: расчётный счёт avrokningskonto3.tekn.: расчётная мо́щность nominell [-Ꞌnεlː] kraftспец.4.skip.: расчётное вре́мя отхо́да {отбы́тия} væntað fráfaringartíðофиц., ETD [eː tʰeː Ꞌteː]с0{0<>i}проф.(и на письме как сокращение); расчётное вре́мя прихо́да væntað komutíðофиц., ETA [eː tʰeːꞋaː]с0{0<>i}проф.(и на письме как сокращение)
расчётчик	[-що́т-]mfakm.beroknari [-Ꞌrɔ-]мгл-ariпроф., kalkulator [-Ꞌlaː-]м0-torпроф.
расчехли́ть	расчехл|ю́, ~и́шь, ~я́тpf(ipfрасчехля́ть)что-л. takaслнó-ó-iyvirtrekkav o-m(о мебели и т.п.),takaслнó-ó-ibetrekk [-ˈtɹεʰkː]av o-m(о постели),takaслнó-ó-ihylsturav o-m
расчехля́ть	ipf síрасчехли́ть
расчири́кать	pf что-л.tlm.ríslaaðio-tút
расчири́каться	pftlm.1.(издать звуки) pippaaði, látaслнæ-ó-á(um spurvar o.a.)2.síрасчири́кать3.(разговориться) roksaaði; gorraaðiнеодобр.(громко говорить)
расчи́слить	расчи́сл|ю, ~ишь, ~ятpf(ipfрасчисля́ть)что-л.roknaaðio-tút, berokna [-Ꞌrɔ-]ннкaðio-t
расчисля́ть	ipf síрасчи́слить
расчи́стить	расчи́щу, расчи́ст|ишь, ~ятpf(ipfрасчища́ть)1.(очистить, освободить) ruddaaðio-t(burtur) (beina av vegnum); reinsaaðio-t; расчи́стить у́лицу от сне́га rudda kava (burtur) av vegnum [veːn-]; расчи́стить пи́сьменный стол rudda skriviborðið2.: расчи́стить путь ruddaaðislóð fyriДат, slættaaðiДатgøtur, slóðaaðifyri Дат
расчи́ститься	расчи́ст|ится, ~ятсяpf(ipfрасчища́ться) (от чего-л.) verða ruddaðurглaður(burtur); verða reinsaðurглaður; не́бо расчи́стилось tað klárnaði, tað kláraði Ꞌ í, tað glottaði
расчи́стка	plurрасчи́ст|ки, ~ок, ~камfruddingж0-ar, reinsingж0-ar; расчи́стка ми́нных поле́й rudding av minuøki
расчиха́ться	pftlm.(fara at) njósaaði;ar(t);слнey-u-o(illa [ɪtla])
расчихво́стить	расчихво́щу, расчихво́ст|ишь, ~ятpf Accóvkm.finnastслнa-u-uharðliga atДат, lastaaðiВинniður í sand og øsku, hekla [hεkla]aðiВинígjøgnum [-Ꞌtʃœ-]неодобр.
расчища́ть	ipf síрасчи́стить
расчища́ться	ipf síрасчи́ститься
расчлене́ние	nsundurbýtingж0-ar, sundurlimingж0-ar,síрасчлени́ть,síрасчленя́ться(русскому отглагольному сущ. в переводе часто или предпочтительно соответствует глагольная форма)
расчленёнка	plurрасчленён|ка, ~ок, ~камfóvkm.sundurlimaður kroppurмсогл-ar(av fólki)
расчлени́ть	расчлен|ю́, ~и́шь, ~я́тpf(ipfрасчленя́ть;eis.члени́ть)что-л.býtair(t)o-tsundur; limaaðio-tsundur (туловище,тело); stykkjaaðio-tsundur (б.ч. баранье туловище); takaслнó-ó-io-tsundur (ос. о палтусе); расчлени́ть сло́во на морфе́мы býta eitt orð sundur í morfem [-Ꞌfeːm] расчлени́ть мысль strukturera [-Ꞌreː-]ннкaðiein tanka [tʰaŋ̊ka]
расчлени́ться	расчлен|и́тся, ~я́тсяpf (ipf расчленя́тьс)verða býtturсоглsundur, verða tikinсоглоснsundur í partar, verða sundurlimaðurглaður
расчленя́ть	ipf síрасчлени́ть
расчленя́ться	ipf síрасчлени́ться
расчу́вствоваться	расчу́вству|юсь, ~ешься, ~ются[-чу́ст-]pftlm.verða (djúpt) rørdurсогл
расчу́хать	pf что-л.óvkm.følair(d)o-t, varnastaðio-t(um smakk,lukt o.tíl.); fáaслнe-i-ifrænirav o-m, fáaслнe-i-isnevilinav o-m(понять,разобраться)
расшали́ться	расшал|ю́сь, ~и́шься, ~я́тсяpfverða óstýriligur [-Ꞌstʊi-]глigur
расша́ркаться	pf(ipfрасша́ркиваться)перед кем-л.1.(раскланяться) bukkaaðifyri o-m(og skava við fótinum)2.fl.(проявить льстивое отношение) krúpaслнey-u-ofyri o-m
расша́ркиваться	ipf síрасша́ркаться
расша́танный	Ipartic avрасшата́тьIIadj1.(неустойчивый,шатающийся) skinkluturсогл; leysurсогл, sum riðar (о зубе,гвозде и т.п.)2.(ослабленный,пришедший в упадок) viknaðurглaður(о дисциплине,здоровье и др.); afturfarin [aʰtː-]соглосн(о здоровье и др.); oyðilagdur [-Ꞌla-]согл{a/ø}(разрушенный,о здоровье и др.); niðurundirkomin [-Ꞌʊn-]соглосн(в плохом состоянии); расша́танное здоро́вье oyðiløgd heilsa; расша́танное хозя́йство niðundirkomin búskapur; búskapur, sum er illa [ɪtla] fyri
расшата́ть	pf(ipfрасша́тывать)что-л.1.(сделать неустойчивым) riðaaðio-t(leyst), rinkaaðio-t(leyst); geraнепрo-tskinklut (о мебели и т.п.)2.fl.(поколебать) geraнепрveikt, veikjair(t)o-tкн.; oyðileggja [-Ꞌlε-]непрo-t, spilla [-tla]ir(t)o-t(расстроить,здоровье и др.)
расшата́ться	pf(ipfрасша́тываться)bert 3. pers brúktur1.(перестать крепко держаться) losnaaði, loysnaaði(о гвозде и т.п.); verða skinkluturсогл(стать шатким-о мебели и др.)2.fl.(поколебаться,расстроиться) viknaaði; oyðileggjast [-Ꞌlε-]непр, spillast [-tl-]ir(t)(о здоровье и др.)
расша́тывать	ipf síрасшата́ть
расша́тываться	ipf síрасшата́ться
расшвы́ривать	ipf síрасшвыря́ть
расшвыря́ть	pf(ipfрасшвы́ривать)Acctlm.sleingjair(d)Вин(burtur), syftair(t)Вин(burtur); расшвыря́ть де́ньгиfl.søplaaðipengarnar burtur
расшевели́ть	расшевел|ю́, ~и́шь, ~я́тogрасшеве́л|ишь, ~ятpf(ipfрасшеве́ливать)Acctlm.1.(шевеля,вывести из покоя) rótaaði(í o-m), skavaaði(í o-m); расшевели́ть у́гли в пе́чке rakaaðií kolinum í ovninum; расшевели́ть спя́щих ruskaaðií tey sovandi (at fá tey at vakna)2.fl.(побудить) setair(t);ur(t)líví Вин, eggjaaðiДат{Вин}
расшевели́ться	расшевел|ю́сь, ~и́шься, ~я́тсяogрасшеве́л|ишься, ~ятсяpf(ipfрасшеве́ливаться)tlm.1.bert 3. pers brúktur(начать шевелиться) faraслнó-ó-aat røra seg, faraслнó-ó-aat røra upp á seg [ʊꞋpʰɔsːɪ]2.fl.(побудиться) ressastaðivið, kvaklastaðivið; vaknaaðiперен.
расшиба́ть	ipf síрасшиби́ть
расшиба́ться	ipf síрасшиби́ться
расшиби́ть	расшиб|у́, ~ёшь, ~у́т;pretрасши́б, ~ла, ~ло, ~лиpf(ipfрасшиба́ть)1.что-л.(повредить) meiðair(d)o-t(illa [ɪtla]), meiðslaaðio-t(illa [ɪtla])2.Accóvkm.(повредить ударами, разбить) sorlaaðiВин(sundur), soraaðiВин(sundur) smildraaðiВин(sundur)
расшиби́ться	расшиб|у́сь, ~ёшься, ~у́тся;pretрасши́бся, расши́бл|ась, ~ось, ~исьpf(ipfрасшиба́ться)1.(ушибиться) meiðair(d)seg (illa [ɪtla]), meiðslaaðiseg (illa [ɪtla]); расшиби́ться в кровь sláaслнó-ó-iseg til blóðis2.tlm.(проявить крайнее усердие) leggjaнепрalla [atla] orku í, kýtair(t)seg =>лепёшка@
расшива́ть	ipf síрасши́ть
расшива́ться	ipf síрасши́ться
расши́вка	plurрасши́в|ки, ~ок, ~камf1.(красши́ть 2) uppsprettingж0-ar; tað at skera upp (bók) (книги)2.(вышивка) brodering [-Ꞌteː-]ж0-ar
расшире́ние	n1.(красшири́ть 1, расшири́ться 1) víðkanж0-ir; breiðkanж0-ir(в широту); расшире́ние вен æðraknútar [akɹa-]мсогл-arмн; балло́нное расшире́ние ballónvíðkan [-Ꞌlɔun-] (av lívæðr) (артерии)2. (увеличение в числе,объёме) víðkanж0-ir; útbyggingж0-ar; vøksturм0осн-ar,-ir{ø/a};согл-ir{a/ø}(рост); расшире́ние произво́дства víðkan av framleiðsluni3. (границ и т.п.) víðkanж0-ir; расшире́ние рыболо́вной грани́цы víðkan av fiskimarkinum; расшире́ние кругозо́ра víðkan av sjónarringinum; расшире́ние свя́зей víðkan av sambandinum4.(расширенная часть) víðkingж0-ar(víðari partur av o-m) =>варико́зный
расши́ренный	Ipartic avрасши́ритьIIadj1.(о зрачках и т.п.) útvíðaðurглaður, víðkaðurглaður(um pupillur o.tíl.)2.(увеличенный) víðkaðurглaður, økturсогл; в расши́ренном значе́нии í víðkaðari merking
расшири́тель	m: (баллон) ballón [-Ꞌlɔun]ж0-ir(at víðka æðrar við); stentж0-ir(стент)
расшири́тельный	stfрасшири́телен, расшири́тельн|а, ~о, ~ыadj1.(широко понимаемый) breiðurгл(um uppfatanir, tolkingar o.a.); расшири́тельное истолкова́ние те́кста ein breið útlegging av tekstinum2.bert lftekn.(о баках,муфтах и др.) ekspansións- [-Ꞌʃɔu-] =>бачо́к
расши́рить	расши́р|ю, ~ишь, ~ятpf(ipfрасширя́ть)что-л.1.(сделать более широким) víðkaaðio-t(отверстие и т.п.); breiðkaaðio-t(в широту); расши́рить у́лицу breiðka vegin2.(увеличить) víðkaaðiumo-t, økjair(t)o-t, vaksaнпслнa-u-aum o-t; расши́рить ассортиме́нт vaksa um úrvalið [ʏɹ-]; расши́рить фа́брику vaksaнпum fabrikkina [-Ꞌpɹɪ-], byggjair(d)fabrikkina [-Ꞌpɹɪ-] Ꞌ út3.fl.(сделать более широким по содержанию и др.) víðkaaði(um)o-t; rúmka [rʏŋ̊ka]aðio-tрасши́ритьчей-л.кругозо́р víðka (um) sjónarringinhjá[tʃʰ-]o-m; расши́рить свою́ де́ятельность víðka (um) virksemið há sær
расши́риться	расши́р|юсь, ~ишься, ~ятсяpf(ipfрасширя́ться)1.(стать более широким) víðkastaði; breiðkaaði, breiðkastaði, verða breiðariсравн.(в широту); útvíðaaðiseg2.(увеличиться) økjastir(t), verða størriсравн., veksaннкслнa-u-o{a}, vaksaнпслнa-u-a; verða útbygdurсогл(о заводах и т.п.)3.(стать более обширным) víðkastaði; его́ кругозо́р расши́рился sjónarringurin hjá [tʃʰ-] honum víðkaðist
расширя́ть	ipf síрасши́рить
расширя́ться	ipf síрасши́риться
расширя́ющийся	Ipartic avрасширя́тьсяIIadj1.(который расширяется) sum víðkast, sum útvíðar seg2.tekn.(о цементе и др.) ekspanderandi [-Ꞌteː-]глandiспец.; расширя́ющийся цеме́нт ekspanderandi sement [-Ꞌmε-]
расши́тый	adj broderaður [-ˈteː-]глaður
расши́ть	разошь|ю́, ~ёшь, ~ю́т;imperрасше́й, расше́йтеpf(ipfрасшива́ть)что-л.1.(вышить) brodera [-Ꞌteː-]aðio-t2.tlm.(распороть) sprettair(t)o-tupp
расши́ться	разошь|ю́сь, ~ёшься, ~ю́тся;imperрасше́йся, расше́йтесьpf(ipfрасшива́ться)tlm.(распороться) sprotnaaði
расшифрова́ть	расшифру́|ю, ~ешь, ~ютpf(ipfрасшифро́вывать)1.(раскрыть) týðair(d)o-t, dechifrera [-ʃɪꞋfreː-]ннкaðio-t(шифровку); brótaслнey-u-oo-t, loysair(t)o-t, knekkaннкaðio-t проф.(kodu) (код)2.fl.(понять,разгадать) týðair(d)o-t, tolkaaðio-t, tulkaaðio-t(útleggja)
расшифро́вка	plurрасшифро́в|ки, ~ок, ~камftýðingж0-ar(av loyniskrift o.ø.); loysningurмсогл-ar, dechifrering [-ʃɪfꞋreː]ннкж0-ar(av kodu)
расшифро́вщик	m o-r, ið brýtur kodur
расшифро́вывать	ipf síрасшифрова́ть
расшнурова́ть	расшнуру́|ю, ~ешь, ~ютpf(ipfрасшнуро́вывать)что-л.loysair(t), loysair(t)Ꞌ upp (serl. lissur o.tíl.)
расшнурова́ться	расшнуру́|юся, ~ешься, ~ютсяpf(ipfрасшнуро́вываться)1.bert 3. pers brúktur(развязаться) faraслнó-ó-aꞋ upp (um lissur o.tíl.); боти́нки расшнурова́лись lissurnar á skónum eru farnar upp2.(развязывать) loysair(t)(lissur o.tíl.)
расшнуро́вывать	ipf síрасшнурова́ть
расшнуро́вываться	ipf síрасшнурова́ться
расшуме́ться	расшумлю́сь, расшум|и́шься, ~я́тсяipftlm.1.(начать шуметь) (fara at) haldaслнe-i-iꞋ gang, (fara at) larmaaði; (fara at) leikaaðií; де́ти расшуме́лисьтжbørnini er farin upp at gartera [-Ꞌtʰeː-]2.(начать сильно браниться) loysair(d)av at deilast
расще́дриваться	ipf síрасще́дриться
расще́дриться	расще́др|юсь, ~ишься, ~ятсяpf(ipfрасще́дриваться)tlm., oftaspott.verða rummiskurсоглsk(við pengum), verða stórtøkin [stœɹ̥t-]соглосн(við pengum); faraслнó-ó-aí spanderibuksurnar [-Ꞌteː-]энкидиом., неформ., шутл.
расще́лина	f1.(узкое ущелье) gjógvж0-ir{+}, kluftж0-ir2.(шель) rivaжгл-a, sprungaжгл-a
расщёлкивать	ipf síрасщёлкнуть
расщёлкнуть	расщёлкн|у, ~ешь, ~утpf(ipfрасщёлкивать)что-л.tlm.(раколоть) brótaслнey-u-oo-t(við einum bresti); lataслнæ-ó-ao-tupp (við einum bresti) (раскрыть)
расщепи́ть	расщеплю́, расщеп|и́шь, ~я́тpf(ipfрасщепля́ть)что-л.1.(расколоть) kloyvair(d)o-t, klúgvaслнey-u-oo-t; høggaur(d)o-tí flísar (рубить), skeraслнa-ó-oo-tí flísar (резать в щепки)2.fys., kem.(разделить на части) kloyvair(d)o-t, klúgvaслнey-u-oo-t
расщепи́ться	расщеп|и́тся, ~я́тсяpf(ipfрасщепля́ться)1.(расколоться) klovnaaði; verða høgdurсоглí flísar (рачрублен), verða skorinсоглоснí flísar (разресан) (в щепки)2.fys., kem.verða kloyvdurсогл
расщепле́ние	n1.(раскалывание) kloyvingж0-ar2.fys., kem.(разделение на части) kloyvingж0-ar
расщепля́ть	ipf síрасщепи́ть
расщепля́ться	ipf síрасщепи́ться
ратифика́ция	fstaðfestingж0-ar(av millumlanda avtalu o.tíl.), ratificering {ratifisering} [raːtifiꞋseː-]ннкж0-arпроф.
ратифици́ровать	ратифици́ру|ю, ~ешь, ~ютipf/pf что-л.staðfestair(t)o-t(millumlanda avtalu o.tíl.), ratificera {ratifisera} [raːtifiꞋseː-]ннкaðiпроф.o-t
ра́тник	m1.hátíð.(борец) stríðsmaðurмнепр2.gml.(солдат) hermaður [hεɹ-] (реже[heːɹ-])мнепр, soldatur [-Ꞌtaː-]мсогл-ar, soldátur [-Ꞌtɔaː-]мсогл-ar
ра́тный	adjhátíð.,gml.stríðs-, bardaga-, krígs- [kʰɹʊi̯ʰks-], [kʰɹʊʰks-]
ра́товать	ра́ту|ю, ~ешь, ~ютipfgml.,hátíð.: ра́товатьза Accstríðastir(d)fyri Вин, berjastir(d){e/a}{+}fyri Вин; brótaслнey-u-oꞋ nasarfyri Винидиом.(выступать в защиту); ра́товатьпротив Genstríðastir(d)móti Дат, berjastir(d){e/a}{+}móti Дат
ра́туша	fráðhúsс0о
рать	f1.gml.(битва) bardagiмгл-i{a/ø}, orrustaжгл-aвыс., поэт.; kríggjс0о{+}{0<>i}(война)2.hátíð.(войско) herurмсогл-ar3.skemt.(множество;толпа) riðilм0осн-s,-ar(mongd,hópur), fjøldж0-ir, rúgvaжгл-a(av fólki o.ø.), herskariмгл-i
ра́унд	m1.(в боксе) umfarс0о{a/ø}(í boksing)2.fl.(серия,цикл) umfarс0о{a/ø}(í samráðingum o.tíl.)
ра́ут	mgml.(kvøld)veitsla [-vai̯sla]жгл-a, ballс0онеформ.(um kvøldið)
ра́утер	m teld., jarg, síро́утер
РАФ	m slag av minibussi
рафина́д	msukurmolarмгл-iмн(av raffineraðum sukri)
рафина́дный	adj: рафина́дный заво́д sukurreinsivirkiсгл-i, sukurraffinadarí [-naː-]ннкс0о(;0-ir)
рафини́рованный	Ipartic avрафини́роватьIIadj1.(очищенный) reinsaðurглaður, reinskaðurглaður, raffineraður [-Ꞌneː-]ннкглaðurпроф.2.fl., bókl.(изысканный) raffineraður [-Ꞌneː-]ннкглaður(frágerða góður)
рафини́ровать	рафини́ру|ю, ~ешь, ~ютipf/pf что-л.1.(очистить) reinsaaðio-t, reinskaaðio-t, raffinera [-Ꞌneː-]ннкaðio-tпроф.2.(превратить в рафинад) geraнепрtil raffinerað [-Ꞌneː-] sukur
рафт	mgummibátur [kʊmˑi-]мсогл-ar(til rafting)
ра́фтер	m o-r, ið íðkar rafting
ра́фтинг	mraftingж0-ar
Рахи́ль	fbíbl.Rakulж0-ar
рахи́т	meingilsk sjúkaжгл-a
рахи́тик	mtlm.barn [-tn]с0о{a/ø}við eingilskari sjúku
рахити́ческий	adj síрахити́чный
рахити́чный	stfрахити́ч|ен, ~на, ~но, ~ныadj1.(больной рахитом) sjúkurсоглav eingilskari sjúku2.(выглядящий болезненно) ússaligurглigur, skirvisligurглigur(um fólk)
рацио́н	mransón [-Ꞌsɔun]ж0-ir(ос.мор.), skamturмсогл-arкн.; рацио́н рыб fóðurс0оснhjá fiski
рационализа́тор	mrationaliseringsserfrøðingur [raːʃonaːliꞋseː-]мсогл-ar
рационализа́торский	adjrationaliserings- [raːʃonaːliꞋseː-]
рационализа́ция	frationalisering [raːʃonaːliꞋseː-]ж0-ar
рационализи́ровать	рационализи́ру|ю, ~ешь, ~ютipf/pf что-л.rationalisera [raːʃonaːliꞋseː-]aðio-t
рационали́зм	m1.(философское направление) rationalisma [raːʃonaꞋlɪ-]жгл-a, skynsemisstevnaлпжгл-a2.bókl.(рассудочное отношение к жизни) rationalisma [raːʃonaꞋlɪ-]жгл-a
рационали́ст	m1.(последователь рационализма) rationalistur [raːʃonaꞋlɪ-]мсогл-ar2.bókl.(рационалистический человек) rationalistur [raːʃonaꞋlɪ-]мсогл-ar
рационалисти́ческий	adjrationalistiskur [raːʃonaꞋlɪ-]соглsk
рационалисти́чный	stfрационалисти́ч|ен, ~на, ~но, ~ныadjrationalistiskur [raːʃonaꞋlɪ-]соглsk
рациона́льный	stfрациона́лен, рациона́льн|а, ~о, ~ыadj1.(основанный на разуме;организованный разумным способом) rationellur [raːʃoꞋnεlː-]согл2.mat.(о числах и др.) rationalur [raːʃoꞋnaː-]; рациона́льное число́ rationalt tal, ráðiðлпсоглоснðtal
ра́ция	fradiostøð [raː-]ж0-ir(sum kann berast); walkie-talkie [vɔːkiꞋtʰɔːki]с0о{дат.0};м0-ar{дат.0}
рацпредложе́ние	nрационализа́торское предложе́ние
ра́чий	adjkrebsa-ннк, vatnkrabba- [vank-]лп@ра́чьи глаза́tlm.útoygd eygur
рачи́тельный	stfрачи́телен, рачи́тельн|а, ~о, ~ыadjnærlagdurсогл{a/ø}(добросовестный); ágrýtinсоглосн, íðinсоглоснð(усердный); røkinсоглосн, tilsígginсоглоснgg(бeрежливый)
рачо́к	Gen, Accрачк|а́;plur~и́, ~о́в, ~а́м1.dim avрак2.bert plur(группа мелких ракообразных)felagsnavn fyri ym. smá krabbadjór
рачо́к-бокопла́в	m-m síбокопла́в
Ра́шка	f niðr.Russlandс0о{а/о}
ра́шпиль	mraspж0-ir(grov fíl); обраба́тыватьчто-л.ра́шпилем raspaaðio-t
раще́ние	n: сре́дство для раще́ния воло́с hármiddilннк
ращу́	1 pers sing pres avрасти́ть
