б	part síбы
Бли́жний Восто́к	Miðeysturс0осн(на PrepíДат) (на AcctilВин); на Бли́жнем Восто́ке í Miðeystri
близ	prep + Gennær viðВин, tætt viðВин, nærindisДат, nærhendisДат, í nánd avДат, í nærheitiniннкavДат; близ реки́ við ánna
бли́зиться	1. pers. verður ikki brúkturбли́з|ишься, ~ятсяipf(к чему-л.)1.pf síприбли́зитьсяприбли́з|ишься, ~ятсяbókl.(о пространстве) nærkastaði(o-m), nærkaaðiseg (o-m), komaслнo-o-onærri (o-m); бли́зится бу́ря ódnarveðrið [-vεkɹɪ] nærkast2.(о времени) nærkastaði; бли́зится о́сень heystið nærkast; вре́мя бли́зится к десяти́ (часа́м) klokkan gongur til tíggju; бли́зится ве́чер tað líður móti kvøldi, tað líður at kvøldiкн., tað gongur móti kvøldi; день бли́зится к концу́ dagurin er farin at halla [-tla]; бли́зится коне́ц endin er nær, nú líður móti endanum
бли́зкий	Istfбли́зок, близка́, бли́зк|о, ~иadj compбли́же, superl síближа́йший1.(от Gen, к Dat) (о расстоянии) sum er nær (Дат) (viðВин), sum er tætt við (Вин) {hjáДат}, sum er stutt fráДат, sum er í nánd, sum er nærhendis; бли́зкая доро́га vegur, sum er nær við; vegur, sum er stutt frá; бли́зкое расстоя́ние stuttur teinur; на бли́зком расстоя́нии stutt frá; он нахо́дится на бли́зком расстоя́нии hann er stutt frá; ви́детьчто-л.на бли́зком расстоя́нии síggjao-tstutt frá; бли́зкий вы́стрел eitt skot nær við, eitt skot tætt hjá [tʃʰ-]2.(о времени) sum er nær, sum er í nánd, sum er fyri hond, sum er fyri hondum;ночь близка́ náttin er nær; в бли́зком бу́дущем fyrsta [fɪsta] dagin, skjótt; наде́яться на бли́зкий успе́х vóna at fáa skjóta succes [sʏʰkꞋseː]ннк3.bert lf(о родственниках) (nærs)kyldur [naɹ̥ʃ-]согл4.(об отношениях) sum standa nær; бли́зкий друг góður vinur, alvinur [ɔl-]кн.; они́ бли́зкие друзья́ teir eru væl kendir, teir eru (ógvuliga) væl; быть бли́зкимс кем-л. standaслнó-ó-ao-mnær; vera væl við onkran (о дружеских отношениях); fríggjaaðivið o-m(об интимных отношениях); он с ним бли́зок teir kennast væl; у них бли́зкие отноше́ния teir eru væl (о дружеских отношениях);тжtey fríggja (об интимных отношениях); э́то де́ло мне бли́зко hetta mál stendur mær nær; бли́зкий к парла́ментским круга́м sum hevur gott samband við tingfólk, sum er væl kendur við tingfólk5.(по, к;сходный) sum líkist, líkurсогл, átøkurсогл, sum eru nær (hvørjum Ꞌ øðrum), sum standa nær (hvørjum Ꞌ øðrum); skyldurсогл; слова́, бли́зкие по значе́нию orð, ið eru nær hvørju møðrum í týdningi; бли́зкий перево́д umseting, ið liggur nær upp at upphavstekstinum; бли́зкий вариа́нт skyldur variantur [vaːɹiꞋa-]; бли́зкий по ду́ху челове́к andliga skyldur maður; бли́зкий к оригина́лу sum er tætt upp at originalinum [ɔɹiːkiꞋnaː-]; бли́зкие взгля́ды sjónarmið, sum líkjast; skyld sjónarmið6.к чему-л.(приближающийся к какому-л. состоянию) verao-mnær;она́ близка́ к сме́рти hon er deyðanum nær, hon er deyðkomin [tεʰk-]; он был бли́зок к тому́, что́бы +infhann var um at…; tað var um reppið, at hann…IImnæstrafólkс0о, næstingurмсогл-ar; мои́ бли́зкие næstingarnir hjá mær, skyldfólkið [ʃɪl̥f-] hjá mær; (tey) kæru hjá [tʃʰ-] mær, míni kæru =>ло́коть@,ро́дственник
бли́зко	Icompбли́жеadv1.(кбли́зкий) nær við, tætt við, tætt hjá [tʃʰ-], stutt frá; nærhendis, í nánd; бли́зкоот Gennær viðВин, tætt viðВин,tætt hjáДат, stutt fráДат; совсе́м бли́зко (от Gen) beint viðВин, stutt fráДат; я живу́ бли́зко от шко́лы eg búgvi nær við skúlan, eg búgvi tætt við skúlan, eg búgvi stutt frá skúlanum; он живёт совсе́м бли́зко hann býr beint við, hann býr stutt frá2.(об отношениях) tætt; intimt [-Ꞌtʰiː-] (интимно) (um viðurskifti millum fólk); бли́зко познако́митьсяс кем-л.koma at kennao-nvæl; бли́зко сойти́сьс кем-л. gerastнепр(sera) vælvið o-n(о дружеских отношениях); faraслнó-ó-aat fríggjavið o-m(об интимных отношениях); я его́ бли́зко зна́ю eg kenni hann sera væl; они́ бли́зко знако́мы tey kennast vælIIpred1.(о времени) до утра́ бли́зко morgunin er ikki langt burtur; зима́ бли́зко veturin er fyri hond, veturin nærkast2.(до чего-л.) tað er stutt (tilo-t(til Род с личн. мест. и нек. геогр. назв.,иначекн.,уст.)); до го́рода бли́зко tað er stutt til býin; бли́зко ли здесь вода́? er nakað vatn her nærhendis?; бли́зко ли отсю́да до Москвы́? er langt til Moskva hiðani?; er stutt til Moskva hiðani?3.(недалеко) stutt, nær við; лес и река́ бли́зко skógin og áin eru tætt við, skógin og áin eru nær við; ему́ бли́зко ходи́ть hann hevur stutt at ganga =>се́рдце@,стоя́ть@
близлежа́щий	adjnærstaddurсогл{a/ø}, sum er nær við, sum liggur nær við, sum er tætt hjá [tʃʰ-]
близнецо́вый	adj:=>трал,тра́улер
Близнецы́	m plurastr.Tvíburarnirмгл-iмн опр
близнецы́	plur(singблизне́цm) tvillingarннкмсогл-arмн, tvíburarнпмгл-iмн; бра́тья-близнецы́ tvillingabeiggjarннк, tvíburabeiggjarнп; сёстры-близнецы́ tvillingasystrarннк, tvíburasystrarнп; тро́е близнецо́в trillingarннкмсогл-arмн, tríburarнпмгл-iмн; че́тверо близнецо́в fýrlingarмсогл-arмн, fjórburarмгл-iмнкн.,ред.; пя́теро близнецо́в fimmlingarмсогл-arмн, fimmburarнпмгл-iмн=>однояйцо́вый,разнояйцо́вый,сиа́мский@
близору́кий	stfблизору́к, ~а, ~о, ~иadj1.(о зрении) nærsýnturсогл, nærskygdurсоглкн.2.fl.(недальновидный) stuttskygdurсогл; близору́кая поли́тика stuttskygdur politikkur [-Ꞌtʰɪ-]
близору́кость	f1.(о зрении) tað at vera nærsýntur, nærskygniсгл-iкн.2.fl.(недальновидность) stuttskygniсгл-i
бли́зость	f1.(по месту) nærleikiнпмгл-i, nærheitннкж0-ir, tað at liggja nær við; бли́зость го́рода создаёт определённые пробле́мы tað, at býurin liggur so nær við, elvir ávísar trupulleikar; в непосре́дственной бли́зости (от чего-л.,к чему-л.) beintvið(o-t), í nánd (av o-m),sbr.побли́зости2.(по времени) tað ato-rer nær; чу́вствуется бли́зость о́сени tað merkist, at heystið er nær; бли́зость сме́рти tað at deyðin er nær3.(об отношениях) intimitetur [-Ꞌtʰeː-]ннкмсогл-ar(тж о любовной связи); góður vinskapurмсогл-ir(о дружбе); име́ть бли́зостьс кем-л. тжfríggjaaðivið o-m4.(сходство) líkheitннкж0-ir, líkskapurж0-ir; skyldskapur [ʃɪl̥s-]ж0-ir(родство); samsvarс0(соответствие); бли́зость перево́да к оригина́лу samsvarið hjá [tʃʰ-] einari umseting við originalin [ɔɹiːkiꞋnaː-], trúskapurin hjá [tʃʰ-] einari umseting móti originalinum [ɔɹiːkiꞋnaː-]
блик	mljósglæmaжгл-a; ljósbletturмсогл-s,-ir(пятно); со́лнечные бли́ки sólklingrurжгл-aмн; блик на воде́ blikaжгл-a, bleikingж0-ar
блин	Genблин|а́;plur~ы́, ~о́в, ~а́мm1.slag av pannukaku2.fag.síблядьII@пе́рвый блин ко́момorðt.mannннкmá læra at grulva, áðrenn mannннкkann gangaпог.;печь как блины́tilt.geraнепрá samlibandi, spýtair(t)út (nógv ella skjótt)
блинда́ж	Genблиндаж|а́;plur~и́, ~е́й, ~а́мmherm.skýliсгл-i, bunkariмгл-ari
блине́ц	Genблинц|а́;plurблинц|ы́, ~о́в, ~а́мm tlm. síблин
бли́нная	f kafeteria o.tíl. sum selur pannukakur, síблин
бли́нный	adjpannukaku-,síблин
блино́к	Genблинка́; plur блинк|и́, ~о́в, ~а́мm tlm. dim tilблин
бли́нчатый	adj1.(кблин) pannukaku- ; бли́нчатый пиро́гslag av lagkaku við pannukakum2.: бли́нчатый лёдhavísur av skapi sum tallerkur
бли́нчик	m slag av lítlari pannukaku, ofta við fyllu
блиста́тельно	advframúr [-ˑʉuɹ] væl, framúrskarandi [-ˈskεa-]
блиста́тельный	stfблиста́телен, блиста́тельн|а, ~о, ~ыadjbókl.framúrskarandi [-Ꞌskεa-]глandi, framúr [-Ꞌʉuɹ] góðurгл{+}, framúr [-Ꞌʉuɹ] gávuríkurсогл; strálandiглandiнеформ., eitrandi góðurкн., tikinсоглоснúr leikum; блиста́тельный успе́х ein strálandiнеформ.succes [sʏʰkꞋseː]ннк; блиста́тельная побе́да stórsigur [stœɹ̥s-], glæsiligur sigur
блиста́ть	ipfbókl.síблесте́ть@блиста́ть (свои́м) отсу́тствиемspott.glógvaaðivið síni fráveru, brillera [-Ꞌʎjera]ннкvið síni fráveru
бли́стер	mblisterpakkiмгл-i
бли́стерный	adj: бли́стерная упако́вка blisterpakkiмгl.i
блиц	m1.foto(лампочка-вспышка) blitz [plɪʰts] {blits}с0о2.talv(вид шахмат) kviktalvс0о, snartalv
блицинтервью́	[-тэр-]n indeclsnarviðtal [vɪʰt-]с0о{a/ø}
блиц-интервью́	[-тэр-]n indecl síблицинтервью́
блицкри́г	msnarkríggj [snaɹk̥-]с0о
блицопро́с	msnarkanning ж0-ar(spurnarkannig o.tíl.)
блицтурни́р	msnarkapping [snaɹ̥k-]ж0-ar
блог	mbloggurмсогл-ar
бло́ггер	mbloggariмгл-ari
блок1	Imtekn.(подъёмное устройство) taljaжгл-a, blokkurмсогл-ar; hjul [juːl]ннкс0опроф., hjól [tʃʰɔul]нпс0о(sum lína rennur eftir) (шкив с желобком); силово́й блок kraftblokkur [kʰɹafp-]мсогл-ar
блок2	IIm1.(объединение) fylkingж0-ar, samgongaжгл-a; блок коммуни́стов и беспарти́йныхsovjet.fylkingin av kommunistum [-Ꞌnɪ-] og floksleysum; вое́нный блок hernaðarsamgonga2.(в строительстве и др.) element [eːlɪꞋmε-]с0о(;0-ir)(í bygging o.ø.);aggregat [-Ꞌkaːt]с0о(;0-ir)спец.,проф.(агрегат); блок пита́ния streymforsýningспец.3.: блок сигаре́т kartong [-Ꞌtʰɔŋk]с0о;ж0-ur{o/e}av sigarettum [siːkaꞋrε-]4.: почто́вый блок frímerkjaarkс0о{a/ø}5.sjóm.(замороженной рыбы) blokkurмсогл-ar(av frystum fiski)6.teld.(в эвм) blokkurмсогл-ar
блока́да	f1.herm.(осада) blokada [plɔꞋkʰaː-]ннкжгл-а, stongsilнпм0осн-s,-ar; kringsetingж0-ar(окружение); экономи́ческая блока́да økonomisk [-Ꞌnoː-]ннкblokadaнк, handilsstongsilнп; морска́я блока́да havnablokada, havnastongsilнп; объяви́ть блока́ду (чего-л.) seta blokaduннкí verk (móti o-m, av o-m), lýsa blokaduннк(móti o-m, av o-m); снять блока́ду (с чего-л.) taka blokaduннкav (móti o-m, av o-m); прорва́ть блока́ду (вырваться из окружения) bróta seg út úr kringseting; блока́да Ленингра́даsøg.kringsetingin av Leningrad; континента́льная блока́даsøg.meginlandsforðinginлпж0-arопр.2.lækn.(органа и др.) blokada [plɔꞋkʰaː-]жгл-а; серде́чная блока́да hjartablokkur [j-]мсогл-ar
блока́дник	ftlm.o-r, sum búði í Leningrad, meðan kringsetingin(1941-1944)vardi
блока́дный	adjblokadu- [-ˈkʰaː-]
блокба́стер	[блог--тэр]mblockbustari [plɔʰkp-]мгл-ariжарг., blockbuster [plɔʰkp-]м0-ar(ar)жарг., blockbusterfilmur [plɔʰkp-]жарг.
блокира́тор	mblokering [plɔˈkʰeː-]ж0-ar(útgerð), lásс0o(ið blokerar)
блокира́тор	mstoppari (двери и др.)мгл-ari, blokering [-kʰeː-]ж0-ar
блоки́ровать	блоки́ру|ю, ~ешь, ~ютipf/pf1.что-л.(установить блокаду) setaur(t);ir(t)blokadu [plɔꞋkʰaː] í verkmóti o-m, setaur(t);ir(t)stongsilнпí verkmóti o-m, blokera [plɔꞋkʰeː-]aðio-t,sbr.блока́да; umringaaðio-t(окружить); avbyrgjair(d){+}o-t(изолировать); forðaaðio-matgongdtil o-t(Род с личн. мест.,отдельн. геогр. названиями, иначекн.,уст.) (преградить доступ чему-л.); блоки́ровать вход в зда́ние forða fyri at sleppa inn í hús2.что-л.tekn.(о механизме и др.) blokera [plɔꞋkʰeː-]aðio-t3.Accítr.(прегражать) blokera [plɔꞋkʰeː-]aðiВин
блоки́роваться1	Iблоки́ру|ется, ~ются ipf/pf(pf eis.заблоки́роватьсязаблоки́ру|ется, ~ются)tekn.(быть заблокированным) blokerast [plɔꞋkʰeː-]aði, vera blokeraður [plɔꞋkʰeː-]глaður
блоки́роваться2	IIблоки́ру|юсь, ~ешься, ~ются ipf/pf с кем-л.(вступать в блок) geraнепрfylkingsaman við o-m(об организациях); gangaслнe-i-isaman við o-m(объединяться); faraслнó-ó-aí samgonguvið o-n(входить в коалицию)
блокиро́вка	plurблокиро́в|ки, ~ок, ~камftekn.blokering [plɔꞋkʰeː-]ж0-ar
блокиро́вочный	adjblokerings- [plɔꞋkʰeː-]
блок-ко́рпус	mblokkbygningurмсогл-ar
блокно́т	m(skrivi)blokkurмсогл-ar
блокно́тик	m dim, kel. tilблокно́т
бло́ковый	adjblokk-
бло́кшив	m skip.hulkurмсогл-arмор.,уст.
блонди́н	mljóshærdur maðurмнепр; он блонди́н hann er ljóshærdur
блонди́нка	plurблонди́н|ки, ~ок, ~камfljóshært konufólkс0о, blondina [-Ꞌtiː-]ннкжгл-а; она́ блонди́нка hon er ljóshærd, hon er blondinaннк
блонди́ночка	plurблонди́ноч|ки, ~ек, ~камf tlm., kel. tilблонди́нка
блоха́	f plurбло́х|и, ~, ~амogблоха́мf1.(отряд Siphoniptera) loppaжгл-a2.fl., niðr. (ничтожный человек) spjaðс0о{o<>i}презр., kropс0опрезр.
бло́чный	adjtekn.talju-, blokk-,sbr.блок I =>лёд
блоши́ный	adjloppu-; блоши́ный уку́с loppubitс0о;fl.,аtf.prikс0о(придирки)@блоши́ный ры́нокloppumarknaður (mest um útlond)
бло́шка	plurбло́ш|ки, ~ек, ~камf1.dim, kel. tilблоха́ I2.niðr. tilблоха́ II
блуд	mgml.horс0о, hordómurмсогл-arбибл.
блуди́ть1	Iблужу́, блуд|и́шь, ~я́тipfóvkm.(распутничать) horastaði
блуди́ть2	IIблужу́, блу́д|ишь, ~ятipfóvkm.(блуждать) reikaaði, fjakkaaði, valtraaði, válaaði
блудли́вый	stfблудли́в, ~а, ~о, ~ыadjgml.1.(распутный) útsvevandiннкглandi; gessigurглigur, graðurглвульг. (похотливый)2.tlm.(проказливый) beistaktigur [-Ꞌa-]глigurнеодобр.; tjóvskur [tʃʰœsk-]соглsk(вороватый)
блудни́ца	fgml.horkona [hɔɹ̥k-]жгл-aбибл., horaжгл-a, skøkjaжгл-a
блу́дный	adj: блу́дный сын hin burturfarni sonurin
блужда́ние	nfjakkanж0-ir, reikanж0-ir
блужда́ть	ipf1.(бродить) flakkaaði, fjakkaaði, reikaaði, válaaði; блужда́ть по (бе́лу) све́ту flakka um heimin2.(бродить в поисках чего-л.) reikaaðirunt og leitaaði3.(о взгляде, мыслях): глаза́ его́ блужда́ли eyguni á honum skutust; его́ мы́сли блужда́ют tankarnir [tʰaŋ̊k-] hjá [tʃʰ-] honum sveima =>потёмки@
блужда́ющий	Ipartic avблужда́тьIIadjfjakkandiглandi, flakkandiглandi; блужда́ющий взгляд flakkandi eygu@блужда́ющий огонёкvættraljós (í mýrum o.tíl.);блужда́ющая по́чкаleyst nýra
блу́за	fblusaжгл-a; рабо́чая блу́за arbeiðsskjúrtaжгл-a, arbeiðsblusaжгл-a(leys og síð)
блу́зка	plurблу́з|ки, ~ок, ~камfblusaжгл-a
блэка́ут	m1. (отключение электричества) black out {blackout} [plaʰkːˈaut]с0о(streymslit)2.(прекращение радиосвязи)missurмсосл-s.-irav radiosambandi [raːtijo-]3. (помутнение сознания) black out {blackout} [plaʰkːˈaut]с0о(missur av vitinum)4.(временная потеря зрения) (stuttur) missurс0оav sjónini
блэ́к-ме́тал	mblack netal [plaʰkˈmeːtʰal]м0{дат0}
блюва́л	m síкит, си́ний
блю́дечко	plurблю́деч|ки, ~ек, ~камn1.(маленькое блюдце) skálж0-ir(undir koppi), undirskálж0-ir, undirkoppurмсогл-ar2.djór.(моллюск).: морско́е блю́дечко (Patella vulgata) fliðaжгл-a@получи́ть {принести́кому-л.}что-л.на блю́дечке(с голубо́й каёмочкой)tlm., atf.fáaсоглe-i-io-tborið upp í hendurnarпог., komaслнo-o-otil búgvið borð og skorin klæðirпог.
блю́до	n1.(посуда) talerkur [-Ꞌlε-]ннкмсогл-ar, borðiskurнпмсогл-ar2.(кушанье) rætturмсогл-ir(matur); ры́бное блю́до fiskarættur; дежу́рное блю́до dagsins rættur; обе́д состоя́л из трёх блюд døgurðin var upp á tríggjar rættir, døgurðin hevði [hεijɪ] tríggjar rættir,sbr.пе́рвое, второ́е, тре́тье
блюдоли́з	mgml.sleikjariмгл-ariпренебр.
блю́дце	plurблю́дца, блю́дец, блю́дцамnskálж0-ir(undir koppi), undirskálж0-ir, undirkoppurмсогл-ar
блюз	mmus.blues [plʉus]м0-ar(опр-ur)({0<>i})
блюз-ро́к	mbluesrokkur {bluesrockur} [plʉusrɔʰkː-]м0-ar(опр-ur)({0<>i})
блюз-ро́ковый	adjbluesrokk- {bluesrock-} [plʉusrɔʰkː-]
блю́минг	mblokkvalsiverkс0о
блюсти́	блюд|у́, ~ёшь, ~у́т; pretблюл, блюл|а́, ~о́, ~и́ipf(pfсоблюсти́соблюд|у́, ~ёшь, ~у́т; pret соблю́л, соблюл|а́, ~о́, ~и́)bókl.что-л. haldaслнe-i-io-muppi; блюсти́ зако́н haldaслнe-i-ilógina (соблюдать); haldaслнe-i-ilógini uppi, hondhevaннкaðilógina, handhevjaлпaðilógina (следить за соблюдением закона); блюсти́ о́бщие интере́сы røkjair(t)felags áhugamál; блюсти́ поря́док haldaслнe-i-iskil á
блюсти́тель	mhátíð.ogspott.o-r,sum helduro-muppi (lógum,reglum); блюсти́тели зако́на {поря́дка} lógarinnar armurмсогл-ar{a/ø}шутл.
блюсти́тельный	adj gml.árvakin [ɔɹ-]соглосн
блю-чи́пс	m plur indecl fíggj., fakm. partabrøv í stórum fyritøkum
бля	intertabu! síблядь II
блядова́ть	бляду́|ю, ~ешь, ~ютipftabu!horaaði, horastaði
бля́дский	adjtabu!1.(tilблядь I) horu-2.(чёртов) helvitisнескл.бран., fanansнескл.бран., forbannaður [-Ꞌpa-]глaðurбран.
бля́дство	ntabu!1.(распутство) horс0о2.(безобразие) svínarí [-Ꞌrʊi-]с0о; вот бля́дство! helvitisбран.svínarí!
бляду́н	Gen, Accблядуна́;plurблядун|ы́, ~о́в, ~а́мmtabu!(horu)bukkurмсогл-arпренебр.
блядь	tabu!If1.(шлюха) merж0-arпренебр., horaжгл-aпренебр., грубо2.(дрянной человек) reyvarholс0овульг., lortendiмгл-iгрубо.; он, блядь така́я, опя́ть подвёл меня́ hatta reyvarholiðвульг.hevur aftur [aʰtː-] lumpað megIIinterfaninбран., fjandanбран., fjandinбран.ella verður ikki umsett(или не переводится); куда́, блядь, зонт дева́лся! hvar faninбран.er papaplyin [pʰaːɹaꞋpʰlyː-] blivin av!; вот э́то, блядь, фильм! hesin filmurin er nakað Ꞌ av [au] tí!; иду́ я, блядь, вчера́ по у́лице ... eg kom og gangandi eftir [εʰtː.] vegnum [veːn-] í gjár…@блядь {бля} бу́дуꞋ hond upp á tað, Ꞌ hond upp á Ꞌ hjartað [j-], eg Ꞌ svørji upp á tað [ʊꞋpʰɔata]
бля́мба	fóvkm.kúlaжгл-a(bunga), kýliсгл-i, bungaжгл-a; бля́мба у него́ на лбу hann hevur eina kúlu á pannuni; кака́я-то бля́мба вме́сто бро́шки einhvør knykil ístaðin fyri brosju
бля́ха	f(blikk)plátaжгл-a; navnaskeltiсгл-i(с обозначением имени); nummarskeltiсгл-i(с обозначением номера)
бля́шка	plurбляш|ки, ~ек, к~амf1.dim tilбля́ха2.(образование на поверхности зубов) skónж0-ir(на зубах), plakkс0о
БММК	[бэ-эм-эм-ка́]f indecl(Балти́йская и междунаро́дная морска́я конфере́нция) BIMCО [pɪm̊ko]с нескл.,Baltic and International Maritime Conferenceангл.(altjóða shippingfelagsskapur)
БМП	[бэ-эм-пэ́]f indeclбоева́я маши́на пехо́тыslag av pansarastríðsvognum
БМРТ	[бэ-эм-эр-тэ́]m indeclбольшо́й морози́льный рыболо́вный тра́улер stórur frystitrolariмгл-ari
БМТР	[бэ-эм-тэ-э́р]m indeclбольшо́й морози́льный тра́улер-рыбозаво́д stórur fabriksfrystitrolari [-Ꞌpɹɪ-]ннкмгл-ariпроф., stórur verksmiðjufrystitrolariнпмгл-ari
б/н	[бэ-э́н] без но́мера uttan nummar, við ongum nummari
боа́1	I [боа́]m indecl(змея) (Boa constrictor) boa [poːa]жгл-a(;0-ir)(slanga)
боа́2	II [боа́]с indeclgml.(горжетка) boa [poːa]ж0-ir(kragi)
боб	Genбоб|а́;plur~ы́, ~о́в, ~а́мm1.plur(Vicia faba) rossabønirж0-irмн, rossabønurжгл-aмн2.(семя) bønж0-ir, bønaжгл-a; кака́овый боб kakaobøn [kʰaꞋkʰaː-]@оста́ться {сиде́ть} на боба́хtlm.≈ komaслнo-o-oaftur [aʰtː-] ongul í Ꞌ reyvпог. шутл., пренебр..; ≈ komaслнo-o-oaftur [aʰtː-] sum av torvheiðumпог.;бобы́ разводи́тьtlm.mýkjair(t)geilatíkinaидиом.,неодобр.=>со́евый
бобёр	plurбобр|ы́, ~о́в, ~а́мm1.Acc singбобёр;Acc plurбобры́(мех) skinnс0оav bævri2.Gen, Acc singбобра́;Acc plurбобро́вóvkm.síбобр
бо́бик	m tlm.1.(собака)lítil hundur av blandaðum slag2. (автомобиль)lítil bilur
боби́на	ftekn.spoliмгл-i
бо́бинец	Genбо́бинц|а; plur ~ы, ~ев, ~амmfisk.bobbinsс0о; клячёвочный бо́бинец danlenoж0-ir, dandolinaжгл-ar, danolina [taː-]жгл-ar
бобо́вые	plur(сем. Leguminosae) bjølgplanturжгл-aмн; (сем. Fabaceae) ertnablómuættж0-ir
бобо́вый	adjbjølgplantu-, bøna-; бобо́вый стручо́к bønabjølgur; бобо́вые культу́ры bjølgplanturжгл-aмн
бобр	Gen, Accбобр|а́;plurбор|ы́, ~о́в, ~а́мm(Castor fiber) bevariннкмгл-ari, bævurнпм0осн-s,-ar
бо́брик	mkastor {castor}с0о{дат.0}(slag av grovum klæði)@под бо́брикsíбо́бриком
бо́бриком	advtlm.: причёска бо́бриком plússс0о, karsaklippingж0-ar; стри́жка бо́бриком plússklippingж0-ar, karsaklippingж0-ar
бобри́ха	fhonbævurнпм0осн-s,-ar, honbevarinnkмгл-ari
бобро́вый	adjbævur-; бобро́вый мех bævurskinn
бобслеи́ст	mbobsletuskreiðariмгл-ari
бобсле́й	m1.(сани) bobsletaжгл-a2.(вид спорта) bobsletingж0-ar
бобте́йл	[-тэ́-]m как правило, употрeбляется английское названиеOld English Sheepdog
бобте́йль	m síбобте́йл
бобы́ль	Gen, Accбобыл|я́;plur~и́, ~е́й, ~я́мm1.gml.(одинокий,безземельный крестьянин) jarðarleysur bóndiмгл-ur2.tlm.(одинокий,бессемейный человек) einbýlismaðurмнепр; жить бобылём búgva í einingi
бобы́шка	plurбобы́ш|ки, ~ек, ~камftekn.bossurмсогл-ar(á skrúvu o.ø.)
Бог1	I [бох] (annars[бо́га]o.s.fr.)VokativБо́жеmGud [kuːt]м({0<>i})тк неопр., Guð [kuːt]м({0<>i})тк неопр.,sí eis.бог@Бог мой!á [ɔ] Ꞌ dú, á [ɔ] Ꞌ dú!; Hann náði okkum!;не Бог весть како́й(он певе́ц) hann er sum Harra Gud veit (sum sangari);Бог зна́ет {ве́дает, весть}, гдеGud viti, hvar; hann viti, hvar; Бог зна́ет {ве́дает, весть}, кто Gud viti, hvør; hann viti, hvør;;Бог (его́) зна́етGud viti; tað mugu gudarnir vita;дай БогGud gævi, gævi satt;дай Бог, что...Gud gævi, at…, gævi satt, at…;не дай Бог (,что́бы)Gud gævi, at…ikki; gævi satt, at… ikki;сохрани́ Бог!Gud gævi, at…ikki; gævi satt, at… ikki;ра́ди Бо́гаa) (очень прошу) vælsignaður [-Ꞌsɪ-], góðasti; Gud eigi teg; fyri Guds [kʊʰts] skyld; ра́ди Бо́га не де́лай э́того vælsignaður, ger tað ikki; Gud eigi teg, ger tað ikki; b) (пожалуйста) ger so væl, ver so góður; мо́жно откры́ть окно́? - ра́ди Бо́га kann eg sleppa at lata vindeygað upp? - ja, ja, endiliga; ja, ger so væl;сла́ва Бо́гу!Gud havi lov; Harrin havi lov; tíbetur [-Ꞌpeː-] (как вводное слово) ;с Бо́гом!a) (пожелание успешного начала) góða eydnu!; Harrin veri við tær (б.ч. у религиозных людей); b) (при прощании) Jesus fylgi tær (б.ч. у религиозных людей);Бог с нимa) (оставь его) lat hann vera; b) (забудь о нём) gloym hann; c) (его дело) hann um tað;Бог с тобой!a) (твоё дело) tú um tað; b) (да что ты) nei, álvaratos!; nei, veitst [vai̥st] tú nú hvat!; tvætl í teg! (чепуха); (певе́ц)от Бо́гаhann er (sangari [saŋk-]) av Guds [kʊʰts] náði; (пообе́дали)чем Бог посла́л(døgurðin) var sum best bar til; døgurðin var sum Harra Gud veit;на Бо́га наде́йся, а сам не плоша́йorðt. ≈ trúgv á Gud, men lít á teg sjálvan;Бог дал, Бог и взялHarrin gav, Harrin tók =>тро́ица@,япо́нский@
бог2	II [бох] (annars[бо́га]o.s.fr.)plurбо́ги, бог|о́в, ~а́мmgudм0{0<>i}тк неопр.(господь бог); gudurмсогл-ar(языческий); язы́ческие бо́ги heidnir gudar; ве́рить в бо́га trúgva upp á Gud; моли́ться бо́гу biðja til Gud
богаде́льня	plurбогаде́льни, богаде́лен, богаде́льнямf1.gml.(для инвалидов) avlamishúsс0о; fátækrahúsс0о(для бедняков); ellisheim [εtl-]с0о(для престарелых)2.tlm.,spott.(о рабочем месте) hvíldarheimс0о(um stovn,arbeiðspláss,har fólkið tekur sær av løttum)
богара́	flandb.jørð, ið verður velt uttan kunstvatning(í Miðasia o.a.)
богате́й	móvkm.síбога́ч
бога́тенький	adj tlm.1.dim., kel til бога́тый2.intens tilбога́тый
богате́ть	ipf(pfразбогате́ть) blíva ríkurсогл, verða ríkurсогл, gerast ríkurсогл,sbr.бога́тый I 1
бога́то	advríkiliga, ríviliga
бога́тство	n1.(большое состояние) ríkidømiсгл-i; fæс0о{0<>i}{+}перен.,выс., ирон.(материальное богатство), eyðurмсогл-arбалл., выс., устар., поэт.2.(роскошь,великолепие) ríkidømiсгл-i; бога́тство кра́сок ríkidømi av litum3.plur(ценности) virðirсгл-iмн, ríkidømiсгл-i; духо́вные бога́тства andalig virðir, andaligt ríkidømi; приро́дные бога́тства náttúruríkidømi =>приро́дный1
