Л	talvладья́ R, rókur
лими́тчица	ftlm.o-r, ið hevur tíðaravmarkað uppihaldsloyvi [-hal̥s-] (konufólk) (síлими́т2)
лимо́н	m1.(Citrus medica) sitrón {citrón} [siꞋtʰrɔun]ж0-ir(træ); sitróntræ {citróntræ} [siꞋtʰrɔun-]с0o{æ/ø}{0<>i}2.(плод) sitrón {citrón} [siꞋtʰrɔun]ж0-ir(frukt)3.tlm.(миллион рублей) millión [mɪꞋʎjɔun]ж0-ir(rublar)@как вы́жатый лимо́нtlm.púra fyrilagsturсогл{a/ø}
лимона́да	flimonada [-Ꞌnaː-]жгл-a
лимо́нка	plurлимо́н|ки, ~ок, ~камftlm.slag av hondgranat
лимо́нник	m1.(растение) (Schisandra)slekt av plantum í ættini Schisandraceae(en.Schisandra; da.schisandra)2.(пирог)slag av kaku við sitrón
лимонноки́слый	adj sitrónsúrur {citrónsúrur} [siˈtʰɹɔun-]согл
лимо́нный	adjsitrón- {citrón-} [siꞋtʰɹɔun-]; лимо́ннпе де́рево sitróntræ [siꞋtʰɹɔun-]; лимо́нная кислота́ sitrónsyra [siꞋtʰɹɔunsyː-]ннк, sitrónsýra [siꞋtʰɹɔun-]нп
лимо́новец	Gen, Accлимо́новц|а; plur ~ы, ~ец, ~амfviðhaldsfólk hjá flokkum hjá E. Limonov
лимузи́н	mlimosina [-Ꞌsiː-]жгл-a
ли́мфа	flymfa [lʏ-]ннкжгл-aпроф., gróðrarvatnлпс0о{a/ø}
лимфати́ческий	adjlymfu- [lʏ-]ннк, lymfatiskur [lʏmꞋfaː-]ннксоглsk; gróðrarvatns- [-van̊s-]лп; лимфати́ческая желе́за eitilм0осн-s,-ar; лимфати́ческие сосу́ды lymfukørннк, gróðraravatnsæðrar [-akɹ-]нп
лингафо́нный	adj: лингафо́нный кабине́т {лингафо́нная лаборато́рия} málstovaжгл-a(har lurtað verður eftir ljóðbondum o.tíl.)
ли́нгва фра́нка	m indecllngua franca [ˌlɪŋkvaˈfɹaŋ̊ka]с нескл линг.,спец.
лингви́ст	mmálvísindamaðurмнепр, málfrøðingurмсогл-ar, lingvistur [-Ꞌvɪ-]интмсогл-arпроф.
лингви́стика	fmálvísindiсгл-iмн, lingvistikkur [-Ꞌstɪ-]интмсогл-arпроф.
лингвисти́ческий	adjmálvísinda-, málvísindaligurглigur, lingvistiskur [-Ꞌvɪ-]интсоглskпроф.
Линдесне́с	[-дэснэ́с]mLindesnesс0о
лине́йка1	Iplurлине́йки, лине́ек, лине́йкамf1.(линия) linjaжгл-a, strikaжгл-a, reglaжгл-a; в лине́йку við reglum, linieraður [-Ꞌeː-]глaður; но́тные лине́йки nótalinjur2.(чертёжная) lineal [lɪɲꞋjaːl]ж0-ir; масшта́бная лине́йка mátistokkurмсогл-ar3.(строй в одну шеренгу;сбор) raðс0о{a/ø}{0<>i}; постро́иться в лине́йку skipa seg í rað4.(ассортимент)) úrval [ʏɹv-] с0оav vøru =>счётный1
лине́йка2	IIplurлине́йки, лине́ек, лине́йкамfgml.(экипаж)slag av longum vogni við fleiri setrum
лине́йка3	IIIplurлине́йки, лине́ек, лине́йкамffisk.(разрешение на промысел) fiskiloyviсгл-i
лине́йный	stfлине́ен, лине́йн|а, ~о, ~ыadj1.herm.(о военном построении и т.п.) linju-; лине́йная оборо́на linjuverja2.jarnb.,skip.(относящийся к работе поездов,судов) linju-; лине́йная связь linjusamband; лине́йное судохо́дство linjufarturмсогл-ar3.mat.(о функциях и др.) lineérur [-Ꞌeːɹ-]согл, linju-; лине́йное уравне́ние lineér líkningпроф., linjulíkningлп; лине́йная фу́нкция lineér funktión [fʊŋ̊kꞋʃɔun]проф., linjufunktión [-fʊŋ̊kʃɔun]лп4.(прямой) beinurсогл@лине́йные ме́рыlongdarmát;лине́йный кора́бльslagskip;лине́йная ско́ростьlineér [-Ꞌeːɹ-] ferðпроф.
лине́йщик	m tlm.linjumaðurмнепр
линёк1	IGenлинька́; plurлиньк|и́, ~о́в, ~а́мmsjóm.,gml.tampurмсогл-ar(at sláa við)
линёк2	IIGenлиньк|а́; plur~и́, ~о́в, ~а́мm dim avлинь
линемёт	mlínukastariмгл-ari
ли́нза	flinsaжгл-a; конта́ктная ли́нза kontaktlinsa [-Ꞌtʰa-] =>во́гнутый,вы́пуклый1
ли́ния	f1.(черта) linjaжгл-a, strikaжгл-a; пряма́я ли́ния bein linja; ли́ния воро́тítr.málstrika; сре́дняя ли́ния (по́ля)ítr.miðlinja; ли́ния загру́зки су́дна lastalinja; ли́ния у́ровня воды́ vatnstandslinja [vans-]2.(ряд) rekkjaннкжгл-a, raðс0о{a/ø}{0<>i}; ли́ния домо́в húsrekkja, rað av húsum3.(путь) linjaжгл-a; rutaжгл-a(маршрут); leiðж0-ir; железнедоро́жная ли́ния jarnbanalinja [janpaː-]ннк, jarnbreytarlinja [janp-]нп; возду́шная ли́ния flogruta; грузова́я {судохо́дная} ли́ния fraktruta; ли́ния свя́зи (rutu)sambandс0о{a/o}; телефо́нная ли́ния telefonlinja [-Ꞌfoːn-]4.(по производству) linjaжгл-a(t.d. flakalinja o.a.); морози́льная ли́ния frystilinja; упако́вочная ли́ния pakkilinja; ли́ния филети́рования {филетиро́вочная ли́ния} flakalinja5.(рода) ættж0-ir, leggurмсогл-ir(í skyldskapi); бокова́я ли́ния (родства) síðugreinж0-ar;0-ir(í skyldskapi)6.(в школе) deildж0-ir; linjaжгл-a, breytж0-ir(í skúla); математи́ческая ли́ния matematisk [-Ꞌmaː-] deild7.(направление) kósж0-ir, linjaжгл-a;ли́ния поведе́ния kós, atburðurмсогл-ir; полити́ческая ли́ния linja í politikki [-Ꞌtʰɪ-], politisk [-Ꞌlɪʰtː-] linja@бокова́я ли́ния(у рыб) strikaжгл-a(á fiski);вести́ {гнуть} свою́ ли́ниюtlm.setaur(t);ir)t)sítt ígjøgnum [-Ꞌtʃœ-], noyðair(d)sítt ígjøgnum [-Ꞌtʃœ-], gjøgnumtrumfaaðisítt;по ли́ниичего-л.ío-m, innan fyrio-t; рабо́тать по ли́нии торго́вли arbeiða innan fyri handil =>валII,восходя́щий@,генера́льный1,матери́нский3,нисходя́щий@,при́нцип,родство́1,сопротивле́ние@
линк	mleinkiс0окомп.
линкова́ть	линку́|ю, ~ешь, ~ютipf что-л. teld., jarg.leinkjaaðio-t комп., teingjaнпir(d)o-t комп.
линко́р	m síлине́йныйкора́бль
лино́ванный	adjvið reglum, linjeraður [-Ꞌjeː-]ннкглaður
линова́ть	лину́|ю, ~ешь, ~ютipf(pfналинова́тьналину́|ю, ~ешь, ~ют)что-л.geraнепрreglurá o-m, strikaaðio-t, linjera [-Ꞌjeː-]ннкaðio-t
лино́леум	mlinolium [-Ꞌnoː-]с0о; гравю́ра на лино́леуме linoliumsskurður [-Ꞌnoː-]
линоти́п	mprent.setimaskinaжгл-a(sum setur heilar reglur)
Линч	m: суд Ли́нча lynching {lynsjing} [lʏɲ̊ʃ-]ж0-ar
линчева́ние	nlynching {lynsjing} [lʏɲ̊ʃ-]ж0-ar
линчева́ть	линчу́|ю, ~ешь, ~ютipf/pf кого-л.lynsja [lʏ-]aðio-n
линь1	IGen, Accлин|я́; plur~и́, ~е́й, ~я́мm(Tinca tinca)fiskur av karpuætt(en.tench, da.suder)
линь2	IIGenлин|я́;plur~и́, ~е́й, ~я́мmskip.togс0о{0<>i}, endiмгл-i(конец), trossiмгл-i, línaжгл-a(endi,trossi); основно́й линь я́русаsíхребти́на
ли́нька	plurли́ньки, ли́нек, ли́нькамftað at kasta ullina [ʊtl-] (об овцах); tað at vera fjaðursárur (о птицах),sí eis.линя́ть2 (русскому отглагольному сущ. в переводе часто или предпочтительно соответствует глагольная форма)
линю́чий	stfлиню́ч, ~а, ~е, ~иadjtlm.sum kastaraði(линяющий); sum litferstслнó-ó-a(выцветающий)
линя́лый	adj1.(о материале) litfarinсоглосн(выцветший); kastaðurглaður(полинявший)2.(о животных,птицах) fjaðursárurсогл, fjaðurskotinсоглосн(о птице); sum missir ullina [ʊtl-] (о животных)
линя́ть	ipf1.pfполиня́ть og слиня́тьbert 3. pers brúkturlitfarastслнó-ó-a(выцветать); kastaaði2.pfвы́линять og облиня́тьbert 3. pers brúktur(о животных) missair(t)ullina [ʊtl-], kastaaðiullina [ʊtl-](об овцах и др.), losaaði(об овцах); missair(t)fjaðrarnar (о птицах)3.pfслиня́ть (смываться)óvkm.stingaслнa-u-uꞋ avнеформ.
Лио́н	mLyon [liꞋɔŋk]м0{дат.0}
ли́па1	If(Tilia) lindж0-ir(træ)
ли́па2	IIftlm.fuppс0онеформ., snýtс0онеформ., пренебр.; э́то докуме́нт ли́па hetta skjalið er falskt [fal̥st]
липи́д	mlipid [liˈpʰiːt]с0o
ли́пка	f: ободра́ть {обобра́ть}кого-л.как ли́пкуtlm.púrgaaðio-n
ли́пкий	stfли́пок, липка́, ли́пк|о, ~иadjklistruturсогл; kleiggjuturсогл(о грязь,снеге и др.); ли́пкая ле́нта klistriband =>пла́стырь1
ли́пнуть	ли́пн|у, ~ешь, ~ут; pretли́пнулo.s.fr. ogлип, ли́пл|а, ~о, ~иipf к Dat1.bert 3. pers brúktur(прилипать) klistraaðiaftur[aʰtː-]at Дат2.tlm., atf.(приставать,льнуть) nálgastaðiuppi í Дат, amastaðiupp á Вин3.bert 3. pers brúkturóvkm.(слипаться) klistrastaðisaman
липня́к	Genлипняка́; plurлипняк|и́, ~о́в, ~а́мmlundж0-irav lindum (træ), skógж0-irav indum (træ)
ли́повый1	Iadj(кли́па 1) linda-@ли́повый цветlindablomstur (sum medisin)
ли́повый2	IIadjóvkm.(фальшивый,поддельный) forfalskaður [-Ꞌfa-]глaður, falskurсогл{a/ø}, falsaðurглaður; óektaðurглaður(ненастоящий)
липо́ид	mlipoid [liːpoˈiːt]с0о
липо́идный	adjlipoid- [liːpoˈiːt-], lipid- [liˈpʰːt-]
липоса́кция	ffeittsúgvingж0-ar
липу́чка	plurлипу́ч|ки, ~ек, ~камftlm.1.(для мух) flugupappírс0о2.(липкая бумага) klistribandс0о{a/o}; heftiplásturс0осн(липкий пластырь)3.(застёжка) karðalásс0о, velcrolás [vεl̥kɹo-]с0о; на липу́чках við karðalási
Ли́ра1	If astr.Harpanжгл-a{a/ø}опр.
ли́ра2	IIf1.mus., søg.(музыкальный инструмент) lyra [lyː-]жгл-a, lýraжгл-aкн.2.fl. , hátíð.(сумвол творчества) lyra [lyː-]жгл-a, lýraжгл-aкн.
ли́ра3	IIIf(денежная единица) liriмгл-i(gjaldoyra)
лири́зм	m1.(лирический характер) lyrikkur [lyꞋrɪ-]мсогл-ar(lyriskt háttalag o.tíl.)2.(чувствительность) lyriskur [lyː-] hýrurмсогл; впасть в лири́зм blíva lyriskur [lyː-]
ли́рик	mlyrikari [lyː-]мгл-ari, lýrikariлпмгл-ari
ли́рика	f1.(род художественной итературы) lyrikkur [lyꞋrɪ-]мсогл-ar, lýrikkur [-Ꞌrɪ-]лпмсогл-ar2.(лиризм) kenslusemiсгл-i;жгл-i; lyriskur [lyː-] hýrurмсогл-ar(настроение)
лири́ческий	adj1.(кли́рика 1) lyriskur [lyː-]соглsk, lýriskurлпсоглsk2.(чувствительный) lyriskur [lyː-]соглsk, lýriskurлпсоглsk; kensluborin3.(о певце) lyriskur [lyː-]соглsk(um sangara); лири́ческий те́нор lyriskur tenorur [-Ꞌnoː-]
лири́чность	f síлири́зм2
лири́чный	stfлири́ч|ен, ~на, ~но, ~ныadjlyriskur [lyː-]соглsk, lýriskurсоглsk(við kenslum)
лис	mbókl.hannrevurмсогл-ar
лиса́	plurли́с|ы, ~, ~амf1.(лисица) (Vulpes) revurмсогл-ar2.(мех) skinnс0оav revi, revurмсогл-ar3.(хитрый человек) revurмсогл-ar(lúrið fólk); ста́рая лиса́ ein gamal revur@охо́та на лис(вид соревнования)itróttakapping, har tað ræður um at peila seg fram til ein radiosendara, sum er goymdur í skógini;Лиса́ Патрике́евнаa) (имя лисы) Mikkjal revur;b) síлиса́3
лисёнок	Gen, Accлисёнка; plurлися́т|а, ~, ~амmrevahvølpurмсогл-ar
ли́сий	adjreva-; ли́сий мех revaskinn; ли́сья шу́ба revaskinspelsur; ли́сий пито́мник revagarður
лиси́ца	f1.(Vulpes) revurмсогл-ar; honrevurмсогл-ar(самка)2.(мех) revaskinnс0о3.síлиса́3@морска́я лиси́цаa) (Alopias vulpinus) revahávurмсогл-ar(акула); b) (Raja clavata) naglaskøtaжгл-a(скат)
лиси́чка	plurлиси́ч|ки, ~ек, ~камf1.dim avлиса́2.plant.:(Cantharellus cibarius) kantarellur [-Ꞌrεlː-]мсогл-ar, bikarsoppurмсогл-ar3.:djór.европе́йская лиси́чка (Agonus cataphractus) brynjukruttс0о; морска́я лиси́чка (Leptagonus decagonus) íshavsbrynjukruttс0о
лисохво́ст	m(Alopecurus) syftunsøkugrasс0o{a/ø};лугово́й лисохво́ст (A. pratensis) eingjarsyftunsøkugras
Лиссабо́н	mLisabon [lɪsː-]м0{дат.0}, Lissabonм0{дат.0}, Lisboa [lɪsː-]м нескл.ред.
лист	AGenлиста́;plurли́сть|я, ~ев, ~ям{hátíð.,gml.eis.лист|ы́, ~о́в, ~а́м}mplant.(орган растения) blaðс0o{a/ø}{0<>i}; капу́стный лист kálblað; ча́йный лист teblaðBGenлист|а́;plur~ы́, ~о́в, ~а́мm1.(бумаги) blaðс0o{a/ø}{0<>i}; arkс0o{a/ø}; ти́тульный лист tittulblað2.(металла) plátaжгл-a(av metalli)3.(документ): опро́сный лист spurnarblað; похва́льный листgml.vitnisburðurмсогл-irum góðan atburð (í skúla)@а́вторский листark við 40000 prenteindum;печа́тный листprentarkс0o{a/ø}; кни́гав че́тверть листа́bók í kvartformati [-Ꞌmaː-], bók í fjórðingsbroti;перево́д с листа́ekstemporalumseting [-Ꞌraː-];петь с листа́syngja frá blaðnum =>исполни́тельный@,путево́й@,та́льманский
листа́ж	Genлистаж|а́; plur~и́, ~е́й, ~а́мmarkatalс0о{a/ø}(í bók)
листа́ть	ipf что-л.1.(переворачивать листы) blaðaaðií o-m2.tlm.(переключать каналы) sappa {zappa [saʰpːa]}aði(o-t)
листва́	f kollleyvс0о, bløðс0о{a/ø}{<i>}
ли́ственница	f(Larix) lerkurмсогл-ar(træ), lerkatræс0о{æ/ø}
ли́ственный	adjleyv-;ли́ственное де́рево leyvtræ; ли́ственный лес leyvskóg
листе́рии	f plurlisteria [-ˈsteː-]жгл-a
ли́стик	m dim avлист A, B
ли́стинг	mfíggj.notering[-ˈtʰeː-]ж0-arфин.
листо́вка	plurлисто́в|ки, ~ок, ~камf1.(политическая и др.) flogblaðс0о{a/ø}{0<>i}, flogseðilм0осн-s,-ar2.(рекламная) reklamublað [-Ꞌkʰlaː-]с0о{a/ø}{0<>i}, reklamufaldari [-Ꞌkʰlaː-]мгл-ari
листово́й	adj1.(клист А) blað-;листово́й таба́к blaðtubbak2.(клист B): листово́е желе́зо jarnblikk [janp-]с0о, plátujarn [-tn]; листово́й мета́лл metallpláta [-Ꞌtʰal-]жгл-a, plátustálс0о; листово́е зо́лото blaðgull [-tl]; листова́я рессо́ра blaðfjøður
листое́ды	m plur(сем.Chrysomeiidae) leyvklukkurжгл-aмн
листо́к	листк|а́; ~и́, ~о́в, ~а́м1.dim avлист A, B2.(для заполнения) oyðublaðс0о{a/ø}{0<>i}; skemaс0гл-a3.síлисто́вка4.(о газете) blaðс0о{a/ø}{0<>i}(avís)@листо́к нетрудоспосо́бностиsjúkuváttanж0-ir
листопа́д	mleyvfall [-tl]с0о{a/ø}
лит	mlitaжгл-a(lithauiskt gjaldoyra)
лит.	1.литерату́ра2.литерату́рный3.лито́вский
литаври́ст	mpaukuspælari [pʰau-]мгл-ari, paukusláari [pʰau-]мгл-ari
лита́врщик	m síлитаври́ст
лита́вры	f plurpauka [pʰau-]жгл-a; бить в лита́вры spælair(d)pauku, sláa pauka
Литва́	f1. (современное государство) Litava [liːtaua], [liːtʰaːva]с нескл.,Lithauen [liːtʰauεn]ннкс0{дат0}2.søg. (средневековое государство) síВели́коекня́жество лито́вское
литви́н	mgml.síлито́вец
лите́йная	f(jarn)stoypivirkiсгл-i
лите́йный	adjstoypi-; лите́йный заво́д (jarn)stoypivirki ([jans-]) =>фо́рма4
лите́йщик	marbeiðariмгл-ariá stoypivirki
ли́тер	mtlm.ókeypis ferðaseðilнпм0осн-s,-ar, fríbillet [-pɪꞋlεʰtː]ннкж0-ir(til tok,skip o.a.)
ли́тера	f1.gml.(буква) bókstavur [pœʰk-]мсогл-s,-ir({a/ø})2.prent.(в типографическом наборе) typa [tʰyː-]жгл-a, stavurмсогл-s,-ir({a/ø})
литера́тор	mhøvundurмсогл-ar(писатель); bókmentamaðurмнепр(человек,занимающийся литературой); litteratur [-Ꞌraː-]интмсогл-arред.
литерату́ра	fbókmentirж0-irмн, litteraturur [-Ꞌtʰuː-]ннкмсогл-ar; специа́льная литерату́ра faklitteraturur [faːk-]ннкпроф., yrkisbókmentirнп; ру́сская литерату́ра russiskar bókmentir; де́тская литерату́ра barnabøkur [-tn-] =>спра́вочный2,худо́жественный1
литерату́рный	stfлитерату́р|ен, ~на, ~но, ~ныadj1.bert lf(относящийся к литературе) bókmentaligurглigur, bókmenta-; littererur [-Ꞌreː-]ннксоглпроф.; litteratur- [-Ꞌtʰuː-]ннкпроф.; литерату́рное произведе́ние bókmentaverk2.(соответствующий нормам литературного языка) normativurсоглспец., standard-спец.(о языке и т.п.); литерату́рный язы́к≈ríkismál; говори́ть вполне́ литерату́рно ≈ tosa púra rætt (á ríkismáli)
литературове́д	mbókmentafrøðingurмсогл-ar
литературове́дение	nbókmentafrøðiжгл-i
литературове́дческий	adjbókmenta-, bókmentafrøðiligurглigur
ли́терный1	I adjtlm.: ли́терный  биле́т ókeypis ferðaseðil, fríbillettннк(til tok)
ли́терный2	IIadj(кли́тера)bókstavmerktur [pœʰks-]согл, merktur;соглvið bókstavi [pœʰks-]; ли́терное обозначе́ние merking við bókstavi
ли́тиевый	adjlitium- [liːtijʊm-]; úr litium [liːtijʊm] (из лития): ли́тиевая батаре́йка litiumbattarí
ли́тий	mlitium [liːtijʊm]с0о{0<>i}
лито́вец	Gen, Accлито́вц|а;plur~ы, ~ев, ~амmlitavari [-tʰaː-]мгл-ari, litavi [-Ꞌtʰaː-]мгл-i, lithauari [liːtʰau-]ннкмгл-ari
лито́вка	plurлито́в|ки, ~ок, ~камflitavari [-tʰaː-]мгл-ari, litavi [-Ꞌtʰaː-]мгл-i, lithauari [liːtau-]ннкмгл-ari(konufólk)
Лито́вская Сове́тская Социалисти́ческая Респу́блика	(ЛитССР)sovjet.Litavska sovjetska [sɔjεska] sosialistiska [-Ꞌlɪ-] lýðveldið
лито́вский	adjlithauiskur [-tʰauɪ-]соглsk, litaviskur [liꞋtʰaːv-]соглsk, litavskurлпсоглsk; лито́вский язы́к lithauisktсприлskt, litavsktлпсприлskt
лито́граф	mlitografur [-Ꞌkɹaː-]мсогл-arпроф., steinprentariмгл-ari
литографи́ровать	литографи́ру|ю, ~ешь, ~ютipf/pf что-л.litografera [-Ꞌfeː-]aðio-tпроф., steinprentaaðio-t
литогра́фия	f1.(способ) litografi [-Ꞌfiː]с0о(;0-ir)проф., steinprentingж0-ar2.(предприятие) steinprentsmiðjaжгл-a3.(рисунок) litografi [-Ꞌfiː]с0о(;0-ir)проф., steinprentс0о
литогра́фский	adjlitografiskur [-Ꞌkɹaː-]соглsk, steinprentingar-
лито́й	adjstoypi-; лита́я сталь stoypistál
литора́ль	f jarðf., havf.fjøraжгл-a(sjóvarmáli)
литора́льный	f jarðf., havf. fjøru-
литосфе́ра	flitosfera [-ˈsfeː-]жгл-aгеол., проф., steinhválvлпс0огеол.
литотерапи́я	fsteinterapiж0-ir
литр	mliturм0осн-s,-ar
литра́ж	Genлитраж|а́; plur~и́, ~е́й, ~а́мmkapasitetur [-pʰaːsiꞋtʰeː-]мсогл-s,-irí litrum
литрбо́л	m tlm., skemtdrekkarí [-ˈrʊi]с0o{0<>i}, fyllskapurмсогл-ir; ovdrykkja [ɔt-]жгл-aкн.
литро́вый	adjlitur-
литурги́ческий	adjliturgiskur [-Ꞌkʊɹk-]соглsk
литурги́я	fliturgi [-Ꞌkiː]ж0-ir
лить1	Iлью, льёшь, льют;pretлил, лила́, ли́л|о, ~и;imperлейipf1.что-л.(заставить течь) stoytair(t)o-t; skeinkjair(t){+}o-t(из чайника,графина и т.п.)2.без дополнения/uttan ávirki(течь) rennaслнa-u-u, flótaслнey-u-o; дождь льёт tað oysir niður; вода́ льёт из трубы́ vatnið fossar út úr rørinum@лить слёзыfella [-tla]ir(d)tár =>ведро́@,ме́льница@
лить2	IIлью, льёшь, льют;pretлил, лила́, ли́л|о, ~и; imperлейipf что-л.tekn.stoypair(t)o-t; лить све́чи stoypa ljós, stoytair(t)ljós
литьё	n1.(действие) stoypingж0-ar2.(изделия) stoypigóðs [-kœsː]с0о
ли́ться	льётся, лью́тся; pretли́лся, лила́сь, лило́сьogли́лось, ли́лись; imperле́йсяipf1.(течь струёй) rennaслнa-u-u(flóta)2.fl.(о речи) streymaaði, flótaслнey-u-o
лиф	mkjólalívс0о
Лифля́ндия	fsøg.Lívlandс0о{a/o}ист.
лифт	mlyftaжгл-a, elevator [-Ꞌvaː-]ннкм0-tor
лифтбэ́к	m1.(тип кузова) hatchback [haʰtʃpaʰkː]с0{дат.0}авт., спец.(slag av karossarí)2.(тип автомобиля) hatchback [haʰtʃpaʰkː]м0-ar(опр-ur)авт., спец.(slag av bili)
лифтёр	melevatorførari [-Ꞌvaː-]ннкмгл-ari, lyftudrongurлпмсогл-ir{+}
лифтёрша	ftlm. elevatorførari [-Ꞌvaː-]ннкмгл-ari(konufólk), lyftugentaлпжгл-a
ли́фтинг	mandlitslyft [anliːtslɪʰtː]с0о, ansiktslyfting [-lɪʰtː-]ннкж0-ar, andlitslyfting [anliːtslɪʰtː-]нпж0-ar
ли́фчик	mbrósthaldariмгл-ari(женский); lívstykkiсгл-iуст.(детский)
лиха́ч	Gen, Accлихач|а́; plur~и́, ~е́й, ~а́мm1.(шофёр)o-r, ið koyrir ófantaliga [-Ꞌfa-]2.(удалец) djarvur maðurмнепр3.søg.(кучер) vognstjóri [-stj-]лпмгл-i, kuskurннкмсогл-ar(við serliga fínum vogni)
лиха́чество	n (безрассудное поведение) skilaleysur atburðurмсогл-i, tað at taka óráð; forsin atburðurмсогл-i(бедовое поведение)
лихва́	f: с лихво́йtlm.við rentum
ли́хо1	Ingml., óvkm.iltсприл, óntсприл@не помина́й ли́хомber ikki agg til mín;хлебну́ть {хвати́ть} ли́хаlíðaслнei-i-iilt;узна́ть почём фунт ли́хаtlm.tolair(d)manga ymiskuпог.,líðaслнei-i-imanga ymiskuпог., tolair(d)nógvan mótgang
ли́хо2	IIadvtlm.flott
лиходе́й	m gml.illgerðamaðurмнепр, flýggjakroppurмсогл-ar,illmenniсгл-i
лихо́й1	Istfлих, лиха́, ли́хо, лихи́ogли́хи; compли́шеadjgml., óvkm.óndurсогл@лиха́я годи́наringar tíðir;лиха́ беда́ нача́ло {лиха́ беда́ нача́ть}tilt.,tlm.tað er altíð ringt at seta sjøtul áпог.
лихо́й2	IIstfлих, лиха́, ли́хо, лихи́ogли́хи; compли́шеadj1.(храбрый) djarvurсогл{a/ø}2.(быстрый) bragdligur [pɹakl-]глigur3.(бойкий,залихватский) káturсогл, ovfarakátur [ɔf-]согл4.(ловкий) kringurсогл, fimurсогл
лихора́дить	лихора́жу, лихора́д|ишь, ~ятipf1.gml.(чувствовать озноб) hava fepur; он лихора́дит hann hevur fepur2.óp(о лихорадном состоянии): его́ лихора́дит hann hevur fepur3.ópfl.:стро́йку лихора́дит tað er ein grúlig rokan á byggiplássinum
лихора́дка	f1.(температура) fepurм0осн-s,-ar; при́ступ лихора́дки fepuranfall [-tl]ннк, fepurríðнп2.(припухлость на губе) munnsárс0о; krímsárс0оофиц.3.fl.(возбуждённое состояние) fepurм0осн-s,-ar(øsing); золота́я лихора́дка gullfepur =>бить12,боло́тный@,жёлтый@,колоти́ть4,сенно́й,трепа́ть1,Эбо́ла
лихора́дочность	ftað at veraebrilskur [-Ꞌpɹiː-]ннк; tað at vera hektiskurннк
лихора́дочный	stfлихора́доч|ен, ~на, ~но, ~ныadj1.(бывающий при лихорадке) fepur-2.fl.(возбуждённый, нервный) fepurkendurсогл, febrilskur [-Ꞌpɹiː-]ннксоглsk; hektiskurннксоглsk; лихора́дочная де́ятельностьтжrokanж0-ir
Лихтенште́йн	[-тэнштэ́йн]mLiechtenstein [lɪʰktεnstain]с0{дат0}, Liktinsteinлпс0{дат0}
ли́хтер	(plur eis.лихтер|а́, ~о́в, ~а́м)mlektariмгл-ari(lossijakt), lossijaktс0о
лицева́ть	лицу́|ю, ~ешь, ~ютipf(pfперелицева́тьперелицу́|ю, ~ешь, ~ют)что-л.vendair(d)o-m(tá klæðir verða seymað um)
лицево́й	adj1.(относящийся к лицу) andlits- [anl-], ansikts-ннк; granar- (у животных)2.(наружный,верхний) for-, fram-; лицева́я сторона́ rættaжгл-a(á klæðum o.tíl.) (материи); fasada [-Ꞌsaː-]ннкжгл-a, framsíðaжгл-a(á bygningi) (здания); framsíðaжгл-a, forsíðaжгл-a(á medalju o.tíl.) (медали и т.п.); лицева́я пе́тля rætt eyga3.bókh.: лицево́й счёт persónlig [-Ꞌsɔu-]глigurkonto, privat [-Ꞌvaːt]соглkonto
лицеде́й	m1.gml.(актёр) sjónleikariмгл-ari2.bókl.(притворщик) hyklari [hʏ-], [hiː-]мгл-ari
лицеде́йство	n1.gml. (игра) spælс0o(hjá sjónleikara); framførslaжгл-a(преставление)2.bókl.(притворство) kávalætiсгл-i, lótirж0-irмн
лицезре́ть	лицезр|ю́, ~и́шь, ~я́тipf(pfулицезре́тьулицезр|ю́, ~и́шь, ~я́т)кого-л.gml.,spott.síggjaслнá-ó-æo-nvið sínum egnu eygum
лицеи́ст	mnæmingurмсогл-ará miðmámsskúla o.ø. (í Russlandi framman undan kollveltingini o.a.),síлице́й
лицеи́стка	plurлицеи́ст|ки, ~ок, ~камfnæmingurмсогл-ará miðnámsskúla o.ø. (konufólk) (í Russlandi framman undan kollveltingini o.a.)síлице́й
лице́й	m1.(в дореволюционной России) lyceum [lyꞋseː-]с0-um(skúli fyri børn hjá aðalsfólki í Russlandi framman undan kollveltingini)2.(в некоторых европейских странах) lyceum [lyꞋseː-]с0-um(í summum europeiskum londum)3.(в современной России) lyceum [lyꞋseː-]с0-um(í nútímans Russlandi slag av skúla á miðnámsstøði)
лице́йский	adjlyceum(s)- [lyˈseːʊm-]síлице́й
лицеме́р	mhyklari [hʏ-], [hiː-]мгл-ari
лицеме́рие	nhyklarí [hʏʰklaꞋrʊi]ннкс0о, hyklнпс0о
лицеме́рить	лицеме́р|ю, ~ишь, ~ятipfhykla [hiːʰkla]aði, hykla [hʏʰkla]ннкaði
лицеме́рный	stfлицеме́р|ен, ~на, ~но, ~ныadjhyklandiглandi; falskurсогл{a/ø}
лицензио́нный	adjlicens-[liˈsε-]инт, loyvis-
лицензи́рование	nútskrivingж0-arav loyvi {rættindum}, útskrivingж0-arav licensi [liˈsε-]
лицензи́ровать	лицензи́ру|ю, ~ешь, ~ютipf/pf кого-л. на что-л.gevaслнa-ó-io-mlicens [liˈsε-]интtil o-t, gevaслнa-ó-io-mloyvi {rættindi}til o-t
лице́нзия	f1.(разрешение) loyviсгл-i; лице́нзия на выра́щивание aliloyvi (рыбы и т.п.)2.(право) licensur [-Ꞌsε-]интмсогл-ar; rættindiсгл-iдистр
лицеприя́тие	n gml.tað at vera partískur [-Ꞌtʰʊi-]ннк
