ц	це́нтнер 100 kg
циркуля́рный	adjrundskrivs- [rʊns-], við rundskrivi [rʊns-], cirkuleri- [sɪɹ̥kuꞋleː-]ннк
циркуля́ция	fumferðж0-ir, cirkulatión [sɪɹ̥kulaꞋʃɔun]ннкж0-irпроф.; циркуля́ция во́здуха luftcirkulatiónннкпроф.; циркуля́ция кро́ви blóðrenslс0о; циркуля́ция де́нег peningaumferðэк.
циркумфле́кс	mcirkumfleks {sirkumfleks} [sɪɹ̥kʊmꞋflεʰks]ж0-ir
цирро́з	m: цирро́з пе́чени skrumpilivurннкж0осн, skorpulivurж0оснпубл.,офиц.,livurskropnanлпж0-ir
Цирце́я	fmyt.Kirke [kʰɪɹ̥kε]ж нескл.
цирю́льник	mgml.hárskeriмгл-iуст., rakariмгл-ariуст.
цирю́льня	fgml.rakistovaжгл-aуст.,кн.
цисте́рна	ftangi [tʰaɲtʃɪ]мгл-i; tangavognur [tʰaŋka-]мсогл-ar(железнодорожная,автомобильная); tangabilur [tʰaŋka-]мсогл-ar(автомобильная); автомоби́льная цисте́рна tangabilur [tʰaŋka-]мсогл-ar; железнодоро́жная цисте́рна {ваго́н-цисте́рна} tangavognur [tʰaŋka-]мсогл-ar(jarnbanavognur); успокои́тельные цисте́рны stabilitetstangar [-Ꞌtʰeː-]; цисте́рна {танк} охлаждённой морско́й водо́й {цисте́рна {танк} систе́мы охлажде́ния морско́й водо́й RSW-tangi [εɹːεsːˈveːtʰaɲtʃɪ]} =>расхо́дный2
цисти́т	mbløðrubetendilsiннксгл-i, bløðrubruniнпмгл-i
цитаде́ль	[-дэ́-]f1.søg.(крепость) skansiмгл-i, (her)virkiсгл-i2.чего-л.fl.(оплот) háborgж0-irfyri o-t
цита́та	fcitat {sitat}[siꞋtʰaːt]с0о; привести́ цита́ту koma við einum citati, citera {sitera} [siꞋtʰeː-]aði=>би́блия1
цитва́рный	adj: цитва́рное се́мяmedisin móti ormi(gjørt úr fræ av malurt)
цити́ровать	цити́ру|ю, ~ешь, ~ютipf(pfпроцити́роватьпроцити́ру|ю, ~ешь, ~ют)Acccitera {sitera} [siꞋtʰeː-]aðiВин
цитоло́гия	fkyknufrøðiжглi, cytologi [syːtoloꞋkiː]интж0-irпроф.
ци́тра	fcittari {sittari} [sɪ-]мгл-ari
ци́трус	mcitrusfrukt {sitrusfrukt} [siː-]ж0-ir
ци́трусовые	plur(Citrus) citrusfruktir {sitrus-} [siː-]ж0-irмн
цифербла́т	mtalskivaжгл-a, urskivaжгл-a(часов)
цифи́рь	f1.gml.(счёт) rokningж0-ar(tað at rokna)2.spott.gml.(цифры) tølс0о{a/ø}мн, taltilfarс0о
ци́фра	f1.(знак) talс0о{a/ø}; ара́бские ци́фры arabisk [-Ꞌraː-] tøl, arabaratøl [-Ꞌraː-]2.tlm.(сумма) talс0о{a/ø}, upphæddж0-ir(денежная сумма), summннкж0-ir3.oftast plurtølс0о{a/ø}мн, data [taː-]сгл-a{+}мн; статисти́ческие ци́фры hagtøl [hak-] =>ри́мский
цифровиза́ция	ftalgildingжo-ar, digitalisering [tiːkitʰaːliˈseː-]жo-ar
цифрово́й	adjtal-; digitalur [tiːkiꞋtʰaː-]согл, talgildur [tʰεal-], [ti:kitʰal-]согл=>платфо́рма6
ци́церо	с indeclprent.cicero [siːsero]ж нескл.
Цицеро́н	mCicero [siːsero]м0{дат.0}
ЦК	[це-ка́]m indecla) Центра́льный Комите́т КПССsovjet.Aðalstjórn [-stjœtn] sovjetska kommunistiska [-Ꞌnɪ-] floksins; b) центра́льный комите́т aðalstjórn [-stjœtn]
ЦКК	[це-ка-ка́]f indeclЦентра́льная контро́льная коми́ссияsovjet.Aðaleftirlitsnevndin [-εʰtː-]ж0-irопр.(hevði eftirlit við ekslusiónum o.ø.)
ЦК КПСС	[це-ка́ ка-пэ-эс-э́с]m indeclsovjet.Aðalstjórn [-tn] sovjetska kommunistiska [-Ꞌnɪ-] floksins
цо́канье1	In1.(языком) bresturмсогл-s,-ir, smekkanж0-ir(við tunguni)2.(копыт) skramblс0о, glintanж0-ir(við hógvum)
цо́канье2	IInmál.tað at úttala[ц]í staðin fyri[ч] (eyðkent fyri nakrar norðurrussiskar dialektir),sbr.цо́кать II
цо́кать1	Iipf(momentцо́кнутьцо́кн|у, ~ешь, ~ут) (производить звук) skramblaaði, glintaaði(о копытах и др.); цо́кать языко́м brestair(t)við tunguni, smekkaaðivið tunguni
цо́кать2	IIipfmál.(не различать«ц»и«ч»)úttala[ц]í staðin fyri[ч]ella blanda hesi ljóðini, síцо́каньеII
цо́кнуть	moment síцо́катьI
цо́коль	m1.arkit.(нижняя часть наружной стены) sokkulм0осн-s,-ar,(undir)støðiсгл-i(под стенами здания); (súlu)fóturм{+}, (súlu)stætturмсогл-ir(колонны и т.п.)2.(у лампочки) (lampu)sokkulм0осносн-s,-ar
цо́кольный	adj: цо́кольный эта́ж ≈ kjallarahædd [-tl-] (har gólvið liggur lægri enn vegurin uttanfyri)
цо́кот	mglintanж0-ir
ЦП	[цэ-пэ́]m indeclцентра́льный проце́ссор (CPU [seː pʰeː Ꞌuː)
ЦПУ	[цэ-пэ-у́]m indeclцентра́льный проце́ссор (CPU [seː pʰeː Ꞌuː)м нескл
ЦРУ	[це-эр-у́]n indeclЦентра́льное разве́дывательное управле́ние CIA [siː ai Ꞌεi], [seː iː Ꞌaː]с нескл.(Central Intelligence Service), Amerikanska [-Ꞌkʰaː-] fregnartænastanжгл-aопр.
ЦСКА	[це-эс-ка́]m indeclЦентра́льный спорти́вный клуб а́рмии Meginítróttafelag [-ʊitɹɔ-] sovjetska hersins
ц.-сл.	síцерковнославя́нский
ЦСУ	[це-эс-у́]n indeclЦентра́льное статисти́ческое управле́ние Meginhagstovan [-hak-]жгл-aопр.
ЦТ	[цэ́-тэ́]n indeclЦентра́льное телеви́дение Landssjónvarpið [lan̊s-]с0о{a/ø}опр.
ЦУ1	I [це-у́]n indecl.центра́льное управле́ние landsstjórn [-stjœtn]ж0-ir; aðalstýriсгл-i
цу2	II [цэ-у́]n indecl plurspott.,skemt.«це́нные указа́ния» góð ráðс0о{0<>i}
Цуга́ру	m indeclTsugarusundið [suꞋkaː-]с0оопр.
цу́гом	adv1.: ло́шади, запряжённые цу́гом ross spent fyri, annað fremri, hitt aftari [aʰtː-]2.tlm.(гуськом) hvør aftan [aʰtː-] á annan; á træðri [tʰɹakɹɪ]; í gásagongd
цука́т	msukat [-Ꞌkʰaːt]с0о
цуки́ни	m indecl síцукки́ни
цукки́ни	m indeclzucchini [suˈkʰiːni]с нескл, courgetta [kʰʊɹˈʃε-]жгл-a, squash [skvɔʃː]с0о{0<>i}
ЦУМ	[цум]m indecl.центра́льный универса́льный магази́нsovjet.høvuðsvøruhúsс0о
цуна́ми	n indeclflóðaldaжгл-a(elvd av jarðskjálvta); tsunami [suꞋnaːmi]ж0-ir
Цуси́ма	жTsushima [suꞋʃiː-]ж нескл.
цу́цик	móvkm.,kel.hvølpurмсогл-ar
цыга́н	plurцыга́н|е, ~, ~амoggml., óvkm.цыга́н|ы, ~ов, ~амmsigoynari [-Ꞌkɔi-]мгл-ari
цыга́нка	plurцыга́н|ки, ~ок, ~камfsigoynari [-Ꞌkɔi-]мгл-i(konufólk); sigoynarakona [-Ꞌkɔi-]жгл-a(женщина), sigoynaragenta [-Ꞌkɔi-]жгл-a(девушка)
цыга́ночка	f1.plurцыга́ноч|ки, ~ек, ~камdim,kel.avцыга́нка2.(танец)russiskur fólkadansur
цыга́нский	adjsigoynara- [-Ꞌkɔi-], sigoynskur [-Ꞌkɔi-]согл; цыга́нский язы́к sigoynaramál [-Ꞌkɔi-], romani [-Ꞌmaːni]с нескл.@цыга́нский рома́нс{цыга́нская пе́сня} sigoynarasangur [-Ꞌkɔinaɹasaŋk-]мсогл-s,-ir(serligt slag av russiskum sangi)
цы́кать	ipf(momentцы́кнутьцы́кн|у, ~ешь, ~ут)1.(останавливать окриком «цыц»)на кого-л.tlm.hússjaaðiá o-n2.на кого-л.tlm.(отчитывать,одёргивать) hartaaðio-n, lataслнæ-ó-ao-nfáa Ꞌ av at vita; teppair(t)o-n(чтобы замолчал)3.(издавать цвистящий звук) látaслнæ-ó-á(við ts-ljóði), pípaaði(við ts-ljóði)
цы́кнуть	цы́кн|у, ~ешь, ~утmoment síцы́кать
цы́пка	plurцы́п|ки, ~ок, ~камfóvkm.hønaжгл-a; høsnarungiмгл-i(цыплёнок);goggaжгл-aдетск., kjúkaжгл-aдетск.
цы́пки	цы́п|ок, ~камf plurtlm.sprotnað húðж0-ir, sundurstokkin húðж0-ir(av veðri, kulda o.ø.)
цыплёнок	Gen, Accцыплёнка; plurцыпля́т|а, ~, ~амmhøsnarungiмглi@цыпля́т по о́сени счита́ютorðt.≈ eingin skal kanna sær bitan, fyrr enn hann er svølgdur [svœlt-]посл.=>табака́
цыпля́т...	síцыплёнок
цыпля́чий	adjhøsnarunga- av høsnarunga
цы́почка	plurцы́поч|ки, ~ек, ~камftlm.1.síцы́пка2.góðastaпревосх., fittastaпревосх.(í tiltalu við konu,gentu)
цы́почки	f plur: на цы́почках á tá; ходи́ть на цы́почках ganga á tá; стать {приподня́ться} на цы́почки faraслнó-ó-aupp á tá@ходи́ть на цы́почкахперед кем-л.krúpaслнey-u-ofyri o-m, sleiskaaðifyri o-m
цы́п-цы́п	interkjú, kjú (tá rópt verður eftir høsnum)
цыц	interóvkm.hússj!
Цю́рих	mZürich [syːɹɪʃ]м0{дат.0}
