З	за́пад V, vestur
запере́ться2	IIpf síзапира́ться3
заперши́ть	заперши́тpf óp: у него́ заперши́ло в го́рле tað skreið í hálsinum á honum
запестре́ть	pf bert 3. pers brúktursíggjastслнá-ó-æ(um o-t sprøklut),sí eis.пестре́тьI
запе́тый	partic/adj.tlm.sunginсоглоснupp í saman, havdurсоглtil fótatraðk [-tʰɹaʰkː]
запе́ть	запо|ю́, ~ёшь, ~ю́тpf(ipfзапева́ть)1.(начать петь) faraслнó-ó-aat syngja, begynna [-Ꞌtʃɪ-]ннкir(t)at syngja, byrjaaðiat syngja2.что-л.(опошлить частым пением) syngjaслнa-u-uo-tí heilum, geraнепрo-ttil fótatraðk [-tʰɹaʰkː] (ос. о фар. балладе)@запе́ть другое: он запе́л друго́е nú var viðvent í holuniидиом.; он скоро запоёт друго́е {на друго́й лад} hann fær annað latín [-Ꞌtʰʊin] at lesaпог.;ты у меня́ запоёшь!tú skalt fáa aðra bók at lesa í!идиом.
запеча́тать	pf(ipfзапеча́тывать)что-л.1.(закрыть,наложив печать) forsegla [-Ꞌsε-]ннкaðio-t, innsiglaнпaðio-t2.(конверт) lataслнæ-ó-ao-taftur [aʰtː-] (закрыть); límaaðio-t(aftur [aʰtː-]) (заклеить) (konvolutt)3.síопеча́тать
запечатлева́ть	ipf síзапечатле́ть
запечатлева́ться	ipf síзапечатлева́ть
запечатле́ть	pf(ipfзапечатлева́ть)1.Acc(изобразить) avmyndaaðiВин; запечатле́ть собы́тие на карти́не lýsair(t)hendingina í einari mynd; запечатле́ть на бума́ге festair(t)á blað2.: запечатле́тьчто-л.в па́мяти goymair(d)o-tí minninum, leggjaнепрsær í minni@запечатле́ть поцелу́йgml.kyssair(t)
запечатле́ться	pf(ipfзапечатлева́ться)1.(изобразиться) verðaслнa-ó-oavmyndaður; avspeglastaði(отразиться)2.: запечатле́ться в па́мяти festair(t)seg í minnið; э́то запечатле́лось в его́ па́мяти hetta festi seg í minnið hjá honum
запеча́тывать	ipf síзапеча́тать
запе́чь	запеку́, запечёшь, запеку́т;pretзапёк, запекл|а́, ~о́, ~и́;imperзапеки́, запеки́теpf(ipfзапека́ть)что-л.1.(испечь,завернув в тесто) bakaaðio-tinn í deiggj; gratinera [kɹatiꞋneː-]aðio-t2.(образовать корочку) skorpaaðio-t(í ovni)
запе́чься	запечётся, запеку́тся;pretзапёкся, запекл|а́сь, ~о́сь, ~и́сьpf(ipfзапека́ться)1.matg.(об запеканкак и др.) fáaслнe-i-iskorpu (покрыться корочкой); verða gjøgnumbakaðurглaður(испечься) (um ym. innbakað o.a.)2.(о крови) storkna [stɔʂna]aði(um blóð)3.(о губах) skorpna [skɔʂna]aði(um varrar o.a.)
запива́ть1	Iipf síзапи́тьI
запива́ть2	IIipf síзапи́тьII
запина́ться	ipf1.síзапну́ться12.(о речи) kønkaaði, stankaaði
запи́нка	fбез запи́нки raðið, uttan honk; с запи́нками kønkandi; повтори́тьчто-л.без запи́нки reksaaðiupp, ramsaaði
запира́ние	nsteingingж0-ar, læsingж0-ar
запира́тельство	nnoktanж0-ar,síзапира́ться3
запира́ть	ipf síзапере́ть
запира́ться	ipf1.síзапере́ться1, 22.: я́щик не запира́ется skuffan kann ikki læsast3.(не сознаваться в чём-л.) noktaaðifyrio-m(ikki viðganga seг sekan)
записа́ть	запишу́, запи́ш|ешь, ~утpf(ipfзапи́сывать)1.что-л.(занести на бумагу) skrivaaðio-tupp, notera [-Ꞌtʰeː-]ннкaðio-t проф.; førair(d)o-tinnтжбухг.(занести в журнал и т.п.); записа́ть а́дрес skriva adressuna [-Ꞌtɹε-] upp; записа́ть прису́тсвующих skriva tey upp, sum eru til staðar; записа́тьчто-л.в своём дневнике́ skrivao-tí dagbókini hjá sær; запиши́те э́то за мной skriva hetta upp á meg2.кого-л. (внести в список) skrivaaðio-ninn, meldaaðio-ninn; записа́тького-л.на приём (у кого-л.) bestilla [-Ꞌstɪtla]ннкir(t)tíð (hjá o-m), bíleggjaнепрtíð (hjá o-m), avtalaaðitíðи др.(у врача и т.п.); записа́ть ученика́ в шко́лу skriva næming inn í skúla, melda ein næming inn í ein skúla; записа́тького-л.в библиоте́ку skrivao-nupp sum lánara (á bókasavni)3.Acc(с помощью аппарата) takaслнó-ó-iВинupp; innspælair(d)o-t(музыку и т.п.); речь была́ запи́сана на плёнку røðan varð tikin upp á band; записа́ть на магнитофо́н spæla inn á band, taka upp á band4.gml.,óvkm.: дом запи́сан на неё húsini standa í hennara navni, húsini eru skrivað henni5.что-л.teld.(файл и др.) innskrivaaðio-t, inntastaaðio-t;записа́ть файл skriva ein fíl inn@записа́тьчто-л.начей-л.счётskrivao-tá rokninginahjá[tʃʰ-]o-m
записа́ться	запиш|у́сь, запи́ш|ешься, ~утсяpf(ipfзапи́сываться)1.во что-л.(в организацию и др.) meldaaðisegtil o-t(на курсы и т.п.); meldaaðiseginn í o-t(в организацию); skrivaaðiseginn í o-t; tekna [tʰεkna]aðisegtil o-t(в список); записа́ться на приём {к врачу́} bestilla [-Ꞌstɪ-]ннкir(t)tíð hjá [tʃʰ-] lækna, bíleggjaнепрtíð hjá [tʃʰ-] lækna, biðjaслнa-ó-ium tíð hjá [tʃʰ-] lækna2.tlm.(увлёкшись писанием,забыться) gloymair(d)seg burtur í skriving; он записа́лся до утра́ hann sat og skrivaði til móti morgni [mɔtnɪ] =>доброво́лец
запи́ска	plurзапи́с|ки, ~ок, ~камf1.(листок бумаги) seðilмсоглосн{+}(stutt bræv,stutt boð), boðс0о{0<>i}дистр (сообщение)2.alm.(о чём-л.) frágreiðingж0-ar, rapport [-Ꞌpʰɔ-]ннкж0-ir; служе́бная запи́ска memorandum [-Ꞌra-]с0о{+}офиц.; notat [-Ꞌtʰaːt]с0о(;0-ir)офиц.; объясни́тельная запи́ска notat, ið lýsiro-tnærri3.plur(заметки) noturжгл-aмн, uppritнпс0о; notat [-Ꞌtʰaː-]ннкс0о(;0-ir); minniсгл-i(o-t,ein minnist) (воспоминания); dagbók [tak-]ж0-ur{ó/ø}(дневник); путевы́е запи́ски ferðalýsingarж0-arмн; говори́ть без запи́сок tosa uttan notur; запи́ски по исто́рии иску́сства notur um listasøgu; «Запи́ски охо́тника» И. Турге́нева "Dagbókin hjá [tʃʰ-] veiðimanninum" eftir [εʰtː-] Turgenjev [tʰʊɹꞋkeːnjεf]4.plur(название научных журналов) ritс0о(navn á summum vísindaligum tíðarritum); учёные запи́ски (университе́та) fróðskaparritс0о=>докладно́й
записно́й1	Iadj: записна́я кни́жка uppskrivingarbók, notisbókннк, uppskriftabókлп
записно́й2	IIadj síзавзя́тый
запи́сывать	ipf síзаписа́ть
запи́сываться	ipf síзаписа́ться
за́пись	fA.(действие)1.(письменное зафиксирование) uppskrivingж0-ar;notering [-Ꞌneː- ]ннкж0-ar2.(с помощью аппарата) upptøkaжгл-a(við tóli av onkrum slag)3.(в организацию и др.) tilmeldingж0-ar; innmeldingж0-ar; innskrivingж0-ar; за́пись на ку́рсы tilmelding til skeið ; за́пись на приём bestilling [-Ꞌstɪtl]ннкж0-arav tíð (t.d. hjá lækna), bíleggingнпж0-arav tíð (t.d. hjá lækna);sbr.записа́ть (русскому отглагольному сущ. в переводе часто или предпочтительно соответствует глагольная форма)1-3, 54.teld.(файла и др.) innskrivingж0-arэвм., inntastingж0-arэвм.; защи́та от за́писи skriviverjaэвмB.(записанное)1.(заметки) uppskriftж0-ir(o-t, sum er skrivað upp), notat [-Ꞌtʰaːt]с0о(;0-ir)2.(магнитофонная и др.) upptøkaжгл-a;(магнитофо́нная) за́пись bandupptøka3.gml.(документ) skjalс0о{a/ø}; да́рственная за́пись gávubrævс0о{æ/ø}=>учётный1
запи́ть1	Iзапь|ю́, ~ёшь, ~ю́т;pretза́пил, запила́, запи́ло, запи́лиpf(ipfзапива́ть): запи́ть еду́ ча́ем drekka te aftur við [aʰtːʊɹꞋviː] matinum; запи́ть табле́тку водо́й skola eina tablett [-Ꞌplεʰtː] niður við vatni
запи́ть2	IIзапь|ю́, ~ёшь, ~ю́т;pretза́пил, запила́, за́пило, за́пилиpf(ipfзапива́ть) (начать пьянствовать) faraслнó-ó-aat drekka (brennivín o.tíl.); faraслнó-ó-aat ballast, begynna [-Ꞌtʃɪ-]ir(t)at ballast, byrjaaðiat ballast (кутить); fáaслнe-i-itørn (запоем)
запиха́ть	pf(ipfзапи́хивать)Вин во что-л.tlm.stappaaðiВинniðurí o-t, stappaaðiВинniður inní o-t
запихивать	ipf síзапиха́ть, запихну́ть
запихну́ть	запихн|у́, ~ёшь, ~у́тmoment síзапиха́ть
запища́ть	запищ|у́, ~и́шь, ~а́тpffaraслнó-ó-aat hvína, begynna [-tʃɪ-]ннкir(t)at hvína, byrjaaðiat hvína,síпища́ть
запла́канный	stfзапла́кан, ~а, ~о, ~ыpartic í týdn. sum adjútgrátinслносн
запла́кать	запла́ч|у, ~ешь, ~утpfbrestaслнa-u-oútúr [-Ꞌtʰʉuɹ] at gráta, skeraслнa-ó-oí grát; faraслнó-ó-aat gráta, begynna [-tʃɪ-]ннкir(t)at gráta, byrjaaðiat gráta (начать плакать)
запланировать	pf síплани́роватьI
запла́та	fbótж0-ur{ó/ø}(spjørr); ста́вить {класть}на что-л.setaur(t);ir(t)eina bótá o-t, bøtair(t)o-t
заплати́ть	pf síплати́ть=>голова́4,до́рого@
запла́тка	plurзапла́т|ки, ~ок, ~камf dim, kel. tilзапла́та
заплёванный	Ipartic avзаплева́тьIIadjspýttdálkaðurглaður;fl.skitinсоглосн(грязный)
заплева́ть	заплю|ю́, ~ёшь, ~ю́тipf(pfзаплёвывать)Accspýtair(t)áВин
заплёвывать	ipf síзаплева́ть
заплеска́ть	заплещу́, запле́щ|ешь, ~утogtlm.заплеска́юpf(ipfзаплёскивать II)Acctlm.spruttaaðiá Вин, stoytair(t)á Вин(залить)
заплёскивать1	Ipf síзаплесну́ть
заплёскивать2	IIipf síзаплеска́ть
запле́сневелый	adjmoðinслноснð/d, hýggiskotinслносн
запле́сневеть	pf síпле́сневеть
заплесну́ть	заплесн|у́, ~ёшь, ~у́тpf(ipfзаплёскивать I)что-л.tlm.skolaaði, fløðair(d)(um aldu); волна́ заплесну́ла ло́дку aldan skolaði inn í bátin; ло́дку заплесну́лоóptað fløddi inn í bátin
заплести́	заплет|у́, ~ёшь, ~у́т;pretзаплёл, заплел|а́, ~о́, ~и́pf(ipfзаплета́ть;sí eisплести́1)что-л.1.(сплести косу) flættaaðio-t(hár); заплести́ ко́су flætta sær, geraнепрflættu2.(оплести) vindaслнa-u-u{+}segum o-t, snaraaðisegum o-t; трава́ заплела́ ме́сто grasið var ein fløkja, grasið var samanfløkt; хмель заплёл и́згородь hegnið var avvaksið við humlu, humla vant seg um hegnið
заплести́сь	síзаплета́ться
заплета́ть	ipf síзаплести́
заплета́ться	ipf(pfзаплести́сьзаплет|ётся, ~у́тся; pret заплёлся, заплел|а́сь, ~о́сь, ~и́сь)1.(обвивавться) vevjastur(d){e/a},flættastaði, dreivastaði(запутаться)2.:у него́ но́ги заплета́ются hann dettur um seg sjálvan; у него́ язы́к заплета́ется tungan ballar [-tl-]aðihjá [tʃʰ-] honum, tungan ballast [-tl-]aðihjá [tʃʰ-] honum
запле́чный	adj:запле́чный мешо́к ryggsekkur@запле́чных дел ма́стерgml.bøðilм0осн-s,-ar
запломбирова́ть	зампломбиру́|ю, ~ешь, ~ютpf(ipfзапломбиро́вывать)что-л.1.(зуб) plombera [-Ꞌpeː-]aðio-t; запломбирова́ть зуб plombera tonn, gera fylling [-tl-] í tonn2.(запечатать) plombera [-Ꞌpeː-]aðio-tпроф., forsegla [-Ꞌsε-]ннкaðio-tпроф., innsiglaлпaðio-t
запломбиро́вывать	ipf síзапломбирова́ть
заплоня́ть	ipf síзаполони́ть
заплута́ться	pfóvkm.villast [-tl-]ir(t)
заплы́в	m(соревнование) svimjikappingж0-ar(о плавании); (kapp)róðurм0осн-s,-ar(о гребле); kappsiglingж0-ar(о парусном спорте)
заплыва́ть1	ipfIsíзаплы́тьI
заплыва́ть2	IIipf síзаплы́тьII
заплы́ть1	Iзаплыв|у́, ~ёшь, ~у́т;pretзаплы́л, заплыла́, заплы́ло, заплы́лиpf(ipfзаплыва́ть) svimjaслнa-u-o(о пловце); siglair(d){+}(о судне); rógvaнепр(на вёслах) (til okkurt stað)
заплы́ть2	IIзаплыв|у́, ~ёшь, ~у́т;pretзаплы́л, заплыла́, заплы́ло, заплы́лиpf(ipfзаплыва́ть) fitnaaði(жиром); hovnaaði(пухнуть,отекать); túsnaaði, trútnaaði(распухнуть); у него́ глаза́ заплы́ли eyguni á honum eru hovin; заплы́вшее лицо́ upptúsnað andlit [anl-]; он заплы́л жи́ром hann er so spikafeitur; свеча́ заплыла́ ljósið rann
запляса́ть	запляшу́, запля́ш|ешь, ~утpffaraслнó-ó-aat dansa, begynna [-Ꞌtʃɪ-]ннкir(t)at dansa, byrjaaðiat dansa; faraслнó-ó-aupp á Ꞌ gólv (тк о фарерской пляске)
запну́ться	запн|у́сь, ~ёшься, ~у́тсяpf(ipfзапина́ться)1.(обо что-л.) (споткнуться) snávaaði(um o-t)2.(о речи)síзапина́ться
запо...	запою́o.s.fr. fut avзапе́ть
запове́дник	mfriðað økiсгл-i(náttúruøki), reservat [-Ꞌvaːt]ннкс0о(;0-ir)
запове́дный	adj1.(неприкосновенный,запретный) friðaðurглaður; объя́вить запове́дным friðaaði2.(тайный) loyniligurглigur, loyndurсогл, hemmiligurннкглigur; duldurсогл(скрытый); их запове́дные мы́сли teirra duldu tankar [tʰaŋ̊k-]; запове́дная доро́га loynivegur3.síзаве́тный1
за́поведь	f1.rel.(религиозное предписание) boðс0о{0<>i}; де́сять за́поведей tey tíggju boðini2.fl.,hátíð.(положение) boðс0о{0<>i}(regla o.a.)
запода́зривать	ipf síзаподо́зрить
заподо́зривать	ipfgml.síзаподо́зрить
заподо́зрить	заподо́зр|ю, ~ишь, ~ятpf(ipfзапода́зривать)1.кого-л. в чём-л.(подозревать) misteinkjair(t)o-n fyri o-t{at + инф.} (тж о злодеяниаях и др.), havaнепрillgrunatil o-n um o-t(тжюр.); illteinkjair(t)o-n fyri o-t{at + инф.}, illgitair(t)o-n fyri o-t{at + инф.}; я заподо́зрил её в обма́не eg mistonkti hana fyri at svika; его́ заподо́зрили в кра́же hann var undir illgruna fyri stuldur2.что-л.(предположить существование нежелательного) grunaaðio-t, óraaðio-t; я заподо́зрил нела́дное eg grunaði ilt, eg óraði ilt3.что-л.gml.(усомниться) ivastaðií o-m
запо́ем	adv1.: пить запо́ем havaнепрtørn, fáaслнe-i-itørn2.: кури́ть запо́ем veraслнa-ó-eketuroykjari; чита́ть запо́ем altíð sitaслнa-ó-ivið bókini; рабо́тать запо́ем arbeiða sum eitt ross
запозда́лый	adjseinkaðurглaður, forsinkaður [-Ꞌsɪ-]ннкглaður; seinurсогл; sum kemur í seinna [sai̯tna] lagi; запозда́лое разви́тие sein menning; запозда́лая весна́ seint vár; весна́ была́ запозда́лая tað váraði seint, várið kom seint; запозда́лая но́вость ein gomul nýggjheitннк
запозда́ние	nseinkanж0-ir, forsinkilsi [-Ꞌsɪ-]ннксгл-i; с запозда́нием на два часа́ tveir tímar seinkaður, tveir tímar for [fɔɹː]ннкseint, tveir tímar ov [ɔ] seint
запозда́ть	pf(ipfзапа́здывать)1.(поздно явиться) komaслнo-o-ofor [fɔɹː]ннкseint, komaслнo-o-oov [ɔ] seint, veraслнa-ó-efor [fɔɹː]ннкseinur, veraслнa-ó-eov [ɔ] seinur2.с чем-л.(сделать позже,чем надо) vera ([fɔɹː]ннк) seinurсоглvið o-m, vera (ov [ɔ]) seinurсоглvið o-m; запозда́ть с отве́том vera seinur at svara, svaraaðiov [ɔ] seint
запо́й	mtørnс0о(tað at ganga fullur); страда́ть запо́ем {запо́ями} havaнепрtørn, fáaслнe-i-itørn
запо́йный	adj: запо́йный пья́ница kvartalsdrankari [-aŋ̊k-]
запола́скивать	ipf síзаполосну́ть
запо́лзать	pffaraслнó-ó-aat skríða (krúpa), begynna [-tʃɪ-]ннкir(t)at skríða (krúpa), byrjaaðiat skríða (krúpa)
заполза́ть	ipf síзаползти́
заползти́	заполз|у́, ~ёшь, ~у́т; pret запо́лз, заползл|а́, ~о́, ~и́pf(ipfзаполза́ть)во что-л.krúpaслнey-u-oinn í o-t
заполне́ние	n1.(наполнение) fylling [-tl-]ж0-ar2.(анкеты и т.п.) útfylling [-tl-]ж0-ar(av oyðublað o.tíl.)
заполни́тель	mtekn.blanditilfarс0о(at koyra í sement)
запо́лнить	запо́лн|ю, ~ишь, ~ятpf(ipfзаполня́ть)1.что-л.(наполнить) (чем-л.) fylla [-tla]ir(t)o-t(við o-m); запо́лнить пробе́л fylla [-tla] eitt millumrúm [-tl-]; запо́лнить вы́боину ще́бнем fylla [-tla] eitt hol við skervi; пло́тно {до отка́зa} запо́лненный á tremur; толпа́ запо́лнила пло́щадь mannamúgvan fylti plássið; запо́лнить вре́мячем-л.fylla [-tla] tíðinavið o-m2.что-л.(вписать) fylla [-tla]ir(t)o-tút, útfylla [-tla]ir(t)o-t; запо́лнить бланк útfylla [-tla] oyðublað
запо́лниться	запо́лн|ится, ~ятсяpf(ipfзаполня́ться) (чем-л.) fyllast [-tl-]ir(t)(við o-m)
заполня́емость	f(о гостиницах и т.п.) belegningur [-ˈlε-]жсогл-arспец.(um hotell o.tíl.)
заполня́ть	ipf síзапо́лнить
заполня́ться	ipf síзапо́лниться
заполони́ть	заполо́н|ю́, ~и́шь, ~я́тpf(ipfзаполня́ть)1. кого-л.(взять в плен)gml.takaслнó-ó-io-nfanga, takaслнó-ó-io-ntil fanga2.что-л. (чем-.л.) (заполнить) tln. fylla [-tla]ir(t(o-t(við o-m),
заполоня́ть	ipf síзаполони́ть
заполосну́ть	заполосн|у́ ~ёшь, ~у́тpf(ipfзапола́скивать)что-л.óvkm.skolaaðio-t
заполо́шный	adjóvkm.balstýrin [-Ꞌstʊi-]соглосн; ørligurглigur(взбалмошный)
заполучи́ть	заполучу́, заполу́ч|ишь, ~атpf что-л.óvkm.skaffaннкaði(sær)o-t, fáaслнe-i-io-t(eis. um sjúku)
заполя́рный	adjpól-, polar- [-Ꞌlaː-]ннкпроф.; sum liggur norðan fyri pólkringin (в северном полушарии); sum liggur sunnan fyri pólkringin (в южном полушарии)
Заполя́рье	npóløkiсгл-i(í Sovjetsamveldinum og Russlandi ofta roknað sum økið norðan fyri60o)
запомина́ние	ntað at minnast,sbr.запо́мнить (русскому отглагольному сущ. в переводе часто или предпочтительно соответствует глагольная форма)
запомина́ть	ipf síзапо́мнить
запомина́ться	ipf síзапо́мниться
запомина́ющий	adj:запомина́ющее устро́йствоteld.goynslumiðilм0осн-s,-ar, minniсгл-i, memory [mεmːori]ннкс0гл-iпроф.,sbr. eis.ПЗУ
запо́минться	запо́мн|юсь, ~ишься, ~ятсяpf(ipfзапомина́ться)кому-л.minnastir(t); ему́ запо́мнится э́тот день hann fer at minnast henda dagin
запо́мнить	запо́мн|ю, ~ишь, ~ятpf(ipfзапомина́ть)Accminnastir(t)Вин; leggjaнепрsæro-tí minni, goymair(d)Винí minninum; lærair(d)o-t(uttanat) (выучить(наизусть)); запо́мни! е́сли ты ещё раз... (hóttan) minst til! vissннкtú eina ferð afturat [-Ꞌtʰrεat]...; я не запо́мнил его́ и́мени eg minnist ikki navnið á honum, eg havi gloymt navnið á honum@не запо́мнить(не помнить) ikki (kunna) minnast; тако́й за́сухи никто́ не запо́мнит eingin minnist sovorðnan turk, eingin kann minnast sovorðnan turk
запо́мниться	запо́мн|юсь, ~ишься, ~ятсяpf (ipfзапоминаа́ться) (кому-л., чем-л.) minnastir(t), minnastir(t)til; ему́ запо́мнится э́тот день hann fer at minnast minnast henda dagin, ≈ tað verður seinur dagur, hann gloymir henda dagin
за́понка	plurза́пон|ки, ~ок, ~камfmansjettknappur [-Ꞌʃε-]мсогл-ar(для манжет); kragaknappurмсогл-ar(для воротника)
заполня́емость	f(о гостиницах и т.п.) belegningur [-ˈlε-]мсогл-arспец.(á hotellum o.tíl.)
запо́р1	Imlásс0о(замо́к); sláж0-ir(засов); на запо́ре læsturсогл, undir lás og slá
запо́р2	IIm(болезненное состояние) forstoppilsi [-stɔ-]ннксгл-iпроф., harður opningurмсогл-arкн., hart lívс0окн.
Запоро́жец	m GenЗапоро́жц|а;plur~ы, ~ев, ~ам(марка автомашины) Zaporozjets [saːpʰoꞋrɔʃːεʰts]м нескл.(slag av bili)
запоро́жец	m Gen, Accзапоро́жц|а;plur~ы, ~ев, ~амsøg.zaporozjekosakkur [saːpʰoꞋrɔʃːɪ-]мсогл-ar
Запоро́жье	nZaporizje, [saːpʰoꞋrɪʃːε]м нескл.Zaporozje [saːpʰoꞋrɔʃːε]м нескл.,
запоро́ть1	Iзапорю́, запо́р|ешь, ~ютpf(ipfзапа́рывать)кого-л. tlm.(до смерти) pískaaðio-ntil deyðis
запоро́ть2	IIзапор|ю́, запо́р|ешь, ~ютpf(ipfзапа́рывать)1.что-л.tlm.(испортить) spilla [-tla]ir(t)o-t, oyðileggja [-Ꞌlε-]непрo-t, spolera [-Ꞌleː-]энкaðio-t2.кого-л.óvkm.(убить) drepaслнa-u-io-n(við at stinga við o-m), stingaслнa-u-u{+}o-n(til deyðis)
запороши́ть	запороши́тpf1.Acc(чем-л.) stroyair(d)(o-t)út yvir Вин; запорошённый сне́гом kavaklæddurсогл{æ/ø}, avtakturсоглvið kava; пыль запороши́ла ему́ глаза́ hann fekk støv í eyguni2.: запороши́л снежо́к hann mylurur(d){y/u}kavan niður, tað mylurur(d){y/u}úr honum
запости́ть	запощу́, запости́|шь, ~я́тpf что-л. teld. postaaðio-t интерн.
запотева́ть	ipf síзапоте́ть
запоте́вший	adj síзапоте́лый
запоте́лый	adjdøggaðurглaður(um rútar o.tíl.)
запоте́ть	pf(ipfзапотева́ть) døggaaði(um rútar o.tíl.)
запр...	1.запру́o.s.fr. fut avзапере́ть2.запри́, запри́теimper avзапере́ть
заправи́ла	m/ftlm.oddamaðurмнепр(главарь)
запра́вить	запра́в|лю, ~ишь, ~ятpf(ipfзаправля́ть)что-л.1.(во что-л.,подо что-л.) (засунуть) stingaсоглa-u-uo-tniðurí o-t, stingaсоглa-u-uo-tinnundir o-t, stingaсоглa-u-uo-tupp undiro-t; запра́вить брю́ки в сапоги́ stinga buksurnar niður í stivlarnar; запра́вить во́лосы под плато́к stinga hárið upp undir turriklæðið2.(чем-л.) (для работы) fylla [-tla]ir(t)(o-t)á o-t, bunkraaðio-tспец.(судно и др.); запра́вить маши́ну бензи́ном fylla bensin [-Ꞌsiːn] á bilin, koyrair(d)bensin [-Ꞌsiːn] á bilin; запра́вить бак fylla á tangan; запра́вить самолёт bunkra ein flúgvaraннк, fylla brennievniнпá eitt flogfarнп; запра́вить ла́мпу кероси́ном koyrair(d)petroleum [pʰeꞋtʰroːlɪʊm] í lampuna, lataслнæ-ó-apetrolum [pʰeꞋtʰroːlɪʊm] á lampuna3.(чем-л.) (положить приправу) smakkaaðio-ttil (við o-m), lataслнæ-ó-ao-tútí [-Ꞌtʰʊi]o-t; запра́вить пря́ностями krydra [kʰɹʏtɹa]ннкaði, koyrair(d)kryddarí [kʰɹʏtːaꞋrʊi]ннкí, kryddaнпaði; запра́вить суп смета́ной lata súrróma út í suppuna4.: запра́вить крова́ть reiðair(d)seingina upp
запра́виться	запра́влюсь, запра́в|ишься, ~ятсяpf(ipfзаправля́ться)1.(горючим) fylla [-tla]ir(t)á (bensin o.tíl.); bunkraaði(судно и др.)2.tlm.(наесться) fáaслнe-i-inakað niðurum [-Ꞌʊmː] (av mati)
запра́вка	plurзапра́в|ки, ~ок, ~камf1.(горючим) áfylling [-tl-]ж0-ar(av bensini o.tíl.); bunkringж0-ar(судно и т.п.)2.matg.(еды) tað at lata útí [ʉuꞋtʰʊi], krydring [kʰɹɪtɹɪŋk], [kʰɹʏtɹɪŋk]ж0-ar; kryddarí [kʰɹɪtːaꞋrʊi], [kʰɹʏtːaꞋrʊi]с0о(;0-ir)(приправа),sbr.запра́вить 3
заправля́ть	ipf1.síзапра́вить2.чем-л.óvkm.,atf.(верховодить) ráðaur(d){á/æ}{+}fyri o-m, stýrair(d)o-m; заправля́ть всем до́мом ráða fyri øllum [œtl-] í húsinum
заправля́ться	ipf síзапра́виться
запра́вочный	adj: запра́вочная ста́нция bensinstøð [-Ꞌsiːn-]; запра́вочная маши́на tangabilur [tʰaŋk-]
запра́вский	adjtlm.ektaðurглaður, rætturсогл{æ/ø}, ordiligurглigurнеформ.
запра́вщик	m(самолёт) tangaflogfar [tʰaŋk-]с0о{a/ø}
запра́шивать	ipf síзапроси́ть
запрева́ть	ipf(pfзапре́ть)bert 3. pers brúkturfaraслнó-ó-aat fúna, begynna [-Ꞌtʃɪ-]ннкir(t)at fúna, byrjaaðiat fúna, faraслнó-ó-aat rotna, begynna [-Ꞌtʃɪ-]ннкir(t)at rotna, byrjaaðiat rotna
запре́т	mforboðс0о{0<>i}, bannс0о; наложи́ть запре́тна что-л.setaur(t);ir(t)forboðmóti o-m, setaur(t);ir(t)bаnnmóti o-m, setaur(t);ir(t)forboðfyri o-m, setaur(t);ir(t)bannfyri o-m; снять запре́т (с чего-л.) takaслнó-ó-oforboð av (móti o-m), takaслнó-ó-obann av (móti o-m); без запре́та ótarnað, óhindrað@быть {находи́ться} под запре́томvera forboðin [-Ꞌpoːjɪn]соглоснð/d, vera bannaðurглaður;пери́од запре́таfriðingartíð
запрети́тельный	adjforboðs-; запрети́тельный зако́н forboðslóg; запрети́тельные ме́ры verjutiltøk (ið tálma,forða); запрети́тельная по́шлина verjutollur [-tl-]
запрети́ть	запрещу́, запрет|и́шь, ~я́тpf(ipfзапреща́ть)Dat что-л., +infforbjóða [-Ꞌpjɔua]aði{+}Дат o-t{at + инф.}, bannaaðiДат o-t{at + инф.}; стро́го запрети́тьчто-л.strangliga bannao-t; ей запрети́ли кури́ть hon fekk forboð fyri at roykja =>посторо́ннийII
запре́тный	stfзапре́т|ен, ~на, ~ноadjforboðin [-Ꞌpoːjɪn]соглосн{ð/d}, bannaðurглaður@запре́тный плодforboðin [-Ꞌpoːjɪn] frukt; запре́тный плод сла́док forboðin frukt smakkar best; запре́тная любо́вь forboðin [-Ꞌpoːjɪn] kærleiki
запре́ть	pf síзапрева́ть
запреща́ть	ipf síзапрети́ть
запреща́ться	ipf bert 3. pers brúkturvera forboðin [-Ꞌpoːjɪn]соглоснð/d, vera bannaðurглaður; кури́ть (стро́го) запреща́ется! royking (strangliga) bannað!
запреща́ющий	Ipartic avзапрeща́тьIIadj: запреща́ющие зна́ки (дорожные) forboðstalvurжгл-a(ferðslutalvur)
запреще́ние	n(чего-л.) forboðс0о{0<>i}(móti o-m), bannс0о(móti o-m); запреще́ние а́томного ору́жия forboð móti atomvápnum [-Ꞌtʰoː-]
запрещённый	Ipartic avзапрети́тьIIadjforboðin [-Ꞌpoːjɪn]соглоснð/d, bannaðurглaður; запрещённый зако́ном bannaður við lóg; «стоя́нка запрещена́» «eingin parkering [-Ꞌkʰeː-]»; «поворо́т напра́во запрещён» «bannað at snara til høgru»; запрещённый приём a)ítr.(в спорте) óregluligt [-Ꞌrε-] tak, forboðið [-Ꞌpoːjɪ] tak; b)fl.(что-л. недозволенное)o-t, sum ikki er fyri mark, slagс0о{a/ø}{0<>i}niðan beltiперен.
заприме́тить	заприме́чу, заприме́т|ишь, ~ятpf Accóvkm.beraслмa-ó-oeyga viðВин, leggjaнепрВинtil merkis (заметить); ansaaðieftir [εʰtː-]Дат, gevaслмa-ó-iДатgætur (запомнить)
заприхо́довать	pf síприхо́довать
