о.	Iо́бластьIIо́стров
оруже́йный	adjvápna-@Оруже́йная пала́таVápnagoymslanжгл-aопр.(í Kreml í Moskva)
оружено́сец	Gen,Accоружено́сц|а;plur~ы, ~ев, ~амm1.søg.(молодой воин) vápnasveinurмсогл-ir2.(тот,кто верно служит кому-л.) trúgvur fylgisneytiмгл-i
ору́жие	n bert singvápnс0о; взя́ться за ору́жие taka til vápnanna; к ору́жию! til vápn!; сложи́ть ору́жие leggja vápnini;eisfl.gevastслнa-ó-iá hondumперен., leggjaнепрkonginидиом.; броса́ть ору́жие tveita vápnini;eis.fl.gevaслнa-ó-iseg yvirперен.; носи́ть ору́жие bera vápn; подня́ть ору́жиена кого-л.hátíð.takaслнó-ó-itil vápnannamóti o-m; си́лой ору́жия við vápnamakt, við vápnamegi; това́рищ по ору́жию vápnabróðir; печа́ть - могу́чее ору́жиеfl.pressan er eitt máttmikið vápn; ору́жие в борьбе́ про́тивGenfl.eitt vápn í bardagаnum mótiДат=>а́томный,биологи́ческий,зо́на1,испыта́ние1,ко́лющийII II,обрати́ть1,обы́чный@,огнестре́льный,ОМП,ОМУ,та́бельный,уничтоже́ние1,хими́ческий2,холо́дный@,я́дерный
Орфе́й	mOrfeus [ɔɹ̥fœus]м0-ar({0<>i})
орфографи́ческий	adjrættskrivingar-; орфографи́ческие пра́вила rættskrivingarreglur; орфографи́ческий слова́рь rættskrivingarorðabók
орфогра́фия	frættskrivingж0-ar; stavsetingж0-ar(написание)
орфоэпи́ческий	adjúttalu-; framburðar, sum vísir rætta úttalu, sum vísir rættan framburð; орфоэпи́ческий слова́рь úttaluorðabók, framburðarorðabók
орфоэ́пия	f1.(правила) reglurжгл-aмнfyri rættari úttalu, reglurжгл-aмнfyri røttum framburði2.(произношение) røtt úttalaжгл-a, rættur framburðurмсогл-ir
орхиде́я	f(сем. Orchideae) orkide [ɔɹ̥kʰiꞋteː]ж0-ir
О́рхус	mÅrhus [ɔːɹhuːs]м0{дат.0}
оря́сина	fóvkm.1.(палка,дубина) gassiмгл-i2.(о человеке) óskaffiligur [-Ꞌska-], býttur slánurмсогл-ar
ОС	[о́-э́с]findeclоперацио́нная систе́ма stýriskipan
оса́	plurо́сы, ос, о́самf(сем. Vespidae) vespaжгл-a, vepsннкж0-ir
ОСА́ГО	[оса́го]n indeclобяза́тельное страхова́ние автомоби́ля гражда́нской отве́тственности владе́льцев тра́нспортных средств lógarkravd ábyrgdartrygging [-pɪɹt-] fyri eigarar av akførum
оса́да	fkringsetingж0-ar; снять оса́ду takaслнó-ó-ikringsetingina av
осади́ть1	Iосажу́, осад|и́шь, ~я́тogоса́д|ишь, ~ятpf(ipfосажда́ть)1.что-л.(подвергнуть осаде) kringsetaur(t);ir(t)o-t2.кого-л. чем-л.tlm.(обременить просьбами) veraслнa-ó-eá kroppinumá o-m, gangaслнe-i-iá o-n
осади́ть2	IIосажу́, осад|и́шь, ~я́тogоса́д|ишь, ~ятpf что-л.1.ipfоса́живать (заставить опуститься вниз) fáaслнe-i-io-tniður; осади́ть сва́ю sláa ein pela niðurí [-Ꞌʊi]; осади́ть о́бруч на бо́чке sláa gjørðina niður á einari tunnu2.ipfосажда́ть (заставить осесть) fáaслнe-i-io-tat botnseta [pɔn̊s-]
осади́ть3	IIIосажу́, осад|и́шь, ~я́тogоса́д|ишь, ~ятpf(ipfоса́живать)1.Acc(остановить) steðga [stεkːa]aðiДат, haldaслнe-i-iДатaftur [aʰtː-] (serl. um ross)2.Acc(заставить податься назад) fáaслнe-i-iВинat hopa aftur [aʰtː-] á hæl3.кого-л.fl.tlm.(дать опор) teppair(t)o-n(одёрнуть); setaur(t);ir(t)o-nupp á pláss (поставить на место)
оса́дка	f1.(почвы,сооружения) sjúnkingж0-ar; setningurмсогл-ar2.skip.(глубина судна) djúpgangurмсогл-s,-ir, dýpd [tʊi̯pt]ж0-ir(судна), djúpgangandiс нескл.проф.; оса́дка су́дна - де́вять фу́тов skipið stingur níggju fót =>ма́ркаI 3
оса́дки	оса́дк|ов, ~амm pluravfall [affatl]с0о
оса́дный	adjkringseting-, kringsetingar-
оса́док	Genоса́дк|а;plur~и, ~ов, ~амm1.(твёрдые частицы) gruggс0о, berskakiмгл-i(á botni,á síðum)2.oftast plurjarðf.(горные породы) legugrýtiсгл-iгеол., sediment [-Ꞌmε-]интс0о(;0-ir)проф.3.fl.(неприятное чувство) eftirsløð [εʰtː-]с0о{0<>i}(ringt følilsi eftir samtalu o.a.), ringur eftirsmakkur [εʰtː-]мсогл-s,-irперен.
оса́дочный	adj1. (коса́дка 1) botnsetingar- [pɔn̊s-]2.veður.(коса́дки) avfals-3.jarðf.(коса́док 2) legugrýtis-, sedimenterur [-Ꞌtʰeː-]интпроф.4.skip.(коса́дка 2) djúpganngs-, dýpdar- [tʊi̯pt
осажда́ть	ipf síосади́тьI, II 2
осажда́ться	bert 3. pers brúktur ipf1.(оседать) setaur(t);ir(t)seg, sjúnkaaði2.(выделяться из жидкости) verða botnsetturсогл, leggjastнепрá botnin3.(об атмосферных осадках) komaслнo-o-oniður (um avfall)
оса́живать	ipf síосади́тьII 1, III
О́сака	fOsaka [oːsaːka]м нескл.
оса́лить	pf síса́лить2
оса́нистый	stfоса́нист, ~а, ~о, ~ыadjbæriligurглigur, hábærsligur [-paʂ-]глigur; prúðurгл(um kropsburð)
оса́нка	fkropsburðurмсогл-ir
оса́нна	fhosianna [-Ꞌanːa]сгл-a(в употреблении как межд.)@петь {восклица́ть} оса́ннукому-л.bókl.hálovaaðio-m
осатане́лый	stfосатане́л, ~а, ~о, ~ыadjtlm.fúkandi óðurгл, í øðini
осатане́ть	pftlm.1.ipfсатане́ть (прийти в состояние крайней злобы) verða fúkandi óðurгл, verða í øðini, verða sansaleysurсогл2.кому-л.(сильно надоесть): мне э́то осатане́ло eg eri deyðamóður av tí
ОСВ	[о-эс-вэ́]n indeclОграниче́ние стратеги́ческих наступа́тельных вооруже́ний SALT [sɔːl̥t]с нескл.(англ.Strategic Arms Limitation Treaty
осва́ивать	ipf síосво́ить
осва́иваться	ipf síосво́иться
осведоми́тель	f1.(тот, кто осведмляеткого-л. о чём-л.) smettariмгл-ari;o-r, sum meldar2. (тот, кто тайно сообщает сведения властьям и т.п.) varskógvariмгл-ari, whistleblowеr [vɪsːɪlplɔuwεɹ]м нескл неформ., публ.
осве́домить	осве́домлю, осве́дом|ишь, ~ятpf(ipfосведомля́ть)Acc o чём-л.upplýsair(t)Вин um o-t, kunnaaðiВин um o-t
осве́домиться	осве́домлюсь, осве́дом|ишься, ~ятсяpf(ipfосведомля́ться)o чём-л.fregnastaðium o-t, spyrjaнепрseg fyrium o-t, kunnaaðisegum o-t
осведомле́ние	nupplýsingж0-ar, kunningж0-ar
осведомлённый	adjupplýsturсогл, vitandiглandi; он хорошо́ осведомлён об э́том hann hevur holla [-tla] vitan um hetta; hann hevur gott skil á hesum, hann er kønur í hesum (разбирается); из хорошо́ осведомлённых круго́в frá væl vitandi fólki
осведомля́ть	ipf síосве́домить
осведомля́ться	ipf síосве́домиться
освежа́ть	ipf síосвежи́ть
освежа́ться	ipf síосвежи́ться
освежева́ть	pf síсвежева́ть
освеже́ние	nuppfrískingж0-ar
освежи́тель	m: освежи́тель во́здуха lukfjernariннкмгл-arriпроф.
освежи́тельный	stfосвежи́телен, освежи́тельн|а, ~о, ~ыadjsvalandiглandi(прохладительный), uppfrískandiiглandi
освежи́ть	освеж|у́, ~и́шь, ~а́тpf(ipfосвежа́ть)1.что-л.(сделать свежим) geraнепрfrískan (um luft o.a.); svalair(d), kølair(d)(сделать прохладным); дождь освежи́л во́здух regnið gjørdi luftina frískari2.Acc bert 3. pers brúktur(восстановить силы) lívgaaðiВинupp, fáaслнe-i-iВинat ernast3.что-л.(обновить в памяти) uppfrískaaðio-t(vitan o.a.)4.что-л.(обновить,подновить) frískaaðio-tupp; освежи́ть кра́ски на карти́не gera litirnar á málningi frískari, uppfríska litirnar á málninginum5.что-л.tlm.(пополнить новыми лицами) ≈ fáaслнe-i-inýtt blóðí o-t; fornýggja [-Ꞌnʊ-]ннкaðio-t
освежи́ться	освеж|у́сь, ~и́шься, ~а́тсяpf(ipfосвежа́ться)1.bert 3. pers brúktur(стать свежим,чистым,прохладным) blíva frískurсоглsk; blíva svalligurглigur(прохладным); во́здух освежи́лся luftin bleiv frískari; кра́ски освежи́лись litirnir vórðu frískaðir upp2.чем-л. (восстановить силы) lívgastaðiupp, ernastaðiupp; frískastaðiupp; освежи́ться стака́ном со́катжleskaaðiseg við einum glasi av saft3.bert 3. pers brúktur(восстановиться в памяти,возобновить) verða uppfrískaðurглaður(um vitan o.a.)
Осве́нцим	mAuschwitz [ausvɪʰtʃː]с нескл.;м нескл.(polsktOświęcim)
освети́тель	mljósmeistariмгл-ari(í sjónleikarhúsi o.ø.)
освети́тельный	adjljós-; освети́тельная армату́ра ljósarmaturur [-aɹmaˌtʰuːɹ]
освети́ть	освещу́, освет|и́шь, ~я́тpf(ipfосвеща́ть)1.Acc(чем-л.) (сделать светлым) lýsair(t)Винupp (við o-m); луна́ освети́ла поля́ну mánin lýsti beran upp; освети́ть фонарём доро́гу lýsa vegin upp við einari lykt2. (снабдить осветительными установками) leggjaнепрljós inn3.что-л.(оживить,сделать просветлённым) lýsair(t)o-tupp (líva upp); улы́бка освети́ла лицо́ eitt smíl lýsti andlitið [anl-] upp4.что-л.(изложить,истолковать) lýsair(t)o-t; greiðair(d)frá o-m; varpaaðiljósá o-t, belýsa [-Ꞌlʊi-]ннкir(t); dekkaaðio-t(í fjølmiðlum) (о сми)
освети́ться	освет|и́тся, ~я́тсяpf(ipfосвеща́ться)1.(стать освещённым) verða upplýsturсогл2.(оживиться,просветлеть) lýsair(t)upp (um andlit)
осветле́ние	n1.(действие) tað at gera ljósari; bleikingж0-a(зубов др.); avfarvingннкж0-a, avbleikingж0-a(волос) (обесцвечивание)2.fakm. (жидкости и т.п.) kláringж0-ar(av løg o.a.)3.skóg.(отрубить ветви) burturhøggingж0-a(greinar o.tíl.)
осветли́ть	осветл|ю́, ~и́шь, ~я́тpf(ipfосветля́ть)что-л.1.(сделать светлым) geraнепрljósari; bleikjair(t)(зубы и др.); avfarvaннкaði, avbleikjair(t)(о волосах) (обесцветить)2.fakm. (сделать прозрачным) kláraaðio-t(løg o.a.)3.skóg.(отрубить ветви) høggaur(d)o-tburtur (greinar o.tíl.)
осветля́ть	ipf síосветли́ть
освеща́ть	ipf síосвети́ть
освеща́ться	ipf síосвети́ться
освеще́ние	n1.(действие) upplýsingж0-ar, belýsing [-Ꞌlʊi-]ннкж0-ar2.(свет) belýsningur [-Ꞌlʊi̯-]ннкмсогл-ar, ljósс0о3.(оборудование,дающее свет) ljósс0о(útbúnaður,ið gevur ljós); провести́ электри́ческое освеще́ние leggja elektriskt [-Ꞌlεʰtɹ-] ljós inn4.(характер объяснения) frágreiðingж0-ar, lýsingж0-ar; tolkingж0-ar, tulkingж0-ar(толкование); dekningurмсогл-ar(í fjølmiðlum) (в сми) ; собы́тия предста́ли в но́вом освеще́нии hendingarnar vístu seg í einum nýggjum ljósi
освещённость	fljósс0о(ljósintensitetur), ljósintensiteturмсогл-arспец.(verður mált í lux)
освиде́тельствование	nkanningж0-ar; sýnс0о(инспекция); медици́нское освиде́тельствованиe læknakanning
освиде́тельствовать	pf síсвиде́тельствовать4
освиста́ть	освищу́, осви́щ|ешь, ~утpf(ipfосви́стывать)AccpípaaðiВинút
осви́стывать	ipf síосвиста́ть
освободи́тель	m o-r, sum gevur frælsi, befríari [-Ꞌfɹʊi-]ннкмгл-ari
освободи́тельный	adjfrígeringar-, frælsis-
освободи́ть	освобожу́, освобод|и́шь, ~я́тpf(ipfосвобожда́ть)1.Acc(сделать свободным) lataслнæ-ó-aВинleysan, sleppair(t)Датleysum (из тюрьмы и т.п.); fríaaðiВинкн., gevaслнa-ó-iДатfrælsi (дать свободу); освободи́ть страну́ от ра́бства loysa eitt land úr trældómi [tʰralt-]2.Acc от Gen(территорию от врага) befría [Ꞌfɹʊi̯a]ннкaðiВин, fríaaðiВинкн.; освободи́ть страну́ от врага́ befríaннкlandið frá fíggindanum, fríaкнlandið frá fíggindanum3.Acc(высвободить) fáaслнe-i-iВинleysan, sleppair)t)Датleysum; освободи́ть па́лец от повя́зки takaслнó-ó-ibindið av fingrinum, fáa bindið av fingrinum; освободи́ть но́гу из капка́на fáa beinið leyst av felluni [-tl-]; освободи́ть тво́рческие си́лы наро́да sleppa teimum skapandi kreftunum hjá [tʃʰ-] fólkinum leysum, loysa tær skapandi kreftirnar hjá [tʃʰ-] fólkinum4.Acc от чего-л.(избавить) sleppair(t)Дат undan o-m; frítakaслнó-ó-iВин fyri o-t; освободи́тького-л.от штра́фа sleppao-mundan bót, frítakao-nfyri bót; э́то освободи́ло меня́ от мно́гих забо́т hetta spardi mær nógv stríð5.кого-л. (отстранить от обязанностей) loysair(t)o-n(úr starvi o.tíl.); освободи́тького-л.от занима́емой до́лжности loysao-núr tí starvi, hann hevur; освободи́тького-л.от обя́занностей loysair(t)o-nfrá skyldunum6.что-л.(сделать пустым,свободным) tømair(d)o-t, ruddaaðio-t; geraнепрo-tklárt; освободи́ть по́лку от книг tøma hillina [-tl-] fyri bøkur, rudda hillina [-tl-] fyri bøkur; освободи́ть ме́сто для шка́фа geraнепрpláss (klárt) til skápið; освободи́ть ко́мнату faraслнó-ó-aúr kamarinum (so onkur annar kann fáa tað,kann flyta inn í tað o.s.fr.)7.(время для чего-л.) setaur(t);ir(t)tíð av (til o-t)@освобождённый парти́йный рабо́тникsovjet.floksmedarbeiðari í fulltíðarstarvi (á verksmiðju o.ø.,har hann er frítikin fyri annað arbeiði)
освободи́ться	освобожу́сь, освобод|и́шься, ~я́тсяpf(ipfосвобожда́ться)1.(стать свободным) verða frælsurсогл, frígeraнепрseg; fáaслнe-i-ifrælsi (получить свободу); освободи́ться из пле́на sleppa úr fangaskapi; освободи́ться от ра́бства verða loysturсоглúr trældómi [tʰralt-]2.от чего-л.(удалить,снять с себя) verða leysurсоглav o-m, fáaслнe-i-io-tburtur; освободи́ться от но́ши sleppaслнa-u-oav við byrðuna; освободи́ться от те́сной о́буви faraслнó-ó-aúr teimum trongu skónum3.от Gen(избавиться) sleppaслнa-u-oundan Дат; sleppaслнa-u-oav við Вин; frígeraнепрsegfrá Дат; освободи́ться от предрассу́дков sleppa av við fordómarnar, frígera seg frá fordómunum4. bert 3. pers brúktur(стать пустым,доступным) verða tómurсогл; verða klárurсогл, verðа tøkurсогл; такси́ освободи́лось taxabilurin [tʰaʰks-] er leysur; телефо́н освободи́лся telefonin er klár; земля́ освободи́лась от сне́га jørðin er tá; помеще́ние освободи́тся пе́рвого ию́ня hølið verður tøkt fyrsta [fɪsta] juni5.(стать свободным,располагающим временем) fáaслнe-i-iꞋ tíð, fáaслнe-i-iꞋ frí; когда́ ты освободи́шься? nær fært tú tíð?; nær fært tú frí?
освобожда́ть	ipf síосвободи́ть
освобожда́ться	ipf síосвободи́ться
освобожде́ние	n1.(косвободи́ть 1) frígeringж0-ar; frígevingж0-ar(пленных,рабов;захваченных судов и т.п.); leyslatingж0-ar(из-под стражи)2.(территории от врага) befríilsi [-Ꞌfɹʊi-]ннксгл-i, fríanж0-irкн.3.(от обязанности,обязательства и т.п.): освобожде́ние от до́лжности tað at verða loystur úr starvi4.(избавление) undantøkaжгл-a, frítøkaжгл-a; освобожде́ние от упла́ты нало́гов frítøka frá gjaldi av skatti, tað at vera undantikin gjaldi av skatti5.(помещений и др.) tømingж0-ar, fráflytingж0-ar6.(документ) váttanж0-ir(frá lækna um at viðkomandi kann sleppa undan ávísum arbeiði,tímum o.ø.) =>КОНР
освое́ние	n1.(косво́ить 1) tað at nema særo-t, tað at ogna særo-t(kunnleika o.tíl.); освое́ние ремесла́ tað at læra eitt hondverk [hɔnv-],сросво́ить 1 (русскому отглагольному сущ. в переводе часто или предпочтительно соответствует глагольная форма)2.(включение в круг хозяйственной деятельности и др.) veltingж0-arupp úr nýggjum, tað at brótao-tupp úr nýggjum (целины); tað at nemaслнa-u-oo-t, leggjaнепрo-tinn undir seg (покорение),сросво́ить 2 (русскому отглагольному сущ. в переводе часто или предпочтительно соответствует глагольная форма)
осво́ить	осво́|ю, ~ишь, ~ятpf(ipfосва́ивать)что-л.1.(овладеть чем-л.) ognaaðisæro-t(kunnleika o.a.); lærair(d)sego-t; nemaслнa-u-o(sær)o-t(kunnleika o.a.) (знания); осво́ить язы́к læra seg eitt mál; осво́ить но́вую те́хнику ogna sær tann nýggja teknikkin [-Ꞌnɪ-]; kunnastaðivið tann nýggja teknikkin [-Ꞌnɪ-], setaur(t);ir(t)seg inn í tann nýggja teknikkin [-Ꞌnɪ-]2.(обжить) byggjair(d)o-t(gera búgvandi í); dyrkaaðiupp (землю); veltair(t)o-tupp úr nýggjum, brótaслнey-u-oo-tupp úr nýggjum (целину); gagnnýtair(t)o-t, brúkaar(t)o-t(природные богатства); nemaслнa-u-oo-t, leggjaнепрo-tinn undir seg (покорить)
осво́иться	осво́|юсь, ~ишься, ~ятсяpf(ipfосва́иваться)1.(почувствовать себя свободно,привычно) venjastur(d){e/a}{+}við o-t, finnaслнa-u-useg til rættis2.с чем-л.(приобрести знания,навыки) kunnastaðivið o-t, setaur(t);ir(t)seg inn ío-t
освяти́ть	освящу́, освят|и́шь, ~я́тpf(ipfосвяща́ть)1.кого-л.(совершить церковный обряд) ordinera [ɔɹtiˈneː-]aðio-n церк., vígair(d)o-n2.что-л. чем-л. oftast part pass pretfl.hátíð.(сделать почитаемым,священным) ærair(d);aðio-t, virðair(d)o-t; имена́, освящённые сла́вой víðgitin nøvn; обы́чай, освящённый века́ми ein aldagamal siður
освяща́ть	ipf síосвяти́ть
освяще́ние	nvígslaжгл-a
осево́й	adjaksil-; ás- (прялки и др.;машин и др.лп)
оседа́ние	n1.(земли,фундамента) setningurмсогл-ar(um jørð, hús o.a.), sjúnkingж0-ar2.: оседа́ние эритроци́тов blóðsenkningurннкмсогл-arпроф., blóðkroppafall [-tl]лпс0о{a/ø}
оседа́ть	ipf síосе́сть
оседла́ть	pf(ipfосёдлывать)1.síседла́ть2.Acctlm.(сесть верхом на что-л.) setaur(r);ir(t)seg gleivandi tvørturum Вин, gleivaaðitvørturum Вин3.Acctlm.,atf.(полностью подчинить себе) takaслнó-ó-iВинav ræði, setaur(r);ir(t)segá Виннеформ.(leggja undir seg)4.что-л.fl.herm.(занять,охватив) bítaслнei-i-iseg fastan báðumegino-t
осе́длость	fføst búsetingж0-ar, tað at vera fast búsitandi (um fyrrverandi nomadar)@черта́ осе́длостиsøg.landaøki í Vesturrusslandi, har jødum var loyvt at búgva uttan serligt loyvi(í Russlandi til 1917)
осёдлывать	ipf síоседла́ть
осе́длый	stfосе́дл, ~а, ~о, ~ыadjbúfasturсогл{a/ø}, fast búsitandiглandi(t.e. sum ikki fjakkar)
осека́ться	ipf síосе́чься
осёл	Gen, Accосл|а́;plur~ы́, ~о́в, ~а́мm1.(животное) (Equus asinus) esilс0осн, ásinнпс0осн, asniнпмгл-i2.óvkm.,illb.(о человеке) eitt býtt (og treiskt) apparat [-Ꞌraːt]энкс0о(;0-ir)презр., neytс0опрезр.=>Бурида́нов
оселе́дец	Genоселе́дц|а;plur~ы, ~ев, ~амmgml.hárføsilм0осн-s,-arupp úr krúlli [-tlɪ] (á annars kannkollutum høvdi,hjá zaporozjekosakkum o.ø.)
осело́к	Genоселк|а́;plur~и́, ~о́в, ~камm1.(точильный камень) brýniсгл-i2.tekn.(пробирный камень) probersteinur [-Ꞌpeː-]мсогл-arспец.3.fl.(средство проверки,испытания) royndж0-ir(sum vísir o-t um o-t)
осемене́ние	n: иску́сственное осемене́ние ísáingж-ar; inseminatión [-Ꞌʃɔun]ж0-ir(о людях)
осеменённость	f(бактериологическая) kimtal [kʰiː-]с0о{a/ø}
осемени́ть	осемен|ю́, ~и́шь, ~я́тpf(ipfосеменя́ть)Accísáaar(d);aðiВин; inseminera [-Ꞌneː-]интaðiВин
осеменя́ть	ipf síосемени́ть
осени́ть	осен|ю́, ~и́шь, ~я́тpf(ipfосеня́ть)Acc1.gml.(покрыть густой тенью,мраком) hyljaur(d){y/u}{+}Вин í o-m(myrkur,skugga); kastaaðiskuggaá Вин(тенью); sígaслнei-i-iá Вин; ночь осени́ла поля́ náttin huldi akrarnar, náttin seig á akrarnar2.hátíð.(овеять) umgyrðair(d)Винперен.; знамёна осенены́ побе́дой merkini eru umgyrd av sigri3.bert 3. pers brúkturfl. (о мысли,идее и т.п.) komaслнo-o-oДатtil hugs, rennaслнa-u-ufram fyriВин; дога́дка осени́ла его́ knappliga ánaði hann tað, knappliga fekk hann ein varhuga av tí, knappliga grunaði hann tað; его́ осени́лоópnú skilti hann tað =>крест2
осе́нне-нересту́ющий	adjheystgýtandiглandi
осе́нний	adjheyst-, heystar-
о́сень	fheystс0о; э́той о́сенью í heyst; по о́сениgml.,óvkm.um heystið=>глубо́кий5,цыплёнок@
о́сенью	advum heystið, á heysti (вообще или той осенью); í heyst (этой осенью); um heystarnar (вообще)
осеня́ть	ipf síосени́ть
осерди́ться	осержу́сь, осе́рд|ишься, ~ятсяpf на Accgml.,óvkm.blívaслнei-i-ióðurvið Вин, blívaслнei-i-iillur [ɪtl-]við Вин; ilskastaðiinn á Вин
осерча́ть	pf síсерча́ть
осе́сть	ося́д|у, ~ешь, ~ут;pretосе́л, ~а, ~о,~иpf(ipfоседа́ть)1.bert 3. pers brúktur(о земле,фундаменте) setaur(t);ir(t)seg, sjúnkaaði2.bert 3. pers brúktur(опуститься слоем) leggjastнепр; leggjastнепрá botnin, søkkaслнa-u-oniður á botnin (на дно); пыль осе́ла на куста́х støvið legðist [lεijɪst] á runnunum; ско́ро ося́дет роса́ skjótt fer døggin at leggjast; муть осе́ла на дне ба́нки gruggið legðist [lεijɪst] á botninum á glasinum; гу́ща осе́ла на дно кувши́на gruggið sakk niður á botnin á kannuni3.(медленно опуститься,упасть) signaaði, hoknaaðiniður4.(поселиться) búsetaur(t);ir(t)seg, setaur(t);ir(t)búgv; verða búfasturсогл{a/ø}(um nomadar o.a.)
осети́н	mosetinari [-Ꞌtʰiː-]мгл-ari, oseti [-Ꞌseː-]мгл-i
осети́нка	plurосети́н|ки, ~ок, ~камfosetinari [-Ꞌtʰiː-]мгл-ari, oseti [-Ꞌseː-]мгл-i(konufólk)
осети́нский	adjosetinskur [-Ꞌtʰiː-]соглsk, osetiskur [-Ꞌseː-]соглsk; осети́нский язы́к osetisktсприлskt, osetinsktсприлskt
Осе́тия	fOsetia [-Ꞌseː-]с нескл.; Респу́блика Се́верная Осе́тия - Ала́ния Lýðveldið Norðurosetia-Alania [aꞋlaː-]; Ю́жная Осе́тия Suðurosetia
осётр	Gen, Accосетр|а́;plur~ы́, ~о́в, ~а́мm(Acipenser) styrjaжгл-a; атланти́ческий осётр (A. sturio) styrja
осетри́на	fstyrjaжгл-a(sum matur)
осетро́вые	m plur(Acipenseridae) styrjufiskarмсогл-arмн, styrjurжгл-aмн
осетро́вый	adjstyrju-; осетро́вая икра́ kaviarur [-Ꞌaːɹ-]мсогл-ar(av styrju)
осе́чка	plurосе́ч|ки, ~ек, ~камf1.(об оружии) klikkс0о(um vápn); дать осе́чку klikkjair(t)(um vápn)2.tlm.(неудача): дать осе́чку miseydnast; у него́ вы́шла осе́чка tað lukkaðist ikki hjá [tʃʰ-] honum, tað glapp niðurfyri [-Ꞌfiː-] hjá [tʃʰ-] honum
осе́чься	осеку́сь, осечёшься, осеку́тся;pretосе́ксяogосёкся, осе́класьogосекла́сь, осе́клосьogосекло́сь, осе́клисьogосекли́сьpf(ipfосека́ться)1.(умолкнуть) bráðtagnaaði; stankaaði, stanklaaði(запинаться)2.tlm.(потерпеть неудачу) havaнепрóheldннкvið sær
оси́ливать	ipf síоси́лить
оси́лить	оси́л|ю,~ишь, ~ятpf(ipfоси́ливать)1.Acc(одержать верх в борьбе и т.п.) vinnaслнa-u-uá Дат, fáaслнe-i-ibilbugtvið Дат, basaир(т)Дат{Вин}, knábusaaðiДат2.что-л. tlm.(справиться) kláraaðio-t, fáaнепрbilbugtvið о-m; knávaaðio-t(с трудом)@доро́гу оси́лит иду́щийorðt.≈ flúgvandi fuglur fær fong, heima situr svøltandi krákaпосл.
оси́на	f(Populus tremula) øspж0-ir{ø/a}
оси́нник	masparskógж0-ir
оси́новый	adjaspar-@дрожа́ть как оси́новый листskelva sum eitt bókarblaðпог.
оси́ный	adjvespu-, vepsar-ннк; оси́ное гнездо а) (гнездо ос) vespubúgvс0о{+}, vespubýliсгл-i, vespureiðurс0осн; b)fl.(скопление людей) vepsareiðurс0осн, vespureiðurнпс0осн(fjøld av fólki)@оси́ная та́лияvepsataljaжгл-a
оси́плый	stfоси́пл, ~а, ~о, ~ыadjhásurсогл
оси́пнуть	pf síси́пнуть
Оси́рис	mmyt.Osiris [-Ꞌsiː-]м0-ar({0<>i})
осироте́лый	stfосироте́л, ~а, ~о, ~ыadj1.(ставший сиротой) sum er blivin foreldraleysur [-Ꞌεl-]согл2.(потерявший близкого человека) sum hevur mist skyldfólk [ʃɪl̥f-], sum hevur mist góðan vin3.(покинутый владельцами;опустелый) sum fólk eru rýmd frá; tómurсогл, oyðinсоглосн
осироте́ть	pf1.(стать сиротой) verða foreldraleysur [-Ꞌεl-]согл; missair(t)annað av foreldrunum [-Ꞌε-] (потерять одного из родителей)2.(потерять близкого человека) missair(t)skyldfólk, missair(t)góðan vin3.bert 3. pers brúkturfl.(опустеть) verða tómurсогл; verða fólkatómurсогл(безлюдный)
оска́л	mtað at vísa tenninar, glettс0оред.
оска́ливать	ipf síска́лить
оска́ливаться	ipf síска́литься
оска́лить	pf síска́лить
оска́литься	pf síска́литься
оскальпи́ровать	pf síскальпи́ровать
осканда́ливать	ipf síосканда́лить
осканда́ливаться	ipf síосканда́литься
осканда́лить	осканда́л|ю, ~ишь, ~ятpf(ipfосканда́ливать, сканда́литьсканда́л|ю, ~ишь, ~ят)кого-л.tlm.(поставить в неловкое положение) setaur(t);ir(t)o-ní eina pínliga støður; geraнепрo-mfyri skommum; blamera [-Ꞌmeː-]ннкaðio-n, skandalisera [-taːliꞋseː]ннкaðio-nред.(осрамить)
осканда́литься	осканда́л|юсь, ~ишься, ~ятсяpf(ipfосканда́ливаться, сканда́литьсясканда́л|юсь, ~ишься, ~ятся)tlm.(попасть в неловкое положение) komaслнo-o-oí eina pínliga støðu; geraнепрsær fyri skommum; blamera [-Ꞌmeː-]ннкaðiseg (осрамиться)
оскароно́сец	plurоскароно́сц|ы, ~ев, ~амm tlm.Oscar-vinnari [ɔsk-]мгл-ari
оскароно́сный	adjsum hevur fingið Oscar-heiðurslønina [ɔsk-]
оскверне́ние	nvanhalganж0-ir; dálkanж0-ir(запятнение)
оскверни́тель	mhátíð.o-r, ið vanhalgar
оскверни́ть	оскверн|ю́, ~и́шь, ~я́тpf(ipfоскверня́ть)что-л.bókl.vanhalgaaðio-t; dálkaaðio-t(запятнать)
оскверня́ть	ipf síоскверни́ть
оскла́биться	оскла́блюсь, оскла́б|ишься, ~ятсяpf(ipfосклабля́ться)tlm.grínaслнei-i-i, flennair(t), glettair(t)á tonn (с насмешкой;с обнажёнными зубами)
осклабля́ться	ipf síоскла́биться
оскли́злый	stfоскли́зл, ~а, ~о, ~ыadjtlm.slímuturсогл; sliputurсогл(водоросли,рыбья кожа и др.); hálurсогл(скользкий)
