п.1	I паде́ж
пожу́хлый	stfпожу́хл, ~а, ~о, ~ыadj síжу́хлый
пожу́хнуть	pf síжу́хнуть
по́за	f1.(положение тела) likamsstøða [-støːva]жгл-a, kropsstøða [-støːva]жгл-a; приня́ть по́зу seta seg í eina støðu [støːvʊ]2.fl.(притворство) tilgjørd støða [støːva]жгл-a, uppgjørd atferðж0-ir, skaput atferðж0-ir@(в)стать в {приня́ть} по́зукого-л.látastслнæ-ó-áat verao-r
позаба́вить	позаба́влю, позаба́в|ишь, ~ятpf кого-л.stuttleikaaðio-m
позаба́виться	pf síзабавля́ться
позабо́титься	pf síзабо́титься
позабыва́ть	ipf síпозабы́ть
позабы́ть	позабу́д|у, ~ешь, ~утpf(ipfпозабыва́ть)tlm.síзабы́ть
позави́довать	позави́ду|ю, ~ешь, ~ютpf Datverða avundsjúkurсогл(inn)á Вин, øvundaaðiВин{Дат} (o-t); ему́ не позави́дуешь hann er ikki at øvunda
поза́втракать	pf síза́втракать
позавчера́	adv(í) fyrradagin; позавчера́ ве́чером (í) fyrrakvøldið
позагора́ть	pf1.(загорать некоторое время) sólaaðisær (eina løtu,eitt sindur)2.tlm.(о вынужденном бездействии) sitaслнa-ó-ihendur í Ꞌ favn, sitaслнa-ó-ifyri Ꞌ einki
позади́	Iadv1.síсза́диI 12.(в прошлом) liðin, farin (um tíð); са́мое тру́дно позади́ tað ringasta er farið afturum [aʰtːʊɹꞋʊmː]IIprep + GenꞋ aftan [aʰtː-] fyri +Вин
позаи́мствовать	pf síзаи́мствовать
позанима́ться	pffáastслнe-i-iviðВин(eina ávísa tíð); íðkaaðio-t(о спорте,искусстве и т.п.) (eina ávísa tíð); lesaслнa-ó-io-t(eina ávísa tíð) (почитать)
позапро́шлый	adj: позапро́шлый год fyrra árið [fɪɹːɔaɹɪ]; в позапро́шлом году́ í fyrra árið; в позапро́шлом ме́сяце fyri tveimum mánaðum síðani
позаре́з	advtlm.móvkm.endiliga, absolutt [aʰpsaꞋlʊʰtː]ннк; hvussu víkur og vendir; ему́ позаре́з нужны́ де́ньги hann hevur harðliga pengar fyri neyðini; ему́ позаре́з на́до домо́й hann má endiliga til hús; hann má til hús, hvussu (so) víkur og vendir
поза́риться	pf síза́риться
позва́ть	pf síзвать
позволе́ние	nloyviсгл-i; проси́ть позволе́ния biðja um loyvi, biðja lova sær; с на́шего позволе́ния við tygara loyviкн.@с позволе́ния сказа́тьparent.a) (извинение) orsaka (at eg sigi tað); b)spott. sokallaður [-tl-], skal eitast at vera; э́тот, с позволе́ния сказа́ть, учёный hesin sokallaði vísindamaðurin; tað er tann vísindamaðurin, ið vera skalпренебр.
позволи́тельный	stfпозволи́телен, позволи́тельн|а, ~о, ~ыadjloyviligurглigur, loyvdurсогл
позво́лить	позво́л|ю, ~ишь, ~ятpf(ipfпозволя́ть)Dat что-л., + inf1.(дать разрешение) lovaaðiДат o-t{at + инф.}(loyva), sleppair(t)Дат o-t{at + инф.}, lataслнæ-ó-aДат o-t{инф.}, loyvair(d)Дат o-t{at + инф.}тжофиц.; он позво́лил нам кури́ть в ко́мнате hann lovaði okkum at roykja í verilsinum, hann læt okkum (sleppa at) roykja í verilsinum; позво́льте мне пойти с ва́ми lat meg sleppa við tykkum, lova mær við tykkum; е́сли врач позво́лит - за́втра вста́ну vissiннкlæknin lovar mær, so fari eg upp í morgin; позво́льте мне от и́мени... loyvið mær vegna ... (brúkt í inngangi til røðu); всё позво́лено alt er loyvt2.(дать возможность) geraнепрo-tmøguligt [møːvʊ-]hjá[tʃʰ-]Дат; обстоя́тельства не позво́лили мне ...тжumstøðurnar forðaðu mær í ...; е́сли пого́да позво́лит um veðrið [vεkɹɪ] er til vildar, um viðrar [vɪkɹaɹ]; э́то позво́лит им купи́ть... hetta ger tað møguligt hjá teimum at keypa...@позво́лить себе́loyvaнпir(d)sær , tillátaннкслнæ-ó-ásær; он мо́жет позво́лить себе́ э́то hann kann tillátaннкsær tað; я позво́лю себе́ обрати́ться к вам eg loyvi mær at venda mær til tygara; позволя́ть себе́ сли́шком мно́го loyva sær nakað nógv, tillátaннкслнæ-ó-ásær nakað nógv;позво́ль(те)!a) (вежливая фраза обращения) ger so væl; orsaka (разрешите); позво́льте, ваш биле́т billettina [-Ꞌlε-], takk; вы загороди́ли вход, позво́льте orsaka, men tygum standa fyri í durunum; b) (выражение несогласия) nei, orsaka meg (við ósemju)
позволя́ть	ipf síпозво́лить
позвони́ть	pf síзвони́ть
позвони́ться	pf síзвони́ться
позвоно́к	Genпозвонк|а́;plur~и́, ~о́в, ~амmgeisliмгл-i(í ryggi); ше́йные позвонки́ hálsgeislar
позвоно́чник1	Imryggurмсогл-s,-ir;-ar-ir(rað av geislum)
позвоно́чник2	IImtlm.,skemt.,spott.(о том,кто занял должность по протекции)o-r, ið hevur fingið starv vegna kennskap o.tíl
позвоно́чные	plur(подтип Vertebrata) ryggdjórс0омн, geisladjórс0омн
позвоно́чный	adjryggjar-; позвоно́чный столб ryggurмсогл-s,-ir;-ar,-ir(rað av geislum)
по́здний	[-зн-]adj1.(не ранний) seinurсогл; бо́лее по́здний seinni [sai̯tnɪ]; са́мый по́здний {поздне́е всех} tann síðsti, tann seinasti; по́зднее ле́то (последняя часть лета) seinni partur av sumrinum,sbr.2; по́здний романти́зм seinromantikkur, síðromantikkurкн.; по́здним ле́том seint á sumri; уж по́здний час {вре́мя уже́ по́зднее} tað er longu seint; tað er longu langt útliðið (á dagin)2.(задержавшийся) seinurсогл(ið kemur seint); по́здний гость ein seinur gestur; по́зднее ле́то eitt seint summar,sbr.1; весна́ была́ по́здняя várið kom seint3.(об овощах и т.п.) seinurсогл(um eplasløg o.tíl.)@са́мое по́зднееí seinasta lagi; са́мое по́зднее в сре́ду {не поздне́е среды́} í seinasta lagi mikudagin, ikki seinni [sai̯tnɪ] enn mikudagin =>весна́,ве́чер1,ночь
по́здно	[-зн-]Iadv compпоздне́е og по́зже seintIIpredtað er seint@лу́чше по́здно, чем никогда́betri seint enn ongantíð =>ра́но@
поздоро́ваться	pf síздоро́ваться
поздорове́ть	pf síздорове́ть
поздоро́виться	pf óptlm.: ему́ не поздоро́вится hetta kemur honum aftur [aʰtː-] um brekkuпог.; hann skal ikki rósa av ferðiniпог.
поздрави́тель	m o-r, sum ynskir til lukku, gratulantur [kɹaːtuˈla-]ннкмсогл-ar
позрави́тельница	fo-r, sum ynskir til lukku, gratulantur [kɹaːtuˈla-]ннкмсогл-ar(konufólk)
поздрави́тельный	adj: поздрави́тельная телегра́мма lukkuynskitelegramm
поздра́вить	поздра́влю, поздра́в|ишь, ~ятpf(ipfпоздравля́ть)кого-л. с чем-л.ynskjair(t)o-mtil Ꞌ lukkuvið o-m, gratulera [kɹaːtuꞋleː-]ннкo-n við o-m; поздра́витького-л. с Но́вым го́дом ynskjao-mgott nýggjár; поздравля́ю til Ꞌ lukku (eis.spott.)@с чем тебя́ и поздравля́юtlm.,spott.til lukku við tíирон.
поздравле́ние	ntað at ynskja til lukku, lukkuynskiсгл-i, gratulatión [kɹaːtʊlaꞋʃɔun]ннкж0-ir; нового́дние поздравле́ния nýggjársynskir
поздравля́ть	ipf síпоздра́вить
позёвывать	ipftlm.geispaaðiav og á
позелене́лый	stfпозелене́л, ~а, ~о, ~ыadjgrønkaðurглaður; eirgrønurсогл, eirginginсоглосн(о меди и др.)
позелене́ть	pf síзелене́ть
поземе́льный	adjjarðar-; поземе́льный нало́г jarðarskattur
позёмка	plurпозём|ки, ~ок, ~камfjarðrok [jaɹ:-]с0о
позёр	mbókl.,atf.uppgjørt fólkс0o, skapс0o, apuspjótс0oпренебр.
позёрство	nbókl.,atf.uppgerðж0-ir, skapс0о
по́зже	[по́жːе]comp avпо́здно seinni [sai̯tnɪ]; не по́зже чем в четве́рг ikki seinni enn hósdagin, í seinasta lagi hósdagin; seinast hósdagin
по-зи́мнему	advvetrarliga, sum um veturin; оде́т по-зи́мнему í vetrarklæðum
пози́ровать	пози́ру|ю, ~ешь, ~ютipf1.(кому-л.) standaслнó-ó-amodell [-Ꞌtεlː] (hjá o-m), sitaслнa-ó-ifyri (hjá o-m)2.bókl.,atf.(рисоваться) geraнепрseg Ꞌ til, geraнепрseg Ꞌ upp, skapaaðisær
позити́в	mpositivс0о(;0-ir)(fotomynd), rættmyndлпж0-ir
позитиви́зм	mpositivisma [-Ꞌvɪ-]жгл-a
позитиви́ст	mpositivistur [-Ꞌvɪ-]мсогл-ar
позити́вный	stfпозити́в|ен, ~на, ~но, ~ныadj1.bert lffoto(о фотографии) positivurсогл2.gml.(основанный на фактах) positivurсогл(grundaður á sannroyndir)3.bókl.(положительный) positivurсогл, jaligurнпглigur
позитро́н	mpositron [poːsiˈtʰɹoːn]ж0-irспец.
позициони́ровать	позициони́ру|ю, ~ешь, ~ютipf/pf1.что-л.(разместить в опредленное место) setaur(t(;ir(t)o-tupp á pláss, fáaслнe-i-io-tupp á pláss2.: позициони́ровать себя́ positionera [pʰosiːʃoˈneː-]aðisegнеформ.,geraнепрseg til reiðar
позицио́нный	adj1.herm.: позицио́нная война́ skotgravakríggj2.talv.(в шахматах) positionellur [pʰosiːʃoꞋnεlː-]соглпроф.,шахм.; позцио́нная игра́ positionell telving
пози́ция	f1.(положение) støða [støːva]жгл-a2.herm.(место расположения войск) støða [støːva]жгл-a, positión [pʰoːsiꞋʃɔun]ннкж0-ir; огнева́я пози́ция artillarístøða [-Ꞌrʊi-]3.(точка зрения) støða [støːva]жгл-a, sjónarmiðс0о{0<>i}, áskoðanж0-ir; заня́тькакую-л.пози́цию taka onkra støðu; определи́ть свою́ пози́цию по отноше́ниюк Dattakaслнó-ó-istøðutil Вин4.(положение тела,поза) positión [pʰoːsiꞋʃɔun]ж0-ir(í dansi o.tíl.)5.(пункт) punktс0о(;0-ir)(á lista o.tíl.) =>выжида́тельный,сдать@
позлати́ть	позлащу́, позлат|и́шь, ~я́т(ipfпозлаща́ть) kirk., bókl., skald., gml.1.что-л.(покрыть позолотой) forgylla [-ˈtʃɪtla]ir(t)o-t,gylla [tʃɪtla]ir(t)o-t2.oftast part pass pret что-л. munnl.(придать золотистый свет) gylla [tʃɪtla]]ir(t)o-t,roðaaðio-tí gulli [-tlɪ] (um sólina o.a.)
позлаща́ть	ipf síпозлати́ть
позли́ть	позл|ю́, ~и́шь, ~я́тpf Acctlm.ertair(t)Вин(eina ávísa tíð) (дразнить)
позна́бливать	ipftlm.kulsaaðieitt sindur
познава́емость	fbókl.tað at erkenna [-Ꞌtʃʰε-], tað at sannkennaкн.; познава́емость ми́ра møguleikin at erkenna heimin
познава́емый	stfпознава́ем, ~а, ~о, ~ыadjbókl.sum kann erkennast [-Ꞌtʃʰε-], sum kann sannkennastкн.
познава́тельный	stfпознава́телен, познава́тельн|а, ~о, ~ыadj1.bókl.(кпозна́ние) erkennilsis- [-Ꞌtʃʰε-], sannkenningar-кн., kognitivurсоглспец.,проф.2.(способствующий познанию,расширению знаний) upplýsandiглigur; познава́тельное значе́ние литерату́ры tann upplýsandi týdningurin, bókmentir hava
познава́ть	ipf síпозна́ть
познава́ться	позна|ю́сь, ~ёшься, ~ю́тсяipfverða kendurсогл, kennastir(d); друзья́ познаю́тся в беде́orðt. tað er í neyðini, tú kennir vinir tínar
познако́мить	pf síзнако́мить
познако́миться	pf síзнако́миться
позна́ние	n1.filos(кпозна́ть 1) erkennilsi [-Ꞌtʃʰε-]сгл-i, sannkenningж0-arкн.2.plur(совокупность знания) kunnleikiмгл-i, kunnskapurмсогл-ir; облада́ть зна́ниямив чём-л.hava góðan kunnleikaí o-m=>дре́во@
позна́ть	pf(ipfпознава́ть)1.что-л.(приобрести знание) fáaслнe-i-ikunnleikaum o-t; erkenna [-Ꞌtʃʰε-]ir(d)o-tфилос., sannkennair(d)o-tкн.филос.2.Acc(получить какие-л. представлении о чём-л., ком-л.) kunnaaðisegvið Вин;lærair(d)Вин at kenna(узнать что-л., кого-л. вполне)3.кого-л.gml.,bíbl.(иметь половую связь) kennair(d)o-n библ., haldaслнe-i-iseg til o-n библ.(hava samlív við o-n)4.что-л.(испытать,пережить) kennair(d); líðaслнei-i-i, tolair(d); upplivair(d)(að)@позна́й самого́ себя́kenn teg sjálvan
позоло́та	fforgylling [-Ꞌtʃɪtl-]ннкж0-ar, gylling [-tl-]нпж0-ar
позолоти́ть	pf síзолоти́ть=>пилю́ля@
позо́р	mskommж0-ir{o/a}; како́й позо́р! á, denn skomm!; стыд и позо́р! tað er bæði synd og skomm!; он позо́р для семьи́ hann er ein skom fyri familjuna [-Ꞌmɪ-], hann er ein skendsil [ʃεn̊sɪl] fyri familjuna [-Ꞌmɪ-]; э́то для́ него́ позо́р hann átti at skammast; hetta er stór skomm (fyri hann); э́то стра́шный позо́р! hetta er ein vanærilig [-Ꞌεa-] skomm!; позо́р им! tey áttu at skammast!@вы́ставить {отда́ть}кого-л.на позо́р≈ setao-ní gapistokkперен.,идиом.=>навле́чь,покры́ть@
позо́рить	позо́р|ю, ~ишь, ~ятipf(pfопозо́ритьопозо́р|ю, ~ишь, ~ят)AccgeraнепрДатfyri skommum; blamera [-Ꞌmeː-]ннкaðiВин
позо́риться	позо́р|юсь, ~ишься, ~ятсяipf(pfопозо́ритьсяопозо́р|юсь, ~ишься, ~ятся)Accgeraнепрsær fyri skommum; blamera [-Ꞌmeː-]ннкaðiseg
позо́рище	ntlm.skommж0-ir
позо́рный	stfпозо́р|ен, ~на, ~но, ~ныadjskammiligurглigur, vanæruligur [-Ꞌεa-]глigur; tað er skomm ...; позо́рный посту́пок skemdargerð, vanærulig gerð; позо́рная оши́бка skammiligur feilur, vanæruligur feilur =>столб@
позуме́нт	mpyntisnórurмсогл-ar(á møblum o.tíl.)
позы́в	m1.(ощущение физиологической потребности) hugurмсогл-ar;-ir, trongdж0-ir(нужда,необходимость); позы́в ко сну hugur at sova, tað at vilja sova; позы́в на рво́ту tað at vilja spýggja2.gml.(желание) hugurмсогл-ar;-ir, ynskiсгл-i
позывно́й	m: позывно́й сигна́л kallibókstavir [-tlɪpœʰks-]-]мсогл-s,-ir;согл-ar{a/ø};согл-arмн, kallisignal [-tlɪsɪknaːl], kenningsbókstavir [pœʰks-]мсогл-s,-ir;согл-ar{a/ø};согл-arмн
позывны́е	plurkallibókstavir [-tl-]мсогл-s,-ir;согл-ar{a/ø};согл-arмн, kallisignal [-tlɪsɪknaːl]с0о(;0-ir), kenningsbókstavir [pœʰks-]мсогл-s,-ir;согл-ar{a/ø};согл-arмн
поигра́ть	pfspælair(d)eitt sindur,ср тжигра́ть
поиздева́ться	pf над Inshaldaслнa-i-iВинfyri spott (eina løtu), havaнепрВинfyri gjøldur (eina løtu); havaнепрВинtil rukku (eina løtu) (иметь как предмет насмешки)
поиздержа́ться	поиздержу́сь, поизде́рж|ишься, ~атсяpftlm.brúkair(t)hvørt oyra
пои́лец-корми́лец	Gen-Accпои́льц|а-корми́льц|а;plur~ы-~ы, ~ев-~ев, ~ам-~амm-mgml.,munn.uppihaldariмгл-ari
пои́лка	plurпои́л|ки, ~ок, ~камf1.(посуда для поения) brynningarrílatс0о{a/ø}2.tlm.,síпои́льник
пои́льник	mtútakoppurмсогл-ar
поимённо	advvið navni; av navni; знать поимённо kenna av navni; называ́ть поимённо nevna við navni; вызыва́ть поимённо rópa nøvnini upp á
поимённый	advnavna-; поимённый спи́сок navnalisti; поимённое голосова́ние atkvøðugreiðsla við navnakalli [-tlɪ]
поименова́ть	поимену́|ю, ~ешь, ~ютpf Accalm.nevnair(d)Вин, roknaaðiВинupp (við navni)
поиме́ть	pftlm.1.(о законченности действия): поиме́ть знако́мство komaнепрat kennast; поиме́ть интере́с fáaслнe-i-iinteressu [ɪn̊tɪꞋrε-]ннкfyri o-m, fáaслнe-i-iáhugaнпfyri o-m; поиме́йте со́весть! tit skuldu skammast!; skammið tykkum!; поиме́йте жа́лость ко мне! takið eitt sindur synd í mær!; поиме́ть в виду́кого-л.{что-л.} havaнепрo-n{o-t} í huga; hugsaaðium o-n{o-t} (подумать)2.(получить) fáaслнe-i-io-t
пои́мка	f1.(задержание) handtøka [hantʰ-]жгл-a2.(вылов) veiðaжгл-a
поиму́щественный	adjognar-; поиму́щественный нало́г ognarskattur
по-ино́му	advøðrvísi, upp á ein annan máta, á annan háttнп
поинтересова́ться	поинтересу́|юсь, ~ешься, ~ютсяpf Insverða interesseraður [-Ꞌseː-]ннкглaðurí Дат, fáaслнe-i-iáhugaнпfyri Дат
по́иск	m1.oftast plur(действие) leitingж0-arтж геол.; sóknanж0-ir(б.ч. об отвлечённых понятиях); в по́искахчего-л.í sóknaneftir[εʰtː-]o-m; по́иски и́стины sóknan eftir [εʰtː-] sannleikanum; вести́ по́иски не́фти leita eftir [εʰtː-] olju2.herm.(способ разведки) njósnaraferðж0-ir
поиска́ть	поищу́, пои́щ|ешь, ~утpf Acc,Genleitaaðieftir[εʰtː-]Дат, sóknastaðieftir[εʰtː-]Дат@поиска́ть: тако́го чудака́ (на́до) поиска́ть einum sovorðnum serskølti skal leitast leingi eftir [εʰtː-]; таки́х я́год поиска́ть hesi berini eru frágera góð; таки́х рабо́тников поиска́ть (на́до) hesi starvsfólkini eru tikin úr leikumидиом.
поискови́к	plurпоисковик|и́, ~о́в, ~а́мm1.Gen, Accпоисковика́tlm.(специалист) leitingarserfrøðingurмсогл-ar(í oljuleiting o.ø.)2.Genпоисковика́teld. (компютерная система) leitimaskinaжгл-a, leitariнпмгл-ari, leitilлпм0осн-s,-ar
поиско́вый	adjleitingar-, leiti-; поиско́вая систе́ма leitimaskinaжгл-a, leitariнпмгл-ari, leitilлпм0осн-s-ar; поиско́вое су́дно leitingarskip
по́исковый	adj síпоиско́вый
по-исла́ндски	advá íslendskum [ʊi̯slεn̊sk-], [uʃlεn̊sk-], á íslandskum [ʊi̯slan̊sk-], [uʃlan̊sk-]ннк=>по-ру́сски
по-испа́нски	advá sponskum =>по-ру́сски
пои́стине	advbókl.í roynd og veru, sanniliga, vissuligaкн.
пои́ть	пою́ по́|ишь, ~ят по|и́шь, ~я́т;imperпои́, пои́теipf(pfнапои́тьнапою́ напо́|ишь, ~ят напо|и́шь, ~я́т; imper напои́, напои́те)кого-л.(чем-л.)1.(давать пить) gevaслнa-ó-io-m(o-t) at drekka; brynnair(d)o-m(við o-m) (скот); пои́тького-л. ча́ем gevaслнa-ó-io-mein temunn2.tlm.(давать пить что-л. алкогольное) skeinkjair(t){+}(o-t)fyri o-m(rúsandi løg), gevaслнa-ó-io-m(o-t) at drekka (rúsandi løg)
по-и́хнему	Iadjsum teir {tærж, teyс} vilja hava tað, upp á teirra máta; по-и́хнему э́то называ́ется ... teir kalla [-tla] tað ...IIparentteir {tærж, teyс} halda; eftir [εʰtː-] teirra meining, eftir [εʰtː-] teirra hugsan, eftir [εʰtː-] teirra tykkiкн
пой...	по́й, по́йтеimper avпеть
пойд...	1.пойду́o.s.fr. fut avпойти́2.пойди́, пойди́теimper avпойти́
по́йло	n1.(для скота) løgurмсогл-ir{ø/a}(at geva neytum)2.tlm.(бурда) skvatlс0о, skolс0о(tunnur drykkur o.tíl.); súpanarskolс0о(о супе)
пойм...	1.пойму́, поймёшьo.s.fr. fut avпоня́ть2.пойми́, пойми́теimper avпоня́ть
по́йма	fáarbakkiмгл-i, ið verður undirfløddur um várið
пойма́ть	pf síлови́тьAccfáaслнe-i-ifaturá Дат; пойма́ть престу́пника takaслнó-ó-iein brotsmann, fáa fatur á einum brotsmanni, fangaaðiein brotsmann; пойма́ть ры́бу fáa ein fisk á; пойма́ть радиоста́нцию fáa fatur á einari radiostøð [raː-]; пойма́ть сигна́л бе́дствия hoyrair(d)eitt neyðarkall [-tl], fangaaðieitt neyðarkall [-tl]@пойма́тького-л.на сло́веtakaслнó-ó-io-nupp á orðið =>сеть@
по́йменный	adj síпоёмный
по́йнтер	[-тэр]mpointari [pʰɔi-]мгл-ari
пойти́	пойд|у́, ~ёшь, ~у́т; пошёл, пошл|а́, ~о, ~и;imperпойди́, пойди́теogtlm.поди́, поди́теpfAsíидти́; ребёнок пошёл barnið [-tnɪ] er farið at gangaB 1.faraслнó-ó-a; пойти́ на конце́рт fara til konsert [-Ꞌsε-]; он пойдёт с на́ми hann kemur við okkum, hann fer við okkum; он ме́дленно пошёл к две́ри hann fór spakuliga yvir móti hurðini; пойдём гулять! (kom) lat okkum fara ein túr!; пошли́! lat okkum fara; kom [kʰɔmː] so(, kom [kʰɔmː]); пошли́ в кино́! lat okkum fara í biograf [-Ꞌkɹaːf]!; ну, пошёл ná [nɔː], (men) eg eri farin; пошёл (вон {отсю́да})! slepp tær avstað [aꞋstεa] (hiðani)!2.(об осадках) faraслнó-ó-aat +инф.(um avfall); дождь пошёл tað fór at regna, tað er farið at regna3.(+ inf) (начать) byrjaaðiat+ инф., begynna [-Ꞌtʃɪ-]ннкir(t)at+ инф., faraслнó-ó-aat+ инф.; опя́ть пошли́ спо́ры aftur [aʰtː-] kom klandur í, aftur [aʰtː-] fóru menn upp at klandrast; опя́ть они́ пошли́ руга́ться teir begyntu aftur [aʰtː-] at skeldast, teir fóru aftur [aʰtː-] at skeldast4.tlm.,atf.(начать говорить многословно) faraслнó-ó-aat sjabba (um tað sama)5.в кого-л.(выйти, получиться) bregða [pɹeːa]слнá-u-u{+};непрtil o-n; он пошёл в мать hann bregður [pɹeːv-] til mammuna@е́сли (уж) на то пошло́tlm.er tað neyðugt ..., skal tað endiliga vera ...;(так) не пойдёт!hetta gongur ikki!; ему́пошёл пя́тый годhann gongur á fimta ári;пошёл уже деся́тый год, какон живёт оди́н hetta er (longu) tíggjunda árið, hann býr einsamallur [-tl-];пошёл ты зна́ешь куда́!óf. far at [ɔa] fаnanum til (við tær)!бран.,грубо; far til helvitis (við tær)!бран.,грубо=>далеко́@
пока́	Iadvenn, fyri Ꞌ fyrst [fɪst]; он пока́ у́чится hann gongur í skúla enn, hann gongur í skúla í løtuni; sum er, gongur hann í skúla; он пока́ поживёт у нас hann skal búgva hjá okkum fyribils; побу́дь здесь пока́ verð verandi her fyri fyrst; пока́ всё идёт хорошо́ fyribils gongur alt væl; sum er gongur alt væl; прися́дьте пока́! setið tykkum ímeðan [-Ꞌmeː]!; setið tykkum so leingi; э́то мо́жно пока́ оста́вить tú kanst lata tað vera sum tað er fyri fyrst; он пока́ не у́чится hann gongur ikki í skúla ennIIconj1.(в то время как) meðan, so leingi sum; пока́ шёл дождь, мы сиде́ли до́ма meðan tað regnaði, sótu vi inni; сде́лай э́то, пока́ ещё есть вре́мя ger hetta, meðan enn er tíð; пока́ я жив, я ... so leingi eg livi, ...2.(до тех пор как): пока не inntil, fyrr enn; сиди́ здесь, пока́ он не вернётся verð tú sitandi her, inntil hann kemur aftur [aʰtː-]; пока́ он ещё не ушёл ... áðrenn hann fer ...; meðan hann er her enn ...; пока́ не ко́нчу письмо́, не пойду́ гуля́ть eg fari ikki út at spasera [-Ꞌseː-]ннк, fyrr enn eg eri liðugur við brævið@пока́!tlm.farvæl [faɹꞋvεal], [fɔɹꞋvεal]!;пока́ чтоtlm.sum er, fyribils; я пока́ что дово́лен eg eri nøgdur sum er;пока́(-то) ещёtlm.ikki í bræði, ikki Ꞌ enn á sinni; пока́-то ещё все соберу́тся tað verður ikki í bræði, allir [atl-] verða møttir; tað verður ikki enn á sinni, allir [atl-] verða møttir;на пока́óvkm.(í) eina stutta tíð; взятьчто-л.на пока́ lænao-teina stutta tíð
пока́з	msýningж0-ar, framsýningж0-ar
показа́ние	n1.(свидетельство) vitnisburðurмсогл-ir2.(на суде) frágreiðingж0-ar(í rættinum); показа́ния свиде́теля vitnisfrágreiðing; дать показа́ния суду́ vitnaaðifyri rættinum; снять ского-л.показа́ния avhoyrair(d)o-n(sum vitni)3.oftast plur(прибора) útslagс0о{a/ø}{0<>i}(отклонение стрелки и т.п.); vísingж0-ar; standurмсогл-s,-ir, støða [støːva]жгл-a(уровень); показа́ния мано́метра útslagið á einum manometri [maːnoꞋmeː-]; показа́ния баро́метра barometurstandur [paːɹoꞋmeː-], barometurstøða [paːɹoꞋmeː-]; снима́ть показа́ния со счётчика avlesa málaran, lesa málaran av4.(к чему-л.)lækn.(в медицине) indikatión [-Ꞌʃɔun]ж0-irпроф.(um o-t), ábendingлпж0-ar(um o-t); показа́ния к опера́ции indikatión fyri operatión [-Ꞌʃɔun]=>да́чаI,сня́тие
показа́тель	m1.(данные) merkiсгл-i(tekin); indeksс0о, vísitalс0о{a/ø}(цифровой); э́то показа́тель культу́рного ро́ста hetta er vitnisburður um hækkan av mentunarstøðinum, hetta er ein váttan um hækkan av mentunarstøðinum; показа́тель цен prísindeks, prísvísital2.plur(результаты) avrik [au-]с0о, úrslit [ʏʂ-]с0о; реко́рдные показа́тели в рабо́те metavrik í arbeiðnum3.mat.(цифровое,буквенное выражение) eksponentur [-Ꞌnε-]мсогл-ar, stigvísiлпмгл-i=>ко́рень5,водоро́дный@
показа́тельный	stfпоказа́телен, показа́тельн|а, ~о, ~ыadj1.(характерный) eyðkendur [εʰtʃ-], [εitʃʰ-]согл; sum er eyðkendur [εʰtʃ-], [εitʃʰ-]соглfyri Вин, sum eyðkennir [εʰtʃ-], [εitʃʰ-] (Вин); э́то показа́тельнотжhetta er eitt gott dømi; показа́тельно, что ...тжtað sigur nokk so nógv, at ...; tað er eyðkent [εʰtʃ-] fyri ...2.bert lf(образцовый) mynstur-; показа́тельное хозя́йство mynsturgarður3.bert lf(для всеобщего сведения): показа́тельное выступле́ние (спортивное) uppvísingж0-ar(í ítrótti); показа́тельный суде́бный проце́ссrættarmál, ið er ætlað at vera dømi, serliga øðrum til ávaringar
