Ж	(знак на туалете) «для же́нщин»K, kvinnur (á hurð til toilett)
жесто́ко	advræðuliga, harðliga; жесто́ко ошиби́ться geraнепрeitt ræðuligt mistak, faraслнó-ó-aræðuliga skeivur, takaслнó-ó-aræðuliga feil; жесто́ко обраща́тьсяс кем-л.faraслнó-ó-ailla [ɪtla]við o-m
жестокосе́рдие	ntað at vera harðhjartaður [haɹja-]
жестокосе́рдный	stfжестокосе́рд|ен, ~на, ~но, ~ныadjharðhjartaður [haɹja-]глaður
жестокосе́рдый	stfжестокосе́рд, ~а, ~о, ~ыadjhátíð.,gml.síжестокосе́рдный
жесто́кость	ftað at vera harðhjartaður [haɹja-], brutalitetur [pɹutʰaːliꞋtʰeː-]ннкмсогл-ar, harðskapur [haʂ-]мсогл-ir, fyrilitsloysiсгл-i(пренебрежение); име́ть жесто́кость сказа́ть vera nóg harður av sær at siga
жесто́че	comp avжесто́кий
жёстче	comp avжёсткий
жесть1	Ifblikkс0о(tilfar); лист же́сти blikkpláta
жесть2	II1.inter, jargá, Jesus [ɔijɪsʊs]; pínadoyð, pínadoyð og sáligheit2.pred, jargtað er ræðuligt, tað er forferdiligt [-ˈfε-]энк
жестя́ник	m síжестя́нщик
жестя́нка	plurжестя́н|ки, ~ок, ~камf1.(банка) blikkс0о(ílat), blikkdósж0-ir2.tlm.(кусок жести) blikkpettiсгл-i, blikkplátaжгл-a(лист)
жестяно́й	adjblikk-
жестя́нщик	fblikksláariннкмгл-ari, blikksmiðurмсогл-a,-ir
жето́н	m1.(значок) merkiсгл-i(какого-л. общества); minnispeningurмсогл-arкн.(в память чего-л.)2.(для автомата и т.п.) pengiмгл-i(til automat o.tíl.)3.(в игре) spælimerkiсгл-i
жечь	жгу, жжёшь, жгут;pretжёг, жгла, жгло, жгли;imperжги, жги́теipf1.pfсжечьсо|жгу́, ~ жжёшь, ~жгут; pret ~жёг, ~жгла, ~жгло, ~жгли; imperсожги́, сожги́теAcc(уничтожить огнём) brennair(d)Вин; жечь ста́рые пи́сьма brenna gomul brøv2.что-л.(для отопления,освещения) brennair(d)o-t, lataслнæ-ó-ao-tbrenna, lataслнæ-ó-ao-tloga [luːwa]; жечь дрова́ brenna (pinna)brenni,sbr.5; жечь све́чи brenna ljós (kertuljós); жечь свет lata ljósið loga; зря жечь электри́чество brúkair(t)elektrisitet [eꞋlεʰtɹɪsɪꞋtʰeːt] til onga nyttu3.Acc bert 3. pers brúktur(причинять боль) svíðaсоглei-i-i; па́лец (ужа́сно) жжёт tað svíður ræðuliga illa [ɪtla] í fingrinum; со́лнце жгло ей голову sólin bakaði á høvdið [hœtːɪ] á henni; пе́рец жёг язы́к piparið sveið [svεi] (реже[svai]) á tunguni4.Acc(мучить) nítaсоглei-i-iДат, pínair(d)Вин; э́ти слова́ жгли её hesi orðini nitu henni fast5.: жечь у́голь brenna trækol, 2; жечь ко́фе brenna kaffi; жечь кирпи́ч brenna múrsteinar [mʏ-]
же́чься	жгусь, жжёшься, жгу́тся;pretжёгся, жглась, жглось, жглись;imperжгись, жги́тесьipf1.bert 3. pers brúktur(вызывать ожог) svíðaслнei-i-i, brennaслнa-u-u2.pfобже́чьсяобо|жгу́сь, ~ жжёшься, ~жгу́тся; pret обжёгся, обожгла́сь, обожгло́сь, обожгли́сь; imper обожги́сь, обожги́тесьtlm.(получать ожоги) brennaслнa-u-useg
жж...	жжёшьo.s.fr. pres avжечь
жже́ние	nsviðiсгл-i; я чу́вствую жже́ние в го́рле tað svíður í hálsinum
жжёнка	fpunsurмсогл-ar, punsjurмсогл-ar
жив...	живу́o.s.fr. pres avжить
живе́ц	Gen, Accживц|а́;plur~ы́, ~о́в, ~а́мmlivandi agnс0о{a/ø}(smáfiskur el.a.); лови́ть на живца́ fiska við livandi agni
жив-живёхонек	adjtlm.sprelllivandiглandiнеформ., spillivandiглandiнеформ.
живи́...	живи́, живи́теimper avжить
живи́нка	f: живи́нка в де́леtlm.góður hugurмсогл-ar;согл-ir, eldhugurмсогл-ar;согл-ir
живи́тельный	stfживи́телен, живительн|а, ~о, ~оadjupplívandiглandi, lívgandiглandi, stimbrandiглandi(стимулирующий)
живи́ть	живлю́, жив|и́шь, ~я́тipf Accbókl.stimbraaðiВин, lívgaaðiВин
живи́ца	fbleytt harpiksс0о, bleytt harpeisлпс0о
жи́вмя	adv: жи́вмя житьgml., óvkm.búgvaнепрfast
живмя́	adv síжи́вмя
жи́вность	f kolltlm.alifuglurмсогл-arсобир.(домашняя птица); fenaðurмсогл-irсобир., kríatúrс0омн собир.(овцы,скот); smákyktс0особир., smádýrс0особир.(мелкие животные); grellс0особир., smáfiskurмсогл-arсобир.(мелкая рыба)
жи́во	adv1.(ярко,отчётливо) livandi (áhugavert); жи́во интересова́тьсяInsinteressera [-Ꞌseː-]ннкseg livandi fyriДат, havaнепрlivandi áhuga fyriДат; жи́во предста́вить себе́что-л.livandi hugsa særo-t, síggjao-tlivandi fyri sær; жи́во расска́зывать fortelja [-Ꞌtʰε-] livandi, siga livandi frá; жи́во чу́вствоватьчто-л.livandi følao-t2.(оживлённо) lívliga3.tlm.(быстро) skjótt, kvikliga; жи́во! skunda tær!; kvika tær!; живе́й! skunda tær!; kvika tær!; skjótari!
живогло́т	m óvkm., vanv.øgilм0осн-s,-arog bøðilм0осн-s,-arнеодобр.
живодёр	m1.gml.(тот,кто сдирает кожу)o-r, ið flettir deyð djór2.fl. óvkm.(жестокий человек) bølmenniсгл-i, bøðilм0осн-s,-ar(harðrendur maður)
живо́й	stfжив, жива́, жи́во, жи́выadjI 1.(не мёртвый) livandiглandi, á lívi; живо́е существо́ kyktс0о, livandi vera; живо́й язы́к livandi mál; он ещё жив hann livir enn, hann er á lívi enn, hann er livandi enn; он ещё жив? livir hann enn?; живо́й или мёртвый livandi ella [εtla] deyður; пока́ бу́ду жив so leingi eg livi2.(полный сил) lívligurглandi; sprækinсоглосн(подвижный,энергичный); birgurсогл(бодрый); gløggurсогл, kvikurсогл(at fata) (сообразительный - тж); живы́е глаза́ lívlig eygur; живо́й интере́с livandi áhugi; живо́й ребёнок lívligt barn; живо́й стари́к birgur gamal maður3.(реальный) livandiглandi, virkuligurннкглigur, veruligurнпглigur; жива́я жизнь tað virkuligaннкlívið; изобрази́ть живы́х люде́й lýsa livandi fólk, lýsa fólk av holdi og blóði; жива́я действи́тельность livandi veruleikiнп4.(выразительный,яркий) livandiглandi; lívligurглigur; живо́й слог livandi stílur; живо́е повествова́ние livandi frásøgn; живы́е кра́ски lívligir litir; живо́е воображе́ние livandi fantasiur [fan̊taꞋsiː-]ннкмсогл-s,-ir{0<>i}; живы́е воспомина́ния (ljós)livandi minnir5.(интенсивный,активный) livandiглandi, virkinсоглосн; принима́ть живо́е уча́стиев чём-л.taka aktivanннкlutí o-m, taka virknan lutí o-m; живо́е любопы́тство stórt forvitni; живо́е жела́ние sterkt ynskiIIm: живы́е и мёртвыеbíbl.livandi og deyðIIIn: всё живо́е alt livandi@Nomживчем-л. Имlivir (bara) ío-m; она́ была́ жива́ одно́й наде́ждой hon livdi bara í vónini;быть в живы́хvera livandi, vera á lívi;жив-здоро́вfrískurсоглskog ferðugurглugur;оста́ться в живы́хsleppaслнa-u-o(undan) við lívinum, veraслнa-ó-eeftir [εʰtː-] á lívi;он оди́н оста́лся в живы́хbara hann kom undan við lívinum, bara hann slapp (undan) við lívinum;оста́вшиеся в живы́хtey, sum komu frá tí við lívinum; tey, ið vórðu bjargað (спасшиеся);оста́вить в живы́хlataслнæ-ó-aliva;живо́го ме́ста не оста́витьна ком-л.smyrjaнепрo-nav;живо́го ме́ста не оста́лосьна ком-л.hann var so avsmurdur;жива́я вода́lívsins vatn (í russ. søgnum o.ø.);жива́я о́чередьkøннк, bíðirøðнп(har ein ikki er skrivaður upp frammanundan);жива́я ра́наbeinl.,fl.opið sár;жива́я связьа) (через людей) persónligt [-Ꞌsɔʊ-] samband; b) (постоянная) støðugt samband;жива́я си́лаlivandi kykt (djór og fólk í móts. til mekaniskan mátt);ни одно́й живо́й души́ikki ein livandi sál, ikki eitt (livandi) kykt;ни жив ни мёртвmeira deyður enn livandi;как живо́йlivandi, ljóslivandi; я ви́жу его́ как живо́го eg síggi hann so ljóslivandi fyri mær;по живо́му ре́затьtlm.(порывать связь, отношения) ≈ skeraслнa-ó-oá stokkinumперен., идиом.=>весI @,деньги@,два́I 2,е́ле@,заде́ть@,и́згородь,инвента́рь@,карти́на@,ни́тка@,темпера́мент1,уголо́к@,хлеб@
живопи́сец	Gen, Accживопи́сц|а;plur~ы, ~ев, ~амm(lista)málariмгл-ari, kunstmálariннкмгл-ari
живопи́сный	stfживопи́с|ен, ~на, ~но, ~ныadj1.bert lf(кжи́вопись) málninga-, málara-; живопи́сная мастерска́я atelier [atʰeꞋʎjeː], [atʰeꞋʎjeːɹ]ннкс0опроф.(hjá málara), verkstovaлпжгл-a(hjá málara); живопи́сный портре́т (málað) portrett [pʰɔɹ̥Ꞌtʰɹεʰtː]инт, (málað) andlitsmynd [anl-]нп(í móts. til tekning),sí eis.жи́вопись2.(красивый) pittoreskur [-Ꞌrε-]интсоглред.; náttúruvakurсоглосн{a/ø}(о виде на пейзаж и т.п.); litfagurсоглосн{a/ø}кн., litfríðurгл, litríkurсогл(красочный)3.(о языке,сравнении и т.п.) málandiглandi(um mál,samanberingar o.tíl.)
жи́вопись	f1.(искусство) málningalistж0-ir, málarakunsturннкмсогл-s,-ir, málarí [mɔalꞋrʊi]ннкс0о; занима́ться жи́вописью fáast við at mála; жи́вопись ма́слом oljumáling, máling við olju; акваре́льная жи́вопись akvarellmáling [-Ꞌrεlm-], máling við vatnlitum [vanl-]; шко́ла жи́вописи málaraskúli2.koll(картины) málningarмсогл-arмн, málarí [mɔalꞋrʊi]ннкс0омн; стенна́я жи́вопись veggmálarí, veggmálningar
живородя́щий	adjsum fær livandi ungar
живоры́бный	adj: живоры́бный садо́к brunnurмсогл-ar(til livandi fisk), karс0о{a/ø}(til livandi fisk); живоры́бное су́дно brunnbátur; гибри́дное живоры́бное су́дно hybridbrunnbátur [hyˈpɹi:t-]
жи́вость	flívс0о, lívligheitннкж0-ir
живо́т1	IGenживот|а́;plur~ы́, ~о́в, ~а́мm(часть тела) búkurмсогл-ar; magiмгл-i(желудок); vombж0-urпренебр., шутл.; у него́ боли́т живо́т hann hevur ilt í búkinum; отрасти́ть живо́т fáaслнe-i-ibúk; наби́ть живо́т stappaaðií seg@у меня́ живо́т подвело́tlm.eg eri gorhungraðurглaður
живо́т2	IIGenживот|а́;plur~ы́, ~о́в, ~а́мmgml.(жизнь) lívс0о; не на живо́т, а на́ смерть upp á lív og deyð, um lív og deyð; не щадя́ живота́ uttan at spara seg =>жизнь@
животво́рный	stfживотво́р|ен, ~на, ~но, ~ныadjlívgevandiглandi, lívgandiглandi, sum fær til lívs
живо́тик	m dim avживо́т I =>надорва́ть@
животи́на	fóvkm.húsdjórс0о; бесслове́сная животи́на ómælandi djór
животново́д	mneytaalariмгл-ari, neytabóndiмгл-ur
животново́дство	nneytahaldс0о, neytaalingж0-ar
животново́дческий	adjneyta-, neytahalds- [-hal̥s-]
живо́тное	n1.(живое существо в противоположность человеку) djórс0о, dýrс0о; дома́шнее живо́тное húsdjórс0о, húsdýrс0о2.fl.(о человеке) beistс0о
живо́тный	adj1.(относящийся к живым существам;присущий животному) djóra-, animalskur [aːniꞋma-]ннксоглпроф.; живо́тный мир {живо́тное ца́рство} djóraríkið, djóraheimurin; живо́тный жир animalskt feitt, djórafeitt; живо́тная пи́ща animalskur matur, matur av djórum ; живо́тное ма́сло smør2.fl.(грубый,низменный) dýriskurннксоглsk, djóriskurннксоглsk, sum djór, ráurгл; живо́тная я́рость vill [-tl] øði; живо́тный страх blind ræðsla
животрепе́щущий	stfживотрепе́щущ, ~а, ~е, ~иadjaktuellur [-Ꞌεlː-]согл, sum leikar á, brennandiглandi
живу́честь	f1.(жизнеспособность) lívføriсгл-i, lívsevni [lʊi̯fs-]сгл-i, tað at vera lívseigur [lʊi̯fs-]2.fl.(устойчивость) tað at vera lívseigur [lʊi̯fs-]3.(судна) livitíðж0-ir(hjá skipi)
живу́чий	stfживу́ч, ~а, ~е, ~иadj1.(жизнеспособный) lívseigur [lʊi̯fs-]гл, seiglívaðurглaður, lívsterkur [lʊi̯fs-]согл; живу́чее расте́ние lívseig planta; он живу́ч как ко́шка lívið fæst ikki av honum2.fl.(прочно сохраняющийся) sum heldur sær leingi, lívseigurгл; живу́чий обы́чай lívseigur siður
жи́вчик	m1.tlm.(подвижный человек) lívligtглigurfólkс0о2.(сперматозоид) sáðkyknaжгл-a3.tlm.(биение артерия) sjónligur æðrasláttur [akɹ-]м0осн-ar,-ir;согл-ir
живьём	advtlm.livandi
жи́голо	m indeclgigolo[tʃɪkːolo]мгл-гл
Жигули́1	IЖигул|е́й, ~я́мf plurZjiguli [ʃiːkuꞋliː]с нескл.(herður við ánna Volga)
Жигули́2	IIЖигул|е́й, ~я́мf plur«Zjiguli» [ʃiːkuˈliː]м нескл.(kent bilmerki, uttanlands kent sum «Lada»)
жид	Gen, Accжид|а́;plur~ы́, ~о́в, ~а́мm1.gml.(еврей) jødiмгл-i, gýðingurмсогл-arкн.2.óvkm.,vanv.(презрительное название) jødiмгл-i@ве́чный жидtann ævigi jødin
жи́дкий	stfжи́док, жидка́, жи́дко, жи́дки;compжи́жеadj1.(текучий) flótandiглandi; в жи́дком состоя́нии flótandi, í flótandi líki, í flótandi formi; жи́дкое состоя́ниеfys.flótandi skap, flótandi líki; жи́дкий во́здух flótandi luft; жи́дкая пи́ща flótandi matur, spónamatur2.(недостаточно густой) tunnurсогл; vatnuturсогл(водянистый); tynturсогл(разжиженный); жи́дкий как вода́ sum vatn (tunnur); жи́дкий суп tunn súpan; жи́дкий чай tunt te, svakt te, veikt te; сде́лать бо́лее жи́дким tynnair(t); стать жи́дким tynnastir(t)3.(редкий) ótætturсогл{æ/ø}, glisinсоглоснред.; tunnurсогл; жи́дкий лес ótøtt skóg; жи́дкие во́лосы tunt hár4.tlm.(не обладающий силой-о голосе, звуках) veikurсогл, spakuligurглigur(um mál, ljóð)5.tlm.(слабый, тщедушный) skirvisligurглigur, lakurсогл{a/ø}; жи́дкие му́скулы slappirннксоглmusklarннкм0оснмн6.fl.,tlm.(слабый,тщедушный) sum roynistir(d)illa [ɪtla], lakurсогл{a/ø}; innantómurсогл, innihaldsleysurсогл(малосодержательный); ógrundaðurглaður(необоснованный); жи́дкий аргуме́нт tuntсоглнеформ.argument [aɹkuꞋmε-]ннк=>лёд,мы́ло1,те́ло1,то́пливо
жидкова́тый	stfжидкова́т, ~а. ~о. ~ыadj tlm. heldur tunnurсогл,í tynra lagi, í so tunnurсогл
жидкокристалли́ческий	adj: жидкокристалли́ческий диспле́й {монито́р} LCD-skermur [εlː seː Ꞌteː-], LCD-skíggi [εlː seː Ꞌteː-]
жи́дкостный	adjvesku-ннк, жи́дкостный дви́гатель motorur [-Ꞌtʰoː-] til flótandi brennievni; жи́дкостный ко́мпас sprittkumpass, flotkumpassлп
жи́дкость	fveskaннкжгл-a, løgurмсогл-ir{+}(тж об отваре); vætaжгл-a(о воде и др.); flotс0о(в организме)
жидо́вка	plurжидо́в|ки, ~ок, ~камf1.gml.(еврейka) jødnna [jøːtˈɪnta]жгл-aуст., gýðingurмсогл-arкн. (konufólk), gýðingakonaжгл-aкн.2.óvkm.,vanv.(презрительное название) jødiмгл-i(konufólk),
жидо́вский	adjóvkm.,vanv. jøda-, jødiskurсоглsk
жидомасо́н	móvkm.o-r, ið tekur undir við einari heimsumfatandi samansvørjing av jødum og frímúrarum, sum sbr. antisemitar o.a. skal eitast vera til
жи́жа	f1.(вязкая и т.д.) evjaжгл-a; наво́зная жи́жа flottøðс0о{0<>i}; снег преврати́лся в гря́зную жи́жу kavin bleiv til skitna evju2.tlm.(жидкая часть пищи) soðс0о; løgurмсогл-ir(отвар); saftж0-ir(сок)
жи́же	comp avжи́дкий
жи́жица	f dim tilжи́жа
жизнеде́ятельность	f1.biol.(способность к жизненным отправлениям) lívsvirksemiсгл-i, lívsfunktión [-fʊŋ̊kʃɔun]ж0-ir2.(энергичность) lívligheitннкж0-ir(живость), ágrýtniсгл-i;жгл-i
жизнеде́ятельный	stfжизнеде́ятелен, жизнеде́ятельн|а, ~о, ~ыadj1.biol.(способный к жизненным отправлениям) lívførurсогл2.bókl.(энергичный,деятельный) lívligurглigur(живой), ágrýtinсоглосн, virkinсоглосн
жизнелю́б	mlívsglaður persónur [-Ꞌsɔu-]мсогл-ar
жизнелюби́вый	stfжизнелюби́в, ~а, ~о, ~ыadjlívshugaðurглaður, sum elskar lívið
жизнелю́бие	nlívsgleðiжгл-i, lívshugurмсогл-ar;-ir
жи́зненно	adv: жи́зненно необходи́мый lívsneyðugur, alneyðugur; жи́зненно ва́жный lívsviktigurннк, lívsneyðugur
жи́зненность	f1.(жизненная сила) lívskraftж0-ir{a/e}, lívsmegiжгл-i, lívsmátturмсогл-ir; vitalitetur [vitʰaːliꞋtʰeː-]ннкмсогл-ar2.(близость к действительности) tað at vera nær veruleikanum3.(важность) neyðsynж0-ar{+}, tað at vera alneyðugur
жи́зненный	stfжи́знен, ~на, ~но, ~ныadj1.(кжизнь) lívs-, livi-; жи́зненный о́пыт lívsroynd; жи́зненный путь lívsleið, æviжгл-i; жи́зненная му́дрость lívsvísdómur; жи́зненный укла́д lívsmáti, liviháttur; жи́зненный у́ровень livifóturмнепр, livistandardurннкмсогл-ar2.(важный) lívsviktigurннкглigur, lívsneyðugurглugur, neyðsynjar-; aktuellur [-Ꞌεlː-]согл(актуальный); átrokandiглandi(срочный); жи́зненный вопро́с lívsviktigurннкspurningur, lívstýðandi spurningur3.(близкий к действительности) sum er nær veruleikanum, livandiглandi, veruleikatrúgvurсоглgv, sum hevur tætt samband við (gerandis)lívið@ жи́зненное простра́нствоlivirúmс0о;часто приводится по-немецкиLebensraum [leːpεn̊sraum]с0о=>путь@,у́ровень3
жизнеобеспече́ние	n bókl.tað at halda ti lívsneyðuga uppi, tað at tryggja tað lívsneyðuga; varðveitsla [vaɹvai̯sla]жгл-aavtí, sum er lívsneyðgtкн.; жизнеобеспече́ние в усло́виях Се́вера tað lísneyðuga fyri lívi norðanfyri; систе́мыжизнеобеспече́ниястраны́ — тепло-, водо-, энергоснабже́ния lívsneyðugar skipanir í landunum eru vatn. hita-, og orkuveitingar
жизнеописа́ние	nævisøgaжгл-a, lívssøgaжгл-a
жизнеощуще́ние	nbókl.heimsfatanж0-ir
жизнепонима́ние	nbókl. heimsáskoðanж0-ir
жизнера́достность	flívsgleðiжгл-i
жизнера́достный	stfжизнера́дост|ен, ~на, ~но, ~ныadjlívsglaðurгл
жизнеспосо́бность	flívføriсгл-i, lívførleikiмгл-i, lívskraftж0-ir{a/e}, lívsmátturмсогл-ir
жизнеспосо́бный	stfжизнеспосо́б|ен, ~на, ~но, ~ныadjlívførurсогл
жизнеутвержда́ющий	stfжизнеутвержда́ю|щ, ~а, ~е, ~иadjlívsjáttandiглandi
жизнь	f1.(существование) lívс0о; tilveraжгл-a; челове́ческая жизнь mannalív; борьба́ за жизнь bardagi fyri lívinum2.(период существования) æviжгл-i, æviskeiðс0о; сре́дняя челове́ческая жизнь miðallivialdurin hjá einum menniskja; всю (мою́) жизнь alt lívið, alla [atla] mína ævi, alla [atla] mína lívstíð; в пе́рвый год жи́зни tað fyrsta [fɪsta] árið av lívinum; при её жи́зни meðan hon livdi, meðan hon var á lívi3.(образ существования) lívс0о; о́браз жи́зни lívsmáti, lívsháttur, lívsstílur,lív, levnaðс0о; дереве́нская жизнь bygdarlív; вести́ здоро́вый о́браз жи́зни livair(d)(að)eitt sunt lív; там дорога́я жизнь har er dýrt at liva; бе́дная жизнь fátæksligt lív4.(деятельность) lívс0о; обще́ственная жизнь samfelagslív; семе́йная жизнь familjulív, heimalív5.(реальная действительность) lívс0о; о́браз взят пря́мо из жи́зни hesin persónurin [-Ꞌsɔu-] (í skaldsøgu o.tíl.) er tikin beint úr (tí veruliga) lívinum6.(оживление): по́лный жи́зни fullur [-tl-] av lívi; у́лицы полны́ жи́зни gøturnar yðjaur(d){+}í lívi@жизнь есть борьба́lívið er ein bardagi, lívið er ein kampurшутл.;претвори́ть {провести́}что-л.в жизньsetaur(t)o-tí verk;датькому-л.жизньgevao-mlív;дарова́тькому-л.жизньgevao-mgriðкн.,выс.;как жизнь?hvussu gongst?;вопро́с жи́зни (и сме́рти)avgerandi spurningur; ein spurningur um lív ella [εtla] deyða; э́то для меня́ вопро́с жи́зни hetta er lívið um at gera fyri meg;(находи́ться) ме́жду жи́знью и сме́ртью(vera) millum [-tl-] lív og deyða;не на жизнь {живо́т}, а на́ смертьupp á lív og deyð, um lív og deyð;брать всё у жи́зни{жить по́лной жи́знью} njótaслнey-u-olívið av heilum huga;по́лная жизньríkt lív;устро́итькому-л.весёлую жизньtlm.,skemt.geraнепрo-mfortreðнеформ., geraнепрo-mónáðir;не от хоро́шей жи́зниtlm.við ringum tannabitiпог., treyðugt;жизнь коротка́, иску́сство ве́чно {до́лго}lívið er stutt, listin long (цитируется также по-латыниars longa, vita brevis est);(никогда́) в жи́зни{tlm.ни в жизнь} aldrin í lívinum, aldri á ævini, ikki í mín dag; tað kemur ikki upp á tal (исключено); (ни за что) в жи́зниaldrin í verðini =>боя́ться1,возникнове́ние,войти́@,воплоти́ть@,воплоти́ться@,гроб@,до́рого@,духо́вный1,зараба́тывать4,класть@,ключII @,лиши́ть,опа́сность,отда́ть@,отня́ть1,при́знак,пройти́@,сохрани́ть3,усло́виеB 1
жиклёр	mdysa [tyː-]жгл-a
жи́ла1	If1.(кровоносный сосуд) æðr [akɹ]ж0-ar2.(сухожилие) sinж0-ar, spongж0-ur{o/e}; soymiмгл-i(у китов)3.nám.(геологическое тело) lindж0-ir; напа́сть на золоту́ю жи́луfl.gera góðan fongперен.4.tekn.(кабеля) leiðariмсогл-ari(í kápli)@тяну́ть жи́лыиз кого-л.plága [pʰlɔava]aðilíviðav o-m
жи́ла2	IIf, móvkm. ,vanv.gírigt fólkс0о, nábalsklógvжнепрпренебр., kargapisaжгл-aпренебр.
жиле́т	mvesturмсогл-ar; спаса́тельный жиле́т redningsvesturннк, bjargingarvesturнп
жиле́тка	plurжиле́т|ки, ~ок, ~камf dim avжиле́т@пла́каться в жиле́ткукому-л.kærair(d)sína neyðfyri o-m, gremjaur(d){e/a}{+}segfyri o-m
жиле́тный	adjvesta-; жиле́тный карма́н vestalummi
жиле́ц	Gen, Accжильц|а́;plur~ы́, ~о́в, ~а́мm1.(снимающий квартиру, комнату) leigariмгл-ari; logerandi [loꞋʃeː-], [loꞋseː-]ннкмприл(снимающий комнату)2.(обитатель)o-r, ið býr í einum húsum@он не жиле́ц (на све́те)hann hevur ikki langa tíð eftir [εʰtː-], hann liggur at doyggja
жи́листый	stfжи́лист, ~а, ~о, ~ыadj1.(с выступающими жилами) spengruturсогл2.(о мясе и т.п.) slintruturсогл, soymuturсогл(о китовом мясе), seigurгл(жёсткий)3.tlm. (сильный) sterkurсогл
жи́лить	жи́л|ю, ~ишь.~ятipf что-л. óvkm.leggjaнепрo-t undir seg, kraddaaðio-tinn undir seg, krøkjair(t)o-tinn undir seg
жи́литься	жи́л|юсь, ~ишься, ~ятсяipf1.óvkm(напрягаться) kýtair(t)seg, leggjaнепрˈnógv fyri, spennair(t)seg ˈút, leggjaнепрalla [atla] orku í2.óvkm.(скупиться) vera pírinсоглосн, vera gírigurглigurpírair(d)
жили́ще	nbústaðurмсогл-ir(hús,íbúð); heimс0о
жили́щно-коммуна́льный	adj: жили́щно-коммуна́льный отде́лdeild við ym. tænastuveitingum fyri eitt ella fleiri íbúðahús
жили́щно-строи́тельный	adj: жили́щно-строи́тельный кооперати́в (styttЖСК)byggifelag,har limir skjóta pengar inn í bygging av íbúðаhúsi
жили́щно-эксплуатацио́нный	adj: жили́щно-эксплуатацио́нная конто́ра (ЖЭК)skrivstova, ið stendur fyri viðlíkahaldi o.ø. av íbúðahúsum
жили́щный	adjbústaðar-, húsa-; жили́щное строи́тельство húsabygging; жили́щный кри́зис húsaneyðж0-ir; жили́щные усло́вия bústaðarviðurskifti =>фонд2
жи́лка	plurжи́л|ки, ~ок, ~камf1.dim avжи́ла2.(на листьях,крыльях насекомых) æðr [akɹ]ж0-ar(á bløðum, veingjum á insektum)3.(о минерале) áringж0-ar(í marmori o.ø.); мра́мор с жи́лками árað marmor4.(способность) gávurжгл-aмн, æðr [akɹ]ж0-arшутл.(um listagávur o.tíl.); у неё поэти́ческая жи́лка hon hevur yrkjaragávur, hon er ikki sør at duga at yrkja
жило́й	adjhúsa-, bústaðar- (предназначенный для жилья); sum búð verður í (обитаемый); sum búgvandi er í, sum kann búgvast í (пригодный для жилья); жило́й дом sethús; íbúðahús (с несколькими квартирами,часто многоэтажный); жило́й кварта́л sethúsaøkiсгл-i; жило́й масси́в íbúðaøkiсгл-i; жило́е помеще́ние sethúsabygningur, íbúðabygningur; жила́я пло́щадь bústaðarareal [-aːl]ннкс0о(;0-ir)проф., bústaðarvíddж0-ir(gólvvíd,tá køkur,baðiverilsi o.a. ikki eru tald uppí); жила́я ко́мната rúm at búgva í
жилпло́щадь	f síжила́япло́щадь
жильё	n1.(обитаемое место) bústaðurмсогл-ir; вдали́ от челове́ческого жилья́ langt frá mannabygdum; при́знаки жилья́ merki um, at fólk býr her2.tlm.(жилище) logi [loꞋʃiː], [loꞋsiː]ннкс0о(временное), tilhaldс0о;0o{a/ø}; иска́ть жильё leita eftir [εʰtː-]o-mat búgva í; найти́ себе́ жильё finna særo-tat búgva í3.tlm.(проживание) búgvс0о; ме́сто для жилья́ eitt stað at búgva í; него́дный для жилья́ óhóskandi at búgva í
жим	mítr.pressaжгл-a
жи́молость	f(Lonicera) kaprifolium [kʰaːpʰɹiꞋfoːliʊm]ж0-ir, geitarblaðлпс0о{a/ø}; души́стая жи́молостьsíкаприфо́ль
жир	Genжи́ра, жи́ру, Prpо жи́ре, в жиру́;plurжир|ы́, ~о́в, ~а́мmfeittс0о; spikс0о(покровный жир китов,тюленей); tálgж0-ir(нутряное сало); lýsiсгл-i(жидкий жир от рыб,китов и др.); нутряно́й жир mørurмсогл-s,-ir; ры́бий жир livralýsi; кито́вый жир hvalalýsi (от больших китов); grindalýsi (от голов гринд); гуси́ный жир gásarfeitt; по́чечный жир nýrumørurмсогл-s,-ir; жиры́plurfeittstoffннкс0о, fitievniнпсгл-i, feittsløgс0о{a/ø}, feittс0о; живо́тные жиры́ animalskt [aːniꞋmaː-]ннкпроф.feittstoffннкпроф., animalsk [aːniꞋmaː-]ннкпроф.fitievniнп, djórafeitt; расти́тельные жиры́ vegetabilskt [veːkɪtʰaꞋpiː-]ннкпроф.feittstoffннкпроф., plantufeitt, planturunninлпfitievniнп; пи́ща, бе́дная жира́ми soltinсоглоснmatur, matur við lítlum feitti@он ло́пается от жи́руóvkm., atf.hann er so spikafeitur;сбро́сить ли́шний жирslaknaaði, faraслнó-ó-aꞋ aftur [aʰtː-] (á holdinum);не до жи́ру, быть бы жи́вуtilt.nú ræður um at sleppa toluliga heilskapaður burturúr [-Ꞌʉuɹ] =>бе́ситься@,заплы́тьII,кито́вый,обрасти́2,@,оплы́тьI 1,покро́вный,треско́вый
жира́ф	m(Giraffa) giraffur [kiꞋra-]мсогл-ar
жира́фа	fgml.síжира́ф
жире́ть	ipf(pfожире́ть, разжире́ть) fitnaaði
