ш.	síшоссе́
ши́бздик	móvkm.tøppurмсогл-ar(lítil drongur), avnor [au-]с0о(um drong)
ши́бкий	stfши́бок, шибка́, шибко́, ши́бки; compши́бчеadjóvkm. skjóturсогл. kvikurсогл
ши́бко	advóvkm.1.(быстро) skjótt2.(очень) øgiliga nógv, øgiliga, ógviliga
ши́бче	comp síши́бкий
Ши́ва	mmyt.Shiva [ʃiː-]м нескл.
ши́ворот	m: взятького-л.за ши́ворот a) taka í kragan; b)fl.taka í herðatoppiná o-m идиом.
ши́ворот-навы́ворот	advøvut, rangvørgt [rεnvœɹ̥t]; де́лать всё ши́ворот-навы́ворот gera alt øvut, gera alt rangvørgt
ши́зик	móvkm.o-r, sum er klikkaðurнеформ.,пшутл.,пренебр.; eitt svakt apparat [-Ꞌraːt]энкс0онеформ.,пренебр.
шизофрени́ческий	adjschizofrenur {skisofrenur} [skiːsoꞋfɹeː-]согл, hugklovinлпсоглосн, sinnisklovinлпсоглосн
шизофрени́я	fschizofreni {skisofreni} [skiːsofɹeꞋni]ж0-ir, hugklovningurлпмсогл-ar
шизофре́нник	mschizofrenikari {skisofrenikari} [skiːsoꞋfɹeː-]мгл-ari
шии́т	mshiittur {sjiittur} [ʃiꞋɪʰtː-]мсогл-ar, shiamuslimur {sjiamuslimur} [ʃiːja-]мсогл-ar
шик	Genши́ка, ши́куmtlm.(reypandi) smartheitж0-ir, flottheitж0-ir; таки́е ту́фли сейча́с са́мый шик sovorðnir skógvar eru ordiliga innжарг.nú, sovorðnir skógvar eru síðsta skríggjнеформ.nú; для ши́ку fyri at reypa, fyri at vísa seg; зада́ть ши́ку vísair(t)seg, geraнепрseg upp; с ши́ком erpisliga, flott; он с ши́ком закури́л hann festi sær erpisliga í
шикану́ть	moment síшикова́ть
ши́канье	n1(кши́кать 1) hússjanж0-ir2.(кши́кать 2) pípanж0-ir
шика́рный	stfшика́р|ен, ~на, ~но, ~ныadjtlm.1.(элегантный,модный) smarturсогл; flotturсогл(роскошный, эффектный)2.(отличный) fínurсогл(frálíkur), óførurсогл, frálíkurсогл
ши́кать	1.momentши́кнуть Iши́кн|у, ~ешь, ~ут на кого-л.(заставлять замолчать) hússjaaðiá o-n2.pfоши́кать (освистивать)кому-л.pípaaðio-nniður (í sjónleikarhúsi o.tíl.)
ши́кнуть1	Imoment síши́кать
ши́кнуть2	IImoment síшикова́ть
шикова́ть	шику́|ю, ~ешь, ~ютipftlm.(momentшикану́тьшикан|у́, ~ёшь, ~у́тog ши́кнуть IIшикн|у́, ~ёшь, ~у́т) vísair(t)seg, geraнепрseg upp
ши́ллинг	msøg.(английская монета) shillingur} [ʃɪlː-]мсогл-ar(bretskur myntur);søg.schillingur [ʃɪlː-]мсогл-ar(денежная монета в Австрии и др.) (eysturríkskt gjaldoyra);søg.skillingurмсогл-arист.(денежная монета в Дании)
ши́ло	nsýlж0-ir@ши́ла в мешке́ не утаи́шьorðt.út kemur innispunnið tógvпосл.(tað sum roynt verður at fjala);ши́ло на мы́ло сменя́тьorðt.gera spógvabýtiпог.
шилохво́стка	plurшилохво́ст|ки, ~ок, ~камf síшилохво́сть
шилохво́сть	f(Anas acuta) snælduontж0-ur{o/e}, stikkontж0-ur{o/e}
ши́льдик	mtlm. skeltiсгл-i
шимпанзе́	[-зэ́]m indecl(Pan troglodytes) sjimpansa [-Ꞌpʰa-]жгл-a
ши́на	f1.(обруч) dekkс0о(gummiringur);gml.hjulringur [juː-]ннкмсогл-ar2.lækn.(на ноге и т.п.) skinnariмгл-ari, spjálkiмгл-iред., кн.; наложи́ть ши́ну на но́гу leggja skinnara á beinið3.el.(устройство) skinnariмгл-ari4.teld.(магистраль) bussurмсогл-arэвм=>спусти́ться4
шине́ль	ж1.(soldata)kappiмгл-i2.søg.slag av frakka við skinnkraga
шинка́рь	Gen,Accшинкаря́; plurшинкари́, ~е́й, ~я́мm gml.vertshúshaldari [vεʂ-]мгл-ari
шинкова́ть	шинку́|ю, ~ешь, ~ютipf(pfнашинкова́тьнашинку́|ю, ~ешь, ~ют)что-л.skeraслнa-ó-oo-t(sundur í smalar leingjur)
ши́нный	adjdekk- (síши́на1)
шино́к	Genшинк|а́;plur~и́, ~о́в, ~а́мmgml.lítil drykkjustovaжгл-a, vertshús [vεʂ-]с0о(serl. í sunnara parti av Russlandi og Ukraina)
шинши́лла	f1.djór.(Chinchilla laniger) chinchilla [tʃʰɪnꞋtʃʰɪlːa]жгл-a(;0-ir)2.(мех) chinchilla [tʃʰɪnꞋtʃʰɪlːa]с нескл.(skinn), chinchillaskinn [tʃʰɪnꞋtʃʰɪlːa-]с0о
шиньо́н	ftoppurмсогл-ar(av hári), frisura [-Ꞌsyː-]жгл-avið toppi
шип	Genшип|а́;plur~ы́, ~о́в, ~а́мm1.(у растения) tornж0-ir; broddurмсогл-ar2.(у животного) tindurмсогл-ar(á djóri,fiski o.ø.), broddurмсогл-ar3.(на обуви,шинах и т.п.) píkurмсогл-ar(á skóm o.ø.); ту́фли с шипа́ми {на шипа́х} píkaskógvar; ши́на с шипа́ми píkadekk4.tekn.(выступ) tappurмсогл-ar=>ро́за
шипе́ние	nfísс0о, froysс0о; brúsс0о(о напитках и др.)
шипе́ть	шип|лю́, ~и́шь, ~я́тipf1.(о глухом звуке) físair(t); froysair(t); brúsaaði(um drykkir) (о напитках)2.fl.,tlm.(сдавленным от злости голосом) mutlaaði, mølmaaði3.fl.,tlm.(ворчать) knarraaði, grenjaaði, gangaслнe-i-iog físair(t)
шипо́вка	plurшипо́в|ки, ~ок, ~камfítr.,tlm.píkaskógvurмсогл-ar{+}
шипо́вник	m1.(куст) (Rosa) (vill [-tl]) rósaжгл-a2.(плод) hypin [hyː-]ннкж0-ar, hjúpa [tʃʰ-]лпжгл-aбот., rósuberс0о{+}бот.
шипу́чий	adj1.(издающий шипение) físandiглandi2.(о напитках,вине) brúsandiглandi, mousserandi [mʊꞋseː-]ннкглandiпроф.(о вине)
шипу́чка	ftlm.brúsandi drykkurмсогл-ir;согл-s,-ir
шипча́ндлер	m síшипша́ндлер
шипша́ндлер	mskipshandlari [-hanl-]мгл-ari
шипя́щий	Iadj: шипя́щий звукIImhvæsiljóðс0олингв., físiljóðс0олингв., sibilantur [siːpiꞋla-]мсогл-arпроф.
ши́ре	comp av adjширо́кийog advшироко́
ширина́	fbreiddж0-ir(mát tvørturum); víddж0-ir(um klæðir) (об одежде); ширина́ зали́ва breiddin á víkini; ширина́ рукаво́в víddin á ermunum; оди́н метр в ширину́ {ширино́й в оди́н метр} ein metur breiður =>двойно́й2,колея́2
шири́нка	plurшири́н|ки, ~ок, ~камf1.(полоса ткани) klaffurмсогл-ar, smekkaжгл-a(framman á buksum)2.tlm.(передний разрез) splittaжгл-a(í buksum)
ши́рить	ши́р|юсь, ~ ится, ~ятсяipf что-л.1.(делать более широким) víðkaaðio-t2.(делать более массовым) geraнепрo-tbreiðari (um rørslur o.tíl.), víðkaaðium o-t(sambond o.a.)
ши́риться	ши́р|ится, ~ятсяipfbreiðkaaði, breiðkastaði
ши́рма	(plurgml.ши́рмы, ширм, ши́рмамí týdn 1)f1.(перегородка) skermurмсогл-ar(at seta upp í kamari o.a.)2.bert singfl.служи́тькому-л.ши́рмой vera skálkaskjólhjá[tʃʰ-]o-m
ширну́ться	pf momentslangsíширя́ться
широ́кий	stfширо́к, широка́, широко́ogширо́ко, широ́киogшироки́;compши́реadj1.(имеющий большую ширину) breiðurгл; víðurгл(б.ч. об одежде,обуви и др.); широ́кое уще́лье ein breið gjógv; широ́кая река́ ein breið á; широ́кие пле́чи breiðir herðar; на широ́ком фро́нте á einum breiðum frontiннк; широ́кая улы́бка eitt stórt smíl; широ́кое пальто́ víður frakki; идти́ широ́ким ша́гом stígaслнei-i-istórum, ginaaði2.(шире чем нужно) for [fɔɹː]ннкvíðurгл, ov [oː] víðurгл; широ́кий в плеча́х (forннк) víður um herðarnar, (ov) víður um herðarnar; пла́тье широко́ kjólin er forннкvíður, kjólin er ov víður3.(просторный) víðurгл(sum røkkur langt); широ́кие сте́пи víðar steppur4.(большой по охвату) umfatandiглandi, breiðurгл; в са́мом широ́ком смы́сле сло́ва í orðsins breiðasta týdningi; широ́кие пла́ны umfatandi ætlanir; широ́кое примене́ние umfatandi brúk; получи́ть широ́кое распростране́ние fáa stóra útbreiðslu; широ́кие полномо́чия víðfevndar heimildir; широ́кие возмо́жности stórir møguleikar; широ́кий кругозо́р víður sjónarringur5.(массовый) breiðurгл(viðv. fjøldini); широ́кие ма́ссы fjøldinж0-irопр.; широ́кий чита́тельkolleina breiður lesaraskari; широ́кая подде́ржка breið undirtøka6. (о душевных качествах) víð-; gávumildurсогл(щедрый); широ́кие взгля́ды víðskygni [vʊʃ-]; широ́кое се́рдце eitt stórt hjarta [j-]; широ́кая нату́ра stórtøkið [stœɹ̥-] fólk, rummiskt fólkкн., ред.@широ́к в кости́breiðvaksinсоглосн;на широ́кую но́гу(поставлено и т.д.) stórfingið [stœɹ̥-];жить на широ́кую но́гуliva flott, liva glæsiliga =>жест2,кругB 2,потребле́ние,разме́р3,смысл@,экра́н@
широко-	í samansbreið-
широ́ко	advsjálds.síшироко́
широко́	adv1.(кширо́кий) breitt, vítt; широко́ отркы́тые глаза́ víðopin eygur; смотре́ть с широко́ раскры́тыми глаза́ми hyggja við stórum eygum, gløair(d); две́ри бы́ли широко́ откры́ты hurðarnar stóðu víðopnar; широко́ улыба́ться stórflenna [stœɹ̥f-]2.(во многих местах,далеко) víða, víða um; широко́ изве́стен víðagitin3.: широко́ образо́ванный челове́к maður við fjølbroyttari útbúgving4.(в больших размерах) í stóran stílнеформ.@широко́ смотре́ть на ве́щиvera frílynturсогл;жить широко́liva flott, liva glæsiliga
широкова́тый	stfширокова́т, ~а, ~о, ~ыadjheldur víðurгл, í víðara lagi
широковеща́тельный	adj1.útv.(относящийся к широковещанию) kringvarps- (til stóra fjøld av lurtum)2.spott.(о рекламе,заявлении и т.п.) sum lovar nógv (um reklamur o.a.)
широкогру́дый	stfширокогру́д, ~а, ~о, ~ыadjbringubreiðurгл
ширококоле́йный	adjjarnb.breiðsporaðurглaður
широколи́стый	adjvið breiðum blað (um plantur), breiðbløðkuturсоглбот.
широколи́цый	stfшироколи́ц, ~а, ~е, ~ыadjbreidleitturсогл, breiðleitturсогл
широконо́ска	plurшироконо́с|ки, ~ок, ~камf(Anas clypeata) spónontж0-ur{o/a-e}
широкопле́чий	stfшироkoпле́ч, ~а. ~о, ~иadjherðabreiðurгл
широкополо́сный	adjteld.breiðbands- [-pan̊s-] =>сеть3
широкопо́лый	stfширокопо́л, ~а, ~о, ~ыadj1.(о шляпе) breiðskuggaðurглaður2.(о сюртуке и т.п.) við breiðum veli, við breiðum flippiуст.
широкоформа́тный	adj70 mm (um film)
широкоэкра́нный	adjwidescreen- [vaitskɹiːn-]ннкпроф., breiðtjald-лп
широта́	plurширо́т|ы, ~, ~амf1.(об интересах, уме и т.п.) víddж0-ir; breiddж0-ir; широта́ взгля́дов {воззре́ний} víðskygniсгл-i, víður sjónarringurмсогл-ar; широта́ интере́сов breidd í áhugamálumнп2.geogr.(координата) breiddж0-ir(breiddarstig), breiddigrad [-kɹaːt]ннкж0-irпроф., breiddarstigнпс0о; на ю́жных широ́тах á breiddigradumннкпроф.sunnandyri, á suðurbreiddumнп; на како́й широте́ лежи́т…? á hvørjari breiddigradннкпроф.liggur...?; 62осе́верной широты́ 62 gradirннкпроф.norður, 62 stigнпnorður =>гра́дус1
ширпотре́б	m1.(потребление) forbrúk [-Ꞌpɹʉuk]ннкс0о, brúkс0о, nýtsla [nʊi̯sla]нпжгл-a; това́ры ширпотре́ба forbrúksvarur [-Ꞌpɹʉu-]ннк, brúksvøra [pɹʏʰks-], nýtsluvøra [nʊi̯sl-]нп2.(о чём-л. малоценном) vánalig vøraжгл-a, bíligt krammс0о
ширь	fvíddж0-ir@во всю ширьso breiðuro-rer, so stóruro-rer (в полном объёме); av øllum [œtl-] alvi (в полную силу)
ширя́ться	ipf(momentширну́тьсяширн|у́сь, ~ёшься, ~у́тся)slangsproyta [spɹœi-] (реже[spɹɔi-])aðiseg (um narkoman), fiksaaðiарго
ши́тый	partic/adjbroderaður [-Ꞌteː-]глaður
шить	шь|ю, ~ёшь, ~ют;imperшей, ше́йтеipf(pfсшитьсошь|ю, ~ёшь, ~ют;imperсшей, сше́йте)что-л.1.(изготовлять шитьём) seymaaðio-t; шить на маши́нке seyma á maskinu [-Ꞌʃiː-]; шить о́бувь seyma skógvar2.(заказывать себе) lataслнæ-ó-aseyma3.bert ipf(вышивать) brodera [-Ꞌteː-]aðio-t; шить шёлком seyma við silki@он ни шьёт, ни по́ретtilt.hann er so gjánkasligur; всёши́то-кры́то(alt fer fram) í duldum, í loyndum =>ни́тка@
шитьё	n1.(действие) seymingж0-ar2.(то,что шьётся или сшито) seymiklæðirсгл-iмн, seymiarbeiðiсгл-i3.(вышивание) brodering [-Ꞌteː-]ж0-ar4.(вышивка) broderí [pɹoːtɪꞋrʊi]с0о, seymiklæðirсгл-iмн
ши́фер	m(порода;материал) skifur [skiː-]с0осн, talvusteinurлпмсогл-ar; fløgugrótс0огеол.(порода)
ши́ферный	adjskifur [skiː-]; fløgugróts-
шифо́н	mchiffon [ʃɪꞋfɔŋk]с0о
шифонье́р	mklæðisskápс0о, klædnaskápс0о
шифонье́рка	plurшифонье́р|ки, ~ок, ~камfhøg kommoda [kʰoꞋmoː-]жгл-a, chiffoniere [ʃɪfoːniꞋeːɹ]ж0-ir
шифр	m1.(код) loynistavurмсогл-s,-ir;-ar{a/ø};-ar, loynitekn [-tʰεkn]с0о(знак); loyniskriftж0-ir, koduskriftж0-ir(письмо)2.(библиотечный) skrásetingarnummarс0о{+}(á bókum, handritum o.ø. á bókasavni)3.gml.(вензель) navnamerkiсгл-i,monogramm [-Ꞌkɹamː]интс0о(;0-ir)=>ключI 4
шифрова́льный	adjloynitekns- [-tʰεkns-], loyniskrift-
шифрова́льщик	mloyniskriftserfrøðingurмсогл-ar
шифро́ванный	adjskrivaðurглaðurvið loyniskrift
шифрова́ть	шифру́|ю, ~ешь, ~ютipf(pfзашифрова́тьзашифру́|ю, ~ешь, ~ют)что-л.skrivaaðio-tvið loyniskrift;teld., útv.kryptera [kʰɹʏʰpꞋtʰeː-]aðio-tэвм
шифро́вка	plurшифро́в|ки, ~ок, ~камf1.(действие) skrivingж0-arvið loyniskrift2.tlm.(текст) telegramm [tʰeːlɪꞋkɹamː]с0о(;0-ir)í loyniskrift (телеграмма), brævс0о{æ/ø}í loyniskrift (письмо)
шифрогра́мма	ftelegramm [tʰeːlɪꞋkɹamː]с0о{(;0-ir)}í loyniskrift
ши́хта	f nám. blandingur av rávøru (í metallurgi o.a.)
шиш	Genшиш|а́;plur~и́, ~е́й, ~а́мmóvkm.1.síку́киш2.: шиш ikki eitt vet; ни шиша́ ikki eitt vet; шиш с ма́слом ikki eitt viðursvet; шиш он полу́чит! hann fær ikki inn í eygað!идиом.@на каки́е шиши́ я куплю́ э́то?hvussu í allari [atl-] víðu verð skal eg fáa ráð til tað?
шиша́к	Genшишака́: plurшишак|и́, ~о́в, ~а́мm1.søg.(шлем) hjálmur [tʃʰɔ-]мсогл-arvið píki2.jarg.(мужской член) murturмсогл-arтабу, fansurмсогл-arтабу
ши́шка	plurши́ш|ки, ~ек, ~камf1.(на теле) kúlaжгл-a, kýliсгл-i(á kroppinum av stoyti o.ø.); у него́ на лбу вскочи́ла ши́шка hann fekk eina kúlu í pannuna2.(шарик на конце чего-л.) knappurмсогл-ar(ovast á stavi o.tíl.), knøtturмсогл-ir{ø/a};-ar(ovast á o-m)3.(на дереве) kongulм0осн4.óvkm.(важная персона) stór kanón [-Ꞌnɔun]ж0-irнеформ., pingurмсогл-arшутл.; pampariмгл-ariпренебр.(в профсоюзе и т.п.)@ши́шка на ро́вном ме́стеtlm.,spott.síши́шка4;все ши́шки ва́лятсяна кого-л. o-rfær skyldina fyri alt;o-rfær alt oman Ꞌ yvir seg =>наби́ть5,Мака́р@
шишкова́тый	stfшишкова́т, ~а, ~о, ~ыadjbunguturсогл, við kúlum, við kýlum,síши́шка1
шишкови́дный	stfшишкови́д|ен, ~на, ~но, ~ныadjav skapi sum kongul,síши́шка3
шк.	шко́ла skúli
шкала́	plurшка́л|ы, ~, амf1.(линейка,таблица) skali [skaː-]ннкмгл-i, skala [skaː-]ннкжгл-a;0-ir(talva el. tíl.); шкала́ термо́метра termometurskali [-Ꞌmeː-]ннк; шкала́ приёмника skaliннкá radioapparati [raːtioaʰpːaraː-]ннк2.(цифры) skali [skaː-]ннкмгл-i, skala [skaː-]ннкжгл-a(;0-ir); stigiнпмгл-i(rað av tølum); шкала́ зарабо́тной пла́ты lønarskali, lønarstigiмгл-i; скользя́щая шкала́ glíðiskalaннк, glíðistigiнп; 9 ба́ллов по шкале́ Бо́форта 9 stig eftir [εʰtː-] Beaufortstiganum [poː-]нп, 9 stig eftir [εʰtː-] Beaufortskalanumннкпроф.[poːfɔɹ̥tskaː-]
шка́лик	m gml.1. (мера)gamalt russ. rúmmál, serl. til brennivín og vín,= o,06 l.2. (посуда) ílat (fløska, glas), ið tekur o,6 l.
шкандыба́ть	ipf(pfпрошкандыба́ть)óvkm.komaслнo-o-ohaltandi (ковылять), skjølkaaði, hólkaaði(плестись)
шка́нцы	m plurskansiмгл-i(á skipi)
шкату́лка	plurшкату́л|ки, ~ок, ~камfskrínс0о; музыка́льная шкату́лка spælidósж0-ir
шкаф	о шка́фе, в {на} шкафу́; шкаф|ы́, ~о́в, ~а́мmskápс0о=>стенно́й
шквал	m1.(порыв ветра) vindblak [vɪnp-]с0о{a/ø}, hvirlaжгл-a, kastс0о{a/ø}, bylurмсогл-arред.(сильный)2.:fl.шквал огня́ ríðж0-irav skotum, granatregn [-Ꞌnaː-]с0о; шквал возмуще́ния aldaжгл-aav øsing
шква́листый	stfшква́лист, ~а, ~о, ~ыadj(sum er) við hvirlum
шква́льный	adj: шква́льный ого́ньsíшквалогня́
шква́рки	шква́рок, шква́ркамf plurstokt pettirсгл-iмнav (fleska)svørði; ≈ kroturжгл-aмн(от печени,нутряного сала и др.)
шкво́рень	Genшко́рн|я;plur~и, ~ей, ~ямm(dreyi)tappurмсогл-ar, (dreyi)pinnurмсогл-ar
шке́рить	шке́р|ю, ~ишь, ~ятipf что-л.sløgair(d){+}o-t
шке́рочный	adjsløgingar-
шке́рщик	adjsløgariмгл-ari
шкет	m óvkm.drongurмсогл-ir{+}, ungur drongurмсогл-ir{+}
шкив	mblokkurмсогл-ar(hjól), skivaжгл-a(hjól)
шки́пер	plurшки́пер|ы, ~ов, ~амogшкипер|а́, ~о́в, ~а́мm1.gml.(коммерческого судна) skipariмгл-ari(á farmaskipi)2.(речного судна) skipariмгл-ari(á áarprámi)3.(боцман) bátsmaðurмнепр
шки́рка	f tlm.: взятького-л.за шки́ркуtlm.a) taka í kraganá o-m; b) taka í herðatoppiná o-m
шко́дить	шко́д|ишь,~ятipfóvkm.veraслнa-ó-oat meini, geraнепрfortreð [-Ꞌtʰɹeː]неформ.
шко́дник	mtlm.skaðagripurмсогл-s,-ir
шко́ла	f1.(учебное учреждение,здание) skúliмгл-i(stovnur,bygningur); нача́льная шко́ла barnaskúli [-tn-] (1.-4. klassi í Russlandi); сре́дняя шко́ла a) (десятилетка) tíggju ára skúli (í Russlandi); b) 5.-10. klassi í Russlandi; c) millumskúli [-tl-]ист.(на Фарерах до 1962 г. для 12-16 летних учеников); музыка́льная шко́ла musikkskúli [-Ꞌsɪʰk-] (í Russlandi serskúli fyri børn við serligum musikalskum gávum); шко́ла с преподава́нием ря́да предме́тов на англи́йском языке́ enskmæltur skúli (í Russlandi skúli,har meginparturin av undirvísingini er á enskum); англи́йская шко́лаtlm.skúli við serligum denti á undirvísing í enskum; математи́ческая шко́ла støddfrøðiligurнпstudentaskúli [-Ꞌtε-], matematiskur [maːtɪꞋmaː-] studentaskúli [-Ꞌtε-]; шко́ла продлённого дня skúli við longdari upplatingartíð (har næmingarnir kunnu vera allan dagin); поступи́ть в шко́лу fara í skúla, byrja í skúlanum; ходи́ть в шко́лу ganga í skúla; учи́ться в шко́ле ganga í skúla; пропуска́ть шко́лу {не ходи́ть в шко́лу} forsøma [-Ꞌsøː-]ir(d)skúlan, skulkaaði2.(выучка) læraжгл-a, skúliмгл-i(roynd); шко́ла жи́зни lívsins skúli; он челове́к ста́рой шко́лы hann er av tí gamla slagnum [slεanʊn]3.(направление в искусстве и др.) skúliмгл-i(í vísindum,list o.tíl.); созда́ть {основа́ть} шко́лу skapa ein skúla4.ítr.(упражнения) raðс0о{a/ø}{0<>}av tvungnum øvilsum (í listskoyting)
шко́ла-интерна́т	[-тэ-]f-mkostskúliмгл-i
шко́лить	шко́л|ю, ~ишь, ~ятipf(pfвы́школитьвы́шко́л|ю, ~ишь, ~ят)кого-л.tlm.skúlaaðio-n(методично учить); agaaðio-n, venjaслнa-a-ao-n, tyktaaðio-n(муштровать)
школота́	f bert sing koll niðr.skúlabørn [-tn]с0о{a/ø}мн; skúlaungdómurмсогл-arсобир
шко́льник	mskúladrongurмсогл-ir;-s,-ir{+};plur(обоего пола) skúlabørn [-tn]с0о{a/ø}мн, skúlanæmingarмсогл-arмн
шко́льница	fskúlagentaжгл-a, skúlanæmingurжгл-a(genta)
шко́льный	adjskúla-; шко́льный това́рищ skúlakammeratur [-raː-]ннк, skúlavinur; де́ти шко́льного во́зраста børn [-tn] í skúlaaldri
школя́р	Gen, Accшколяр|а́;plur~ы́, ~о́в, ~а́мmgml.,tlm.skúladrongurмсогл-ir;-s,-ir{+}
шкот	mskip.skjøtiсгл-i(на парусных судах), skeytabandс0о{a/о}(на фар. лодке)
шку́ра	f1.(снятая с животного кожа) skinnс0о, húðж0-ir(кожа животного с волосами); roðс0о{0<>i}(овечья кожа без шерсти); bjølgurмсогл-ir,-ar(снятая чулком); бы́чья шку́ра neytahúð; снять шку́руsíдрать22.óvkm..(кожа человека) húðж0-ir(á fólki)3.tlm.síкожура́4.m, fóvkm.,atf.(о человеке)o-r, ið sætar sær, egoistur [eːkoꞋist-]интмсогл-ar@спаса́ть свою́ шку́руsleppaслнa-u-osær heilskapaður burturúr [-Ꞌʉuɹ];быть вчьей-л.шку́реvera í brókunumhjá[tʃʰ-]o-mперен., идиом.; я не хоте́л бы быть в его́ шку́ре eg hevði [hεijɪ] ikki viljað verið í hansara brókum;(со)дратьс кого-л.шку́ру {семь шкур}fláaaðio-n, púrgaaðio-n;спусти́ть шку́рус кого-л. bukaaðio-nav (избить), faraслнó-ó-ailla [ɪtla]við o-m(плохо обойтись);испы́тывать {почу́вствовать}что-л.на свое́й шку́реfølao-tupp á sín egna kropp =>дели́ть@,медве́жий,ове́чий@
шку́рить	шку́р|ю, ~ишь, ~ятipf что-л.slípaaðio-tvið sandpappíri [san̊p-]
шку́рка	plurшку́р|ки, ~ок, ~камf1.dim avшку́ра 1; бе́личья шку́рка ekernskinn [eːkεɹn-]ннк, íkornaskinn [ʊikʰɔtn-]нп2.(наждачная) sandpappír [san̊p-]с0о3.tlm.(кожица плода) skalс0о{a/ø}(á summum fruktum o.ø.)
шку́рник	mtlm.,vanv.o-r, ið sætar sær, egoistur [eːkoꞋɪst-]интмсогл-ar
шку́рничество	megoisma [eːkoꞋɪ-]интжгл-а, sjálvsøkni [ʃɔl̥s-]сгл-iкн.
шку́рный1	Iadj(Кшку́ра) skinn-
шку́рный2	IIstfшку́р|ен, ~на, но, ~ныadj tlm.sum (bara) er til egnan fyrimun; egoistiskur [eːkoꞋɪst-]интсоглsk;шку́рные интере́сы ≈ hugurмсогл-ar;-irat sæta sær; ≈ hugurмсогл-ar;-irat nøra ˈ at sær
шкуросъёмный	adj: шкуросъёмная маши́на skrædlimaskina, skrædlariмгл-ari
шл…	1. шла, шло, шлиpret avидти́2.шлю, шлёшьo.s.fr. pres avслать3.шли, шли́теimper avслать
шла	pret f avидти́
шлагба́ум	mvegbummurмсогл-ar(на дороге); jarnbanabummur [janpaː-]ннкмсогл-ar, jarnbreytarbummur [janpɹεi-]нпмсогл-ar(на железнодорожном переезде)
шлак	m1. (расплавленная масса) slaggaжгл-аспец.2.oftast plur (остатки в организме)ótørvс0омн спец.,avfalsstoffннкс0опроф.
шлакобето́н	mslaggabetongс0оспец.
шланг	mslanga [slaŋka]жгл-а(amboð); пожа́рный шланг brandslanga [pɹanslaŋka]
Шле́звиг-Го́льштейн	[-тэйн]m-mSchleswig-Holstein [sleːsviːk-]с0{дат.0}, Slesvík-Holstein [sleːs-]нпс0{дат.0}
шле́йка	plurшле́йки, шле́ек, шле́йкамf1.dim avшлея́2.(лямка)breitt bringuband(á rossi)
шлейф	msleipс0о, slepс0о(á kjóla o.tíl.)
шлем1	Imhjelmur [jε-]ннкмсогл-ar, hjálmur [tʃʰɔ-]нпмсогл-ar; водола́зный шлем dúkkarahjelmurннк, kavarahjálmurнп; мотоцикле́тный шлем stúrthjelmurннк, fallhjálmur [-tl-]нп
шлем2	IImkort.(в карточной игре) slemmс0о; большо́й шлем stóraslemm
шлёп	Ipredtlm.: он шлёп в грязь og hann tjumsandi niður í rununa, hann tjumsaði niður í rununa, hann dumsaði niður í rununaIIintertjums!; bums!
шлёпанец	Genшлёпанц|а;plur~ы, ~ев, ~амmtlm.inniskógvurмсогл-ar{+}(oftast opin aftan)
шлёпать	ipf1.(pf momentшлёпнутьшлёпн|у, ~ешь, ~ут) (ударять) klamsaaði; skvamblaaði(по воде)2.pfотшлёпать (бить) gevaслнa-ó-iein klams3.tlm.(брести) tvassaaði, tøssaaði; шлёпать по гря́зи tøssa í rununi;óvkm.gangaслнe-i-i(ходить)4.(о туфлях) slafsaaði(um skógvar); он шлёпал ту́флями tað slafsaði í skónum hjá [tʃʰ-] honum
шлёпаться	ipf(pf momentшлёпнутьсяшлёпн|усь, ~ешься, ~утся)tlm.pumsaaði, dumsaaði(с шумом); dettaслнa-u-obarðlangur, dettaслнa-u-ofram eftir [εʰtː-] rommum (всем телом)
шлёпнуть	pf1.moment síшлёпать2.ipfшлёпатьАccóvkm.(убить,застрелить) skjótaслнey-u-oВин, drepaслнa-u-iВин
шлёпнуться	pf moment síшлёпаться
шлепо́к	Genшлепк|а́;plur~и́, ~о́в, ~а́мmklamsс0о, klamsurмсогл-ar; bresturмсогл-s,-ir
шлея́	f reim frá bógtrænum í týggjum
шли1	Iimper sing avслать
шли2	IIpret plur. avидти́
Шлиссельбу́рг	mSchlüsselburg [ʃlʏsːεlpʊɹk]м0{дат.0}(1944-1992Петрокре́пость)
шлифова́льный	adjslípi-; шлифова́льный круг slípiskiva; шлифова́льный стано́к slípimaskina
шлифова́льщик	mslípariмсогл-ari
шлифова́ние	n síшлифо́вка
шлифова́ть	шлифу́|ю, ~ешь, ~ютipf(pfотшлифова́тьотшлифу́|ю, ~ешь, ~ют)что-л.1.(обрабатывать поверхность) slípaaðio-t, pussaaðio-t(шкуркой); fílaaðio-t(напильником); fínpussaaðio-t(тщательно)2.fl.(совершенствовать) fínpussaaðiо-t
шлифо́вка	f1.(кшлифова́ть 1) slípingж0-ar, fíling (напильником); fínpussingж0-ar(тщательно)2.fl.(совершенствование) fínpussingж0-ar
шлифо́вщик	m síшлифова́льщик
шло	pret n avидти́
шлюз	m1.(гидротехническое сооружение) slúsaжгл-a(í á o.a.); воро́та шлю́за slúsuportur; открыва́ть шлюз lata slúsu upp; закрыва́ть шлюз lata slúsu aftur [aʰtː-]2.(переход между зонами) slúsaжгл-a(milum økir o.a.)3.teld.(в эвм): (межсетево́й) шлюз gateway [kεitvεi]м0-ar(опр-ur){дат.0}
