Н	нью́тонmnewton [ɲjʉutʰɔn]ж0-ir
неи́скренность	fóerligheit [-Ꞌε-]ж0-ir(нечестность); falskheitж0-ir(притворство); hulinskapurмсогл-ir(скрытность)
неискушённый	stfнеискушён, ~на, ~но, ~ныadjóroyndurсогл(sum ongar royndir hevur)
неисповеди́мый	stfнеисповеди́м, ~а, ~о, ~ыadjbókl.,hátíð.ófatiligur [-Ꞌfεa-]глigur, ófatandiглandi@неисповеди́мы пути́ Госпо́дниHarrans vegir eru órannsakandiглandi
неисполне́ние	n(чего-л.)alm.tað ato-tikki verður uppfylt; brotс0о(upp á o-t), mishaldс0о(av o-m)юр.(невыполнение)
неисполни́мый	stfнеисполни́м, ~а, ~о, ~ыadjsum ikki kann uppfyllast [-tl-] (желания,мечты,требования); sum ikki kann lúkast (требования, условия); sum ikki kann fremjast, ógjørligur [-Ꞌtʃœ-]глigur(sum ikki kann gerast)
неисполни́тельный	stfнеисполни́телен, неисполни́тельн|а, ~о, ~ыadjikki pliktuppfyllandi [-tl-]ннкглandi; forsømiligur [-Ꞌsøː-]ннкглigur(нерадивый); óvandinсоглосн(неаккуратный)
неиспо́льзованный	adjóbrúkturсогл; óútnyttaðurглaður, ótroytturсогл(возможности и др.)
неиспо́рченность	ftað at vera óspiltur
неиспо́рченный	stfнеиспо́рчен, ~на, ~но, ~ныadjfl.óspilturсогл, reinurсогл
неисправи́мый	stfнеисправи́м, ~а, ~о, ~ыadjsum einki gerst við; forherðaður [-Ꞌheː-]глaður; он неисправи́мтжhann er hopleysurсоглнеформ.,неодобр.
неиспра́вность	f1.(повреждение) ólagс0о{0<>i}; brekс0о(повреждение); маши́на в неиспра́вности bilurin er í ólagi, bilurin er í óordanнеформ., bilurin er ikki í standi; неиспра́вность дви́гателя motorbrek [-Ꞌtʰoː-]2.(неаккуратность) óvandniсгл-i
неиспра́вный	stfнеиспра́в|ен, ~на, ~но, ~ныadj1.(не в порядке) í ólagi, í óstandiнеформ.2.(неаккуратный) óvandaligur [-Ꞌva-]глigur, illgjørdurсогл, óskettinсоглосн
неиспы́танный	stfнеиспы́тан, ~на, ~но, ~ныadj1.(непроверенный) ikki royndurсогл2.(непережитый) nýggjurсоглggj, ikki upplivaður fyrr
неиссле́дованный	adjikki kannaðurглaður, ógranskaðurглaður, órannsakaðurглaður
неиссяка́емый	stfнеиссяка́ем, ~а, ~о, ~ыadjbókl.1.(не иссякающий) sum ikki tornar [-tn-] upp; ótømandi [-Ꞌtʰøː-]глandi2.fl.(неистощимый) ótømandi [-Ꞌtʰøː-]глandi, sum ikki troytist
неи́стово	advógvisliga, ódliga [œt-]
неи́стовость	f1. (неистовство) ovursinniсгл-i, sansaloysiсгл-i2. (несдержанность и др.) tað at vera óstýruligur [-ˈˈstʊi-], tað at vera ólátaður; tað at vera harður (о ветре и д.)ð
неи́стовство	n1.(бешенство) øðiжгл-i; sansaloysiсгл-i, ovursinniсгл-i; прийти́ {впасть} в неи́стовство verða frá sær Ꞌ sjálvum (av øði), verða sansaleysurсогл(av øði)2.(жестокость) harðskapur [haʂ-]мсогл-ir; villskapurмсогл-ir(зверство); harðskapsgerðж0-ir
неи́стовствовать	неи́стовству|ю, ~ешь, ~ютipf1.(от ярости) leikaaðií (av øði), vera sansaleysurсогл(av øði); veraслнa-ó-efrá sær sjálvum (от ярости,восторга и т.д.)2.(бушевать) leikaaðióður; herjaaði, geraнепрꞋ um seg (о болезнях и т.п.)3.(свирепствовать) faraслнó-ó-aꞋ fram við Ꞌ harðari hond
неи́стовый	stfнеи́стов, ~а, ~о, ~ыadjbókl.1.(вне себя) ovursinturсогл, sansaleysurсогл; неи́стовые аплодисме́нты ≈ óførir lógvabrestir2.(несдержанный) óstýriligur [-Ꞌstʊi-]глigur3.(о ветре и т.п.) harðurсогл{a/ø}, ógvisligurглigur
неистори́ческий	adjósøguligurглigur; ikki søguligurглigur
неистощи́мый	stfнеистощи́м, ~а, ~о, ~ыadjbókl.ótømandi [-Ꞌtʰøː-]глandi, sum ikki troytist
неистреби́мый	stfнеистреби́м, ~а, ~о, ~ыadjbókl.sum ikki fæst burtur, inngrógvinсоглоснgv, rótgrógvinсоглоснgv
неисцели́мый	stfнеисцели́м, ~а, ~о, ~ыadjbókl.ólekjandi [-Ꞌleː-]глandi
неисчерпа́емый	stfнеисчерпа́ем, ~а, ~о, ~ыadjbókl.1.(неистощимый) ótømandi [-Ꞌtʰøː-]глandi, sum ikki troytist2.(не знающий предела) markleysurсогл
неисчисли́мый	stfнеисчисли́м, ~а, ~о, ~ыadjbókl.óteljandi [-Ꞌtʰε-]глandi; ótaldurсогл, ótalligur [-Ꞌtʰalː-]ннкглigur
ней	Dat, Ins, Prp avона́aftan á fyrisetingarorð
нейд...	нейду́os.fr. pres avнейти́
нейло́н	nylon {ред.nailon, neilon} [nailɔn]с0о({0<>i})
нейло́новый	adjnylon- {ред.nailon-, neilon-} [nailɔn-]с0о({0<>i})
неймёт	: ви́дит о́ко, да зуб неймётorðt.≈ eingin eigur at kanna sær bitan, fyrr enn hann er svølgdur [svœlt-]посл.
неймётся	ipf bert 3. pers pres Dat, + inf óptlm.ему́ неймётся hann er altráur [ɔl̥tʰ-], [al̥tʰ-]eftir[εʰtː-]Дат{at + инф.}
нейро...	í samans.neuro- [nœuɹo-], nerva-
нейроле́птики	[eis.нэ-]m plurneuroleptika [nœuɹoˈlε-], [nεvɹoˈlε-]с0глтк едмед., спец.
нейролепти́ческий	[eis.нэ-]adjneuroleptiskur [nœuɹoˈlε-], [nεvɹoˈlε-]соглskмед.
нейролингви́стика	[eis.нэ-]f síневролингви́стика
нейролингвисти́ческий	[eis.нэ-]adj síневролингвисти́ческий
нейро́лог	[eisi.нэ-]m síневро́лог
нейрологи́ческий	[eis.нэ-]adj síневрологи́ческий
нейроло́гия	(eis.[нэ-])fsíневроло́гия
нейро́н	mnervakyknaжгл-a
нейро́нный	:adj: иску́ственная нейро́нная сеть tilgjørt neuralnetverk [nœˈraːl-]спец.
нейросе́ть	f stytt. fyriнейро́нная сеть síнейро́нный
нейростимуля́тор	[eis.нэ-]mneurostimulator [ˌnœurostiːmuˈlaː-], [ˌnεvrostiːmuˈlaː-]м0-torмед., спец.
нейротехноло́гии	[eis.нэ-]f plurneuroteknologi [nœuɹotʰεʰknoloˌkiː], [nεvɹotʰeʰknoloˌkiː]ж0-irмед., спец.
нейрохиру́рг	mnervakirurgur [-kʰi-]ннкмсогл-ar, neurokirurgur [nœuɹokʰi-]мсогл-arпроф., nervaskurðlækniнпмгл-i
нейрохирурги́ческий	adj nervakirurgiskur [-kʰirʊɹk--]ннксоглsk, neurokirurgiskur [nœuɹokʰirʊɹk-]соглskпроф.
нейрохирурги́я	fneurokirurgi [nœuɹokʰirʊɹki]интж0-ir, nervaskurðfrøðiлпжгл-i
Не́йсе	[нэ́йсэ]f indeclNeisse [naisε]ж нескл.
нейти́	нейд|у́, ~ёшь, ~у́тipfgml.,tlm.eldri samanskriving avне идти́; звал его́ - нейдёт eg rópti á hann, men hann kom ikki; из головы́ нейдётчто-л. o-tfer ikki fráo-m
нейтрализа́ция	f чего-л.1.(кнейтрализовать 1) neutralisering [nœutʰraːliꞋseː-]ннкж0-arav o-m, tað at gerao-tuttanveltað2.(устранение) neutralisering [nœutʰraːliꞋseː-]ннкж0-arav o-m, viknanж0-irav o-m, tað at beina fyrio-m3.kem.(химическая реакция) neutralisering [nœutʰraːliꞋseː-]ж0-arav o-mспец., хим.;ср. нейтрализова́ть (русскому отглагольному сущ. в переводе часто или предпочтительно соответствует глагольная форма)
нейтрализова́ть	нейтрализу́|ю, ~ешь, ~ютipf/pf Acc1.(сделать нейтральным) geraнепрВинuttanveltaðan,neutralisera [nœutʰraːliꞋseː-]ннкaðiВин2.(ослабить влияние и т.п.) geraнепрВинveikari; beinair(d)fyri Дат(уничтожить); neutralisera [nœutʰraːliꞋseː-]ннкaðiВин3.kem.(подвергнуть нейтрализации) neutralisera [nœutʰraːliꞋseː-]aðio-tспец., хим.
нейтралите́т	m1.(неучастие в войне и т.п.) uttanveltað støða [støːva]жгл-a, neutralitetur [nœutʰraːliꞋtʰeː-]мсогл-ar2.(невмешательсто в чьи-л. дела) neutralitetur [nœutʰraːliꞋtʰeː-]ннкмсогл-ar, uttanpartastøða [-støːva]лпжгл-a, lutloysiлпсгл-i
нейтра́ль	fbil.frígear {frígir} [-kiːɹ]с0о; включи́ть нейтра́ль seta í frígear; в нейтра́ли í frígeari
нейтра́льность	f1.(неучастие в войне и т.п.) uttanveltað støða [støːva]жгл-a, neutralitetur [nœutʰraːliꞋtʰeː-]мсогл-ar2.(невмешательсто в чьи-л. дела) neutralitetur [nœutʰraːliꞋtʰeː-]ннкмсогл-ar, uttanpartastøða [-støːva]лпжгл-a, lutloysiлпсгл-i3.lækn.(о лекарстве) neutralitetur [nœutʰraːliꞋtʰeː-]мсогл-arспец.
нейтра́льный	stfнейтра́лен, нейтра́льн|а, ~о, ~ыadj1.(не примыкающий н к одной из борющихся сторон; не служащий театром военного действия и т.п.) uttanveltaðurглaður, neutralur [-Ꞌtʰɹaː-]ннксогл; нейтра́льные стра́ны uttanveltað lond, neutralннкlond; нейтра́льные во́ды uttanveltaður sjógvur, neutralurннкsjógvur2.(одинаково относящийс ко всем) uttanveltaðurглaður, neutralur [-Ꞌtʰraː-]ннксогл, lutleysurлпсогл; нейтра́льный наблюда́тель uttanveltaður eygleiðari [εkl-]; нейтра́льная те́ма eitt neutraltннкevni3.bert lfkem.,lækn.,fys. (о действии) neutralur [-Ꞌtʰraː-]соглпроф.,спец.4.bil.: нейтра́льное положе́ние frígear {frígir}[-kiːɹ]с0о; в нейтральном положе́нии í frígeari
нейтри́но	nneutrino [nœuꞋtʰriː-]ж0-ir
нейтро́н	mneutron [nœuꞋtʰroːn]ж0-ir
нейтро́нный	adjneutron- [nœuꞋtʰɹoːn-]; нейтро́нная бо́мба neutronbumba [nœuꞋtʰɹoːn-]
некази́стый	stfнекази́ст, ~а, ~о, ~ыadjtlm.sum sær lítið út, sum sær lítið út fyri verðini
некапиталисти́ческий	adjikki-kapitalistiskur [-kʰaːpitʰаˌlɪ-]соглsk
нека́чественный	stf нека́чествен, ~на, ~но, ~ныadjvið vánaligari góðsku [kœskʊ], vánaligurглigur
неквалифици́рованный	stf неквалифици́рован, ~на, ~но, ~ныadjófaklærdur [-fakː-]согл, ikki yrkislærdurнпсогл; неквалифици́рованный рабо́чий ófaklærdur arbeiðari, ikki yrkislærdurнпarbeiðari; неквалифици́рованная рабо́та ófaklært arbeiði
не́кем	Ins avне́кого
не́кий	не́кая, не́кое, не́киеpron1.(какой-то) onkur, einhvør, ein ávísurсогл; не́кий Па́влов einhvør Pavlov2.bókl.(некоторый) summur, onkur
неклассифици́рованный	adj: неклассифици́рованное су́дно skip, sum ikki hevur klassa
не́когда1	Ipred кому-л., + inf: мне не́когда eg havi ikki tíð, eg havi ikki stundir =>дохну́ть
не́когда2	IIadv(когда-то) einaferð, onkuntíð (fyrr); einaferð í tíðini; fyrr í tíðini, fyrr
не́кого	Datне́кому,Insне́кем,Prpне́ о ком; saman við fyrisitingarorði verður fyrisetingarorðið sett fyri seg, t.d.не́ у когоo.s.fr. pron(+ inf),sí eis.неII eingin er (at...); нам не́кого посла́ть vit hava ongan at senda; не́кому бы́ло гото́вить eingin var at gera mat; боя́ться не́кого eingin er at óttast; его́ не́кем замени́ть eingin er, sum kann koma í hansara stað; не́ о ком вспомина́ть eingin er at minnast
неколеби́мый	stfнеколеби́м, ~а, ~о, ~ыadjbókl.óvikandi [-Ꞌviː-]глandi, rimmarfasturсогл{a/ø}
некомме́рческий	adjókommersiellurсогл, ikki kommersiellur [-Ꞌεlː-]согл; некомме́рческая организа́ция almannagagnligur felagsskapur
некоммуника́бельный	stfнекоммуника́белен, некоммуника́бельн|а, ~о, ~ыadjringurсоглat umgangast, ringurсоглat vera saman við (неконтактный): svinnurсогл(недоступный, сдержанный); hulinсоглосн, hulisligurглigur(замкнутый, скрытый)
некомпете́нтность	fvantandi førleikiнпмгл-i,inkompetansa [-tʰan̊-]ннкжгл-a
некомпете́нтный	stfнекомпете́нт|ен, ~на, ~но, ~ныadjinkompetenturннксогл, sum ikki dugir tilo-t
некомпле́ктный	stfнекомпле́кт|ен, ~на, ~но, ~ныadjikki komplettur [-Ꞌpʰlε-]ннксогл; ikki fullmannaðurглaður(не полностью укомплектованный)
не́кому	Dat avне́кого
неконверти́руемый	adjikki konvertibul [-Ꞌtʰiː-]согл
неконкурентоспосо́бный	stfнеконкуретоспосо́б|ен, ~на, ~но, ~ныadjikki kappingarførurсогл
неконституцио́нный	stfнеконституцио́н|ен, ~на, ~но, ~ныadjsum stríðir móti grundlógini [kɹʊnl-]
неконта́ктный	stfнеконта́кт|ен, ~на, ~но, ~ныadjtlm.ringurсоглat umgangast, ringurсоглat fáast við, óviðeiriligurглigur
некорре́ктность	f1.(бестактность) taktleysheitннкж0-ir; ófólkaligheit [-Ꞌfœ-]ж0-ir(невежливость)2.(неточность) skeivleikiмгл-i
некорре́ктный	stfнекорре́кт|ен, ~на, ~но, ~ныadj1.(бестактный) taktleysurннксогл; ófólkaligur [-Ꞌfœ-]глigur(невежливый)2.(неточный) skeivurсогл(ikki rættur)
не́который	1.(какой-то) ein (ein ávísur); прошло́ не́которое вре́мя ein tíð gekk; до не́которой сте́пени í ein ávísan mun2.(кое-какой,незначительный) nakaðav o-m; он име́л не́который о́пыт hann hevði [hεijɪ] nakað av royndum3.bert plursummirм мн, summarж мн, summiс мн; onkrirм мн, onkrarж мн, onkurс мн; в не́которых места́х summastaðni, á summum støðum4.subst plursummirм мн, summarж мн, summiс мн; summi fólk, onkur; не́которые опозда́ли summi komu ov [ɔ] seint =>ме́ра4,отноше́ние@,родII @,сте́пень2
неко́шеный	adjósliginсоглосн(um bø o.a.)
некраси́во	IadvljóttIIpredtað er ljótt, tað er ikki pent; некраси́во де́лать тако́е tað er ikki pent at gera sovorðið
некраси́вый	stfнекраси́в, ~а, ~о, ~ыadj1.(о внешном виде) ljóturсогл; misháttur [mɪsːɔʰtː-]согл(б.ч. о внешности человека)2.(о поступке) ljóturсогл, ikki penurсоглнеформ.(um atburð o.tíl.)
некредитоспосо́бность	finsolvensurмсогл-ar, gjaldtrot [tʃalt-]с0оофиц.
некредитоспосо́бный	stfнекредитоспосо́б|ен, ~на, ~но, ~ныadjbókl.insolventurсогл, ikki gjaldførur [tʃalf-]согл
некре́пкий	stfнекре́пок, некрепка́, некре́пк|о, ~иadjveikurсогл, ikki sterkurсогл; svakurсогл{a/ø}неформ.(te,kaffi) (тк о чае,кофе)
некрити́ческий	adjókritiskur [-kʰɹɪʰtː-]ннксоглsk
некро́з	mnekrosa [-Ꞌkʰɹoː-]жгл-aспец., мед., vevnaðardeyðiлпмгл-i; инфекцио́нный некро́з поджелу́дочной железы́ infektiøs [ɪnfεʰkˈʃøːs] nekrosa av brisinum {búkspýtskertlinumннк}спец.
некроло́г	m(кому-л., кого-л., о ком-л.) minningargreinж0-ar;0-ir(um o-n), minningarorðс0омн(um o-n) (grein), nekrologur [-Ꞌloːk-]ннкмсогл-ar(um o-n,yvir o-n)
некрома́нт	m1.søg.(гадальщик) manariмгл-ari2.bókm.(в жанре фэнтази)o-r, sum manar upp úr deyðum
некрома́нтия	f1.søg.(гадание) mananж0-ir, maningж0-ar2.bókm.(в жанре фэнтази) mananж0-irupp úr deyðum
некро́поль	m1.(кладбище) kirkjugarðurмсогл-ar{a/ø}(har kend fólk liggja grivin)2.søg.(могильник) (stórur) gravstaðurмсогл-ir{+}
некрофи́л	mnekrofilur [-ˈfiː-]мсогл-ar
некрофили́я	f nekrofili [-fiˈliː]ж0-ir
некрофи́льский	adjnekrofilur [-ˈfiː-]согл
некру́пный	adj tlm.ikki stórurсогл, miðalstórurсогл(средних размеров)
некста́ти	adv1.(не вовремя) í ótíð, ólagaliga [-Ꞌleː-]2.(неуместно) á skeivum stað, malplaseraður {malplaceraður}энкглaðurнеодобр.; óhóskandi (не к месту,неподходящий); э́то замеча́ние бы́ло о́чень некста́ти henda viðmerkingin var púra malplaseraðэнкнеодобр; твои́ шу́тки сейча́с некста́ти skemtið hjá tær er óhóskandi nú
некта́р	m1.myt.(напиток богов) nektarс0о({0<>i})2.plant.(у растений) nektarс0о({0<>i})
не́кто	prononkur; не́кто Бе́рков ein ávísur Berkov, einhvør Berkov; не́кто в чёрном onkur í svørtum (klæðum)
некто́н	mnekton [nεʰktɔn]с0о({0<>i})спец.
не́куда	adv1.(нет места) ongar staðir at fara; ему́ не́куда идти́ hann hevur ongastaðni at fara; бо́льше мне не́куда обрати́ться eg havi onga aðrastaðni eg kann venda mær; eg havi ongan annan, eg kann venda mær til; здесь не́куда поста́вить шкаф her er ongastaðni, eitt skáp kann setast; her fæst ikki pláss til eitt skáp nakrastaðni; да́льше е́хать не́куда her slepst ikki longur,sbr. @2.+ comptlm.(о пределе) fær ikki verið+ сравн.; завяза́л кре́пко, кре́пче не́куда hann bant so fast, at tað ikki fekk verið fastari; да́льше {ху́же} не́кудаtlm.verri fær tað (so) ikki verið; лу́чше не́кудаtlm.betri fær tað (so) ikki verið@не́куда торопи́ться {спеши́ть}vit hava ongan skund; tað er einki at skunda sær eftir [εʰtː-];да́льше е́хать не́кудаeg havi ikki vitað so skaft!неодобр.; nú er ovboðið [ɔp-]!неодобр.; nú ber Ꞌ av!неодобр.=>де́ть@,де́ться@,плю́нуть@
некульту́рность	f1.(грубость) ómentanж0-ir, vantandi dannilsiннксгл-i2. (низкий уровень культуры) mentunarloysiсгл-i
некульту́рный	stfнекульту́р|ен, ~на, ~но, ~ныadj1.(стоящий на низком уровне культуры) mentunarleysurсогл, mentanarleysurсогл, lítið framkominсоглосн2.(о культурных навыках) ómentaðurглaður, ókultiveraður [-kʰʊl̥ti-]ннкглaður, ódannaðurннкглaður3.(о поведении) ófólkaligur [-ˈfœ-]глigur(невежливый);sum ikki dugir fólkaskikk, óuppdrigin [-ˈtɹiː-]ннксоглоснg(невоспитанный, грубый)4. bert lf(о растениях) ikki dyrkaðurглaður; sum veksur villur [-tl-], villvaksandiглandi
некуря́щий	Iadjsum ikki roykirIImikki-roykjariмгл-ari;o-r, sum ikki roykir
нела́дно	Iadvóvkm.illa [ɪtla]IIpredokkurt er galið; с нимчто-тонела́дноo-ter galið við honum,o-ter áfatt við honum; в семье́ нела́дно har ikki heilt gott í familjuni [-Ꞌmɪ-], har er okkurt galið í familjuni [-Ꞌmɪ-]; здесь что-то нела́днотжher ruggar ikki rætt
нела́дный	stfнела́д|ен, ~на, ~но, ~ныadjtlm.1.(неприятный) keðiligurглigur(óheppin), óheppinсоглосн2.(нескладный, неловкий) klombruturсогл@будь он нела́ден!havi hann ein lort!вульг.
нелады́	m plurtlm.1.(недоразумения,ссоры) klandurс0осн; быть в нелада́хс кем-л.klandrastaðivið o-n; vera óklárurсоглvið o-nнеформ.(быть в ссоре)2.(неблагополучия,неудача) óeydnaжгл-a, óhappс0о; brekс0о, ólagс0о{0<>i}(неполадки); у него́ в ли́чной жи́зни нелады́тжhansara persónliga [-Ꞌsɔu-] lív hevur ikki vignast; устрани́ть нелады́ в мото́ре fáa brekið í motorinum [-Ꞌtʰoː-] burtur
нела́сковый	stfнела́сков, ~а, ~о, ~ыadjikki fitturсогл(напр. о ребёнке); óblíðurгл, ófryntligurглigur(неприветливый)
нелега́л	mtlm.fólkс0оí ólógligari [-Ꞌlɔul-] støðu (ólógligur innflytari o.a.)
нелега́лка	plurнелага́л|ки, ~ок, ~камf tm.konufólkс0оí ólógligari [-ˈlɔul-] støðu (innflytari o.a.)
нелега́льно	advólógliga [-Ꞌlɔul-], illegalt [-kaː-]ннк
нелега́льность	fólógligheit [-Ꞌlɔul-]ж0-ir, illegalitetur [-kaː-]ннкмсогл-ar; ólóglig [-Ꞌlɔul-] støða [støːva]жгл-a
нелега́льный	stfнелега́лен, нелега́льн|а, ~о, ~ыadjólógligur [-Ꞌlɔul-]глigur, illegalur [-kaː-]ннксогл
нелега́льщина	ftlm.1.(литература) ólógligar [-Ꞌlɔu-] bókmentirжгл-irмн2.(деятельность) ólógligt [-Ꞌlɔu-] virksemiсгл-i
нелёгкая	[-хк-]жóvkm.1.: нелёгкая дёрнулакого-л. síчёртдерну́л2.: нелёгкая его́ принесла́! hví fjandin er hann komin?бран.; куда́ тебя́ нелёгкая несёт? hvar fanin fert tú?бран.
нелёгкий	[-хк-]stf нелёгок, нелегк|а́, ~о́, ~и́adj1.(тяжёлый) ikki lætturсогл{æ/ø}, tungurсогл2.(трудный) ikki lætturсогл{æ/ø}(torførur), torførurсогл3.: он нелёгкий челове́к hann er ikki lættur at fáast við
нелегко́	[-хк-]Iadvikki lætt (tungt;torført); tungt, torførtIIpredtað er ikki lætt
неле́пица	ftlm.síнеле́пость2
неле́по	Iadvmeiningsleyst, órímiligt [-Ꞌrʊi-], burtur úr vón og vit, burturvið [-Ꞌviːj],sbr.неле́пыйIIpredtað er meiningsleyst, tað er órímiligt [-Ꞌrʊi-], tað er burtur úr vón og viti, tað er burturvið [-Ꞌviːj]
неле́пость	f1.meiningsloysiсгл-i, høpisloysiсгл-i, órímiligheit [-Ꞌrʊi-]ж0-ir,sbr.неле́пый2.(нелепый поступок, нелепое высказывание)o-tmeiningsleyst,o-thøpisleyst,o-tórímiligheit [-Ꞌrʊi-]
неле́пый	stfнеле́п, ~а, ~о, ~ыadj1.(лишённый здравого смысла) høpisleysurсогл, sum er burtur úr vón og viti (неразумный); órímiligur [-Ꞌrʊi-]глigur, absurdur [-Ꞌsʊ-]ннксогл{+}(несуразный); meiningsleysurсогл(бессмысленный); snedigurглigurнеформ., løginсоглоснg(странный); ósambæriligur [-Ꞌpεa-]глigur(несообразный)2.(нескладный) klombruturсогл, óskaffiligur [-Ꞌska-]глigur
неле́стный	[-ле́сн-]stfнеле́стен, неле́стн|а[-ле́сн-], ~о, ~ыadjlítið smikrandiглandi; быть неле́стного мне́нияо Prphaldaслнe-i-ilítiðum Вин
нелётный	adj: нелётная пого́да ikki veður at flúgva í, ikki líkindir at flúgva; veður, sum ikki er flúgvandi í
неликви́дный	stfнеликви́д|ен, ~на, ~но, ~ныadjikki-likvidur [-likʰviː-]согл
неликви́ды	m plurhand.ókurant vøraжгл-aторг.
нелине́йный	stfнеине́ен, нелине́йн|а, ~о, ~ыadjmat.(о функциях и др.) ikki-lineérur [ɪʰtʃɪɪli:nɪeːɹ-]согл,
нелицеме́рный	stfнелицеме́р|ен, ~на, ~но, ~ныadjerligurннкглigur, ærligurнпглigur, sannurсогл, falsleysurсоглвыс., библ.
нелицеприя́тный	stfнелицеприя́т|ен,~на, ~но, ~ныadj bókl.ópartískur [-tʰʊi-]соглsk
нели́шне	predtlm.tað hevði [hεijɪ] ikki verið so býtt, tað hevði [hεijɪ] ikki verið heilt burturvið [-Ꞌviːj]
нели́шний	adjikki nyttuleysurсогл, ikki ónyttigurглugur; sum er í lagi, sum er hóskandi (уместный); быть нели́шним vera til nyttu, vera til gagns
нело́вкий	stfнело́вок, неловка́, нело́вк|о, ~иadj1.(неукюжий) klombruturсогл, klossuturсогл2.tlm.(неудобный для пользования) óhandigur [-Ꞌha-]глigur(о предметах с рукояткой и т.п.); óbehagiligur [-Ꞌhεa-]ннкглigur(для сидения,надевания и т.п.); ringurсоглat sita á (о креслах и т.п.), ringurсоглat vera í (об одежде и т.п.)3.(неумелый,неискусный) dugnaleysur [tuːna-]согл, ódugnaligur [-Ꞌtuːna-]глigur; óhegnigur [-Ꞌhε-]глigur4.(неприятный) pínligurглigur; flovisligur [flɔuwɪs-]ннкглigur(неловкий,вызывающий чувство стыда); ikki á røttum stað, malplaseraður {malplaceraður}ннкглaður(неуместный); поста́витького-л.в нело́вкое положе́ние setao-ní eina keðiliga støðu, setao-ní eina pínliga støðu
нело́вко	Iadv1.(неуклюже) klombrut; нело́вко пры́гнуть gera eitt klombrut lop2.(смущённо) illa [ɪtla] við, illa [ɪtla]; нело́вко замолча́ть tagna illa [ɪtla] heitin; чу́вствовать себя́ нело́вко føla seg illa [ɪtla] (vera illa við)IIpred1.(неудобно) tað er ólagaligt [-Ꞌleː-], tað er so tvørligt, tað er til fortreð [-ˈtʰɹeː]; мне нело́вко сиде́ть eg siti illa [ɪtla]; ему́ нело́вко в тяжёлых сапога́х tað er so klombrut hjá [tʃʰ-] honum at vera í tungum stilvum; писа́ть лёжа нело́вко tað er so ólagaligt at skriva liggjandi, tað er so tvørligt at skriva liggjandi2.(о чувстве стеснения,стыда) tað er pínligt, tað er (so) flovisligt [flɔuwɪ-]ннк; ему́ нело́вко говори́ть об э́том tað er eitt sindur pínligt hjá honum at tosa um hetta; мне нело́вко спроси́ть вас ≈ mær dámar einki at spyrja tygum; мне бы́ло нело́вко беспоко́ить его́ ≈ mær dámdi einki at órógva hann; мне нело́вко без пиджака́ tað er eitt sindur flovisligt [flɔuwɪ-]ннкhjá [tʃʰ-] mær í ongum jakka; ей ста́ло нело́вко hon varð illa [ɪtla] við
нело́вкость	f1.(неуклюжесть) klomburс0осн, klossutheitннкж0-ir; kleyvarskapurмсогл-ir(тж неумелость)2.(чувство стеснения;смущённость) forleginheit [-Ꞌlεijɪn-]ннкж0-ir, tað at vera foyur; smædniсгл-i(стеснение); чу́вствовать нело́вкость vera foyurгл3.(неловкий,неудачный поступок) busut gerðж0-ir, klombrut gerðж0-ir, óstortslig [-Ꞌstɔʂl-] gerðж0-ir; busut orðс0омн(высказывание)
нелоги́чность	fvantandi logikkur [-Ꞌkɪ-]мсогл-ar, manglandi [maŋk-]ннкlogikkur [-Ꞌkɪ-]мсогл-ar
нелоги́чный	stfнелоги́ч|ен, ~на, ~но, ~ныadjólogiskur [-loːk-]соглsk
нелоя́льность	filloyalitetur [-lɔijɑːliꞋtʰeː-]ннкмсогл-ar
нелоя́льный	stfнелоя́лен, нелоя́льн|а, ~о, ~ыadjilloyalur [-lɔijaː-]ннксогл
