к1	I коньtalvriddari
коло́нка	plurколо́н|ки, ~ок, ~камf1.dim avколо́нна2.(столбец) teigurмсогл-ar(av teksti,tølum), kolonna [-Ꞌlɔ-]ннкжгл-aпроф.3.fjm.(в периодическом издании) klummaжгл-a4.(автозаправочная) bensinstøð [-Ꞌsiːn-]ж0-ir,síбензаколо́нка5.(в ванной) baðiovnurмсогл-ar(at hita vatn í) 6.(стереопроигрывателя) hátalariмгл-ari=>водоразбо́рный
коло́нна	f1.(столб) súlaжгл-a, soylaннкжгл-aпроф.(б.ч. в строительстве)2.(вытянутая линия) raðс0о{a/ø}{0<>i}, røðж0-ir, rekkjaннкжгл-a, kolonna [-Ꞌlɔ-]ннкжгл-a; продвига́ться коло́ннами ganga fram í røðum; та́нковая коло́нна røð av tanksum3.síколо́нка2@пя́тая коло́ннаfimta kolonna [-Ꞌlɔ-]
колонна́да	fsúlugongж0-ir, súlnagongж0-irбибл.
коло́нный	adjsúlu-, súlna-библ.; коло́нный зал súluhøll [-tl]
колоно́к	Gen, Accколонк|а́; plur~и́, ~о́в, ~а́мm(Mustela sibirica)slag av mári(en.Siberian weasel; da.sibirisk væsel)
колоноскопи́я	fkoloskopi [-ˈpʰiː]ж0-irмед., kolonoskopi [-ˈpʰiː]ж0-irмед.; kikarakanningж0-ar(av baktarmi, langa og vilum)
колонти́тул	myvirskriftж0-ir(á hvørjari síðu)
Колора́до1	If indecl(река) Colorado [kʰoːloꞋraː-]ж нескл.(á)
Колора́до2	IIm indecl(штат) Colorado [kʰoːloꞋraː-]м нескл.(statur)
колора́дский	adj: колора́дский жук (Leptinotarsa decemlineata) coloradoklukka [kʰoːloꞋraː-]
колорату́ра	fkoloraturur [kʰoːloɹaꞋtʰuː-]мсогл-ar
колорату́рный	adjkoloratur- [kʰoːloɹaꞋtʰuːɹ-]; колорату́рное сопра́но koloratursopran [[kʰoːloɹaꞋtʰuːɹsopʰɹaːn]
колори́рование	n1.fakm.(о волосах) farvingннкж0-arпроф.(av hári, í ym. litum), litingнпж0-ar(av hári, í ym. litum)2.fakm.(о ткани) valс0оav liti (подбор цвета), valс0оav mynstri (подбор рисунка) (á toy)
колори́ст	m1.(живописец) koloristur [-Ꞌrɪ-]мсогл-ar2.klædn.(специалист) farvariмгл-ari
колори́т	m1.(цвет) liturмсогл-ir; litdámurмсогл-ar(окраска)2.fl.(опечаток) dámurмсогл-ar, kolorittur [-Ꞌrɪ-]интмсогл-ar; ме́стный колори́т lokalkolorittur [-Ꞌkʰaːl-]ннк, staðardámurлп
колори́тность	fkolorittur [-Ꞌrɪ-]ннкмсогл-ar
колори́тный	stfколори́тен колори́тн|а, ~о, ~ыadj1.(с разнообразными цветами) litríkurсогл, litfagurсоглосн{a/ø}2. (выразительный) litríkurсогл; livandiглandi(яркий)
ко́лос	plurколо́сь|я, ~ев, ~ямmaksс0o{a/ø}
колоси́стый	stfколоси́ст, ~а, ~о, ~ыadjstóreksturсогл(с большими колосьями), við nógvum øksum (со многими колосьями)
колоси́ться	колос|и́тся, ~я́тсяipffáaслнe-i-iøks, skjótastслнey-u-o(um korn o.tíl.)
колоскопи́я	f síколоноскопи́я
колосники́	m plur1.tekn.(решётка) ristж0-ir(í ovni o.a.)2.sjónl.(в театре)bjálkar, ið bera leiktjøld3.(для сушки) rimarж0-arмн(at leggja okkurt á at turka); spølirмсогл-s,-irмн(для сушки зерна в старых фар. сушилках)
колоснико́вый	adj: колоснико́вая решётка rist, øskurist
колосня́к	Genколосняк|а́; plur~и́, ~о́в, ~а́мm(Leymus) sævarkorn [-tn]с0о; (Elymus) kveikiмгл-i
колосовы́е	plurkorn [-tn]с0о
колосо́к	Genколоск|а́; plur~и́, ~о́в, ~а́мm1.dim avко́лос2.(небольшой простой колос) smáaksс0о{a/ø}
коло́сс	m1.bókl.(статуя) risastór standmyndж0-ir,kolossur [-Ꞌlɔ-]ннкмсогл-ar2.fl.,hátíð.(выдающийся человек) risiмгл-i(framúrskarandi fólk); коло́сс нау́ки ein risi í vísindum@коло́сс на глиняны́х нога́хbókl.kolossur [-Ꞌlɔ-]мсогл-ará leirfótum
колосса́льный	stfколосса́лен, колосса́льн|а, ~о, ~ыadjrisastórurсогл, yvirvaksinсоглосн,kolossalur [-Ꞌsaː-]ннксогл@колосса́льно!óvkm.óført!
колоти́ть	колочу́, коло́т|ишь, ~ятipf1.по чему-л., во что-л.(ударять) dukaaðiá o-t, bukaaði(á)o-t; колоти́ть в дверь duka á hurðina; колоти́ть молотко́м по гвоздю́ buka á ein seym við einum hamara; колоти́ть кулака́ми duka við nevunum; колоти́ть ры́бу buka fisk (сушёную рыбу молотком)2.pfпоколоти́тьпоколочу́, поколо́т|ишь, ~ят кого-л.(наносить побои) bukaaðio-nav, smyrjaнепр.o-nav, berjair(d){е/а}{+}o-n(av); колоти́ть соба́ку berja ein hund; колоти́ть врага́ berja fíggindan av3.pfрасколоти́тьрасколочу́, коло́т|ишь, ~ят что-л.óvkm.(разбивать) brótaслнey-u-oo-t(sundur)4.bert 3. pers brúktur кого-л.(что-л.)tlm.(трясти) ristair(t), skelvaслнa-u-o; его́ коло́тит лихора́дка hann skelvur av fepri
колоти́ться	колочу́сь, коло́т|ится, ~ятсяipf1.(о сердце) dukaaði(um hjarta o.tíl.); ristair(t), skelvaслнa-u-o(трястись,дрожать); колоти́ться в лихора́дке skelva av fepri2.(ударяться) sláaнепр; он колоти́лся голово́й о сте́ну hann sló høvdið [hœtːɪ] móti vegginum3.(в дверь) bankaaði, bukaaði(á hurð)4.bert 3. pers brúktur(разбиваться) brotnaaði5.(надрываться)óvkm.stríðastir(d)og strevastaði
колоту́шка	plurколоту́ш|ки, ~ек, ~камf1.(молоток) træhamariмгл-ari2.søg.(у сторожа)fjalar at sláa á(hjá vektarum fyrr í tíðini)3.(удар) klikkс0о, lítið slagс0о{a/ø}{0<>i}
ко́лотый1	IadjIpartic avколо́ть IIIadjkloyvdurсогл, høgdurсогл; ко́лотый са́хар sukurmolarмгл-iмн
ко́лотый2	IIIpartic avколо́тьIIadjstunginсоглосн; ко́лотая ра́на sár av stingi
коло́ть1	Iколю́, ко́л|ешь, ~ютipf(pfрасколо́тьрасколю́, раско́л|ешь, ~ют)что-л.høggaur(d)o-t; kloyvair(d)o-t, klúgvaслнey-u-oo-t; коло́ть дрова́ høgga brenni; коло́ть са́хар høgga sukur; коло́ть оре́хи knekkaннкaðinøddirннк
коло́ть2	IIколю́, ко́л|ешь, ~ютipf1.momentкольну́тькольн|у́, ~ёшь, ~у́т Acc(касаться чем-л. острым) stingaслнa-u-uВин; prikaaðiВин(мелкими уколами); коло́тького-л.ножо́м stingao-nvið knívi; трава́ ко́лет но́ги grasið stingur beinini; моро́з ко́лет щёки frostið bítur í kjálkarnar2.pfзаколо́тьзаколю́, зако́л|ешь, ~ют кого-л.(что-л.) (убивaть) drepaслнa-u-io-n, flettair(t)o-n(овец,скот); stingaслнa-u-uo-n(til deyðis) (штыком и т.п.); коло́тького-л.копьём rennair(d)spjótiðígjøgnum[-Ꞌtʃœ-]o-n3.momentкольну́тькольн|у́, ~ёшь, ~у́т кого-л.(вызывать чувство досади и т.п.) nítaслнei-i-io-m; его́ слова́ ко́лют меня́ orðini hjá [tʃʰ-] honum taka fast, orðini hjá [tʃʰ-] honum nitu mær fast; его́ коло́ла мысль tankin neit hann4.кого-л.tlm.(задевать) stingaслнa-u-uo-n, prikaaðio-n, gevaслнa-ó-io-mprik (arga)5.кого-л., кому-л.;что-л.tlm.(делать укол) gevaслнa-ó-io-meina sproytu [-œi-]; коло́ть витами́ны sproyta [-œi-] vitaminir [-Ꞌmiː-] inn6.momentкольну́тькольн|у́, ~ёшь, ~у́т óp: у меня́ ко́лет в боку́ eg havi stingir undir liðini; eg havi livurhøgg (после быстрого бега,быстрой ходьбы)@коло́ть глаза́кому-л.(чем-л.) a) (попрекать) brigslaaðio-m(o-t), kastaaðio-m(o-t)fyri, rýðair(d)o-m(o-t) um nasar; b) (досаждать) ergraннкaðio-n, gerao-nforsyndaðan [-Ꞌsɪ-] ;пра́вда глаза́ ко́летorðt.sannleikin er illa [ɪtla] lýddurпог.
коло́тье	ntlm.síколотьё
колотьё	ntlm.stingurмсогл-s,-ir
коло́ться1	Iко́л|ется, ~ютсяipf1.(поддаваться колке) vera kloyvinсоглосн; э́ти дрова́ хорошо́ ко́лются hetta brennið er lætt at høgga2.jarg.(признаваться) viðgangaслнe-i-i
коло́ться2	IIколю́сь, ко́л|ешься, ~ютсяipf1.bert 3. pers(быть колким) stingaслнa-u-u; шипы́ ко́лются tornurnar stinga2.tlm.pfуколо́ться уколю́сь, уко́л|ешься, ~ются(получать уколы) fáaслнe-i-isproytu [spɹœi-] (реже[spɹɔi-])3.tlm.(вводить себе наркотики) sproyta [spɹœi-] (реже[spɹɔi-])aðiseg (við narkotika) fiksaaðiарго, vera narkomanur [-Ꞌmaː-]@и хо́чется и ко́лется (, и ма́ма не вели́т)orðt.o-rdregur á bæði,o-rdregur á báðar vánirnar; ≈ skeri eg teg her, so missi eg teg harпосл.
колоше́ние	ntað at fara at skjótast (um kornøks),síколоси́ться
колошма́тить	колошма́чу, колошма́т|ишь, ~ятipf(pfотколошма́титьотколошма́чу, отколошма́т|ишь, ~ят)Винóvkm.sláaслнó-ó-iВин, bukaaðiВин
колпа́к	Genколпак|а́; plur~и́, ~о́в, ~а́мm1.(головной убор) hettaжгл-a, húgvaжгл-a; ночно́й колпа́к nátthúgva2.(для прикрытия) hettaжгл-a; kappiмгл-i; hjulkapsil [juː-]м0осн(колеса автомобиля); (lampu)skermurмсогл-ar(лампы)3.skemt., óvkm.(простак) dylhøvd [-hœtː]с0опренебр., neytс0опренебр.@бытьпод колпако́му кого-л.vera undir eftirliti [εʰtː-] hjá [tʃʰ-]o-m(politi,fregnartænastu o.ø.);жить под стекля́нным колпако́мtlm.,atf.≈ vera borinсоглоснá hondumпог., vera borinсоглоснá lógvumпог.
коппачо́к	Genколпачка́;plurколпачк|и́, ~о́в, ~а́мm1.dim til колпа́к2. (противозачатное средство) pessar [-ˈsaːɹ]с0o
колту́н	Genколтуна́m ym. húðarsjúkur, har hárið fløkist saman(serl. plica polonica)
Колу́мб	mColumbus [kʰoꞋlʊ-]м0-ar({0<>i})
колумба́рий	m salur, har krukkur við øsku hjá teimum deyðu standa
колумби́ец	Gen, Accколумби́йц|а; plur~ы, ~ев, ~амmcolumbiariмгл-ari{kolumbiariмгл-ari} [kʰoꞋlʊ-]
колумби́йка	plurколумби́йки, колумби́ек, колумби́йкамfcolumbiariмгл-ari{kolumbiariмгл-ari}[kʰoꞋlʊ-] (konufólk)
колумби́йский	adjcolumbianskur [kʰolʊmpiꞋaː-]соглsk, kolumbiskur [-Ꞌlʊ-]нпсоглsk
Колу́мбия	fColumbia {Kolumbia} [kʰoꞋlʊ-]с нескл.
колу́мбов	adj: колу́мбово яйцо́ kolumbusegg [-Ꞌlʊ-]
колумни́ст	mklummuskrivariмгл-ari
колумни́стка	plurколумни́ст|ки, ~ок, ~камfklummuskrivariмгл-ari(konufólk)
колу́н	Genколун|а́; plur~ы́, ~о́в, ~а́мmviðarøksж0-ir
колупа́ть	ipf(momentколупну́тьколупн|у́, ~ёшь, ~у́т)что-л.óvkm.pilkaaðio-t
колупну́ть	moment síколупа́ть
колхо́з	mколлекти́вное хозя́йство kolkhozur [-Ꞌkʰoːs-]мсогл-ar, kollektivbrúkс0о; рыболо́вный колхо́з fiskaríkolkhozur [-Ꞌrʊi-]
колхо́зник	mkolkhozbóndi [-Ꞌkʰoːs-]мгл-ur
колхо́зница	fkonaжгл-aá kolkhozi
колхо́зный	adjkolkhoz- [-Ꞌkʰoːs-]
колча́н	mpílahúsiмгл-i, ørvahúsiмгл-iкн.
колчеда́н	mkis [kʰiːs]с0о({0<>i)}(metall-og svávulsambinding); се́рный колчеда́н svávulkis
колчено́гий	stfколчено́г, ~а, ~о, ~иadjóvkm.1.(хромоногий) halturсогл{a/ø}2.fl.(о мебели и т.п.) skinkluturсогл(um møblar o.a.)
колыбе́ль	f1.(детская кроватка) vøggaжгл-a2.fl.,hátíð.(место возникновения) vøgga;жгл-a; колыбе́ль свобо́ды frælsisins vøgga@с колыбе́лиfrá barni [-tnɪ], frá barnsbeini [pan̊s-]
колыбе́льная	fvøgguvísaжгл-a, vøgguljóðс0о{0<>i}поэт.
колыбе́льный	adjvøggu-
Колыма́	f1.(река) Kolyma [kʰolyꞋmaː]ж нескл.(á)2.(наКолыме́ -íKolyma) Kolyma [kʰolyꞋmaː]ж нескл.(umráði,har nógvar fangalegur lógu)
колыма́га	f1.gml.(экипаж)slag av afturlatnum vogni við fýra hjólum2.niðr.(машина) lasafarс0о{a/ø}(um bil), skrambulс0осн(um bil)
колыха́ние	nveiggjanж0-ir, aldanж0-ir; blaktranж0-ir, veittranж0-ir,sbr.колыха́ться (русскому отглагольному сущ. в переводе часто или предпочтительно соответствует глагольная форма)
колыха́ть	колы́ш|у, ~ешь, ~утogtlm.колыха́юo.s.fr.ipf(momentколыхну́тьколыхн|у́, ~ёшь, ~у́т)1.что-л.(качать,колебать) fáaслнe-i-io-tat blaktra, fáaслнe-i-io-tat veittra; fáaслнe-i-io-tat alda (вызвать волны); fáaслнe-i-io-tat veiggja; vaggaaðio-m(раскачивать); ве́тер колы́шет знамёна vindurin fær fløggini at veittra2.кого-л.jarg.(волновать) rørair(d)o-n; меня́ э́то не колы́шет hetta rørir meg ikki, hetta nervar meg einki
колыха́ться	колы́ш|ется, ~утсяogtlm.колыха́етсяo.s.fr. ipf(momentколыхну́тьсяколыхн|ётся, ~у́тся) veittraaði, blaktraaði(о знаменах и т.п.); vaggaaði(раскачиваться); veiggjaaði(о деревьях,полях и др.); aldaaði(о поверхности воды, поля и т.п.)
колыхну́ть	moment síколыха́ть
колыхну́ться	moment síколыха́ться
колы́ш...	síколыха́ть
ко́лышек	Genко́лышк|а; plur~и, ~ов, ~амmpløkkurннкмсогл-arпроф.(для растяжки палатки); (lítil) hælurмсогл-ar;-,-ir,síкол
коль	conjgml.um, vissннк,sí eis.ко́ли@коль ско́роvið tað at; tá .... einaferð (раз уж)
коль...	ко́льяo.s.fr. plur avкол
кольдкре́м	mcoldkrem [kʰɔlt-]с0о
колье́	n indeclhálsbandс0о{a/o}
кольну́ть	moment síколо́тьII
кольра́би	f indecl(Brassica oleracea var. gongylodes) kálrabi [-Ꞌraːpi]с0-гл-i, kálrótж0-ur{ó/ø}
Ко́льский полуо́стров	Kolahálvoygginж0-ar{+}опр., Kolanesiðлпс0оопр.
кольт	mrevolvari [-ˈvɔ-]мгл-ari(av slagnum Colt); maskinbyrsa [-Ꞌʃiː-]жгл-a(av slagnum Colt) (пулемёт)
Ко́льтер	[-тэр-]mKolturс0осн; на о́строве Ко́лтер í Koltri
кольцева́ние	n1.(метка птиц и т.п.) ringmerkingж0-ar2.(снятие коры) rundbarking [rʊnp-]ж0-ar(av trøum)
кольцева́ть	кольцу́|ю, ~ешь, ~ютipf(pfзакольцева́тьзакольцу́|ю, ~ешь, ~ют, окольцева́тьокольцу́|ю, ~ешь, ~ют)1.Acc(метить кольцом) ringmerkjair(t)Вин2.что-л.(снимать кору дерева) rundbarka [rʊnp-]aðio-t(skera børk av)
кольцево́й	adjring-; кольцева́я доро́га ringvegur =>не́вод,тече́ние1
кольцеобра́зный	adjringskapaðurглaður
кольцо́	plurко́льца, коле́ц, ко́льцамn1.(предмет в форме окружности) ringurмсогл-ar; кольцо́ для ключе́й lyklaringur2.(украшение) ringurмсогл-ar(prýði)3.(что-л. имеющее форму окружности) ringurмсогл-ar(o-t ringskapað), klingraжгл-a; кольцо́ ды́ма roykringur; возрастно́е кольцо́ vakstrarlopс0о; годи́чное кольцо́ viðingж0-ar(в дереве); lopс0о(í horni) (на роге) ; уплотни́тельное {уплотня́ющее} кольцо́ tætningsringur4.ítr.(спортивное орудие) ringarмсогл-arмн(на + Prp -í + Дат)5.(конечный пункт) endastøðж0-ir(hjá sporvogni)6.fl.(окружение) kringsetingж0-ar; образова́ть кольцо́вокруг Gensláaнепрringum Вин; вы́рваться из кольца́ brótaслнey-u-oseg út úr kringseting =>обруча́льный,поршнево́й
ко́льчатый	adjring-; ко́льчатые че́рви (Annelida) liðormar =>не́рпа
кольчу́га	fsøg.ringbrynjaжгл-a
кольчу́жный	adj: кольчу́жная перча́тка (trygdar)stálhandski [-haɲ̊ʃtʃɪ] (gjørdur av stálringum)
колю́чий	stfколю́ч, ~а, ~е, ~иadj1.(имеюсщий колючки) tornuturсогл(о растениях); tinduturсогл,síколю́чка; колю́чий куст tornarunnur; колю́чая про́волока píkatráður2.(колющийся) stingandiглandi, hvassurсогл{a/ø}; колю́чая борода́ hvast skegg3.fl.(язвительный) hvassurсогл{a/ø}; колю́чий язы́к hvøss tunga; у него́ колю́чий язы́к hann hevur eina hvassa tungu; колю́чий взгляд stingandi eygur, hvøss eygur
колю́чка	plurколю́чк|и, ~ек, ~амf1.(острый предмет, шип) nálж0-ir(у ежа и т.п.); tindurмсогл-ar, tornж0-ir, tornurмсогл-ar(шип); (у колюшки и т.п.) taggaжгл-a(hjá kombikki o.ø.)2.fl., tlm.(колючий кустарник) tornarunnurмсогл-ar, tornakjarrс0о; tornutur vøksturмосн-ar-ir{ø/a};0o-ir{ø/а}(колючее растение)3.óvkm.(колючая проволока) píkatráðurм0осн-ar,-ir{á/æ}{0<>i}{+}@ за колю́чкуjarg.í fangaleguнп, í fangaleirннк;за колю́чкойjarg.í fangaleguнп,í fangaleiriннк
ко́люшка	plurко́люш|ки, ~ек, ~камf: морска́я {длинноры́лая, пятнадцатии́глая} ко́люшка (Spinachia spinachia) strentingurмсогл-ar; трёхи́глая ко́люшка (Gasterosteus aculeatus) kombikkс0о, horngeil [hɔŋkail]с0о,hongeil [hɔŋkail]с0о
ко́лющий1	partic avколо́ть I
ко́лющий2	IIIparticколо́ть IIIadj: ко́лющая боль stingur (pína); ко́лющее ору́жие stingvápn
коляда́	fgml.,søg.1.(обряд)siður at ganga hús úr húsi á jólum við sangum o.ø.2.(песня) jólasangur [-aŋk-]мсогл-s,-ir(í samband við 1)
коля́дка	plurколя́д|ки, ~ок, ~камf síколя́да2
коля́ска	plurколя́с|ки, ~ок, ~камf1.(повозка)slag av kalesjuvogni2.(детская) barnavognur [-tn-]мсогл-ar3.(мотоцикла) síðuvognurмсогл-ar(á motorsúkklu)4.(для инвалидов) koyristólurмсогл-ar
-ком	í samans1.síкомисса́р; военко́м krígskommisserur [kʰɹʊi̯ʰks-], [kʰɹʊʰks-]2.síкомите́т; горко́м býráð
ком...1	I í samans kommunistiskur [-Ꞌnɪ-]; компа́ртия kommunistiskur flokkur
ком1	Iplurко́мь|я, ~ев, ~ямmklumpurмсогл-ar; bøkkurмсогл-ar;-s,-ir(дёрна,земли); у неё ком в го́рле стои́т {ком поступи́л к го́рлу} tað bilgistir(d){+}í henni; сне́жный ком kavabólturмсогл-a, kavablakс0о{a/ø}(меньших размеров) =>блин@
ком2	IIPrp avкто
ком...2	IIí samansovasti; комба́т ovasti fyri bataljón [-Ꞌʎjɔun]
ко́ма	fkomaс нескл.(óvit); иску́сственная ко́ма kunstigt koma, tilgjørt komaлп; ввести́кого-л,в ко́му leggjaнепрo-ní (kunstigt) koma
кома́нда	f1.(приказание) kommando [-Ꞌma-]ннкж0-irпроф.; ordriннкмгл-iпроф.(приказ); пода́ть кома́нду geva eina kommando, geva ein ordra; по кома́нде upp á kommando2.(командование) kommando [-Ꞌma-]ж0-ir(ræði); подчьей-л.кома́ндой undir kommandoav o-m, undirпосс.kommando; приня́ть кома́нду taka kommmandoina3.herm.(отряд) (her)deildж0-ir(herdeild)4.(группа рабочих) (arbeiðs)fólkс0о, mennмнепрмн;gangс0опроф.(группа грузчиков и т.п.)5.(судна) manningж0-ar, mannskapннкс0опроф.;тжskipanж0-ir, bátsskipanж0-ir(на лодке) ; член кома́нды ein av manningini6.ítr.(спортивная) liðс0о{0<>i}, holdннкс0о; bátsmanningж0-ar(на лодке) ; футбо́льная кома́нда fótbóltslið, fótbóltsholdннк7.tlm.,skemt.(компания) kompaní [-Ꞌnʊi-]энкс0ошутл.,неодобр.(klika,bólkur av fólki)8.teld.(в эвм)kommando [-Ꞌma-]ж0-ir, stýriboðлпс0о{0<>i}мн@как по кома́ндеøll [œtl] sum ein (все вместе); við eitt, í sama viðfangi (в тот же миг) =>основно́й2,пожа́рныйII,сбо́рный2
команда́рм	m(stytt fyriкома́ндующий а́рмией) herovastiмгл-i
команди́р	m1.(в армии) (her)ovastiмгл-i2.(на военном корабле) skipariмгл-ari(á herskipi); команди́р кре́йсера skipari á krússara3.flog.(самолёта и др.) skipariмгл-ari; команди́р возду́шного су́дна skipari á luftskipi4.jarg.(на рыболовном судне и др.) skipariмгл-ari, kapteinur [-Ꞌtʰai-]мсогл-ar(á fiskiskipi o.ø.)5.fl.(руководитель) leiðariмгл-ari, oddafiskurперен.6.tlm.(любитель распоряжаться) ráðaríkt fólkс0о, herskireyvж0-arпренебр.
командиро́ванный	Iparticкомандирова́тьIIm o-r, ið er á tænastuferð
командирова́ть	командиру́|ю, ~ешь, ~ютipf/pf кого-л.sendair(d)o-n(á tænastuferð,í arbeiðsørindum); командирова́ть на конфере́нцию senda til eina ráðstevnu; меня́ сюда́ командирова́ло предприя́тиетжeg eri sendur av fyritøkuni; eg eri her fyri fyritøkuna
командиро́вка	plurкомандиро́в|ки, ~ок, ~камf1.(поездка) tænastuferðж0-ir; forrætningsferð [-Ꞌra-]ж0-ir(б.ч. сотрудника частного предприятия); нау́чная командиро́вка námsferð2.tlm.(документ)síкомандиро́вочноеудостовере́ние
командиро́вочные	plurdagpengarмгл-iмн(undir ferð), ferðaviðbótж0-ur{ó/ø}
командиро́вочный	Imtlm.síкомандиро́ванныйIIIIadj: командиро́вочное удостовере́ние váttan um tænastuferð,síкомандиро́вка; командиро́вочные де́ньгиsíкомандиро́вочные
команди́рский	adj1.(ккоманди́р 1) (her)ovasta-,síкоманди́р12.(начальственный) myndigurглigur(avgjørdur) =>мо́стик2
кома́ндно-администрати́вный	adj síадминистрати́вно-кома́ндный
кома́ндный	adj1.(ккома́нда 1, 2) kommando- [-Ꞌma-]2. (ккома́нда 3) herdeildar-3.ítr.(ккома́нда 6) lið-; кома́ндное пе́рвенство liðkapping4.síкоманди́рский5.: кома́ндный социали́змatf.kommandososialisma [-Ꞌma-] (serl. um tíðarskeið undir Stalin o.a.)@кома́ндное положе́ние {кома́ндная пози́ция{высота́}}herða o.a.,ið gevur herliði fyrimun yvir fíggindanum;кома́ндный пунктkommandopostur [-Ꞌma-]мсогл-ar;кома́ндный соста́вyvirmennмнепрмн
кома́ндование	n1.чем-л.(действие) leiðslaжгл-aav o-m(руководство), kommando [-Ꞌma-]ж0-iryvir o-m,sbr.кома́ндовать (русскому отглагольному сущ. в переводе часто или предпочтительно соответствует глагольная форма); находи́ться подчьим-л.кома́ндованием {под кома́ндованиемкого-л.} standa undir kommandoini hjá [tʃʰ-]o-m, standa undirпосс.kommando; кома́ндование су́дном kommmando yvir einum skipi; кома́ндование ле́вым фла́нгом kommando yvir vinstru síðu2.koll(офицерский состав) kommando [-Ꞌma-]ж0-ir(heryvirvald), herstjórn [-stjœtn]; верхо́вное {гла́вное} кома́ндование yvirkommandoннк[iːv-], yvirherstjórnнп=>вы́сший2
кома́ндовать	кома́нду|ю, ~ешь, ~ютipf1.pfскома́ндоватьскома́нду|ю, ~ешь, ~ют(дать команду) kommandera [-Ꞌteː-]aði, gevaслнa-ó-ikommando [-Ꞌma-]проф.2.Ins(быть командиром чего-л.) kommandera [-Ꞌteː-]aðio-mпроф., havaнепрkommandoina [-Ꞌma-] yviro-mпроф.3.над кем-л., кем-к.tlm.(распоряжаться) kommandera [-Ꞌteː-]энкaðivið o-m, orðnaaðio-mнеформ.4.bert 3. pers brúktur(над чем-л.) (быть выше) hevjaaðisegupp um o-t
командо́р	m1.søg.(рыцарского ордена) stórmeistari [stœɹ-]мгл-ari(í riddaraordan)2.(офицер флота)yvirmaður í flotanum við ym. nøvnum(í vestureuropeiskum londum o.a.)3.søg.(офицер флота в России)yvirmaður í flotanum(í tign millum капитан 1-ого рангаogконтр-адмирал 4-й степени, í Russlandi 18.-19. øld)4.(председатель яхт-клуба) formaðurмнепрí stuttleikabátafelag5.ítr.(руководитель соревнований) kappingarleiðariмгл-ari
Командо́рские острова́	m plurKomandoroyggjarnar [-Ꞌtoː-]ж0-ar{+}мн опр.
Командо́ры	m plur síКомандо́рскиеострова́
кома́ндующий	Ipartic avкома́ндоватьIImovastiмгл-i(fyri herdeild, flotadeild o.ø.);o-r, ið hevur kommando [-Ꞌma-]; кома́ндующий а́рмией herovastiмгл-i; кома́ндующий фло́том flotaovastiмгл-i;
кома́р	Gen, Accкомар|а́;plurкомар|ы́, ~о́в, ~а́мm(подотряд Nematocera) mýggjabitiмгл-i@кома́р но́су не подто́читtlm.einki er at finnast at; alt er í fínasta lagi; har er einki at fýlast á =>искуса́ть,маляри́йный
комари́ный	adjmýggjabita-; комари́ный уку́с mýggjabit
кома́рник	mmýggjabitanetс0о
комато́зный	adjkoma-
комба́йн	m1.: зерново́й комба́йн skurðtreskjaжгл-aспец., с.-х.; хлопкоубо́рочный комба́йн bummulshentariмгл-ari(hentar og reinsar); го́рный комба́йн brotmaskinaжгл-a(í minu)2.: ку́хонный комба́йн køksmaskinaжгл-a, miksariмгл-ari, hvirlaжгл-a3.skip.síмногоцелево́йтра́улер =>зерноубо́рочный
комба́йнер	m o-r, sum koyrir skurðtreskju
комбайнёр	m síкомба́йнер
комба́т	m1.команди́р батальо́на ovastiмгл-ifyri bataljón [-Ꞌʎjɔun]2.команди́р батере́и ovastiмгл-ifyri battarí (kanónbattarí)
комбе́д	mкомите́т дереве́нской бедноты́søg.nevndin fyri fátækar bøndur (á bygd í Russlandi 1918-19)
комбидре́с	[-дрэ́с]mbodystocking [pɔtːistɔʰkː-]м0-ar, bulaldс0о({a/æ}
комбико́рм	plurкомбикорм|а́, ~о́в, ~а́мmblandingsfóðurс0осн
комбина́т	f1.(промышленный) samskipanж0-ir(størri ídnaðareind,ið umfatar fleiri verksmiðjur o.a.); промы́шленный комбина́т ídnaðarsamskipan2.(учебный) undirvísingarmiðstøðж0-ir(serliga á virki o.tíl.)@комбина́т бытово́го обслу́живанияtænastumiðstøðж0-ir
комбина́тор	mtlm.,spott.revurмсогл-ar(lúrið fólk), skálkurмсогл-ar
комбина́ция	f1.(сочетание) kombinatión [-Ꞌʃɔun]ннкж0-irпроф.; samansetingж0-ar(сочетание); комбина́ция кра́сок samanseting av litum, litsamanseting; комбина́ция цифр talkombinatión2.(уловка,манёвр) knepннкс0о, snildirж0-irмн, snildarráðс0омн3.talv(шахматная) kombinatión [-Ꞌʃɔun]ж0-ir4.(бельё) undirkjóliмгл-i
комбинезо́н	myviralsurмсогл-ar; ketildraktж0-ir; flúgvaradraktж0-ir(лётчика); flúgvaradraktж0-ir, kavadraktж0-ir(til børn) (детский)
комбини́рованный	Ipartic avкомбини́роватьIIadjkombineraður [-Ꞌneː-]ннкглaðurпроф.; samansetturсогл; комбини́рованный корм fóðurblandingurмсогл-ar, blandingsfóður; комбини́рованное су́дно kombinerað skip; комбини́рованный уда́р sameint álop
