д.	1.день2.дере́вня3.долгота́4.домsíдом; ул. Панфёрова, д. 11 Panfjorovs [-Ꞌfjoː-] gøta 11
ди́ктор	mupplesariмгл-ari(í útvarpi og sjónvarpi), frásøgufólkс0о(í útvarpi og sjónvarpi), speakari [spiː-]ннкмгл-ari
ди́кторша	plurди́кторш|и, ~ей, ~амftlm.upplesariмгл-ari(í útvarpi og sjónvarpi), frásøgufólkс0о(í útvarpi og sjónvarpi), speakari [spiː-]ннкмгл-ari(konufólk)
диктофо́н	mdiktafon [-Ꞌfoːn]ж0-ir
ди́кция	fframburðurмсогл-ir, úttalaжгл-a(произношение); diktión [tɪʰkꞋʃɔun]ж0-irпроф., спец.
ди́лдо	m indecldildoж0-ir,мгл-гл
диле́мма	ftvístøðaжгл-a, dilemma [tiꞋlεmːa]ннкс0гл-a; стоя́ть перед диле́ммой havaнепрtvinnar kostir í at velja, veraсоглa-ó-eí einum dilemmaннк
ди́лер	m1.(член биржи) vekslariмгл-ari(от других лиц); børsmeklari [-mεkl-]мгл-ari(за свой счёт)2.(банк)banki, ið selur og keypir virðisbrøv o.a.3.(представитель по продажи) søluumboðс0о{0<>i}4.jarg.(торговец наркотики) pushari [pʰʊʃː-]мгл-ariсленг, dealari [tiːl-]мгл-ariсленг
ди́лерский	adjvekslara-, meklara- [mεkl-]
ди́лерство	nvekslaravirksemiсгл-i, meklaravirksemi[mεkl-]сгл-i
дилета́нт	m1.(любитель) leikmaðurмнепр, amatørur [aːmaꞋtʰøː-]мсогл-аr2.atf.(о ком-л. плохо разбирающемся в чём-л.) krotusmiðurмсогл-s,-irнеодобр., fuskariмгл-ariнеодобр., dilettantur [tiːlɪꞋtʰa-]ннкмсогл-аrнеодобр.
дилетанти́зм	m1.(занятие без специальной подготовки) tað at fáast viðo-tsum amatørur [aːmaꞋtʰøː-]2.atf.(поверхностное отношение к чему-л.) krotusmíðс0о{0<>i}неодобр., fuskс0онеодобр., dilettantarí [tiːlɪtʰan̊taꞋrʊi]ннкс0о{0<>i}
дилета́нтский	adjamatørkendur [aːmaꞋtʰøː-]согл, dilettantiskur [tiːlɪꞋtʰa-]ннксоглsk
дилета́нтство	n síдилетанти́зм
дилижа́нс	mgml.post- og ferðafólkavognurмсогл-ar(drigin av hestum), diligensa [tiːliꞋʃan̊sa]жгл-a
ди́линг	mvekslingж0-armekling [mεkl-]ж0-ar
ди́линговый	adjvekslingar-, meklingar-[mεkl-]
ди́на	mdyn [tyːn]с0о({0<>i})(málieind)
динами́зм	mbókl.síдина́мика3
дина́мик	mhátalariмгл-ari
дина́мика	f1.fys.(раздел механики) dynamikkur [tyːnaꞋmɪ-]мсогл-аr, rørslulæraлпжгл-a2.bókl.(движение) rørslaжгл-a; kraftж0-ir{a/e}, alvс0оред.(сила); dynamikkur [tyːnaꞋmɪ-]ннкмсогл-аr
динами́т	mdynamitt [tyːnaꞋmɪʰtː]с0о
динами́тный	mdynamitt- [tyːnaꞋmɪʰtː-]
динами́ческий	adj1.fys.(кдина́мика 1) dynamiskur [tyꞋnaː-]соглsk, dynamikk- [tyːnaꞋmɪ-], sum viðv. rørslulæru,síдина́мика12.bókl.(богатый движением) við nógvaru rørslu, við nógvari kraft,dynamiskur [tyꞋnaː-]ннксоглsk
динами́чный	stfдинами́ч|ен, ~на, ~но, ~ныadj síдинами́ческий2
дина́мо	n indecldynamo [tyꞋnaː-] (тж[tiꞋnaː-])ж0-ir
дина́мо-маши́на	fdynamo [tyꞋnaː-] (тж[tiꞋnaː-])ж0-ir
динамо́метр	mdynamometur [tynaːmoꞋmeː-]с0осн
дина́р	mdinarur [-Ꞌnaː-]мсогл-аr(gjaldoyra)
династи́ческий	adjdynastiskur [tyꞋna-]соглsk
дина́стия	f1.(о монарках) (ráðandi) kongsættж0-ir, kongshúsж0-ir, (ráðandi) fúrstaættж0-ir, dynasti [tyːnaꞋstiː]ннкс0о(;0-ir){0<>i}2.fl.(о тружениках и др.) ættж0-ir(ættarlið í sama starvi o.tíl.), dynasti [tyːnaꞋstiː]ннкс0о(;0-ir){0<>i}
ди́нго	m indecl(Canis dingo) dingo [tɪŋko]мгл-гл
дин-ди́н	inter síдинь-до́н
дин-до́н	inter síдинь-до́н
диноза́вр	m1.djór. (животное(dinosaurur [-Ꞌsau-]мсогл-аr2.fl., niðr.(консервативный человек) ≈ fornleivd [fɔtnl-], [fɔnl-]ж0-ir(afturhaldsfólk)
динь-бо́м	inter síдинь-до́н
динь-ди́нь	inter síдинь-до́н
динь-до́н	interbimm-bamm (о колоколе); dingil-ling [ˌtɪŋkɪꞋlɪŋk], tingil-ling [ˌtʰɪŋkɪꞋlɪŋk] (о звонке, будильнике)
дио́д	mdioda [-Ꞌoːta]жгл-a
Диони́с	mmyt.Dionysos [tiːjoꞋnyːsɔs]м0-ar{0<>i}
диоптри́я	fdioptri [tiːɔʰpꞋtʰɹiː]ж0-ir
дипве́домство	nдипломати́ческое ве́домство (diplomatisk [tɪʰploˈmaː-]) umboðsstovaжгл-a
дипко́рпус	mдипломати́ческий (sí) ко́рпус
дипкурье́р	дипломати́ческий (sí) курье́р
дипло́м	m1.(свидетельство) prógvнпс0о{+}(próvskjal), próvbrævнпс0о{æ/ø}офиц., próvskjalнпс0о{a/ø}офиц., eksameninsbevís [-Ꞌsaː-]ннкс0о2.tlm.síдипло́мнаярабо́та3.(почётный) heiðursbrævс0о{æ/ø}, heiðursprógvс0о{+}@кра́сный дипло́мtlm.framúrskarandi gott prógv
диплома́нт	m1.(человек,награждённым дипломом)o-r,ið hevur fingið handað heiðursbræv2.(студент)lesandi, ið arbeiðir við høvuðsritgerð, síдипло́мнаярабо́та
диплома́нтка	plurдиплома́нт|ки, ~ок, ~камf1.(женщина,нажграждённая дипломом)o-r,ið hevur fingið handað heiðursbræv(konufólk)2.(студент)lesandi,ið arbeiðir við høvuðsritgerð(konufólk), síдипло́мнаярабо́та
диплома́т	m1.(должностное лицо) diplomatur [tɪʰploꞋmaː-]мсогл-ar(stjórnarumboð)2.fl.(об осторожном и др. человеке) diplomatur [tɪʰploꞋmaː-]мсогл-ar(varisligt og sáttligt fólk)3.tlm.(портфель) mappaжгл-a(áfløt taska), stressmappaжгл-aшутл.
дипломати́ческий	adj1.(кдипломати́я 1) diplomatiskur [tɪʰploꞋmaː-]соглsk; дипломати́ческий ко́рпус tað diplomatiska korpsið; дипломати́ческий курье́р diplomatiskur kurerur [-Ꞌreː-]; восстанови́ть{возобнови́ть} дипломати́ческие отноше́ния taka diplomatiskt samband uppaftur [-aʰtː-]; установи́ть дипломати́ческие отноше́ния seta á stovn diplomatiskt samband, knýtair(t)diplomatiskt samband; разорва́ть дипломати́ческие отноше́ния slíta tað diplomatiska sambandið; дипломати́ческим путём diplomatiskt, еftir [εʰtː-] diplomatiskum vegum; дипломати́ческая по́чта kurerpostur [-Ꞌreː-]2.fl.(искусный,тонкий) diplomatiskur [tɪʰploꞋmaː-]соглsk(varisligur,sáttligur)
дипломати́чный	stfдипломати́ч|ен, ~на, ~но, ~ныadj síдипломати́ческий2
дипломати́я	f1.(правительственная деятельность) diplomati [tɪʰplomaꞋtʰiː]с0о{0<>i}(stjórnarpolitikkur)2.fl.,tlm.(расчёт,осторожность) diplomati [tɪʰplomaꞋtʰiː]с0о{0<>i}; snildiсгл-i, snildabragdс0о{a/ø}(ухищрение)
дипломи́рованный	adjvið hægri útbúgving =>перево́дчик
дипло́мник	m lesandi, sum skrivar høvuðsuppgávu
дипло́мный	adj: дипло́мный прое́ктtekniskt projekt,ið verður latið inn, tá útbúgving við hægri tekniskan lærustovn verður lokin; дипло́мная рабо́та høvuðsritgerðж0-ir, serritgerðж0-irофиц., speciali [speꞋʃaː-]ннксгл-iпроф.=>защити́ть
дипми́ссия	fumboðsstovaжгл-a(diplomatisk)
дипно́мер	plurдипномер|а́, ~о́в, ~а́мmdiplomatnummar [-ˈmaː-]с0o{+}(á diplomatbili)
дипотноше́ние	nдипломати́ческое (sí) отноше́ние
дипшко́ла	f tlm. hægri lærustovnur til útbúgving av diplomatum
директи́ва	ffyriskipanж0-ir, leiðbeiningж0-ir, direktiv [tiːɹεʰkꞋtʰiːv]с0о({0<>i})проф.
директи́вный	adj1.(руководящий) vegleiðandiглandi2.(категорический) avgjørdur [au-] (тж[εav-])согл
дире́ктор	plurдиректор|а́, ~о́в, ~а́мmstjóri [stjɔuɹɪ]мгл-i; (skúla)stjóri [-stjɔuɹɪ]мгл-i(школы); rektariмгл-ari(гимназии,педагогического училища и др.)
директора́т	mstjórn [stjœtn]ж0-ir(stýri í stórari fyritøku)
директо́рий	m síдиректо́рияII
директо́рия1	Ifsøg.(правительство) direktorium [tiːɹεʰkꞋtʰoːɹijʊm]с0-um
директо́рия2	IIfteld.(компьютерная) katalog [kʰaʰtːaꞋloːk]ннкс0опроф., fíluskráлпж0-ir
дире́кторский	adjstjóra- [stjɔuɹa-], rektara- (síдире́ктор)
дире́кторша	plurдире́ктор|ши, ~, ~амftlm.stjóri [stjɔuɹɪ]мгл-i; (skúla)stjóri [-stjɔuɹɪ]мгл-i(школы); rektariмгл-ari(гимназии,педагогического училища и др.) (konufólk)
директри́са	fgml.el.skemt.skúlastjóri [-stjɔuɹɪ]мгл-i, inspektørur [-Ꞌtʰøː-]мсогл-arуст.(konufólk)
дире́кция	fstjórn [stjœtn]ж0-ir(stýri í fyritøku o.ø.), stýriсгл-i, direktión [tiːɹεʰkꞋʃɔun]ж0-irпроф.
дирижа́бль	mluftskipс0о
дирижёр	mdirigentur [tiːɹɪꞋkε-]мсогл-ar, kórleiðariмгл-ari(хора), orkesturleiðari [-Ꞌkʰε-]мгл-ari(оркестра)
дирижёрский	adjdirigent- [tiːɹɪꞋkε-]
дирижи́ровать	дирижи́ру|ю, ~ешь, ~ютipf чем-л.dirigera [tiːɹɪꞋkeː-]aðio-m{o-t}, stjórna [stjœtna]нпaðio-m
дисбу́рсментский	adj: дисбу́рсментский счётskip.disbursment [tɪsꞋpʊʂ-]с0омор., спец.(rokning)
дисгармони́ровать	дисгармони́ру|ю, ~ешь, ~ютipf с чем-л.1.mus.(находиться в дисгармонии) disharmonera [tɪsh-]aðivið o-tпроф., ikki harmonera [-Ꞌneː-]aðiпроф.2.fl.(находиться в несоответствии) ikki harmonera [-Ꞌneː-]ннкaðivið o-t, ikki hóskaaðisamanvið o-t
дисгармони́чный	stfдисгармони́ч|ен, ~на, ~но, ~ныadj1.mus.(о звуке) disharmoniskurсоглskмуз., проф.2.fl.(нарушающий согласие) misljóðandiлandi, sum skapar ósemju
дисгармо́ния	f1.mus.(о звуках) disharmoni [tɪshaɹmoni]ж0-irпроф.2.fl.(несоответсвие) misljóðс0о; ósamsvarс0о
диск	m1.(круг) skivaжгл-a; диск луны́ mánaklingra; ди́ск телефо́на nummarskiva2.anat.: (межпозвоно́чный {межпозвонко́вый}) диск diskurмсогл-ar(millum ryggjargeislar)спец.3.(атлетический снаряд)diskos [tɪskɔs]ж0-ir, klingraнпжгл-a; мета́ние ди́ска diskoskast, klingruvarping4.(бороны) skálж0-ir(á harvu)5.(пилы) blaðс0о{a/ø}(á rundsag o.ø.)6.djór.(у ската) skivaжгл-a(á skøtu)7.(грампластинка) grammofonpláta [kɹamːoꞋfoːn-]8.herm.(пулемёта) (runt) magasin [maːkaꞋsiːn]с0о(til maskinbyrsu,maskinpistól)9.teld.(устройство в компьютере) diskurмсогл-ar; вну́тренний диск harddiskurннкпроф., harðdiskurнп; ги́бкий диск floppy [flɔʰpːi] disk; diskilм0осн, disketta [tɪsˈkʰε-]ннкжгл-a; жёсткий диск harddiskurннкпроф., harðdiskurнп
ди́скант	m(голос и певец) diskantur [-Ꞌkʰa-]мсогл-ar(rødd og sangari)
диска́нт	m síди́скант
дисквалифика́ция	f1.(tilдисквалифици́роваться) missurмсогл-s,-irav kvalifikatiónum [kʰvaːlifiːkaꞋʃɔu-]ннк, missurмсогл-s,-irav førleika [fœɹ-]нп2.ítr.(о спортсмене) diskvalificering {diskvalifisering} [tɪskʰvaːlifiseː-]ж0-arспорт.
дисквалифици́ровать	дисквалифици́ру|ю, ~ешь, ~ютipf/pf Accítr.diskvalificera {diskvalifisera} [tɪskʰvaːlifiseː-]aðiВин спорт.
дисквалифици́роваться	дисквалифици́ру|юсь, ~ешься, ~ютсяipf/pfmissair(t)kvalifikatiónirnar [kʰvaːlifiːkaꞋʃɔu-]ннк, missair(t)førleikan [fœɹ-]нп, blíva ókvalificeraður {ókvalifiseraður} [ɔukʰvaːlifiseː-]ннкглaður
диске́та	fdiskilм0осн, disketta [tɪsꞋkʰε-]ннкжгл-a
диске́тка	plurдиске́т|ки, ~ок, ~камf síдиске́та
диск-жоке́й	mdiskjockey [-tʃɔʰkːi]м0-ar{дат.0}
ди́ско	m indecldiskomusikkurмсогл-a, diskotónleikurмсогл-
дискобо́л	mdiskoskastariмгл-ari, klingrukastariнпмгл-ari, klingruvarpariнпмгл-ari
дисково́д	mdiskettudrev [-Ꞌkε-]с0опроф., вчт., diskladrivнпс0о
ди́сковый	adjskivu-; ди́сковая фреза́ skivufresari; ди́сковые тормоза́bil.skivubremsur =>борона́
дискомфо́рт	mampiмгл-i, fortreð [-Ꞌtʰɹeː]с0о{0<>i}(ampi); испы́тывать дискомфо́рт a) (физ. неудобство, боль и т.д.)hava fortreð (ilt o.s.fr.)av Дат; b) (неудобство,неловкость) vera illa [ɪtla] við, føla seg illa [ɪtla]; hava fortreðav Дат
дискомфо́ртный	adjsum gero-nilla [ɪtla] við, óbehagiligur [-Ꞌhεa-]ннкглigur
диско́нт	m1.(учёт векселя) diskontering [tɪskʰɔn̊Ꞌtʰeː-]ж0-arфин.(av veksli)2.(процент) diskonto [tɪsꞋkʰɔn̊to]ж0-irфин.(renta)
дисконти́ровать	дисконти́ру|ю, ~ешь, ~ютipf/pf что-л.diskontera [tɪskʰɔn̊Ꞌtʰeː-]aðio-tфин.
дискоте́ка	mdiskotek [tiskoꞋtʰeːk]с0о
ди́ско-шля́гер	mdiskoslagari [-slaːk-]ннкмгл-ari
дискредита́ция	ftað at komaДатí ringt orð
дискредити́ровать	дискредити́ру|ю, ~ешь, ~ютipf/pf Acckomaслнo-o-oДатí ringt orð, beraслнa-ó-oilt fyriВин(клеветать); дискредити́ровать себя́ koma í ringt orð
дискре́тный	stfдискре́т|ен, ~на, ~но, ~ныadj mat., fakm.diskretur [tɪsˈkɹeː-]соглмат., спец.
дискриминацио́нный	adjdiskriminerings- [ˌtɪskɹiːmiꞋneː-], diskriminerandi [ˌtɪskɹiːmiꞋneː-]глandi
дискримина́ция	fdiskriminering [ˌtɪskɹiːmiꞋneː-]ж0-ar; mismunurмсогл-ir, mannamunurмсогл-ir; ра́совая дискримина́ция rasudiskriminering [raː-], rasumismunur [raː-]нп
дискримини́ровать	дискримини́ру|ю, ~ешь, ~ютipf Accbókl.diskriminera [ˌtɪskɹiːmiꞋneː-]aðiВин; geraнепрmismuná Дат, geraнепрmannamun, geraнепрmun áДат
диску́рс	mdiskursur [-ˈкʰʊ-]мсогл-arлингв., социол.
дискуссио́нный	adj1.(кдиску́ссия) umrøðu-, kjak-; подня́ть вопро́с в дискуссио́нном поря́дке taka eitt mál upp til umrøðu; дискуссио́нный клуб kjakfelag2.(спорный) sum ósemja er um, sum stríð stendst av; дискуссио́нный вопро́с eitt stríðsmál, ein umdiskuteraðurннкглaðurspurningur
дискусси́ровать	дискусси́ру|ю, ~ешь, ~ютipf síдискути́ровать
диску́ссия	forðaskiftiсгл-i, kjakс0о, diskussión [tɪskʊꞋʃɔun]ннкж0-ir; вступи́ть в диску́ссию leggja upp í orðaskifti, blanda seg upp í orðaskifti; он откры́л диску́ссиюeis.hann legði [lεijɪ] málið fram (til orðaskifti); по э́тому вопро́су идёт {ведётся} больша́я диску́ссияeis.hetta er ein nógv umrøddur spurningur
дискути́ровать	дискути́ру|ю, ~ешь, ~ютipf что-л.,о чём-л.kjakastaðiumo-t, diskutera [tɪskʊꞋtʰeː-]ннкaðio-t, skiftair(t)orð umo-t
дисле́ксия	forðblindiсгл-i, orðblindni [-plɪnːɪ]сгл-i
дислока́ция	f1.herm.(размещение войсковых частей и др.) stationering [staːʃoneː-]ннкж0-ar; placering [pʰlaꞋseː-]ннкж0-ar(военных учреждений и т.п.)2.jarðf.(смещение горных пород и т.п.) avlagingж0-arгеол.3.lækn.(смещение горных костей и т.п.) tað at fara av plássi (bein o.a.), dislokatión [ˌtisloːkaꞋʃɔun]ж0-irспец.,мед.
дислоци́ровать	дислоци́ру|ю, ~ешь, ~ютipf/pf что-л.herm.placera [-Ꞌseː-]ннкaðio-t(войсковые учреждения и т.п.), stationera [staːʃoneː-]ннкaðio-t(войсковые части и т.п.)
диспансе́р	[-сэ́р]mambulatorium [ˌampuːlaꞋtʰoː-]с0-um, (ambulatorisk [ˌampuːlaꞋtʰoː-]) klinikk [kʰliꞋnɪʰkː]ж0-ir(til fyribyrging og leking av ávísum sjúkum); туберкулёзный диспансе́р tuberklastøð [-Ꞌpε-]ж0-ir
диспансериза́ция	(eis.[-сэ-])fscreening [skɹiːn-]ж0-ar
диспепси́я	fmeltingarrtupulleikarмгл-iмн кн., dyspepsi [tʏspʰεʰpꞋsiː]ж0-irспец.
диспе́рсия	ffys.,astr.dispersión [tɪspʰεʂꞋʃɔun]ж0-irспец.
диспе́тчер	m(на транспорте) ferðsluleiðariмгл-ari, trafikkleiðari [-Ꞌfɪʰk-]ннкмгл-ari; flogleiðariмгл-ari, flúgvileiðariмгл-ari(в аэропорту)
диспе́тчерская	f(на транспорте) ferðsluleiðarastøðмгл-ari, trafikkleiðarastøð [-Ꞌfɪʰk-]ннкж0-ir; flogleiðarastøðж0-ir, flúgvileiðarastøðж0-ir
диспе́тчерский	adjferðsluleiðara-, trafikkleiðarа- [-Ꞌfɪʰk-]ннк; flogleiðarа-мгл-ari, flúgvileiðarа- (síдиспе́тчер)
диспле́й	[-плэ́й], [-пле́й]mskermurмсогл-ar, skíggiмгл-i(á teldu o tíl.) =>жидкокристалли́ческий
диспози́ция	f1.herm.(о военных кораблях) skipanж0-irav (krígs)flota2.herm.,gml.(о войсках) skipanж0-irav herinum (til bardaga)
диспропо́рция	fósambæriсгл-i, misjavniмгл-i
ди́спут	m(дискуссия) orðaskiftiсгл-i(vísindaligt,alment), kjakс0о(vísindaligt,alment), diskussión [tɪskʊꞋʃɔun]ннкж0-ir(vísindalig,almenn); вести́ ди́спут kjakastaði(vísindaliga,alment), diskutera [tɪskʊꞋtʰeː-]ннкaði(vísindaliga,alment), skiftair(t)orð um (vísindaliga,alment); disputera [tɪspʊꞋtʰeː-]aðiшутл., ред.
диссерта́бельный	adj sum tað ber til at skriva ritgerð um(síдиссерта́ция)
диссерта́нт	m o-r, ið verjir ella skal verja ritgerð(síдиссерта́ция); doktaraevniсгл-iофиц.(доктор)
диссерта́ция	fritgerðж0-ir(til at fáa vísindaligt stig); до́кторская диссерта́ция doktararitgerðж0-ir; disputatsur [tɪspʊꞋtʰa-]мсогл-arпроф.; кандида́тская диссерта́ция kandidatritgerð [kʰantiꞋtaː-],síкандида́тнау́к; защища́ть до́кторскую диссерта́цию verja doktararitgerð =>защи́та5,соиска́ние
диссида́	f jarg.andstøðingar [ans-]мсогл-arмн(til sitandi stýri), andstøða [ans-]жгл-a(til sitandi stýri)
диссиде́нт	mbókl.1.rel.(религиозный)o-r, sum er farin frá tí almennu kirkjuni; dissidentur [tɪsːiꞋtε-]интмсогл-arред.2.pol.(политический) andstøðingur [ans-]мсогл-ar, dissidentur [tɪsːiꞋtε-]интмсогл-arред.
диссимиля́ция	fmál.dissimilatión [tɪsːimiːlaꞋʃɔun]ж0-irпроф., ljóðfrálíkingлпж0-arспец.
диссона́нс	m1.mus.(о звуках) dissonansur [tɪsːoꞋna-]мсогл-arмуз.2.fl.(разлад) misljóðс0о{0<>i}
диссони́ровать	диссони́ру|ю, ~ешь, ~ютipf1.mus.(звучать диссонансом) skapaar(t);aðidissonans [tɪsːoꞋna-]муз.2.fl.(о разладе) skapaar(t);aðimisljóð
диссони́рующий	adjmus.við dissonansi [tɪsːoꞋna-]мсогл-arмуз
диссоциа́ция	fkem.,psyk. dissociatión [tɪsːosiːaꞋʃɔun]ж0-irхим.,псих.
дистанцио́нка	plurдистанцио́н|ки, ~ок, ~камf tlm.fjarstýringжгл-a(til sjónvarp o.a.)
дистанцио́нный	adjfjar-; дистанцио́нное управле́ние fjarstýringж0-ar; с дистанцио́нным управле́нием fjarstýrdur, fjernstýrdurннк; дистанцио́нный пу́льтик fjarstýringж0-ar, fjernbetjeningннкж0-ar(sjónvarp o.tíl.); дистанцио́нное кольцо́ avstandsringurспец.;дистанцио́нное образова́ние fjarútbúgving; дистанцио́нное обуче́ние fjarundirvísing, дистанцио́ная рабо́татжarbeiði heimanífra =>голосова́ние1
дистанци́роваться	дистанци́ру|ю, ~ешь, ~ютipf/pf от + Genhaldaслнe-i-iseg burturfrá Dat, distancera [-Ꞌseː-]ннкaðisegfrá Дат; leggjaнепрsjógv ímillum [-Ꞌmɪtl] seg ogВинидиом. (б.ч. более основательно)
диста́нция	f1.(расстояние) avstandurннкмсогл-s,-ir, fjarstøðaнпжгл-a; соблюда́ть диста́нцию halda avstandннк; уме́ньшить диста́нцию!herm.minni avstand!2.(участок) teinurмсогл-ar, strekkiсгл-i; distansi [tɪꞋsta-]мгл-iтехн., проф.; прошёл диста́нцую за… hann gekk teinin upp á...; сре́дняя диста́нция miðalstrekki; сойти́ с диста́нции gevastслнa-ó-i(at renna о.а.); вы́играть по су́мме диста́нцийítr.vinna samanlagt3.tlm.дистанцио́нный (sí) пу́льтик =>бег1,бегу́н
дистиллиро́ванный	adjdestilleraður [-Ꞌleː-]глaður, dropadrivinлпсоглосн
дистилли́ровать	дистилли́ру|ю, ~ешь, ~ютipf/pf что-л.destillera [-Ꞌleː-]aðio-t, dropadrívaлпслнei-i-io-t
дистилля́ция	fdestillering [-Ꞌleː-]ж0-ar, dropadrívingлпж0-ar
дистопи́я	f bókm.dystopi [tʏstoˈpʰiː]ж0-ir
дистрибути́в	mdistributión [tɪstɹipuꞋʃɔun]ж0-irкомп.(av software)
дистрибу́ция	f1.hand.(товаров и др.) distributión [tɪstɹipuꞋʃɔun]ж0-irторг.2.mál.(в языке) distributión [tɪstɹipuꞋʃɔun]ж0-irлингв.
дистрибью́тор	mdistributørur [-Ꞌtʰøː-]мсогл-arспец., distributor [-Ꞌpuː-]м0-arспец.
дистрибью́ция	f síдистрибу́ция1
дистро́фик	m o-r, ið hevur dystrofi [tʏstʰɹoꞋfiː], síдистрофи́я;tlm.o-r, ið er undirernerdurннксогл;o-r; ið er undirføddurсоглкн.,мед.;o-r, ið er rakføddurсоглкн.
дистрофи́я	fdystrofi [tʏstʰɹoꞋfiː]ж0-irмед.(sjúka í vøddum o.a.); megurð [meːvʊɹ]ж0-ar(истощение); мы́шечная дистрофи́я vøddasvinnс0о, muskulsvinnс0о
дисципли́на1	If(порядок) disciplin {disiplin} [tɪsɪꞋpʰliːn]ннкж0-ir, agiнпмгл-iофиц.; во́инская дисципли́на militer [miːliꞋtʰeːɹ]ннкdisciplinннк; желе́зная дисципли́на jarnhørð [-tn-] disciplinннк; трудова́я дисципли́на arbeiðsdisciplinннк; соблюда́ть дисципли́ну halda disciplinннк; aktaaði(слушаться); подде́рживать дисципли́ну halda disciplinннк; вну́тренняя дисципли́на sjálvdisciplin [ʃɔlt-]ннк, sjálvsagi [ʃɔl̥s-]кн.=>па́лочный2
дисципли́на2	IIf(предмет) vísindagreinж0-ar;0-ir, frøðigreinлпж0-ar;0-ir, fak [faːk]ннкс0о(vísindagrein), disciplin {disiplin} [tɪsɪꞋpʰliːn]ж0-irпроф.
дисциплина́рный	adjdiscipliner- {disipliner-} [tɪsɪʰpliꞋneː-]; дисциплина́рный батальо́н straffibataljón; дисциплина́рный уста́в reglugerð um agaкн.,офиц.; дисциплина́рное взыска́ние disciplinerstraffur [tɪsɪʰpliꞋneː-]мсогл-s,-ir; дисциплина́рный посту́пок disciplinerbrot [tɪsɪʰpliꞋneː-]с0о
дисциплини́рованность	fdisciplin {disiplin} [tɪsɪꞋpʰliːn]ннкж0-ir
дисциплини́рованный	adjdisciplineraður {disiplineraður} [tɪsɪʰpliꞋneː-]ннкглaður
дисциплини́ровать	дисциплини́ру|ю, ~ешь, ~ютipf Accdisciplinera {disiplinera} [tɪsɪʰpliꞋneː-]ннкaðiВин
дитя́	(Gen, Acc, Dat, Prp, Ins singдитя́тиgml.); plurде́ти, дете́й, де́тямn1.gml.(ребёнок) (smá)barn [-tn]с0о{a/ø}2.fl.hátíð.(человек) barn [-tn]с0о{a/ø}перен.; дитя́ эпо́хи eitt barn av sínari tíð; дитя́ приро́ды natúrbarn [-Ꞌtʰʉu-]3.fl.hátíð.(порождение) barn [-tn]с0о{a/ø}перен.(úrslit); поро́к - дитя́ нищеты́ lastin er barn av armóðini@чем бы дитя́ ни те́шилось, лишь бы не пла́калоhvat verður ikki gjørt fyri húsfrið [hʏs-] =>ня́нька@
дифира́мб	m1.bókm.,søg.(песнь;стихотворение) dityramba [tiːtʰyꞋra-]жгл-aлит., ист.2.fl.(похвала) lovsangurмсогл-s,-ir, lovorðс0о;перен.; петькому-л.дифира́мбы hevjaaðio-ntil skýggja
дифра́кция	f(aldu-, bylgju-, ljós)boyggingж0-ar
дифтери́йный	adjdifteritis- [tɪftɪꞋriːtɪs], difteri- [tɪftɪꞋriː-]; дифтери́йная па́лочка difteritisbasilla
дифтери́т	mdifteritis [tɪftɪꞋriːtɪs]с0{дат.0}, difteri [tɪftɪꞋriː]с0гл(num)(inum)
дифтери́я	fdifteri [tɪftɪꞋriː-]с0гл(num)(inum), difteritis [tɪftɪꞋriːtɪs]с0{дат.0}
дифто́нг	mtvíljóðс0о{0<>i}, diftongur [tɪfꞋtʰɔŋk-]мсогл-arпроф.
дифтонгиза́ция	ftvíljóðanлпж0-ir, diftongisering [tɪftʰɔŋkiꞋseː-]ж0-arпроф.
диффере́нт	mtrimmс0омор., trimmingж0-arмор.; с диффере́нтом на нос trimmaður á bógvin
дифференциа́л	mmat.,bil.differentiali [tɪfːɪrεɲ̊Ꞌʃaːlɪ]сгл-i
дифференциа́льный	adj1.mat.(кдифференциа́л) differential- [tɪfːɪrεɲ̊Ꞌʃaːl-]; дифференциа́льное исчисле́ние differentialrokning [tɪfːɪrεɲ̊Ꞌʃaːl-]2.(различный,неодинаковый) differentieraður [tɪfːɪrεɲ̊Ꞌʃeː-]глaðurспец.; дифференциа́льный тари́ф differentieraður takstur
дифференциа́ция	fdifferentiering [tɪfːɪrεɲ̊Ꞌʃeː-]ж0-ar
дифференци́рованный	adjdifferentieraður [tɪfːɪrεɲ̊Ꞌʃeː-]глaðurспец.
дифференци́ровать	дифференци́ру|ю, ~ешь, ~ютчто-л.1.ipf/pf(разчленять,различать) differentiera [tɪfːɪrεɲ̊Ꞌʃeː-]aðio-спец..2.pfпродифференци́роватьпродифференци́ру|ю, ~ешь, ~ютmat.(найти дифференциал) differentiera [tɪfːɪrεɲ̊Ꞌʃeː-]aðio-t
диффу́зия	ffys.diffusión [tɪfuꞋʃɔun]ж0-irспец.
диффу́зный	adj1.fys.(кдиффу́зия) spjaddurсогл{a/ø}(sum eitt úrslit av diffusión)2.bókl.(нечёткий) ógreiðurгл(неясный), óskilligur (тж[-Ꞌʃɪlː-])глigur(неясный), kámurсогл(туманный), óskiljandiглandi(непонятный)
диффу́зор	mbil.venturirør [-Ꞌtʰuːɹi-]с0о, venturidysa [-Ꞌtʰuːɹityː-]жгл-a
дихотоми́я	fdikotomi [-Ꞌmiː-]интж0-irспец.; tvígreiningлпж0-ar
