ф	1.ферзь frúgv, drotning (í talvi)2.фара́да F farad [faː-]
фи́жмы	фижм, фи́жмамf plurgml.fiskabeinsskjúrtс0о; krinolina [-Ꞌliː-]жгл-a(юбка)
физ...1	I физи́ческий fysiskur [fyː-]соглsk, alisligurлпглigur; физфа́к (физи́ческий факульте́т) fysiskt fakultet [-Ꞌtʰeːt], alisfrøðiligлпmegindeildлп
физ...2	II физкульту́рный ítrótta-, fimleika-,síфизкульту́ра; физвоспита́ние kropslig venjing; физзаря́дкаtlm.kropsvenjing
фи́зик	mfysikari [fyː-]мгл-ari, alisfrøðingurнпмсогл-ar
фи́зика	ffysikk [fyꞋsɪʰkː]ж0-ir, alisfrøðiнпжгл-i; а́томная {я́дерная} фи́зика atomfysikk [-Ꞌtʰoː-], kjarnorkufysikk [-tn-], kjarnorkualisfrøði [-tn-]нп
физиогно́мика	ffysiognomikk [fyːsioknoˈmɪʰkː]интж0-irспец.
физио́лог	mfysiologur [fyːsioꞋloːk-]мсогл-ar,lívvirkisfrøðingurлпмсогл-ar
физиологи́ческий	adjfysiologiskur [fyːsioꞋloːk-]соглsk, lívvirkisligurлпглigur
физиоло́гия	ffysiologi [fyːsioloꞋkiː]ж0-ir, lívvirkisfrøðiлпжгл-i
физионо́мия	f1.tlm.(лицо) ansiktннкс0о, andlit [anl-]с0о; snáðж0-ir(частопренебр.), skorturмсогл-arгрубо, gronж0-irгрубо2.fl.,tlm.(внешний облик) útsjónd [ʏʰt-]ж0-ir
физиотерапе́вт	mfysioterapeutur [fyːsiotʰeːɹapʰœu-]мсогл-ar, alisviðgeriлпмгл-i
физиотерапевти́ческий	adjfysioterapeutiskur [fyːsiotʰeːɹapʰœu-]соглsk
физиотерапи́я	ffysioterapi [fyːsio-]ж0-ir, alisviðgerð [-vɪtʃ-]лпж0-ir
физи́чески	adv: физи́чески невозмо́жно fysiskt [fyː-] ómøguligt [-Ꞌmøːv-]ннк
физи́ческий	adj1.(кфи́зика) fysiskur [fyː-]соглsk,fysikk- [fyꞋsɪʰkː-];alisligurлпглigur, alis-лп; alisfrøðiligurнпглigur(относящийся к науке);физи́ческое сво́йство fysiskur eginleiki, alisligurлпeginleiki; физи́ческий кабине́т fysikkstova [fyꞋsɪʰk-]2.(телесный) kropsligurглigur, likamligurглigur, fysiskur [fyː-]ннксоглsk; физи́ческий труд kropsligt arbeiði, fysisktннкarbeiði; физи́ческий недоста́ток kropsligt brek; рабо́тники физи́ческого и у́мственного труда́ tey, ið fáast við handligt og andligt arbeiði; примени́ть физи́ческое наси́лие brúka likamligan harðskap [haʂ-]; физи́ческое воспита́ние kropslig venjing3.(относящийся к половым отношениям) holdsligurглigur, kynsligurглigur; физи́ческая бли́зость kynslig samvera4.bókl.(вещественный,материальный) materiellur [-Ꞌεlː-]согл; физи́ческий изно́с маши́н materielt slit av bilum@физи́ческая культу́раsíфизкульту́ра;физи́ческая геогра́фияfysisk geografi [keːokɹaꞋfiː];физи́ческая хи́мияfysisk kemi [kʰeꞋmiː]
фи́зия	f óvkm.skorturмсогл-arгрубо, gronж0-irгрубо
физкульту́ра	fkropsvenjingж0-ar; fimleikurмсогл-s,-ir, gymnastikk [kʏmnaꞋstɪʰkː]ннкс0оуст.(гимнастика)
физкульту́рник	f1.(спортсмен) ítróttamaður [-tɹɔʰtː-]мнепр2.tlm.(преподаватель) fimleikalærariмгл-ari
физкульту́рница	f1.(спортсменка) itróttakvinna [-tɹɔʰtː-]жгл-a2.tlm.(преподавательница) fimleikalærarinna [-ɪnta]жгл-a
физкульту́рный	adjítrótta- [-tɹɔʰtː-]
фикс	: иде́я фикс ein fiks idé [-Ꞌteː]ннк
фикса́ж	m1.(раствор) fikserbað [-Ꞌseː-]с0о2.(вещество) fiksativ [-Ꞌtʰiːv]с0о; fiksersalt [-Ꞌseː-]с0о(соль)
фикса́тор	mhaldariмгл-ari; palur [pʰaː-]мсогл-arтехн.
фиксатуа́р	mhárkremс0о, brillantina [-ɪʎjan̊Ꞌtʰiː-]жгл-a
фикса́ция	f1.(запись) tað at festa (niður)2.(установление) ásetanж0-ir3.(закрепление) festingж0-ar4.foto(фото) fiksering [-Ꞌseː-]ж0-a;síфикси́ровать(русскому отглагольному сущ. в переводе часто или предпочтительно соответствует глагольная форма)
фикси́ровать	фикси́ру|ю, ~ешь, ~ютipf что-л.1.pfзафикси́роватьзафикси́ру|ю, ~ешь, ~ют(записывать) festair(t)o-tá blað (на бумагу), goymair(d)o-tí minni, leggjaнепрsæro-tí geyma (в памяти)2.pfзафикси́роватьзафикси́ру|ю, ~ешь, ~ют(устанавливать) ásetaur(t);ir(t)o-t, leggjaнепрo-tfast3.pf(сосредоточивать) festair(t); фикси́ровать внима́ниена Prpfesta uppmerksemið [-Ꞌmε-]við Вин; фикси́ровать свой взглядна Prpstarair(d)at Dat, bínair(d)Винígjøgnum [-Ꞌtʃœ-]4.(закреплять в определённом положении) festair(t)o-tío-t, haldaслнe-i-io-mføstum; fiksera [-Ꞌseː-]aðio-tпроф.,мед.; фикси́ровать сло́манную но́гу fiksera eitt brotið bein5.foto(фото) fiksera [-Ꞌseː-]aðio-t
фикти́вный	stfфикти́в|ен, ~на, ~но, ~ныadj1.(выдуманный) fiktivurинтсогл; pentaðurглaðursaman, íspunninсоглосн(придуманный); фикти́вный капита́л fiktivur kapitalur [kʰaːpiꞋtʰaː-]2.(поддельный) falskurсогл{a/ø}@фикти́вный бракproformahjúnaband [-Ꞌfɔɹmatʃ-]
фи́кус	m(Ficus elastica) ficus [fiːkʊs]ж0-ar
фи́кция	ffiktión [-Ꞌʃɔun]интж0-ir
филантро́п	mfilantropur [-Ꞌtʰɹoː-]интмсогл-ar, vælgerariмгл-ari
филантропи́ческий	adjfilantropiskur [-Ꞌtʰɹoː-]интсоглsk, vælgerandiглandi
филантро́пия	ffilantropi [-Ꞌpʰiː]ж0-ir
филармони́ческий	adjfilharmoniskur [-Ꞌmoː-]соглsk
филармо́ния	ffilharmoni [-Ꞌniː]ж0-ir
филатели́ст	[-тэ-]mfrímerkjasavnariмгл-ari, frímerkjasamlariмгл-ari, filatelistur [-Ꞌlɪ-]мсогл-ar
филателисти́ческий	[-тэ-]adjfrímerkja-, filatelistiskur [-Ꞌlɪ-]соглsk]
филатели́я	[-тэ-]ffilateli [-Ꞌliː]ж0-ir, tað at savna frímerkir, tað at samla upp á frímerkir
филе́1	In indecl1.(мясо) filet [-Ꞌleː]ж0-ir(av kjøti)2.(рыбное) flakс0о{a/ø}, filet [-Ꞌleː]ннкж0-ir; филе́-ба́бочка butterfly [pɔʰtːεɹflai]с нескл., flapsс0омн; треско́вое филе́ toskaflak
филе́2	IIn indecl(вышивка) filet [fiꞋleː]ж0-ir(slag av seyming)
филе́й	m síфиле́I
филе́йный1	Iadj1.filet- [-Ꞌleː-] (síфиле́I 1)2.flaka-, filet- [-Ꞌleː-]ннк(síфиле́I 2); филе́йная маши́на flakamaskina
филе́йный2	IIadjfilet- [fiꞋleː-] (síфиле́II)
филёнка	plurфилён| ки, ~ок, ~камf1.(доска) fylling [-tl-]ж0-ar(í hurð o.a.); panel [-Ꞌneːl]с0о2. (полоска) bordiмгл-i(ið skilur litir frá hvørjum øðrum á einari flatu)
филёр	mgml.uppdagari [-Ꞌteː-]ннкмгл-ari, detektivur [-Ꞌtʰiː-]мсогл-ar
филети́рование	nflakaskeringж0-ar; филети́рование вручну́ю hondskering [hɔnʃ-]ж0-arav flaki =>ли́ния4
филети́ровать	филети́ру|ю, ~ешь, ~ютipf/pf Accflakaskeraслнa-ó-oВин, skeraслнa-ó-oВинtil flak (fisk)
филетиро́вочный	adj fisk. flakaskeri-, flaka-; филетиро́вочная маши́на flakaskerimaskina, flakamaskina
филиа́л	mdeildж0-ir, filialur [-Ꞌaː-]ннкмсогл-ar; úthandilм0осн-s,-arист.(коммерческого учреждения,в другой местности); филиа́л ба́нкатжútbankiмгл-i(б.ч. в другом городе)
филигра́нный	adj1.(кфилигра́нь 1) filigran- [-Ꞌkɹanː-]2.fl.(о выполнении) nettligurглigur, fínligurглigur; nærkvæmsligur [naɹ̥kasl-]глigur(тщательный)
филигра́нь	f1.(изделие) filigran [-Ꞌkɹanː]с0о({0<>i})2.(водяной знак) vatnmerki [vanm-]сгл-i
фи́лин	m(Bubo bubo) stór hornugla [-tn-]жгл-a
фили́ппика	fbókl.torutalaжгл-a
филиппи́нец	Gen, Accфилиппи́нц|а; plur~ы, ~ев, ~амmfilippinari [-Ꞌpʰiː-]мгл-ari, filipsoyingurлпмсогл-ar
филиппи́нка	plurфилиппи́н|ки, ~ок, ~камffilippinari [-Ꞌpʰiː-]мгл-ari, filipsoyingurлпмсогл-ar(konufólk); она́ филиппи́нкатжhon er filippinsk [-Ꞌpʰiː-], hon er úr Filippinunum [-Ꞌpʰiː-]ннк
Филиппи́нские острова́	Filippinurnar [-Ꞌpʰiː-]ннкжгл-aмн опр., Filipsoyggjarнпж0-ar{+}мн(на + Prp -á + Дат)
филиппи́нский	adjfilippinskur [-Ꞌpʰiː-]соглsk
Филиппи́ны	Филиппи́н, ~амf plurFilippinurnar [-Ꞌpʰiː-]ннкмгл-aмн опр., Filipsoyggjarнпж0-ar{+}мн(на + Prp - á + Дат)
фили́стер	msmáborgariмгл-ari
фили́стерский	adjsmáborgaraligurглigur
фили́стерство	nsmáborgaraligheitж0-ir
филокарти́ст	npostkortasamlariмгл-ari
филол.	1.филоло́гия2.филологи́ческий
фило́лог	mmálgranskariмгл-ari, málfrøðingurмсогл-ar, filologur [-Ꞌloːk-]интмсогл-ar
филологи́ческий	adjfilologiskur [-Ꞌloːk-]интсоглsk, málfrøðiligurглigur
филоло́гия	ffilologi [-Ꞌkiː-]интж0-ir, málfrøðiжгл-i, málgranskingж0-ar
фило́н	móvkm.letivættiсгл-i
фило́нить	фило́н|ю, ~ишь, ~ятipfóvkm.dovnastaði, letastaði
филос.	1.филосо́фия2.филосо́фский
фило́соф	mfilosoffur [-Ꞌsɔ-]ннкмсогл-ar, heimspekingurнпмсогл-ar
философи́чный	stfфилософи́ч|ен, ~на, ~ноadjgml.síфилосо́фский
филосо́фия	ffilosofi [-Ꞌfiː-]ннкж0-ir, heimspekiнпжгл-i@разводи́ть филосо́фиюtlm.filosofera [-Ꞌfeː-]aðiнеформ.
филосо́фски	adv(невозмутимо) uttan at lata við seg koma, filosofiskt [-Ꞌsoː-]ннк
филосо́фский	adj1.(кфилосо́фия) filosofiskur [-Ꞌsoː-]ннксоглsk, heimspekiligurнпглigur2.fl.(вдумчивый,спокойный) filosofiskur [-Ꞌsoː-]ннксоглsk; филосо́фское споко́йствие filosofisk ró; филосо́фским ви́дом við einum filosofiskum úttrykkiннк, við einum filosofiskum yvirbragdi@филосо́фский ка́меньvísdómssteinur
филосо́фствовать	филосо́фству|ю, ~ешь, ~ютipf1.gml.(заниматься философскими построениями) fáastслнe-i-ivið filosofiskar [-Ꞌsoː-]ннкspurningar, fáastслнe-i-ivið heimspekiligarнпspurningar2.fl.,tlm..(умствовать) filosofera [-Ꞌfeː-]aðiнеформ.,неодобр.(fáast við grundleysar spekulatiónir o.tíl.)
филумени́я	ftaðatsamla upp á etikettir av svávuldósum
фи́лькин	adj: фи́лькина гра́мота pappírslepiмгл-i
фильм	m1.(со снимками) filmurмсогл-ar;согл-s,-ir, kykmyndж0-irкн., kvikmyndж0-irкн.; худо́жественный фильм spælifilmur; звуково́й фильм talufilmur, filmur við talu2.(плёнка) filmurмсогл-ar;согл-s,-ir(leingja sum,spælifilmur o.a. verður tikin upp á) =>документа́льный,игрово́й,снять8,ста́вить14,цветно́й1
фильмме́йкер	[-мэ́-]mfilmsleikstjóri [-stjɔu-]нпмгл-i, filminstruktørurннкмсогл-arпроф.
фильмоско́п	mframvísariмгл-ari, ljósmyndatólнпс0о
фильмоте́ка	ffilmsavnс0о{a/ø}
фильтр	mfilturс0осн
фильтра́т	mfiltrat [-Ꞌtʰɹaːt]с0оспец., sílaður løgurмсогл-ir{ø/a}
фильтра́ция	f1.(фильтровка) filtrering [-Ꞌtʰɹeː-]ж0-ar2.(просачивание) seyringж0-ar
фильтрова́льный	adjfiltrer- [-Ꞌtʰɹeː-]ннкпроф.; фильтрова́льная бума́га filtrerpapír [-Ꞌtʰɹeː-]ннкпроф.
фильтрова́ть	фильтру́|ю, ~ешь, ~ютipf(pfпрофильтрова́тьпрофильтру́|ю, ~ешь, ~ют, отфильтрова́тьпрофильтру́|ю, ~ешь, ~ют)что-л.filtrera [-Ꞌtʰɹeː-]aðio-t
фимиа́м	mroykilsiсгл-i@кури́ть фимиа́мкому-л.rósaar(t);aðio-mtil skýggja
фимо́з	m lækn.ov [oː] trong forhúðж0-ir(á kynslimi hjá manni)
фин...	í samansfíggjar-,t.d.финотде́л
фина́л	m1.(конец) endiмгл-i; endabresturмсогл-s,-ir(заключительное усилие и т.п.)2.sjónl.(часть спектакля и т.п.) endamyndнпж0-ir, síðsta myndнпж0-ir, finala [-Ꞌnaː-]ннкжгл-a3.mus.(часть музыкального произведения) finala [-Ꞌnaː-]жгл-a4.ítr.(часть спортивного соревнования) finala [-Ꞌnaː-]жгл-a;вы́йти в фина́л koma í finaluna
финали́ст	mfinalistur [-Ꞌlɪ-]мсогл-ar
фина́льный	adj1.(конечный) enda-; фина́льная часть (оперы, симфонии) finala [-Ꞌnaː-]жгл-aмуз.; фина́льная сце́на endamyndж0-ir, síðsta myndж0-ir, finala [-Ꞌnaː-]ннкжгл-a; фина́льный акко́рд endaakkord2.ítr.(о спортивных соревнованиях) finalu- [-Ꞌnaː-]; фина́льный матч {фина́льная встре́ча} finaludystur [-Ꞌnaː-]
финанси́рование	nfíggingж0-ar, finansiering [finan̊sꞋjeː-], [finan̊Ꞌʃeː-]ннкж0-ar; наро́дмое финанси́рование crowdfunding [kʰɹautfɔ-]ж0-ar, hópfíggingжo-ar
финанси́ровать	финанси́ру|ю, ~ешь, ~ютipf/pf что-л.fíggjaaðio-t
финанси́ст	m1.(специалист) fíggjarfrøðingurмсогл-ar2.(владелец капитала) pengamaðurмнепр
фина́нсовый	adjfíggjar-; фина́нсовые дела́ fíggjarmál; фина́нсовый год fíggjarár, roknskaparár; фина́нсовое положе́ние figgjarstøða; фина́нсовые затрудне́ния fíggjartrupulleikar
фина́нсы	m plur1.(денежные дела) fíggjarmálс0омн, fíggjarviðurskiftirсгл-iмн; мини́стр фина́нсов fíggjarmálaráðharri, finansministari [-Ꞌna-]ннк2.tlm.(деньги) pengarмгл-iмн, finansur [-Ꞌna-]энкж0-urмншутл.@у него́фина́нсы пою́т рома́нсыtlm.,skemt.hann eigur ikki eitt oyra
финва́л	m(Balaenoptera physalus) nebbafiskurмсогл-ar
фи́ник	mdadlaжгл-a
финики́ец	Gen, Accфиники́йц|а; plur~ы, ~ев, ~амmfønikari [-Ꞌniː-]мгл-ari, føniki [-Ꞌniː-]мгл-i
финики́йский	adjfønikiskur [-Ꞌniːk-]соглsk
Финики́я	fsøg.Fønikien [-Ꞌniːk-]ннкс0{дат.0}, Fønikia [-Ꞌniːk-]с нескл.(тжбибл.жгл-a)
фи́никовый	adjdadlu-; фи́никовая па́льма (Phoenix dactylifera) dadlupálmi
фининспе́ктор	[-ын-]plurфининспектор|а́, ~о́в, ~а́мmфина́нсовый инспе́ктор skattaeftirlitsmaður [-εʰtː-]мнепр
фини́фть	f1.(на металлических изделиях) emalja [eꞋmaʎja]жгл-a(á metalllist)2.oftast plur(художественные изделия) emalja [eꞋmaʎja]жгл-a(listaverk)
фи́ниш	m1.(заключительная часть состязания) síðsta takiðс0o{a/ø}; endadysturмсогл-s,-ir2.(конечный пункт) málс0o(í ítróttakappingum o.tíl.); прийти́ к фи́нишу koma í mál; от ста́рта до фи́ниша frá starti til mál; судья́ на фи́нише máldómari
финиши́ровать	финиши́ру|ю, ~ешь, ~ютipf/pf1.(прийти к финишу) komaслнo-o-oí mál2.(делать финишный рывок) spurtaaðiспорт.
фи́нишный	adjmál-; фи́нишная черта́ málstrika; фи́нишная ле́нта málsnórur; фи́нишный рыво́к endaspurtureis.fl.; он вы́шел на фи́нишную пряму́юeis.fl.nærkast endanum
фи́нка1	Iplurфи́н|ки, ~ок, ~камf(женщина) finsk konaжгл-a, finsk gentaжгл-a(девушка)
фи́нка2	IIplurфи́н|ки, ~ок, ~камf(нож)knívur við stuttum, breiðum blað
Финля́ндия	fFinnlandс0о{a/o}
финн	mfinniмгл-i
фи́нно-уго́рский	adjfinsk-ugriskurсоглsk-соглsk; фи́нно-уго́рские языки́ finsk-ugrisk mál
фи́нский	adjfinskurсоглnsk; фи́нский язы́к finskt [fɪŋ̊kst]сприлskt@фи́нские са́ниsparkariмгл-ari;фи́нский ножsíфи́нкаII
Фи́нский зали́в	Finska víkinж0-irопр.
финт	m1.óvkm.(хитрая уловка) snildirж0-ir, knepннкс0о2.ítr.(в спорте) fintaсгл-a
фи́нта	f(Alosa fallax) stavsildж0-ir
финти́ть	финчу́, финт|и́шь, ~я́тipftlm.hjáputrast [tʃʰ-]aði, tosaaðivið kávalæti
финтифлю́шка	plurфинтифлю́ш|ки, ~ек, ~камf1.tlm.(мелкое украшение) nipsс0о2.tlm.,niðr.(легкомысленная женщина) leyslátað konufólkс0о
ф.и.о.	[фи́о] фами́лия, и́мя и о́тчество (á oyðubløðum) eftirnavn [εʰtː-], fornavn og faðirsnavn; ва́ше ф.и.о?skemt.hvat er navnið?
Ф.И.О.	[фи́о]síф.и.о.
фиоле́товый	adjviolettur [-Ꞌlε-]согл
фио́рд	msíфьорд
фиориту́ра	ffioritur [-ˈtʰuːɹ]Ж0-ir
фирма́	f síфи́рма2
фи́рма	f1.(предприятие) firmaс0гл-a, felagс0о{a/ø}{0<>i}(handilsfelag), fyritøkaжгл-a2.(oftast úttalaðфирма́)óvkm.dygdarvøraжгл-a(о товаре); valaarbeiðiсгл-i(о работе); Ю́рка - не фирма́ tað er eingin fongur í Jurij@под фи́рмойчего-л.við at látast sumo-t, við at látast verao-t
фи́рма-рие́лтер	[-э́л-]Genфи́рмы-рие́лтераfhúsameklarafelаgс0о{a/ø}{0<>i}
фи́рма-спо́нсор	f-msponsorfyritøkaжгл-a
фирма́ч	Gen, Accфирмач|а́; plur~и́, ~е́й, ~а́мmtlm.stjóri [stj͈-]мгл-ifyri felag; umboðс0оfyri felag (представитель)
фи́рменный	adj1.(кфи́рма 1) firma- ; фи́рменный магази́н handil hjá [tʃʰ-] firma (sum firma eigur sjálvt); фи́рменное блю́до specialitetur [speːsiaːliꞋtʰeː-]мсогл-ar(hjá restauratión o.tíl.)2.óvkm.(очень хороший) fínurсогл(frálíkur), óføra góðurгл{+}=>знак1
фирн	mjarðf.fyrni [-tnɪ]сгл-iгеол.
фисгармо́ния	f(stovu)orgulс0осн, harmonium [-Ꞌmoː-]с0-um
фиска́л	mtlm.smettariглari(smettubiti)
фиска́лить	фиска́л|ю, ~ишь, ~ятipftlm.на Accsmettaaðium Вин, slatraaðium Вин
фиска́льный	adjfíggjar-, skatta- (налоговый)
фиста́шка	plurфиста́ш|ки, ~ек, ~камf1.(Pistacia vera) pistasjutræ [-Ꞌstaː-]с0o{æ/ø}{0<>i}2. (плод) pistasjunøt [-Ꞌstaː-]ж0-ir
фиста́шковый	adj1.(кфиста́шка) pistasju- [-Ꞌstaː-]2.(о цвете) pistasjugrønur [-Ꞌstaː-]согл
фи́стула	f(свищ) fistilм0осн-s,arмед.
фистула́	f síфальце́т
фити́ль	Genфитил|я́;plur~и́, ~е́й, ~я́мm1.(у лампы и т.п.) veikurмсогл-s,-ir2.(у пушки и т.п.) fjúsс0о3.: вста́вить фити́лькому-л.gevao-meina yvirháling [-Ꞌhɔa-]энкнеформ., gevao-mav grovfílini [kɹɔf-]=>подкрути́ть
фи́тнес	[-нэ-]mfitness [fɪʰtn-]с0о
фи́тнес-...	[-нэ-] fitness- [fɪʰtn-]
фитнес-клу́б	[-нэ-]mfitnessfelag [fɪʰtn-]с0o{a/ø}{0<>i}
фитнес-програ́мма	[-нэ-]f(venjngar)skráжo-ir{+}fyri fitness [fɪʰtn-]
фи́тнесс	[-нэ-]m síфи́тнес
фи́тнесс-...	[-нэ-]síфи́тнес-...
фитнес-це́нтр	[-нэ-]mfitnesssentur [fɪʰtn-]с0осн, fitnessdepil [fɪʰtn-]нпм0осн-s,-ar, fitnessmiðstøð [fɪʰtn-]нпж0-ir
фито..	í samansvakstrar-, plantu-
фитопланкто́н	mfytoplankton [fyː-]с0оспец., plantuplanktonс0о
фитосанита́рный	stfфитосанита́р|ен, ~на, ~но, ~ныadjfytosaniterur [fyːtosaːniˈtʰeː-]соглспец.
фитотерапе́вт	m serfrøðingur í leking við læknaurtum, síфитотерапи́я
фитотерапи́я	flekingж0-arvið læknaurtum, fytoterapi [fyː-] ж0-irспец.,ред.
фитю́лька	plurфитю́льки, фитю́лек, фитю́лькамf1.(предмет) smátingс0о2.(о человеке) pinkulingurссогл-ar, nollс0о
фи́фа	ftlm.,atf.pyntidukkaжгл-aпренебр., pyntireyvж0-arгрубо,пренебр.
ФИФА́	f indecl(Междунаро́дная федера́ция футбо́ла) FIFAм нескл.fr.Féderation internationale de football association)(Altjóða fótbóltsfelagsskapurin)
фифи́	m indecl(Tringa glareola) vaðstelkurмсогл-ar
фи́фти-фи́фти	advtlm.helvt [hεl̥t] um Ꞌ helvt, fifty-fifty [ꞋfɪftiꞋfɪf̥ti]энкнеформ.
фи́цис	m(Phycis blennoides) lítlabrosmaжгл-a
фи́шинг	mphishing [fɪʃː-] ж0-arинтерн., спец.
фи́шка	plurфи́ш|ки, ~ек, ~камfspælimerkiсгл-i@ голубы́е фи́шкиsíблю-чи́с
фишлу́па	ffiskaluppurмсогл-ar
ф-ка	фа́брика verksmiðja
ФКЦБ	[эф-ка-це-бэ́]f indeclФедера́льная коми́ссия по ры́нку це́нных бума́г Samveldisnevndin fyri virðisbrævamarknaðin
флаг	mflaggс0о{a/ø}; merkiсгл-i(государственные флаги, в определённой форме о фарерском флаге); андре́евский флаг andriasarflagg [-Ꞌtɹiː-] (stavnamerki hjá russiskum krígsskipum); вое́нно-морско́й флаг herflotaflagg; госуда́рственный флаг tjóðarflagg, tjóðmerki; удо́бный флаг hentleikaflagg; подня́ть флаг vindaслнa-u-uflagg á stongофиц.,выс., havaнепрflagg á stongофиц.,выс., koyra flaggið upp; вы́весить {подня́ть} флаг в честьGenflaggaaðifyri Дат; спусти́ть флаг takaслнó-ó-iflaggið niður, dragaслнó-ó-iflaggið niður, koyrair(d)flaggið niður; strikaaðiflaggið (тж как знак капитуляции), gevaслнa-ó-iseg yvir (сдаться); подня́ть {вы́кинуть} бе́лый флаг dragaслнó-ó-itað hvíta flaggið upp; почему́ по́дняты фла́ги? hví verður flaggað?; hví flagga tey?; hvørjum verður flaggað fyri?; под росси́йским фла́гом undir russiskum flaggi@под фла́гомчего-л.a) (под лозунгом) í navniпосс.; b) (под предлогом) við at látast;оста́ться за фла́гомa) (отстать) dragnaaðiafturúr [aʰtː-]; b) (не быть допущенным) ikki sleppaслнa-u-oframat [-Ꞌεat] =>госуда́рство,приспусти́ть,спускA 2
флаг-капита́н	mgml.flotayvirmaður í stápi
фла́гман	m1.(командующий) flota(deildar)ovastiмгл-i2.(судно командующего) herovastaskipс0о3.(корабль) flaggskipс0о(самое крупное или лучшее судно)
фла́гманский	adj: фла́гманское су́дно (судно командующего) herovastaskipс0о; (корабль) flaggskipс0о(самое крупное или лучшее судно)
флагшто́к	mflaggstongж0-ur{o/e}
фла́ер	mflogseðilмосн-s-ar(við reklamum o.tíl), lýsingarseðilмосн-s-ar, flyers [flaiεʂ]м нескл МН торг., проф.
флажо́к	Genфлажк|а́; plur~и́, ~о́в, ~амm1.(маленький флаг) (lítið) flaggс0о{a/ø}; сигна́льный флажо́к signalflagg [-Ꞌnaː-]2.(бумажный) pappírsflaggс0о{a/ø}; ёлочные флажки́ jólatræsfløgg
флажоле́т	m1. (муз. инструмент) flageolett [flaːʃoˈlεʰtː]ж0-ir(slag av floytu)2.(звук) flageolett [flaːʃoˈlεʰtː]ж0-ir, flageoletttóni [flaːʃoˈlεʰtː-]мгл-i
фла́йер	m síфла́ер
флако́н	mflakong [-Ꞌkʰɔŋk]ннкж0-ir
флама́ндец	Gen, Accфлама́ндц|а; plur~ы, ~ев, ~амmflamlendariмгл-ari, flamlendingurмсогл-ar
флама́ндка	plurфлама́нд|ки, ~ок, ~камmflamlendariмгл-ari, flamlendingurмсогл-ar(konufólk)
флама́ндский	adjflamskurсоглsk; флама́ндский язы́к flamskt [flam̊st]сприлskt
фламе́нко	n indeclflamenco [-Ꞌmεŋ̊ko]мгл-гл;с0гл(-inum)
флами́нго	n indecl(Phoenicopterus) flamingo [-Ꞌmɪŋko]ж0-ir
фланг	m1.(сторона шеренги) síðaжгл-a, liðж0-ir; armurмсогл-ar{a/ø}(боевого расположения войска); атакова́ть во фланг álop á síðuna; обойти́ с фла́нга fara uttanum frá síðuni2.talv(в шахматах): короле́вский фланг kongamegin; фе́рзевый фланг frúgvamegin
фланго́вый	adjIm ytsti maður á fylkingararmi(síфланг1)IIadjsíðu-, á síðuna; фланго́вая ата́ка álop á síðuna
Фла́ндрия	fFlandernс0{дат.0}
флане́левка	plur.флане́лев|ки, ~ок, ~камftlm.matrósablusa [-Ꞌtʰɹɔus-]жгл-a
флане́левый	adjflonell- [-Ꞌnεl-]
флане́ль	fflonell [-Ꞌnεlː]с0о({0<>i})
фланёр	mtlm.,gml.o-r, ið gongur og letast
фла́нец	Genфла́нц|а; plur~ы, ~ев, ~амmflansi (тж[flaŋ̊ksɪ])мгл-i
флани́ровать	флани́ру|ю, ~ешь, ~ютipfgml.válaaði, gangaслнe-i-iog malaслнó-ó-a
фланки́ровать	фланки́ру|ю, ~ешь, ~ютipf/pf Accherm.skjótaсоглey-u-oeftir [εʰtː-]Датfrá síðuni
фла́нцевый	adjflansa-
флеби́т	márabetendilsiннксгл-i, æðrabruni [akɹa-]нпмгл-i
фле́гма	f1.síфлегмати́зм2.f, m síфлегма́тик
флегмати́зм	mflegmaинтс0гл-a
флегма́тик	mflegmatikari [-Ꞌmaː-]интмгл-ari
флегмати́ческий	adj síфлегмати́чный
флегмати́чность	f síфлегмати́зм
флегмати́чный	stfфлегмати́ч|ен, ~на, ~но, ~ныadjflegmatiskur [-Ꞌmaː-]интсоглsk
флегмо́на	fflegmona [-Ꞌmoː-]с0гл-aмед.
флейм	m intern.orðastríðс0о{0<>i}, trætaжгл-a(serl. á sosialum miðlum); разду́ть флейм birtair(t)upp undir [ʊˈpʰʊ-] orðastríð
фле́йта	ffloyta [-œi-] (реже[-ɔi-])жгл-a(musikkinstrument) =>волше́бный1
флейти́ст	mfloytuspælari [-œi-] (реже[-ɔi-])мгл-ari
фле́ксия	fmál.1.(способ словоизменения) bendingж0-ar2.(окончание) endingж0-ar(bendingarending)
флекти́вный	adjbendingar-; флекти́вные языки́ bendingarmál
Флемиш-ка́п ба́нка	: Flemish Cap [flεmːɪʃˈkʰaʰpː]м нескл
флепс	[флэ-]: филе́ {разде́лка} флепс butterfly [pɔʰtːεɹflai]с нескл.спец., flapsс0омн спец.
флёр	m1.(ткань) florс0о(tunt klæði)2.fl.,gml.,bókl.(покров) slørс0оперен.
флёрдора́нж	mbrúðarkransurмсогл-ar
фле́шка	[флэ́-]plurфле́ш|ки, ~ек, ~камf tlm.USB-lykil [uː εsː Ꞌpeː-]м0осн-s,-ar, geymiмгл-i
флеш-ка́рта	[флэ́-]fUSB-lykil [uː εsː ˈpeː-]мосн-s,-ar, geymiмгл-i
флешмо́б	(eis.[флэ-])mflashmob [flaʃmɔp]м0{0<>i},ж0-ir
