U1	(bókstavurin) u
undisturbed	1ikki órógvaður2(um fund, finning) ónomin, órørdur (t.d.it had lain there undisturbed for centuries)
undivided	1sum gevur e-m væl gætur (t.d.undivided attention)2óbyttur, sum ikki kann býtast (t.d.an undivited whole)3óbrotin (t.d.undivided front)4(løgfr.)undivided joint propertysamogn ið kann ikki skiftast sundur
undivided estate	óskift deyðsbúgv
undo	1loysa (t.d.undo a knot, one’s belt; a screw)2latael.pakka upp (t.d.undo a parcel)3loysa, taka av4knappael.kneppa upp5gera umaftur6oyðileggja, spilla, skemma7(úrslit) gera til einkis, kalla aftur, ógilda8(um stokkar) rekjael.draga upp9(skaldsk.)fáa at falla10(teld.)angra, iðra seg;what’s done cannot be undonegjørd gerð fær onga vend; nú verður, sum er; nú vendist ikki aftur, nú má svíða sum svøllur11(um skaða) bøta aftur, fáa aftur á beint, bøta aftur, væla um, hjálpa uppá
undock	1toga út úr (turrdokk)2(um rúmdarfør) loysa hvørt frá øðrum
undoing	týning, glatan, undirgangur, tað ið verður einum at falli (t.d.that was my undoing)
undone	1(um arbeiði) óliðugur, ikki liðugur2(um eitt, ið kann latast upp) opin, upplatin (t.d.his zip was undone)3(um knapp) ókneptur, óknappaður4(fólk,skemt. el. skaldsk.)glataður; oyðilagdur, spiltur, fokin, fyri ongum;what's done cannot be undonegjørd gerð fær onga vend
undoubted	ivaleysur, vissur, sum einki er at ivast í, óreingiligur, sum noktast ikki, sum ryggjast ikki, sum svitast ikki
undraw	draga frá (t.d.a curtain)
undreamed-of,undreamt-of	sum eingin hevði (kunnað) hugsað sær, ófatiligur
undreamt	undreamt ofsum ein hevði ikki dugað at ímyndað sær, sum ein hevði ikki droymt um (t.d.undreamt-of happiness)
undreamt-of	undreamt ofsum ein ikki hevði droymt um, sum ein ikki hevði dugað at ímyndað sær (t.d.happiness)
undress1	1at vera nakin;in various stages of undressmeirael.minni ílatin2(herm.)gerandisbúni
undress2	1lata (ein) úr2(um sár) taka avel.loysa bind3(við ongum ávirki) lata seg úr
undressed	1ikki ílatin; lítið ílatin2í vanligum klæðum; ófantaliga ílatin3ógreiddur4óviðgjørdur, ótilvirkaður (t.d.leather; surface); óhøgdur, sligin, tilgjørdur (t.d.timber; stone)5ikki matgjørt
undstinctive	1 ikki sermerktur/eyðkendur/eyðkenniligur2 sum ikki ger mannamun, óvildarligur, uttanveltaður, uttanparta, óvildar-, óheftur, lutleysur,(tlm.)ópartískur
undue	1óneyðugur (t.d.delay; suffering);óhøviligur, ov mikil (t.d.undue haste)2(um pening) ikki gjaldkomin
undue influence	1óhøviligt trýstel.óhøvilig ávirkan2(løgfr.)misnýtsla [at onkur er óvitandiel.ov bundin at onkrum]3(viðv.vali) óhøviligt valtrýst
undue preference	(løgfr.)[at geva einstøkum ognara framíhjárættindiel.fyrimun beint fyri at fyritøka fer á húsagang]
undulant	aldandi
undulant fever	(dýralfr.)kálvskotsfepur
undulate1	1alda, bylgja, ganga í aldum, sum hevur aldurørsluel.alduskot við sær2lendaskjótast
undulate2	(plfr.)bylgjutur
undulated	aldutur, aldulagaður, sum líkist aldu, aldukendur, aldu-
undulating	1aldandi, dandandi, aldutur, óslættur, heyggjutur, við brekkum, brekkutur;undulating ground (eis.)heyggjut landslag2(um mjadnar) sum mjadnaskjýtst
undulation	at ganga í aldum, aldurørsla, alduskot, dandan
unduly	óhøviliga, órímiliga, óneyðuga (t.d.unduly high)
undying	sum doyr ikki, ódeyðiligur, ódoyggjandi, ævigur, ævinligur; (t.d.undying love; undying gratitude; undying loyalty)
unearned	1ikki forvunnin við arbeiði;unearned incomeinntøka ið er forvunnin við einki arbeiði, arbeiðsfrí inntøka(t.d.jarðarleiga og eykavinningur av realfæfeingi);unearned incrementjarðarvirðisvøkstur sum ikki stavar frá arbeiði ella íløgum ánarans2ikki uppiborin
unearned income	(íløguinntøka) arbeiðsfrí inntøka
unearth	1grava upp2(fl.m)fáa í ljósmála (t.d.new evidence),grópa fram,(gl.)avhylja3(um dýr) reka upp/út úr holuni
unearthly	1yvirnatúrligur, ójarðligur, ikki úr hesum heimi, dreygaligur, óhugnaligur, trølsligur, óunniligur; sjáldsamur2(tlm.)ógudiligur, ókristiligur, ræðuligur;get up at an unearthly hourfara upp í óðum verkum
unease	1=uneasiness2at vera illa til passar, at vera ússaligur, at vera illa fyri, at kenna seg illa, illrið, illhirsni3smædni
uneasiness	ótti, stúran (t.d.uneasiness about/for one's future)
uneasy	1óróligur, ófriðarligur, óttafullur, stúrin, bangin2illa heitin, illa til passar3smæðin, illa við
uneconomic,uneconomical	sum loysir seg ikki, sum einki kastar av sær; sum dugir illa at húsa (við pengum)
unedifying	lítið hugaligur, sum er lítið uppbyggiligur, sum bøtir ikki um (t.d.unedifying spectaclesjón)
uneducated	óskúlaður; óvitandi, óupplýstur
UNEF	United Nations Emergency Force
unregarded	óansaður, ógáaður, ógoymsaður, sum eingin hevur givið sær far um, lítið mettur; vanrøktur, misrøktur
unembarrassed	1tryggur, ekkaleysur, órørdur, ónervaður, trygdgóður, lætthugaður2fríur, natúrligur, ótvingaður, óhátíðarligur, ósmæðin, sum heima (hjá sær sjálvum)
unemotional	ikki kensluborinel.kenslusamur, róligur, jarðbundin, turrur, turrisligur, sinniligur, veruleikakendur, sakligur; (niðr.) kenslukaldur
unemployable	1óarbeiðsførur2sum einki arbeiði fær3ónýtiligur á arbeiðsmarknaðinum
unemployed	arbeiðsleysur, falur
unemployment	arbeiðsloysi, vinnuloysi
unemployment benefit	arbeiðsloysisstudningur (trygging)
unemployment compensation	(am.)arbeiðsloysisstudningur
unemployment rate	arbeiðsloysistal
unemployment relief	(frá tí almenna) arbeiðsloysisstuðul
unencumbered	1óheftur, sum er ikki darvaðurel.tyngdur av nøkrum2(um fastogn) skuldaleysur, skuldafríur, sum eingin skuld er í
unending	endaleysur, markleysur, óendaligur, ævigur, ævinligur;(niðr.)evindaligur, javnt og samt, ævinligur, áhaldandi, íðiligu
unendurable	ótolandi, ótorgandi;unendurable painótolandi pína
unenforceable	sum ikki kann haldast (t.d.law)
unengaged	ikki ikki trúlovaður, ikki forlovaður, óforlovaður;he is unengagedhann er hvørki giftur ella forlovaður, hann er leysur kroppur, hann gongur stakur, hann gongur sum ein stakhosa, hann er eingongdur
un-English	ðoenskur, ikkienskur
unenviable	ikki øvundarverdur, ikki verdur at øvunda, lítið at øvunda (t.d.job)
unequable	ójavnur;have an unequable tempersum er ójavnt sintur, sum er skjótur hvønn vegin, sum er skjarrligur
unequal	1ólíkur, ójavnur2(viðv.tæri, góðsku) misjavnur;be unequal toikki førur fyri (t.d.be unequal to hard work); unequal to the taskikki vera setninginum/uppgávuni mentur
unequalled	sum tikin úr leikum, makaleysur, framúr góður, einskila-, einskilaður, sum ber av øllum, sum hevur ikki sín javnlíka, sum er eindømi, sum stígur framúr, einum tú skalt leita leingi eftir
unequipped	sum hevur ikki tað ið skal til (tólel.førleika);kids unequipped to deal with the situationbørn ið eru ikki før fyri at basa støðuni (tey eru í)
unequivocal	sum er púra greiður, sum ein fer ikki skeivur av, sum kann ikki misskiljast, sum er sagt bart út, ótvískiljandi, ótvískildur
unequivocally	greidliga
unerring	1sum ikki ryggjast, óreingjandi, sum ikki svitast (t.d.unerring instinct);sum ikki gleppur2snórabeinur, markvísur
UNESCO	United Nations Educational, Scientific and Cultural OrganizationUndirvísingar-, Vísinda- og Mentanarstovnur Sameindu Tjóða
unessential1	týdningarleysur lutur, týdningarleyst ting;unessentials(eis.)smálutir (fara í smálutir)
unessential2	týdningarleysur
unestablished	(starvs-, verkafólkiviðv.) ikki í føstum starvi
unethereal	jarðbundin, veruleikakendur
unethical	1ikki í samljóðiel.í samsvari við viðurkendar reglur um rætt og rangt, óetiskur, ómoralskur2unethical medicineávísingarleysur/reseptleysur heilivágur
uneven	1ójavnur, óslættur2(um góðsku) ymiskligur, misjavnur3(um tal) stakur4(um kapping) ójavnur
uneventful	hendingaleysur, hendingalítil, viðburðarlítil, róligur, tíðindalítil
unexacting	sum eingi krøv setur; óbindandi (t.d.unexacting friendship)
unexampled	sum er eindømi, makaleysur (t.d.courage)
unexceptionable	ólastandi, lýtaleysur, óatfinnandi, sum ikki er at lastael.at finnast at
unexceptional	rættiliga vanligur, sum ikki hevur nógv upp á seg, sum ikki er serliga merkisverdur
unexciting	óspennandi, ikki serliga spennandi
unexhausted	ónýttur, sum (framvegis) er til taks (t.d.reserves);
unexpected	óvæntaður;it was unexpectedly good(eis.) tað var nógv betur enn vit høvdu væntað
unexplained	sum ikki er greiddur frá, óskiljandi, ógreinandi, sum ikki ber til at greiðael.siga frá, sum ikki skilstel.er at skilja
unexploited	ósøktur, óroyndur(t.d.leiðir)
unface	avdúka, (flm.) skræða grímuna av, skræða gekkaskortin av
unfading	sum følnar ikki (t.d.unfading llaurelslavrber); ódoyggjandi, ævigur (t.d.glory)
unfailing	lýtaleysur, ósvikaligur, við ongum breki, sum ikki ber til at finnast at, óatfinnandi, óryggjandi, sum ikki gleppur, sum ikki ryggjast, sum ikki svitast, ósvitaligur, óreingjandi, fullkomin; hollur, al- (t.d.an unfailing friendalvinur); ótømandi (t.d.unfailing supplyótømandi goymslur)
unfair	1órættiligur, órímiligur; ósømiligur, lítið sámiligur, ósámiligur, óreiðiligur, óærligur2[íyms.samb.]unfair competitionóreiðilig kapping;unfair dismissalógrundað uppsøgn
unfaithful	1ótrúgvur (t.d.husband), trúleysur (t.d.lover)2óálítandi, lítarleysur3óneyvur (t.d.translation)4(sum onga el. hava aðra trúgv) vantrúgvandi5[íyms.samb.]be unfaithful to1ikki vera (einum) trúgvur/hollur2(felaga) vera ótrúgvur;he had been unfaithful to herhann hevði verið henni ótrúgvur
unfaltering	stinnur, fastur, hollur, óvikandi, støðufastur, støðugur, tryggur, treystur, uttan at himprast
unfamiliar	ókendur, ókunnigur, ókunnu-, sum er ikki kunnigur við, óvanur
unfasten	loysa upp, lata upp
unfathered	1sum einki upphav hevur; (um bók) sum rithøvundurin ikki vil kennast við2(barniviðv.)sum ongan pápa hevur
unfathomable	1órannsakandi, óskiljandi, sum ikki fæst skil á2loyndarfullur, duldarfullur, gátuførur, hulin, torskilin3botnleysur
unfathomed	(flm.) ógranskaður, ikki granskaðurel.skildur til fulnar
unfavourable	1ólagaligur, bágin, sum ikki er til vildar, sum ikki gevur góðar vónir, vánaligur2(um reaktión) neiligur, negativur (t.d.comments; reviews)3(um veður) vánaligur
unfazed	órørdur, ónervaður, róligur, sum ikki letur við seg koma, sum ikki letst um vón, ikki órógvaður, sum leggur líka í;unfazed byónervaður av;the protesters were unfazed by the prospect of arrestmótmælisfólkini løgdu líka í, um tey vórðu handtikin
unfeasible	sum ikki kann setast í verk, sum ikki kann fremjast, sum ikki gerst, ógjørligur, sum ikki ber til
unfeathered	1fjarðaleysur, við ongum fjarðum2ófloygdur, ikki floygdur
unfeeling	kensluleysur, harðhjartaður, kensludeyvur, hjartaleysur, kaldur, harður, saftarleysur, sum leggur líka lag í(t.d.líðingar hjá øðrum)
unfeigned	falsleysur, sannur, sum ikki er uppgjørdurel.tilgjørdur; ærligur, heiðurligur, reiðiligur
unfenced	1ikki stikaður, ikki girdur2sum er ikki avbyrgdur
unfetter	(eis.íflm.) loysa úr fjøtrum/leinkjum
unfettered	(forml.)fríur, frælsur, ódarvaður, ótarnaður; sum er leysur úr fjøtrum
unfilled	(um starv) leysur, ósettur
unfinancial	(serst. am;um limir í yrkisfelagi) sum er í eftirstøðu
unfindable	sum ikki ber til at finna (t.d.the most unfindable house in London)
unfinishable	sum ikki kann gerast liðugt, sum ongan enda fær
unfinished	1óliðugur, ófullfíggjaður, í hálvakorti;(stjm.) unfinished businessmál ið framvegis er//eru til viðgerðar2(um yvirflata) ikki liðugviðgjørdur, ikki pussaður
unfired	(t.d. viðv.tigulsteinum, postalíni) óbrendur
unfit1	(gl.) gera óskikkaðan (óarbeiðsføran)
unfit2	1óskikkaður, óhóskandi, ógegnigur, ógegniligur, ógegnisligur, ógegnugur2óarbeiðsførur av sjúku3(formiviðv.)ikki væl fyri, illa fyri
unflagging	ótroyttiligur, ótroyttandi, ómøðiligur, ólúgvandi, tógvin, sum knívur á hørðum horni, sum ikki fjararel.fánar burtur (t.d.unflagging enthusiasm, unflagging interest)
unflappability	hóvsemi, hógv, tamarhald, javnsinni; síeis.unflappable
unflappable	(tlm.)sinniligur, góðsligur, róligur, hóvligur, í javnvág, í javnvøgu, støðugur, javnsintur, sum hevur tamarhald á sær sjálvum, sum letur seg ikki órógva
unflattering	sum er lítið at rósa sær av;in an unflattering light(tað var) lýst á ein heldur enn ikki ódámligan hátt
unfledged	1ikki floygdur, ófloygdur, ikki flogbúgvin2(fl.m.;um fólk) óbúgvin, óroyndur
unfleshly	ikki holdborin, ikki holdbundin, óholdsligur, andligur
unflinching	óræddur, óttaleysur, djarvur, harðmøraður; stívrendur, stívur, ikki til at vika, óvikandi, óbendiligur, óboyggjandi, óboyggiligur, óbendandi, sum ikki bendistel.boyggist; strangur, harður, sum slakar ikki
unflurried	róligur, sinniligur, sáttligur, hóvligur; sum ikki letur við seg koma; óávirkaður
unfocused	1sum ikki sær klárt2ógreiður, óneyvur, fløkjasligur, víðsveimin, langrøkjutur
unfold	1(við ávirki) lata upp, opna, breiða út (t.d.a map)2(fl.m.)opinbera, greiða frá, siga frá (t.d.unfold one’s plans)3(við ongum ávirki) lata seg upp (t.d.the leaves were -ing)4koma til sjóndar, opinberast, liggja víðopið fyri einum, vera avdúkaður (t.d.the scandal -ed);hava sína gongd (t.d.as events were -ing)
unforced	uttan at verða tvingaður/noyddur, ikki kroystur/noyddur til eitt (t.d.confession)
unforeseeable	sum er ikki lætt at síggja frammanundan
unforeseen	óvæntaður, óætlaður (t.d.insurance to protect youself against unforeseen circumstances)
unforgettable	minniligur, ógloymandi
unforgiveable	ófyrigevandi, ófyrigeviligur, sum ikki kann fyrigevast
unforgiving	1sum ber agg, sum ber ikki yvir við, sum fyrigevur ikki2eirindaleysur, hatskur, harðrendur, sum ikki vil sættast; íminnin, ímintur harðhjartaður, miskunnarleysur, kaldur; harður, grótharður, jarnharður, náðileysur
unformed	(forml.)lítið mentur, ómentur; óbúvin,(tlm.)óútviklaður
unforthright	óreiðiligur, óærligur, óálítandi, falskur, ósannur, sum fer við svikum
unfortunate	1eydnuleysur, óheppin (t.d.John was just unfortunate; it was unfortunate that he should find me there)2(um støðu) ólukkuligur, neyðar- (t.d.we must help these unfortunate people)3(um eitt, ið ein harmast) harmiligur, óheppin (t.d.unfortunate circumstances, unfortunate mistake; unfortunate start)4(um eitt, ið ein kann ikki taka undir við) vanlukku-, dekans-, tramans (t.d.his unfortunate habit of getting drunk at parties)
unfortunately	tíverri, vanlukkutíð, til alla vanlukku
unfounded	ógrundaður, sum ongar orsakirel.grundir eru fyri
unfreeze	1tiðna (upp)2(fl.m.)lata leysan, loysa(t.d.bundnan pening)
unfriended	vinaleysur, sum ongar vinir hevur
unfriendly	1óvinaligur2sum er ikki gott fyri (t.d.climate unfriendly to health)
unfrock	1døma prest frá kjóla og kraga; sí eis.defrock2(fl.m.)hava at e-m, skræða ljóman av e-m
unfruitful	1ófruktbarur, fruktaleysur; sum einki gevurel.kastar av sær, sum einki fæst burturúr, úrtøkulítil2sum er til fánýtis3sum loysir seg ikki, sum gevur hall
unfulfilled	1(um ynski) ikki uppfyltur, óuppfyltur2(um fólk) ónøgdur, ónøktaður, sum ikki er mettaður, sum ikki hevur fingið fulnað
unfunded debt	(handilsm.) flótandi skuld
unfunny	ikki stuttligurel.spennandi; keðiligur
unfurl	1breiða út(t.d.flagg, segl)2(við ongum ávirki) breiða seg út3(bókm.um hendingagongd) hava sína gongd
unfurnished	óinnrættaður, ómøpleraður, sum ongan húsbúna hevur
ungainly	1lókutur, óskotligur, klombrutur, óhegnigur, bumsutur, ófimsligur (t.d.ungainlymovements;he was tall and ungainly)2misháttur, ljótur, ófríður, ikki vakur (t.d.a largeungainlybird)
ungarbled	ófalsaður, rættur (t.d.report; version)
ungated	ungated level crossing óvart jarnbreytarmót
ungenerous	smáligur, smátøkin, trongskygdur, smáskygdur, smásinnaður
un-get-at-able,ungetatable	1(óforml.) sum ikki slepst til, ógongdur, óatkomandi, ikki atkomandi, ikki framkomandi (t.d.ungetatable towns)2(um fólk) stútutur, svinnur, ringur at koma í samband við
unglazed	rútaleysur, við ongum rútum
unglue	loysa eitt ið er límað (t.d.unglue a stamp)
unglued	1losnael.ganga sundur í límingini2(am., tlm., fl.m.)come ungluedfrá sær sjálvum, óður í høvdinum; sum fellur í fátt
ungodly	1ógudiligur;(tlm.)ókristiligur; syndigur, syndugur; gudleysur2(tlm.) ræðuligur;get up at an ungodly hourfara upp í óðum verkum
ungovernable	1(um land) sum ikki ber til at stýra2(um fólk) óstýriligur, balstýrin, ótemjandi, gæsutur, ólátaður, ólátin, rokmikil, villur;ungovernable ragespinnandi øði, at vera rúkandi/fúkandi óður, vera í luftini
ungraceful	misháttur, ljótur, ófríður, ikki vakur, klombrutur, óskotligur
ungracious	1ódámligur, ótespiligur ófjálgur, særandi, ágangandi, ónærisligur, ósømiligur2óblíður, óvinaligur (t.d.reception)
ungraded	1óskildur2ikki sundurbýttur, ikki sundurskiftur, ikki flokkaður3(um veg o.a.) ikki lagdur við longdarskurði
ungraded school	ikki flokkabýttur skúli
ungrateful	ótakksamur
ungratefulness	ótakkesemi, ótøkk
ungratified	1ikki nøktaður, ónøktaður,(tlm.)ikki uppfyltur, óuppfyltur (t.d.wish)2ónøktaður, sum ikki er mettaður, sum ikki hevur fingið fulnað
unground	1malið (t.d.coffee)2óslípaður (t.d.glass)
ungrounded	1ógrundaður (t.d.suspicion)2(sum byggir ikki á nóg holla vitan) ikki nóg væl kunnaður
unground edge	(á skurðtóli) óbrýnd rá
ungrudging	1fúsur, av heilum huga, hugaður, villigur, viljugur, viligur, ferðugur2hásinnaður
unguarded	1óvardur2óskettin, gáloysin, tankaleysur, óansin, sum er lopin fram av
unguent	(bókm.) (til sár, sum smyrsl) salva
unguessed	óvæntaður, sum er ikki tikið við, sum ein hevur ikki hugsað um
unguiculate	(plfr.)kló-, nagl-, við neglum
unguided	ikki leiddur, ikki stýrdur; ikki vegleiddur;unguided missileóstýrd rakett
unguinous	feittutur
ungulate	hóvdýr, tástígur [fullfíggjað hóvdýr eru ross, asnar og sebrur (hesi hava ongar tær); ófullfíggjað hóvdýr eru tapirar og nashyrningar, sum umframt hógv hava eina tá ella tvær tær]
unhair	hæra;unhair hideshæra húðir
unhallow	vanhalga, spotta, vanvirða
unhallowed	1óvígdur2verðsligur, veraldarligur, tímiligur3ógudiligur, syndigur
unhampered	ótálmaður, ótarnaður, ódarvaður, óhindraður
unhand	(gl. el. skemt.)sleppa e-m, sleppa úr hondum, sleppa takinum á (t.d.unhand me, villain!)
unhandsome	1ikki serliga vakur; ógvuliga vanligur, sum fólk flest2ódámligur, lítið sámuligur, ófínur, óreinur, ljótur, grundarringur, beistaktigur, bannsettur3pírin, natin, níðskur, kargur
unhandy	óviðførligur, óhegnigur, óhandigur, ófittligur (í hondunum), ófimsligur, klombrutur, lókutur, óskotligur
unhappily	vanlukkutíð, til alla vanlukku; tíverri
unhappiness	ólukka; harmur, sorg, vónloysi
unhappy	1ólukkuligur, eydnuleysur, óeydnu-2(um hending) óheppin (t.d.an unhappy selection of colours); be unhappy aboutvera keddurel.harmur um; dáma lítið, halda vera óhugaligtel.lítið hugaligt
unharmed	óskaddur, óskalaður, heilskapaður, (sloppin) heilskapaðurel.snikkaleysur, (komin/sloppin) í heilum líkiel.í øllum góðum (úr vanda), undansloppin, sloppin (úr vanda)
unharness	1taka týggini av rossi2taka herklæði av manni
unhasp	(gl.)loysa, lata upp, krøkja úr
UNHCR	United Nations High Commission for RefugeesFlóttafólkastovnur ST
unhealthy	heilsuveikur, sjúkligur, ússaligur; sum er ringt fyri heilsuna
unheard	1sum oyrað ikki hoyrir (t.d.unheard melodies)2sum verður ikki lurtað eftir, sum verður ikki hoyrdur (t.d.she was condemned unheard)
unheard-of	sum eingin hevur hoyrt um, sum eingi dømi eru um, fyridømisleysur, makaleysur, sum er eindømi, óhoyrdur(eis. t.d.hennara líki er ikki til)
unheeded	óansaður, ógáaður, ógoymsaður, lítið mettur, sum eingin hevur givið sær far um
unheeding	sum ikki leggur lag í, sum leggur líka lag í, sum ikki gevur sær far(ofum), sum ikki gevur einum gætur, sum ikki fylgir við, gáloysin, óskettin, óskoytin, óvarin, óansin, óvarur, ófaratøkin
unhelpful	1óhjálpsamur, óbeinasamur, lítið beinasamur, ikki fúsur at hjálpa2(um gerð) ógagnligur, lítið gagnligur
unhep	(am.)Sikki raskur, snarur, vakin, dugnaligur, gløggurel.skilagóður;deyðasjúkur
unheralded	sum hevur verið lítið umrøddurel.umtalaður, sum ikki er nevndur fyrr; sum hendir uttan at hava verið fráboðað frammanundan
unhesitating	sum himprast ikki, uttan himpr, sum drálar ikki, uttan drál, sum ivast ikki, uttan at ivast
unhinge	1taka hurð av hongslunum2(fl.m.)loypa(tátloypti) ólag í3(um fólk) ørkymla, gera heilavillan
unhinged	ørkymlaður, heilavillur;his mind became -dhann gekk av vitinum
unhipped	(am.)Ssíunhip
unhitch	loysa, fría, sleppa leysum
unholy	1ógudiligur2óvígdur3(tlm.)ókristiligur; órímiligur; ræðuligur;an unholy allianceóhóskandi samband//felagsskapur, sum umstøðurnar hava noytt framel.rikið saman;in an unholy allianceódámlig/ófrættakend samgonga;an unholy messøgiligt órudd;an unholy noiseein øgiligur gangur;an unholy rowherviligt klandur
unhook	1krøkja av húki2hekta upp, krøkja upp3(sigl.)krøkja av, høgga úr
unhoped-for	óvæntaður; sum gongur, roynistel.hilnast nógv betur enn væntað (t.d.advantage)
unhorse	1tveita av hestbaki2(fl.m.)fella (t.d.try to unhorse the senator)
unhoused	húsleysur (t.d.an unhoused young couple)
unthrone	frásettur, frákoyrdur (kongur)
unhurried	í frið og náðum, uttan at skunda sær, uttan at leypa framav
unhurt	óskaddur, óskalaður, heilskapaður, snikkaleysur
uni-	ein-, stak-
uni	(tlm.)universiylærdur háskúli, fróðskaparsetur, universitet
unicameral	(stjmfr.) eittkamars-, eintings- (t.d.unicameral system)
UNICEF	United Nations International Children’s Emergency FundBarnagrunnur Sameindu Tjóða
unicell	(plfr.) einkyknuplanta
unicellular	(lívfr.) einkyknu- (t.d.einkyknuvera)
unicoloured	einlittur, samlittur
unicorn	einhyrningur
unidentifiable	ikki til at kenna, sum ikki ber til at kenna aftur, ókendur(t.d.lutur)
unidentified	1ókendur2ikki navnfesturel.navngivin (t.d.from an unidentified source)
unidiomatic	sum samsvarar ikki við málvenju, sum er ikki sambært hevdbundnum orðalagi
unidirectional	einvegis (t.d.current)
unifacial	(plfr.)einsíðaður
unifiable	sum kann sameinast, sum kann gangael.renna saman, sum kann bræðastel.smeltast saman
unification	1sameining, samanrenning, samansjóðing, samruni (t.d.the unification of Europe)2(sø.í Nasitýsklandi) ) einvending
unified	1sum er gingiðel.runnið saman2sum er einvendur, einvendingar-3(handilsm.) stovnfesturel.sterkur fíggjarliga
unifilar	(sum er úr bara einum tráðio.s.fr.) eintáttaður
uniflaggellate	(lívfr.) við einum sveigtráði
unifoliate	(plfr.) við einum/eittans blaði, sum hevur bara eittel.eittans blað
uniform1	1herbúni, hermannabúni;sevice uniformvanligur búni;walking-out uniformfrítíðarbúni (eyðkennisbúni hjá hermanni við útfaringarloyvi); tænastubúni (t.d.a parlourmaid's uniform), tænastumannabúni2løgreglumaður í búna
uniform2	1lata í hermannabúna (t.d.uniform soldiers)2gera einsháttaðan, samlíkanel.eins
uniform3	1einsháttaður, samlíkur, fábroyttur, eintáttaður, av sama slag, eins, líkur, javnstórur (t.d.rocks of uniform size); (meira el. minni) samlitturel.einlittur;it had all gone back to a uniform grayalt var aftur grátt í grátt;uniform priceeindarprísur2regluligur; javnur (t.d.uniform speed)
uniformed	í búna, í hermannabúna
uniformity	1samsvar2at eitt er einsháttaðel.av sama slagi3einvending
uniformly	einsháttað, av sama slag, øll á einum máli
uniform spaces	(prent.) reglulig glopp
uniform spacing	(prent.) reglulig glopp
unify	1sameina, savna saman (í eitt); (t.d.unify the party; the country)2bræðael.smelta saman3gera eitt einsháttað, fáa øll at draga eina línu4(sø.,um nasistiska hugmyndafrøði) einvenda
unigeniture	1(átr.) læran um einbornaskapin2einbarnsskipan
unigenous	(lívfr.) av sama slag
unignorable	sum ikki slepst undan, sum er íborin partur av e-m, sum ikki kann skúgvast til viks (t.d.an unignorable problem/error)
unilateral	1sum annar parturin ger, sum ein ger einsamallur, hvørel.hvørt sær, einsæris, einligur(t.d.einlig sáttmálauppsøgn)2sum bara er loyvt øðrumegin (t.d.unilateral parking)
unilateralism	eintáttað støða; týðilig viðhaldsstøða [tann hugsan, at eitt land einsæris skal gera eitt;t.d.viðvíkjandi kjarnorkuavvápning]
unilobed	(plfr.) einflipputur
unilocular	(plfr.)einrúmdur
unimaginable	sum ein als ikki kann hugsað sær, ófatiligur (t.d.unimaginable cruelty)
unimaginative	við ongum hugflogi, hugsjónarleysur, lágfloygdur, sum ber boð um lítið hugflog, sum gongur, har slóðað er frammanundan; turrgeldur, andleysur, hugmyndaleysur
unimpaired	óskaddur, óskalaður, ótarnaður, ódarvaður, ótálmaður; óviknaður, ikki viknaðurel.linkaður;of unimpaired mental facultiessum er við sítt fulla skil
unimpeachable	lýtaleysur, sum ikki kann finnast at, sum kann ikki lastast, óreingiligur, haldgóður, sum ikki rekst aftur
unimpeded	(forml.)ótarnaður, óforðaður; ótálmaður
unimportant	týdningarleysur, lítilsverdur, virðisleysur, árinslítil, grunnur
unimpressed	sum ikki vekur virðing, sum ikki er virðingarverdur, sum ein er ikki ovfarinel.kløkkur av
unimpressive	(av útsjónd) visaligur; lítið ásýniligur (t.d.building), sum einki er at reypa av, sum hevur lítið upp á seg
unimproved	1sum er ikki bøtturel.umvældur, sum er ikki batnaður2(jørðviðv.)óveltur, ódyrkaður, óbygdur3ónýttur (t.d.opportunities)
unindebted	skuldarleysur
uninflammable	ikki eldfimurel.eldkvæmur
uninflected	1óbendur (t.d.word)2javnur, óbroyttur (t.d.his uninflected confident voice came rolling on)
uninformed	1sum hevur ikki fingið upplýsingar (um eitt), óupplýstur, ikki upplýstur, ikki kunnaður2óvitandi, óupplýstur3(um framsøgn/útsøgn) sum ikki veit nóg væl, sum hevur ikki ta vitan, ið krevst (t.d.an uninformed view, opinion, judgement)
uninhabited	óbygdur, oyðin, mannleysur
uninhibited	ósmæðin, framligur, fríur, natúrligur, sum letur seg ikki órógva av; sum leggur líka lag í, hvat onnur halda
uninitiated	ókunnigur við eitt, óroyndur, sum er ikki partur av teimum (sum hoyra til kjarnahópin)
uninjured	óskaddur, óskalaður, óløstaður, sum hevur ikki fingið mein
uninspired	andleysur, grunnur, turrgeldur, innantómur, við ongum hugflogi
uninsured	ótryggjaður
unintegrated	syndraður, klovin;unintegrated character(sálfr.) syndrað lyndi
unintelligent	óvitigur, óklókur, óskynsamur, skilalítil, óhyggin, býttur, fávitskutur, avmarkaður; óvitborin;unintelligent designóvitborin sniðgáva
unintelligible	1óskiljandi2(um talu) ótýðiligur, ógreiður, óskilligur, ballutur
unintended	óætlaður, av misgáum
unintentional	óætlaður, ótilætlaður, ikki við vilja, av misgáum, óviljandi, sum ikki er ætlað
unintentionally	av óvart, av tilvild, í gáloysni, uttan at vita av, ó(av)vitandi, ótilvitandi, ikki við vilja
uninterested	sum ongan áhuga hevurel.vísir, áhugaleysur, við ongum áhuga fyri(el.á) (einum), líkasælur, sum leggur lítið (lag) í (eitt), sum einki(el.lítið) leggur í (eitt); sí eis.disinterested
