w.	(st.)1weight2with
wheel alignment	at stilla hjólini, stilling av hjólum, sporing
wheel arch	hjólakassi
wheelbarrow	hjólbøra, trillibøra /-ll-/
wheelbase	(tøkn.)ásafrástøða, frástøða millum ása(t.d.á bili), akslafrástøða
wheel chain	(sigl.) róðurketa (keta ur róðri fram til róðurhjól)
wheelchair	rullistólur, koyristólur, hjólstólur
wheel clamp	(uml.)hjóllás (sum verður sett á bil, ið er ólógliga settur)
wheeled	1við hjólum2á hjóli, sum er útgjørdur við hjólum, hjól-, hjóla-; koyrandi (t.d.wheeled traffic)
wheeler	aftastaelaftara ross (annað av aftaruel.aftastu rossunum) í toymi
wheeler-dealer	1(am.)ein ið (altíð) liggur framvið2(tíðumniðr.)snúin, listilærdur, snildur, vandurel.royndur handilsmaður; snúin politikari (taktikari); ein ið dugir at snúgva sær
wheel fairing	(flogm.)streymlinjaður hjólskermur
wheelhorse	1aftastaelaftara ross (annað av aftaruel.aftastu rossunum) í toymi2(am.)floksláturverji, trúgvur floksmaður
wheelhouse	(sigl.)stýrihús
wheelie	(at ríða á afturhjólinum á súkklu við framhjólinum uppfrá) plúmma;a boy cavorted around on a bike doing wheeliesein drongur dansaði í kring og plúmmaði á súkklu
wheelie bin	ruskílat á hjólum
wheel indicator	(sigl.)róðurvísari, róðurvísi
wheelman	1súkklari2bilførari, vognstjóri3(sigl.) róðursmaður
wheel of fortune	1eydnunnar hjól2eydnuhjól
wheel race	rennustokkur (renna til vatnmylnu)
wheelsman	(sigl.) róðursmaður
wheel tread	slitlag (á hjóli)
wheelwell	(flogm.)hjólabrunnur
wheelwindow	runt vindeyga
wheelwright	hjólasmiður, vagnasmiður
wheen	(skotskt.) hópur, rúgva (t.d.a wheen of money)
wheeze1	1at kikka eftir ondini, at anda tungliga, at vera trongur, ríkjan, hvæsan, froysan, tivan, stunan, físan2(gl. tlm.)tanlað hittinorð;a good wheezeeitt ið er snildiliga uppáfunnið; frálíktel.snilt hugskot, frálíkel.snild ætlan
wheeze2	kikka eftir ondini, anda tungliga, vera trongur, stuna, tiva, hvæsa, froysa, físa, ríkja
wheezer	ross við lungnamøði (so tað ríkir í)
wheezy	sum tivar, sum ríkir, bróstmøði-, við lungnamøði
whelk	1(dý.)trompetsnigil2(í andlitinum) pirra, vágpirra, finnur, finna
whelm	1leggja innyvir, skola yvir, floyma yvir2(fl.m.)gera ovfarnan
whelp1	(gl.)hvølpur
whelp2	(um tík) leggja
when1	nær (t.d.when did you see him last?); say when!sig til sjálvur! (undirskilt: tá ið eg havi koyrt nóg mikið í glasið);since whenog síðan (t.d.he left on Monday, since when we have heard nothing from him)
when2	1(um tíð) tá ið (t.d.it was raining when we started; I will see you when I return)2(afturbeint) har (t.d.there are times when);og so, og tá (t.d.they will come in June, when we will all be gathered)3(um mótsetning, tað øvuta) tá ið, hóast tað at (t.d.how can you say it is fine when everything is in such a mess?);hóast (tað), tó at, sjálvt um (t.d.he walks when he might take a taxi)4[íyms. samb.]since whensíðan(i) (t.d.he left on Monday, since when we have heard nothing from him)
whence	1(gl. el. skaldsk.,um stað) hvaðan(i);from whencehvaðan2(gl. el. skaldsk.,um orsøk) av hvørjum
whencesoever	(gl.)hvaðan so
whenever1	1(spyrjandi) nær//hvar í Guðs garði?, hvussu//hvat//hvar//nær í víðu verð? (t.d.whenever will you understand that I don’t want it?)2(tlm.,aftursvar til uppskot) nær sum helst (t.d.“Shall we meet on Monday or Tuesday?” “Whenever”)
whenever2	hvørja ferð (t.d.whenever he saw some old china, he wanted to buy it);altíð tá ið (t.d.you can come whenever you want)
whensoever	síwhenever2
where1	hvar (t.d.where are you?)
where2	har (t.d.the town where she was born; a situation where you have to make a decision); before you knew where you wereáðrenn nakar visti av;near the town where she was bornnær býnum, har hon var fødd/borin í heim
whereabouts1	1tilhald, heimvist (t.d.we don’t know his whereabouts); do you know his present whereabouts?veitst tú hvar hann heldur til í løtuni?2[íyms.samb.]I don’t know the whereabouts of your hateg veit ikki, hvar tú hevur lagt hattin
whereabouts2	hvar, hvagar, hvar á leið
whereas	1(har)afturímóti;the duck likes water whereas the hen is afraid of itdunnuni dámar vatn, hønan harafturímóti ræðist tað2(løgfr.)av tí at, vegna tess at, meðan
whereat	(forml.)har (sum), við tí, hvussu (t.d.whereat was he offended?)
whereby	við tí, og er//var soleiðis (t.d.he took a loan whereby he was able to purchase the househann tók lán og við tí, var hann førur fyri at keypa húsini)
wherefore	hví;the whys and the -sgrundirnar, orsakirnar, atvoldirnar
wherein	(forml.)í hvørjum, har ið (t.d.the room wherein he lay);hvørjum viðvíkjandi, í hvørjum (fór eg skeivur) (t.d.wherein am I mistaken?)
whereof	av hvørjum, um hvat, sum ... um (t.d.the matter whereof we spokemálið sum við tosaðu um)
whereon	(staðið) á hvørjum, har sum (t.d.the place whereon thou standest is holy groundtann staður, sum tú stendur á, er heilag jørð (2. Mós. 3, 5)
wheresoever	(skaldsk.)síwherever
wherethrough	(forml.)sum ... ígjøgnum, hvar ígjøgnum
whereto	(tað staðið) sum ... til, hagar til
whereunto	síwhereto
whereupon	og síðan, tínæst, so;the committee members failed to reach an agreement, whereupon the chairman adjourned the meetingnevndarlimirnir komu ikki ásamt, og formaðurin útsetti/freistaði so fundin
wherever	1hvar sum helst, allastaðni har;or...wherever (tlm.)ella hvar sum helst2(spyrjandi) hvar (í Guðs garði)?, hvussu, hvatel.hvar í víðu verð?; (formligari) hvagar...so, hvagar...enn
wherewithal1	1(forml.)peningur, pengar, fæ, peningsfæ2[íyms.samb.]have//lack the wherewithal tohava/eiga//vanta teir pengar, ið neyðugir eru til at (t.d.I haven’t the wherewithal to continue my education)
wherewithal2	(forml., gl.)við hvørjum, til at, og soleiðis
wherry	1lættur árabátur (nýttur til farma- og fólkaflutnings á áum í Bretlandi)2breiður prámur
whet1	1at brýna, at hvessa2ein niðurundir, snapsur
whet2	1brýna, hvessa, eggja, braneggja, bráneggja (t.d.whet a knife), (gl.)hvøtja2[íyms.samb.]whet the appetitestimbra matarlystin; stimbra matarlystin hjá einum
whether	1um (t.d.I don’t know whether it is true; I don’t know whether he she is dead or alive); (forml.)hvørt2antin, antin so (t.d.you’ll have to pay whether you are coming or not)3(sumfn, gl.)annar (teirra), hvør teirra (av tveimum)4[íyms. samb.]I’ll go whetheror noteg fari (so) í øllum førum/ið hvussu er;whether or not you like itantin tær dámar tað ella ikki;tell me whether or notsig mær um tú vilt (sig mær um tað er soleiðis) ella ikki
whetstone	1hvørvisteinur,(stb.)senda2stimbrandi, errandi, kveikjandi, styrkjandiel.ressandi evni; kveikingarevni, eggjanarevni, upperringarevni, ressingarevni,(tlm.)uppstrammari, stimulansur
whew	puff!, huff, huff!, puha
whey	blonda (klárur, tunnur løgur, ið setur úr loypingi); mysa (klárur løgur, sum setur úr ketilosti, dralva og ystingi)
whey-faced	følin, bleikur
which	1(spurnarfornavn) hvat, hvør (av ávísum tali);which of you?hvør tykkara?2(afturbeint fornavn) sum, ið (t.d.the house which you saw; the house which burnt); he paid the bill which I had not expectedhann rindaði rokningina, tað hevði eg (satt at siga) ikki væntað
whichever	1hvør sumel.ið, hvør sum helst, einhvør; tað sama hvør (t.d.buy whichever hat you likekeyp tær ein hatt tað sama hvønn)2(sum svar til spurning) hvat, hvønn sum helst (t.d.Which wine would you prefer? Whichever)3[íyms. samb.]whichever of us comes firsthvør okkara verður fyrri//fyrstur
whichsoever	tað sama hvør
whicker	1(tlm. el. staðb.) gneggja2jarma3gnisa, knisa, smáflenna, læa ljódliga
whiff1	1lot, pístr, pústr, roykur, angi, luktur (t.d.I caught(kendi)a whiff of cigarette smoke)2(tá ið roykt verður) guvur, roykur;he took a whiffhann fekk sær ein guvel.royk3(tlm.)lítil serutt4[íyms. samb.]a whiff ofein feril av, ikki sørt av (t.d.danger, scandal)
whiff2	lota, pístra, anga, lukta
whiffet	1lot, blástur2(am.)1smáhundur, lítil hundur2(lítið) nell, lítil klantrasligur persónur
whiffle	1berast við (lotiel.vindi)2(um vind) koma í køstum3(fl.m.)vera vinglutur, draga á bæði, mala á hælinum, vera í iva
whiffler	vingliskøltur, vingl, vinglutel.støðuleyst fólk,
whiffy	(tlm.)sum rýkurel.luktar illa, sum deymar
Whig	whiggur, viggur (limur í flokki, sum í 19. øld gjørdist Liberali flokkurin í Bretlandi)
Whiggish	whigg-, vigg-
while1	tíð, løta, stund;(for)awhileeina tíð;a while agonakað síðan;a little/short whilelítla løtu (t.d.can’t you stay a little while longer?); a little/short while agofyri stuttum, fyri stuttari løtu síðani;in a little whileum stutta tíð, um eina lítla løtu;quite a whilenakað síðan;once in a whilestundum, onkuntíð upp ímillum, av og á;thewhileímeðan;all the whilealla tíðina;make it worth his whilegera tað soleiðis, at tað loysir seg fyri hann; gjalda honum fyri tað; geva honum mutur;was this worth while ?loysti tað seg?
while2	while away the time fáa tíðina at ganga
while3	1(um tíð) (í)meðan, so leingi (sum) (t.d.he called while you were out);so leingi (sum);while there is life there is hopevón er, so leingi lív er2(í sammetingum) harafturímóti, meðan (t.d.he is very extrovert while his wife is shy and reticent)3(við fyrivarni) tó at, sjálvt um, hóast (tað) (t.d.while he was not poor, he had not got much money)
whilom	(gl.)áður, fyrr, fyrr í tíðini, í forðum, í fyrndini
whilst	ímeðan, so leingi sum; síwhile3
whim	1lúnur(flt),ríggjur(flt),eitt ið stingstel.skjýtst upp á ein, (tíðum: margháttligt) hugskot, innskot, ónolla, ónollur(flt),lótir;at whimtá ið tað skeytst upp á (ein)2(gl.í námgong) vinda (drigin av rossum)
whimbrel	(dý.)spógvi(Numenius phaeopus)
whimper1	sjarr, mjarr, knarr, kvartan, at sjarrao.tíl.
whimper2	sjarra, mjarra, surra, knarra, kvarta, hálvgráta
whimsical	1fullur av kátumel.margháttligum hugskotum, løgin2lúnutur, ríggin
whimsicality	at vera løgin; at eitt er løgið; at vera rígginel.lúnutur
whimsy	at vera fullur av kátumel.margháttligum hugskotum; at vera rígginel.lúnutur, at vera eginel.serur
whin	(plfr., staðb.)tornblað(Ulex)
whinchat	(dý.)reyðstólpa(Saxicola rubetra)
whine1	1hvin, mjarr, kvartan, rin, grenj, knarr2(um hund) hvin, at hvína3(skaldsk.um óljóð) hvin, rínan, gnístan, nístan
whine2	hvína, mjarra, rína, gnísta, nísta, grenja, knarra
whiner	(konufólk) kveina; (smábarn) grátusurra, eitt, ið mjarrar illa; (eitt) grenj, eitt ið altíð gremur seg
whinge	(tlm.)geva seg, vena seg, gremja seg, eymka seg, gráta og illa láta, lemja seg; gráta um ein, harmast um, syrgja; grenja, knarra, mjarra, rína, hvína
whinny1	gneggjan, neggjan
whinny2	gneggja, neggja
whiny	sum grenjar, grenjandi, sum knarrar, sum mjarrar, sum kvartar
whip1	1koyril2(stjm.)floksvørður (tann ið sær til, at tingmenn floksins akta boðum floksleiðslunnar)3[skrivlig boð frá floksvørði um hvussu atkvøðast skal]4vognstýrari5(ísamb.við veiðiferð) reiðmaður sum beitir hundarnar6[íyms. samb.]crack the whip1bresta við koyrlinum2(fl.m.)fara fram við hørðum;crack the whip overaga (onkran), plága, fáa at kýta seg, tava við(t.d.næmingunum);a fair crack of the whiphampiliga góður møguleiki;-s of (avstr.)hópurel.rúgva av
whip2	1díkja (á) (t.d.whip a horse)2røra (t.d.whip eggs, cream)3(tlm.)buka, hølvael.smyrja av, vinda burturúr(t.e.sigra á)4(við skjótari rørslu) skræða uppel.av (t.d.she -ped the lid off the box//the film out of the camera; he -ped off his socks);ríva, skræða (t.d.the wind -ped several slates off the roof; she suddenly -ped the mask from her face; the intruder whipped out a knife)5(gl.)naspa, nápa, nabba, píska, snifla, smástjala, leggja fingrarnar eftir seg, rætta fingrarnar frá sær6(sigl.)takkla, røra ein enda7(ísamb.við seyming) kasta um (t.d.a seam)8(við ongum ávirki) leypa avstað, fara turnandi (t.d.he -ped upstairs)9(um flaggo.tíl.)blaktra,bleiktra, dúka10(við tráðu) fiska við flugu, sleingja, kast11[íyms. samb.]whipawayrippa úr hondunum (t.d.he -ped away my plate before I had finished); whipback(um grein) sláa aftur;a branch -ped back and hit him in the facegreinin hvisjaði uppaftur og rakti hann í andlitið;whipinto 1(um fólk) øsael.gessa upp til (t.d.whip the audience into hysteria)2(um mat) røra saman (t.d.whip up some brandy into the cream); the wind -ped the rain into my facevindurin díkti regnið í andlitið (á mær);whip sby into linenoyða ein at aktael.lýða;whipoff 1reka burtur við koyrli2skræða av;whip the lid off a boxskræða lokið av eskju;he -pedonherhann vendi sær brádliga ímóti henni;whipoutan oathtríva í ein eið;whip out a revolverskræða/rykkja revolvara upp;whipthroughfara súsandiel.turnandi ígjøgnum;whipup 1(um sjógv) píska sjógvin upp; sjógvurin tekur at rísna, (um vind) seta í sjógv; (um dust) gera dustrok2(fl.m.)øsa, eggja, gessa (t.d.anti-German feeling);eggja (t.d.enthusiasm)3(tlm.)gera eitt í skundi, klamsa saman; kalla saman í skundi (t.d.some support); whip up one’s horsedíkja á rossið
whip aerial	stavantenna
whipcord1	fastel.snævurt lagtel.tvinnað snøri; fast flættaður endi
whipcord2	sinasterkur, spengrutur
whip hand	have/hold the whip hand of vera við yvirlutan, vera einum mentur
whiplash	1koyrilsbrestur, koyrilsslag, brestur við koyrli; sí eis.whiplash injury2táttur í flættaðum koyrli
whiplash injury	(lækn.)koyrilsbrestur (mein í nakkapartinum, sum stendst av, at høvdið verður knappliga slongt aftur og fram,t.d.í bilvanlukku)
whipped	1(um mat) rørdur,(tlm.)pískaður2(tlm.,um fólk) illa hýrdur, í ringum lag, óglaður, hugtungur, stúrin, mótfallin, fyri ongum, fallin í fátt3Sútteipaður, overvaður, útervaður, deyðgivin, túraður, útlúgvaður, útmøddur, úttikin
whipped cream	rørdur rómi, rómafleytir,(tlm.)fløtaskúm
whipper-in	1(ísamb.við veiði) reiðmaður, sum hevur tamarhald á hundunum2(stjm.)floksvørður (síwhip1)
whippersnapper	(tlm., gl. el. skemt.)erpnavætti, bløðra, ein ið ger seg upp
whippet	1[kapprenningarhundur av blandaðum slagi]2(herm.)[slag av lítlum stríðsvogni]
whipping	1fleingja2(ítr.)ósigur3(sigl.)takkling
whipping boy	haturfuglur, syndabukkur
whipping cream	rómi til rómafleytir
whipping top	toppur
whippoorwill	(am., dý.)náttkjarra(Caprimulgus vociferus)
whippy	1roysin og sprækin2gyrðin
whipround	(tlm.)samansavning;have a whiproundlata hattin ganga runt
whipsaw1	(handv.)langsag
whipsaw2	1saga við langsag2(flm.) be -edtapa tvífalt, verða lumpaður tvær ferðirel.á tveir ymsar hættir
whipster	1(lágvaksið, klænt og fimt fólk) nell, minkur, knip, knipur, grísamenni, tertlingur, mýrivongur, nyðruvongur, merlingur, velikur, mýripinnur, pirrufressur, villaveiggj, manstandur, nilk, nørtur2bløðra, erpnavætti, eitt ið ger seg upp
whipstitch1	1at kasta um2(bókb.)síðuhefting3(tlm.)lítil løta
whipstitch2	1(serst. am.)kasta um (t.d.a seam)2(bókb.)síðuhefta
whipstock	(oljuv.)sveigstokkur
whir	síwhirr
whirl1	1at mala í klingur, hvirlan, fok, hurran, snaran, snurran, meldur2hurlivasi3(tlm.)stutt ferð (tíðum skemtiferð)4[íyms. samb.]give it a whirl (tlm.)at gera eina roynd, at royna eitt;live in a whirl of pleasureshava jól og góðar dagar;in -s of snowí kavaroki;it set my head in a whirltað fekk tað at øra fyri mær, tað fekk tað at mala fyri mær
whirl2	1hurra, hvirla, fúka2mala runt, snara runt á hælinum (t.d.she -ed round and looked at me)3(við ávirki) snurra, snara, mala (eitt) skjótt, mala (eitt) í klingur (t.d.he -ed her around)4[íyms. samb.]his head/mind was -ingtað øraði fyri honum, tað mól fyri honum
whirlabout	1íða2snarsnúningur
whirligig	1spinnikona, snurra2mal-í-ring, ringreið3(fl.m., skaldsk.)meldur (t.d.of parties)
whirling disease	(dýralfr.)meldursótt (snultarasjúka hjá síli og laksi)
whirlpool	1meldurstreymur, íða2(fl.m.)meldur (t.d.of emotions)
whirlpool bath	gosbað
whirlwind	1meldurhvirla, glaða2(fl.m.ísmst.)snar- (t.d.tour)3[íyms.samb.]sow the wind and reap the whirlwindsáa vind og heysta storm(smb.Hós. 8, 7: „tí at vind hava tey sáað, og storm skulu tey heysta“)
whirr1	hurr, hurran, snurran, surr, surran, suð, suðan
whirr2	hurra, hvirla, fúka, snurra, surra, suða
whirring	hurrandi (t.d.a whirring machine)
whish1	suðan, súsan, hvin
whish2	suða, súsa, hvína, ýla
whisk1	1viskur, søpil, soppur2(køkstól) tyril, rørari3kveistur; sveipur, strok(t.d.við pensli);a whisk of its tailhann sletti/sló við halanum
whisk2	1viska, sópa2røra (t.d.whisk eggs)3sletta við, sláa við (halanum) (t.d.the horse -ed its tail)4(við ongum ávirki) leypa avstað, fara turnandi5[ísamb. viðfs//hj]whiskaway 1kveistra burtur, sláa burtur (t.d.she -ed away the flies from her food)2síwhiskoff; whiskoff 1rippa til sín (t.d.he -ed off my glass before I had finished)2leiða burtur í skundi (t.d.the police -ed him off);flyta í skundi, koyra í skundi (t.d.the ambulance -ed him off to hospital); she -ed the plates off the tablehon beindi fyri talerkunum;whiskuprøra (t.d.the whites of three eggs), (tlm.)píska
whisker	1granarhár, kampur, snoddhár; (sí eis.whiskers)2(fl.m.)evarska lítil munur3[íyms. samb.]he beat me by a whiskertað var so, at hann vann;the stone missed me by a whiskersteinurin sveið aftur//fram við vanganum;within a whisker of death (tlm.)tað var um eitt hár gjørt, at vit ikki doyðu
whiskered	við kjálkaskeggi
whiskered tern	(dý.)kinnhvít terna(Chlidonias hybridus)
whiskers	1granarhár, kampur, snoddhár2kjálkaskegg, vangaskegg,(tlm.)lúsaleytari
whiskey	(serst.amerikansktel.írskt) whisky
whiskified	(tlm.)sum kennir til, sum hevur drukkið whisky
whisky	(serst.skotskt) whisky;whisky and sodawhiskysjussur
whisky sour	[whisky við sintrónel.lemon]
whisper1	1tesk, teskan, tutl, tutlan, lýðan, suð, suðan(t.d.the whisper of the wind in the leaves);speak in a whisper/in whispersteska, lýða, tutla2(fl.m., serst. skaldsk.)tíðindi, graml, tað sigstel.frættist, sleyg, slatur; orð; loynilig fráboðan/prei, sum ein í loyndum hevur fingið frammanundan
whisper2	1teska, lýða, tutla (t.d.she whispered a few words to him)2mølma um, sleyga um3(um vind) suða, súsa (t.d.the wind was whispering in the leaves)4[íyms. samb.]whisper about/that (fl.m.)ganga og sleyga um
whisperer	slatrivætti, sleygivætti
whispering	teskandi, teski-
whispering campaign	sleygiátak
whisperous,whispery	teskandi, teski-
whist1	(kortspæl) whist, vistur
whist2	tigið!, bindið frið!, verið friðarlig!, húsj!, hýsj!
whist drive	whistkapping, vistkapping
whistle1	1bríksl, bríkslan, floytan, pípan, lát, hvistan, fís, hvæsan2(t.d. fótb.) bríksl3(ljóðføri) floyta4[íyms. samb.]blow the whistlebiðja fólk ansa eftir/ansa sær, biðja fólk vera á varðhaldi, rópa varskó, varskógva;blow the whistleonavdúka;(ítr.)revsa; ávara; sleyga um, slatra um, smetta; steðga einum;as clean as a whistlepúra reinur, gullreinur;she may whistle for ithon skal ikki gera sær nakra vón um at fáa tað;blow the starting whistlegeva atlát um at fara;wet one’s whistle (gl., tlm.)fáa sær ein lítlan, smakka sær á
whistle2	1bríksla, floyta,(t.d.tok) ýla, láta2(t.d. fótb.) bríksla3(ljóð, ið vísir til ónøgd) pua, físa at, snýsa at4(um vind) hvista, súsa, suða, físa (t.d.the wind was -ling down the chimney)5(um skjóta rørslu) svíða, hvína, singla, hvista, hvisja (t.d.his shot -d past the goalpost; the bullets -d about his ears)6[íyms. samb.]whistle at girlbríksla eftir gentu;he may whistle for ittað fær hann ikki, tað hendir seg ikki;whistle in the dark (tlm.)spæla djarvur, látast óræddur; royna ikki at falla í fátt, herða hugin;whistle in the windgera eitt til fánýtis, úrslitaleys roynd; tosa fyri deyvum oyrum
whistle blower	varskógvari [embætisfólk, sum avdúkar óreglulig almenn viðurskifti]
whistle buoy	(sigl.)floytutunna
whistler	1(dý., am.)murmildýr(Marmota)2(um ross) ross við lungnamøði (so tað ríkir í)
whistle stop	1(am. jarnbr.)lítil jarnbreytarstøð2(fl.m.)stuttur steðgur
whistle-stop tour	1rundtúrur við stuttum steðgum2rundferð til smáar bygdir undan vali
whistling swan	(dý.)smáokn(Cygnus columbianus)
whit1	(gl. el. forml.)sindur, vet, nartl;not a whitikki tað sum eitur, ikki eitt viðursvet, ikki minsta sindur;every whitpúra, fullkomiliga, í øllum lutum;every whit as greateins stórur í øllum lutum
Whit2	hvítusunnu-
Whitaker	
white1	1hvítt (liturin); hvítleiki2(um fólk) hvítur3(í eggi) hvíti, eggjarhvíti4(vín) hvítvín5[íyms. samb.]-shvít klæðir;a white of eggeggjahvíti;the white of the eyeeygnahvíti
white2	1(gl.)gera hvítan2(gl.)hvítta, mála hvítan, bleikja3[íyms. samb.]a -d sepulchre (bíbl.)ein kálkað grøv(t.e.falsari);whiteout 1(prent.)regluútjavna2(í teksti: villu) rætta við hvítum rættilakki
white3	1hvítur2(í andliti) hvítur, bleikur3(um kaffi) við mjólkel.róma4(fl.m.)reinur, ódálkaður, lýtaleysur, ósekur5(tlm.)álítandi, rættiligur, heiðurligur6[íyms.samb.](as) white as a sheetlíkbleikur, nábleikur;whiter than white (smb.4) reiðiligur/heiðurligur í øllum lutum
white alloy	hvítmetal, silvurlíki (silvureftirgerð)
white ant	(dý.)hvítmeyra, termitt, termitta, termittur(Isoptera)
white ash	(plfr.)amerikanskur askur(Fraxinus americana)
whitebait	1smá fiskasløg(serst.sild og brislingur)2[rættur av slíkum fiskasløgum]
white-beaked dolphin	(dý.)kjafthvítur springari(Lagenorhynchus albirostris)
white bear	(dý.)hvítabjørn, (tlm.) ísbjørn(Thalarctos marinus)
white-billed diver	(dý.)nevgulur lómur(Gavia adamsii)
white blood cell	(lækn.) hvítur blóðkroppur; eis.white cell
whiteboard	tussjtalva
white book	hvítbók (t.d.sum ríkisstjórn gevur út til tess at almannakunngera hvørjar ætlanir hon hevur í ávísum máli)
white bottle	(plfr.) hvítt oksaseyga
Whiteboy	[limur í írskari uppreisttrarrørslu í 16. talinum]
white brass	hvít messing (kv)
white bread	fransbreyð
white butterbur	(plfr.)hvít pesturt(Petasites albus)
whitecaps	(am.) hvítir alduryggir, hvítir aldukambar; sí eis.white horses
white cell	(lækn.) hvítur blóðkroppur; eis.white blood cell
Whitechapel	(sern., landafr.)[øki í eystara parti av London];Whitechapel carttvíhjólaður handvognur
white charlock	(plfr.)síwildradish
white clover	(plfr.)seyðasmæra(Trifolium repens)
white coal	[t.d.vatnorka, vindorka sum ikki dálka]
white coffee	kaffi við rómael.mjólk
white-collar	white-collar crimefíggjarsvik, fíggjarbrotsverk;white-collar workersstarvsfólk; starvsfólkastættin
white-collarworkers	skrivstovufólk, starvsfólk; starvsmannastættin
white cordage	ótjørað togverk
white corpuscle	(lækn.) hvítur blóðkroppur
white-crested	krappsjógvað (h l), froðandi;white-crested waveshvítir alduryggir, froðandi aldur
white crow	(fl.m.)eitt ið er hendingasjáldan, sum lundi á jólanátt
white-crowned sparrow	(dý.)krúnuhvítur spurvur(Zonotrichia leucophris)
white dead nettle	(plfr.) tvítonn (Lamium)
white Dutch	(plfr.) seyðasmæra (Trifolium repens); eis.white clover
white dwarf	(stjfr.) hvítur dvørgur
white elephant	1hvítur fílur (kostnaðarmikil, men gagnlítil lutur; dýrur ognarlutur sum er ógvuliga kostnaðarmikil at haldael.ringur at sleppa sær av við)2(kostnaðarmikil verkætlan sum varð av ongum)
white ensign	flagg bretska herflotans
whiteface	(en. serst.um neyt) snáðhvít kúgv; (am. serst.um ross) snáðhvítt ross
white-faced	1bleikur2(serst.um seyð, neyt, ross) snáðhvítur
white feather	show the white feathervera ræddur, vera ræðuskítur
whitefish	(dý.)nebbalaksur(Coregonus lavaretus)
white flag	1hvítt flagg (sum tekin um at ein gevur seg yvir treytaleyst)2(í bardaga) samráðingarflagg, vápnahvíldarflagg, friðarflagg
whitefly	(dý.)mjøllús(Aleurodidae)
white friar	karmelitamunkur (teir hava hvítan búna)
White Friars	hvítir munkar, hvítklæddir munkar, hvítbrøður
white-fronted goose	(dý.)korngás(Anser albifrons)
white frost	rím, rímfrost, jarðfrost, turrafrost
white fuel	síwhite coal
white game	(dý.)(fjalla)rýpur(Lagopus mutus)
white goat	fjallageit
white goods	harðar hvítvørur
white grouse	(dý.)(fjalla)rýpa(Lagopus mutus)
white-haired	hvíthærdur; ljóshærdur
Whitehall	1[gøta í London við ráðharrastovum]2(fl.m.)bretska stjórnin(smb.Tinganes)
white-handed	við hvítum hondum; ósekur
white-headed	1knokkhvítur2(um fólk) ljóshærdur
white-headed boy	(fl.m.)yndisbarn, onkabarn, einkabarn, kelivætti
white-headed duck	(dý.)høvuðhvít skarvsont(Oxyura leucocephala)
white heat	hvítgløðandi hiti, hvítglóðarhiti
white hen	a white heneydnufólk, eydnumaður, lukkufólk, lukkubarn
white hope	1hvítur nevaleikari/boksari (sum kanska kann gerast heimsmeistari)2their white hopehann ið er álit teirra, hann ið er teirra stóra vón
white horses	hvítir alduryggir
white-hot	hvítgløðandi
White House	the White House1Hvítu húsini (bústaður amerikanska forsetans)2(fl.m.) amerikanska ríkisstjórnin, amerikanski forsetin, amerikanska miðfyrisitingin
white knight	bjargingarmaður; verji
white-knockled	(sum knýtir nevarnar so fast saman, at knúgvarnir hvítna) fjálturstungin, ræddur
white lead	blýggjhvíta (litingarevni: blanding av ymsum blýsambindingum)
white lie	neyðlygn, hvít lygn
white-lipped	við bleikum vørrum
white-livered	ræddur, dirvisleysur
white man	1hvítur maður;the white man man’s burdenábyrgd hvíta mansins (fyri framburði í heiminum)2(tlm.)heiðursmaður
white meat	hvítt kjøt(serst.høsnarunga-, kalkun-, svína- og kálvakjøt), (av kalkun) vongbriðga
white metal	síwhitealloy
white money	silvurmyntir (flt), silvurpengar (flt)
white mule	(am.)Svánaligtel.heimabryggjað whisky
white mustard	(plfr.)gulur sinnopur(Sinapis alba)
whiten	1gera hvítan, hvítta, bleikja2(við ongum ávirki) verða hvítur, hvítna, blikna
white night	1vøkunátt, nátt í andvekri2ljós nátt
whitening	1bleiking2kritevni, hvítingarevni (t.d.she put whitening on her tennis shoes)
white noise	hvítt óljóð
white-out	1hvítt rættilakk2rokkavi, dungakavi (so einki sæst), tað at mjørkin sígur samanum
White Pages	(am. tlf.)navnabók
White Paper	1(lítil) hvítbók (sum ríkisstjórn gevur út til tess at almannakunngera, hvørjar ítøkiligar atgerðir hon hevur í hyggju at seta í verk viðvíkjandi ávísum máli)2marknaðarframløga
white pine	(plfr.)hvítfura(Pinus strobus)
white pointer	(dý.)stórur hvítur hávur
white poplar	(plfr.)síabele
white-rumped sandpiper	(dý.)nevstuttur grælingur(Calidris fuscicollis)
White Russia	(landafr.) Hvítarusland
White Russian1	hvítarussari
White Russian2	hvítarussiskur
white sale	(am.)útsøla av hvítvørum
White Sea	(landafr.)the White SeaHvítahav
white sheep	(flm.) ein rættvísurel.tann rættvísi millum mangar búrhundar
white-sided dolphin	(dý.)skjórutur springari(Lagenorhynchus acutus)
white slave	offur fyri hvítum trælahandli
white slaver	hvítur trælahandilsmaður
white slavery	hvítur trælahandil
whitesmith	(handv.) blikksmiður; (á enskum eis.tinman)
white-speckled raven	bringuhvítur ravnur(Corvus corax varius)
white spirit	mineralskt terpentin
white spruce	(plfr.)hvítgrann(Picea glauca)
White’s thrush	(dý.)aldutrøstur(Zoothera dauma)
white-stockinged	beinhvítur;white-stockinged horsebeinhvítt ross
white stork	(dý.)storkur(C. ciconia)
white-tailed eagle	(dý.)havørn(Haliaeetus albicilla)
