E.	(st.)East India(n); East Indies
equal3	líkur, eins (t.d.equal rights; accord them equal treatment; all are equal before the law; the votes are equal; other things being equal; the struggle became more equal; an equal representation of all parties);av sama slag; javnstórur, eins, sami, javnur (t.d.of equal height, with equal ease);róligur, spakur;they are equal in abilitytey eru eins dugnalig;on equal terms, on an equal footingá jøvnum føti;equal paylíka løn; equaltojavnur við, sama sum; førur fyri, nóg sterkur; maður fyri, mentur at gera;be equal to a task (, the situation)maður fyriel.mentur;it was equal to my expectationstað var sum eg væntaði
equality	líkleiki; javnaður, javnrættur, javnrættindi, javnstøða;equality of treatmentjavnviðgerð;sex equalityjavnstøða millum kynini;on an equality with, on a footing of equality withá jøvnum føti við;equality of rightsjavnrættindi;equality of statusjavnstøða
Equality State	eyknevni fyriWyoming(stakríki í USA)
equalization	javnstøða; javnaður;Exchequer equalization fundjavningargrunnur
equalization fund	javningargrunnur
equalize	1javna (t.d.pressure; the burden of taxation),javnmeta (t.d.the contributions should be equalized)2einshátta3(í fótbólti) javna, útjavna (t.d.the score was 3-4 but then he equalized)
equalizer	1(í ítrótt) javnandi máliðel.stigið2(útv.)mótbronglari, javnari;(ravm.)javningarmáttul, javnari, javningardynamo3(am.) Sskammbyrsa
equally	1líka, eins (t.d.equally thick all over; they were equally guilty; treat them equally; divide equally)2í sama mun, á sama hátt, somuleiðis, javnt (t.d.distribute the heat equally through the room)3javn-;they are equally clevertey eru eins dugnalig
Equal Opportunities Commission	the Equal Opportunities CommissionJavnstøðunevndin
equal pay	javnløn, sama løn (t.d.equal pay for women)
equal(s) sign,equality sign	(teld.)javnatekn
equanimity	sinnisjavnvág, sinnisró, rósemi, javnlyndi
equanimous	sinniligur
equate	equate withseta javnt við, seta javnaðarmerki (=) við;equate it with (eis.)fáa at samsvara (t.d.I cannot equate your statement with his);fáa samsvar í (t.d.I want to equate the expense with the income)
equation	1(stfr.)líkning(eis.íteld.); simple equationlíkning á fyrsta stigi;quadratic equation (stfr.)líkning á øðrum stigi;cubic equation (stfr.)líkning á triðja stigi2javnvág3líkskapur; javnstøða; útjavnan, javnaður
equator	the equatormiðkringur
equatorial	miðjarðar-
Equatorial Guinea	(landafr.) Ekvatorguinea (land í Vesturmiðafrika)
Equatorial Guinean1	ekvatorguineabúgvi
Equatorial Guinean2	ekvatorguineiskur
equator radius	miðbogageisli
equerry	(hov) stallvørður
equestrian	1nreiðmaður; (í sirkus) reiðlistarmaður2lríðandi, ríði-, reiðmanna-;equestrian statuereiðmannastandmynd
equestrianism	reiðkynstur
equestrienne	listreiðkvinna
equiangular	javnhyrntur
equidistant	javnfjarur;equidistant fromjavnlangt frá
equilateral	1njavnliðað mynd2ljavnliðaður (t.d.triangle)
equilibrate	javnviga, fáa (, halda) í javnvág
equilibration	javnvág
equilibrist	línudansari, javnvágarlistarfólk
equilibrium	javnvág;ecological equilibriumvistfrøðilig javnvág
equilibrium sense	javnvøgusansur
equine	rossa-, hesta-
equinoctial	1ljavndøgur-;equinoctial galejavndøgurstormur2njavndøgurlinjan
equinox	javndøgur;vernal equinoxvárjavndøgur;autumnal equinoxheystjavndøgur
equip	búgva út (t.d.equip him for the voyage),gera út, reiða út (t.d.a ship)
equipage	útgerð;(gl.)rossavognur, skreytvognur; fylgdarlið, fylgi
equipment	útgerð, útbúnaður, útbúgving
equipoise	javnvág, javnvágsmáttur; mótvág
equiponderant	sum hevur somu vekt (, styrki)
equiponderate	vera í javnvág; fáast í javnvág
equiprobable	eins sannlíkt
equitable	1rættlætin, rættvísur (t.d.they reached an equitable settlement of their dispute;fighting for a more equitable distribution of funds;an equitable system of taxation)2rímiligur
equitably	á rættvísan og óvildarligan hátt
equitation	reiðkynstur (t.d.a national equitation championship)
equity	1rættlæti, rættvísi, falsloysi (t.d.equity of treatment)2(løgfr.)rætt og rímiligt (t.d.if there is any conflict between the principles of common law and equity, equity prevails)3(handilsm.)eginpeningur; partapeningur, ognarpartur, ognarlutur (t.d.he owns 62% of the group's equity),tað virði sum partabrøvini hjá partafelag hevur4(handilsm.)frívirði (t.d.the equity in their house had risen; people who have built up a significant amount of equity in their homes)5equities, equity shares fltpartabrøv (t.d.trading in equities is governed by market rules)6Equity (í Onglandi og USA)sjónleikarafakfelag
equity capital	eginpeningur
equity market	partabrævamarknaður
equivalence	1javngildi, javnvirði2(málfr.) javndømi
equivalent	1ljavngildur, javnverdur, samsvarandi, javn-, við sama virði;be equivalent tosamsvara við, vera tað sama sum2nokkurt samsvarandi; samsvarandi upphædd; orð við sama týdningi;money or its equivalentpening ella samsvarandi virði;be the equivalent ofsvara til (t.d.the price was the equivalent of ten years’ rent)
equivocal	1tvískildur (t.d.expression, word),ivasamur (t.d.translation),óvissur, ógreiður (t.d.an equivocal answer; in equivocal phrases)2illgrunaverdur
equivocate	fara uttan um sannleikan, koma við undanførslum, málbera seg ógreidliga, vera tvískildur
equivocation	undanførsla, tvískild orðing, ullint svar, snildi
equivoke,equivoque	orðaspæl; tvítýdningur, tvímerking, tvílíki
ER	(st.; lækn.)emergency room
E.R.	(st.)Elizabeth Regina
era1	tíðarrokning (t.d.the beginning of the Christian era);øld; tíðarskeið (t.d.the Victorian era);tíðarmót (t.d.this day marked an era in …)
ERA2	(st.)Equal Rights Amendment
eradiate	geisla
eradiation	geisling
eradicate	skræða upp við rót, týna, oyða, gera til einkis (t.d.this disease has been eradicated from the world;programs toeradicateilliteracy; his ambition is to eradicate poverty in his community)
eradication	tað at skræða upp við rót; týning, oyðing
erasable	sum kann viskast (turkasto.tíl)burtur
erase	1turka,erase the blackboardturka talvuna reina; viska burtur, skava burtur, strúka burtur2strika(eis.íteld.)3týna; beina fyri
erasehead	strikihøvd (á bandupptakara)
eraser	skaviknívur; (am.) viskileður; talvulappi
erasure	burturstrúking; fyribeining; oyða; týning
ER doctor	lækni á skaðastovu, (st.fyriemergency room doctor); eis.emergency physician
ere	(gl.)áðrenn, fyrr enn;ere longáðrenn langt er umliðið, skjótt, brátt;ere nowfyrr
e-reader	(teld.)ravlesifjøl, lesifjøl, ravindalig lesifjøl, ravindalesifjøl
erect1	1reisa (t.d.a statue),byggja (t.d.a wall);seta upp2stovna, seta á stovn (t.d.a university),grundleggja3seta saman, seta upp (t.d.a theory)4hevja(intotil)5(stfr.)reisa upp, uppreisa, seta (t.d.erect the perpendicular on a line)6skipa (t.d.a government)7(um kynslim) reisast8erect oneselfrætta ryggin, fetta sær á
erect2	1(steyr)rættur, standandi, uppreistur, fattur (t.d.stand erect)2peiggjandi (t.d.with hair erect); (likam:um kynslim) stívur;(plfr.)steyrrættur3(fl.m.)fattur, mótaður, djarvur, stinnur, støðufastur
erectile	sum kann reisast; sum kann reisa seg
erection	1reising2bygging (t.d.of a house);uppseting (t.d.of a machine)3stovnan, stovning4(likam.)reðurstøða, standing
erectopatent	(plfr.)skrástaddur
erector	montørur; skipsbyggjari
eremite	einbúgvi, einbýlismaður, einverumaður
eremophobia	ótti/ræðsla fyri einsemi, einsemi(s)ótti/-ræðsla
e-retailer	nethandilsmaður, handilsmaður ið selur vørur á netinum
erethism	(lækn.)tað at vera óvanliga illa sintur
erewhile	(gl.)fyri løtu síðan, stutt síðan
erg	erg (mátingareind fyri arbeiði og orku)
ergo	sostatt, tessvegna
ergonomical	(teld.)arbeiðsligur
ergonomics	arbeiðsskipanarlæra (læran um at laga arbeiðsamboð og umstøður eftir menniskjaligum krøvum)
ergophobia	1sjúklig arbeiðsræðsla2arbeiðsmótboð, arbeiðsstikni
ergot	(plfr.)moldroði, soppur á korni(Claviceps purpurea)
ergotism	moldroðaeitring
Erin	Erin (gamalt navn á Írlandi)
Eritrea	(landafr.) Eritrea (land í Útsynningsafrika)
Eritrean1	eritreari, eritreabúgvi
Eritrean2	eritreiskur
erk	S vanligur hermaður; nýggjur hermaður í flogvápninum
erlking	(fólkatr.) álvakongur
ermine	1nhermalín, roysikattur; hermalínfeldur2ndómaratign;wear the erminevera dómari3sklæða í hermalín
ern,erne	havørn
Ernest	(st.)Ernest
ERNIE	(st.)electronic random number indicator equipment telda ið við hissinitølum velur vinnarar í happadrátti
erode	1mata burtur, máa burturav, slíta burtur av2(um sýru) tæra, etja, etsa3(fl.m.)bróta niður, undirgrava, hola innanúr (t.d.his political credibility has been severely eroded by …)
eroder	ein ið brýtur niður (t.d.eroder of morale)
erogenous	kynkvæmur;erogenous zoneskynkvæmir partar
erose	(plfr.)trevsutur
erosion	1(smb. erode)(burtur)mating, (jarðfr.) máan, burturmáan, (t.d.soil erosion)2slit; tæring, etsing3(fl.m.)niðurbróting; undirgraving; útholan (t.d.of purchasing power)
erosive	burturmatandi, tærandi, etsandi, etjandi, slítandi
erotic(al)	ástar-, girndar-, erotiskur
eroticism	holdbundin ást, girnd, girndarhugur, erotikkur
eroticize	(geva fólki, luti kynsligar eginleikar) kynsliggera
erotism	kynsligur hugur, gessur
erotomania	erotomani (sjúkliga sterkum gessur)
erotomaniac	erotomanur (persónur við sjúkliga sterkum gessi)
erotophobia	ótti/ræðsla fyri kynsligum sambandi
ERP	(st. am.)European Recovery Program [Marshallætlanin]
err	1fara skeivur (t.d.to err is human),mistaka seg, synda2(gl.)villast; koma inn á skeiva leið;he does not err on the side of modestytað er synd at siga at hann er lítillátin
errand	ørindi;go on(el.run) an errandfara eini ørindi
errand boy	býdrongur
errant	fjakkandi, reikandi; villandi
errantry	fjakkan, reikan
errata	(fltaverratum)brek, villur; prentvilluskrá
erratic	1óvanligur (t.d.behaviour); ørvitiskendur, óútrokniligur2hissini, tilfallandi, óstøðugur, óregluligur (t.d.attendance),ójavnur3stevnuleysur; uttan fasta rás4erratic blocks (jarðfr.)ísborið grót, reikandi grót
erratically	óregluliga, skilaleysa, burtur úr vón og viti,(t.d.he had been seen driving erratically minutes before the accident)
erring	(viðv.atburði)  vilstur, ósømiligur, burturvilstur (t.d.his erring daughter)
erroneous	skeivur, rangur (t.d.belief, doctrine, impression, opinion)
error	villa(eis.íteld.)(t.d.the book is full of errors), mistak (t.d.repent the errors of one’s youth); commit an errorgera eitt mistak;errors and omissions exceptedvið tí fyrivarni at okkurt er skeivtel.gloppið burturímillum;you areinerrortú fert skeivur;lead himintoerrorføra hann inn á skeiva leið;errorofjudgmentskeiv meting
error message	(teld.)villuboð
Erse	gæliskur
erst	fyrr, langt síðan, í fyrndini
erstwhile	1ltáverandi, fyrrverandi (t.d.his erstwhile rivals)2hj  (t.d.Mary Anderson, erstwhile the queen of America's stage)
erubescent	rodnandi, sum rodnar, sum verður reyður í andlitiel.frammaní
eruct	síeructate
eructate	ropa; (um gos) guvaosfr.
eructation	rop; (um gos) guva
erudite	lærdur, fróður
erudition	lærdómur, fróðskapur; (t.d.he then adopted an expression of perfect erudition as he pretended to read)
erupt	1goysa2leypa upp, bresta útúr; seta í (t.d.erupt into song)3(um tenn) koma undan (t.d.a new tooth erupted); erupting teethtenn sum koma undan4(um sjúku) bróta út
eruption	1útbrot2eldgos, gos3uppkoma, upphav4(lækn.)útbrot, útslag (t.d.skin eruption)
eruptive	1gos-; myndaður við eldgosi;eruptive productsgostilfar;eruptive rocksgosgrýti2bráður3(lækn.)útbrots-, útslagstongdur
erysipelas	(lækn.)rósin
ESA	(st.)European Space Agency
escalade	klíva upp á virkisvegg í stiga
escalate	1fara upp rullitrappu2(fl.m.)mennast líðandi, vaksa í styrki, økjast (t.d.a clash might escalate into nuclear war)
escalation	1líðandi menningel.økingel.vøkstur; vøkstur í styrki2herbúgving, herdubbing
escalator	rullitrappa
escallop	jákupsskel, vørpuskel; skel
escapade	1slank frá gerandisskyldum, eskapada2escapades fltskálkabrøgd
escape1	1rýming, flýggjan (t.d.his escape from prison);flótti; bjarging2leki (t.d. av gassi);it smells as if there was an escape of gas (uml.)tað luktar sum um gassslangan er ótøtt3escape from realityveruleikaflýggjan4(plfr.)útsløðingur, útvilt planta;there is no escape from ittað kemur aftur um brekku; (síeis.fireescape; narrow2)
escape2	1rýma, flýggja (t.d.he was shot while attempting to escape),sleppa (undan) (t.d.he has escaped unhurt; escape with a broken arm (, with a fine));sleppa út (t.d.the canary has escaped)2(um gassosfr.)leka, floyma út3(áv.) it escapes me (el. my memory)eg minnist ikki;it escapes me (eis.)eg skilji tað ikki;it escaped me (el. my lips)tað glapp mær av munni;it escaped me (eis.)eg varnaðist tað ikki;he escaped alivehann slapp við lívinum
escapecharacter	(teld.)loysnarstavur
escapeclause	fyrivarni
escapee	flótti; rýmdur fangi, rýmingur
escapehatch	(sigl.)neyðlúka
escapekey	(teld.)loysnarknappur
escapeliterature	veruleikaflýggjandi bókmentir
escapeopening	neyðútgongd
escaperoute	rýmingarleið
escapevalve	trygdarventilur
escapevelocity	undanferð (hjá rakett)
escapewheel	akkershjól (í uri)
escapism	veruleikaflýggjan, veruleikaflótti
escapist	1nveruleikarýmingur2lveruleikaflóttandi
escapologist	rýmingarmeistari
escargot	(fr.; matg.) snigil
escarpment	1brekka; hamari2(herm.)bratti framman fyri virkisvegg, skansabrekka
eschalot	sjalottuleykur
eschar	skruva á brunasári, brunaskruva
eschatology	(átr.)heimsskilnaðarfrøði (læran um síðstu tíð)
escheat	1nogn ið fellur til landið (tí eingir arvingar eru)2sfalla til ríkiðel.landið; ognartaka
eschew	halda seg frá, skýggja (t.d.evil)
escort1	1vápnað fylgdarlið (t.d.a police escort; he was driven away under armed escort)2fylgisneyti (t.d.Louise and her escort were given the best table)3gleðigenta
escort2	fylgja (t.d.he escorted her back to her hotel)
escritoire	skriviborð, sjatoll
esculent	etandi, munnbærur, átu- (t.d.harvesting wild mushrooms is no business for amateurs, since some of the esculent ones closely resemble poisonous varieties)
escutcheon	1skjøldur, merkisskjøldur, skjaldarmerki; vápn2(um lyklarhol) lyklaskelti3(sigl.)navnabretti4a blot on his escutcheonein blettur á hansara æru
ESE	(st.)east-south-east
esker	(plfr.)malarás
Eskimo	1ninuittur2linuitta-
Eskimo dog	grønlendskur hundur, sletuhundur
Eskimo roll	inuittavend (í kajakk)
ESL	(st.)English as a Second Language
ESN	(st.)educationally subnormal
esophageal groove	(djlækn.)mjólkarsyndil
esophagus	(likam.)vælindi
esoteric	loyniligur, einans ætlaður innvígdum,sum bara skilst av teimum innvígdu; einkar-, trúnaðar-, loyndar-; (flm.)esoteric languagefrímúraramál
ESP	(st.)extra-sensory perception; English for special purposes
esp.	(st.)especially
espalier	1rimaverk (sum stuðul hjá plantum/trøum ið vaksa upp við (húsa)múri)2espalier treefrukttræ sum eru bundin til rimaverk (og tí veksur 'flatt' upp eftir múri)
espantoon	(am.) løgreglulurkur, politilurkur
esparto	(plfr.) esparto grassespartogras(Stipa tenacissima)
especial	serligur, serstakur (t.d.an especial favour)
especially	serliga, serstakliga, helst;more especiallyserliga (t.d.I came to see London and more especially to see you)
esperance	(avelt)vón;(The lowest and most dejected thing of fortune, / Stands still in esperance, lives not in fear. William Shakespeare,King Lear, 1608)
Esperantist	esperantistur
Esperanto	esperanto (hjálparmál til altjóða nýtslu)
espial	njósnan; viðraking, uppdaging
espionage	njósnaravirksemi, njósnan
esplanade	spákingarvøllur, spákingarrás
espousal	upptøka, undirtøka;espousals flt (gl.)trúlovilsi; vígsla
espouse	1gera seg til talsmann fyri, taka undir við, stuðla (t.d.a cause)2(gl.)giftast
esprit	andbæri
esprit decorps	felagsandi, samábyrgdarkensla
espy	bera eyga við, raka við; t.s.s.catch sight of
Esq.	(st.)Esquire harri (á brøvum:T. Brown, Esqharra T. Brown)
Esquimau	inuittur
esquire	(sttilEsq)harri (á brøvum); mætur maður í tign undirknight; (gl.)skjaldarsveinur, vápnasveinur
ESR	(st.)erythrocyte sedimentation rate
ESRO	(st.)European Space Research Organization
essay1	1ritroynd; stutt ritgerð; roynd2(í skúla) stílur
essay2	royna
essayist	ritroyndarhøvundur, essayistur
essence	1kjarni høvuðstáttur, aðaltáttur; innasta vera (t.d.the essence of law is righteousness);innasta lyndi; høvuðsinnihald;in essenceinnast inni; í høvuðsheitum;of the essenceav avgerandi týdningi2(gl.)vera, tilvera3úrdráttur (t.d.essence of peppermint)4luktilsi
essential1	kjarni, høvuðstáttur, aðaltáttur, týðandi fortreyt; avgjørd treyt;in one essentialí einum avgerandi punkti (t.d.I disagree with you in one essential); in all essentialsí høvuðsheitum;only the bare essentialsbara tað allarneyðugasta
essential2	1høvuðs-, aðal-2avgjørt neyðugur (t.d.accuracy is essential);avgerandi, neyðugt (t.d.I’ll come if it’s essential);lívsneyðugur; ómissandi3grundleggjandi; veruligur (t.d.his essential self; the essential Egypt);fullkomin,his essential worthlessnesshansara fullkomni dugnaskapur4av samfelagsligum týdningi (t.d.men engaged in essential services)
essentiality	hjartatáttur
essentially	fullkomiliga; í høvuðsheitum; í grundini (t.d.it is essentially unchanged; essentially differentpúra ólíkur, ólíkur í lyndi; í síni instu veru, í kjarnanum (t.d.political freedom is essentially a sense of responsibility)
essential oil	eterisk olja
Essex	
EST1	(st.)eastern standard time; electroshock therapy
est2	(st.)established; estimated
establish	1stovna (t.d.a new state, a bank),grunda, leggja grund undir (t.d.a colony);seta á stovn2tryggja (t.d.law and order),elva (t.d.a precedent),seta í verk (t.d.a blockade, a boycott),seta upp (t.d.a theory),gera (t.d.rules)3grundfesta (t.d.their authority)4sanna, prógva (t.d.one’s innocence el. his identity)5seta (t.d.establish him as governor);setast í búgv, fáa inn í (t.d.establish him in business); establishoneselfbúseta seg (t.d.in a new house);festa rót (t.d.this custom soon established itself)
established	1viðurkendur (t.d.author),tryggjaður, rótfestur (t.d.a well- established firm),fastur (t.d.rule),festur,firmly establishedrótfestur, grundfestur;become (more) firmly establishedkoma í fasta legu, vunnin við hevd (t.d.customs)2the Established Churchríkiskirkjan (serliga um Ongland)3the established ordergaldandi skipan, galdandi viðurskifti, samfelagsskipanin
established church	the established churchstatskirkjan
established order	the established ordersamfelagsskipanin sum nú er, verandi samfelagsskipan
establishing shot	(film.) hugvekjandi inngangsmyndatøka
establishment	1(smb. establish)stovnan, stovning, stovnseting2skapan, útvegan, tryggjan (t.d.of law and order),áseting (t.d.of rules);styrkjan (t.d.of their authority);prógv (t.d.of his identity);seta3stovnur,(handilsm.)virki, handil, fyritøka4(persónar:) húski, starvsfólk,(herm osfr.)styrki (t.d.war establishment; peace establishment; the establishment on Sept. 30 was 73, 122 and there were only 63, 433 policemen)5the Establishmentbretska statskirkja; tey ráðandi (t.d.the literary establishment)
estaminet	(fr.) lítil kaffistova (sum eisini selur rúsdrekka)
estate	1góðs, ognir, jarðarognir (t.d.he has a large estate in Shropshire)2íbúðarøki; bygningur3(løgfr.)ogn; búgv;estate of a deceased persondeyðsbúgv;undivided estate (of a person)óskift deyðsbúgv4gróðrarlund, plantasja (t.d.rubber estate; sugar estate; tea estate)5(gl.)tign, lag, stætt;reach man’s estate, reach estate of manhoodkoma til mans;the three estates of the realmtær tríggjar ríkisstættirnar;the third estatetriðja stætt;the fourth estateblaðheimurin; (síeis.grossestate, real estate)
estateagency	ognarsøluvirki
estateagent	ognarmiðlari, ognarseljari;estate agent's servicesognarmiðlan
estatebottled	[framleiðsla, goymsla og latið á fløskur á sjálvum víngarðinum]
estatecar	skutbilur
estateduty	(sjálvt búgvið) arvaavgjald
estateroad	sethúsavegur, vegur í sethúsabýlingi
esteem	1nhávirðing, æra, mæti; meting;hold in high esteemhávirða, hámeta;be held in esteemvera virdur;he rose in my esteemmín virðing fyri honum vaks2svirða (t.d.I esteem him highly),hávirða; meta ein vera; halda, ætla um; halda vera (t.d.I esteem it a great honour)
esthete	
Esthonia(n)	síEstoniaosfr.
estimable	virðingarverdur (t.d.the estimable qualities of their educational system),heiðursverdur (t.d.an estimable young man
estimate1	1ætl(an),meting, kostnaðarætlan; tilboð; fíggjarætlan;form an estimate ofgera eina meting um;on(el.at) a conservative(el.low) estimatevarisliga mett;on a rough estimateleysliga mett; eftir ætli, ætlandi;by general estimateeftir vanligari fatan2the Estimatesfíggjarlógaruppskot;Supplementary Estimates (uml.)uppskot til eykajáttanarlóg
estimate2	1meta, ætla (um)(at);døma um;it is estimated thatmett verður at;the loss is estimated at £1, 000missurin verður mettur til £1.0002gera kostnaðarætlan3(sigl.)ætla
estimation	1meting,in my estimationeftir mínari meting2ætl, kostnaðarætlan(ofum),útrokning3virðing (t.d.he rose in my estimation)
estival	summarsligur
Estonia	Estland
Estonian1	esti, estlendingur
Estonian2	1estiskur2estiskt (mál)
estop	(løgfr.)forða, steðga
estrade	høvd, herða; pallur
estrange	1gera fremmand (hvør fyri øðrum); vera kaldur mótvegis(from); they have become estrangedtað er kólnað teirra millum; tey eru ikki so væl sum tey hava verið2stoyta frá sær, styggja frá sær (t.d.one’s friends)
estranged	firraður, fremmandgjørdur
estrangement	kaldlig viðurskifti (t.d.it caused an estrangement between them);vinaslit, mislag
estray	útløgudýr, harraleyst dýr
estreat	(løgfr.) úrskrift, brot (úr rættarbók)
estuary	breiður áarósi (við flóð og fjøru)
ESU	(st.)English-Speaking Union
esurient	slúkin
ETA	(st.)estimated time of arrival
et al.	et alibiog aðrastaðni;et aliiog onnur
ETB	(st.)English Tourist Board
etc	(st.)et cetera
et cetera,etcetera	og so framvegis
etceteras	annað, aðrar útreiðslur, tilhoyr, smálutir
etch	etsa, etja, radera (grava mynd við at lata sýru etsa í málm),skava, gera skavmynd;it is etched deeply into (, on)tað hevur sett sær djúp spor í
etching	skavmynd, radering
etching needle	skavnál, radernál
ETD	(st.)Estimated Time of Departure
eternal	ævigur (t.d.the eternal triangle); (tlm.)ævinligur (t.d.his eternal complaints),endaleysur, framhaldandi;eternal lifeævigt lív,(skaldsk. eis.)eilívi(h); the eternal Citytann ævigi staðurin (Rom)
eternalize	gera ævigan, gera ódeyðiligan; leingja endaleyst
eternity	ævinleiki
eternity ring	[smalur ringur við røð av gimsteinum]
eternize	
eth	(teld.)ð
Ethel	
ether	etur (hvk),ljósvøka
ethereal	lættur, loftkendur; himmalskur, oman jarðar, yvirjarðligur
etherealize	gera andligan; geva andliga merking
etherify	gera um til etur
etherism,etherrization	(lækn.)eturdoyving
etherrize	doyva við eturi
ethic	siðalæra, siðafrøði, etikkur (t.d.the Christian ethic)
ethical	siðfrøðiligur, etiskur
ethical drug	reseptheilivágur
ethics	siðalæra, siðafrøði, etikkur
Ethiopia	Etiopia
Ethiopian1	etiopi
Ethiopian2	etiopiskur
Ethiopic	etiopiskt
ethnic	1tjóðfrøðiligur, tjóðar-, fólka- (t.d.group)2limur í fólkabólki (t.d.significant numbers of Jews and other ‘ethnics’3(am.)fremmandur (t.d.restaurants);heiðin
ethnic cleansing	etnisk útreinskan
ethnicity	tjóðbólkaeyðkenni(viðv.máli, mentan, átrúnaði, uppruna); (t.d.students of diverse ethnicities)
ethnic origin	etniskur uppruni
ethnocentric	etnosentriskur (sum metir sína egnu mentan at vera ta bestu og fremstu)
ethnocentricity,ethnocentrism	entosentrisma
ethnogeography	mentanarlandafrøði (parturin av landafrøðini sum viðger menniskju og teirra virksemi; móts.physical geography)
ethnographer	tjóðlívsfrøðingur
ethnographic(al)	tjóðlívs-
ethnography	tjóðlívsfrøði
ethnological	tjóðlívsfrøðiligur
ethnologist	tjóðlívsfrøðingur
ethnology1	atferðarfrøði
ethnology2	tjóðlívsfrøði
ethological	atferðarfrøði-, atferðarfrøðiligur; síehology
ethologist	atferðarfrøðingur; síethology
ethology	1(gransking í atferð hjá dýrum) atferðarfrøði2(gransking í atferð hjá menniskjum og sosialum skipanum sæð úr lívfrøðiligum sjónarhorni) atferðarfrøði
ethos	etos (moralskur hugburður; moralsk sereyðkenni); moralur (t.d.commercial ethos)
ethyl	etyl
etiolate	1bleikja (t.d.the seedling had been etiolated by having been grown in darkness)2veikja
etiolation	bleikjan, bliknan, blik
etiology	orsakarfrøði, etiologi (læran um sjúkdómsuppruna)
etiquette	siðvenja, skikkur, kurteisisreglur, etiketta
Eton	(býur skamt frá London við Tems ánna, við gitnum skúla:Eton College); Eton cropdreingjahár
Etonian	1netonianari, næmingur fráEton College2lúr Eton
Etrurian	1netrusk(ar)i; etruskiskt2letruskiskur
et seq.	(st.)et sequens og á næstu síðu
et seqq.	(st.)et sequentes, -tia og á næstu síðunum
etui	húsi
ETV	(st.)educational television
etymological	upprunafrøðiligur, etymologiskur;etymological dictionaryupprunaorðabók
etymologize	greina orðauppruna
etymology	orðaupprunafrøði, etymologi
EU	(st.)European Union ES
eucalyptus	(plfr.)eukalyptus(Eucalyptus)
Eucharist	(átr.)kvøldmáltíðarsakramentið
euchre1	(eitt kortspæl)
euchre2	lumpa, koma óvart á; vinna á
euchred	útlúgvaður,fyrilagstur, útteipaður, útervaður
Euclid	Euklid;(stfr.)mátingarfrøði (-lag) Euklids
Euclidean	euklidiskur
eudaemonia	lukkustøða, lukkustandur
eudaimonia,eudemonia	(gr.) lukkustøða, lukkustandur
Eugene	
eugenic	ættarrøktur
eugenics	ættarrøkt, rasurøkt (t.d.a half-century ago,eugenicsbecame associated with Hitler, genocide and master-race theories, and its reputation has never recovered)
eulogist	lovprísari, lovtalari
eulogistic(al)	lovprísandi, (skamm)rósandi
eulogize	lovprísa, lova, prísa, rósa
eulogy	lovorð (t.d.a eulogy to the Queen Mother);minnislovorð (t.d.his lifelong collaborator delivered a graveside eulogy)
eunuch	geldingur, eunukkur;a eunuch of a billskert lógaruppskot
eupeptic	1við góðari sodning; lættur at sodna2(fl.m.)glaður, bjartskygdur
euphemism	fagurheiti, fríðkanarorð,
orðaskreyt, orðafríðkan, káv (t.d.the jargon hasgiven us ‘downsizing’ asa euphemism forcuts)
euphemistic	fríðkandi, fegrandi, kávandi
euphemize	linna við umskriving, hylja, káva út yvir; nýta umskrivingar
euphonic,euphonious	ljómfagur
euphony	ljómfagurleiki
euphoria	sæla, eydnusæla, frøi, bjartskygni, vælverukensla
euphoriant1	(serst.rúsevni/rúseitur/drøgg ) dusandi
euphoriant2	dusandi evni/drøgg/rúseitur
euphoric	eydnusælur
Euphrates	the EuphratesEufrat
Euphues	
euphuism	háfloygt, tilgjørt mál
euphuistic	háfloygdur, tilgjørdur
Eur.	(st.)Europe(an)
Eurasia	Evrasia
Eurasian	1nevrasari (barn hjá evropea(ra) og asiata)2levrasiskur
EURATOM	(st.)European Atomic Energy Community
eureka1	heureka! (róp hjá Arkimedes); eg havi (funnið) tað!
EUREKA2	(st.)European Research Cooperation Agency
Euripides	
euro	evra (ES gjaldoyra)
Eurocrat	evrokratur, embætismaður hjá evropiska felagsmarknaðinum
Eurocurrency	eurovaluta
Eurodollar	evrodollari (US dollari nýttur uttan fyri USA)
Europe	Evropa
European	1nevropeari2levrop(e)iskur
European Baccalaureate	evrop(e)iska studentsprógvið
European Champion	(ítr.)evropameistari
European Championship	evropameistaraskapur
European Court	evropadómstólurin
European Currency Unit	= ECU; evra
European DefenceCommunity	evrop(e)iski verjufelagsskapurin
EuropeanEconomic Community (EEC)	the European Economic Communityevrop(e)iski felagsmarknaðurin
European FreeTradeAssociation (EFTA)	evrop(e)iska fríhandilsøkið
European lyme-grass	(plfr.)breitt sævarkorn(Elymus arenarius)
European Monetary System	evrop(e)iska gjaldsoyraskipanin
European Parliament	evropaparlamentið
European plan	hotellprísur sum bara fevnir um kamar og tænastu men ikki máltíðir(sbr American plan)
European robin	bringureyði(Erithacus rubecula)
European Song Contest	evrop(e)iska sangkappingin; Melodi Grand Prix
Eurosceptic	evromótstøðufólk
Eurovision song contest	evrop(e)iska sangkappingin; melodi-grandprix
Eurydice	(gudal.)Eurydike
eurythmics	rútmiskur fimleikur
Eustachian	(likam.) Eustachian tubegómapípa
Euston	
euthanasia	miskunnardráp, samkensludráp, deyðshjálp; lættur og pínuleysur deyði
eutrophic	føðsluríkur
eutrophication	(lívfr.)ovtaðing(eisinieutrofiering)
