J2	(st.)Judge; Julius; Justice
justice	1rættvísi, rættlæti;substantial justicesonn/satt rættvísi;rough justicefrumkend/frumkent rættvísi2rættur3heimild (t.d.I must admit the justice of his claim)4(um persón) dómari5[íyms.samb.]dohim justice, do justice to himvera rættvísur mótvegis honum, veita honum frama, geva honum tað ið hansara er;do oneself justicebrúka øll síni evni, gera sítt besta;here he can do himself justice (eis.)her kann hann veruliga nýta síni evni;do justice to everybodygera rætt og skjal við øll;justice wasdoneto himhann fekk rættvísa viðferð;let justice be donelata rættvísina njóta frama, lata rættin ganga sína gongd;to do him justice (el.injustice)we must admit that he is industrioushann skal eiga tað at hann er arbeiðssamur;in justice (eis.)rættvísiliga;the justiceofhis claim (eis.)tað ið gevur honur rætt til hetta krav;Justice of the Peacefriðdómari (óløntur dómari uttan løgfrøðiliga útbúgving);withjustice av røttum
justice of the peace	friðardómari
justiceship	dómaraembæti, dómaratign
justiciable	sum kann leggjast fyri rættin (we signed the treaty under European law, justiciable under European Court)
justifiable	ráðiligur, umberandi, heimilaður, sum gevur heimild, sum gevur rættel.rættindi; justifiablehomicidedráp ið ikki verður revsað sambært lógini; (ofta =) neyðverjudráp
justification	1rættvísgering(eis. átr.)2verja, heimild(offyri)3grundgeving, grundir4(prent.)reglubreidd
justificative,justificatory	sum kann nýtast til at rættvísgera (grundgevael.greina), seta fram góðar orsakir fyri
justify	1rættvísgera, verjaI do not feel justified in doing iteg kann rættvísa gera tað;justify our existenceverja okkara tilverurættindi2grundgeva, geva grundir fyri, prógva (t.d.a statement which must be hard to justify)3heimila (t.d.nothing can justify such conduct)4(prent.)reglufylla5(teld.)staðrætta
justly	av røttum; rættvísiliga, av góðum grundum (t.d.he was justly indignant at his treatment)
jut1	jut outstanda framúr, standa og raða (t.d.a rock jutted out from the side of the bank); stinga framúr, seta framúr (t.d.she put up her head andjutted outher chin with determination)
jut2	nøs, nøv, nasi
Jutes	[jútar, ein av trimum germansku ættbólkunum sum løgdu Ongland undir seg í 5. øld (410e.t.o.) saman við anglum og sakslendingum/saksum]
Jutland	1(sern.)Jútland2ljútskur
Jutlander	júti
Jutlandic	jútskur
jutting	raðandi, sum stendur framel.uppundan, peiggjandi framel.upp;síjut1
juvenescence	byrjandi ungdómur; (upp)ynging
juvenescent	um at røkka unglingaárini
juvenile1	1ungmenni, unglingur, ungdómur;(plfr.)ungplanta2barna-el.unglingabók3(sjónl.) =juvenile lead
juvenile2	unglinga-, ungur
juvenile court	unglingadómstólur
juvenile delinquency	unglingamisbrot
juvenile delinquent	unglingamisbrótari
juvenile lead	(sjónl.)fyrsti elskari, elskari; sjónleikari ið spælir unglingaleiklutir
juvenilia	[verk sum rithøvundurel.listafólk hava avrikað, meðan hann/hon framvegis var ungur/ung]
juvenility	1ungdómur2unglingar, ung fólk (flt)
juvey,juvie	1(am.)S=juvenile delinquent2(am.)Sungdómsfongsul
juxtapose	seta lið um lið; javnseta, javnmeta;juxtaposedlið um lið; liðstaddur;juxtaposed tosettur undir liðina á
juxtaposition	javnseting, javnmeting; liðstøða
juxtaposition twins	samanvaksnir tvíburar
jynx	1(dý.) snúðurkriki (Jynx torquilla) t.s.s.wrynck2(am.)gykl, gandur,; tølan, dáran, bergtøka
