d-	(st.)damn
dill	(plfr.)dild(Anethum graveolens); dill pickleagurkusalat við dild
dilly-dally	drála, himprast, silla (-ll-)
diluent	1ntynnari2ltynnandi
dilute	1tynna, doyva, veikja;(eis. fl.m.)útvatna;(óáv.)tynnast; dilutelabournýta ófaklærda arbeiðsmegi2ltyntur
dilutee	ófaklærdur arbeiðsmaður (sum arbeiðir sum faklærdur)
dilution	tynning, doyving;(fl.m.)útvatnan
diluvial	(jarðfr.)ístíðar-
diluvium	ísøld, ístíð
dim.	(st.)dimension;(tónl.)diminuendo; diminutive
dim1	1káma (t.d.the light),dimma2skýma3(um billykt) blinda niður4(fl.m.)grugga, gera ókláran, verða óklárur (t.d.eyes dimmed with tears; the outlines began to dim)5doyva (t.d.one’s sense of humour)
dim2	1dimmur (t.d.the dim light of a candle),skýmligur, kámur (t.d.his sight was dim)2óklárur; gruggutur, óskilligur (t.d.a dim sound);ógreiður3(tlm.)býttur, keðiligur; (t.d.he’s been dim as a secretary)4(fl.m.) she could not bear taking a dimmer place …ikki skula vera í brennideplinum;take a dim view of,síview1
dime	(am.) dozen (fl.m.)hasum slagnum er nóg mikið av;the car can turn on a dime… kann snara um seg sjálvan
dime novel	lættisoppaskaldsøga
dimension	stødd, vídd, vav, mál, mát, royvildi;dimensions flt (eis.)stødd (t.d.a house of considerable dimensions)
dimensional	víddar-;dimensional stability(um tilfar)(byggfr)dimensjónsstyrki
dimidiate	býttur í helvt
diminish	gera minni, minka um, skerja; minka, svinna, smækka;the law of diminishing returnslógin um minkandi úrtøku
diminution	minking; svinn
diminutive	1nminkingarorð, smækkanarorð2lpinkulítil, evarska lítil
dimmer	ljósdoyvari, ljósstillari
dimmy	(tlm.) tollut fólk
dimorphic	(plfr.)tvíbrigdaður
dimp	S (sigarett) stubbi
dimple	1kulla, smílikulla, smílikoppur2høkuskarð3(í sjóðing) trýstsøkking4gráðiel.garður á sjónum5sgarða (á sjónum); purla; fáa smílikullur
dimpled	við smáum kullum, purlutur; við smílikullum
dimps,dimps(e)y	skýming
dimwit	býttlingur
dimwitted	býttur
din	1nlarmur, dun, gangur, trumm2slarma, duna, dynja, halda gang;din it into his earsbanka tað inn í høvdið á honum
dinah	dynamitt
dindle	(skotskt) darra, titra
dine	eta(el.fáa sær) døgurða; dinehimgeva honum døgurða; bjóða honum til døgurða;dine and wine himborðreiða við døgurða og víni; geva honum ein fínan døgurða;we were dined and wined (uml.)vit ótu sum greivar;this table dines twelve comfortablyhetta borðið; dineoff (el. on) roast goosefáa gásasteik til døgurða; dineouteta døgurða úti;Sklára seg við ongum døgurða
dine-and-dance	(am.)dansimatstova
diner	døgurðagestur; matvognur (á toki)
diner-out	ein sum ofta etur úti, døgurðaharri
dinette	lítil borðstova
ding1	klokkuljóð
ding2	1(am.)bukla, raka (t.d.she was worried she might ding the car beside her when she parked)2(am.)tveita, blaka, kasta3(am.)bera av (e-m), roynast betur, hava/vera við yvirlutan
dingbat	1(am.) Sørur hundur;have the dingbatvera óður í høvdinum; hava brennivínsøði;it gives me the dingbattað loypur fjáltur á meg2rekavætti, daggari, valtrari, landastrok
ding-dong	1dingdong, samfeld bjølluljóð2ding-dongfightdystur við skiftandi eydnu; sera javnur dystur; rokbardagi
dinghy	jolla, sniffil;(flogm.)bjargingarbátur
dingle	lítil skógvaksin dalur
dingle(-dangle)	Ssnippur, pissimaður, pissilingur
dingo	(dý.; avstralskur villhundur) dingohundur(Canis familiaris dingo)
dingus	(am.)S (smá)lutur
dingy	skitin, ónossligur; myrkur, dimmur
dining alcove	døgurðakrókur
dining car,dining coach	matvognur
dining corner	døgurðakrókur
dining hall	matsalur
dining room	borðstova
dining table	døgurðaborð
dinkey	lítið lokomotiv at flyta góðs millum sporini
dinkum	(avstr.)ektaður, rættur;he’s a fair(el.squareel:true) dinkum blokehann er ein rættur og reiðiligur knassi
dinky	(tlm.)fittur, fiksur (t.d.hat); (am.)lítil, lúsutur
dinner	1døgurði (t.d.have a decent dinner at a few pounds; dinner at sixdøgurði kl 6); døgurðamatur; veitsludøgurði2[íyms.samb. ]what did you havefordinner?hvat fingu tit til døgurða?;invitation for dinnerdøgurðainnbjóðing;it is time for dinnertað er døgurðatíð, tað er døgurði;ask himtodinnerbjóða honum til døgurða
dinner cloth	døgurðadúkur, fínur dúkur
dinner companion	borðdama, borðharri
dinnerdress	kvøldkjóli
dinner guest	døgurðagestur
dinner hour	døgurðasteðgur
dinner jacket	smokingur
dinner knife	døgurðaknívur
dinner mat	smádúkur, serviettur
dinner party	døgurði, borðlag
dinner service,dinner set	døgurðastell
dinner table	døgurðaborð
dinner wagon	rulliborð
dinnerware	borðbúnaður, døgurðastell /-l/ og matamboð
dinosaur	dinosaurur
dint	1nmerki eftir stoyt; hakk, skarð; bukla;by dint ofvið hjálp frá (t.d.by dint of patience and hard work he succeeded)2sbukla
diocesan	biskupsdømis-
diocese	biskupsdømi
dioecious	(plfr.)tvíbýlis-
dioecious cockle	(plfr.)reydligt bjargablomstur(Silene dioica)
dioecious sedge	(plfr.)tvíbýlis-stør(Carex dioica)
dioestrum	(landb.) [tíðarskeiðið millum tvær brundtíðir]
Dionysus	(gudal.)Dionysos
diopter	dioptri (máteind til eygnakúpustyrki)
dioptric	dioptriskur (sídiopter)
dioptrics	dioptrikkur (læran um hvussu ljósgeislar brotna)
diorama	(trívíddar modell avt.d.landslagi, fólkum, hending) diorama
diorite	(jarðfr.) dioritt
diotic	(lækn.) [viðvíkjandi báðum oyrum]
dioxide	(evnafr.)tvísúrni, tvísýrningur, dioxid
dioxin	dioxin
dip1	1kav; svimjitúrur (t.d.shall we have(el.take) a dip)2dypp, dypping (t.d.a cold water dip)3halli, hall, lægd (t.d.a village situated in a dip between the hills),lág4fall (t.d.a dip in prices),kav5tálgarljós, kertiljós, kerta6sós at dyppa í7(al.)(sigul)hall8Slummatjóvur; (síeis.sheepdip)
dip2	1drepa, dyppa (t.d.dip the pen in the ink),stinga; dipintostinga hondina (, fingurin) í (t.d.a jam jar);dipinto one’s purse (fl.m.)taka djúpt niður í lumman; dipone’s hand intostinga hondina í2kava, renna seg á høvdið;(fl.m.)hyggja í, kveita í (t.d.a book);hyggja leysliga at, skavast við; bukka (t.d.he had to dip his head to enter the cave)3søkkja (seg)4dyppa, dip in cold water5oysa (t.d.the cook dipped our soup from the kettle)6halla, skráa, kala (t.d.the road dipped suddenly)7(í bili) blinda niður; dipthe headlightsblinda niður8(flogm.)stoyta (t.d.the aeroplane dipped before climbing)9(áv.)dyppa, lita (við at dyppa),stoypa, stoyta ljós (við at drepa veikin í tálg) stoyta, oysa10dipthe flagheilsa við flagginum
Dip3	(st.)Diploma
Dip AD	(st.)Diploma in Art and Design
Dip Ed	(st.)Diploma in Education
diphase,diphasic	(alisfr.) tvískiftur, við tveimum skiftum, tvískiftis(-streymur)
Dip HE	(st.)Diploma in Higher Education
diphtheria	smittandi svølgrúmssjúka
diphthong	tvíljóð, diftongur
diphthongize	diftongera (gera tvíljóð)
diploid	(nýggy., lívfr.)tvílitla-
diploma	1heiðursbræv, heiðursprógv2próvbræv
diplomacy	sendiharravirki, diplomati
diplomat	stjórnarumboðsmaður, sendiharri, diplomatur
diplomatic	snildur, gløggur í samráðingum, listilærdur, diplomatiskur;the diplomatic body (el. corps)diplomatiska liðið;the diplomatic serviceuttanríkistænastan
diplomatics	handskriftafrøði, diplomatikk
diplomatist	diplomatur
diplomatize	virka diplomatiskt, viðgera diplomatiskt, fara diplomatiskt um
dip needle	sigulhalsmáti, inklinasjónsnál
dippedbeam,dipped(head)lights	nærljós
dipper	1oysa2(í bili) =dip switch3(á gravimaskinu) grabbi, skuffa, kjaftur4big dippersinglibreyt, rutsjibani5the (Big) Dipper (am, stjfr.)Stóra Bjørn;the Little Dipper (am, stjfr.)Lítla Bjørn, Kvennavognur6(dý.)áarkallur(C cinclus)7Slummatjóvur
dipping needle	sigulhalsmáti, hallnál
dippy	Sklikkaður, ørur, óður í høvdinum, svakur, vitleysur, býttur
dipso	(tlm.)drykkjumaður
dipsomania	drykkjuherðindi
dipsomaniac	drykkjumaður
dipstick	(oljustøðu) mátipinnur; pot
dip switch	nær- og langljósskiftari
Dip Tech	(st.)Diploma in Technology
dipteran	(dý.)tvíveingjur, tvíveingjað skordýr(Diptera)
dipterous	tvíveingjaður
dirdum	rok; ramaskríggj
dire	1ræðuligur, øgiligur (t.d.consequences),andskræmiligur2álvarsamur, syrgiligur;(gl, skaldsk.)svárur, tungur;be in dire straitsvera í dýrastu neyð3Sræðuligt, „sjúkt“4in dire distressí svárari neyð;out of dire necessitykroystur av dýrastu neyð;in dire straitsí dýrastu neyð;dire predictionsdøpur útlit
direct1	savnsvørður
direct2	1stýra, leiða (t.d.who is directing the work?)2vegleiða, geva ráð (t.d.the judge directs the jury in matters of law)3vísa veg (t.d.can you direct me to the station?)4stjórna (t.d.an orchestra)5stýra (t.d.one’s steps towards the house)6beina (t.d.one’s remarks to sby; one’s attention to sth)7skipa (einum),geva boð um (t.d.direct them to advance slowly)8(um bræv) seta bústað á (t.d.shall I direct these letters to his home address)9(filmosfr.)pallseta, leikstjórna
direct3	beinleiðis, beinvegis, líka, beint, lúkst, heilt;the direct opposite oftað beint øvuta av, tað tvørøvuta av;in direct ratio toí beinum lutfalli við
direct access	(teld.)beinleiðis atgongd
direct current	javnstreymur
direct-current	javnstreyms- (t.d.motor)
directdebit	(uml.)bankanna gjaldsskipan
direct grant school	grammar schoolsum fær beinleiðs ríkisstuðul
direct hit	beinrakið skot
directing power(s)	leiðarevni
direction	1ætt, leið, stevna, vegur, kós(eis.íteld.);(t.d.in which direction did he go?; sail in a northerly direction; walk in the direction of London; improvements are needed in many directions; people ran away in every direction …í allar ættir;he looked in my direction ...ímóti mær;run in the direction of the soundrenna eftir ljóðinum;have a good sense of directionhava góðan leiðsans)2leiðsla (t.d.entrust him with the direction of affairs),stjórn; fyristøða, leiðbeining (t.d.work under the direction of somebody else; Roman Catholic spiritual direction)3directions fltávísingar, (á bræviosfr.)bústaður (t.d.returned because the directions were insufficient)4directions for usenýtsluleiðbeining
directional	vegleiðandi; leiðvísur
directional aerial	leiðkampur, leiðantenna, ýtingarkampur, peiliantenna
directional gyro	gyrokumpass
directional light	leiðiljós
direction finder	peilitól
direction indicator	(á bili) leiðvísi, avvísi;(flogm.)kósvísi
directive1	1leiðbeining, direktiv2fyriskipan, boðskriv
directive2	leiðandi; leiðbeinandi, til leiðbeiningar
directly	1líka, beint (t.d.the road runs directly north and south),lúkst, beinleiðis (t.d.they were directly responsible; directly affected by the strike; he was looking directly at me);beinvegis2beinanvegin, alt fyri eitt, í stundini (t.d.I’ll be there directly);straks3fyrst ið (t.d.let me know directly he comes);í somu løtu (t.d.directly we glance at eyes and forehead we see …)
directness	bein kós; beinleiki;describe with directnesslýsa beinrakið;directness of purposemiðvísi
director	1leiðari (t.d.school directorsskúlaleiðarar)2vegleiðarispiritual directorandaligur vegleiðari3stjóri; forstjóri4(handilsm.)stjórnarlimur, stýrislimur;board of directorsstjórn, stýri5leikstjóri6(løgfr.): Director of Public Prosecutions(Ongl.)(uml.)ríkisadvokatur7(herm.)maðurel.tól, sum leiðir (t.d. kanóneld)
directorate	stjórn, stýri, stjórnarnevnd
director general	aðalstjóri
director’s chair	leikstjórastólur
directors' fee	stjórnarlimasamsýning, stýrislimasamsýning
directorship	stjórastarv
directory	1bústaðarbók, uppslagsbók2leiðvísari;telephone directorytelefonbók3(íteld.)fíluskrá4lvegleiðandi, rættleiðandi, leiðbeinandi
directory inquiries	(tlf., uml.) nummarkall
direct primary	(am, ting, uml.)beinleiðis undanval, beinleiðis uppstillingarval
directress	fyristøðukvinna, leiðari; stjóri
directrix	(flt directrixes / directrices [di’rektrisi:z; d(a)irek’traizi:z])1(herm.)kjarnalinja2(stfr.)stýrilinja, leiðilinja
direful	ræðuligur, øgiligur
dirge	gravsálmur, líksálmur
dirigible1	loftfar, loftskip
dirigible2	sum kann stýrast
drigiste	ríkisstýrdur, ervastýrdur (t.d.an incomes policy which is highly dirigiste)
dirk	1n (serst. skotskt)knívur, dolkur, stutt svørð2sstinga við knívi
dirt	1skittur, skarn2(fl.m.)ólíkligskapur, ónæri3mold, runa4(gullvask:) grús5[íyms.samb.]do dirt to (el. on) = do the dirty on,sídirty; eat dirtlata alt um seg ganga;fling (el. throw) dirt atdálka, bíta í bak;treat sby like dirtfara illa við einum;yellow dirtgull
dirt boat	(sigl.)ruskbátur [t.d.í Amsterdam]
dirt cheap	fyri lítið og lætt
dirt farmer	(am. tlm.)bóndi sum sjálvur veltur sína jørð [móts:gentleman farmer]
dirt floor	(am. uml.)moldgólv
dirt poor	(am.) blóðfátækur, ørfátækur, úrlagi fátækur, ikki eiga sýru í vegg
dirt road	(am.)uppdyrkingarvegur, skervlagdur vegur
dirt track	1hagagøta, traðkað gøta2evjuteigur (til motorsúkklukappkoyring)
dirt-track racing	dirt track
dirty1	dálka;wear gloves in order not to dirty one’s hands… fyri ikki at dálka hendurnar;dirty one’s pantsgera í buksurnar; dálkast (t.d.fabrics that won’t dirty easily)
dirty2	1skitin, óreinur, dálkaður, grómutur2sum fremur geislavirkna dálking (t.d.bomb)3(fl.m.)óreinur, forbrendur4sliputur5ónæriligur, ólíkligur, illavorðin, fúlur, morreyður (t.d.story),svínskur6[íyms.samb.]do the dirty onfara illa við; gera eina skarnsgerð móti; lumpa;a dirty lookhvast eygnabrá, skriðuskortur;a dirty old maneitt gamalt svín;have a dirty mindhava skitna tankagongd;a dirty trickein skarnsgerð;dirty weatherlúsa veður; dirtywordljótt orð; dirtywork„skitið arbeiði“;do sby’s dirty work for himgera tað skitna arbeiði fyri ein
dirty crack	broddur [stingandi viðmerking]
dirty epithet	eyknevni
dirty gyp	svik
dirty money	viðbót fyri skitið arbeiði
dirty mouth	ljótur í munninum, brúka ljótan munn, munnskemd (T.d.the comedian lost his gig at the nightclub because he had such adirty mouth)
dirty stinker	reyvarhol
dis.	(st.)distant; distance; distribute
dis1	tosa niðrandi við ein, finnast at e-m (t.d.I don't like her dissing my friends)
dis2	(tlm., útv.)disconnection
disability	1dugnaloysi, ódugnaskapur, tvørrandi førleiki2(trygg.)óarbeiðsføri;disability insuranceavlamistrygging; avlami, vanføri;Social Security disability benefitsavlamiseftirløn3(løgfr.)ógegni
disable	1gera óarbeiðsføran2gera avlamnan, gera heilsuleysan3gera ónýtiligan, gera óskikkaðan4(teld.)ógilda,óvirkja5(løgfr.)gerael.lýsa løgfrøðiliga ógegnan6disablehim from doing itforða honum í at gera tað
disabled	1avlamin, brekaður2(herm.)óvígførur; disabledsoldierkrígsskaddur hermaður3(um bilosfr.)í ólagi, skaddur4disabled vessel (sigl.)hjálparleyst skip, havreki
disablement	óarbeiðsføri; avlamni; óstríðsføri;disablement benefitavlamisendurgjald;degree of disablementavlamisstig;disablement insuranceavlamistrygging;disablement pensionavlamisrenta
disabuse	fáa aftur á rætta leið; lata eyguni upp fyri; disabuseofloysa frá; lætta (t.d.he spoke lightly, as if to disabuse his mind of certain fears)
disaccord	1nósamsvar, mismunur, ójavni2sikki taka undir við; ikki samljóða við
disadvantage	1brek, skaði, lýti;be at a great disadvantagevera ógvuliga illa staddur;they were put at a lifelong disadvantagetey fingu brek fyri lívið2meinbogi, tvørleiki, ólagaligar umstøður,under great disadvantagesundir ógvuliga truplum umstøðum3svera einum til ampa, skaða, lýta4at a disadvantageilla staddur, illa fyri
disadvantaged	illa fyri, illa staddur (t.d.children); in a disadvantaged positioní óhepnari støðu
disadvantageous	ólagaligur (t.d.conditions; terms);vánaligur, óheppin
disaffected	misnøgdur; fíggindasinnaður
disaffection	misnøgd, uppreistrarandi
disaffiliate	(disaffiliate, oneself, from)halda seg frá; seta seg uttan fyri (t.d.society)
disaggregate	greina sundur, skilja sundur (t.d.a method for disaggregating cells)
disagree	1vera ósamdur, ósemjast, vera ójavnur á máli2ikki hóska saman, ikki svara saman;lobster disagrees with mehummari gagnar mær ikki
disagreeable	ósambæriligur, ófjálgur, ófýsin, ónossligur, ótýdligur, (um royk) illramur, ringur; keðiligur
disagreement	mismunur, ójavni, ósemja, træta; ófriður
disallow	1vraka2havna, vísa frá sær, vísa aftur (t.d.their claims); disallowed deductionsútreiðslur ikki loyvdar at draga frá; banna,smoking strictly disallowed …strangliga bannað3fella (uppskot)4(fótb.)kolldøma,ógilda(t.d.the goals were disallowed)5disallow(of)dáma illa
disallowance	vrakan, ógildan, afturvísing
disambiguate	(gera skil á muni millum tvær ella fleiri einsháttaðar framsagnir/hugsanir) lýsa greitt, greina, gera skil á (ímillum);á good dictionary definitions disambiguate between similar meaningsgreiningar í góðari orðabók gera skil (á muni) á (næstan) einsháttaðum meiningum/innihaldi
disambiguation	sídisambiguate
disamenity	vansi
disappear	hvørva, fara, rýma
disappearance	hvørving, rýming
disappearing act	hvørvibragd
disappearing trick	
disappoint	vónsvíkja, veita (einum) vónbrot; lumpa, svíkja(of);(um (verk)ætlan) forða, hindra;I’m disappointed in youeg eri vónsvikin av tær
disappointment	vónbrot, vónsvik, ónøgd,suffer(el.meet with) a great disappointmentvera fyri stórum vónbroti
disapprobation	misnøgd, ónøgd
disapproval	misnøgd, atfinningarsemi
disapprove	1disapprove (of)dáma illa, vera ímóti2vraka, havna (t.d.the application was disapproved),vísa frá sær
disarm	avvápna, minka um herbúgving; gera óskaðiligan (t.d.a bomb)
disarmament	avvápnaður, avvápnan, avdubbing;disarmament policyavvápnaðarpolitikkur;disarmament treatyavvápnaðaravtala
disarrange	fáa óskil í, fløkja, vasa, loypa brongl í, avlaga
disarrangement	óskil, fløkja, funs, avlagan
disarray	1nógreiða, brongl, óskil, ólag, vas, funs, fløkja2sfløkja, skepla, loypa surr í; lata úr, nekta
disassemble	taka sundur, demontera
disassociate	sundurskilja, skilja sundur
disaster	ólukka, vanlukka, stórskaði
disaster area	vanlukkuøki
disastrous	vanlukkuligur, harmiligur, syrgiligur
disavow	nokta/sýta fyri, frákanna sær, tváa hendur sínar, ikki taka ábyrgdina av, leggja ábyrgd frá sær
disavowal	ábyrgdaravnoktan
disband	senda heim (t.d.an army);loysa(st) upp, syndra(st)
disbandment	upploysn, syndran
disbar	disbar sby taka sakføraraloyvi frá einum
disbelief	vantrúgv, ivi
disbelieve	ikki trúgva(inupp á); firnast at trúgva, ivast í;if I did so, I should be disbelieved… hevði eingin trúð mær
disbeliever	a disbelieverein vantrúgvin
disburden	1loypa klyv, loypa av (t.d.rossum) (t.d.hann loypti eitt lass av rossi) lætta byrðu av2(flm.) lætta(offyri); disburdenone’s mindlætta hugan
disburse	gjalda út, rinda
disbursement	útgjald, útreiðsla, gjald
disc	1(eis. mek)skiva;parking discparkeringsskiva; diskur2kringla, klingra3(grammofon)pláta4(teld.)diskil5dáli6(likam, plfr.)diskur;slipped discdiskusprolaps
discard1	vrakaður lutur; útskot; (í kortspæli) avkast;go into the discardverða vrakaður, verða tveittur burtur, fara í gloymskuna
discard2	1(í kortspæli) blaka burtur; discardheartsblaka hjartara burtur2loysa seg frá3(um klæði) leggja4(um okkurt ónýtiligt) vraka5(fl.m., eis.)vraka, havna, kasta aftur6(um vana) leggja av
discarnate	ólikamligur, holdleysur (t.d.spirits;voices)
disc brake	skivubremsa
discern	1síggja, skilja millum,discern right from wrongskilja millum rætt og rangt;discern between good and evilduga at skyna á góðum og illum; kenna munin á góðum og illum2greina, hóma, tekkja, fata3viðurkenna
discernible	sum hómast
discerning	skilagóður, vitugur, hyggin, skynsamur; næmur, gløggur; vandin
discernment	vit, skil, skyn; gløggleiki; vandni
disc flowers	(plfr.)diskblómur
discharge1	1úttøming (t.d.discharge of waste oil from tankers; the discharge of steam (, gas));burturveiting; burturbeining; frárensl (t.d.control the discharge of water from a lake)2útlát;discharge of polluted waterútlát av skitnum/dálkaðum vatni3skot, skotríð (t.d.of arrows)4(ravm.)avløðing5(lækn.)flot úr sári, kertlio.tl.6(sigl.)lossing, uppskipan, uppskiping,costs of dischargeuppskipingargjald;hours of dischargeuppskipingartíð;port of dischargeuppskipingarhavn7(um persón) uppsøgn, frákoyring; fríkenning, leyslating, heimsending, avmynstring, útskriving8(um skyldu) útinnan, røkt (t.d.the discharge of one’s duties)9gjald, greiðsla10the discharge of one’s officeeins embætisførsla
discharge2	1senda út (t.d.smoke),lata út, lata frá sær, tøma (t.d.gases are discharged through the exhaust valve);veita (t.d.the factory discharges its waste into the river),(lata) renna út2beina burtur3(um vápn) skjóta (t.d.an arrow),lata skot av (t.d.without discharging a shot)4(ravm.)avløða, tøma (t.d.a battery)5(lækn.)lata úr sær, skilja út (t.d. úr sári, kertli) (t.d.the wound discharges pus)6(sigl.)skipa upp, lossa, tøma (t.d.the ship, the cargo; discharge the cargo at Hull)7(um persón) siga upp, siga úr starvi, seta av, koyra frá8loysa frá, sleppa einum undan (t.d.from responsibility)9(um fanga) geva leysan,(herm.)senda heim,(sigl.)mynstra av, (um sjúkling) útskriva10(um skyldu, starv) útinna, greiða úr hondum, greiða, gera, røkja (t.d.one’s duties),gjalda (t.d.he has finally discharged his mortgage),rinda (t.d.unable to discharge one’s debts)
discharge book	siglingarbók
discharge certificate	(herm.)heimsendingarváttan
dischargee	leyslatin; heimsendur
discharge pipe	frárenslurør, spillivatnsrør
discharge valve	(sigl.)lensiventilur
discharge water	spillvatn, frárensluvatn
disc harrow	diskaharvi
disciple	1(bíbl.)lærusveinur2næmingur
discipleship	1læra, nám2lærutíð
disciplinarian	1n: a strict disciplinarianreglufastur maður2laga-, atburðarligur
disciplinary	aga-;disciplinary barrackshernaðarfongsul;Disciplinary Boardtænastumannadómstólur;disciplinary proceedingstænastumannamál
discipline1	1agi, tukt;breach of disciplineagabrot;he has disciplinehann hevur tamarhald á e-m2uppaling; revsing3lærugrein, námsgrein, vísindagrein
discipline2	venja, ala, aga, tekstra, tukta, tykta
disc jockey	diskari
disclaim	1ikki viðurkenna, vraka, havna, nokta2frákanna sær (t.d.responsibility);siga frá sær;disclaim knowledge of itnokta at kenna nakað til tað;disclaim (assets and) liabilities) on succession to propertyganga frá arvi og skuldel.frákanna sær arv og skuld;the man disclaimed his inheritancemaðurin segði arvarættin frá sær
disclaimer	1avnoktan, noktan, avsannan (t.d.the novel carries the usual disclaimer about the characters bearing no relation to living persons; the disclaimer reminded the viewers that the movie is a drama, not a documentary);dementi;2(løgfr.) disclaimer of liability on succession to propertyskuldfrágonga, skuldnoktan3(løgfr.)avsøgn
disclose	opinbera, avdúka (t.d.a secret); be disclosedkoma fram í ljós; leggja fram (t.d.certain information);vísa (t.d.hidden treasures)
disclosure	opinbering, avdúking
disco	(tlm.)=discotheque
discobolus	diskovarpari
discoid	skivuskapaður;(plfr.)diskvaksin
discoloration	avliting; illlitan; blettur, flekkur, blæma
discolour	avlitast, litfarast, kasta; gera illlittan; seta blett; broyta lit
discombobulate	(am.)villa, gera í ørviti; fløkja; loypa brongl í
discombobulated	ørkymlaður og uppskakaður (t.d.he is looking a little pained and discombobulated)
discomfit	1discomfit sbyseta órógv í ein; taka dirvið frá; gyrða í brøkur, koma (einum) í trunku; forða eins ætlanum2(gl.)reka burtur
discomfiture	1vas, funs, fløkja2ónáð, rumbul, split3vónbrot; ósigur
discomfort1	órógv, óró, tregi, ampi, vaml, viðurmøði
discomfort2	nerva, ampilára, órógva, fjáltra, geva vaml
discommend	the book is discommended to youthful readers bókin verður ikki viðmæld ungum lesarum
discommode	fjáltra, órógva, ómaka, ampa
discommodity	fjáltur, órógv, ómaki, ampi
discompose	ørkymla, órógva, loypa ólag í, ónáða
discomposure	órógv, sinnisórógv
disconcert	gera foyan; gera ráðaleysan, fáa úr javnvág; oyðileggja, hindra;disconcerted (eis.)ráðaleysur, fjáltrandi
disconcerting	1villandi, ovfarandi, skakandi, ótrúligur (t.d.often he used to say some very disconcerting things)2ørkymlandi
disconfirm	avvátta; mótprógva
disconnect	skilja sundur, kopla frá, køkja úr, slíta samband, bróta av,slíta;disconnectedósamanhangandi (t.d.disconnect); (tlf.)avbrotin
disconnection	sundurskiljing; frákopling, úrkøkjan; tvørrandi samanhangur, tvørrandi høpi; slit, íhald, avbrot
disconsolate	troystarleysur, ótroystiligur, vónleysur, dapur (t.d.affairsøga); ótroystiligur (t.d.the disconsolate parents)
discontent	1nmisnøgd (t.d.spread discontent); the discontentstey misnøgdu2lmisnøgdur, ónøgdur
discontented	misnøgdur, ónøgdur
discontinuance	slit, íhald, steðgur; avtøka (t.d.the discontinuation of the ferry service after the building of the bridge)
discontinue	1gevast við (t.d.a bus route),halda uppat við, slíta (t.d.the connection with sby)2seta úr gildi, taka av (t.d.a grant);leggja niður (t.d.a railway line),steðga (t.d.determined that such methods should be discontinued)3(um blaðhald) siga upp,discontinue one’s subscriptionsiga hald upp4(lækn.)gevast við heilivági, seponera
discontinuity	1vantandi samsvar/samanhang, stígur, brot, steðgur2(jarðfr.) misfeldi
discontinuous	1ósamanhangandi, avbrotin2(jarðfr.) misfeldur
discophile	grammofonplátusavnari
discord	1misljóð; mislag, ósemja, (tví)dráttur, træta2(tónl.)dissonansur
discordance	1misljóð; mislag, ósemja2(jarðfr.) misløga
discordant	1ósamljóðandi, misljóðandi, óharmoniskur; ósambæriligur2(jarðfr.) mislagdur
discotheque	diskotek
discount1	1avsláttur, frádráttur,cash discountavsláttur við kassan2forskotsrenta3be at a discountvera undir navnvirði; vera bíliga til keyps;(fl.m.)vera lágt í metum;sell at adiscount selja undir virði (, við avsláttri);you must take it at a discount (uml.)tú mást ikki trúgva øllum
discount2	1(handilsm.)draga frá2(um veksil) diskontera, (um vøru) selja fyri niðursettan prís, geva avslátt (t.d.last year’s unsold models)3(fl.m.)taka við fyrivarni, draga frá (t.d.you will have to discount much of what he says about her), discount the storytaka søguna við fyrivarni; ikki lurta eftir; ikki takael.telja við (t.d.that possibility may be discounted); further and bigger explosions are not discountedmøguleikin fyri øðrum stórum bumbum er ikki útihýstur4undirmeta (t.d.the ambassador seemed to discount the gravity of certain alarming reports);missa virði (t.d.his criticism was discounted[misti virði]by his ignorance of the subject5(um framtíðarhending) gera ráð fyri
discountenance	fáa úr javnvág, gera mótfalnan; ikki stuðla, mótvirka, seta seg upp ímóti; dáma illa, venda sær frá, vera ímóti (t.d.the Government discountenanced the scheme)
discounter	avsláttarsølumaður
discount house	avsláttarhandil, lættkeypshandil; diskontubanki
discount rate	diskontu
discourage	taka dirviðel.áræðiðel.mótið frá; gera mistreystan, ræða frá; royna at forða, mótvirka; discouragehim from doing itroyna at forða honum í at gera tað, fáa hann frá tí
discouragement	dirvisloysi, mótloysi, ráðaloysi; ræðan; mótgangur; mótvirkan (t.d.the discouragement of monopolies)
discouraging	mishugaligur
discourse1	1samtala, samrøða, samskifti, orðaskifti (t.d.the language of political discourse;an imagined discourse between two people traveling in France)2røða, tala; fyrilestur; ritgerð (t.d.a discourse on critical theory)
discourse2	1tala (saman), tosa (saman), samskifta við, skifta orð við (t.d.he spent an hourdiscoursing withhis supporters in the courtroom)2haldael.flyta røðu; halda fyrilestur; viðgera, tala um (t.d.she coulddiscourseat great lengthonthe history of Europe)
discourteous	ófólkaligur, óhøviskur
discourtesy	ófólkaligheit, ókurteisi
discover	1verða varur við, varnast (t.d.we suddenly discovered that it was too late),raka við, ansa eftir, koma fram á, uppdaga (t.d.an unknown country, a plot)2(gl.)opinbera, sýna, avdúka;John is discovered seated before an open fire (sjónl.)tá tjaldið fer frá situr Janus á pallinum
discoverer	uppdagari, landkannari, rannsóknarfari (t.d.Columbus, the discoverer of America ...sum rakti við Amerika)
discovery	1viðraking (t.d.the discovery of America);uppdaging2fundur, finning, funnin lutur3(løgfr.)framløga, skjalaframløga (t.d.of documents)
disc parking	parkering við p-skivu
