O.	(st.)1Officer2Order
opinion poll	áskoðanarkanning, veljarakanning, spurnakanning, meiningakanning
opisometer	strikumálari (tól, iðt.d.málar hæddarstrikur, tá ið kort verður teknað)
opisthobranchia	(dý.) baktáknusniglar
opium	opium
opossum	(dý.)posarotta(Didelphis marsupiala)
opossum shrimp	(dý.)glarrækja(Mysidadea)
oppidan	1dagnæmingur á Eton2býarfólk
opponent	1mótstøðumaður, mótstøðufólk(ofav)2(kortsp.)mótspælari, mótleikari3(ítr.)mótstøðuleikari, mótleikari4(ísamb.við doktararitgerð) andmælingur, opponentur
opportune	í tøkum tíma; hentur (í) (t.d.opportune moment);sum kemur í tøkum tíma
opportunism	ráksnúni, opportunisma
opportunist1	ráksnúningur, opportunistur
opportunist2	ráksnúgvin, opportunistiskur
opportunistic	ráksnúgvin, opportunistiskur
opportunity	(gott) høvi(of, fortil); (góður) kjansur, (góður) møguleiki;at the first opportunityfyrst sum býðst, við fyrsta fløðufall;take/seize the opportunitynýta høvið;miss/lose the opportunityliggja sjóvarfallið av sær
oppose	1(um uppskot) andøva ímóti, vera ímóti (t.d.oppose a suggestion; most of the parents oppose the closing of the school);(virkin mótstøða) veita mótstøða, berjast ímótiel.við, stríðast ímóti (t.d.a motion in the debate);finnast at, mótmæla (t.d.oppose a reform)2(um fólk) arbeiða ímóti; (ísamb.við kapping, val) stilla upp ímóti3seta upp ímóti (t.d.oppose advantages and disadvantages)
opposed	1mótsettur, beint tvørurímóti, øvutur (t.d.the opposed interpretations);sum verður sett upp ímóti (einum), sum verður samanborin við2[íyms. samb.]as opposedmótsett/øvut (einum);be opposed tovera ímóti
opposed pistons	(tøkn.)dupultstempul
opposing	øvutur, øvigur, øvugur, mótsettur (t.d.points of views; tendencies), viðvendur, andstøðis (einum), andstaddur;the two opposing armiesteir báðir fíggindaherarnir
opposing team	(ítr.)mótstøðulið
opposite1	1mótsetningur (t.d.hot and cold are opposites);tað øvuta (t.d.what is opposite of heavy?; I thought that he would be handsome and charming but he is completely the opposite)2[íyms. samb.]the very opposite ofbeint tvørturímóti;-s attract each othermótsetningar møtast
opposite2	1(málfr.viðsettur) øvutur, mótsettur, við hvør sín enda (t.d.in opposite directions; the opposite sex; their opinions are entirely opposite);on the opposite pageá hinari síðuni;we sat at opposite ends of the tablevit sótu við hvør sín borðenda2(nýtt eftirn) I could see smoke coming out of the windows of the house directly oppositeeg sá royk koma út ígjøgnum vindeyguni á húsunum áraka okkara3(plfr.)andstaddur4[íyms. samb.]the opposite direction//sidehin vegin//hin síða;play opposite(í filmio.tíl.)spæla saman við;oppositetoøvutur, beint tvørur ímóti (einum);I am of the opposite opinion to youeg haldi beint tvørturímóti
opposite3	hinumegin við, beint yvirav, (t.d.there’s a married couple living opposite; the woman sitting opposite is a pilot)
opposite4	1hinumegin við, beint yvirav, áraka (t.d.I sat opposite to her at the meal; the bank is opposite the supermarket, the chairs opposite the door)2(um sjónleikarar) saman við (t.d.I have always dreamed of appearing opposite Julia Roberts)
opposite neighbour	granni, sum býr yvirav
opposite number	fólk í samsvarandi starvi, starvsbróðir
opposite prompt	(sjónl.)(í Onglandi aloftast) mannfólkamegin;(am.aloftast) konufólkamegin
Opposition1	(serst. br.) the Oppositionandstøðan;Her//His Majesty’s O.andstøðan (andstøðuflokkarnir í parlamentinum)
opposition2	mótstøða;(serst. stjm.)andstøða; andstøðuflokkur;the opposition (ítr.)mótstøðuliðið;in opposition to1í andstøðu til2mótsettel.øvut einum
opposition3	andstøðu-, andstøðuflokkunum viðvíkjandi (t.d.the opposition benches)
oppress	1(politiskt) kúga, trælka, halda niðri (eirindaleyst)2(um kensluro.tíl.)níva;-ed with griefnívdur av sorg;feel -ed with heatkenna seg tyngdan/nívdan av hitanum
oppressed	the oppressed tey kúgaðu;the oppressed of the worldheimsins kúgaðu fólk, heimsins kúgaða fjøld, tey kúgaðu í heiminum
oppression	1kúgan, trælkan (t.d.the oppression of the Nazi regime)2(lækn.)trýstan, tyngjan, negling, kúgvan, kúgan (fyri bringuni;t.d.eg havi sovorðna negling fyri bringuniel.bróstinumel.eg havi sovorðna kúgvan/kúgan fyri flagbróstinum)
oppressive	1kúgandi, valdsmansligur, bøðilsligur, harðræðis-, harðrendur (t.d.oppressive laws; oppressive measures)2nívandi, harður, striltin, tungur (t.d.oppressive taxes)3kvalin, køvandi (t.d.oppressive weather)
oppressor	kúgari (fólkel.bólkur, sum kúgar)
opprobrious	særandi, niðrandi, háðandi, speirekandi, skemmandi, vanærandi;opprobrious languagesærandi málbering
opprobrium	1vanvirðing, vanæra, vanærulig skomm2speirekandi, hvastel.niðrandi ummæli (t.d.his films and the critical opprobrium they have generated)
oppugn	1berjast ímóti, stríðast ímóti2mæla ímóti
ops	(st.)operations
opsimath	[fólk sum í búnum aldri fer undir at læra ella lesa]
opt	1velja(toat)2[íyms. samb.]opt forvelja;opt outtaka seg úrel.aftur; taka seg burtur(ofúr);opt out of(skyldu, ábyrgd) ikki vilja taka upp á seg longur;opt out of sthhavna eitt
optative1	(málfr.)ynskisháttur
optative2	(málfr.)ynskis-
optic1	1(í ljósmyndatóli, sjóneykuo.tíl.)kúpuskipan, linsuskipan2(á brennivínsfløsku, sum er vend á høvdið á barr) málibúnaður
optic2	sjónar- (t.d.optic nerve)
optical	sjónar-;optical illusionmissýni, sjónhvørving, yvirsjón
optical character reader	(teld.)ljóslesari, skriftlesari
optical character recognition	(teld.)teknlestur
optical disk	sjónbandsfløga
optical fibre	ljósleiðari
optical illusion	missýni, sjónarvilling, sjónhvørving, hvørvisjón, yvirsjón, lognbrá
optical reading	(teld.)ljóslestur
optical scanner	(teld.)ljóslesari
optician	optikari
optic nerve	(likam.) sjónarnerv
optics	ljósfrøði, sjónfrøði, optikkur
optimal	skilabestur, bestur, best hóskandi, frægastur, hægstur, mestur, størstur, rættastur (t.d.the optimal use of class time; the optimal dosage of medication for a patient; conditions for optimal development)
optimism	bjartskygni, vónsýni, optimisma
optimist	bjartskygt fólk
optimistic	bjartskygdur, vónvísur, optimistiskur
optimize	1fáa sum best burturúr2(teld.) optimize toalbøta
optimum1	besta úrslit, skilabesta úrslit; at eitt er rokkið so langt, sum til ber
optimum2	sum er best, sum hóskar best, optimalur;enjoy optimum economic conditionshava bestu búskaparligu treytir
option	1valfrælsi, val ímillum, valmøguleiki, kostur(t.d.tveir/tvinnir eru kostirnir) (t.d.we have two -s; keep your -s open)2útvegur3(handilsm.)forkeypsrættur;buying/selling optionkeyp/søla av forkeypsrætti;excercise of optionnýtsla av forkeypsrætti;expire of optionforkeypsrættur gongur út;have an option on sthhava nakað í at velja; hava forkeypsrætt til;registration of optionskráseting av forkeypsrætti;settlement of optionavtøka av forkeypsrætti4(teld.)kostur5(á børsini) tryggingargjaldshandil6[íyms. samb.]have/take an option on sth(smb.3)hava/fáa forkeypsrætt til eitt; hava nakað í at velja, hava framíhjárætt til okkurt;I had no option buteg hevði einki annað val enn at;a soft/an easy optionlættast er at;take the soft optionvelja lættastu/høgligastu loysnina;at optioneftir egnum vali;with the option of a fine(antin..) ella bót;without the option of a fine(um revsing) sum ikki kann verða broytt til bót;zero optionnullloysn
optional	1valfríur; sjálvboðin, sum ikki er kravdur2(teld.)valtøkur
optional tax	skatting (sambært serstakari skattingartalvu)
optometrist	optometristur (slag av optikara ið málar sjónina hjá fólki)
optometry	sjónmáling, optometri
opt-out	1at siga seg burtur úr einum, at melda seg úr/út, úrmelding, útmelding2(viðv.ásetingum í sáttmála) fyrivarni (t.d.an opt-out clause in the agreement)3(um skúlael.sjúkrahús) skifti til einskildael.privata stýring
opulence	ríkidømi, yvirflóð, vælstandur, at hava góð ráð
opulent	1(forml.)múgvandi, ríkur2(forml.,um stað) nógv prýddur, marglætis-, glæsiligur, glæstri-3(forml.)fruktagóður, blómandi (t.d.opulent vegetation)
opus	bóka-el.tónaverk, opus
opuscule	lítið bókaverkel.tónaverk
or	1ella (t.d.wine or beer?)2annars (t.d.you must hurry up or you’ll be late)3[íyms. samb.]or else1ella eisini2annars (t.d.we must hurry up or else we’ll miss the train); or nosíno3;or sosíso1
orach,orache	(plfr.)sícommonorach, orache,rímbløðkuslag(Atriplex)
oracle	1halgidómur (har fólk leita sær ráð) (t.d.the oracle at Delphi)2gudaspá, orakkulsvar;work the oraclefáa tað úrslitið, ein vildi hava við at ávirka í loyndum;Sfáa pengar til vegar
oracular	orakkul-, gátuførur (t.d.statement)
oracy	gávur at duga at tosa og skilja talaða málið
oral1	(tlm.)munnlig próvtøka
oral2	1munnligur, munn-2(um heilivág) sum verður tikinel.givin ígjøgnum munnin
oral sex	oral sex (har kynslig øsing stavar frá, at kynslimurin kemur í samband við munnin á hinum)
oral surgeon	kjálkaskurðlækni
orange1	1appilsin2appilsintræ3brandgulur, appilsingulurel.reyðgulur litur
orange2	brandgulur, reyðgulur, appilsingulur
Orange3	Oranja;the House of OrangeOranjuættin
orangeade	brúsandi appilsinsaftel.appilsinsevja
orange blossom	appilsinblóma (sum í Onglandi verður sett í válkinel.brúðarkransin)
orange-coloured	brandgullittur, reyðgullittur, appilsingullittur
Orange Free State	(sø.)the Orange Free State Oranjufríríki (boararíki í Suðurafrika)
Orangeman	oranjumaður (limur í protestantiskum politiskum felagsskapi í Norðurírlandi)
orange peel	appilsinskal
orange-peel	orange-peel skin appilsinhúð
Orange River	(sern., landafr.)the Orange River Oranjuá
orangery	appilsinvakstrarhús
orange squash	appilsindrykkur
orange stick	naglapinnur (av appilsinviði til naglarøkt)
orange-tree	appilsintræ, appilsinviður
orang-utan	(dý.)orangutang(Pongo pygmaeus)
orate	(tlm.)halda (ovur)hátíðarliga røðu
oration	(hátíðarligel.formlig) røða (t.d.the Shakespearean scholar will deliver an oration; funeral orationjarðarferðartala);direct//indirect orationbeinleiðis//óbeinleiðis tala
orator	orðkringur røðari
oratorical	røðara-, talara-; at duga væl at tala, sum hevur røðaragávur;oratorical skillsrøðaragávur;oratorical giftgóðar talugávur
oratorio	oratorium (ikki pallsett tónlistarverk við trúarligum innihaldi fyri solosong, kór og orkestur; tíðum við evni úr Bíbluni)
oratory	1røðukynstur, tungusnild (t.d.the audience were entranched by her oratory)2(átr.)bønarkamar, bønhús, kapell
orb1	1knøttur, kúla; himinknøttur (eis.celestial/heavenly body)2(valdstekin hjá kongi) ríkisepli, veldisknøttur3(serst. skaldsk.)sjálvt eyga, eygnaknøttur
orb2	geva klingru-el.kúlusnið;(skaldsk.)kransa
orbed	1rundleiddur, knattskapaður, hválvaður, við hválvi2(plfr.)rundur
orbicular	rundur, rundleiddur, knattskapaður
orbicular granite	(jarðfr.)kúluskapað granitt
orbit1	1ringrás (hjá himinknøttumel.fylgisveinum);the earth’s orbit round the sunringrás jarðar um sólina2(likam.)eygnahola3(dý.)hvarmur, eygnahvarmur (eis.jaðari á eygnalokiel.húðin kring eygað á fugli)4(fl.m.)virkisøki, arbeiðsøki5[íyms. samb.]in orbit(um fylgisvein) í ringrás;go into orbit1fara í ringrás2(um prísir) hækka ógvisliga3(um fólk) vera fúkandi(el.dansandi) óður í høvdinum, gerast frá sær sjálvum
orbit2	1gangael.ferðast í ringrás um (t.d.orbit the earth)2(um rúmdarfar, fylgisvein) senda út í ringrás, seta í ringrás
orbital1	ytri ringvegur
orbital2	1ringrásar-, í ringrás (t.d.a spacecraft’s orbital distance from the earth)2(dý.) eyga-, eygna-
orbital ring	(jaðari á eygnaloki) hvarmur, eygnahvarmur, eygnabarmur, eygnasvarmur
orbital road	ringvegur
orb web	hjólskapað lokkanet (hjá eiturkoppi)
orc	1(dý.)bóghvítuhvalur, æðuhvalur, rovhvalur, mastrarhvalur, mastrarfiskur, steyrhvalur(Orcinus orca)2(hav)ódjór
orca	(dý.)bóghvítuhvalur, æðuhvalur, mastrarhvalur, mastrarfiskur, rovhvalur, steyrhvalur (Orcinus orca)
Orcadian1	orknoyingur [orkningur]
Orcadian2	orknoyskur [orkniskur], íel.úr Orknoyggjum
orchard	aldingarður, fruktgarður (t.d.apple -s)
orchardman	fruktbóndi
orchestra	ljómlið, orkestur
orchestra bells	(tónl.) klokkuspæl
orchestral	orkestur- (t.d.orchestral music)
orchestra pit	(sjónl.)ljómleikaragryvja, orkesturgrøv (til operuel.ballett)
orchestra stalls	(sjónl.)fremstu sessir
orchestrate	1seta út til ljómlið2(fl.m.)samskipa
orchestration	(tónl.)útseting
orchid	(plfr.)orkide
orchis	(plfr.) mýrisnípugras (Orchis)
ordain	1víga til prest, prestvíga2(forml. el. skemt.)bera í bandi, gera av, áseta, ráða av, skipa fyri (sum lógin, lagnanel.Gud skipa fyri);fate has ordained that they would never meet againlagnan bar tað so í bandi, at tey hittust/sóust ongantíð aftur
ordainment	(hjá presti) prestvígsla
ordeal	(hørð) roynsla; trongd;ordeal by firejarnburður, eldroynsla
order1	1[A](sum fæst í lag, sum er, valdarel.ræður)1(móts.óruddi) rættlag, skil, hampilsi, greidleiki, at eitt er ruddiligt (t.d.get one’s papers in order)2(móts.ófriði) friður, at halda skil á (t.d.the new teacher had difficulty in keeping order);friður og landaskil (t.d.restore order in the country)3(um hvussu eitt verður skipað) raðfylgja, raðskipan, stavrað (t.d.in alphabetical//chronological order);raðfylgja (t.d.the order of events; in the right//wrong order)4(í heiminumo.tíl.)skipan (t.d.the economic order; the new world order);(í samfelagnum) samfelagsskipan (t.d.the medieval order, the established order)5(ísamb.við fund) dagsskrá, fundarskipan, virkisskrá (sí eis.point of order)6(átr.)halgisiðir, ritual2[B](sum ein er limur í)1(av riddarum) riddaralag, riddararegla2heiðursmerki (t.d.the President bestowed an order on him)3(átr.;av munkum, nunnum) lag, regla4(lívfr.)hópur5(um samfelagsstøðu) tignarstøða, stætt, stættur (t.d.the higher -s)(sí eis.the lower orders)6(støddviðv.)stødd, støddarstig, støddarrað; (síeisnðf.: of a… order)3[C](sum ein gevur el. býður)1(herm.)boð2(handilsm.,á matstovuo.tíl.)bílegging, at bíleggja, umbiðing, at biðja um; um tað, ið er ílagt) vørusending3(pengumviðv.)ávísing (til útgjaldingar); (um post) postávísing4(løgfr.)úrskurður, rættarúrskurður5(frá almennum myndugleika) kunngerð; fráboðan; áseting, reglugerð, viðtøka; áminning4[íyms.samb.]-s(eis.)1boð (t.d.give//have -s to lock doors)2(átr.)síholy-s: doctor’s -sfyriskipan frá læknanum;I am on doctor’s -s not to smokelæknin hevur givið mær boð um ikki at roykja;-s(eis.)1(sum fundarstjóri sigur) haldið tykkum til fundarskránna2gevið ljóð;order of battle1skipan av hermonnum í bardaga, orrustuskipan2(sø.)fylking;order of the day1dagsskrá, fundarskrá2(herm.)dagsboð3(fl.m.)dagsins loysnarorð, loysnarorðið í dag, loysnarorðið í løtuni;a tall order (tlm.)órímiligt krav5[ísamb. viðfs]byorderofeftir boðum frá;by order of the courteftir boðum frá rættinum, fyriskipað av rættinum;orderforbíleggja eitt;inorder1í standi, í lagi2sambært dagsskránni3hóskandi, hóska (t.d.a little bit of flattery was now in order); in good order1í lagi2í góðum standi;keep the class in orderhalda skil á flokkinum;put in orderfáa í rættlag, fáa skil á, gera aftur;in short orderógvuliga skjótt, í stundini, beinanvegin, straks;inorderofí raðfylgju eftir, skipa eftir (t.d.they were lined up in order of age//height); in the order ofsínðf.: of the order of;inorderthat/to(til tess) at (fyri) at, (so) at;problems of a completely different orderspurningar av nógv størri týdningi;of a high//the highest orderav góðari//bestu dygd;somethingofthe orderofokkurt um; okkurt sovorðið sum; um leið; (t.d.£50, 000); beonorder (handilsm.)vera bílagdurel.umbiðin;on the order of (am.) =ofthe orderof;out oforder1(um maskinuo.tíl.)í óstandi, í ólagi2(á fundi) ikki í samsvari við dagsskránna3(um atburð) óhóskandi, sum ikki kann góðtakast;the books are out of orderbøkurnar standa ikki í rættari raðfylgju;calltoorderbiðja um frið (á fundi);madetoordergjørt eftir boðum (bílegging);he rose to a point of orderhann tók orðið um eitt mál á fundarskránni;underthe -s ofleiddur av;be under -s tohava fingið boð um at
order2	1fáa skil á, fáa í rættlag, orðna (t.d.order one’s affairs; one’s thoughts; one’s papers)2fáa í rættlag, orðna, stilla (t.d.order the letters by/according to date…eftir/sambært dagfesting); skipa (t.d.order the books by/according to size)3(vørur, mato.tíl.)bíleggja, biðja um (t.d.a taxi)4(herm o.tíl.)geva boð um5(lækn.)skipa fyri, áseta6[ísamb. viðhj]order arms!byrsa við fót!;orderabout/aroundbeita ein higar og hagar;orderawaysenda burtur, renna (ein) burtur;orderin(am.um mat) senda boð eftir, biðja um at fáa sendandi (t.d.a pizza); orderoff(ítr.)vísa/reka út;orderoutgeva(t.d.løgregluni) boð um at fara á ávíst stað (t.d.the police; the National Guard); orderup(herm.)geva hermonnum boð um at fara fram til hermótið
order book	bíleggingarbók, ordrabók
ordered	væl skipaður (t.d.existence; society)
order form	bíleggingarseðil
order-in-council	(samsvarar við) konglig fyriskipan; kunngerð
orderly1	1(herm.)hjálparmaður hjá heryvirmanni2(á sjúkrahúsi) portørur
orderly2	1væl skipaður (t.d.put the things in three orderly piles/rows);regluligur, reglubundin, skipaður (t.d.arrangements)2(um fólk) stillur, hóvligur, hampiligur, skikkiligur, friðarligur (t.d.an orderly crowd)
orderlyofficer	(herm.)heryvirmaður, sum hevur vakt, vakthavandi heryvirmaður
orderly room	(herm.)skrivstova (hjá skara, deildo.tíl.)
order paper	dagsskrá, fundarskrá (í parlamentinum)
order sheet	(handilsm.) bíleggingarseðil
ordinal,ordinal number	raðtal
ordinance	1fyriskipan, áseting, reglugerð, løgskipan2(átr.)halgisiðir, ritual
ordinarily	(setningshjáorð) vanliga, regluliga (síordinary);aloftast
ordinary	1vanligur, rættiligur, regluligur (t.d.routine);vanligur (t.d.people);out of the ordinaryóvanligur;in ordinaryvanligur, rættiligur, regluligur2(niðr.)fátæksligur, vesaligur, lítilsverdur, týdningarleysur, heldur vánaligur, hálvvánaligur3[íyms. samb.]inordinary(tittul) hov- (t.d.chaplain//painter in ordinary);lív- (t.d.physician//surgeon in ordinarylívlækni);in the ordinary wayvanliga, undir vanligum umstøðum;nothingout ofthe ordinaryeinki óvanligt, alt er sum tað plagar at vera
ordinary capital	(handilsm.) stovningarpeningur, stovnsfæ
ordinary seaman	(sigl.)ungur sjómaður (ikki fullroyndurel.alfarin)
ordinary share	(handilsm.) vanligt partabræv, stovningarpartabræv
ordinate	(stfr.)uppstrekki
ordination	prestavígsla
ordnance	1(herm.)hernaðarútgerð, hernaðaramboð, hernaðartól2(gl.)kanónir;piece of ordnancekanón
ordnance corps	(herm.)útgerðarfyrisitingin
ordnance factory	vápnaverksmiðja
ordnance map	(uml.)landkort frá jarðmálingarstovu, kort frá matrikulsovu, herkort
Ordnance Survey Department	(uml.)jarðmálingarstova, (samsvarar við Matrikulstovuna í Føroyum)
ordure	mykja, skarn, skittur, óreinska
ore	málmur; metal
Oregon fir, Douglas pine	(plfr.)douglasgrann(Pseudotsuga menziesii)
Oreo®	1(am.)sjokulátukeks við hvítum kremi í2(am., niðr.)[nekari sum hermir eftir siðum hjá teimum hvítu]
Ore.,Oreg.	(st.)Oregon (stakríki í USA)
orf	1(dýralfr.) sore mouthskurv, kartis, (hjá seyði) illasjúka2(lækn.)hundaland(Echtyma contagiosum)
organ	1(lækn., lívfr.) yrkisgagn (flt-gøgn)(t.d.hjarta, livur, lunguo.s.fr.) (t.d.the eyes and related structures that make up the visualorgans)2(um blað) málgagn, blað (t.d.that newspaper is intended as an organ for the whole university community)3(tónl.)urga, orgul; sí eis.mouth organ4bólkur, eind, felagsskapur5stovnur, ráð (t.d.the legislative organ of our government)
organ blower	bjølgmaður (tann, ið traðkar á orgulbjølgin)
organ builder	urgusmiður, orgulsmiður
organdie	organdi (tunt, skyggið tilfar)
organelle	(lívfr.)kyknugagn(flt.-gøgn)
organ grinder	lýrukassamaður;(skemt.) he is only the organ grinder’s monkeyhann hevur einki upp á seg og ger, sum hann verður biðin
organic	(lívfr.)lívrunnin, organiskur
organism	vera, lívvera, skepna
organist	orgulleikari, urguleikari, organistur
organization	1felag, felagsskapur, fyritøka, virki2skipan, samskipan, felagsskapur3skipan, fyrireiking, at leggja (eitt) til rættis
organizational	fyriskipanar-, fyriskipan//fyriskiping viðvíkjandi, fyrireikingar-, skipanar-, samskipanar-;organizational chart (oljuv.)verkskipan
organizational chart	verkskipan
organizational psychology	bygnaðarsálarfrøði
organizational sociology	bygnaðarsamfelagsfrøði
organizational talent	[fólk ið hevur góðar gávur at skipa fyri]
Organizationof African Unity	
organize	1skipael.stíla fyri (t.d.a wedding),samskipa, laga eftir, fáa í lag, fyrireika (t.d.a conference),standa fyri2(lutiro.tíl.eftir eini skipan) leggja til rættis, samskipa, orðna (t.d.materials);fáa skil á (t.d.one’s thoughts)3(okkurt ið skal brúkast) útvega, fáa til vegar, skaffa, fáa fatur á (t.d.a car; some sandwiches)4(við ongum ávirki) skipa seg, samskipa seg;organize oneselftaka sær um reiggj
organized	1lagdur til rættis, fyriskipaður (t.d.tour)2(um lutir) skipaður,(tlm.)orðnaður (t.d.place the letters in organized piles)3(um fólk) sum hevur gott skil á, væl skipaður4[íyms. samb.]organized crimeskipaður brotsmannafelagsskapur(t.d.sum mafian stílar fyri)
organizer	1(fólk) fyrireikari (t.d.of a summer course);fyriskipari (t.d.she is a good organizer),fólk sum skipar/stílar fyri2(kalendari) ráðleggingarkalendari3[kassi við rúmum at orðna ting í]
organizing committee	veitslunevnd
organ loft	uppi á loftinum (í kirkju)
organ pipe	orgulpípa
organ stop	orgulrødd, urgurødd, orgulregistar
orgasm1	kynsligur fulnaður,(tlm.)avgonga
orgasm2	fáa kynsligan fulnað,(tlm.)fáa avgongu
orgiastic	ólátaður, ólátin, villur
orgulous	(sj.) stoltur, erpin; hugmóðigur, hástórur
orgy	drykkjulag; ólevnað(ur), hópfríggj
oriel	(byggl.)útskot (á húsum), karnapp (h), karnappur (k)
oriel window	(byggl.)útskotsvindeyga, karnappvindeyga
Orient1	the Orient Eysturlond
orient2	síorientate
Oriental1	(gl.,tíðumniðr.)eysturlendingur (úr Eysturasia;serst.um kinesar og japanar)
Oriental2	eysturlendskur
orientalism	eysturlendsk mentan og mál
orientalist	vísindafólk í eysturlendskari mentan og eysturlendskum málum(serst.um Kina og Japan)
orientate	1venda, horva (t.d.orientate a house north-south)2(fl.m.)laga seg eftir(to),verða hugaður fyri (t.d.become -d towards sth)3kunna(orientate the new employees; orientate oneself)
orientation	1(um upplýsingar) kunning2(um hús) støða, lega, tað hvussu hús standa3(fl.m.)(hug)rák, helling (t.d.the orientation of the course is towards psychology)4(hjá fólki) støða, hugburður, áskoðan, sjónarmið, hugur (t.d.his political orientationpolitiska støða hansara;his sexual orientationkynsligi hugur hansara); sannføring5ættarskil (t.d.in the complete darkness he had lost his rientation)
orienteering	(ítr.)orienteering race kunningar(kapp)renning
orifice	1op, opilsi, munni2(oljuv.)smog
orig.	(st.)original(ly); origin
origin	1uppruni, upphav, skapan, íkoma (t.d.the origin of language//life//the universe)2kelda, uppruni(oftil, t.d.his problems; a saying)3(hjá fólki) uppruni, upphav, ætt;be of French originvera av franskari ætt4(stfr.í farmynd) byrjanarmark, byrjanardepil, byrjanarpunkt, krossmiðja (í krossskipan)5(likam.)spretting(t.d.vøddans)
original1	1frumrit, frummynd, upphavsrit(oftil; t.d.a letter); in the originalí upprunasniði2upprunamál (t.d.read Homer in the original)3(teld.)frumrit4(um fólk) løgið fólk, serskøltur5(kortsp.) original bidbyrjanarmeld
original2	1upprunaligur, uppruna-, upphavligur, upphavs-, frum-, fyrstur; grund- (t.d.original language, original text)2ektaður (t.d.an original Picasso)3sermerktur, eyðkendur, originalur (t.d.idea; thinker)
originality	frumskapur, frumleiki, originalitetur
originally	1hugmyndaríkt (t.d.think originally)2upprunaliga, upphavliga, fyrst, av fyrstum, av fyrstan (tíð), í fyrstuni
original sin	(átr.)arvasynd
original trap	(oljuv.)upprunafella
originate	1elva til, skapa, vera upphavsmaður til (t.d.originate a new theory, originate a new system; originate a new style of dancing)2(við ongum ávirki) kykna, koma í, taka seg upp (t.d.the fire -d in the basement;stava (t.d.how did the idea originate?)3[íyms. samb.]originatefrom 1stava frá, kykna upp, koma í, koma av fyrstu tíð úr, standast av, koma av, koma frá, orsaka av, spretta úr2hava sín uppruna í;the scheme -s from the governmentætlanin stavar frá stjórnini;originateinhava sín uppruna í;originatewithsíoriginatefrom2)
originator	skapari, upphavsmaður(oftil), stigtakari
origins	síorigin1, 3
oriole	(dý.)gyllingur(O. oriolus)
Orion	Orion (stjørnumynd)
orison	(gl.)bøn
Orkneys,Orkney Islands	the Orkneys/the Orkney IslandsOrknoyggjar; sí eis.Orcadian1 og 2
Orleans	(í Fraklandi);(am.)síNewOrleans
orlop	(sigl.)orlop deckbanjaradekk (niðasta dekkserst.á herskipi)
ormer	(dý.)[kræklingaslag](Haliotis)
ormolu	gullbronsa
ornament1	1(forml.)prýðing, pynting, skreyting, skreytbúgving, prunk, fríðkan2(um lutir; í húsum) prýðislutur, skartgripur3(hjá fólki) prýði, prýðislutur smúkka, smykka4[íyms. samb.]-s (smb.2;eis.)pynt;for ornamenttil pynt;be an ornament to (gl.)vera eitt prýði fyri (t.d.one’s profession)
ornament2	prýða, skreyta, pynta, skrýða, skreytbúgva
ornamental	prýðiligur, prýðis-, skreyt-, skreytbúgvin;ornamental painterskreytmálari;ornamental shrubskreytrunnur
ornamental plant	(plfr.)skreytplanta, prýðisplanta
ornamental shrub	skreytrunnur, prýðisrunnur
ornamentation	prýðing, skreytbúgving, pynt
ornate	skreytbúgvin, nógv prýddur, nógv skrýddur, nógv pyntaður, alsettur
ornery	1(am., tlm.)tvørligur, illur í sær, ólagaligur, treiskur2(am., tlm.)smáligur, óreinur, ússaligur
ornithological	fuglafrøðiligur, fuglafrøði-
ornithologist	fuglafrøðingur, maður ið hevur gott skil á fuglum
ornithology	fuglafrøði
orotund	1ljómmikil (t.d.orotund voice)2(um stíl) háfloygdur, uppgløddur, uppgjørdur, reypandi, ógvisligur
orphan1	1faðir- og móðurloysingur2(prent.)horuungi
orphan2	gera faðir- og móðurleysan;children -ed by the warbørn, ið mistu bæði foreldrini í krígnum; foreldraleys børn av krígsávum
orphan3	faðir- og móðurleysur
orphanage	1barnaheim2faðir- og móðurloysi
Orpheus	(gudal.)Orfeus
orpiment	avrilitevni, aurilitevni
orpine	(plfr.) jóansøkuhjálpirót(Sedum telephium)
orris	(plfr.)mækjusløg(Iris)við angandi jarðleggjum
ort	1(oftast nýtt íflt.) leivdir, avlop, restir2(oftast nýtt íflt.)  brot, petti (t.d.the orts and fragments of the glass)
orthoceratite	(jarðfr.)rætthyrningur
orthodontic	tannarættingar-;orthodontic treatmenttannrætting, tannrættingarviðgerð
orthodontics	tannrætting, at fáa tenninar rættaðar
orthodontist	serfrøðingur í tannrætting
orthodox	1vanligur, sambært viðtøkum, almannaviðurkendur (t.d.orthodox medicine; her ideas are very orthodox)2(átr.sum heldur seg til gamla viðtøkur) rætttrúgvin, rætttrúgvandi, rætttrúar- (t.d.orthodox Jews)
orthodoxy	1vanlig viðurkend uppfatan, vanlig manna hugsan2rætttrúgv
orthogonal	rættvinklaður, rætthyrntur, hyrnisrættur
orthographic	rættskrivingar-, rættskrivingini viðvíkjandi
orthography	rættskriving, stavseting, stavingarlag
orthopaedic,orthopedic	(lækn.)rættilæknafrøðiligur, ortopediskur
orthopaedy	(lækn.)rættilæknafrøði, rættifrøði, ortopedi
orthopedist	(lækn.)rættilækni, tannrættingarfrøðingur
ortolan bunting	(dý.)øsgulur riðispurvur(Emberiza hortulana)
OS	(st.)1old style2ordinary seaman3Ordnance Survey4outsize5out of stock
OSA	síobstructive sleep apnea
oscillate	1sveiggja2(útv.)ýla
