a’	(skotskt.) =all(t.d.for a’ that)
amorphous	skapleysur;(fl.m.)torlýstur, ørvitisligur
amortization	(stigvís) skuldarniðurgjalding
amortize	gjalda aftur skuld
amount1	1peningahædd, peningamongd, upphædd (t.d.goods to the amount of £100; the amount of my expenses); amount as per invoicefakturaupphædd;amount carried forwardpeningaflyting;(trygg.)stødd,the amount of indemnitystødd á endurgjaldi; (handilsm.)all amounts in DKKallar upphæddir í DKK;amount realizedjavnað avhendingarviðurgjald2mát, mongd (t.d.a large amount of money (, wheat); it is of little amounttað er uttan stórvegis týdning;this amount of confidencehetta stóra álit;a certain amount of courageávíst dirvi;any amount oførgrynni av...; so nógv ið krevst;large in amountstórur í vavi;decide on the amount of milk to be usedavgera hvussu nógv mjólk skal verða nýtt3samløga; hædd
amount2	amount tovera tilsamans (t.d.the bill amounted to £31); (fl.m.)(næstan) vera tað sama sum, merkja tað sama sum (t.d.it amounts to a refusal); what he said amounted to very little (uml.)tað var lítið kjøt á tí hann segði; hann segði ikki nógv;it amounts to thistað merkir;it amounts to the same thingtað ger tað sama, sama ger;it does not amount to much; if you can’t stand on your own two feet you don’t amount to anything… er lítil dugur í tær
amour	kærleiksævintýr, ástarævintýr, kærleikssamband, ástarsamband; flammashe was his newest amour… síðsta flamma
amour-propre	1sjálvsvirðing; sjálvskensla2fáfongd
amp	(st.)ampere;(tlm.)styrkjari, magnari
ampere	ampera
ampere-hour	amperutími
ampersand	teknið & (= og),et-tekn
amphetamine	(lækn.)amfetamin
amphibian	1froskdýr, amfibium (dýr við køldum blóði, sum livir bæði í vatni og á landi)2(dý.)padda(Amphibia)3amfibiuflogfar, amfibiustríðsvognur4lsum livir bæði í vatni og á landi
amphibian bistort	(plfr.)tjarna-bløðkuurt(Polygonum amphibium)
amphibious	síamphibian
amphidiploid	(plfr.)blandaður tvílitil
amphitheatre	kringleikhús, ringleikhús (við sessarókum), ringpallur, amfiteatur
amphora	amfora (krukka við tveimum stórum honkum)
ample	1víður (t.d.ample boundaries)stórur (t.d.house)2(um fólk) førur, hyldligur, trivaligur, digur (t.d.you haven’t changed so much — a little ampler perhaps; her ample bosom; her ample figure)3nágreiniligur4meira enn nóg mikið, ríkiligur (t.d.there is ample proof that..),ivaleysur (t.d.you have ample time),nóg mikið (t.d.will that be ample for your needs?)
ample-bosomed	trivalig, við bylgjandi barmi, barmføgur
amplexicaul	(plfr.)groyptur
ampliation	1(løgfr.)(dóms)freisting2(gl.)víðkan
amplification	víðkan, rúmkan, øking; styrkjan, magnan
amplifier	styrkjari, magnari
amplify	1víðka, rúmka; økja (t.d.his powers; one’s knowledge; a statement)2viðgera nágreiniliga, útgreina (t.d.could you possibly amplify that statement a little?)3styrkja, magna4(tosa) breiða seg um
amplifying	útgreinandi;he launched into an amplifying explanationhann fór undir eina útgreinandi frágreiðing
amplitude	1vídd, breidd, stødd; rúmd;amplitude of mind (uml.)evnini at fevna víða til; víðfevndur áhugi2(ravm., al.)sveigvídd
amply	ivaleysa væl;it has been amply provedtað er ivaleysa væl prógvað
ampoule	ampul
amputate	taka av, skera burtur, taka
amputation	avtøka, burturskurður, burturtøka
amuck	verða frá sær sjálvum
amulet	verndargripur, amulett
amuse	stuttleika (t.d.his tricks amused the children; he amused himself with(el.by) making toys),skemta, undirhalda (t.d.amuse the child with a story),gleða, fegna;be amusedstuttleika sær (at, by);she was not amusedhon helt tað ikki vera stuttligt;I’m not sitting here to amuse myself… til stuttleika;I am not amusedhatta haldi eg (als) ikki vera stuttligtel.nakað at flenna at
amusement	undirhald, stuttleiki (t.d.he does it for his own amusement),gaman, kæti, skemt;to the vast amusement of (eis:)til mikið skemt hjá;she tried to hide her amusement …hon helt tað vera láturligt;amusements flt (eis.)gleimur
amusementarcade	spælihøll
amusement park	undirhaldsgarður
amusement tax	stuttleikaskattur
amusing	undirhaldandi, stuttligur, skemtiligur
amygdalolith	(jarðfr.) bálutinna
amyloid	stívilsiskendur, sum minnir um stívilsi
an	(óbundið kenniorð) ein, eitt
ana¹	skemtisøgusavn
ana²	(apotek.) av hvørjum [um innihald; á uppskrift]
anachronism	tíðarvilla, skeiv tíðarrøð, anakronisma
anachronistic	tíðarskeivur, tíðarrangur, tíðarvillur
anaconda	(dý.)anakonda(Eunectes murinus)
anaemia	blóðloysi, blóðtrot
anaemic	sum hevur blóðtrot, blóðtrots-
anaerobic	1(lívfr.) ikki súrevniskrevjandi (t.d.anaerobic bacteria)2[viðvíkjandi venjingum sum ikki økja um súrevnisnøgdina í kroppinum] (t.d.anaerobic exercise requires short sudden bursts of energy)
anaesthesia	doyving
anaesthetic	1doyvingarevni2ldoyvandi;be under an anaestheticvera doyvdur
anaesthetist	doyvingarlækni, narkosulækni; doyvari
anaesthetize	doyva
anagram	anagramm (orð sum er komið í við at býta stavirnar um í øðrum orðit.d. mean name)
anal	baktarms- (t.d.orificeopningur), sperðils-
anal fin	(fisk.)gotfjøður
analgesia	pínuloysi
analgesic	1npínustillandi evni2llinnandi, pínustillandi
analog	samgildur; (dý.) samlíkur
analog computer	samgildistelda
analogic(al)	samgildur, samsvarandi
analogous	samgildur, samsvarandi, líknandi (t.d.in analogous cases); (plfr.)samlíkur;analogous computersamgild telda
analog-to-digital converter	samgildis-til-talgildis-umsetari
analogue1	samgildi;analogue computersamgildistelda;it is an analogue to (eis:)tað svarar til
analogue2	samlíkur
analogy	samgildi, samsvar, samjavnaður;by analogy withsamsvarandi
analysable	greiniligur, sum kann verða greindur
analyse	greina (sundur) (t.d.a substance; a sentence; a poem; the causes of war; his motives),loysa sundur (t.d.water was analysed into its elements),liða sundur
analysis	1greining;analysis of the results (eis:)greining av úrslitunum; sundurloysing2in the last analysisí síðsta umfari
analysis bureau	greiningarstova
analyst	greinari;(serl. am.)sálargreinari;(pol. osfr.)ein ið ger viðmerkingar; (íteld.)kervisfrøðingur;he was not an analyst of women (uml.)hann hevði ikki skil fyri konufólki; hann hevði ikki gott tak á konufólki
analytic	greinandi (t.d.experiment; geometry; language),greiningar-
analyze	síanalyse
anamnesis	(lækn.)sjúkrasøga
anapaest	øvugur tríliður, anapest [ørindisfótur,t.d. and the sheen of their spears]
anaphrodisiac	1nkynsdoyvandi evni2lkynsdoyvandi
anarchic(al)	lógleysur, stjórnarleysur, anarkistiskur
anarchism	stjórnarloysisstevna, anarkisma
anarchist	lógloysingur, stjórnarloysingur, anarkistur
anarchy	lógloysi, stjórnarloysi, anarki
anastomosing	(plfr.)netgreining, net-
anathema	bann, bannlýsing, banning; vanbøn;it was anathema to themtað var teimum andstyggiligt;(fl.m) he was anathemaeingin vildi vita av honum;(fl.m) his name was anathemahann var bannlýstur;he made reform anathemahann bannlýsti alla nýskipan
anathematize	bannlýsa
anatomic(al)	viðv kropsbygnaði, anatomiskur
anatomist	1kropsbygnaðarfrøðingur2greinari (t.d.an anatomist of urban society)
anatomize	skera upp lík, kryvja; sundurgreina
anatomy	1kropsbygnaðarfrøði, lívgagnafrøði2bygnaður (t.d.a model illustrating the anatomy of a plant stem)3kroppur, likam;certain parts of her anatomy (skemt.)partar av krovi hennara4(fl.m.)gjøllig greining5(tlm.) (gl.)beinagrind, skrokkur, húð og bein
anbaric	[smíðað orð fyrielectricí vísindaskaldsøguniBook of Dusteftir Philip Pullman]
ANC	(st.)African National Congress
ancestor	ætt(ar)faðir;ancestors fltforfedrar
ancestral	fedranna, fedra-, arvaður, ættar- (t.d.estate gods; coat of arms); the ancestral farmættargarður, fedranna garður
ancestress	ættmóðir;first ancestressformóðir
ancestry	forfedrar, fólk, ætt, slag, uppruni
anchor1	1akkerbe(el.lieel:ride) at anchorliggja fyri íla;cast(el.drop) anchorkasta akker;come to anchorleggja seg fyri íla2(í ítrótt) álit
anchor2	kasta akker (i), liggja fyri akkeranchor a ship (eis:)leggja skip fyri íla;come to anchor; put the anchors on (tlm.)bremsa, halda eftir
anchorage	1skipalega, akkerspláss, lega2havnargjald3festi (t.d.the plant needs firm anchorage); (fl.m)fótafesti; trygd (t.d.the mother provides emotional anchorage)
anchor buoy	(sigl.) akkersboya
anchor cable	(sigl.) akkersketa
anchoress	(sø.; átr.) kvinnuligur einbúgvi, einbýliskona
anchoret	einbúgvi, einbýlismaður
anchorite	(sø.; átr.) einbúgvi, einbýlismaður
anchor light	(sigl.)akkersljós
anchor lining	(sigl.)svínaryggur
anchor log	akkersspæl
anchor man	1akkersfólk, álitisfólk, álitið2(útv., sjónv.)útvarps-el.sjónvarpsvertur, orðstýrari
anchor watch	(sigl.)akkersvakt
anchorwoman	sjónvarpsvertur
anchovy	(dý.)ansjós(Engraulis encrasicolus)
anchylosed	(um lið) stívur
anchylosis	liðastívleiki
ancient1	gamal, avgamal, fyrndargamal, fornur, frá fornari tíð;ancient historyfornsøga, fornaldarsøga;that is ancient history now (fl.m.)tað er farið, tað er ein gomul søga;ancient lights (løgfr.)rættur til framvegis at fáa dagsljós gjøgnum eitt vindeyga;ancient monumentsfornminni
ancient2	teir gomlu(t.e.forntíðar menniskjuel.høvundar)
ancillary1	1(til høvðusvirksemið í felagsskapi/virki/stovnio.s.fr.) hjálparfólk2ancillaries flt1(hjálpar)útgerð; útgerð, útbúnaður2fólk ið ansa eftir børnum á spæliplássi
ancillary2	1sum gevur neyðuga hjálp til høvuðsvirksemið í felagsskapi/ virki/stovni2hjálpar-, stuðuls- (t.d.equipment, science); ancillary toundir (í tign)
ancillary staff	(á stovni/virki) kokkar, húsavørðar, reingerðarfólko. tíl.
and	og;there are books and booksbøkur valdast;for days and daysfleiri dagar á tamb;and was he angry(harragud) sum hann var illur!
Andalusia	(landl.)Andalusia
Andean	Andes-,viðv.Andesfjøllum
Andes	Andesfjøll
andiron	logagrind á fýrstaði (til brenni)
Andorra	(landafr.) Andorra
Andorran1	andorri, andorrari
Andorran2	andorskur
Andrew	Andras, Andrias
androdioecious	(plfr.)við kall- og tvíkynjaðablómum á ymsum plantum
androecium	(plfr.)kallnøringargøgn
androgen	androgen, mannligt kynshormon
androgyne	1tvíkynjingur2(gl.)kventil3(plfr.)bæði kall- og kvennblóma
androgynous	tvíkynjaður(eis. plfr.)
andromonoecious	(plfr.)við kall- og tvíkynjablómum á somu plantu
androphobia	ótti/ræðsla fyri mannfólkum
androphore	(plfr.)fræleggur
Andy Capp	Kollandras
anecdotal	skemtisøgu- (t.d.style)
anecdote	lítil søga (eitthvørt áhugavert ella skemtiligt um navnframt fólk), anekdota
anechoic	bergmálsleysur, uttan ekkó
anemia,anemic	síanaemiaosfr.
anemochorous	(plfr.)vindborin
anemometer	vindmát(ari)
anemone	(plfr.)anemona(Anemone); (dý.) = sea asjókunta, sjónota(Actiniaria)
anemophilous	(plfr.)vindgitin
anent	(gl.)um, viðvíkjandi
anesthesia	(osfr.)síanaesthesia(osfr.)
anet	(plfr.)dild
aneuploid	(nýggjy., plfr., lívfr.)mislitla-
aneurism	(lækn.)sjúklig rúmkan av æðrum
anew	av nýggjum, (upp)aftur
angel	1eingil (t.d.an angel of the Lord; she is his good angel; put him to bed like an angel …so ert tú ein eingil);talk of angels and you will hear the flutter of their wings (uml.)tá ið tú tosar um sólina so skínur hon;Sein ið fær fígging í lag2sfíggja(am.) S : angel offhandtaka [evnisnýtar fyri at finna seljaran]
angelfish	(dý.)einglahávur(Squatina squatina), havtaska(Lophius piscatorius)
angelic	einglaligur, eingla- (t.d.choir; voice)
angelica	(plfr.)bjarga-hvonn(Angelica archangelica)
angel pie	(matg.)[dessert úr marengsi við fruktum og róma]
angel’s hair	[jólaprýði] einglahárr
angel’s kiss	[hanavel úr kakaolikøri og pískaðum róma]
angel’s trumpet	(plfr.) (Datura)
angelus	(átr., kat)angelusbøn, einglaklokka, angelusklokka;angelus bellbønarklokka
anger	1n(v)reiði, sinni;in anger (eis:)í illsinni2sfáa ilt í, øsa;angered byí øðini um
angina	hálsbruni, hálstak, hálsilska;angina pectorisbringutak
angioplasty	(lækn.)æðravíðkan
angiosperm	(plfr.)hulfræingur
angle1	1vinkul, horn (t.d.an acute[spískt]angle)2(hvassur) kantur (t.d.of a stone; we rub each other’s angles down)3(fl.m.)sjónarhorn; sjónarmið (t.d.from a naval angle the Korean war was a minor one; the angle from(el.at) which he views the matter)4síða [av e-m máli] (t.d.he knows only one angle of his subject; consider all angles of the situation; study the matter from all angles(el.every angle)5snaring (t.d.give the story a sex angle… snara søguna inn á tað kynsliga)6Ssnild; egin fyrimunur
angle2	royna (við snøriel.tráðu), pilka,angle forfiska eftir (t.d.compliments, votes, praise),krøkja
angle3	1stilla (t.d.a camera)2reingja, venda við, snara3velja sjónarhorn (t.d.angle a news story)4skáka, ganga á skák (t.d.angle across the road);snara hart í annað borðið
angle bead	hornaverja
angle bearing	vinkullega
angle bisector	(stfr.)vinkulhálvbýtislinja
angle bracket	knæ
angle chair	hornastólur
angle iron	vinkuljarn
angle joint	hornagreiping
angle meter	vinkulmátari
angle ofattack	(rúmdarfar) innskotshorn
angle of climb	(rúmdarfar) rishorn
angle of elevation	(herm.)skotvinkul
angle of inclination	hallvinkul
Anglepoise	® arkitektlampa
angler	fiskimaður, útróðrarmaður (sum roynir við snøri), seiðabergsmaður, sílamaður;(dý.) = anglerfishhavtaska(Lophius piscatorius)
Angles	(sø.): the Angles anglarnir
Anglican	1langlikanskur (sum hoyrir til ensku ríkiskirkjuna)2nanglikan(ar)i
Anglicanism	anglikanisma
anglicism	serkendur enskur siður, hátturel.eyðkenni; enskur málburður ið er tikin upp aftur í øðrum málum
anglicize	gera enskan
Anglo-	enskur, eingilskur, ensk- (t.d.Anglo- -American, Anglo- -Irish)
Anglo-Catholic	(átr.)ensk-katólsk (hákirkja)
Anglo-Indian	onglendingur í India
anglophile	bretskt sinnaður, bretavinur
Anglophone	ensktalandi
Anglo-Saxon	1anglosaks(ar)i2n, langlosaksiskur, fornenskur
Angola	(landafr.) Angola
Angolan1	angoli, angolari
Angolan2	angolskur
angora	angoraull; angoratógv
angoracat	angoraketta
angoragoat	angorageit
angorarabbit	angorakanin
angorawool	angoraull; angoratógv
angry	1(v)reiður, illur, vándur(at, aboutum,withinn á);an angry redein øsandi reyður litur2(fl.m.)hóttandi (t.d.clouds)3(um sár) við bruna (t.d.an angry tumour);trútnaður og sárur (t.d.a cheek angry with a leprous affection)
angst	(tý.) brádlig men ógrundað óttakensla
angst-ridden	óttatyngdur, nívdur/plágaður/tyngdur av ótta (t.d.frustrated, angst-ridden teenagers)
anguish1	kvøl, sálarkvøl, pína;be in anguishlíða kvøl;in the anguish of one’s soulí síni sálarkvøl
anguish2	nøtra, pínast (t.d.heanguishedover his failure)lh tát:anguishedpíndur
angular	hornskapaður, vinkulskapaður; kantutur;(plfr.)strentur; (um persón) knotutur, berur (t.d.an angularschoolmistress; an angular figure);angular elbows (, knees)spískir albogar (, knø)
angular cutter	(tøkn.)vinkulfresari
angular velocity	vinkulferð
anhydride	(evnafr.)vatnleys evnasambinding
anhydrous	(evnafr.)vatnleysur, vatnfríur
anile	senil [um konufólk]; sum ein gomul kona
aniline	(evnafr.)anilin (oljukend, eitrað væta, vunnin úr koltjøru)
animadversion	atfinning (t.d.animadversions that the poet receives quite humbly), ábreiðsla, átala (t.d.her animadversion against science)
animadvert	gera viðmerkingar, viðmerkja; animadvertonfinnast at, átala
animal	dýr, kríatúr;lsum eitt dýr, dýralíkur (t.d.he detested their animal behaviour), dýra-
animal food	dýraføði
animal heat	kropshiti
animal husbandry	húsdýrabrúk
animal kingdom	dýraríkið
animal magnetism	[ástøði Mesmers (1766) um at magn uttan úr rúmdini kann ávirka livandi verur]
animal spirits	lívsmáttur, lívsmegi, lívsgleði
animal trainer	dýratemjari
animate1	eldhuga, eggja, fáa lív í, líva upp, gera livandi
animate2	ísálaður, livandi (t.d.animate and inanimate objects)
animated	1livandi; sálarkveiktur2íðin, hugaður, fýrisligur, lívligur, kátur, í góðum lag3lívligur, skemtandi, livandi (t.d.conversation)4eggjaður, uppglødduranimated by the best intentionseggjaður av bestu ætlanum5„livandi” (t.d.puppetdukka)6gjørdur sum teknifilmur (t.d.the animated portions of the film); animated cartoonteknifilmur
animation	sálarkveiking; eldhugi; lív, gleimur; (filmur:) teknimyndagerð
animator	filmsteknari (til teknifilm)
animism	(átr.)andatrúgv
animosity	sterkur illvilji, mótboð, fíggindskapur, hatur (t.d.there was a long-standing animosity between them)
animus	1rekmáttur; áeggjan2(løgfr.)ætlan, hyggja (t.d.animus lucrandihava í hyggju at nøra at sær)3illvild, mótboð(againstt.d.I felt no animus against him)4hugburður, tóni (t.d.the animus of his philosophy)
anise	(plfr.)anisurt(Pimpinella anisum)
aniseed	fræ av anisurt
aniseed drop	anisbomm
anisette	anislikørur
anisomerous	(plfr.)við misjøvnum lutum
ankle	økil
ankle-deep	ganga í kava upp til øklarnar
ankle sock	øklasokkur
anklet	øklaringur;(am.)øklasokkur
anlace	(sø.)daggari
annalist	krýnikuhøvundur, árbókarhøvundur
annals	árbøkur, annálur
Anne	Anna
anneal	gløða, tempra,(eis. fl.m)herða (t.d.the will)
annelid	1afturatbygging, uppíbygging2(til skrivosfr.)fylgiskjal (t.d.the statistics appended at annex B);(til lógosfr.)ískoyti, uppískoyti (t.d.the appendix is a worthwhile annex to the book)
annex1	1ískoyti (t.d.an annex to the treatysáttmálaískoyti)2fylgiskjal (t.d.the statistics appended at annex B)3uppískoyti (t.d.the appendix is a worthwhile annex to the book)4uppíbygningur, uppíbygging
annex2	1skoyta uppí, leggja afturat; knýta uppí (t.d.annex a slip to a letter; annex one’s seal to a document); annex one’s signature toskriva undir uppá, skriva undir (t.d.a document)2(um land) hertaka, innlima(toí) (t.d.in 1866 various German states were annexed to Prussia)
annexation	innliman, hertøka
annihilate	týna, oyða, gera til einkis (t.d.an enemy force; a town by bombing);avtaka (t.d.a right)
annihilation	týning, oyðing
anniversary	ársdagur, ársveitsla;wedding anniversarybrúdleypsdagur;400th anniversaryfýrahundraðáradagur
Anno Domini	1eftir føðing Krists, í tí Harrans ári2(fl.m.)aldurdómur, aldur (t.d.his chief complaint is simply Anno Domini)
annotate	1viðmerkja, gera viðmerkingar til2annotated (eis.)við viðmerkingum (t.d.an annotated edition)
annotation	viðmerking
announce	1siga frá, boða frá announce one’s arrival (, a visit);boða (siga) frá at ein kemur2kunngera (t.d.the marriage is announced in The Times; it is announced that …)3lýsa (t.d.their engagement was announced last week);rópa upp (t.d.the winners; the servant announced Mr and Mrs Jones)4announce dinnerkalla til borðs5(íútv.)kunngera, lesa upp
announcement	lýsing, kunngerð, boð, fráboðan; (íútv.)kunngerð
announcer	frásøgumaður, tíðindamaður, útvarpsmaður, upplesari (íútv. el. sjónv.)
annoy	1órógva, ampa, vera til ampa2gera seg inná (t.d.Constable!; this man is annoying me)3arga, erta, purra, tenna4skaða, granda
annoyance	argilsi (t.d.to my great annoyance he was not in);it is an annoyancetað er argiligt, tað er ótolandi
annoyed	argur, óður;be annoyed (eis:)iðra seg;annoyed atargur um;annoyed withargur inná; misnøgdur
annoying	argiligur, tennandi, ótolandi, forbiðin, stríggin;he's got a really annoying laughhann hevur ein ótolandi látur;It's really annoying when a train is lateargiligt tá ið tokið er seinkað;anannoyinghabitein argiligurel.skitin óvani;annoyingquestionsertandi spurningar
annual1	1ársplanta, árs-, ársgróður2ársskrift;Christmas annualjólabók
annual2	1árligur (t.d.event; meeting; visit; rainfall; value of exports),árs- ;(plfr.)árs-2annual accountsársroknskapur;annual consumptionársbrúk;annual cutting (skógf.)árlig felling, árlig høgging;annual feeavgjald;annual general meetingársaðalfundur;annual growthársvøkstur, árligur vøkstur;annual incrementvøkstur;annual reportfrágreiðing;annual ringlop (t.d. á veðrahorni og træ);annual settlementuppgerð;annual subscriptionársgjald;annual surveyyvirlit;annual turnoverumsetningur;annual yieldárligur vinningur
annualaccounts	(hjá virki) ársroknskapur; eis.annual report
annually	árliga; hvørt ár; um árið
annual meadow-grass	(plfr.)árs-húsagras(Poa annua)
annual repayment	(bú.)annuitetur
annual report	(hjá virki) ársroknskapur; eis.annual accounts
annuitant	lívrentutakari, ein ið fær lívrentu
annuity	lívrenta; árligt gjald; árlig veiting; árligt gjald;(civil list annuity)árligar undirhaldsveitingar,annuity contract (trygg.)lívrentusáttmáli;annuity insurancelívrentutrygging
annul	taka av, strika, ógilda (t.d.a contract),taka aftur
annular	ringskapaður
annulated	við ringum, settur saman av ringum
annulment	ógilding, afturtøka
annulus	(eis. plfr.) kringur
annunciate	boða, kunngera
annunciation	boðan, fráboðan, kunngerð;Annunciation Dayboðanardagur Mariu (25 mars), mariumessa um várið
annunciator	nummartalva, fráboðanartalva, kunngerðartalva
anode	úrkleiv, anoda, positivur pólur;anode batteryanodubattarí
anodyne1	1pínulinnandi evni2(fl.m.)linni, troyst (t.d.the music was an anodyne to his grief)
anodyne2	1pínulinnandi2(fl.m.)linnandi, sissandi; viknaður, óskaðiligur
anoint	salva,anoint him kingsalva hann til kong
anointment	salvan,coronation was a religious rite which began with the anointment of the ruler with holy oilkrýning var halgisiður sum byrjaði við at valdsharri var salvaður við heilagari olju;the film of the Queen’s coronation doesn’t include her anointment ....hevur ikki tað við tá ið hon varð krýnd
anomalous	óregluligur, óvanligur, frávíkjandi, órættvorðin (t.d.an anomalous situation;sentences which are grammatically anomalous; nuclear weapons testingmay have been responsible for the anomalous weather conditions)
anomaly	1óregla, brek, avvik, frávik (t.d.optical anomaly; gravimetric anomaly; thereare a number of anomalies in the present system)2(fl.m.)skeivleiki
anon1	(st.)anonymous; the great Anon. [t.e. Gud]
anon2	(gl.)straks, beinanvegin, í stundini;ever and anonhvørja løtu
anonymity	navnloysi
anonymous	dulnevndur, ikki navngivin, ónevndur, navnleysur, við ongari undirskrift;anonymous readers' lettersdulnevnd lesarabrøv
anopheles	malariumýggjabiti
anorak	anorakkur
anoraky	(tlm.) nørdutur
anorexia	(lækn.)matstikni, matmótboð
anorexic	sum hevur matstikni
another	ein annar, onkur annar; ein afturat, (upp)aftur ein;one anotherhvør annan, hvør aðra, hvørt annað;one after anotherhvør eftir annan;many another battlenógvir fleiri bardagar;you are an Englishman, I am anothertygum eru onglendingur, eg við;you are anothertað kanst tú sjálvur vera (t.d.‘You are a fool!’ ‘You are another !’); ask me another (tlm.)eg havi onga hóming av tí
anoxia	(lækn.)súrevnistrot
answer1	svar (t.d.the answer to his question//letter); in answer tosum svar upp áel.til;he knows all the answershann er ongantíð tiptur; aftursvar andsvar; (t.d. í uppgávu) svar, loysn (t.d.to a chess problem);úrslit (t.d.what is the answer to 125 × 5976?); a plain answer (eis:)greið boð
answer2	1svara (t.d.he answered all the questions//letters); nobody answered when I called; he answered that he would come); our prayers were answered… vórðu svaraðar2svara tilel.upp á, svara aftur;answeran advertisementsvara upp á lýsing3samsvara við (t.d.a description//one’s expectations)4hóska til (t.d.the purpose);vera nóg mikið (t.d.one speech will answer);nøkta (t.d.expectations);eydnast (t.d.the plan did not answer)5[íyms.samb.] answerbacksvara aftur;answer the belllata upp tá ið ringir; answerforsvara fyri, standa til svars fyri (t.d.the truth of a statement; the correctness of the description; answer for it with one’s life; if you don’t do it I won’t answer for the consequences); I’ll answer for thattað taki eg á mínar herðar;he has a lot to answer for (eis:)hann hevur nógv á síni samvitsku; bøta fyri (t.d.he answered for it with his life);skula brúkast sum (t.d.a sofa that was quite often made to answer for a bed); answer thehelmvirða róðrið;answer thetelephonesvara telefonini; passa telefonina; answertosvara til (t.d.it did not answer to our expectations; he answered exactly to the description); akta (t.d.the horse answered to my touch);verða ávirkaður av (t.d.the illness did not answer to the treatment); answer to the name ofkomast við navnið; answerup!svara týðiliga!, svara tað hoyrist!
answerable	ábyrgur, sum ber ábyrgd(tomótvegis;forfyri,t.d. he is answerable to the director for these matters); if he comes I won’t be answerable for the consequences… svari eg ikki fyri fylgjunum;(gl.) answerable tosum hóskar/svarar til
answering machine	telefonsvarari
answerphone	telefonsvarari
ant	meyra;white anttermitta;have ants in one’s pantssita sum á nálum, sita alspentur
antacid	sýruoyðandi;antacid tablettablett ímóti ov nógvari magasýru
antagonism	1stríð; óvinskapur, fíggindskapur; fíggindaligur hugburður; andstøða; mótstøða(tomóti);be in antagonism withvera í andstøðu til;the antagonism of A to B, the antagonism between A and B (eis:)stríðið millum A og B2(lækn.)øvut ávirkan
antagonist	mótstøðufólk, andstøðingur
antagonistic	1fíggindaligur, fíggindasinnaður2(lækn.)øvutur (t.d.effect)
antagonize	1styggja frá sær (t.d.antagonize one’s friends),gera til fígginda2(am.)arbeiða ímóti, virka ímóti, vera ímóti, andøva ímóti (t.d.these effects are antagonized by …)
antarctic1	suðurpóls-, antarktiskur
Antarctic2	Antarktis, Suðurpólsland
Antarctic Circle	suðurpólskringur
Antarctic Pole	suðurpólur
ant bear	(dý.)síaardvark
ante	1nspælipeningur, innskot, íløga;raise the antehækka innskotið; hækka prísin2s: ante upgjalda í innskoti
ante-	frammanfyri, undan, fyri (t.d.the ante-Norman style); (plfr.)for-. fram-
anteater	(dý.)great anteater meyrugloypingur(Myrmecophaga tridactyla)
ante-bellum	fyri kríggið, undan krígnum; (am.; serst.) fyri innanlandskríggið, 1861-61; t.d.a girl in ante-bellum dress)
antecedence	tað sum hevur verið
antecedent1	1undanfarin hending2(í skilvísiel.logikki) forsetningur; fortreyt3(máll.)korrelat (orðel.setningur ið afturbeint fornavn vísir aftur á)4antecedents fltforsøga, fortíð (t.d.you don’t know the antecedents); his antecedents (eis.)hansara skrásetta fortíð
antecedent2	undanfarandi, fyrri; fyrr(toenn)
antechamber	forrúm, bíðirúm
antechoir	[pláss framman fyri kórið]
antedate	fyridagfesta; vera framman undan
antediluvian	1undan flóðini miklu2(fl.m.)avgamal, aveldur, fornur
antelope	(dý.)antilopa
antemeridian	fyrraparts-
ante-mortem	fyri eins deyða
antemundane	fyri heimsskapanina
antenatal	1sum er framman undan føðing (t.d.care, treatment)2antenatals n fltbarnakonukanning
antenatal classes	føðifyrireikingarskeið
antenatal clinic	barnakonuviðtal
antenna	(flt -ae [-i:])1(dý.)kampur2(útv.)antenna, lofttráður, kampur(t.d.skálkampur), teinur3(fl.m.)antennur, kampar, varhugi
antenuptial	fyri hjúnalag;antenuptial contracthjúnasáttmáli
antepartum	fyri føðing, undan føðing
antepenult(imate)	triðseinasta (stavilsi)
anterior	fremri, fyrri(toenn), undanfarin; fyri framman
anteroom	forrúm, bíðirúm;(herm.)góðastova í offisersmessu
ant heap	meyrutúgva
anthelmintic	1n (lækn.)heilivágur fyri orm2l (lækn.)fyri orm, ormadrepandi;anthelmintic teaormate
anthem	kirkjusongur, lovsongur; sálmur;the national anthemtjóðsongur
anther	(plfr.)sáðknappur;anther dustblómusáð, flogsáð
anthesis	(plfr.)blóming
anthill	meyrutúgva
anthology	úrvalsrit, tekstasavn, antologi
Anthony	Antinis
anthracite	harðkol
anthrax	(lækn.ogdýralfr)miltbrandur
anthropochorous	(plfr.)røktarinnsløddur
anthropogenic	(plfr.)røktarskaptur
anthropoid	1lmannlíkur;(tlm.)apukendur2nmannapa
anthropologist	mannfrøðingur
anthropology	mannfrøði
anthropomorphic	mannlíkur, líkur menniskja (t.d.dummy)
anthropomorphism	[at geva dýrum mannlíkar eginleikar]
anthropomorphous	mannlíkur, líkur menniskja
anthropophagi	mannaátarar
anti-	(forstavilsi): ímóti, mót-, anti-
antiaircraft	1nloftverja2lloftverju- (t.d.command, gun, missile); antiaircraft defence
antiballistic	antiballistic missile mótrakett
antibiotic	1nbakteriutýnari2lbakteriutýnandi
antibody	(lækn.)andevni, mótevni
antiburglaralarm	tjóv(a)ávaring
anti-business	vinnufíggindaligur(t.d.the President’s anti-business speeches)
antic	1lavskapiligur, avskapaður, groteskur; ótrúligur, fantastiskur2níspegil, gekkur, fívil; (síeis.antics)
